telemetry_id,asset_id,reading_ts,power_output_kw,temperature_c,vibration_mm_s,frequency_hz,status_code
AT0000000239,AST000001,2026-04-10 22:00:00,0.000,41.547,1.177,60.0570,TRIP
AT0000000240,AST000001,2026-04-10 23:00:00,0.000,58.785,1.593,59.9624,NORMAL
AT0000000241,AST000001,2026-04-11 00:00:00,12.516,44.043,1.237,59.9897,TRIP
AT0000000242,AST000001,2026-04-11 01:00:00,110.653,47.451,1.368,59.9746,NORMAL
AT0000000243,AST000001,2026-04-11 02:00:00,41.992,43.142,1.212,60.0123,NORMAL
AT0000000244,AST000001,2026-04-11 03:00:00,0.000,39.653,0.904,60.0130,TRIP
AT0000000245,AST000001,2026-04-11 04:00:00,87.373,53.940,1.236,60.0184,TRIP
AT0000000246,AST000001,2026-04-11 05:00:00,0.000,35.871,0.871,59.9659,WARNING
AT0000000247,AST000001,2026-04-11 06:00:00,11.822,46.862,1.266,60.0224,TRIP
AT0000000248,AST000001,2026-04-11 07:00:00,336.624,37.678,0.768,60.0224,normal 
AT0000000249,AST000001,2026-04-11 08:00:00,223.038,38.256,1.261,60.0581,normal 
AT0000000250,AST000001,2026-04-11 09:00:00,349.653,41.502,0.963,60.0429,NORMAL
AT0000000251,AST000001,2026-04-11 10:00:00,254.571,41.175,1.278,59.9309,NORMAL
AT0000000252,AST000001,2026-04-11 11:00:00,415.971,46.877,1.242,59.9242,WARNING
AT0000000253,AST000001,2026-04-11 12:00:00,432.220,33.300,1.549,60.0285,WARNING
AT0000000254,AST000001,2026-04-11 13:00:00,348.072,32.288,1.435,59.9498,TRIP
AT0000000255,AST000001,2026-04-11 14:00:00,304.422,44.176,1.252,59.9671,NORMAL
AT0000000256,AST000001,2026-04-11 15:00:00,353.260,54.263,1.374,59.9011,NORMAL
AT0000000257,AST000001,2026-04-11 16:00:00,398.035,54.037,1.198,59.9781,NORMAL
AT0000000258,AST000001,2026-04-11 17:00:00,345.082,34.750,1.103,59.9830,NORMAL
AT0000000259,AST000001,2026-04-11 18:00:00,231.026,46.836,1.139,59.9477,TRIP
AT0000000260,AST000001,2026-04-11 19:00:00,0.000,49.414,1.170,59.9561,normal 
AT0000000261,AST000001,2026-04-11 20:00:00,89.918,43.261,1.509,60.0116,NORMAL
AT0000000262,AST000001,2026-04-11 21:00:00,0.000,30.717,0.920,60.0461,TRIP
AT0000000263,AST000001,2026-04-11 22:00:00,0.000,42.696,1.324,60.0278,TRIP
AT0000000264,AST000001,2026-04-11 23:00:00,0.000,53.878,1.865,60.0194,TRIP
AT0000000265,AST000001,2026-04-12 00:00:00,5.737,40.130,1.517,60.0142,TRIP
AT0000000266,AST000001,2026-04-12 01:00:00,0.000,49.940,1.304,60.0581,TRIP
AT0000000267,AST000001,2026-04-12 02:00:00,0.000,35.800,0.768,60.0294,WARNING
AT0000000268,AST000001,2026-04-12 03:00:00,25.077,48.807,0.837,59.9804,NORMAL
AT0000000269,AST000001,2026-04-12 04:00:00,0.000,36.987,1.080,60.0064,NORMAL
AT0000000270,AST000001,2026-04-12 05:00:00,0.000,36.642,1.622,60.0019,normal 
AT0000000271,AST000001,2026-04-12 06:00:00,46.983,46.202,0.763,60.0690,NORMAL
AT0000000272,AST000001,2026-04-12 07:00:00,379.451,33.542,1.715,59.9876,normal 
AT0000000273,AST000001,2026-04-12 08:00:00,262.264,38.502,1.582,59.9458,normal 
AT0000000274,AST000001,2026-04-12 09:00:00,268.987,48.442,0.943,60.0018,NORMAL
AT0000000275,AST000001,2026-04-12 10:00:00,504.121,43.889,1.629,60.0441,WARNING
AT0000000276,AST000001,2026-04-12 11:00:00,500.945,42.421,1.092,60.0258,TRIP
AT0000000277,AST000001,2026-04-12 12:00:00,377.854,42.683,0.987,59.9641,TRIP
AT0000000278,AST000001,2026-04-12 13:00:00,334.149,51.298,1.214,60.0125,normal 
AT0000000279,AST000001,2026-04-12 14:00:00,366.093,43.181,1.383,59.9854,TRIP
AT0000000280,AST000001,2026-04-12 15:00:00,239.962,35.079,1.494,60.0285,TRIP
AT0000000281,AST000001,2026-04-12 16:00:00,158.776,62.936,0.714,60.0848,NORMAL
AT0000000282,AST000001,2026-04-12 17:00:00,206.756,43.361,1.351,60.0521,NORMAL
AT0000000283,AST000001,2026-04-12 18:00:00,422.126,38.041,1.968,59.9914,WARNING
AT0000000284,AST000001,2026-04-12 19:00:00,22.423,50.480,1.490,59.9796,normal 
AT0000000285,AST000001,2026-04-12 20:00:00,0.000,41.084,1.481,59.9976,TRIP
AT0000000286,AST000001,2026-04-12 21:00:00,31.995,34.098,0.337,59.9520,NORMAL
AT0000000287,AST000001,2026-04-12 22:00:00,0.000,32.618,0.854,60.1072,NORMAL
AT0000000288,AST000001,2026-04-12 23:00:00,0.000,39.464,1.130,60.0072,WARNING
AT0000000289,AST000001,2026-04-13 00:00:00,73.175,36.075,1.151,59.9427,NORMAL
AT0000000290,AST000001,2026-04-13 01:00:00,71.718,44.748,1.187,60.0296,NORMAL
AT0000000291,AST000001,2026-04-13 02:00:00,0.000,40.383,1.940,59.9004,NORMAL
AT0000000292,AST000001,2026-04-13 03:00:00,0.000,59.334,1.598,60.0014,NORMAL
AT0000000293,AST000001,2026-04-13 04:00:00,0.000,27.754,0.806,60.0123,NORMAL
