department_id,facility_id,department_name,cost_center,service_line,active_flag,_loaded_at_utc,_source_file
DEP0039,FAC004,Cardiology,CC8341,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0040,FAC004,Oncology,CC8106,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0041,FAC004,Orthopedics,CC4679,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0042,FAC004,Pediatrics,CC7962,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0043,FAC004,Neurology,CC9141,Surgical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0044,FAC004,Surgery,CC4295,Diagnostic,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0045,FAC004,ICU,CC4494,Ancillary,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0046,FAC004,Radiology,CC1521,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0047,FAC004,Laboratory,CC5253,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0048,FAC004,Pharmacy,CC3334,Medical,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0049,FAC005,Emergency,CC2968,Diagnostic,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0050,FAC005,Internal Medicine,CC4083,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0051,FAC005,Cardiology,CC5376,Diagnostic,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0052,FAC005,Oncology,CC3373,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0053,FAC005,Orthopedics,CC8162,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0054,FAC005,Pediatrics,CC7138,Critical Care,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0055,FAC005,Neurology,CC7901,Critical Care,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0056,FAC005,Surgery,CC3564,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0057,FAC005,ICU,CC8017,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0058,FAC005,Radiology,CC4730,Ancillary,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0059,FAC005,Laboratory,CC6332,Critical Care,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0060,FAC005,Pharmacy,CC2767,Critical Care,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0061,FAC006,Emergency,CC8418,Ancillary,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0062,FAC006,Internal Medicine,CC2025,Critical Care,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0063,FAC006,Cardiology,CC1433,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0064,FAC006,Oncology,CC1891,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0065,FAC006,Orthopedics,CC9796,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0066,FAC006,Pediatrics,CC4045,Ancillary,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0067,FAC006,Neurology,CC3551,Ancillary,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0068,FAC006,Surgery,CC4279,Ancillary,N,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0069,FAC006,ICU,CC7560,Surgical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0070,FAC006,Radiology,CC3705,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0071,FAC006,Laboratory,CC2616,Ancillary,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
DEP0072,FAC006,Pharmacy,CC1696,Medical,Y,2026-08-27T03:36:17.793994+00:00,data/raw/master/departments.csv
