call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date,quarantine_reason
CALL0000008791,SUB00001586,CELL_BAD,,48.0,MT,Dropped,True,switch,,Missing cell
CALL0000009066,SUB00003753,CELL_BAD,,47.0,MO,Completed,False,switch,,Missing cell
CALL0000009516,SUB00003510,CELL_BAD,2026-04-18 06:28:00,64.0,MO,Completed,False,switch,2026-04-18,Missing cell
CALL0000010188,SUB00000847,CELL_BAD,,1042.0,MO,Dropped,False,switch,,Missing cell
CALL0000010651,SUB00000162,CELL_BAD,,217.0,MT,Failed,False,switch,,Missing cell
CALL0000011179,SUB00004399,CELL_BAD,2026-05-14 07:17:00,496.0,MO,Failed,False,switch,2026-05-14,Missing cell
CALL0000011913,SUB00000190,CELL_BAD,,233.0,MO,Completed,False,switch,,Missing cell
CALL0000012694,SUB00004328,CELL_BAD,,185.0,MO,Completed,True,switch,,Missing cell
CALL0000013613,SUB00002895,CELL_BAD,2026-05-29 06:26:00,236.0,MO,Dropped,False,switch,2026-05-29,Missing cell
CALL0000014531,SUB00000903,CELL_BAD,2026-05-26 19:08:00,1.0,MT,Failed,False,switch,2026-05-26,Missing cell
CALL0000015363,SUB00001289,CELL_BAD,,231.0,MO,Dropped,False,switch,,Missing cell
CALL0000015398,SUB00000613,CELL_BAD,,28.0,MO,Dropped,False,switch,,Missing cell
CALL0000015990,SUB00001458,CELL_BAD,,241.0,MO,Dropped,False,switch,,Missing cell
CALL0000016330,SUB00003564,CELL_BAD,2026-04-21 14:14:00,64.0,MO,Failed,False,switch,2026-04-21,Missing cell
CALL0000017411,SUB00000205,CELL_BAD,2026-05-23 11:09:00,196.0,MT,Completed,True,switch,2026-05-23,Missing cell
CALL0000017774,SUB00003828,CELL_BAD,2026-04-19 08:39:00,231.0,MO,Dropped,False,switch,2026-04-19,Missing cell
CALL0000018397,SUB00003372,CELL_BAD,,405.0,MO,Completed,False,switch,,Missing cell
CALL0000019267,SUB00000678,CELL_BAD,,257.0,MO,Completed,False,switch,,Missing cell
CALL0000019437,SUB00000127,CELL_BAD,,102.0,MO,Completed,False,switch,,Missing cell
CALL0000019444,SUB00001641,CELL_BAD,2026-04-01 00:14:00,129.0,MO,Completed,False,switch,2026-04-01,Missing cell
CALL0000019502,SUB00002854,CELL_BAD,2026-04-15 21:17:00,2.0,MO,Dropped,False,switch,2026-04-15,Missing cell
CALL0000019539,SUB00004669,CELL_BAD,2026-05-06 00:16:00,80.0,MT,Failed,True,switch,2026-05-06,Missing cell
CALL0000021043,SUB00001912,CELL_BAD,,515.0,MO,Completed,True,switch,,Missing cell
CALL0000021948,SUB00004328,CELL_BAD,2026-04-21 15:57:00,7.0,MO,Completed,False,switch,2026-04-21,Missing cell
CALL0000022354,SUB00000520,CELL_BAD,2026-04-24 03:07:00,194.0,MO,Failed,False,switch,2026-04-24,Missing cell
CALL0000022356,SUB00004292,CELL_BAD,2026-05-26 09:21:00,26.0,MO,Dropped,True,switch,2026-05-26,Missing cell
CALL0000023228,SUB00000226,CELL_BAD,,32.0,MT,Completed,True,switch,,Missing cell
CALL0000023303,SUB00004788,CELL_BAD,,31.0,MT,Completed,False,switch,,Missing cell
CALL0000025418,SUB00004297,CELL_BAD,,21.0,MO,Failed,False,switch,,Missing cell
CALL0000026415,SUB00003249,CELL_BAD,2026-05-13 01:39:00,913.0,MO,Failed,False,switch,2026-05-13,Missing cell
CALL0000026934,SUB00001645,CELL_BAD,2026-05-07 21:52:00,125.0,MO,Completed,False,switch,2026-05-07,Missing cell
CALL0000026985,SUB00003061,CELL_BAD,,389.0,MT,Dropped,False,switch,,Missing cell
CALL0000027155,SUB00002098,CELL_BAD,,35.0,MT,Failed,False,switch,,Missing cell
CALL0000027808,SUB00001633,CELL_BAD,,165.0,MT,Completed,False,switch,,Missing cell
CALL0000027846,SUB00003001,CELL_BAD,,34.0,MO,Completed,False,switch,,Missing cell
CALL0000027860,SUB00000911,CELL_BAD,2026-05-07 16:35:00,1.0,MT,Failed,False,switch,2026-05-07,Missing cell
