session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,quarantine_reason
DATA0000008767,SUB00004049,CELL000181,2026-05-22 00:30:37,2026-05-22 00:56:37,,94.232,51.364,44.974,0.5358,False,pgw,2026-05-22,Bad timestamp/data volume
DATA0000009408,SUB00004299,CELL000090,2026-05-27 09:58:32,2026-05-27 11:18:32,,100.921,44.47,34.221,0.8547,False,pgw,2026-05-27,Bad timestamp/data volume
DATA0000009552,SUB00004591,CELL000216,2026-04-17 08:25:47,2026-04-17 09:59:47,,138.518,37.121,19.189,0.0,False,pgw,2026-04-17,Bad timestamp/data volume
DATA0000010424,SUB00002683,CELL000181,2026-05-14 06:27:16,2026-05-14 09:15:16,,139.854,55.09,24.31,0.0,False,pgw,2026-05-14,Bad timestamp/data volume
DATA0000011950,SUB00004494,CELL000075,2026-04-04 17:20:20,2026-04-04 20:00:20,,181.487,6.61,24.842,0.6337,False,pgw,2026-04-04,Bad timestamp/data volume
DATA0000012825,SUB00002195,CELL000150,2026-04-15 10:24:10,2026-04-15 10:54:10,,116.34,18.425,35.015,0.5079,True,pgw,2026-04-15,Bad timestamp/data volume
DATA0000013367,SUB00002535,CELL000090,2026-05-29 10:40:41,2026-05-29 10:56:41,,150.116,50.298,20.021,0.7732,True,pgw,2026-05-29,Bad timestamp/data volume
DATA0000013451,SUB00003479,CELL000012,2026-05-18 18:38:46,2026-05-18 19:52:46,,104.358,22.446,18.639,0.0,False,pgw,2026-05-18,Bad timestamp/data volume
DATA0000013753,SUB00004700,CELL000118,2026-04-10 09:02:58,2026-04-10 11:33:58,,55.434,35.241,27.76,0.5676,False,pgw,2026-04-10,Bad timestamp/data volume
DATA0000014704,SUB00002488,CELL000044,2026-05-08 14:22:50,2026-05-08 17:17:50,,142.19,29.185,30.364,0.0,False,pgw,2026-05-08,Bad timestamp/data volume
DATA0000015406,SUB00000802,CELL000017,2026-05-21 18:25:52,2026-05-21 19:17:52,,124.28,31.482,27.48,0.0,False,pgw,2026-05-21,Bad timestamp/data volume
DATA0000015856,SUB00002456,CELL000146,2026-04-07 19:39:30,2026-04-07 22:10:30,,64.6,35.517,2.428,1.7266,False,pgw,2026-04-07,Bad timestamp/data volume
DATA0000016412,SUB00001295,CELL000165,2026-04-10 10:55:36,2026-04-10 11:02:36,,61.167,32.388,36.674,0.2879,False,pgw,2026-04-10,Bad timestamp/data volume
DATA0000017470,SUB_BAD,CELL000153,2026-05-19 00:09:28,2026-05-19 02:16:28,,146.434,11.447,28.703,2.4401,False,pgw,2026-05-19,Bad timestamp/data volume
DATA0000017766,SUB00000499,CELL000255,2026-05-21 12:39:37,2026-05-21 15:22:37,,126.532,30.885,17.064,1.4512,False,pgw,2026-05-21,Bad timestamp/data volume
DATA0000017922,SUB00000163,CELL000097,2026-05-11 00:41:12,2026-05-11 01:15:12,,14.371,36.613,20.457,2.6411,False,pgw,2026-05-11,Bad timestamp/data volume
DATA0000017945,SUB00000455,CELL000035,2026-05-11 14:21:28,2026-05-11 17:04:28,,105.496,46.093,52.3,0.0,False,pgw,2026-05-11,Bad timestamp/data volume
DATA0000018174,SUB00000205,CELL000217,2026-04-03 06:10:32,2026-04-03 07:02:32,,216.719,43.663,49.936,0.3942,True,pgw,2026-04-03,Bad timestamp/data volume
DATA0000018224,SUB00003790,CELL000057,2026-05-26 05:18:02,2026-05-26 07:37:02,,139.039,31.739,36.74,0.2623,False,pgw,2026-05-26,Bad timestamp/data volume
DATA0000018656,SUB00000696,CELL000083,2026-04-01 21:04:18,2026-04-01 22:00:18,,70.188,21.172,41.527,0.0,False,pgw,2026-04-01,Bad timestamp/data volume
DATA0000018828,SUB00002337,CELL000108,2026-05-03 13:11:10,2026-05-03 13:51:10,,133.757,33.298,24.332,0.7997,False,pgw,2026-05-03,Bad timestamp/data volume
DATA0000020178,SUB00002306,CELL000147,2026-05-08 13:44:02,2026-05-08 16:29:02,,68.978,38.648,28.353,0.3327,False,pgw,2026-05-08,Bad timestamp/data volume
DATA0000020294,SUB00000141,CELL000237,2026-04-28 22:27:12,2026-04-28 23:13:12,,66.617,28.538,43.31,0.0,False,pgw,2026-04-28,Bad timestamp/data volume
DATA0000021315,SUB00003129,CELL000179,2026-04-24 11:11:38,2026-04-24 13:47:38,,83.537,28.899,25.031,0.0,True,pgw,2026-04-24,Bad timestamp/data volume
DATA0000021555,SUB00000051,CELL000037,2026-05-22 06:24:31,2026-05-22 06:43:31,,0.1,51.162,25.032,1.1858,False,pgw,2026-05-22,Bad timestamp/data volume
DATA0000021606,SUB00001834,CELL000222,2026-04-29 00:30:38,2026-04-29 02:49:38,,107.539,23.799,52.275,0.5049,True,pgw,2026-04-29,Bad timestamp/data volume
DATA0000021685,SUB00002296,CELL000049,2026-05-13 00:45:48,2026-05-13 01:58:48,,158.809,40.647,19.772,0.4364,True,pgw,2026-05-13,Bad timestamp/data volume
DATA0000022978,SUB00004894,CELL000155,2026-04-06 04:42:46,2026-04-06 07:37:46,,58.826,39.874,70.089,0.4341,False,pgw,2026-04-06,Bad timestamp/data volume
DATA0000023800,SUB00002504,CELL000235,2026-04-20 23:48:01,2026-04-21 02:40:01,,217.822,30.754,41.349,0.2384,False,pgw,2026-04-20,Bad timestamp/data volume
DATA0000023951,SUB00003207,CELL000034,2026-04-08 17:41:48,2026-04-08 18:30:48,,143.156,10.334,46.132,1.1418,True,pgw,2026-04-08,Bad timestamp/data volume
DATA0000025282,SUB00000248,CELL000158,2026-05-24 00:22:48,2026-05-24 03:21:48,,103.769,48.265,59.534,0.7124,False,pgw,2026-05-24,Bad timestamp/data volume
DATA0000025308,SUB00002077,CELL000140,2026-05-17 19:59:48,2026-05-17 21:39:48,,123.392,24.806,44.039,1.2332,False,pgw,2026-05-17,Bad timestamp/data volume
DATA0000025508,SUB00003707,CELL000162,2026-04-27 23:45:51,2026-04-27 23:46:51,,112.312,20.071,41.673,0.2415,False,pgw,2026-04-27,Bad timestamp/data volume
DATA0000025665,SUB00004267,CELL000155,2026-04-17 03:26:09,2026-04-17 05:48:09,,199.428,36.413,36.366,0.6215,True,pgw,2026-04-17,Bad timestamp/data volume
DATA0000027486,SUB00000047,CELL000225,2026-05-13 22:18:23,2026-05-14 00:21:23,,27.274,31.562,23.643,1.2227,False,pgw,2026-05-13,Bad timestamp/data volume
DATA0000027577,SUB00001899,CELL000046,2026-05-11 09:24:14,2026-05-11 11:02:14,,224.37,21.907,49.89,0.0048,True,pgw,2026-05-11,Bad timestamp/data volume
DATA0000027925,SUB00003024,CELL000045,2026-04-15 13:19:17,2026-04-15 16:07:17,,126.802,40.213,33.354,0.8362,False,pgw,2026-04-15,Bad timestamp/data volume
DATA0000028865,SUB00003982,CELL000112,2026-04-26 08:33:39,2026-04-26 09:41:39,,113.157,34.745,42.882,0.9496,False,pgw,2026-04-26,Bad timestamp/data volume
DATA0000028998,SUB_BAD,CELL000091,2026-05-03 15:45:39,2026-05-03 17:39:39,,34.995,45.674,52.996,0.5413,False,pgw,2026-05-03,Bad timestamp/data volume
DATA0000029519,SUB00001623,CELL000198,2026-05-25 15:25:21,2026-05-25 15:38:21,,169.415,45.013,2.0,0.5971,False,pgw,2026-05-25,Bad timestamp/data volume
DATA0000029682,SUB00003939,CELL000249,2026-05-12 09:45:56,2026-05-12 11:42:56,,122.733,38.896,29.294,0.0,False,pgw,2026-05-12,Bad timestamp/data volume
DATA0000031163,SUB00000663,CELL000190,2026-05-27 15:12:17,2026-05-27 15:54:17,,136.166,14.702,35.584,0.8537,False,pgw,2026-05-27,Bad timestamp/data volume
DATA0000031207,SUB00002022,CELL000127,2026-05-09 07:24:59,2026-05-09 09:44:59,,92.501,30.083,20.308,0.8262,True,pgw,2026-05-09,Bad timestamp/data volume
DATA0000031850,SUB00000886,CELL000162,2026-04-07 16:13:51,2026-04-07 16:24:51,,92.354,38.43,51.72,1.0654,False,pgw,2026-04-07,Bad timestamp/data volume
DATA0000031875,SUB00000928,CELL000007,2026-04-02 19:06:37,2026-04-02 21:32:37,,194.343,37.492,31.428,1.0781,True,pgw,2026-04-02,Bad timestamp/data volume
DATA0000032031,SUB00002196,CELL000161,2026-04-03 03:55:07,2026-04-03 05:28:07,,129.357,10.662,20.045,0.0,False,pgw,2026-04-03,Bad timestamp/data volume
DATA0000032043,SUB00004952,CELL000186,2026-05-25 20:40:58,2026-05-25 23:05:58,,96.136,25.276,45.125,0.3258,True,pgw,2026-05-25,Bad timestamp/data volume
DATA0000032643,SUB00000977,CELL000241,2026-05-14 22:43:49,2026-05-15 01:31:49,,117.572,24.658,48.847,0.256,False,pgw,2026-05-14,Bad timestamp/data volume
DATA0000032732,SUB00003818,CELL000064,2026-05-25 08:14:25,2026-05-25 09:48:25,,157.76,16.157,37.135,0.0998,False,pgw,2026-05-25,Bad timestamp/data volume
DATA0000032851,SUB00004155,CELL000034,2026-04-15 06:09:05,2026-04-15 06:59:05,,162.153,28.633,24.493,1.2992,False,pgw,2026-04-15,Bad timestamp/data volume
DATA0000033509,SUB00002740,CELL000207,2026-05-03 01:05:49,2026-05-03 02:44:49,,213.194,28.737,2.0,1.6443,False,pgw,2026-05-03,Bad timestamp/data volume
DATA0000033541,SUB00004991,CELL000203,2026-05-06 21:26:18,2026-05-06 23:45:18,,89.104,25.914,40.678,1.8826,False,pgw,2026-05-06,Bad timestamp/data volume
DATA0000033613,SUB00003703,CELL000148,2026-04-13 02:41:10,2026-04-13 04:51:10,,154.037,14.104,57.659,0.962,True,pgw,2026-04-13,Bad timestamp/data volume
DATA0000033741,SUB00001076,CELL000095,2026-05-28 01:35:56,2026-05-28 02:54:56,,176.231,30.3,26.231,0.0,False,pgw,2026-05-28,Bad timestamp/data volume
DATA0000034186,SUB00004046,CELL000246,2026-05-13 06:43:52,2026-05-13 07:35:52,,58.428,2.054,35.116,1.6172,False,pgw,2026-05-13,Bad timestamp/data volume
DATA0000034279,SUB00001644,CELL000210,2026-05-08 09:43:48,2026-05-08 10:09:48,,172.868,28.974,15.02,0.0,True,pgw,2026-05-08,Bad timestamp/data volume
DATA0000034747,SUB00003689,CELL000173,2026-04-23 10:51:16,2026-04-23 12:29:16,,206.021,19.337,29.855,0.0302,True,pgw,2026-04-23,Bad timestamp/data volume
DATA0000034871,SUB00003527,CELL000218,2026-05-28 11:29:38,2026-05-28 12:48:38,,121.051,43.443,20.38,0.0,False,pgw,2026-05-28,Bad timestamp/data volume
DATA0000035011,SUB00000666,CELL000031,2026-04-11 13:38:47,2026-04-11 13:47:47,,120.592,19.456,34.994,2.0721,False,pgw,2026-04-11,Bad timestamp/data volume
DATA0000035795,SUB00003644,CELL000153,2026-05-13 12:44:45,2026-05-13 14:47:45,,149.402,21.373,29.4,0.9045,False,pgw,2026-05-13,Bad timestamp/data volume
DATA0000035937,SUB00004357,CELL000100,2026-04-22 10:10:36,2026-04-22 13:04:36,,125.167,32.198,32.439,1.1508,False,pgw,2026-04-22,Bad timestamp/data volume
DATA0000037249,SUB00004807,CELL000186,2026-05-07 13:12:24,2026-05-07 15:12:24,,185.319,29.835,13.314,1.0487,True,pgw,2026-05-07,Bad timestamp/data volume
DATA0000037323,SUB00000037,CELL000098,2026-05-08 18:29:21,2026-05-08 18:55:21,,115.469,31.497,54.075,1.7602,False,pgw,2026-05-08,Bad timestamp/data volume
DATA0000037533,SUB00002218,CELL000058,2026-05-09 00:21:55,2026-05-09 02:32:55,,48.495,22.872,22.743,0.4496,True,pgw,2026-05-09,Bad timestamp/data volume
DATA0000037837,SUB00002182,CELL000005,2026-05-15 20:17:47,2026-05-15 21:24:47,,223.889,26.846,50.135,0.6841,False,pgw,2026-05-15,Bad timestamp/data volume
DATA0000038451,SUB00003193,CELL000063,2026-04-16 22:50:17,2026-04-17 00:24:17,,74.385,19.198,33.569,1.7952,False,pgw,2026-04-16,Bad timestamp/data volume
DATA0000038535,SUB00000180,CELL000083,2026-04-29 19:36:50,2026-04-29 21:42:50,,170.478,38.53,14.585,0.4123,False,pgw,2026-04-29,Bad timestamp/data volume
DATA0000039448,SUB00002865,CELL000192,2026-04-19 20:24:42,2026-04-19 21:01:42,,113.987,37.963,12.536,0.0,False,pgw,2026-04-19,Bad timestamp/data volume
DATA0000039958,SUB00002685,CELL000124,2026-05-08 07:07:04,2026-05-08 08:58:04,,244.771,47.208,36.465,1.4357,False,pgw,2026-05-08,Bad timestamp/data volume
DATA0000041337,SUB00000792,CELL000119,2026-05-28 03:46:29,2026-05-28 05:40:29,,106.037,26.845,36.12,2.4976,False,pgw,2026-05-28,Bad timestamp/data volume
DATA0000041432,SUB00000477,CELL000121,2026-04-24 07:02:22,2026-04-24 07:58:22,,184.991,22.498,40.5,1.5078,False,pgw,2026-04-24,Bad timestamp/data volume
DATA0000041820,SUB00004151,CELL000161,2026-04-10 18:31:08,2026-04-10 19:24:08,,195.655,23.672,2.0,0.0,True,pgw,2026-04-10,Bad timestamp/data volume
