session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,quarantine_reason
DATA0000022643,SUB00001489,CELL_BAD,2026-05-01 22:30:56,2026-05-02 00:50:56,61.721,87.112,0.1,29.243,0.3044,False,pgw,2026-05-01,Missing cell
DATA0000023385,SUB00000086,CELL_BAD,2026-05-18 01:50:40,2026-05-18 03:18:40,510.053,66.873,30.634,15.308,1.0763,True,pgw,2026-05-18,Missing cell
DATA0000023574,SUB00002035,CELL_BAD,2026-04-26 14:10:27,2026-04-26 15:32:27,26.563,148.909,17.442,46.705,0.749,False,pgw,2026-04-26,Missing cell
DATA0000024150,SUB00003145,CELL_BAD,2026-04-24 14:45:07,2026-04-24 14:58:07,1257.817,165.684,6.945,43.197,0.7037,False,pgw,2026-04-24,Missing cell
DATA0000024394,SUB00003927,CELL_BAD,2026-04-02 01:42:40,2026-04-02 01:56:40,147.509,130.646,43.721,45.062,0.9719,False,pgw,2026-04-02,Missing cell
DATA0000025017,SUB00001335,CELL_BAD,2026-04-13 17:10:50,2026-04-13 20:02:50,1631.382,152.294,9.708,65.115,0.4334,True,pgw,2026-04-13,Missing cell
DATA0000025286,SUB00003213,CELL_BAD,2026-05-04 07:58:59,2026-05-04 10:22:59,825.575,97.604,36.289,21.722,2.0646,False,pgw,2026-05-04,Missing cell
DATA0000025521,SUB00004057,CELL_BAD,2026-05-27 02:16:39,2026-05-27 04:19:39,482.293,213.744,66.851,23.489,0.9252,False,pgw,2026-05-27,Missing cell
DATA0000025959,SUB00003868,CELL_BAD,2026-04-14 02:28:44,2026-04-14 03:41:44,165.91,134.06,47.336,43.203,1.5624,False,pgw,2026-04-14,Missing cell
DATA0000026531,SUB00001019,CELL_BAD,2026-05-06 05:48:16,2026-05-06 07:02:16,123.841,105.538,19.421,21.702,0.7116,True,pgw,2026-05-06,Missing cell
DATA0000028790,SUB00001763,CELL_BAD,2026-04-24 23:22:12,2026-04-25 00:43:12,598.374,164.889,23.897,17.279,1.2164,False,pgw,2026-04-24,Missing cell
DATA0000029262,SUB00004203,CELL_BAD,2026-05-17 05:19:39,2026-05-17 05:48:39,492.327,152.975,43.134,5.9,0.0,False,pgw,2026-05-17,Missing cell
DATA0000029427,SUB00004297,CELL_BAD,2026-04-08 04:29:59,2026-04-08 05:30:59,1383.125,182.965,26.922,40.273,1.1202,False,pgw,2026-04-08,Missing cell
DATA0000030993,SUB00003531,CELL_BAD,2026-05-24 00:14:29,2026-05-24 03:04:29,792.736,29.331,15.766,9.364,0.9438,False,pgw,2026-05-24,Missing cell
DATA0000031131,SUB00003950,CELL_BAD,2026-04-07 10:08:13,2026-04-07 11:12:13,344.392,0.1,38.276,37.916,0.8965,False,pgw,2026-04-07,Missing cell
DATA0000031880,SUB00002963,CELL_BAD,2026-04-23 02:13:51,2026-04-23 04:18:51,324.438,67.78,36.701,24.094,2.6339,False,pgw,2026-04-23,Missing cell
DATA0000032226,SUB00000554,CELL_BAD,2026-04-21 18:20:32,2026-04-21 19:45:32,1336.468,140.627,26.452,27.666,1.3922,False,pgw,2026-04-21,Missing cell
DATA0000032869,SUB00002310,CELL_BAD,2026-05-15 13:25:03,2026-05-15 14:15:03,797.996,14.133,32.217,46.344,1.0855,False,pgw,2026-05-15,Missing cell
DATA0000033233,SUB00000445,CELL_BAD,2026-04-26 07:23:27,2026-04-26 09:00:27,122.421,144.718,26.651,34.703,2.0476,True,pgw,2026-04-26,Missing cell
DATA0000033672,SUB00003945,CELL_BAD,2026-04-17 08:39:55,2026-04-17 09:49:55,1270.288,106.975,16.628,58.398,1.3747,False,pgw,2026-04-17,Missing cell
DATA0000034558,SUB00002370,CELL_BAD,2026-04-26 23:09:10,2026-04-27 00:21:10,136.924,105.728,45.373,65.167,0.7384,False,pgw,2026-04-26,Missing cell
DATA0000034800,SUB00003284,CELL_BAD,2026-05-20 20:15:45,2026-05-20 21:39:45,64.966,117.937,43.561,39.465,0.1477,False,pgw,2026-05-20,Missing cell
DATA0000036387,SUB00004734,CELL_BAD,2026-04-14 02:15:41,2026-04-14 02:46:41,105.735,126.941,27.544,22.171,1.2638,False,pgw,2026-04-14,Missing cell
DATA0000037303,SUB00000757,CELL_BAD,2026-05-17 04:39:37,2026-05-17 06:20:37,915.695,93.657,8.264,68.174,0.0,False,pgw,2026-05-17,Missing cell
DATA0000037791,SUB00000639,CELL_BAD,2026-05-14 17:53:51,2026-05-14 18:44:51,546.216,51.264,16.177,57.276,0.5494,False,pgw,2026-05-14,Missing cell
DATA0000037906,SUB00000718,CELL_BAD,2026-04-17 11:36:12,2026-04-17 13:29:12,170.594,193.708,19.156,2.0,1.5607,False,pgw,2026-04-17,Missing cell
DATA0000039322,SUB00002646,CELL_BAD,2026-05-24 06:59:01,2026-05-24 07:10:01,942.578,47.775,46.769,50.342,2.0569,False,pgw,2026-05-24,Missing cell
DATA0000040094,SUB00002726,CELL_BAD,2026-05-25 05:55:08,2026-05-25 07:58:08,222.968,110.245,21.423,38.306,1.3847,False,pgw,2026-05-25,Missing cell
DATA0000040312,SUB00003305,CELL_BAD,2026-05-26 02:36:55,2026-05-26 05:17:55,2826.324,116.131,30.884,34.027,2.221,True,pgw,2026-05-26,Missing cell
DATA0000040438,SUB00003983,CELL_BAD,2026-04-03 02:22:09,2026-04-03 04:38:09,1497.401,84.09,28.314,43.88,2.2528,True,pgw,2026-04-03,Missing cell
DATA0000040448,SUB00001688,CELL_BAD,2026-05-19 16:16:22,2026-05-19 17:01:22,395.961,220.159,10.639,36.68,0.0,False,pgw,2026-05-19,Missing cell
DATA0000040714,SUB00000736,CELL_BAD,2026-04-02 08:03:36,2026-04-02 09:15:36,1.064,60.707,20.996,43.047,0.7282,False,pgw,2026-04-02,Missing cell
DATA0000040734,SUB00004594,CELL_BAD,2026-05-13 16:46:47,2026-05-13 18:40:47,1483.725,72.829,12.271,36.64,1.4664,False,pgw,2026-05-13,Missing cell
DATA0000041036,SUB00000917,CELL_BAD,2026-05-13 10:26:22,2026-05-13 12:00:22,434.941,128.651,34.559,26.354,0.0,False,pgw,2026-05-13,Missing cell
DATA0000041499,SUB00002518,CELL_BAD,2026-05-18 00:47:35,2026-05-18 03:07:35,377.476,125.904,10.086,28.724,1.2535,False,pgw,2026-05-18,Missing cell
DATA0000041528,SUB00004248,CELL_BAD,2026-05-26 21:23:28,2026-05-26 23:25:28,2557.988,125.942,26.603,29.33,0.7207,True,pgw,2026-05-26,Missing cell
DATA0000041599,SUB00000106,CELL_BAD,2026-05-17 17:55:29,2026-05-17 20:26:29,323.149,110.955,15.018,64.563,0.0,False,pgw,2026-05-17,Missing cell
DATA0000041883,SUB00000322,CELL_BAD,2026-04-04 22:27:17,2026-04-05 01:08:17,1136.372,0.1,51.766,32.808,1.5478,False,pgw,2026-04-04,Missing cell
