session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,quarantine_reason
DATA0000036577,SUB_BAD,CELL000200,2026-04-23 11:39:01,2026-04-23 13:55:01,521.594,71.415,34.209,23.17,1.9132,False,pgw,2026-04-23,Missing subscriber
DATA0000036653,SUB_BAD,CELL000255,2026-04-20 14:02:01,2026-04-20 16:42:01,311.705,101.625,32.824,70.927,0.9734,False,pgw,2026-04-20,Missing subscriber
DATA0000037683,SUB_BAD,CELL000216,2026-04-29 01:57:48,2026-04-29 03:54:48,283.739,149.534,43.115,42.993,1.9116,True,pgw,2026-04-29,Missing subscriber
DATA0000038347,SUB_BAD,CELL000184,2026-04-28 09:06:43,2026-04-28 09:28:43,361.901,133.661,38.34,28.154,1.2881,True,pgw,2026-04-28,Missing subscriber
DATA0000038376,SUB_BAD,CELL000073,2026-05-04 07:59:28,2026-05-04 08:35:28,1171.901,69.852,24.025,26.654,0.0,False,pgw,2026-05-04,Missing subscriber
DATA0000038609,SUB_BAD,CELL000095,2026-05-29 10:52:30,2026-05-29 13:08:30,91.116,65.605,30.482,43.806,1.0259,False,pgw,2026-05-29,Missing subscriber
DATA0000038853,SUB_BAD,CELL000116,2026-04-29 07:59:46,2026-04-29 09:47:46,813.982,22.799,10.591,74.893,0.6563,False,pgw,2026-04-29,Missing subscriber
DATA0000038959,SUB_BAD,CELL000061,2026-04-30 10:38:35,2026-04-30 12:22:35,155.43,100.336,24.518,40.345,0.1235,True,pgw,2026-04-30,Missing subscriber
DATA0000040847,SUB_BAD,CELL000033,2026-04-25 18:26:05,2026-04-25 20:20:05,198.637,66.285,33.13,25.436,0.9621,False,pgw,2026-04-25,Missing subscriber
DATA0000041384,SUB_BAD,CELL000205,2026-04-19 13:36:34,2026-04-19 14:08:34,818.479,141.422,18.088,29.635,1.6597,False,pgw,2026-04-19,Missing subscriber
DATA0000041929,SUB_BAD,CELL000222,2026-05-05 08:04:29,2026-05-05 09:48:29,758.857,207.404,21.553,45.729,0.0,False,pgw,2026-05-05,Missing subscriber
DATA0000041991,SUB_BAD,CELL000094,2026-05-02 18:52:06,2026-05-02 20:50:06,273.228,261.749,54.239,62.504,1.5772,False,pgw,2026-05-02,Missing subscriber
