cdc_id,product_id,effective_ts,operation,new_regular_price,new_product_status,change_reason,_loaded_at_utc,_source_file
PCDC0000027,SKU0000553,2026-05-29 08:59:06,UPDATE,550.76,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000028,SKU0000053,2026-05-09 01:06:17,UPDATE,278.09,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000029,SKU0000026,2026-05-23 10:52:46,UPDATE,318.74,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000030,SKU0000239,2026-05-09 11:04:14,UPDATE,226.94,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000031,SKU0000244,2026-05-31 21:48:30,UPDATE,484.49,Discontinued,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000032,SKU0000506,2026-04-10 06:18:51,UPDATE,152.98,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000033,SKU0000157,2026-05-11 11:32:22,UPDATE,527.92,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000034,SKU0000121,2026-05-08 16:33:02,UPDATE,24.99,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000035,SKU0000263,2026-05-30 22:00:31,UPDATE,111.65,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000036,SKU0000369,2026-04-26 14:04:55,UPDATE,221.62,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000037,SKU0000094,2026-04-03 01:25:00,DISCONTINUE,94.18,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000038,SKU0000346,2026-04-25 01:46:37,UPDATE,225.11,Discontinued,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000039,SKU0000119,2026-04-17 23:13:54,UPDATE,386.63,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000040,SKU0000566,2026-04-22 09:29:47,UPDATE,320.85,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000041,SKU0000304,2026-04-25 20:00:34,DISCONTINUE,508.44,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000042,SKU0000354,2026-04-30 08:23:18,DISCONTINUE,389.55,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000043,SKU0000375,2026-04-07 12:48:41,DISCONTINUE,489.32,Active,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000044,SKU0000260,2026-05-12 20:43:50,UPDATE,322.64,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000045,SKU0000165,2026-05-20 01:20:03,UPDATE,545.45,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000046,SKU0000074,2026-04-25 22:04:19,DISCONTINUE,406.90,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000047,SKU0000283,2026-04-07 07:09:59,UPDATE,468.87,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000048,SKU0000020,2026-05-05 02:32:19,UPDATE,767.80,Discontinued,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000049,SKU0000386,2026-05-15 03:14:07,UPDATE,726.06,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000050,SKU0000067,2026-05-29 12:20:47,UPDATE,794.86,Discontinued,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000051,SKU0000289,2026-05-09 18:19:30,UPDATE,944.36,Active,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000052,SKU0000267,2026-05-19 09:23:02,UPDATE,74.34,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000053,SKU0000099,2026-04-25 03:50:32,DISCONTINUE,68.96,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000054,SKU0000235,2026-05-15 15:31:56,UPDATE,217.75,Seasonal,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000055,SKU0000125,2026-04-21 00:09:56,UPDATE,455.21,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000056,SKU0000060,2026-04-24 06:25:35,UPDATE,980.69,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000057,SKU0000384,2026-04-03 13:37:00,DISCONTINUE,465.41,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000058,SKU0000319,2026-04-13 21:11:38,DISCONTINUE,527.64,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000059,SKU0000128,2026-04-30 06:57:30,UPDATE,903.30,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000060,SKU0000027,2026-04-11 14:05:47,DISCONTINUE,717.36,Active,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000061,SKU0000225,2026-05-06 22:55:37,DISCONTINUE,502.49,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000062,SKU0000391,2026-04-24 08:44:13,UPDATE,131.08,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000063,SKU0000403,2026-05-28 18:49:12,UPDATE,353.01,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000064,SKU0000140,2026-05-05 20:47:28,UPDATE,447.07,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000065,SKU0000465,2026-05-06 10:05:39,DISCONTINUE,401.31,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000066,SKU0000253,2026-04-24 07:26:08,UPDATE,840.87,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000067,SKU0000230,2026-04-29 05:12:52,UPDATE,503.43,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000068,SKU0000516,2026-05-31 01:37:17,UPDATE,320.06,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000069,SKU0000520,2026-05-25 14:15:23,DISCONTINUE,171.24,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000070,SKU0000336,2026-04-30 19:48:03,DISCONTINUE,468.51,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000071,SKU0000204,2026-05-20 14:03:38,DISCONTINUE,706.13,Seasonal,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000072,SKU0000345,2026-05-30 22:43:48,DISCONTINUE,305.63,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000073,SKU0000303,2026-05-07 03:48:52,UPDATE,265.70,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000074,SKU0000150,2026-04-23 14:13:15,DISCONTINUE,1220.73,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000075,SKU0000298,2026-05-20 18:38:13,UPDATE,282.77,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000076,SKU0000116,2026-04-18 04:01:08,DISCONTINUE,890.84,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000077,SKU0000093,2026-04-19 08:37:01,UPDATE,853.81,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000078,SKU0000402,2026-05-05 18:22:14,DISCONTINUE,380.58,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000079,SKU0000479,2026-05-22 18:58:28,DISCONTINUE,264.53,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000080,SKU0000337,2026-05-11 12:38:31,UPDATE,718.81,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000081,SKU0000209,2026-04-06 03:27:48,UPDATE,312.94,Active,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000082,SKU0000110,2026-04-07 10:36:12,UPDATE,677.88,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000083,SKU0000571,2026-05-17 04:08:33,UPDATE,42.05,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000084,SKU0000382,2026-04-25 17:30:24,UPDATE,878.83,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000085,SKU0000548,2026-04-14 19:13:42,UPDATE,57.99,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000086,SKU0000317,2026-04-16 09:49:13,DISCONTINUE,95.69,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000087,SKU0000250,2026-05-24 21:58:54,UPDATE,295.54,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000088,SKU0000542,2026-05-29 02:15:18,UPDATE,521.42,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000089,SKU0000145,2026-05-16 04:16:26,UPDATE,471.80,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000090,SKU0000077,2026-05-06 03:56:43,UPDATE,1039.45,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000091,SKU0000033,2026-05-28 07:11:14,UPDATE,655.19,Seasonal,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000092,SKU0000262,2026-05-17 13:58:41,UPDATE,94.35,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000093,SKU0000555,2026-05-10 05:33:32,UPDATE,476.81,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000094,SKU0000439,2026-04-26 16:22:10,UPDATE,71.24,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000095,SKU0000075,2026-05-19 05:12:35,UPDATE,247.17,Seasonal,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000096,SKU0000376,2026-04-28 14:21:08,UPDATE,467.90,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000097,SKU0000546,2026-05-14 04:11:41,UPDATE,17.22,Seasonal,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000098,SKU0000255,2026-04-15 12:07:08,UPDATE,512.43,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000099,SKU0000455,2026-04-24 22:43:58,DISCONTINUE,436.05,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000100,SKU0000409,2026-05-17 15:07:54,UPDATE,178.57,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000101,SKU0000055,2026-04-05 14:25:48,UPDATE,59.18,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000102,SKU0000012,2026-04-23 20:02:37,UPDATE,800.91,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000103,SKU0000447,2026-04-21 20:11:01,DISCONTINUE,199.59,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000104,SKU0000085,2026-05-15 06:12:39,UPDATE,358.76,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000105,SKU0000242,2026-04-15 11:41:37,UPDATE,14.34,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000106,SKU0000537,2026-05-10 14:32:56,DISCONTINUE,7.21,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000107,SKU0000245,2026-04-03 15:38:16,DISCONTINUE,407.96,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000108,SKU0000504,2026-05-10 01:17:55,UPDATE,1081.64,Discontinued,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000109,SKU0000358,2026-04-08 00:01:37,UPDATE,378.60,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000110,SKU0000399,2026-05-29 13:57:25,UPDATE,775.84,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000111,SKU0000381,2026-05-06 20:35:27,UPDATE,1080.82,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000112,SKU0000076,2026-05-10 12:38:49,DISCONTINUE,395.61,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000113,SKU0000206,2026-04-22 15:58:32,DISCONTINUE,586.74,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000114,SKU0000526,2026-05-03 20:32:37,UPDATE,285.47,Active,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000115,SKU0000385,2026-04-13 03:49:03,UPDATE,64.76,Discontinued,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000116,SKU0000294,2026-05-01 18:14:17,DISCONTINUE,154.52,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000117,SKU0000103,2026-05-28 16:17:36,DISCONTINUE,376.59,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000118,SKU0000236,2026-04-24 12:46:33,UPDATE,66.65,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000119,SKU0000388,2026-05-25 09:28:58,UPDATE,640.25,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000120,SKU0000407,2026-04-17 16:14:26,UPDATE,421.12,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000121,SKU0000343,2026-04-22 12:23:02,DISCONTINUE,404.15,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000122,SKU0000421,2026-05-11 00:58:23,UPDATE,297.60,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000123,SKU0000247,2026-04-14 11:18:20,DISCONTINUE,454.58,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000124,SKU0000436,2026-04-02 06:13:52,DISCONTINUE,114.96,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000125,SKU0000493,2026-05-02 06:39:49,DISCONTINUE,224.46,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000126,SKU0000477,2026-05-05 15:11:21,UPDATE,55.83,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000127,SKU0000450,2026-04-30 19:51:14,UPDATE,26.48,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000128,SKU0000426,2026-05-30 11:35:30,DISCONTINUE,28.39,Active,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000129,SKU0000417,2026-05-18 12:47:40,DISCONTINUE,241.69,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000130,SKU0000030,2026-04-17 11:48:43,DISCONTINUE,389.61,Discontinued,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000131,SKU0000351,2026-05-25 21:24:55,DISCONTINUE,10.60,Active,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000132,SKU0000300,2026-04-20 02:32:40,DISCONTINUE,632.85,Seasonal,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000133,SKU0000411,2026-05-18 08:03:26,DISCONTINUE,561.39,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000134,SKU0000174,2026-05-09 18:49:31,UPDATE,479.57,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000135,SKU0000527,2026-05-20 21:19:47,UPDATE,178.77,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000136,SKU0000080,2026-04-06 14:34:42,UPDATE,432.69,Seasonal,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000137,SKU0000532,2026-05-06 02:11:29,DISCONTINUE,19.72,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000138,SKU0000301,2026-04-10 12:45:58,DISCONTINUE,122.82,Discontinued,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000139,SKU0000178,2026-04-25 19:08:02,UPDATE,819.42,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000140,SKU0000320,2026-04-26 11:03:08,UPDATE,59.71,Active,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000141,SKU0000208,2026-05-02 07:13:32,UPDATE,141.20,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000142,SKU0000275,2026-05-24 10:48:34,UPDATE,1067.09,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000143,SKU0000556,2026-04-07 06:52:26,UPDATE,793.77,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000144,SKU0000528,2026-04-01 08:19:43,UPDATE,63.80,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000145,SKU0000095,2026-04-07 00:04:21,DISCONTINUE,287.54,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000146,SKU0000050,2026-04-11 19:04:55,UPDATE,624.23,Discontinued,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000147,SKU0000130,2026-05-21 21:16:25,UPDATE,753.84,Seasonal,rollback,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000148,SKU0000240,2026-05-15 20:36:43,UPDATE,397.23,Seasonal,vendor_cost_change,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000149,SKU0000142,2026-05-15 04:16:17,UPDATE,530.77,Seasonal,market_price,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
PCDC0000150,SKU0000406,2026-04-21 04:35:38,UPDATE,374.04,Active,clearance,2026-08-08T04:42:28.274815+00:00,data/raw/cdc/price_cdc.csv
