online_order_id,customer_id,order_ts,fulfillment_type,fulfillment_store_id,order_status,device_type,_loaded_at_utc,_source_file
WEB00000023,CUST00000265,2026-05-17 02:13:16,Delivery,STR0013,Processing,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000024,CUST00001171,2026-04-13 04:35:45,Delivery,STR0010,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000025,CUST00001120,2026-04-02 16:09:07,Ship to Home,STR0013,delivered ,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000026,CUST00000547,2026-05-12 21:41:46,Ship to Home,STR0012,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000027,CUST00001470,2026-04-24 12:27:09,Delivery,STR0008,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000028,CUST00001454,2026-05-20 17:30:19,Ship to Home,STR0022,delivered ,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000029,CUST00000101,2026-04-02 13:43:47,Ship to Home,STR0024,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000030,CUST00000642,2026-05-26 02:06:52,Ship to Home,STR0022,Shipped,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000031,CUST00000864,2026-05-09 08:10:33,Delivery,STR0003,Shipped,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000032,CUST00001565,2026-04-24 10:06:40,Pickup,STR0004,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000033,CUST00000394,2026-05-01 12:48:49,Pickup,STR0002,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000034,CUST00001573,2026-04-18 16:12:02,Delivery,STR0014,Shipped,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000035,CUST00000792,2026-04-01 23:42:18,Ship to Home,STR0023,Placed,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000036,CUST00000563,2026-04-08 23:42:54,Delivery,STR0005,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000037,CUST00001773,2026-04-15 18:05:50,Ship to Home,STR0023,Ready,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000038,CUST00001739,2026-05-13 21:53:43,Pickup,STR0006,Processing,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000039,CUST00000648,2026-04-19 05:02:53,Delivery,STR0001,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000040,CUST00001256,2026-04-28 03:22:40,Delivery,STR0022,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000041,CUST00001782,2026-05-06 13:54:12,Ship to Home,STR0018,Cancelled,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000042,CUST00001252,2026-04-03 08:43:28,Pickup,STR0003,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000043,CUST00001669,2026-05-11 15:05:42,Ship to Home,STR0008,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000044,CUST00001071,2026-05-06 05:46:12,Delivery,STR0024,Processing,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000045,CUST00001735,2026-04-28 22:02:03,Pickup,STR0021,Placed,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000046,CUST00000860,2026-04-30 13:04:37,Pickup,STR0014,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000047,CUST00000696,2026-05-23 22:27:07,Delivery,STR0018,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000048,CUST00001384,2026-05-03 21:40:59,Delivery,STR0010,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000049,CUST00001708,2026-04-29 03:49:55,Delivery,STR0022,Cancelled,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000050,CUST00000856,2026-05-10 20:23:36,Pickup,STR0017,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000051,CUST00001209,2026-05-05 04:18:05,Pickup,STR0012,Shipped,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000052,CUST00000176,2026-05-10 01:11:49,Ship to Home,STR0003,Delivered,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000053,CUST00001689,2026-04-25 20:38:57,Delivery,STR0019,Processing,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000054,CUST00001320,2026-05-22 10:44:55,Delivery,STR0015,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000055,CUST00001629,2026-04-25 00:00:27,Delivery,STR0001,Shipped,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000056,CUST00000441,2026-05-14 07:01:15,Pickup,STR0009,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000057,CUST00000955,2026-05-04 19:28:59,Pickup,STR0010,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000058,CUST00001466,2026-05-27 09:39:46,Ship to Home,STR0013,Cancelled,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000059,CUST00001122,2026-04-06 03:36:33,Delivery,STR0002,Placed,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000060,CUST00000264,2026-04-11 22:42:33,Ship to Home,STR0023,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000061,CUST00001042,2026-04-16 08:42:48,Ship to Home,STR0023,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000062,CUST00001698,2026-05-28 13:20:56,Ship to Home,STR0008,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000063,CUST00000926,2026-05-31 14:31:47,Delivery,STR0020,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000064,CUST00001720,2026-04-23 22:00:54,Delivery,STR0010,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000065,CUST00001731,2026-05-28 09:43:13,Delivery,STR0010,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000066,CUST00000421,2026-05-26 12:46:46,Ship to Home,STR0021,Delivered,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000067,CUST00001209,2026-05-27 11:39:02,Ship to Home,STR0016,Processing,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000068,CUST00001581,2026-05-27 08:37:20,Pickup,STR0020,Processing,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000069,CUST00000964,2026-04-14 01:48:36,Pickup,STR0005,Placed,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000070,CUST00001714,2026-05-16 15:54:26,Delivery,STR0002,Processing,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000071,CUST00000441,2026-04-14 01:13:54,Pickup,STR0006,Shipped,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000072,CUST00000198,2026-05-29 01:16:25,Ship to Home,STR0008,Processing,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000073,CUST00001798,2026-04-05 02:17:36,Delivery,STR0010,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000074,CUST00000687,2026-05-19 09:54:57,Delivery,STR0009,Processing,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000075,CUST00001283,2026-05-26 05:14:33,Pickup,STR0013,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000076,CUST00000207,2026-05-12 07:12:17,Delivery,STR0014,Processing,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000077,CUST00001227,2026-05-13 05:53:52,Pickup,STR0017,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000078,CUST00001459,2026-05-12 07:26:21,Delivery,STR0024,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000079,CUST00001151,2026-05-26 20:23:50,Pickup,STR0016,Shipped,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000080,CUST00000916,2026-05-28 11:03:14,Pickup,STR0009,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000081,CUST00000979,2026-04-14 08:11:53,Delivery,STR0012,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000082,CUST00001356,2026-04-08 18:59:09,Delivery,STR0009,Ready,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000083,CUST00001758,2026-05-20 04:18:59,Pickup,STR0019,Shipped,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000084,CUST00001494,2026-05-22 20:36:01,Pickup,STR0019,Cancelled,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000085,CUST00000940,2026-05-11 10:01:42,Pickup,STR0004,Delivered,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000086,CUST00001126,2026-05-08 16:51:33,Ship to Home,STR0019,delivered ,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000087,CUST00000829,2026-05-06 15:32:54,Ship to Home,STR0012,delivered ,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000088,CUST00000312,2026-05-05 22:13:37,Pickup,STR0025,Placed,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000089,CUST00001306,2026-04-18 21:12:29,Pickup,STR0007,Ready,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000090,CUST00000343,2026-05-02 11:57:42,Delivery,STR0009,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000091,CUST00000623,2026-04-06 22:14:08,Delivery,STR0002,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000092,CUST00000258,2026-04-25 11:10:54,Delivery,STR0022,Placed,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000093,CUST00000112,2026-04-13 20:43:41,Ship to Home,STR0010,delivered ,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000094,CUST00001746,2026-04-29 05:55:44,Pickup,STR0013,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000095,CUST00000023,2026-05-25 08:35:54,Delivery,STR0001,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000096,CUST00000445,2026-04-16 21:41:52,Delivery,STR0018,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000097,CUST00000398,2026-05-06 13:17:30,Delivery,STR0006,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000098,CUST00001507,2026-04-04 09:29:59,Ship to Home,STR0017,Delivered,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000099,CUST00000089,2026-05-26 19:30:04,Delivery,STR0009,Shipped,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000100,CUST00001516,2026-04-29 12:18:26,Pickup,STR0004,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000101,CUST00000863,2026-04-26 14:34:10,Ship to Home,STR0020,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000102,CUST00000018,2026-05-19 13:19:37,Pickup,STR0020,Placed,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000103,CUST00000618,2026-05-22 11:14:29,Ship to Home,STR0018,Placed,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000104,CUST00000445,2026-05-07 15:28:38,Ship to Home,STR0016,Processing,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000105,CUST00000776,2026-04-27 04:33:41,Pickup,STR0007,Cancelled,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000106,CUST00001137,2026-05-29 04:02:00,Delivery,STR0018,Processing,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000107,CUST00001637,2026-05-16 14:38:14,Ship to Home,STR0024,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000108,CUST00000463,2026-05-07 12:22:01,Ship to Home,STR0006,Shipped,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000109,CUST00000827,2026-05-31 23:41:21,Pickup,STR0024,Shipped,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000110,CUST00001397,2026-05-01 00:15:18,Ship to Home,STR0011,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000111,CUST00001665,2026-04-30 21:23:18,Ship to Home,STR0002,Processing,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000112,CUST00000680,2026-04-19 05:47:44,Ship to Home,STR0008,Placed,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000113,CUST00001586,2026-05-23 05:27:32,Pickup,STR0015,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000114,CUST00000644,2026-05-18 13:43:08,Delivery,STR0018,Processing,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000115,CUST00000467,2026-04-13 16:33:19,Pickup,STR0013,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000116,CUST00001434,2026-05-17 13:26:41,Pickup,STR0016,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000117,CUST00000764,2026-04-15 01:48:20,Delivery,STR0008,Placed,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000118,CUST00001600,2026-04-10 19:10:24,Ship to Home,STR0020,Delivered,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000119,CUST00000719,2026-05-14 00:47:36,Pickup,STR0015,Cancelled,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000120,CUST00000802,2026-05-05 20:49:08,Delivery,STR0020,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000121,CUST00000097,2026-05-28 06:35:27,Ship to Home,STR0017,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000122,CUST00001449,2026-04-22 20:30:53,Ship to Home,STR0005,Cancelled,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000123,CUST00000938,2026-04-08 23:42:10,Delivery,STR0022,Shipped,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000124,CUST00000170,2026-05-20 18:05:02,Pickup,STR0009,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000125,CUST00000044,2026-04-25 21:07:28,Ship to Home,STR0022,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000126,CUST00000951,2026-05-30 21:48:28,Ship to Home,STR0004,Cancelled,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000127,CUST00001714,2026-05-19 10:04:43,Ship to Home,STR0012,Shipped,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000128,CUST00001413,2026-05-20 13:36:40,Pickup,STR0009,Cancelled,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000129,CUST00000457,2026-05-12 14:05:15,Ship to Home,STR0005,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000130,CUST00000881,2026-04-18 08:06:15,Delivery,STR0005,Cancelled,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000131,CUST00000431,2026-04-07 00:22:06,Pickup,STR0012,Shipped,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000132,CUST00001070,2026-05-27 01:03:15,Ship to Home,STR0019,Cancelled,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000133,CUST00000709,2026-04-05 17:57:26,Ship to Home,STR0001,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000134,CUST00001381,2026-05-06 14:17:35,Pickup,STR0008,Processing,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000135,CUST00001582,2026-04-22 19:18:49,Delivery,STR0017,Shipped,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000136,CUST00000396,2026-04-19 13:44:15,Ship to Home,STR0011,Cancelled,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000137,CUST00001001,2026-04-02 11:20:31,Ship to Home,STR0004,Processing,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000138,CUST00001448,2026-04-22 14:33:56,Delivery,STR0003,Placed,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000139,CUST00001098,2026-04-08 00:51:45,Pickup,STR0023,Placed,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000140,CUST00000074,2026-04-16 15:07:21,Delivery,STR0008,Processing,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000141,CUST00001685,2026-04-25 19:07:44,Delivery,STR0015,Placed,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000142,CUST00001201,2026-05-17 13:06:23,Delivery,STR0022,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000143,CUST00000014,2026-04-03 04:16:17,Pickup,STR0014,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000144,CUST00000210,2026-04-05 11:27:39,Pickup,STR0016,Placed,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000145,CUST00001269,2026-05-11 03:38:36,Delivery,STR0022,Processing,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000146,CUST00001304,2026-05-24 14:49:10,Pickup,STR0011,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000147,CUST00000678,2026-04-04 09:10:56,Delivery,STR0001,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000148,CUST00001156,2026-05-30 22:56:14,Pickup,STR0005,Processing,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000149,CUST00001713,2026-05-05 17:53:26,Pickup,STR0007,Shipped,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000150,CUST00001376,2026-05-21 10:35:06,Ship to Home,STR0001,Delivered,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000151,CUST00000521,2026-05-30 22:44:25,Delivery,STR0013,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000152,CUST00000936,2026-05-19 14:55:23,Delivery,STR0019,Cancelled,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000153,CUST00000519,2026-04-21 18:40:46,Pickup,STR0008,Ready,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000154,CUST00000575,2026-05-11 03:33:36,Pickup,STR0024,Shipped,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000155,CUST00001160,2026-05-18 18:16:14,Delivery,STR0010,Shipped,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000156,CUST00001678,2026-05-02 15:28:51,Delivery,STR0020,Cancelled,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000157,CUST00001672,2026-05-14 10:22:01,Delivery,STR0006,delivered ,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000158,CUST00001258,2026-04-05 09:02:34,Pickup,STR0017,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000159,CUST00000714,2026-04-17 23:05:29,Ship to Home,STR0003,Shipped,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000160,CUST00001736,2026-04-23 00:25:12,Pickup,STR0017,Ready,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000161,CUST00001147,2026-05-28 06:33:52,Pickup,STR0005,delivered ,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000162,CUST00001761,2026-05-30 11:46:23,Delivery,STR0025,Processing,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000163,CUST00001303,2026-04-10 12:41:10,Ship to Home,STR0007,Placed,iOS,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000164,CUST00001161,2026-04-15 13:39:09,Pickup,STR0023,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000165,CUST00001691,2026-04-10 20:52:29,Delivery,STR0002,Placed,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000166,CUST00001665,2026-05-04 02:39:42,Ship to Home,STR0020,Delivered,Android,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
WEB00000167,CUST00001712,2026-05-19 09:20:26,Ship to Home,STR0008,Delivered,Web,2026-08-08T04:42:27.919640+00:00,data/raw/transactions/online_orders.csv
