transaction_id,account_id,card_id,merchant_id,transaction_ts,transaction_type,channel,direction,amount,currency,transaction_status,description,source_system,ingestion_batch_id,transaction_date
T00000015,A000117,,M0062,,REFUND,Online,credit,133.2,EUR,Posted,Transfer,core_banking,BATCH_20260601_A,
T00000016,A000100,,,2026-01-15 18:51:00,PAYROLL,Atm,credit,162.83,CAD,Posted,Monthly Fee,branch_teller,BATCH_20260601_A,2026-01-15
T00000017,A000191,,,,WIRE,Branch,debit,338.6,GBP,Pending,Purchase,branch_teller,BATCH_20260602_A,
T00000018,A000151,,,2026-04-19 13:47:00,ACH,Api,debit,97.14,GBP,Posted,Transfer,branch_teller,BATCH_20260602_A,2026-04-19
T00000019,A000113,,,,PAYROLL,Atm,credit,88.13,EUR,Failed,Transfer,mobile_app,BATCH_20260601_B,
T00000020,A000048,CRD000049,M0001,,POS,Atm,debit,28.0,GBP,Posted,Transfer,core_banking,BATCH_20260602_A,
T00000021,A000100,,,2026-02-23 01:22:00,INTEREST,Api,credit,255.95,CAD,Posted,Transfer,mobile_app,BATCH_20260601_A,2026-02-23
T00000022,A000186,,,2026-02-11 22:15:00,FEE,Mobile,debit,17.42,INR,Reversed,Direct Deposit,branch_teller,BATCH_20260601_B,2026-02-11
T00000023,A000027,,,,ACH,Branch,debit,451.62,INR,Posted,Bill Pay,branch_teller,BATCH_20260602_A,
T00000024,A000196,,,,INTEREST,Atm,credit,37.31,INR,Posted,Bill Pay,core_banking,BATCH_20260601_A,
T00000025,A000151,,,2026-01-10 11:04:00,FEE,Card,debit,9.72,USD,Posted,Bill Pay,card_processor,BATCH_20260601_B,2026-01-10
T00000026,A000058,CRD000018,M0015,,POS,Branch,debit,221.71,EUR,Posted,Transfer,core_banking,BATCH_20260601_B,
T00000027,A000210,,,2026-02-11 03:56:00,PAYROLL,Atm,credit,528.02,INR,Pending,Transfer,card_processor,BATCH_20260601_A,2026-02-11
T00000028,A000057,CRD000118,M0004,,POS,Atm,debit,619.74,GBP,Posted,Direct Deposit,core_banking,BATCH_20260602_A,
T00000029,A000063,,,,ATM,Atm,debit,168.72,INR,Reversed,Monthly Fee,mobile_app,BATCH_20260601_A,
T00000030,A000003,,,,PAYROLL,Atm,credit,68.84,GBP,Posted,Purchase,card_processor,BATCH_20260601_A,
T00000031,A000061,,,2026-04-04 22:43:00,ATM,Branch,debit,250.97,INR,Pending,Monthly Fee,core_banking,BATCH_20260602_A,2026-04-04
T00000032,A000170,,,2026-05-26 13:08:00,ACH,Online,debit,95.13,CAD,Posted,Transfer,core_banking,BATCH_20260601_B,2026-05-26
T00000033,A000173,CRD000041,M0069,,POS,Online,debit,111.52,CAD,Posted,Monthly Fee,branch_teller,BATCH_20260602_A,
T00000034,A000134,,,2026-02-05 15:03:00,ACH,Atm,debit,20.33,GBP,Failed,Direct Deposit,branch_teller,BATCH_20260602_A,2026-02-05
T00000035,A000004,CRD000088,M0015,,POS,Mobile,debit,133.88,USD,Failed,Bill Pay,mobile_app,BATCH_20260601_B,
T00000036,A000057,,,2026-04-13 10:38:00,WIRE,Mobile,debit,1168.35,GBP,Reversed,Monthly Fee,mobile_app,BATCH_20260601_A,2026-04-13
T00000037,A000100,,,,ATM,Online,debit,722.74,CAD,Posted,Direct Deposit,core_banking,BATCH_20260602_A,
T00000038,A000036,,,2026-03-31 03:34:00,ATM,Online,debit,119.25,CAD,Posted,Monthly Fee,card_processor,BATCH_20260602_A,2026-03-31
T00000039,A000168,,,,PAYROLL,Online,credit,199.59,INR,Pending,Purchase,branch_teller,BATCH_20260601_A,
T00000040,A000217,,,,ACH,Branch,debit,355.36,CAD,Posted,Bill Pay,core_banking,BATCH_20260602_A,
T00000041,A000033,,,,ACH,Online,debit,35.6,EUR,Posted,Monthly Fee,branch_teller,BATCH_20260602_A,
T00000042,A000021,,,2026-03-13 01:39:00,FEE,Online,debit,39.78,USD,Posted,Transfer,core_banking,BATCH_20260601_B,2026-03-13
T00000043,A000061,,,,ACH,Atm,debit,143.2,INR,Reversed,Transfer,card_processor,BATCH_20260601_B,
T00000044,A000132,,,2026-01-22 01:10:00,FEE,Branch,debit,10.32,GBP,Failed,Direct Deposit,card_processor,BATCH_20260601_A,2026-01-22
T00000045,A000217,,,2026-03-11 08:00:00,WIRE,Branch,debit,470.1,CAD,Pending,Direct Deposit,branch_teller,BATCH_20260601_A,2026-03-11
T00000046,A000101,CRD000045,M0078,2026-05-11 04:05:00,POS,Online,debit,38.7,INR,Pending,Purchase,branch_teller,BATCH_20260602_A,2026-05-11
T00000047,A000160,,,,ATM,Atm,debit,172.45,INR,Failed,Transfer,mobile_app,BATCH_20260602_A,
T00000048,A000108,,,2026-01-05 08:01:00,FEE,Api,debit,21.61,INR,Reversed,Monthly Fee,core_banking,BATCH_20260601_B,2026-01-05
T00000049,A000114,CRD000032,M0014,,POS,Api,debit,33.4,INR,Posted,Transfer,core_banking,BATCH_20260601_B,
T00000050,A000065,,,,ACH,Online,debit,80.51,GBP,Pending,Purchase,branch_teller,BATCH_20260602_A,
T00000051,A000045,CRD000028,M0072,,POS,Online,debit,387.92,INR,Posted,Cash Withdrawal,card_processor,BATCH_20260601_B,
T00000052,A000112,,,2026-05-09 17:51:00,INTEREST,Card,credit,73.73,GBP,Failed,Purchase,card_processor,BATCH_20260601_A,2026-05-09
T00000053,A000100,CRD000123,M0046,2026-04-17 18:31:00,POS,Online,debit,207.98,CAD,Posted,Bill Pay,mobile_app,BATCH_20260601_B,2026-04-17
T00000054,A000210,,,,ACH,Online,debit,80.25,INR,Posted,Cash Withdrawal,mobile_app,BATCH_20260601_B,
T00000055,A000091,,,2026-01-14 15:41:00,ACH,Online,debit,152.2,EUR,Posted,Monthly Fee,card_processor,BATCH_20260601_A,2026-01-14
T00000056,A000036,CRD000058,M0027,,POS,Mobile,debit,34.26,CAD,Posted,Transfer,branch_teller,BATCH_20260601_A,
T00000057,A000009,CRD000001,M0004,,POS,Atm,debit,442.2,USD,Posted,Direct Deposit,card_processor,BATCH_20260601_B,
T00000058,A000097,,,2026-04-03 04:48:00,ATM,Online,debit,174.97,EUR,Posted,Bill Pay,branch_teller,BATCH_20260601_B,2026-04-03
T00000059,A000112,,M0052,2026-02-21 17:21:00,POS,Online,debit,81.95,GBP,Failed,Bill Pay,mobile_app,BATCH_20260601_B,2026-02-21
T00000060,A000196,,,2026-02-28 02:45:00,ACH,Mobile,debit,111.24,USD,Failed,Transfer,mobile_app,BATCH_20260601_B,2026-02-28
T00000061,A000132,CRD000016,M0045,,POS,Atm,debit,117.33,GBP,Posted,Monthly Fee,card_processor,BATCH_20260602_A,
T00000062,A000042,CRD000164,M0055,,POS,Online,debit,504.82,INR,Pending,Cash Withdrawal,mobile_app,BATCH_20260601_A,
T00000063,A000046,CRD000047,M0073,2026-02-16 17:45:00,POS,Atm,debit,477.42,USD,Posted,Transfer,branch_teller,BATCH_20260601_B,2026-02-16
T00000064,A000054,,,,ATM,Api,debit,318.84,GBP,Posted,Cash Withdrawal,core_banking,BATCH_20260601_B,
T00000065,A000053,CRD000007,M0066,2026-05-04 14:02:00,POS,Online,debit,220.54,INR,Failed,Direct Deposit,mobile_app,BATCH_20260601_B,2026-05-04
T00000066,A000008,CRD000121,M0029,,POS,Online,debit,377.94,EUR,Pending,Transfer,card_processor,BATCH_20260601_B,
T00000067,A000072,CRD000134,M0025,,POS,Card,debit,-113.63,INR,Posted,Transfer,card_processor,BATCH_20260601_A,
T00000068,A000118,,,,FEE,Atm,debit,30.8,CAD,Posted,Monthly Fee,branch_teller,BATCH_20260602_A,
T00000069,A000174,,,,PAYROLL,Online,credit,130.05,EUR,Reversed,Bill Pay,core_banking,BATCH_20260601_B,
T00000070,A000151,CRD000059,M0031,,POS,Atm,debit,300.99,GBP,Pending,Transfer,mobile_app,BATCH_20260601_A,
T00000071,A000121,CRD000065,M0004,,POS,Mobile,debit,156.51,EUR,Failed,Transfer,mobile_app,BATCH_20260602_A,
T00000072,A000015,,,,PAYROLL,Api,credit,38.45,CAD,Posted,Monthly Fee,mobile_app,BATCH_20260601_B,
T00000073,A000219,,,2026-02-13 11:36:00,PAYROLL,Atm,credit,277.93,INR,Posted,Direct Deposit,branch_teller,BATCH_20260601_A,2026-02-13
T00000074,A000146,,,,ACH,Branch,debit,131.95,EUR,Pending,Direct Deposit,card_processor,BATCH_20260602_A,
T00000075,A000115,CRD000140,M0080,,POS,Atm,debit,375.64,INR,Posted,Bill Pay,mobile_app,BATCH_20260601_A,
T00000076,A000209,CRD000030,M0041,2026-04-12 17:03:00,POS,Atm,debit,86.27,USD,Reversed,Direct Deposit,branch_teller,BATCH_20260602_A,2026-04-12
T00000077,A000136,,M0070,2026-03-04 23:22:00,REFUND,Mobile,credit,388.07,CAD,Posted,Transfer,mobile_app,BATCH_20260601_B,2026-03-04
T00000078,A000049,,M0046,,REFUND,Card,credit,74.01,USD,Failed,Direct Deposit,mobile_app,BATCH_20260601_A,
T00000079,A000109,,,2026-03-19 17:09:00,ACH,Branch,debit,223.31,INR,Posted,Direct Deposit,mobile_app,BATCH_20260601_A,2026-03-19
T00000080,A000031,,M0032,2026-02-07 16:37:00,POS,Api,debit,914.05,INR,Posted,Purchase,card_processor,BATCH_20260602_A,2026-02-07
T00000081,A000106,,,2026-01-23 07:12:00,FEE,Online,debit,32.07,USD,Posted,Transfer,core_banking,BATCH_20260601_A,2026-01-23
T00000082,A000186,,,,FEE,Api,debit,4.86,INR,Posted,Monthly Fee,core_banking,BATCH_20260601_B,
T00000083,A000184,CRD000157,M0049,,POS,Mobile,debit,265.92,CAD,Failed,Transfer,mobile_app,BATCH_20260601_A,
T00000084,A000165,CRD000026,M0010,,POS,Api,debit,177.75,INR,Reversed,Purchase,branch_teller,BATCH_20260601_B,
T00000085,A000091,,,,ATM,Api,debit,193.1,EUR,Failed,Transfer,branch_teller,BATCH_20260601_A,
T00000086,A000131,,,,ATM,Branch,debit,56.39,INR,Reversed,Bill Pay,branch_teller,BATCH_20260602_A,
T00000087,A000140,,,,INTEREST,Atm,credit,959.31,USD,Failed,Bill Pay,branch_teller,BATCH_20260602_A,
T00000088,A000009,,,,PAYROLL,Api,credit,310.78,USD,Posted,Bill Pay,branch_teller,BATCH_20260602_A,
T00000089,A000204,CRD000157,M0003,,POS,Atm,debit,320.14,USD,Reversed,Cash Withdrawal,card_processor,BATCH_20260601_A,
T00000090,A000107,,,,PAYROLL,Mobile,credit,37.48,INR,Reversed,Cash Withdrawal,mobile_app,BATCH_20260601_B,
T00000091,A000061,,,2026-03-09 13:41:00,PAYROLL,Online,credit,163.1,INR,Failed,Direct Deposit,card_processor,BATCH_20260602_A,2026-03-09
T00000092,A000108,,,2026-04-27 07:37:00,ACH,Branch,debit,448.86,INR,Failed,Cash Withdrawal,branch_teller,BATCH_20260602_A,2026-04-27
T00000093,A000119,CRD000069,M0079,2026-05-29 23:03:00,POS,Online,debit,302.07,USD,Posted,Monthly Fee,mobile_app,BATCH_20260601_A,2026-05-29
T00000094,A000162,CRD000167,M0004,2026-03-01 10:30:00,POS,Atm,debit,126.02,CAD,Posted,Cash Withdrawal,branch_teller,BATCH_20260601_A,2026-03-01
T00000095,A000182,CRD000012,M0048,2026-04-13 06:26:00,POS,Card,debit,103.79,CAD,Posted,Monthly Fee,card_processor,BATCH_20260601_A,2026-04-13
T00000096,A000022,,,,FEE,Card,debit,14.14,USD,Posted,Bill Pay,mobile_app,BATCH_20260601_A,
T00000097,A000041,,,2026-02-21 03:12:00,ACH,Atm,debit,94.44,EUR,Posted,Bill Pay,core_banking,BATCH_20260601_B,2026-02-21
T00000098,A000044,,,2026-02-22 04:19:00,ACH,Atm,debit,268.41,CAD,Failed,Transfer,card_processor,BATCH_20260601_B,2026-02-22
T00000099,A000179,,,,INTEREST,Card,credit,399.14,GBP,Pending,Direct Deposit,mobile_app,BATCH_20260602_A,
T00000100,A000132,,M0047,2026-01-30 07:38:00,REFUND,Mobile,credit,123.33,GBP,Posted,Bill Pay,card_processor,BATCH_20260601_A,2026-01-30
T00000101,A000128,,M0069,,POS,Online,debit,186.09,INR,Reversed,Bill Pay,core_banking,BATCH_20260601_A,
T00000102,A000171,,,2026-01-21 21:59:00,ATM,Card,debit,200.01,INR,Posted,Transfer,card_processor,BATCH_20260601_B,2026-01-21
T00000103,A000201,CRD000014,M0066,2026-03-19 02:32:00,POS,Atm,debit,0.83,USD,Pending,Bill Pay,mobile_app,BATCH_20260602_A,2026-03-19
T00000104,A000126,,,2026-03-05 15:41:00,INTEREST,Branch,credit,78.7,GBP,Pending,Monthly Fee,card_processor,BATCH_20260601_B,2026-03-05
T00000105,A000139,CRD000139,M0042,2026-04-20 16:29:00,POS,Branch,debit,463.78,EUR,Pending,Transfer,core_banking,BATCH_20260602_A,2026-04-20
T00000106,A000086,,,,ACH,Branch,debit,220.94,GBP,Posted,Monthly Fee,branch_teller,BATCH_20260601_A,
T00000107,A000217,CRD000076,M0049,,POS,Branch,debit,355.84,CAD,Reversed,Direct Deposit,core_banking,BATCH_20260601_A,
T00000108,A000061,,,,PAYROLL,Mobile,credit,153.18,INR,Reversed,Transfer,branch_teller,BATCH_20260601_B,
T00000109,A000068,,,,ATM,Branch,debit,476.7,GBP,Posted,Transfer,card_processor,BATCH_20260602_A,
T00000110,A000176,,,,ATM,Online,debit,275.97,USD,Reversed,Purchase,card_processor,BATCH_20260601_A,
T00000111,A000071,,M0070,2026-02-17 13:43:00,POS,Mobile,debit,298.92,INR,Posted,Cash Withdrawal,mobile_app,BATCH_20260601_B,2026-02-17
T00000112,A000179,CRD000154,M0070,,POS,Api,debit,323.1,GBP,Failed,Direct Deposit,branch_teller,BATCH_20260601_A,
T00000113,A000003,CRD000045,M0003,2026-01-17 03:56:00,POS,Card,debit,236.93,EUR,Posted,Cash Withdrawal,core_banking,BATCH_20260601_A,2026-01-17
T00000114,A000220,,,2026-02-09 02:08:00,ACH,Mobile,debit,74.88,USD,Pending,Transfer,mobile_app,BATCH_20260601_A,2026-02-09
T00000115,A000188,,,2026-04-06 22:28:00,ACH,Atm,debit,20.59,GBP,Posted,Direct Deposit,mobile_app,BATCH_20260601_A,2026-04-06
T00000116,A000161,,,2026-04-25 19:19:00,FEE,Api,debit,34.32,USD,Posted,Direct Deposit,mobile_app,BATCH_20260602_A,2026-04-25
T00000117,A000207,,,2026-03-09 13:25:00,ACH,Api,debit,798.1,EUR,Failed,Monthly Fee,branch_teller,BATCH_20260601_B,2026-03-09
T00000118,A000174,,,2026-03-22 20:12:00,FEE,Card,debit,15.97,EUR,Reversed,Transfer,mobile_app,BATCH_20260601_B,2026-03-22
T00000119,A000086,,,2026-05-02 06:24:00,ACH,Mobile,debit,64.52,EUR,Posted,Monthly Fee,card_processor,BATCH_20260601_B,2026-05-02
T00000120,A000186,CRD000164,M0044,2026-03-29 22:23:00,POS,Branch,debit,297.49,INR,Posted,Monthly Fee,core_banking,BATCH_20260602_A,2026-03-29
T00000121,A000048,,,,WIRE,Branch,debit,538.3499999999999,GBP,Posted,Transfer,branch_teller,BATCH_20260601_A,
T00000122,A000076,CRD000029,M0014,2026-02-20 13:19:00,POS,Branch,debit,105.64,USD,Posted,Bill Pay,mobile_app,BATCH_20260602_A,2026-02-20
T00000123,A000066,,,2026-05-15 22:39:00,INTEREST,Mobile,credit,127.63,CAD,Posted,Cash Withdrawal,branch_teller,BATCH_20260602_A,2026-05-15
T00000124,A000157,,M0029,,REFUND,Card,credit,444.98,USD,Pending,Purchase,card_processor,BATCH_20260602_A,
T00000125,A000124,,,,WIRE,Online,debit,180.42,CAD,Posted,Monthly Fee,mobile_app,BATCH_20260601_A,
T00000126,A000100,CRD000054,M0025,2026-04-16 21:31:00,POS,Atm,debit,67.9,CAD,Failed,Transfer,card_processor,BATCH_20260601_A,2026-04-16
T00000127,A000108,,M0044,2026-05-17 03:07:00,POS,Online,debit,405.74,INR,Posted,Transfer,card_processor,BATCH_20260601_B,2026-05-17
T00000128,A000108,,,,WIRE,Api,debit,673.86,INR,Failed,Cash Withdrawal,mobile_app,BATCH_20260601_B,
T00000129,A000080,,,,ACH,Atm,debit,198.65,GBP,Posted,Bill Pay,branch_teller,BATCH_20260601_B,
T00000130,A000070,,,,ATM,Online,debit,50.81,EUR,Failed,Cash Withdrawal,card_processor,BATCH_20260601_A,
T00000131,A000070,CRD000016,M0061,2026-04-09 19:59:00,POS,Branch,debit,11.72,EUR,Reversed,Cash Withdrawal,core_banking,BATCH_20260601_B,2026-04-09
T00000132,A000087,,,,ACH,Online,debit,131.08,CAD,Posted,Bill Pay,core_banking,BATCH_20260602_A,
T00000133,A000069,,M0037,,REFUND,Card,credit,28.45,EUR,Failed,Bill Pay,card_processor,BATCH_20260601_A,
T00000134,A000191,,,2026-04-15 05:52:00,INTEREST,Card,credit,268.69,GBP,Posted,Bill Pay,card_processor,BATCH_20260601_B,2026-04-15
T00000135,A000153,,,2026-03-03 20:39:00,ACH,Mobile,debit,331.88,EUR,Failed,Monthly Fee,branch_teller,BATCH_20260601_A,2026-03-03
T00000136,A000041,CRD000179,M0029,,POS,Online,debit,23.8,EUR,Posted,Cash Withdrawal,mobile_app,BATCH_20260601_A,
T00000137,A000027,CRD000023,M0007,,POS,Branch,debit,267.97,INR,Pending,Monthly Fee,card_processor,BATCH_20260601_B,
T00000138,A000092,CRD000170,M0020,2026-02-16 02:55:00,POS,Card,debit,524.95,INR,Posted,Cash Withdrawal,mobile_app,BATCH_20260601_B,2026-02-16
T00000139,A000053,,,,ATM,Atm,debit,141.66,INR,Failed,Monthly Fee,branch_teller,BATCH_20260602_A,
T00000140,A000108,,,,ACH,Mobile,debit,48.77,INR,Posted,Direct Deposit,mobile_app,BATCH_20260602_A,
T00000141,A000198,CRD000081,M0058,2026-02-21 08:02:00,POS,Api,debit,192.75,GBP,Reversed,Direct Deposit,branch_teller,BATCH_20260601_A,2026-02-21
T00000142,A000125,,,2026-03-08 07:06:00,WIRE,Atm,debit,162.12,USD,Posted,Purchase,core_banking,BATCH_20260602_A,2026-03-08
T00000143,A000026,,,2026-05-11 08:29:00,ACH,Online,debit,53.47,EUR,Reversed,Bill Pay,core_banking,BATCH_20260601_A,2026-05-11
T00000144,A000105,CRD000032,M0049,2026-05-27 12:45:00,POS,Atm,debit,218.04,GBP,Failed,Direct Deposit,mobile_app,BATCH_20260601_A,2026-05-27
T00000145,A000160,CRD000172,M0019,2026-04-15 22:23:00,POS,Mobile,debit,93.86,GBP,Posted,Monthly Fee,card_processor,BATCH_20260602_A,2026-04-15
T00000146,A000067,CRD000116,M0069,2026-05-29 01:13:00,POS,Api,debit,543.48,EUR,Failed,Monthly Fee,core_banking,BATCH_20260601_A,2026-05-29
T00000147,A000071,CRD000170,M0044,,POS,Branch,debit,192.1,INR,Pending,Cash Withdrawal,core_banking,BATCH_20260601_B,
T00000148,A000150,,,2026-01-30 01:32:00,PAYROLL,Api,credit,309.65,USD,Failed,Transfer,mobile_app,BATCH_20260601_A,2026-01-30
T00000149,A000210,,,2026-02-01 06:37:00,FEE,Api,debit,16.51,INR,Failed,Purchase,branch_teller,BATCH_20260602_A,2026-02-01
T00000150,A000122,,M0051,,POS,Api,debit,159.72,USD,Failed,Cash Withdrawal,card_processor,BATCH_20260602_A,
T00000151,A000067,CRD000050,M0053,2026-01-02 10:01:00,POS,Branch,debit,187.93,EUR,Posted,Cash Withdrawal,card_processor,BATCH_20260601_B,2026-01-02
T00000152,A000074,,,2026-01-15 19:44:00,FEE,Online,debit,43.76,CAD,Posted,Purchase,core_banking,BATCH_20260601_B,2026-01-15
T00000153,A000193,,,,ACH,Api,debit,273.72,EUR,Failed,Direct Deposit,card_processor,BATCH_20260601_A,
T00000154,A000187,,,,ACH,Online,debit,199.44,CAD,Posted,Bill Pay,mobile_app,BATCH_20260601_A,
T00000155,A000156,CRD000145,M0018,,POS,Mobile,debit,66.88,USD,Posted,Direct Deposit,mobile_app,BATCH_20260601_A,
T00000156,A000052,,,2026-01-05 22:57:00,ACH,Online,debit,436.55,USD,Reversed,Cash Withdrawal,branch_teller,BATCH_20260602_A,2026-01-05
T00000157,A000055,CRD000103,M0016,2026-03-18 04:28:00,POS,Card,debit,310.53,GBP,Posted,Monthly Fee,branch_teller,BATCH_20260602_A,2026-03-18
T00000158,A000022,,,2026-04-29 21:10:00,INTEREST,Online,credit,69.58,USD,Reversed,Direct Deposit,mobile_app,BATCH_20260601_B,2026-04-29
T00000159,A000076,,,2026-04-24 13:32:00,PAYROLL,Branch,credit,114.88,GBP,Posted,Bill Pay,card_processor,BATCH_20260601_A,2026-04-24
T00000160,A000140,,M0071,,REFUND,Atm,credit,151.64,USD,Posted,Monthly Fee,core_banking,BATCH_20260602_A,
T00000161,A000122,,,2026-03-29 12:51:00,WIRE,Mobile,debit,5026.56,USD,Reversed,Monthly Fee,core_banking,BATCH_20260601_B,2026-03-29
T00000162,A000092,,,2026-01-22 02:34:00,ATM,Mobile,debit,119.19,INR,Reversed,Direct Deposit,card_processor,BATCH_20260601_A,2026-01-22
T00000163,A000046,,M0009,2026-04-27 11:35:00,POS,Atm,debit,138.21,GBP,Failed,Direct Deposit,branch_teller,BATCH_20260602_A,2026-04-27
T00000164,A000026,,,,FEE,Online,debit,17.34,EUR,Reversed,Bill Pay,mobile_app,BATCH_20260601_B,
T00000165,A000156,CRD000005,M0023,2026-05-06 11:12:00,POS,Online,debit,218.98,USD,Failed,Transfer,core_banking,BATCH_20260601_A,2026-05-06
T00000166,A000179,CRD000120,M0059,2026-04-11 18:48:00,POS,Card,debit,149.86,GBP,Pending,Transfer,mobile_app,BATCH_20260602_A,2026-04-11
T00000167,A000190,,M0068,2026-01-25 19:31:00,POS,Card,debit,22.83,INR,Posted,Direct Deposit,core_banking,BATCH_20260602_A,2026-01-25
T00000168,A000110,,M0062,,POS,Branch,debit,389.16,CAD,Posted,Monthly Fee,core_banking,BATCH_20260601_B,
T00000169,A000213,CRD000066,M0029,2026-01-27 04:08:00,POS,Card,debit,249.8,EUR,Posted,Purchase,branch_teller,BATCH_20260601_B,2026-01-27
T00000170,A000218,CRD000172,M0069,2026-02-23 23:27:00,POS,Card,debit,295.69,GBP,Reversed,Monthly Fee,card_processor,BATCH_20260601_B,2026-02-23
T00000171,A000131,,,2026-02-03 08:41:00,ATM,Mobile,debit,730.12,USD,Posted,Transfer,mobile_app,BATCH_20260601_B,2026-02-03
T00000172,A000191,,,,WIRE,Card,debit,1289.15,GBP,Failed,Cash Withdrawal,mobile_app,BATCH_20260601_A,
T00000173,A000141,,,2026-05-10 08:30:00,INTEREST,Atm,credit,214.35,INR,Posted,Transfer,core_banking,BATCH_20260601_A,2026-05-10
T00000174,A000047,,,2026-05-10 13:09:00,ACH,Mobile,debit,963.64,USD,Pending,Transfer,card_processor,BATCH_20260601_B,2026-05-10
T00000175,A000186,,,,ATM,Card,debit,333.29,INR,Posted,Direct Deposit,branch_teller,BATCH_20260602_A,
T00000176,A000179,CRD000041,M0050,,POS,Online,debit,38.65,GBP,Pending,Cash Withdrawal,core_banking,BATCH_20260601_B,
T00000177,A000125,CRD000173,M0054,2026-03-23 02:55:00,POS,Atm,debit,262.09,GBP,Posted,Purchase,core_banking,BATCH_20260602_A,2026-03-23
T00000178,A000185,,M0016,2026-02-12 20:33:00,POS,Branch,debit,151.61,USD,Posted,Monthly Fee,mobile_app,BATCH_20260601_B,2026-02-12
T00000179,A000081,CRD000113,M0075,2026-01-09 03:51:00,POS,Api,debit,79.93,CAD,Posted,Purchase,core_banking,BATCH_20260602_A,2026-01-09
T00000180,A000083,,,,FEE,Atm,debit,26.81,EUR,Posted,Transfer,card_processor,BATCH_20260601_B,
T00000181,A000001,,,,INTEREST,Online,credit,143.2,CAD,Posted,Monthly Fee,card_processor,BATCH_20260601_B,
T00000182,A000181,,,2026-05-31 07:24:00,ACH,Atm,debit,83.5,INR,Posted,Monthly Fee,branch_teller,BATCH_20260601_A,2026-05-31
T00000183,A000035,,M0061,,REFUND,Card,credit,394.13,USD,Posted,Direct Deposit,core_banking,BATCH_20260601_B,
T00000184,A000010,CRD000104,M0035,,POS,Card,debit,29.3,USD,Reversed,Direct Deposit,core_banking,BATCH_20260601_A,
T00000185,A000045,,,,ACH,Branch,debit,235.42,INR,Posted,Monthly Fee,branch_teller,BATCH_20260601_B,
T00000186,A000065,CRD000151,M0064,,POS,Card,debit,242.06,GBP,Posted,Direct Deposit,mobile_app,BATCH_20260601_A,
T00000187,A000094,,,2026-03-24 05:53:00,ACH,Card,debit,7.21,EUR,Posted,Bill Pay,branch_teller,BATCH_20260601_B,2026-03-24
T00000188,A000063,,M0009,,POS,Branch,debit,288.58,INR,Posted,Purchase,branch_teller,BATCH_20260601_B,
T00000189,A000099,,,2026-03-01 12:09:00,ACH,Atm,debit,389.35,USD,Reversed,Transfer,card_processor,BATCH_20260601_B,2026-03-01
T00000190,A000038,CRD000133,M0079,,POS,Card,debit,3.69,CAD,Pending,Purchase,card_processor,BATCH_20260602_A,
T00000191,A000010,CRD000169,M0018,2026-01-28 12:20:00,POS,Card,debit,89.08,GBP,Failed,Monthly Fee,mobile_app,BATCH_20260601_A,2026-01-28
T00000192,A000048,,,2026-05-25 15:18:00,ATM,Api,debit,86.01,GBP,Failed,Purchase,branch_teller,BATCH_20260601_A,2026-05-25
T00000193,A000068,CRD000157,M0076,2026-05-04 23:43:00,POS,Atm,debit,815.84,GBP,Reversed,Transfer,card_processor,BATCH_20260601_A,2026-05-04
T00000194,A000197,,M0013,2026-05-06 07:41:00,POS,Online,debit,29.53,USD,Posted,Transfer,mobile_app,BATCH_20260601_B,2026-05-06
