account_id,customer_id,branch_id,account_type,currency,open_date,close_date,account_status,opening_balance,overdraft_limit
A000136,C00040,B004,Credit,CAD,2024-05-29,,Dormant,22269.85,1000
A000137,C00114,B005,Savings,CAD,,2024-05-02,Closed,6662.92,0
A000138,C00020,B004,Checking,USD,2021-05-31,,Closed,20924.12,0
A000139,C00038,B004,Checking,EUR,,2025-07-24,Frozen,907.61,500
A000140,C00068,B006,Credit,USD,,,Dormant,6927.07,0
A000141,C00074,B004,Loan,INR,2025-03-28,,Frozen,5740.55,0
A000142,C00111,B008,Checking,EUR,2025-03-19,,Open,3564.93,500
A000143,C00111,B006,Checking,GBP,,,Open,5268.11,1000
A000144,C00068,B008,Checking,USD,,,Dormant,617.49,1000
A000145,C00032,B008,Credit,CAD,,,Dormant,699.34,0
A000146,C00138,B010,Loan,EUR,2022-05-30,,Dormant,22055.37,2000
A000147,C00024,B004,Savings,INR,2022-06-01,,Closed,9520.45,1000
A000148,C00098,B006,Savings,EUR,2024-06-13,,Frozen,17048.45,0
A000149,C00007,B010,Savings,INR,2024-07-16,,Open,13216.44,1000
A000150,C00011,B001,Checking,USD,,,Open,18046.18,500
A000151,C00066,B005,Savings,GBP,,,Closed,24364.19,0
A000152,C00064,B003,Checking,EUR,,,Open,15386.13,500
A000153,C00120,B002,Savings,EUR,2024-07-09,,Frozen,22286.79,1000
A000154,C00091,B005,Loan,GBP,2024-07-24,,Closed,15503.7,250
A000155,C00125,B003,Credit,CAD,2023-06-15,2024-01-23,Dormant,2199.66,250
A000156,C00015,B005,Savings,USD,2025-04-15,,Open,17518.15,1000
A000157,C00032,B008,Savings,USD,2026-01-31,,Open,11665.77,500
A000158,C00123,B001,Checking,GBP,2022-10-18,,Open,11631.6,0
A000159,C00133,B009,Credit,USD,2022-08-28,2025-06-23,Frozen,3398.07,500
A000160,C00149,B008,Checking,INR,,,Open,4499.68,500
A000161,C00150,B001,Checking,USD,,,Open,12943.77,0
A000162,C00003,B010,Savings,CAD,,,Open,1678.27,1000
A000163,C00070,B006,Savings,CAD,2023-05-19,,Frozen,1226.94,250
A000164,C00085,B003,Checking,EUR,2025-06-27,,Open,6387.02,1000
A000165,C00088,B009,Savings,INR,2022-12-08,2023-06-09,Open,15716.54,0
A000166,C00110,B009,Checking,USD,,,Dormant,6747.93,0
A000167,C00050,B005,Credit,USD,,,Open,8660.94,2000
A000168,C00062,B001,Checking,INR,,,Open,6755.0,0
A000169,C00083,B004,Checking,GBP,,,Open,830.58,500
A000170,C00084,B004,Savings,CAD,2021-12-18,,Open,3754.17,2000
A000171,C00007,B005,Checking,INR,2022-01-04,,Open,16389.18,500
A000172,C00124,B008,Savings,USD,,,Open,3216.18,2000
A000173,C00100,B005,Checking,CAD,,,Open,15853.95,500
A000174,C00085,B003,Checking,EUR,2023-08-18,,Open,19028.79,1000
A000175,C00140,B003,Savings,USD,,,Open,24695.17,1000
A000176,C00150,B006,Savings,USD,,,Open,12048.37,0
A000177,C00009,B002,Savings,USD,2023-02-04,,Dormant,4377.26,250
A000178,C00145,B006,Checking,USD,2021-12-10,,Frozen,10677.33,0
A000179,C00113,B008,Checking,GBP,2024-11-14,2025-01-19,Open,13274.91,0
A000180,C00137,B006,Savings,GBP,,,Open,16547.0,1000
A000181,C00092,B007,Checking,INR,,,Closed,2649.06,250
A000182,C00001,B003,Savings,CAD,,2026-03-01,Open,14718.95,0
A000183,C00128,B010,Loan,GBP,2024-02-11,2025-05-11,Open,13456.96,500
A000184,C00138,B006,Loan,CAD,2024-01-29,,Dormant,6270.5,0
A000185,C00116,B010,Checking,USD,2024-03-02,,Closed,20498.42,0
A000186,C00092,B005,Savings,INR,2024-04-15,,Open,15315.77,2000
A000187,C00061,B001,Checking,CAD,,,Closed,16105.43,1000
A000188,C00057,B007,Credit,GBP,2024-11-23,,Open,12986.85,1000
A000189,C_BAD,B007,Credit,EUR,,,Closed,4123.06,0
A000190,C00059,B002,Checking,INR,,,Dormant,8312.26,0
A000191,C00066,B005,Savings,GBP,,,Open,19799.62,1000
A000192,C00039,B005,Credit,GBP,,,Dormant,1196.66,0
A000193,C00005,B009,Checking,EUR,2022-11-23,,Frozen,24128.27,250
A000194,C00022,B010,Checking,EUR,,,Open,20257.1,0
A000195,C00079,B001,Checking,EUR,,,Open,23603.16,500
A000196,C00122,B007,Savings,INR,2022-05-16,,Open,21095.28,0
A000197,C00066,B007,Savings,USD,2022-10-20,,Dormant,7955.26,250
A000198,C00127,B010,Checking,GBP,,,Dormant,3327.8,1000
A000199,C00049,B003,Checking,INR,,,Open,3488.58,500
A000200,C00016,B008,Checking,CAD,,,Closed,3927.43,2000
A000201,C00150,B003,Savings,USD,,,Open,1599.56,2000
A000202,C00011,B004,Loan,INR,2025-01-08,,Closed,9098.25,2000
A000203,C00115,B005,Credit,USD,2021-01-05,,Open,11026.58,0
A000204,C00010,B008,Savings,USD,,,Dormant,22531.56,2000
A000205,C00089,B002,Checking,EUR,,,Open,7385.5,0
A000206,C00038,B008,Checking,EUR,,,Dormant,13632.92,500
A000207,C00005,B006,Checking,EUR,2022-05-05,,Open,365.87,0
A000208,C00106,B010,Savings,CAD,2021-02-20,,Dormant,23218.54,2000
A000209,C00029,B006,Credit,USD,2024-05-01,,Dormant,2196.24,500
A000210,C00081,B006,Checking,INR,,2023-05-02,Open,7336.91,500
A000211,C00074,B004,Credit,USD,,,Closed,12015.96,250
A000212,C00064,B010,Checking,CAD,,,Closed,23472.09,1000
A000213,C00031,B005,Loan,EUR,,,Open,19554.92,250
A000214,C00056,B006,Savings,INR,2023-03-17,,Open,22147.2,0
A000215,C00092,B007,Savings,CAD,2025-10-29,,Frozen,20917.56,1000
A000216,C00150,B008,Credit,INR,2025-01-31,,Open,5571.02,0
A000217,C00133,B001,Checking,CAD,,,Frozen,21949.82,1000
A000218,C00078,B009,Savings,GBP,,,Frozen,8855.13,2000
A000219,C00004,B006,Checking,INR,2023-12-16,,Open,19419.95,250
A000220,C00048,B001,Checking,USD,2023-12-18,,Open,24373.86,250
A000221,C00006,B007,Credit,INR,,2025-11-02,Open,11107.58,0
A000222,C00116,B002,Checking,CAD,2022-11-03,,Open,9424.25,250
A000223,C00060,B003,Credit,CAD,2024-10-20,,Open,19109.86,1000
A000224,C00147,B008,Checking,USD,2025-08-20,,Frozen,8587.29,1000
A000225,C00089,B003,Checking,INR,,,Open,18173.42,2000
A000226,C00004,B006,Savings,EUR,,,Open,3864.38,0
A000227,C00023,B004,Loan,CAD,,,Open,16183.36,2000
A000228,C00091,B010,Savings,USD,,,Open,17678.66,250
A000229,C00069,B006,Checking,CAD,2022-12-29,,Open,13036.65,0
A000230,C00016,B009,Checking,INR,2021-03-15,,Frozen,22358.29,500
A000231,C00060,B001,Savings,GBP,,,Open,9912.6,500
A000232,C00095,B004,Credit,GBP,,,Open,10527.81,250
A000233,C00032,B001,Checking,CAD,2025-05-21,,Frozen,23166.82,2000
A000234,C00114,B006,Loan,CAD,2023-02-04,,Open,5111.83,0
A000235,C00116,B002,Credit,EUR,,,Dormant,7404.4,2000
A000236,C00053,B002,Savings,CAD,,,Closed,12564.24,1000
A000237,C00141,B004,Checking,GBP,,,Frozen,7324.05,1000
A000238,C00134,B004,Checking,INR,,,Dormant,4256.47,250
A000239,C00016,B004,Checking,INR,,,Open,15264.75,250
A000240,C00039,B004,Credit,GBP,,,Open,14519.84,1000
