supplier_id,supplier_name,supplier_tier,country,lead_time_days,quality_score,on_time_delivery_rate,is_active
SUP00078,Global Supplier 78,preferred ,MEX,21,90.09,0.9601,Yes
SUP00079,Pioneer Supplier 79,Backup,CAN,10,79.68,0.6599,No
SUP00080,Quantum Supplier 80,Strategic,VNM,10,81.58,0.9045,Yes
SUP00081,Global Supplier 81,Preferred,CAN,14,78.26,0.8291,Yes
SUP00082,Sterling Supplier 82,Strategic,DEU,unknown,87.27,0.8101,1
SUP00083,Atlas Supplier 83,Backup,CHN,5,70.99,0.8745,Y
SUP00084,Quantum Supplier 84,preferred ,DEU,,82.00,0.7987,No
SUP00085,Quantum Supplier 85,Preferred,CAN,14,78.16,0.7843,Yes
SUP00086,Global Supplier 86,Preferred,MEX,10,92.63,0.8710,Yes
SUP00087,Atlas Supplier 87,Strategic,DEU,7,77.02,0.8146,No
SUP00088,Pioneer Supplier 88,preferred ,DEU,21,77.47,0.8607,1
SUP00089,Evergreen Supplier 89,preferred ,USA,21,93.68,0.9887,Yes
SUP00090,Pioneer Supplier 90,Standard,VNM,7,90.27,0.8148,Y
SUP00091,Evergreen Supplier 91,Backup,CAN,21,87.94,0.6872,Yes
SUP00092,Global Supplier 92,Strategic,MEX,5,79.47,0.8978,No
SUP00093,Sterling Supplier 93,Standard,IND,7,98.93,0.7134,Y
SUP00094,Pioneer Supplier 94,preferred ,CAN,5,93.22,0.8138,No
SUP00095,Quantum Supplier 95,preferred ,CHN,,,0.8442,Yes
SUP00096,Pioneer Supplier 96,Strategic,VNM,5,87.80,0.7444,Yes
SUP00097,Sterling Supplier 97,preferred ,IND,7,70.59,0.6568,Y
SUP00098,Sterling Supplier 98,Backup,CHN,21,81.20,0.8629,Yes
SUP00099,Pioneer Supplier 99,preferred ,DEU,7,97.12,0.8762,No
SUP00100,Evergreen Supplier 100,preferred ,MEX,5,88.55,0.7283,Yes
SUP00101,Pioneer Supplier 101,Preferred,VNM,21,94.72,0.9700,No
SUP00102,Atlas Supplier 102,preferred ,CAN,unknown,81.83,0.8601,No
SUP00103,Quantum Supplier 103,Preferred,MEX,10,78.65,0.9692,Y
SUP00104,Global Supplier 104,preferred ,VNM,unknown,75.04,0.7743,Yes
SUP00105,Sterling Supplier 105,Backup,MEX,21,87.32,0.9338,1
SUP00106,Global Supplier 106,Preferred,IND,14,98.96,0.7395,Y
SUP00107,Evergreen Supplier 107,Strategic,CAN,14,98.65,0.9457,Yes
SUP00108,Atlas Supplier 108,Backup,IND,30,79.97,0.8455,Y
SUP00109,Atlas Supplier 109,Strategic,CAN,5,78.33,0.7265,Yes
SUP00110,Pioneer Supplier 110,preferred ,CHN,unknown,88.38,0.7862,No
SUP00111,Quantum Supplier 111,Strategic,DEU,,79.20,0.6722,Yes
SUP00112,Sterling Supplier 112,Backup,MEX,,93.90,0.8838,1
SUP00113,Atlas Supplier 113,Backup,VNM,,79.76,0.7713,No
SUP00114,Evergreen Supplier 114,Strategic,MEX,21,82.47,0.7595,No
SUP00115,Sterling Supplier 115,Strategic,DEU,10,81.67,bad,Yes
SUP00116,Atlas Supplier 116,Strategic,MEX,14,90.67,0.9565,Y
SUP00117,Quantum Supplier 117,Preferred,MEX,7,97.50,0.7279,No
SUP00118,Pioneer Supplier 118,preferred ,VNM,7,79.80,0.6659,1
SUP00119,Pioneer Supplier 119,preferred ,MEX,,84.31,0.8626,Y
SUP00120,Atlas Supplier 120,Backup,CHN,14,70.08,0.9355,N
SUP00121,Atlas Supplier 121,preferred ,CHN,14,86.02,0.8483,N
SUP00122,Global Supplier 122,Backup,DEU,14,86.29,0.7178,N
SUP00123,Atlas Supplier 123,Backup,USA,,90.02,0.8497,Yes
SUP00124,Atlas Supplier 124,Preferred,CHN,,71.23,0.9629,No
SUP00125,Sterling Supplier 125,Strategic,CHN,5,74.20,0.8277,N
SUP00011,Sterling Supplier 11,preferred ,CAN,unknown,77.32,0.7948,Yes
