po_line_id,po_id,line_number,product_id,ordered_qty,unit_cost,line_status,valid_quantity,valid_unit_cost,quarantine_reason
POL0000000095,PO00000034,2,SKU0000540,,191.55,Open,False,True,PO line has invalid values
POL0000000097,PO00000034,4,SKU0000314,,217.39,Received,False,True,PO line has invalid values
POL0000000099,PO00000035,2,SKU0000471,,31.8,Cancelled,False,True,PO line has invalid values
POL0000000100,PO00000035,3,SKU0000151,,236.85,Open,False,True,PO line has invalid values
POL0000000104,PO00000036,3,SKU0000516,,82.03,Partial,False,True,PO line has invalid values
POL0000000107,PO00000037,3,SKU0000012,,220.94,Received,False,True,PO line has invalid values
POL0000000108,PO00000037,4,SKU0000320,-5.0,6.22,Open,False,True,PO line has invalid values
POL0000000109,PO00000038,1,SKU0000340,,26.34,Open,False,True,PO line has invalid values
POL0000000111,PO00000038,3,SKU0000191,-5.0,255.44,Open,False,True,PO line has invalid values
POL0000000113,PO00000039,1,SKU0000511,-5.0,118.6,Open,False,True,PO line has invalid values
POL0000000115,PO00000039,3,SKU0000529,-5.0,230.58,Open,False,True,PO line has invalid values
POL0000000118,PO00000041,1,SKU0000517,,63.69,Open,False,True,PO line has invalid values
POL0000000125,PO00000044,3,SKU0000676,,230.94,Open,False,True,PO line has invalid values
POL0000000130,PO00000046,1,SKU0000125,,173.82,Cancelled,False,True,PO line has invalid values
POL0000000138,PO00000050,3,SKU0000332,,261.39,Cancelled,False,True,PO line has invalid values
POL0000000145,PO00000053,1,SKU0000395,,239.1,Cancelled,False,True,PO line has invalid values
POL0000000152,PO00000055,1,SKU0000622,,100.24,Open,False,True,PO line has invalid values
POL0000000164,PO00000059,1,SKU0000523,,261.93,Open,False,True,PO line has invalid values
POL0000000166,PO00000059,3,SKU0000459,,220.01,Cancelled,False,True,PO line has invalid values
POL0000000167,PO00000059,4,SKU0000529,,230.58,Open,False,True,PO line has invalid values
POL0000000168,PO00000060,1,SKU0000060,-5.0,97.86,Cancelled,False,True,PO line has invalid values
POL0000000170,PO00000062,1,SKU0000357,-5.0,137.9,Open,False,True,PO line has invalid values
POL0000000173,PO00000063,1,SKU0000489,-5.0,248.68,Partial,False,True,PO line has invalid values
POL0000000178,PO00000064,4,SKU0000489,-5.0,248.68,Open,False,True,PO line has invalid values
POL0000000180,PO00000065,2,SKU0000287,-5.0,153.33,Partial,False,True,PO line has invalid values
POL0000000185,PO00000067,3,SKU0000052,,81.58,Open,False,True,PO line has invalid values
POL0000000186,PO00000067,4,SKU0000318,,275.06,Open,False,True,PO line has invalid values
POL0000000189,PO00000068,3,SKU0000685,,278.17,Cancelled,False,True,PO line has invalid values
POL0000000196,PO00000071,2,SKU0000441,-5.0,216.68,Open,False,True,PO line has invalid values
POL0000000198,PO00000072,2,SKU0000153,-5.0,22.93,Cancelled,False,True,PO line has invalid values
POL0000000200,PO00000072,4,SKU0000179,,202.89,Received,False,True,PO line has invalid values
POL0000000208,PO00000075,2,SKU0000572,,284.13,Open,False,True,PO line has invalid values
POL0000000210,PO00000076,2,SKU_UNKNOWN,-5.0,25.77,Cancelled,False,True,PO line has invalid values
POL0000000212,PO00000077,1,SKU0000200,,224.59,Open,False,True,PO line has invalid values
POL0000000215,PO00000080,1,SKU0000022,-5.0,299.83,Partial,False,True,PO line has invalid values
POL0000000226,PO00000083,2,SKU0000120,,249.11,Received,False,True,PO line has invalid values
POL0000000227,PO00000084,1,SKU0000058,,170.69,Open,False,True,PO line has invalid values
POL0000000229,PO00000084,3,SKU0000527,-5.0,70.18,Open,False,True,PO line has invalid values
POL0000000231,PO00000085,1,SKU0000223,,257.93,Open,False,True,PO line has invalid values
POL0000000232,PO00000086,1,SKU0000234,-5.0,86.53,Open,False,True,PO line has invalid values
POL0000000233,PO00000087,1,SKU0000575,,46.73,Received,False,True,PO line has invalid values
POL0000000235,PO00000087,3,SKU0000625,,245.97,Received,False,True,PO line has invalid values
POL0000000236,PO00000087,4,SKU0000079,,175.49,Cancelled,False,True,PO line has invalid values
POL0000000241,PO00000089,2,SKU0000507,,7.71,Received,False,True,PO line has invalid values
POL0000000243,PO00000091,1,SKU0000200,,224.59,Open,False,True,PO line has invalid values
POL0000000244,PO00000092,1,SKU0000304,,104.7,Open,False,True,PO line has invalid values
POL0000000245,PO00000092,2,SKU0000482,,146.9,Open,False,True,PO line has invalid values
POL0000000247,PO00000092,4,SKU0000579,-5.0,289.24,Open,False,True,PO line has invalid values
POL0000000250,PO00000093,3,SKU0000272,-5.0,253.68,Partial,False,True,PO line has invalid values
POL0000000252,PO00000094,1,SKU0000328,-5.0,245.84,Open,False,True,PO line has invalid values
POL0000000255,PO00000095,1,SKU0000673,,116.56,Partial,False,True,PO line has invalid values
POL0000000256,PO00000095,2,SKU0000310,-5.0,285.19,Open,False,True,PO line has invalid values
POL0000000257,PO00000095,3,SKU0000480,,288.48,Partial,False,True,PO line has invalid values
POL0000000263,PO00000099,1,SKU0000312,,102.23,Cancelled,False,True,PO line has invalid values
POL0000000268,PO00000102,1,SKU0000014,-5.0,187.4,Received,False,True,PO line has invalid values
POL0000000272,PO00000103,1,SKU0000459,-5.0,220.01,Received,False,True,PO line has invalid values
POL0000000274,PO00000105,1,SKU0000026,-5.0,161.1,Partial,False,True,PO line has invalid values
POL0000000278,PO00000107,2,SKU0000573,-5.0,204.84,Received,False,True,PO line has invalid values
POL0000000282,PO00000110,1,SKU0000454,-5.0,182.41,Partial,False,True,PO line has invalid values
POL0000000289,PO00000113,2,SKU0000639,-5.0,,Received,False,False,PO line has invalid values
POL0000000298,PO00000118,2,SKU0000234,,86.53,Received,False,True,PO line has invalid values
POL0000000300,PO00000119,1,SKU0000649,-5.0,127.15,Received,False,True,PO line has invalid values
POL0000000302,PO00000119,3,SKU0000277,,138.96,Received,False,True,PO line has invalid values
POL0000000305,PO00000120,2,SKU0000005,,199.28,Open,False,True,PO line has invalid values
POL0000000308,PO00000121,1,SKU0000327,-5.0,30.43,Cancelled,False,True,PO line has invalid values
POL0000000309,PO00000121,2,SKU0000053,,104.27,Cancelled,False,True,PO line has invalid values
POL0000000317,PO00000124,1,SKU0000492,,141.52,Open,False,True,PO line has invalid values
POL0000000327,PO00000128,4,SKU0000653,-5.0,55.07,Open,False,True,PO line has invalid values
POL0000000329,PO00000129,2,SKU0000487,,98.03,Partial,False,True,PO line has invalid values
POL0000000331,PO00000129,4,SKU0000246,-5.0,22.56,Received,False,True,PO line has invalid values
POL0000000340,PO00000134,4,SKU0000633,,50.73,Received,False,True,PO line has invalid values
POL0000000343,PO00000135,3,SKU0000485,,293.48,Open,False,True,PO line has invalid values
POL0000000344,PO00000135,4,SKU0000444,-5.0,234.25,Received,False,True,PO line has invalid values
POL0000000345,PO00000136,1,SKU0000216,-5.0,261.16,Open,False,True,PO line has invalid values
POL0000000347,PO00000137,1,SKU0000675,,38.43,Open,False,True,PO line has invalid values
POL0000000352,PO00000139,1,SKU0000478,-5.0,113.13,Partial,False,True,PO line has invalid values
POL0000000363,PO00000143,2,SKU0000378,-5.0,170.68,Open,False,True,PO line has invalid values
POL0000000364,PO00000143,3,SKU0000499,,13.64,Cancelled,False,True,PO line has invalid values
POL0000000366,PO00000144,1,SKU0000371,,41.99,Cancelled,False,True,PO line has invalid values
POL0000000367,PO00000145,1,SKU0000026,,161.1,Open,False,True,PO line has invalid values
POL0000000369,PO00000145,3,SKU0000637,-5.0,34.31,Open,False,True,PO line has invalid values
POL0000000371,PO00000146,1,SKU0000055,-5.0,200.83,Open,False,True,PO line has invalid values
POL0000000372,PO00000147,1,SKU0000508,-5.0,11.38,Cancelled,False,True,PO line has invalid values
POL0000000375,PO00000148,1,SKU0000201,-5.0,201.87,Open,False,True,PO line has invalid values
POL0000000379,PO00000149,3,SKU0000405,-5.0,42.44,Received,False,True,PO line has invalid values
POL0000000380,PO00000150,1,SKU0000171,-5.0,111.06,Received,False,True,PO line has invalid values
POL0000000385,PO00000153,1,SKU0000340,,26.34,Open,False,True,PO line has invalid values
POL0000000387,PO00000153,3,SKU0000139,,82.17,Open,False,True,PO line has invalid values
POL0000000390,PO00000154,2,SKU0000468,-5.0,112.39,Received,False,True,PO line has invalid values
POL0000000394,PO00000157,1,SKU0000171,-5.0,111.06,Received,False,True,PO line has invalid values
POL0000000402,PO00000159,4,SKU0000675,,38.43,Open,False,True,PO line has invalid values
POL0000000403,PO00000160,1,SKU0000157,,45.16,Received,False,True,PO line has invalid values
POL0000000404,PO00000160,2,SKU0000202,,51.89,Open,False,True,PO line has invalid values
POL0000000405,PO00000161,1,SKU0000036,-5.0,18.54,Open,False,True,PO line has invalid values
POL0000000408,PO00000161,4,SKU0000565,,76.53,Partial,False,True,PO line has invalid values
POL0000000410,PO00000162,2,SKU0000423,-5.0,165.22,Open,False,True,PO line has invalid values
POL0000000415,PO00000163,3,SKU0000561,,144.73,Open,False,True,PO line has invalid values
POL0000000422,PO00000166,1,SKU0000039,-5.0,186.43,Open,False,True,PO line has invalid values
POL0000000426,PO00000167,1,SKU0000461,,14.48,Open,False,True,PO line has invalid values
POL0000000431,PO00000170,1,SKU0000182,,173.83,Cancelled,False,True,PO line has invalid values
POL0000000433,PO00000170,3,SKU0000103,-5.0,265.22,Received,False,True,PO line has invalid values
POL0000000434,PO00000171,1,SKU0000051,,99.4,Partial,False,True,PO line has invalid values
POL0000000435,PO00000171,2,SKU0000412,,111.97,Cancelled,False,True,PO line has invalid values
POL0000000438,PO00000172,1,SKU0000303,-5.0,25.44,Received,False,True,PO line has invalid values
POL0000000442,PO00000173,3,SKU0000199,,237.35,Partial,False,True,PO line has invalid values
POL0000000443,PO00000174,1,SKU0000676,-5.0,230.94,Cancelled,False,True,PO line has invalid values
POL0000000446,PO00000175,1,SKU0000237,,291.01,Open,False,True,PO line has invalid values
POL0000000469,PO00000184,3,SKU0000184,,84.99,Partial,False,True,PO line has invalid values
POL0000000471,PO00000185,2,SKU0000596,,6.93,Open,False,True,PO line has invalid values
POL0000000482,PO00000191,1,SKU0000631,,212.84,Cancelled,False,True,PO line has invalid values
POL0000000484,PO00000192,1,SKU0000193,,229.5,Open,False,True,PO line has invalid values
POL0000000486,PO00000193,2,SKU0000085,-5.0,227.45,Open,False,True,PO line has invalid values
POL0000000490,PO00000194,2,SKU0000381,-5.0,201.77,Cancelled,False,True,PO line has invalid values
POL0000000493,PO00000195,1,SKU0000049,-5.0,163.72,Received,False,True,PO line has invalid values
POL0000000505,PO00000200,1,SKU0000515,-5.0,143.97,Open,False,True,PO line has invalid values
POL0000000510,PO00000202,2,SKU0000223,-5.0,257.93,Open,False,True,PO line has invalid values
POL0000000511,PO00000202,3,SKU0000054,-5.0,44.17,Received,False,True,PO line has invalid values
POL0000000513,PO00000204,1,SKU0000122,,100.15,Partial,False,True,PO line has invalid values
POL0000000516,PO00000205,1,SKU0000178,,210.15,Open,False,True,PO line has invalid values
POL0000000519,PO00000206,1,SKU0000494,-5.0,101.23,Open,False,True,PO line has invalid values
POL0000000529,PO00000209,3,SKU0000179,-5.0,202.89,Partial,False,True,PO line has invalid values
POL0000000530,PO00000209,4,SKU0000497,,151.59,Open,False,True,PO line has invalid values
POL0000000531,PO00000210,1,SKU0000436,-5.0,185.82,Partial,False,True,PO line has invalid values
POL0000000533,PO00000210,3,SKU0000460,,163.81,Open,False,True,PO line has invalid values
POL0000000536,PO00000212,1,SKU0000667,,282.23,Received,False,True,PO line has invalid values
POL0000000537,PO00000212,2,SKU0000113,,122.37,Open,False,True,PO line has invalid values
POL0000000539,PO00000212,4,SKU0000034,,185.14,Open,False,True,PO line has invalid values
POL0000000541,PO00000213,2,SKU0000583,-5.0,130.33,Open,False,True,PO line has invalid values
POL0000000542,PO00000214,1,SKU0000128,,219.71,Partial,False,True,PO line has invalid values
POL0000000545,PO00000217,1,SKU0000527,-5.0,70.18,Partial,False,True,PO line has invalid values
POL0000000547,PO00000218,1,SKU0000511,,118.6,Received,False,True,PO line has invalid values
POL0000000548,PO00000218,2,SKU0000228,500.0,,Open,True,False,PO line has invalid values
POL0000000551,PO00000219,3,SKU0000426,,3.77,Received,False,True,PO line has invalid values
POL0000000552,PO00000219,4,SKU0000046,-5.0,3.14,Partial,False,True,PO line has invalid values
POL0000000555,PO00000222,1,SKU0000437,,220.45,Open,False,True,PO line has invalid values
POL0000000562,PO00000225,1,SKU0000637,,34.31,Open,False,True,PO line has invalid values
POL0000000567,PO00000226,2,SKU0000559,,247.75,Partial,False,True,PO line has invalid values
POL0000000570,PO00000227,2,SKU0000554,-5.0,197.11,Cancelled,False,True,PO line has invalid values
POL0000000572,PO00000228,1,SKU0000256,-5.0,183.29,Cancelled,False,True,PO line has invalid values
POL0000000575,PO00000229,2,SKU0000123,,231.56,Open,False,True,PO line has invalid values
POL0000000576,PO00000230,1,SKU0000063,-5.0,147.68,Partial,False,True,PO line has invalid values
POL0000000577,PO00000230,2,SKU0000041,,227.5,Open,False,True,PO line has invalid values
POL0000000587,PO00000234,2,SKU0000235,-5.0,137.88,Received,False,True,PO line has invalid values
POL0000000588,PO00000235,1,SKU0000509,,172.71,Cancelled,False,True,PO line has invalid values
POL0000000591,PO00000236,1,SKU0000115,,163.28,Partial,False,True,PO line has invalid values
POL0000000595,PO00000237,1,SKU0000099,,187.46,Received,False,True,PO line has invalid values
POL0000000597,PO00000237,3,SKU0000405,,42.44,Open,False,True,PO line has invalid values
POL0000000608,PO00000241,3,SKU0000583,,130.33,Received,False,True,PO line has invalid values
POL0000000610,PO00000242,2,SKU0000121,,256.62,Cancelled,False,True,PO line has invalid values
POL0000000613,PO00000243,1,SKU0000261,,281.03,Open,False,True,PO line has invalid values
POL0000000614,PO00000243,2,SKU0000627,-5.0,9.16,Partial,False,True,PO line has invalid values
POL0000000625,PO00000248,1,SKU0000173,,85.1,Open,False,True,PO line has invalid values
POL0000000626,PO00000248,2,SKU0000374,-5.0,273.17,Partial,False,True,PO line has invalid values
POL0000000629,PO00000249,2,SKU0000044,-5.0,154.8,Open,False,True,PO line has invalid values
POL0000000630,PO00000249,3,SKU0000578,-5.0,21.43,Open,False,True,PO line has invalid values
POL0000000638,PO00000252,4,SKU0000012,,220.94,Received,False,True,PO line has invalid values
POL0000000646,PO00000255,3,SKU0000532,-5.0,122.33,Open,False,True,PO line has invalid values
POL0000000649,PO00000257,1,SKU0000677,-5.0,105.86,Cancelled,False,True,PO line has invalid values
POL0000000651,PO00000257,3,SKU0000073,-5.0,238.16,Partial,False,True,PO line has invalid values
POL0000000662,PO00000260,2,SKU0000638,-5.0,225.27,Cancelled,False,True,PO line has invalid values
POL0000000668,PO00000262,3,SKU0000490,-5.0,112.73,Cancelled,False,True,PO line has invalid values
POL0000000674,PO00000264,1,SKU0000565,,76.53,Cancelled,False,True,PO line has invalid values
POL0000000683,PO00000268,2,SKU0000335,-5.0,76.57,Received,False,True,PO line has invalid values
POL0000000685,PO00000269,1,SKU0000403,,218.14,Open,False,True,PO line has invalid values
POL0000000689,PO00000270,1,SKU0000021,-5.0,247.69,Cancelled,False,True,PO line has invalid values
POL0000000690,PO00000270,2,SKU0000302,,222.8,Received,False,True,PO line has invalid values
POL0000000697,PO00000272,3,SKU0000109,-5.0,110.75,Partial,False,True,PO line has invalid values
POL0000000698,PO00000272,4,SKU0000531,-5.0,109.37,Received,False,True,PO line has invalid values
POL0000000700,PO00000273,2,SKU0000139,,82.17,Open,False,True,PO line has invalid values
POL0000000701,PO00000273,3,SKU0000011,,230.18,Partial,False,True,PO line has invalid values
POL0000000702,PO00000274,1,SKU0000227,-5.0,248.23,Cancelled,False,True,PO line has invalid values
POL0000000704,PO00000275,2,SKU0000631,,212.84,Open,False,True,PO line has invalid values
POL0000000708,PO00000277,1,SKU0000059,-5.0,145.09,Cancelled,False,True,PO line has invalid values
POL0000000709,PO00000277,2,SKU0000326,,234.1,Received,False,True,PO line has invalid values
POL0000000711,PO00000277,4,SKU0000032,,111.82,Open,False,True,PO line has invalid values
POL0000000723,PO00000281,1,SKU0000583,,130.33,Received,False,True,PO line has invalid values
POL0000000724,PO00000281,2,SKU0000262,,170.59,Received,False,True,PO line has invalid values
POL0000000726,PO00000283,1,SKU0000167,,27.48,Cancelled,False,True,PO line has invalid values
POL0000000728,PO00000284,1,SKU0000181,-5.0,169.03,Open,False,True,PO line has invalid values
POL0000000729,PO00000285,1,SKU0000233,-5.0,14.4,Open,False,True,PO line has invalid values
POL0000000736,PO00000287,3,SKU0000593,,197.98,Partial,False,True,PO line has invalid values
POL0000000741,PO00000290,2,SKU0000109,-5.0,110.75,Open,False,True,PO line has invalid values
POL0000000742,PO00000291,1,SKU0000481,,123.51,Partial,False,True,PO line has invalid values
POL0000000744,PO00000292,2,SKU0000387,,243.93,Received,False,True,PO line has invalid values
POL0000000749,PO00000295,1,SKU0000249,-5.0,19.78,Partial,False,True,PO line has invalid values
POL0000000751,PO00000295,3,SKU0000211,,159.18,Open,False,True,PO line has invalid values
POL0000000752,PO00000296,1,SKU0000100,,224.42,Open,False,True,PO line has invalid values
POL0000000755,PO00000296,4,SKU0000367,,36.58,Partial,False,True,PO line has invalid values
POL0000000762,PO00000299,2,SKU0000118,,285.17,Received,False,True,PO line has invalid values
POL0000000763,PO00000299,3,SKU0000028,,209.57,Partial,False,True,PO line has invalid values
POL0000000765,PO00000300,2,SKU0000389,-5.0,167.89,Open,False,True,PO line has invalid values
POL0000000768,PO00000303,1,SKU0000336,,160.68,Partial,False,True,PO line has invalid values
POL0000000771,PO00000304,2,SKU0000641,-5.0,175.09,Partial,False,True,PO line has invalid values
POL0000000774,PO00000305,1,SKU0000193,-5.0,229.5,Open,False,True,PO line has invalid values
POL0000000778,PO00000306,1,SKU0000427,,97.69,Cancelled,False,True,PO line has invalid values
POL0000000779,PO00000306,2,SKU0000530,,286.42,Open,False,True,PO line has invalid values
POL0000000785,PO00000308,2,SKU0000484,-5.0,125.25,Open,False,True,PO line has invalid values
POL0000000786,PO00000308,3,SKU0000208,,160.85,Cancelled,False,True,PO line has invalid values
POL0000000787,PO00000309,1,SKU0000222,-5.0,5.74,Open,False,True,PO line has invalid values
POL0000000791,PO00000310,1,SKU0000637,-5.0,34.31,Open,False,True,PO line has invalid values
POL0000000798,PO00000313,1,SKU0000493,-5.0,65.26,Open,False,True,PO line has invalid values
POL0000000799,PO00000313,2,SKU0000616,,94.64,Received,False,True,PO line has invalid values
POL0000000802,PO00000314,3,SKU0000055,-5.0,200.83,Open,False,True,PO line has invalid values
POL0000000807,PO00000318,1,SKU0000036,-5.0,18.54,Open,False,True,PO line has invalid values
POL0000000808,PO00000319,1,SKU0000512,-5.0,294.99,Partial,False,True,PO line has invalid values
POL0000000810,PO00000320,2,SKU0000324,-5.0,289.69,Open,False,True,PO line has invalid values
POL0000000813,PO00000321,1,SKU0000083,-5.0,244.15,Open,False,True,PO line has invalid values
POL0000000814,PO00000321,2,SKU0000577,-5.0,233.83,Cancelled,False,True,PO line has invalid values
POL0000000815,PO00000321,3,SKU0000127,-5.0,183.86,Partial,False,True,PO line has invalid values
POL0000000817,PO00000322,1,SKU0000201,,201.87,Received,False,True,PO line has invalid values
POL0000000824,PO00000324,1,SKU0000291,-5.0,66.92,Received,False,True,PO line has invalid values
POL0000000826,PO00000324,3,SKU0000106,-5.0,71.95,Partial,False,True,PO line has invalid values
POL0000000829,PO00000325,3,SKU0000269,250.0,,Open,True,False,PO line has invalid values
POL0000000830,PO00000326,1,SKU0000141,-5.0,269.52,Received,False,True,PO line has invalid values
POL0000000831,PO00000326,2,SKU0000066,-5.0,295.43,Partial,False,True,PO line has invalid values
POL0000000841,PO00000329,2,SKU0000337,-5.0,61.11,Open,False,True,PO line has invalid values
POL0000000846,PO00000330,3,SKU0000252,-5.0,153.07,Partial,False,True,PO line has invalid values
POL0000000850,PO00000331,4,SKU0000238,,287.68,Cancelled,False,True,PO line has invalid values
POL0000000852,PO00000332,2,SKU0000341,,250.42,Received,False,True,PO line has invalid values
POL0000000853,PO00000332,3,SKU0000633,-5.0,50.73,Open,False,True,PO line has invalid values
POL0000000855,PO00000333,2,SKU0000118,,285.17,Received,False,True,PO line has invalid values
POL0000000857,PO00000335,1,SKU0000007,,151.15,Cancelled,False,True,PO line has invalid values
POL0000000862,PO00000336,2,SKU0000518,-5.0,123.83,Partial,False,True,PO line has invalid values
POL0000000863,PO00000336,3,SKU0000250,-5.0,120.44,Open,False,True,PO line has invalid values
POL0000000870,PO00000339,2,SKU0000280,500.0,,Received,True,False,PO line has invalid values
POL0000000873,PO00000340,1,SKU0000168,-5.0,94.15,Partial,False,True,PO line has invalid values
POL0000000875,PO00000341,2,SKU0000358,-5.0,44.63,Partial,False,True,PO line has invalid values
POL0000000883,PO00000344,1,SKU0000169,-5.0,197.43,Open,False,True,PO line has invalid values
POL0000000885,PO00000345,1,SKU0000097,-5.0,95.66,Open,False,True,PO line has invalid values
POL0000000891,PO00000347,2,SKU0000045,,212.28,Open,False,True,PO line has invalid values
POL0000000894,PO00000349,1,SKU0000444,,234.25,Open,False,True,PO line has invalid values
POL0000000896,PO00000351,1,SKU0000410,,59.8,Received,False,True,PO line has invalid values
POL0000000898,PO00000351,3,SKU0000030,-5.0,167.95,Partial,False,True,PO line has invalid values
POL0000000900,PO00000352,1,SKU0000432,,208.9,Cancelled,False,True,PO line has invalid values
POL0000000903,PO00000353,1,SKU0000606,,100.02,Open,False,True,PO line has invalid values
POL0000000905,PO00000353,3,SKU0000347,,41.76,Partial,False,True,PO line has invalid values
POL0000000907,PO00000354,2,SKU0000038,,240.3,Open,False,True,PO line has invalid values
POL0000000908,PO00000355,1,SKU0000515,,143.97,Received,False,True,PO line has invalid values
POL0000000911,PO00000355,4,SKU0000246,,22.56,Received,False,True,PO line has invalid values
POL0000000912,PO00000356,1,SKU0000268,250.0,,Open,True,False,PO line has invalid values
POL0000000916,PO00000358,1,SKU0000040,-5.0,287.52,Received,False,True,PO line has invalid values
POL0000000917,PO00000358,2,SKU0000651,-5.0,114.63,Open,False,True,PO line has invalid values
POL0000000921,PO00000359,4,SKU0000234,,86.53,Cancelled,False,True,PO line has invalid values
POL0000000924,PO00000362,1,SKU0000367,,36.58,Received,False,True,PO line has invalid values
POL0000000927,PO00000363,1,SKU0000265,,229.09,Open,False,True,PO line has invalid values
POL0000000930,PO00000365,1,SKU0000047,,62.67,Received,False,True,PO line has invalid values
POL0000000937,PO00000369,1,SKU0000213,-5.0,92.2,Partial,False,True,PO line has invalid values
POL0000000940,PO00000369,4,SKU0000145,,104.02,Open,False,True,PO line has invalid values
POL0000000942,PO00000370,2,SKU0000222,-5.0,5.74,Received,False,True,PO line has invalid values
POL0000000945,PO00000371,1,SKU0000613,-5.0,23.69,Open,False,True,PO line has invalid values
POL0000000946,PO00000371,2,SKU0000171,,111.06,Open,False,True,PO line has invalid values
POL0000000947,PO00000372,1,SKU0000285,,34.95,Cancelled,False,True,PO line has invalid values
POL0000000948,PO00000372,2,SKU0000550,-5.0,79.0,Cancelled,False,True,PO line has invalid values
POL0000000949,PO00000373,1,SKU0000640,,136.35,Open,False,True,PO line has invalid values
POL0000000951,PO00000374,2,SKU0000272,,253.68,Cancelled,False,True,PO line has invalid values
POL0000000953,PO00000375,1,SKU0000547,,3.65,Partial,False,True,PO line has invalid values
POL0000000954,PO00000375,2,SKU0000144,-5.0,283.77,Cancelled,False,True,PO line has invalid values
POL0000000956,PO00000375,4,SKU0000412,-5.0,111.97,Cancelled,False,True,PO line has invalid values
POL0000000963,PO00000379,1,SKU0000238,,287.68,Open,False,True,PO line has invalid values
POL0000000968,PO00000380,4,SKU0000642,-5.0,270.26,Partial,False,True,PO line has invalid values
POL0000000969,PO00000381,1,SKU0000385,,110.68,Cancelled,False,True,PO line has invalid values
POL0000000979,PO00000384,3,SKU0000505,-5.0,147.45,Cancelled,False,True,PO line has invalid values
POL0000000981,PO00000385,1,SKU0000639,,203.15,Partial,False,True,PO line has invalid values
POL0000000983,PO00000386,1,SKU0000164,,148.94,Open,False,True,PO line has invalid values
POL0000000987,PO00000387,3,SKU0000524,,260.06,Open,False,True,PO line has invalid values
POL0000000990,PO00000389,2,SKU0000256,-5.0,,Received,False,False,PO line has invalid values
POL0000000991,PO00000389,3,SKU0000024,,222.57,Partial,False,True,PO line has invalid values
POL0000000994,PO00000390,2,SKU0000270,-5.0,30.68,Open,False,True,PO line has invalid values
POL0000000999,PO00000391,3,SKU0000540,-5.0,191.55,Open,False,True,PO line has invalid values
POL0000001002,PO00000392,2,SKU0000164,,148.94,Received,False,True,PO line has invalid values
POL0000001003,PO00000392,3,SKU0000031,,81.03,Received,False,True,PO line has invalid values
POL0000001004,PO00000393,1,SKU0000625,,245.97,Open,False,True,PO line has invalid values
POL0000001006,PO00000393,3,SKU0000520,-5.0,125.21,Open,False,True,PO line has invalid values
POL0000001011,PO00000396,2,SKU0000449,-5.0,21.88,Open,False,True,PO line has invalid values
POL0000001014,PO00000397,1,SKU0000111,,13.92,Received,False,True,PO line has invalid values
POL0000001018,PO00000398,1,SKU0000592,-5.0,298.69,Open,False,True,PO line has invalid values
POL0000001021,PO00000399,3,SKU0000530,-5.0,286.42,Open,False,True,PO line has invalid values
POL0000001024,PO00000400,2,SKU0000010,-5.0,204.35,Cancelled,False,True,PO line has invalid values
POL0000001028,PO00000403,1,SKU0000352,,76.87,Open,False,True,PO line has invalid values
POL0000001032,PO00000404,1,SKU0000567,,87.77,Open,False,True,PO line has invalid values
