return_id,original_transaction_id,transaction_line_id,store_id,product_id,return_date,return_qty,refund_amount,return_reason,return_status
RET00000197,TXN000002926,TL0000010114,STR0001,SKU0000011,2026-04-10,1.0,0.0,Changed Mind,Pending
RET00000198,TXN000000927,TL0000003229,STR0015,SKU0000434,2026-06-01,,0.0,Price Adjustment,Completed
RET00000199,TXN000005615,TL0000019710,STR0006,SKU0000332,2026-04-22,3.0,0.0,Defective,Completed
RET00000200,TXN000005243,TL0000018412,STR0003,SKU0000547,2026-04-16,1.0,0.0,Wrong Item,Completed
RET00000201,TXN000006911,TL0000024218,STR0017,SKU0000371,2026-05-14,1.0,53.04,Defective,Completed
RET00000202,TXN000000212,TL0000000752,STR0019,SKU0000033,2026-05-18,,28.3,Price Adjustment,Pending
RET00000203,TXN000005846,TL0000020546,STR0007,SKU0000259,2026-04-09,1.0,0.0,Price Adjustment,Pending
RET00000204,TXN000003310,TL0000011464,STR0009,SKU0000203,2026-05-11,3.0,0.0,Price Adjustment,Pending
RET00000205,TXN000000386,TL0000001335,STR0007,SKU0000545,2026-05-19,1.0,143.16,Damaged,Completed
RET00000206,TXN000006299,TL0000022148,STR0019,SKU0000459,2026-06-06,1.0,0.0,Wrong Item,Pending
RET00000207,TXN000006671,TL0000023400,STR0005,SKU0000502,2026-06-01,,18.58,Defective,Rejected
RET00000208,TXN000005308,TL0000018634,STR0009,SKU0000567,2026-05-21,3.0,0.0,Price Adjustment,Completed
RET00000209,TXN000000820,TL0000002836,STR0002,SKU0000170,2026-06-01,,0.0,Damaged,Rejected
RET00000210,TXN000007760,TL0000027220,STR0004,SKU0000542,2026-04-20,1.0,0.0,Price Adjustment,Completed
RET00000211,TXN000001162,TL0000004046,STR0011,SKU0000197,2026-05-27,3.0,0.0,Defective,Completed
RET00000212,TXN000006644,TL0000023303,STR0022,SKU0000560,2026-05-21,2.0,85.36,Damaged,Pending
RET00000213,TXN000005950,TL0000020905,STR0012,SKU0000326,2026-04-28,2.0,0.0,Damaged,Completed
RET00000214,TXN000002800,TL0000009673,STR0015,SKU0000294,2026-04-24,2.0,0.0,Changed Mind,Rejected
RET00000215,TXN000003576,TL0000012435,STR0012,SKU0000433,2026-04-21,1.0,0.0,Changed Mind,Pending
RET00000216,TXN000003499,TL0000012165,STR0007,SKU0000486,2026-04-22,1.0,0.0,Price Adjustment,Completed
RET00000217,TXN000003034,TL0000010512,STR0022,SKU0000546,2026-05-17,1.0,54.11,Damaged,Completed
RET00000218,TXN000001393,TL0000004871,STR0003,SKU0000196,2026-06-02,1.0,0.0,Damaged,Completed
RET00000219,TXN000004957,TL0000017400,STR0007,SKU0000239,2026-05-25,,32.19,Price Adjustment,Completed
RET00000220,TXN000001973,TL0000006890,STR0009,SKU0000327,2026-04-13,1.0,0.0,Defective,Rejected
RET00000221,TXN000007813,TL0000027420,STR0017,SKU0000503,2026-04-06,3.0,199.83,Price Adjustment,Pending
RET00000222,TXN000000067,TL0000000210,STR0005,SKU0000230,2026-04-20,1.0,23.04,Damaged,Completed
RET00000223,TXN000003942,TL0000013737,STR0022,SKU0000116,2026-05-03,1.0,0.0,Price Adjustment,Pending
RET00000224,TXN000000414,TL0000001442,STR0006,SKU0000154,2026-04-23,2.0,162.41,Wrong Item,Rejected
RET00000225,TXN000005379,TL0000018886,STR0016,SKU0000122,2026-05-11,3.0,0.0,Defective,Pending
RET00000226,TXN000006012,TL0000021142,STR0007,SKU0000538,2026-05-09,3.0,0.0,Changed Mind,Completed
RET00000227,TXN000005705,TL0000020053,STR0015,SKU0000485,2026-05-09,,0.0,Damaged,Completed
RET00000228,TXN000005828,TL0000020475,STR0008,SKU0000075,2026-05-04,1.0,142.95,Defective,Pending
RET00000229,TXN000007350,TL0000025744,STR0008,SKU0000488,2026-04-28,,71.94,Defective,Rejected
RET00000230,TXN000005600,TL0000019648,STR0005,SKU0000165,2026-04-23,2.0,20.66,Price Adjustment,Rejected
RET00000231,TXN000000581,TL0000002001,STR0024,SKU0000578,2026-06-03,,160.53,Damaged,Completed
RET00000232,TXN000003200,TL0000011063,STR0023,SKU0000138,2026-04-28,1.0,0.0,Wrong Item,Completed
RET00000233,TXN000003999,TL0000013933,STR0009,SKU0000074,2026-04-26,1.0,0.0,Damaged,Completed
RET00000234,TXN000006529,TL0000022916,STR0022,SKU0000487,2026-05-12,2.0,188.49,Damaged,Rejected
RET00000235,TXN000007331,TL0000025666,STR0005,SKU0000021,2026-05-27,,0.0,Changed Mind,Completed
RET00000236,TXN000001016,TL0000003537,STR0002,SKU0000444,2026-04-28,1.0,37.21,Wrong Item,Completed
RET00000237,TXN000007587,TL0000026594,STR0002,SKU0000111,2026-05-02,3.0,0.0,Changed Mind,Pending
RET00000238,TXN000004152,TL0000014497,STR0006,SKU0000353,2026-06-09,2.0,149.89,Wrong Item,Completed
RET00000239,TXN000003645,TL0000012695,STR0012,SKU0000133,2026-05-01,,187.32,Changed Mind,Completed
RET00000240,TXN000004478,TL0000015647,STR0022,SKU0000115,2026-06-08,2.0,0.0,Changed Mind,Completed
RET00000241,TXN000007305,TL0000025565,STR0024,SKU0000106,2026-06-04,3.0,0.0,Price Adjustment,Pending
RET00000242,TXN000003893,TL0000013563,STR0021,SKU0000563,2026-04-18,2.0,0.0,Defective,Pending
RET00000243,TXN000000543,TL0000001868,STR0012,SKU0000075,2026-04-11,1.0,0.0,Damaged,Pending
RET00000244,TXN000004871,TL0000017086,STR0016,SKU0000280,2026-05-13,3.0,0.0,Defective,Completed
RET00000245,TXN000002085,TL0000007259,STR0010,SKU0000138,2026-04-13,3.0,35.75,Price Adjustment,Rejected
