transaction_id,store_id,register_id,associate_id,customer_id,transaction_ts,transaction_type,sales_channel,receipt_status,batch_id,transaction_date
TXN000000023,STR0011,REG019,ASC000399,,2026-05-01 04:23:00,SALE,Pickup,Completed,POS_C,2026-05-01
TXN000000024,STR0004,REG009,ASC000062,CUST00001610,,SALE,Pickup,Completed,POS_C,
TXN000000025,STR0002,REG021,ASC000253,CUST00000800,,SALE,Store,Completed,POS_C,
TXN000000026,STR0010,REG001,ASC000064,,,SALE,Store,Completed,POS_C,
TXN000000027,STR0013,REG025,ASC000215,CUST00001796,2026-05-07 03:18:00,VOID,Store,Suspended,POS_C,2026-05-07
TXN000000028,STR0025,REG005,ASC000465,CUST00000002,,SALE,Pickup,Suspended,POS_C,
TXN000000029,STR0020,REG006,ASC000358,,,SALE,Store,Completed,POS_B,
TXN000000030,STR0023,REG026,ASC000487,CUST00000991,,SALE,Store,Completed,POS_B,
TXN000000031,STR0003,REG014,ASC000073,CUST00001397,,SALE,Pickup,Completed,POS_B,
TXN000000032,STR0025,REG007,ASC000174,CUST00001794,,SALE,Pickup,Completed,POS_C,
TXN000000033,STR0016,REG024,ASC000267,CUST00001646,,SALE,Store,Voided,POS_B,
TXN000000034,STR0010,REG021,ASC000414,CUST00001196,2026-05-22 01:50:00,SALE,Store,Completed,POS_B,2026-05-22
TXN000000035,STR0025,REG025,ASC000352,CUST00000681,2026-04-13 17:26:00,SALE,Store,Completed,POS_C,2026-04-13
TXN000000036,STR0007,REG005,ASC000079,,,SALE,Store,Completed,POS_C,
TXN000000037,STR0009,REG020,ASC000167,CUST00000154,,SALE,Store,Voided,POS_A,
TXN000000038,STR0021,REG006,ASC000184,,2026-05-30 20:44:00,VOID,Store,Completed,POS_B,2026-05-30
TXN000000039,STR0010,REG022,ASC000426,CUST00000894,2026-04-28 04:15:00,SALE,Pickup,Voided,POS_B,2026-04-28
TXN000000040,STR0019,REG014,ASC000013,,,VOID,Pickup,Completed,POS_C,
TXN000000041,STR0017,REG012,ASC000164,CUST00001296,2026-04-06 04:10:00,SALE,Store,Completed,POS_C,2026-04-06
TXN000000042,STR0010,REG007,ASC000433,CUST00001641,,SALE,Store,Suspended,POS_B,
TXN000000043,STR0015,REG018,ASC000212,CUST00000223,2026-04-21 21:33:00,SALE,Store,Completed,POS_B,2026-04-21
TXN000000044,STR0024,REG008,ASC000337,CUST00000426,2026-04-09 02:03:00,SALE,Pickup,Voided,POS_B,2026-04-09
TXN000000045,STR0021,REG024,ASC000184,CUST00001561,2026-05-01 14:42:00,VOID,Store,Completed,POS_B,2026-05-01
TXN000000046,STR0007,REG007,ASC000198,,2026-05-01 06:17:00,SALE,Pickup,Suspended,POS_C,2026-05-01
TXN000000047,STR0023,REG016,ASC000407,CUST00001295,,SALE,Pickup,Voided,POS_B,
TXN000000048,STR0013,REG022,ASC000091,CUST00000550,2026-04-09 13:07:00,SALE,Store,Completed,POS_A,2026-04-09
TXN000000049,STR0019,REG020,ASC000292,,2026-05-28 20:48:00,SALE,Pickup,Completed,POS_B,2026-05-28
TXN000000050,STR0005,REG001,ASC000334,CUST00001750,2026-04-18 04:29:00,SALE,Store,Completed,POS_B,2026-04-18
TXN000000051,STR0019,REG014,ASC000004,CUST00001194,2026-05-15 17:02:00,SALE,Store,Voided,POS_A,2026-05-15
TXN000000052,STR0024,REG028,ASC000373,CUST00000182,,VOID,Pickup,Completed,POS_C,
TXN000000053,STR0007,REG009,ASC000270,CUST00000757,,SALE,Store,Completed,POS_B,
TXN000000054,STR0017,REG014,ASC000429,CUST00001024,2026-05-30 06:48:00,SALE,Store,Voided,POS_C,2026-05-30
TXN000000055,STR0008,REG026,ASC000179,CUST00000595,2026-05-22 18:58:00,SALE,Pickup,Suspended,POS_A,2026-05-22
TXN000000056,STR0009,REG020,ASC000178,CUST00000208,2026-05-15 03:07:00,SALE,Store,Completed,POS_A,2026-05-15
TXN000000057,STR0003,REG026,ASC000067,CUST00000255,2026-04-18 12:24:00,SALE,Pickup,Voided,POS_A,2026-04-18
TXN000000058,STR0012,REG004,ASC000069,CUST00001403,,SALE,Store,Completed,POS_B,
TXN000000059,STR0024,REG023,ASC000225,CUST00000662,,SALE,Store,Voided,POS_A,
TXN000000060,STR0003,REG012,ASC000481,CUST00001105,2026-04-06 04:39:00,SALE,Pickup,Completed,POS_A,2026-04-06
TXN000000061,STR0003,REG011,ASC000193,CUST00001702,2026-04-02 11:19:00,SALE,Store,Voided,POS_C,2026-04-02
TXN000000062,STR0017,REG022,ASC000024,CUST00001118,,SALE,Store,Completed,POS_C,
TXN000000063,STR0014,REG023,ASC000266,CUST00000367,2026-04-27 20:30:00,VOID,Pickup,Completed,POS_C,2026-04-27
TXN000000064,STR0004,REG015,ASC000240,CUST00000627,,SALE,Store,Completed,POS_B,
TXN000000065,STR0004,REG010,ASC000074,CUST00001046,,SALE,Store,Completed,POS_A,
TXN000000066,STR0002,REG011,ASC000114,,,SALE,Store,Completed,POS_A,
TXN000000067,STR0011,REG012,ASC000325,,,SALE,Store,Completed,POS_B,
TXN000000068,STR0024,REG001,ASC000418,,,VOID,Store,Completed,POS_B,
TXN000000069,STR0020,REG027,ASC000284,CUST00000098,,SALE,Store,Completed,POS_C,
TXN000000070,STR0006,REG020,ASC000319,CUST00001602,2026-04-17 20:15:00,SALE,Store,Completed,POS_C,2026-04-17
TXN000000071,STR0016,REG010,ASC000152,CUST00000446,2026-05-25 06:24:00,SALE,Store,Suspended,POS_A,2026-05-25
TXN000000072,STR0004,REG010,ASC000074,CUST00001328,,SALE,Store,Completed,POS_A,
TXN000000073,STR0021,REG009,ASC000268,CUST00001330,,SALE,Pickup,Completed,POS_A,
TXN000000074,STR0004,REG006,ASC000085,CUST00001523,2026-05-02 12:02:00,SALE,Pickup,Voided,POS_A,2026-05-02
TXN000000075,STR0005,REG015,ASC000343,CUST00001454,,SALE,Pickup,Completed,POS_C,
TXN000000076,STR0024,REG011,ASC000340,CUST00000202,,VOID,Pickup,Completed,POS_A,
TXN000000077,STR0025,REG022,ASC000464,CUST00000158,,SALE,Pickup,Completed,POS_B,
TXN000000078,STR0013,REG016,ASC000437,CUST00000896,,SALE,Store,Suspended,POS_C,
TXN000000079,STR0016,REG025,ASC000182,CUST00001255,2026-05-19 14:29:00,SALE,Pickup,Completed,POS_B,2026-05-19
TXN000000080,STR0020,REG027,ASC000109,,2026-05-23 11:18:00,VOID,Pickup,Completed,POS_C,2026-05-23
TXN000000081,STR0003,REG025,ASC000355,CUST00001490,2026-05-17 23:32:00,SALE,Store,Suspended,POS_A,2026-05-17
TXN000000082,STR0010,REG026,ASC000439,CUST00001440,,SALE,Store,Completed,POS_B,
TXN000000083,STR0010,REG002,ASC000426,CUST00000321,,SALE,Store,Voided,POS_A,
TXN000000084,STR0008,REG002,ASC000458,,,SALE,Store,Completed,POS_C,
TXN000000085,STR0018,REG012,ASC000297,CUST00000529,,SALE,Store,Completed,POS_C,
TXN000000086,STR0002,REG009,ASC000304,CUST00001395,,SALE,Store,Voided,POS_C,
TXN000000087,STR0010,REG028,ASC000064,CUST00000550,2026-04-23 06:47:00,SALE,Store,Completed,POS_C,2026-04-23
TXN000000088,STR0013,REG004,ASC000091,CUST00001399,,SALE,Store,Suspended,POS_C,
TXN000000089,STR0017,REG015,ASC000250,CUST00000362,2026-04-22 13:00:00,SALE,Store,Suspended,POS_C,2026-04-22
TXN000000090,STR0005,REG021,ASC000480,CUST00000685,,SALE,Pickup,Completed,POS_C,
TXN000000091,STR0015,REG007,ASC000121,CUST00001670,2026-05-19 05:18:00,SALE,Store,Suspended,POS_B,2026-05-19
TXN000000092,STR0011,REG013,ASC000065,,2026-05-08 12:02:00,VOID,Store,Completed,POS_C,2026-05-08
TXN000000093,STR0024,REG017,ASC000186,CUST00001412,2026-05-26 14:35:00,SALE,Pickup,Completed,POS_C,2026-05-26
TXN000000094,STR0015,REG012,ASC000431,CUST00000161,,VOID,Store,Voided,POS_A,
TXN000000095,STR0009,REG012,ASC000058,CUST00001497,2026-04-19 18:15:00,SALE,Store,Completed,POS_A,2026-04-19
TXN000000096,STR0001,REG028,ASC000413,CUST00000784,2026-04-29 08:52:00,SALE,Store,Suspended,POS_C,2026-04-29
TXN000000097,STR0011,REG001,ASC000138,CUST00000807,2026-05-08 09:10:00,SALE,Store,Completed,POS_A,2026-05-08
TXN000000098,STR0024,REG009,ASC000340,CUST00000748,2026-04-29 09:21:00,SALE,Store,Completed,POS_C,2026-04-29
TXN000000099,STR0021,REG001,ASC000234,CUST00000525,2026-05-30 15:38:00,SALE,Pickup,Completed,POS_C,2026-05-30
TXN000000100,STR0023,REG025,ASC000339,,,VOID,Store,Completed,POS_C,
TXN000000101,STR0023,REG017,ASC000181,CUST00000297,,SALE,Pickup,Suspended,POS_A,
TXN000000102,STR0004,REG026,ASC000062,CUST00000826,2026-05-09 17:16:00,VOID,Pickup,Completed,POS_B,2026-05-09
TXN000000103,STR0021,REG020,ASC000347,CUST00001319,2026-04-22 03:23:00,SALE,Pickup,Voided,POS_C,2026-04-22
TXN000000104,STR0003,REG007,ASC000481,CUST00000521,2026-05-02 11:51:00,SALE,Store,Completed,POS_B,2026-05-02
TXN000000105,STR0003,REG022,ASC000481,CUST00000791,,VOID,Store,Suspended,POS_A,
TXN000000106,STR0015,REG010,ASC000054,,2026-05-13 11:43:00,SALE,Store,Completed,POS_C,2026-05-13
TXN000000107,STR0017,REG021,ASC000429,CUST00001663,2026-04-30 01:57:00,SALE,Store,Voided,POS_B,2026-04-30
TXN000000108,STR0017,REG019,ASC000436,CUST00001550,2026-04-16 22:01:00,VOID,Store,Completed,POS_A,2026-04-16
TXN000000109,STR0015,REG004,ASC000412,CUST00001283,,VOID,Store,Voided,POS_A,
TXN000000110,STR0020,REG022,ASC000282,CUST00001176,,SALE,Pickup,Voided,POS_A,
TXN000000111,STR0014,REG024,ASC000202,CUST00001194,2026-04-16 12:11:00,VOID,Store,Voided,POS_C,2026-04-16
TXN000000112,STR0010,REG005,ASC000388,CUST00000699,2026-04-10 09:28:00,SALE,Store,Completed,POS_C,2026-04-10
TXN000000113,STR0022,REG017,ASC000278,CUST00000474,,SALE,Store,Voided,POS_A,
TXN000000114,STR0024,REG007,ASC000418,,2026-04-11 03:45:00,SALE,Store,Suspended,POS_C,2026-04-11
TXN000000115,STR0014,REG009,ASC000066,CUST00000647,2026-04-25 08:11:00,SALE,Store,Completed,POS_C,2026-04-25
TXN000000116,STR0016,REG024,ASC000077,,,SALE,Pickup,Completed,POS_A,
TXN000000117,STR0009,REG009,ASC000245,CUST00001366,2026-04-27 07:29:00,SALE,Pickup,Completed,POS_B,2026-04-27
TXN000000118,STR0009,REG018,ASC000485,CUST00000458,2026-05-05 03:24:00,VOID,Store,Completed,POS_A,2026-05-05
TXN000000119,STR0022,REG008,ASC000131,CUST00000759,,SALE,Store,Completed,POS_B,
TXN000000120,STR0025,REG006,ASC000352,CUST00000289,2026-04-05 23:37:00,SALE,Store,Voided,POS_B,2026-04-05
TXN000000121,STR0016,REG006,ASC000172,CUST00001568,2026-05-16 13:07:00,SALE,Store,Voided,POS_A,2026-05-16
TXN000000122,STR0015,REG027,ASC000078,CUST00000163,,SALE,Pickup,Suspended,POS_A,
TXN000000123,STR0001,REG022,ASC000308,CUST00000086,2026-05-03 12:38:00,SALE,Store,Suspended,POS_B,2026-05-03
TXN000000124,STR0016,REG004,ASC000112,,2026-05-22 19:11:00,SALE,Pickup,Voided,POS_C,2026-05-22
TXN000000125,STR0023,REG016,ASC000407,CUST00001123,,SALE,Store,Completed,POS_A,
TXN000000126,STR0006,REG022,ASC000409,CUST00001495,2026-05-05 00:19:00,SALE,Store,Voided,POS_B,2026-05-05
TXN000000127,STR0006,REG024,ASC000057,CUST00000712,2026-04-16 19:20:00,SALE,Store,Suspended,POS_B,2026-04-16
TXN000000128,STR0012,REG026,ASC000359,CUST00000715,,VOID,Store,Completed,POS_A,
TXN000000129,STR0008,REG028,ASC000176,CUST00000703,2026-04-09 15:58:00,SALE,Store,Completed,POS_B,2026-04-09
TXN000000130,STR0001,REG025,ASC000299,CUST00001518,,SALE,Pickup,Suspended,POS_C,
TXN000000131,STR0004,REG004,ASC000154,CUST00000780,,SALE,Pickup,Completed,POS_B,
TXN000000132,STR0013,REG017,ASC000163,CUST00001137,2026-05-28 22:41:00,SALE,Store,Voided,POS_A,2026-05-28
TXN000000133,STR0025,REG006,ASC000416,,,SALE,Store,Suspended,POS_C,
TXN000000134,STR0012,REG016,ASC000005,CUST00001751,,VOID,Pickup,Completed,POS_A,
TXN000000135,STR0006,REG007,ASC000050,,,SALE,Store,Suspended,POS_C,
TXN000000136,STR0004,REG008,ASC000287,CUST00000211,,SALE,Store,Suspended,POS_B,
TXN000000137,STR0004,REG005,ASC000102,CUST00000953,,VOID,Store,Voided,POS_A,
TXN000000138,STR0020,REG007,ASC000382,CUST00000418,2026-05-07 04:53:00,SALE,Pickup,Suspended,POS_B,2026-05-07
TXN000000139,STR0010,REG013,ASC000402,CUST00000501,2026-04-23 14:47:00,VOID,Pickup,Suspended,POS_C,2026-04-23
TXN000000140,STR0008,REG010,ASC000366,CUST00000705,,SALE,Pickup,Completed,POS_B,
TXN000000141,STR0011,REG014,ASC000447,,2026-05-24 20:49:00,SALE,Store,Completed,POS_A,2026-05-24
TXN000000142,STR0020,REG013,ASC000189,,2026-05-20 20:32:00,SALE,Store,Suspended,POS_A,2026-05-20
TXN000000143,STR0024,REG026,ASC000418,CUST00001318,,SALE,Store,Voided,POS_B,
TXN000000144,STR0012,REG019,ASC000043,,,SALE,Store,Voided,POS_B,
TXN000000145,STR0014,REG023,ASC000187,,,SALE,Store,Voided,POS_B,
TXN000000146,STR0025,REG011,ASC000230,CUST00000045,,SALE,Store,Suspended,POS_C,
TXN000000147,STR0013,REG002,ASC000317,CUST00001660,2026-04-24 00:30:00,SALE,Store,Completed,POS_B,2026-04-24
TXN000000148,STR0011,REG001,ASC000177,CUST00001101,2026-04-01 01:24:00,SALE,Store,Suspended,POS_B,2026-04-01
TXN000000149,STR0024,REG002,ASC000373,,2026-04-25 22:04:00,VOID,Store,Completed,POS_B,2026-04-25
TXN000000150,STR0022,REG018,ASC000443,CUST00000076,,SALE,Store,Completed,POS_B,
TXN000000151,STR0014,REG008,ASC000247,,2026-04-25 13:40:00,VOID,Store,Completed,POS_B,2026-04-25
TXN000000152,STR0014,REG023,ASC000293,CUST00001508,2026-05-11 19:01:00,SALE,Pickup,Completed,POS_B,2026-05-11
TXN000000153,STR0011,REG007,ASC000399,,,SALE,Store,Voided,POS_B,
TXN000000154,STR0023,REG003,ASC000407,,2026-05-22 14:46:00,SALE,Pickup,Completed,POS_B,2026-05-22
TXN000000155,STR0023,REG012,ASC000061,CUST00000366,,SALE,Store,Completed,POS_B,
TXN000000156,STR0020,REG012,ASC000099,CUST00000222,2026-05-27 13:47:00,SALE,Store,Completed,POS_C,2026-05-27
TXN000000157,STR0017,REG023,ASC000024,CUST00000538,2026-05-27 18:14:00,SALE,Store,Voided,POS_C,2026-05-27
TXN000000158,STR0009,REG003,ASC000246,CUST00000975,2026-04-27 02:18:00,SALE,Store,Completed,POS_B,2026-04-27
TXN000000159,STR0001,REG012,ASC000307,CUST00000736,2026-04-02 22:10:00,VOID,Store,Suspended,POS_C,2026-04-02
TXN000000160,STR0014,REG007,ASC000247,CUST00001282,,SALE,Pickup,Completed,POS_B,
TXN000000161,STR0023,REG021,ASC000312,,,SALE,Store,Suspended,POS_B,
TXN000000162,STR0022,REG024,ASC000248,CUST00001127,,SALE,Pickup,Completed,POS_B,
TXN000000163,STR0010,REG007,ASC000408,CUST00000104,,SALE,Store,Completed,POS_C,
TXN000000164,STR0016,REG011,ASC000283,,,SALE,Pickup,Suspended,POS_A,
TXN000000165,STR0019,REG014,ASC000279,CUST00000551,2026-04-02 09:07:00,SALE,Pickup,Completed,POS_C,2026-04-02
TXN000000166,STR0022,REG013,ASC000278,CUST00000631,2026-05-31 07:01:00,VOID,Store,Completed,POS_C,2026-05-31
TXN000000167,STR0005,REG020,ASC000334,CUST00001532,2026-04-09 04:42:00,SALE,Store,Voided,POS_B,2026-04-09
TXN000000168,STR0001,REG028,ASC000472,CUST00001037,,SALE,Pickup,Voided,POS_A,
TXN000000169,STR0007,REG006,ASC000022,,,VOID,Store,Voided,POS_B,
TXN000000170,STR0008,REG019,ASC000321,CUST00000767,2026-04-22 13:18:00,SALE,Pickup,Completed,POS_B,2026-04-22
TXN000000171,STR0001,REG024,ASC000475,CUST00000086,,SALE,Store,Completed,POS_B,
TXN000000172,STR0006,REG014,ASC000449,CUST00000039,2026-05-11 02:33:00,SALE,Store,Completed,POS_B,2026-05-11
TXN000000173,STR0011,REG028,ASC000314,,2026-04-12 16:55:00,SALE,Pickup,Completed,POS_A,2026-04-12
TXN000000174,STR0003,REG010,ASC000084,,,VOID,Store,Suspended,POS_A,
TXN000000175,STR0022,REG022,ASC000443,,2026-05-26 18:02:00,SALE,Store,Suspended,POS_A,2026-05-26
TXN000000176,STR0025,REG024,ASC000090,CUST00000645,2026-05-08 03:34:00,VOID,Pickup,Suspended,POS_A,2026-05-08
TXN000000177,STR0012,REG019,ASC000313,,2026-05-23 15:06:00,SALE,Pickup,Suspended,POS_C,2026-05-23
TXN000000178,STR0004,REG005,ASC000062,CUST00001343,,SALE,Store,Completed,POS_C,
TXN000000179,STR0010,REG023,ASC000070,,2026-04-02 09:40:00,SALE,Store,Completed,POS_B,2026-04-02
TXN000000180,STR0004,REG002,ASC000423,,2026-05-15 02:44:00,SALE,Pickup,Completed,POS_A,2026-05-15
TXN000000181,STR0012,REG026,ASC000116,CUST00000687,2026-05-18 20:31:00,VOID,Store,Completed,POS_A,2026-05-18
TXN000000182,STR0014,REG004,ASC000187,CUST00001621,,SALE,Store,Suspended,POS_A,
TXN000000183,STR0004,REG020,ASC000240,CUST00000857,2026-04-13 13:54:00,SALE,Store,Voided,POS_B,2026-04-13
TXN000000184,STR0010,REG028,ASC000150,CUST00001368,,SALE,Pickup,Suspended,POS_A,
TXN000000185,STR0020,REG016,ASC000195,CUST00001790,,SALE,Store,Suspended,POS_C,
TXN000000186,STR0003,REG028,ASC000261,CUST00000762,,SALE,Store,Completed,POS_A,
TXN000000187,STR0001,REG017,ASC000306,CUST00001173,,SALE,Store,Completed,POS_A,
TXN000000188,STR0014,REG019,ASC000202,,,SALE,Store,Voided,POS_C,
TXN000000189,STR0022,REG018,ASC000486,CUST00000865,2026-04-06 00:54:00,SALE,Store,Completed,POS_A,2026-04-06
TXN000000190,STR0014,REG009,ASC000469,,2026-04-30 13:05:00,SALE,Store,Completed,POS_B,2026-04-30
TXN000000191,STR0007,REG008,ASC000322,CUST00001771,,SALE,Store,Voided,POS_C,
TXN000000192,STR0013,REG021,ASC000128,CUST00001371,,SALE,Store,Suspended,POS_B,
TXN000000193,STR0023,REG010,ASC000060,,,SALE,Pickup,Voided,POS_B,
TXN000000194,STR0016,REG002,ASC000047,,,SALE,Store,Suspended,POS_C,
TXN000000195,STR0020,REG014,ASC000466,,2026-04-10 10:38:00,VOID,Pickup,Suspended,POS_B,2026-04-10
TXN000000196,STR0023,REG020,ASC000097,CUST00000273,2026-04-12 06:41:00,SALE,Store,Completed,POS_C,2026-04-12
TXN000000197,STR0006,REG005,ASC000294,CUST00000086,2026-04-13 12:21:00,SALE,Store,Completed,POS_C,2026-04-13
TXN000000198,STR0005,REG010,ASC000161,CUST00000955,2026-05-06 20:23:00,SALE,Pickup,Suspended,POS_B,2026-05-06
TXN000000199,STR0001,REG004,ASC000006,CUST00001243,2026-05-21 09:29:00,SALE,Store,Voided,POS_B,2026-05-21
TXN000000200,STR0005,REG011,ASC000015,CUST00000646,2026-05-06 23:50:00,SALE,Pickup,Completed,POS_A,2026-05-06
TXN000000201,STR0021,REG018,ASC000492,CUST00001682,2026-04-19 03:05:00,SALE,Store,Completed,POS_A,2026-04-19
TXN000000202,STR0021,REG013,ASC000336,CUST00000296,2026-04-20 04:00:00,SALE,Pickup,Suspended,POS_C,2026-04-20
TXN000000203,STR0008,REG001,ASC000428,CUST00000561,2026-04-14 07:13:00,SALE,Pickup,Completed,POS_C,2026-04-14
TXN000000204,STR0014,REG007,ASC000241,,,SALE,Store,Suspended,POS_A,
TXN000000205,STR0005,REG022,ASC000343,CUST00000216,2026-05-23 23:30:00,SALE,Store,Completed,POS_B,2026-05-23
TXN000000206,STR0023,REG027,ASC000363,CUST00000794,2026-04-05 01:57:00,SALE,Store,Completed,POS_A,2026-04-05
TXN000000207,STR0014,REG001,ASC000066,,2026-04-15 00:44:00,VOID,Store,Completed,POS_C,2026-04-15
TXN000000208,STR0010,REG011,ASC000122,CUST00001439,2026-04-17 21:55:00,SALE,Store,Completed,POS_A,2026-04-17
TXN000000209,STR0008,REG009,ASC000106,,2026-04-29 05:16:00,SALE,Store,Voided,POS_C,2026-04-29
TXN000000210,STR0015,REG025,ASC000415,CUST00001770,,SALE,Store,Completed,POS_A,
TXN000000211,STR0002,REG010,ASC000483,CUST00001559,,VOID,Pickup,Completed,POS_C,
TXN000000212,STR0019,REG016,ASC000292,CUST00001557,2026-05-25 18:15:00,SALE,Pickup,Suspended,POS_A,2026-05-25
TXN000000213,STR0021,REG028,ASC000347,CUST00000896,,SALE,Store,Voided,POS_A,
TXN000000214,STR0024,REG018,ASC000139,CUST00001023,,VOID,Store,Completed,POS_B,
TXN000000215,STR0009,REG016,ASC000167,CUST00000312,2026-05-04 00:32:00,SALE,Store,Voided,POS_A,2026-05-04
TXN000000216,STR0021,REG013,ASC000424,,,SALE,Pickup,Completed,POS_A,
TXN000000217,STR0001,REG010,ASC000413,,,SALE,Store,Completed,POS_B,
TXN000000218,STR0017,REG004,ASC000031,,,VOID,Store,Completed,POS_A,
TXN000000219,STR0014,REG006,ASC000494,CUST00001371,2026-05-12 01:20:00,SALE,Store,Completed,POS_A,2026-05-12
TXN000000220,STR0007,REG016,ASC000148,CUST00001067,,SALE,Store,Suspended,POS_C,
TXN000000221,STR0023,REG008,ASC000171,CUST00001377,,SALE,Store,Suspended,POS_B,
TXN000000222,STR0011,REG007,ASC000120,,2026-04-05 14:04:00,SALE,Pickup,Voided,POS_A,2026-04-05
TXN000000223,STR0009,REG028,ASC000245,,2026-04-05 20:19:00,SALE,Store,Voided,POS_A,2026-04-05
TXN000000224,STR0021,REG001,ASC000492,CUST00000678,2026-05-31 20:39:00,SALE,Store,Voided,POS_C,2026-05-31
TXN000000225,STR0025,REG028,ASC000180,CUST00001198,,SALE,Store,Voided,POS_C,
TXN000000226,STR0010,REG025,ASC000408,,2026-05-14 13:56:00,SALE,Store,Completed,POS_A,2026-05-14
TXN000000227,STR0010,REG017,ASC000408,CUST00000159,,SALE,Pickup,Voided,POS_B,
TXN000000228,STR0002,REG028,ASC000290,,,SALE,Store,Completed,POS_C,
TXN000000229,STR0020,REG004,ASC000189,,,SALE,Store,Voided,POS_B,
TXN000000230,STR0012,REG022,ASC000333,,2026-04-02 13:03:00,SALE,Store,Completed,POS_C,2026-04-02
TXN000000231,STR0010,REG012,ASC000064,CUST00000604,2026-05-22 08:28:00,SALE,Pickup,Completed,POS_B,2026-05-22
TXN000000232,STR0021,REG025,ASC000268,CUST00001306,2026-05-11 05:31:00,SALE,Store,Completed,POS_A,2026-05-11
TXN000000233,STR0004,REG011,ASC000165,CUST00001534,2026-04-23 13:37:00,SALE,Pickup,Completed,POS_C,2026-04-23
TXN000000234,STR0015,REG016,ASC000014,CUST00000919,,SALE,Store,Completed,POS_A,
TXN000000235,STR0008,REG005,ASC000303,,,SALE,Pickup,Completed,POS_B,
TXN000000236,STR0001,REG017,ASC000094,CUST00001340,,SALE,Store,Completed,POS_A,
TXN000000237,STR0018,REG012,ASC000476,CUST00001176,2026-04-17 05:44:00,VOID,Store,Completed,POS_C,2026-04-17
TXN000000238,STR0025,REG009,ASC000464,CUST00000439,2026-04-26 14:03:00,VOID,Store,Completed,POS_B,2026-04-26
TXN000000239,STR0009,REG014,ASC000349,CUST00001777,2026-04-05 10:53:00,SALE,Store,Completed,POS_A,2026-04-05
TXN000000240,STR0005,REG023,ASC000473,CUST00000396,,SALE,Store,Completed,POS_C,
TXN000000241,STR0003,REG017,ASC000346,,2026-04-19 09:36:00,SALE,Store,Completed,POS_C,2026-04-19
TXN000000242,STR0022,REG023,ASC000081,,,SALE,Pickup,Suspended,POS_C,
TXN000000243,STR0008,REG023,ASC000366,CUST00000305,,SALE,Store,Completed,POS_C,
TXN000000244,STR0007,REG024,ASC000322,CUST00000518,,SALE,Store,Completed,POS_B,
TXN000000245,STR0010,REG025,ASC000433,CUST00000409,2026-04-16 11:48:00,SALE,Store,Suspended,POS_A,2026-04-16
TXN000000246,STR0013,REG015,ASC000215,CUST00000104,2026-05-30 00:38:00,SALE,Store,Voided,POS_A,2026-05-30
TXN000000247,STR0009,REG019,ASC000362,CUST00001627,2026-05-24 22:53:00,SALE,Store,Completed,POS_C,2026-05-24
TXN000000248,STR0017,REG009,ASC000221,CUST00000594,2026-05-07 04:11:00,SALE,Pickup,Completed,POS_B,2026-05-07
