transaction_line_id,transaction_id,line_number,product_id,quantity,unit_price,regular_price,promotion_id,coupon_amount,tax_amount,line_status,valid_values
TL0000000026,TXN000000007,5,SKU0000089,-1.0,137.95,137.95,,0.0,0.0,Sold,False
TL0000000027,TXN000000008,1,SKU0000154,5.0,111.76,111.76,,0.0,27.94,Voided,True
TL0000000028,TXN000000008,2,SKU0000022,2.0,215.73,269.66,,0.0,30.2,Sold,True
TL0000000029,TXN000000008,3,SKU0000298,1.0,229.86,287.32,,0.0,16.09,Sold,True
TL0000000030,TXN000000008,4,SKU0000183,1.0,750.79,750.79,,1.0,52.56,Sold,True
TL0000000031,TXN000000008,5,SKU0000207,5.0,487.57,541.74,,5.0,170.65,Sold,True
TL0000000032,TXN000000008,6,SKU0000053,-1.0,249.23,276.92,,5.0,0.0,Voided,False
TL0000000033,TXN000000009,1,SKU0000089,1.0,124.15,137.95,,0.0,11.17,Sold,True
TL0000000034,TXN000000009,2,SKU0000310,1.0,236.78,278.57,,0.0,11.84,Sold,True
TL0000000035,TXN000000009,3,SKU0000305,2.0,375.04,416.71,,0.0,52.51,Voided,True
TL0000000036,TXN000000009,4,SKU0000262,,82.94,103.67,,0.0,4.15,Sold,False
TL0000000037,TXN000000010,1,SKU0000528,-1.0,58.66,65.18,,0.0,0.0,Sold,False
TL0000000038,TXN000000011,1,SKU0000320,1.0,47.69,56.1,PRM00014,2.0,2.38,Sold,True
TL0000000039,TXN000000011,2,SKU0000406,4.0,401.39,401.39,,2.0,144.5,Sold,True
TL0000000040,TXN000000012,1,SKU0000117,2.0,1078.82,1135.6,,5.0,107.88,Sold,True
TL0000000041,TXN000000012,2,SKU0000187,5.0,170.91,179.9,,5.0,59.82,Sold,True
TL0000000042,TXN000000013,1,SKU0000343,2.0,440.04,440.04,PRM00050,0.0,61.61,Sold,True
TL0000000043,TXN000000014,1,SKU0000028,,320.01,320.01,,0.0,22.4,Sold,False
TL0000000044,TXN000000014,2,SKU0000099,2.0,63.51,79.39,PRM00037,0.0,11.43,Sold,True
TL0000000045,TXN000000014,3,SKU0000109,2.0,874.15,874.15,,2.0,122.38,Sold,True
TL0000000046,TXN000000014,4,SKU0000487,1.0,3.12,3.12,PRM00047,1.0,0.22,Sold,True
TL0000000047,TXN000000014,5,SKU0000308,-1.0,497.51,497.51,,0.0,0.0,Sold,False
TL0000000048,TXN000000015,1,SKU0000077,2.0,1163.09,1163.09,PRM00045,0.0,162.83,Sold,True
TL0000000049,TXN000000016,1,SKU0000468,4.0,372.36,372.36,,1.0,134.05,Sold,True
TL0000000050,TXN000000016,2,SKU0000184,1.0,757.42,757.42,,0.0,68.17,Voided,True
TL0000000051,TXN000000017,1,SKU0000369,1.0,222.99,222.99,PRM00002,2.0,15.61,Sold,True
TL0000000052,TXN000000017,2,SKU0000176,2.0,507.04,507.04,,0.0,70.99,Voided,True
TL0000000053,TXN000000018,1,SKU0000370,1.0,47.03,47.03,,2.0,4.23,Sold,True
TL0000000054,TXN000000018,2,SKU0000559,2.0,418.95,492.88,,0.0,58.65,Sold,True
TL0000000055,TXN000000019,1,SKU0000181,2.0,178.48,198.31,,1.0,32.13,Sold,True
TL0000000056,TXN000000020,1,SKU0000037,1.0,157.78,166.08,,1.0,7.89,Sold,True
TL0000000057,TXN000000020,2,SKU0000402,-1.0,295.86,369.82,,1.0,0.0,Sold,False
TL0000000058,TXN000000020,3,SKU0000347,,234.91,261.01,,5.0,16.44,Sold,False
TL0000000059,TXN000000021,1,SKU0000353,1.0,33.11,41.39,,0.0,2.32,Sold,True
TL0000000060,TXN000000021,2,SKU0000529,4.0,295.09,295.09,,2.0,59.02,Sold,True
TL0000000061,TXN000000021,3,SKU0000087,1.0,576.85,640.94,,0.0,40.38,Voided,True
TL0000000062,TXN000000021,4,SKU0000552,1.0,659.24,659.24,,1.0,32.96,Sold,True
TL0000000063,TXN000000021,5,SKU0000066,4.0,619.3,651.9,,1.0,0.0,Sold,True
TL0000000064,TXN000000021,6,SKU0000095,,292.64,325.16,,0.0,26.34,Sold,False
TL0000000065,TXN000000022,1,SKU0000266,,214.51,238.34,,0.0,19.31,Sold,False
TL0000000066,TXN000000023,1,SKU0000300,1.0,574.45,604.68,,5.0,0.0,Sold,True
TL0000000067,TXN000000024,1,SKU0000245,2.0,378.16,378.16,,0.0,0.0,Sold,True
TL0000000068,TXN000000025,1,SKU0000154,4.0,100.58,111.76,,0.0,36.21,Sold,True
TL0000000069,TXN000000025,2,SKU0000070,,263.83,293.15,,2.0,23.75,Sold,False
TL0000000070,TXN000000026,1,SKU0000547,3.0,566.13,595.93,,2.0,0.0,Sold,True
TL0000000071,TXN000000026,2,SKU0000348,1.0,418.6,465.11,,0.0,0.0,Sold,True
TL0000000072,TXN000000026,3,SKU0000302,3.0,7.47,8.3,,1.0,1.12,Voided,True
TL0000000073,TXN000000026,4,SKU0000420,5.0,678.55,678.55,,0.0,0.0,Sold,True
TL0000000074,TXN000000026,5,SKU0000447,2.0,220.89,220.89,,2.0,0.0,Sold,True
TL0000000075,TXN000000027,1,SKU0000275,5.0,964.64,964.64,,1.0,241.16,Sold,True
TL0000000076,TXN000000027,2,SKU0000462,1.0,37.39,46.74,,0.0,2.62,Sold,True
TL0000000077,TXN000000028,1,SKU0000487,,2.96,3.12,,0.0,0.0,Sold,False
TL0000000078,TXN000000028,2,SKU0000323,2.0,276.69,325.52,PRM00002,5.0,27.67,Sold,True
TL0000000079,TXN000000028,3,SKU0000142,5.0,440.86,518.66,,0.0,198.39,Sold,True
TL0000000080,TXN000000028,4,SKU0000242,1.0,12.72,12.72,,5.0,0.89,Sold,True
TL0000000081,TXN000000029,1,SKU0000524,2.0,959.9,959.9,,0.0,134.39,Sold,True
TL0000000082,TXN000000030,1,SKU0000070,4.0,249.18,293.15,,0.0,49.84,Sold,True
TL0000000083,TXN000000030,2,SKU0000293,1.0,786.6,786.6,,1.0,70.79,Sold,True
TL0000000084,TXN000000031,1,SKU0000413,2.0,114.15,126.83,,2.0,15.98,Sold,True
TL0000000085,TXN000000032,1,SKU0000302,2.0,6.64,8.3,,2.0,0.66,Voided,True
TL0000000086,TXN000000032,2,SKU0000145,1.0,405.8,450.89,PRM00047,0.0,20.29,Sold,True
TL0000000087,TXN000000032,3,SKU0000043,4.0,563.66,563.66,,0.0,202.92,Sold,True
TL0000000088,TXN000000032,4,SKU0000037,1.0,132.86,166.08,,0.0,11.96,Sold,True
TL0000000089,TXN000000032,5,SKU0000159,4.0,534.86,563.01,,0.0,149.76,Sold,True
TL0000000090,TXN000000032,6,SKU0000388,,570.59,600.62,,0.0,51.35,Sold,False
TL0000000091,TXN000000033,1,SKU0000086,1.0,609.71,609.71,,2.0,0.0,Sold,True
TL0000000092,TXN000000033,2,SKU0000074,1.0,376.4,418.22,,0.0,0.0,Sold,True
TL0000000093,TXN000000034,1,SKU0000457,1.0,363.55,363.55,PRM00043,1.0,0.0,Sold,True
TL0000000094,TXN000000034,2,SKU0000372,,184.18,184.18,,1.0,12.89,Sold,False
TL0000000095,TXN000000035,1,SKU0000449,3.0,110.73,116.56,,2.0,0.0,Sold,True
TL0000000096,TXN000000035,2,SKU0000085,2.0,372.2,372.2,,0.0,37.22,Voided,True
TL0000000097,TXN000000035,3,SKU0000169,2.0,400.98,445.53,,1.0,0.0,Voided,True
TL0000000098,TXN000000035,4,SKU0000467,2.0,566.98,667.04,,0.0,102.06,Voided,True
TL0000000099,TXN000000035,5,SKU0000494,3.0,834.7,878.63,,0.0,225.37,Voided,True
TL0000000100,TXN000000036,1,SKU0000520,4.0,126.86,158.57,PRM00010,5.0,35.52,Sold,True
TL0000000101,TXN000000036,2,SKU0000509,5.0,214.37,214.37,PRM00057,2.0,96.47,Voided,True
TL0000000102,TXN000000036,3,SKU0000094,4.0,85.99,90.52,,5.0,17.2,Sold,True
TL0000000103,TXN000000037,1,SKU0000024,,279.8,349.75,,2.0,13.99,Sold,False
TL0000000104,TXN000000038,1,SKU0000328,4.0,827.24,827.24,,0.0,0.0,Sold,True
TL0000000105,TXN000000038,2,SKU0000392,2.0,469.03,469.03,,1.0,84.43,Sold,True
TL0000000106,TXN000000038,3,SKU0000412,4.0,141.68,177.1,,0.0,39.67,Sold,True
TL0000000107,TXN000000039,1,SKU0000207,2.0,514.65,541.74,,0.0,51.47,Voided,True
TL0000000108,TXN000000039,2,SKU0000091,3.0,161.98,190.56,,5.0,34.01,Voided,True
TL0000000109,TXN000000039,3,SKU0000415,2.0,334.14,334.14,,1.0,0.0,Sold,True
TL0000000110,TXN000000039,4,SKU0000243,1.0,122.72,136.35,,5.0,6.14,Sold,True
TL0000000111,TXN000000039,5,SKU0000253,-1.0,740.3,779.26,,1.0,0.0,Voided,False
TL0000000112,TXN000000039,6,SKU0000015,3.0,10.74,12.63,,0.0,2.25,Sold,True
TL0000000113,TXN000000040,1,SKU0000323,1.0,309.24,325.52,PRM00044,5.0,0.0,Sold,True
TL0000000114,TXN000000040,2,SKU0000272,,93.35,93.35,,0.0,8.4,Sold,False
TL0000000115,TXN000000040,3,SKU0000134,1.0,435.96,512.89,,0.0,0.0,Sold,True
TL0000000116,TXN000000040,4,SKU0000424,2.0,285.57,300.6,,2.0,51.4,Sold,True
TL0000000117,TXN000000040,5,SKU0000109,1.0,874.15,874.15,,0.0,78.67,Sold,True
TL0000000118,TXN000000040,6,SKU0000225,2.0,458.74,458.74,,0.0,45.87,Sold,True
TL0000000119,TXN000000041,1,SKU0000057,4.0,166.72,208.4,,0.0,60.02,Sold,True
TL0000000120,TXN000000041,2,SKU0000130,5.0,686.38,686.38,,0.0,240.23,Sold,True
TL0000000121,TXN000000041,3,SKU0000131,3.0,357.54,397.27,,1.0,0.0,Sold,True
TL0000000122,TXN000000042,1,SKU0000218,2.0,350.05,388.94,,2.0,49.01,Voided,True
TL0000000123,TXN000000043,1,SKU0000256,-1.0,551.38,580.4,,2.0,0.0,Sold,False
TL0000000124,TXN000000043,2,SKU0000019,1.0,115.04,115.04,,0.0,8.05,Sold,True
TL0000000125,TXN000000043,3,SKU0000050,2.0,452.7,565.87,,0.0,0.0,Voided,True
TL0000000126,TXN000000044,1,SKU0000073,4.0,399.91,399.91,,0.0,111.97,Voided,True
TL0000000127,TXN000000044,2,SKU0000372,,165.76,184.18,,0.0,8.29,Sold,False
TL0000000128,TXN000000044,3,SKU0000262,4.0,88.12,103.67,,0.0,0.0,Voided,True
TL0000000129,TXN000000044,4,SKU0000375,1.0,491.34,491.34,,0.0,24.57,Sold,True
TL0000000130,TXN000000044,5,SKU0000034,1.0,43.8,54.75,,0.0,3.94,Sold,True
TL0000000131,TXN000000044,6,SKU0000168,2.0,603.87,635.65,,0.0,108.7,Voided,True
TL0000000132,TXN000000045,1,SKU0000342,2.0,155.52,194.4,,0.0,0.0,Sold,True
TL0000000133,TXN000000045,2,SKU0000411,,469.17,551.97,,0.0,32.84,Voided,False
TL0000000134,TXN000000045,3,SKU0000299,4.0,27.89,27.89,,0.0,7.81,Sold,True
TL0000000135,TXN000000046,1,SKU0000492,,571.92,571.92,PRM00041,0.0,51.47,Sold,False
TL0000000136,TXN000000046,2,SKU0000214,4.0,441.98,491.09,,0.0,159.11,Sold,True
TL0000000137,TXN000000046,3,SKU0000469,-1.0,745.78,745.78,,0.0,0.0,Sold,False
TL0000000138,TXN000000047,1,SKU0000541,1.0,398.78,398.78,,1.0,19.94,Sold,True
TL0000000139,TXN000000047,2,SKU0000044,1.0,794.45,836.26,,0.0,55.61,Voided,True
TL0000000140,TXN000000047,3,SKU0000025,5.0,479.91,564.6,,0.0,0.0,Sold,True
TL0000000141,TXN000000048,1,SKU0000058,1.0,709.62,834.85,,2.0,63.87,Sold,True
TL0000000142,TXN000000048,2,SKU0000551,1.0,469.71,469.71,,0.0,42.27,Sold,True
TL0000000143,TXN000000048,3,SKU0000350,5.0,94.95,94.95,,0.0,42.73,Sold,True
TL0000000144,TXN000000049,1,SKU0000434,2.0,212.98,236.64,,0.0,0.0,Sold,True
TL0000000145,TXN000000049,2,SKU0000537,4.0,5.77,7.21,,0.0,2.08,Sold,True
TL0000000146,TXN000000049,3,SKU0000191,2.0,320.55,356.17,,2.0,57.7,Sold,True
TL0000000147,TXN000000049,4,SKU0000016,1.0,463.3,579.13,,0.0,41.7,Sold,True
TL0000000148,TXN000000050,1,SKU0000351,1.0,9.55,11.23,,0.0,0.0,Sold,True
TL0000000149,TXN000000050,2,SKU0000209,4.0,331.76,331.76,PRM00008,0.0,92.89,Sold,True
TL0000000150,TXN000000051,1,SKU0000368,1.0,159.98,159.98,,5.0,0.0,Sold,True
TL0000000151,TXN000000051,2,SKU0000540,1.0,310.2,387.75,,0.0,27.92,Voided,True
TL0000000152,TXN000000051,3,SKU0000335,1.0,393.47,437.19,,0.0,27.54,Voided,True
TL0000000153,TXN000000051,4,SKU0000060,,762.81,897.42,,0.0,0.0,Sold,False
TL0000000154,TXN000000051,5,SKU0000480,1.0,83.99,83.99,,5.0,7.56,Voided,True
TL0000000155,TXN000000052,1,SKU0000121,5.0,5.76,5.76,,0.0,1.44,Sold,True
TL0000000156,TXN000000052,2,SKU0000148,1.0,479.17,504.39,,1.0,43.13,Voided,True
TL0000000157,TXN000000052,3,SKU0000500,1.0,263.42,263.42,,2.0,23.71,Sold,True
TL0000000158,TXN000000052,4,SKU0000250,-1.0,295.51,328.34,PRM00025,0.0,0.0,Sold,False
TL0000000159,TXN000000053,1,SKU0000382,2.0,860.61,956.23,,0.0,86.06,Voided,True
TL0000000160,TXN000000053,2,SKU0000429,4.0,356.5,356.5,PRM00010,0.0,0.0,Voided,True
TL0000000161,TXN000000053,3,SKU0000252,1.0,64.86,64.86,,0.0,0.0,Sold,True
TL0000000162,TXN000000053,4,SKU0000381,4.0,766.69,958.36,,0.0,214.67,Sold,True
TL0000000163,TXN000000053,5,SKU0000002,5.0,849.97,1062.46,,0.0,382.49,Voided,True
TL0000000164,TXN000000053,6,SKU0000089,,110.36,137.95,,2.0,5.52,Sold,False
TL0000000165,TXN000000054,1,SKU0000469,,745.78,745.78,,0.0,52.2,Sold,False
TL0000000166,TXN000000054,2,SKU0000557,-1.0,157.18,157.18,,2.0,0.0,Sold,False
TL0000000167,TXN000000054,3,SKU0000035,-1.0,231.61,231.61,,0.0,0.0,Sold,False
TL0000000168,TXN000000054,4,SKU0000466,,167.73,167.73,,0.0,15.1,Sold,False
TL0000000169,TXN000000055,1,SKU0000007,1.0,303.09,378.86,,0.0,0.0,Voided,True
TL0000000170,TXN000000055,2,SKU0000483,5.0,117.0,117.0,,0.0,40.95,Sold,True
TL0000000171,TXN000000056,1,SKU0000205,,92.04,108.28,,5.0,4.6,Sold,False
TL0000000172,TXN000000056,2,SKU0000038,,823.17,914.63,,0.0,0.0,Voided,False
TL0000000173,TXN000000056,3,SKU0000176,1.0,481.69,507.04,,5.0,0.0,Sold,True
TL0000000174,TXN000000056,4,SKU0000394,1.0,889.1,889.1,,0.0,80.02,Sold,True
TL0000000175,TXN000000056,5,SKU0000107,1.0,437.99,486.66,PRM00042,2.0,39.42,Sold,True
TL0000000176,TXN000000056,6,SKU0000165,1.0,519.31,577.01,,0.0,46.74,Sold,True
TL0000000177,TXN000000057,1,SKU0000374,1.0,638.5,798.12,,0.0,0.0,Sold,True
TL0000000178,TXN000000057,2,SKU0000006,1.0,659.54,732.82,,0.0,46.17,Sold,True
TL0000000179,TXN000000057,3,SKU0000250,2.0,328.34,328.34,,0.0,0.0,Sold,True
TL0000000180,TXN000000058,1,SKU0000479,,238.05,238.05,,5.0,21.42,Sold,False
TL0000000181,TXN000000058,2,SKU0000100,,151.55,151.55,,0.0,10.61,Sold,False
TL0000000182,TXN000000059,1,SKU0000063,1.0,947.92,997.81,,0.0,47.4,Voided,True
TL0000000183,TXN000000059,2,SKU0000225,-1.0,458.74,458.74,,0.0,0.0,Sold,False
TL0000000184,TXN000000059,3,SKU0000273,-1.0,277.42,326.38,,0.0,0.0,Sold,False
TL0000000185,TXN000000060,1,SKU_UNKNOWN,1.0,128.82,151.55,PRM00033,5.0,0.0,Sold,True
TL0000000186,TXN000000060,2,SKU0000178,1.0,924.12,924.12,,0.0,0.0,Sold,True
TL0000000187,TXN000000060,3,SKU0000449,,116.56,116.56,,1.0,5.83,Sold,False
TL0000000188,TXN000000060,4,SKU0000318,1.0,93.25,93.25,PRM00017,0.0,4.66,Voided,True
TL0000000189,TXN000000061,1,SKU0000290,2.0,106.66,106.66,,0.0,10.67,Sold,True
TL0000000190,TXN000000061,2,SKU0000294,4.0,136.34,170.43,,0.0,49.08,Voided,True
TL0000000191,TXN000000061,3,SKU0000384,1.0,468.17,492.81,,1.0,32.77,Sold,True
TL0000000192,TXN000000061,4,SKU0000100,1.0,151.55,151.55,,1.0,7.58,Sold,True
TL0000000193,TXN000000061,5,SKU0000137,1.0,352.75,352.75,,2.0,17.64,Voided,True
TL0000000194,TXN000000061,6,SKU0000438,,579.57,643.97,,1.0,52.16,Sold,False
TL0000000195,TXN000000062,1,SKU0000386,1.0,722.33,722.33,,0.0,50.56,Sold,True
TL0000000196,TXN000000063,1,SKU0000578,-1.0,508.68,508.68,PRM00013,2.0,0.0,Sold,False
TL0000000197,TXN000000063,2,SKU0000023,1.0,264.07,264.07,,2.0,18.48,Sold,True
TL0000000198,TXN000000063,3,SKU0000111,-1.0,473.89,557.52,PRM00015,1.0,0.0,Sold,False
TL0000000199,TXN000000064,1,SKU0000366,4.0,463.8,463.8,,1.0,129.86,Sold,True
TL0000000200,TXN000000064,2,SKU0000019,5.0,115.04,115.04,,0.0,40.26,Sold,True
TL0000000201,TXN000000064,3,SKU0000178,,877.91,924.12,,0.0,0.0,Sold,False
TL0000000202,TXN000000065,1,SKU0000456,-1.0,213.0,224.21,,2.0,0.0,Sold,False
TL0000000203,TXN000000065,2,SKU0000412,2.0,177.1,177.1,,0.0,0.0,Voided,True
TL0000000204,TXN000000066,1,SKU0000165,5.0,577.01,577.01,,0.0,144.25,Sold,True
TL0000000205,TXN000000066,2,SKU0000564,2.0,612.13,612.13,,0.0,85.7,Sold,True
TL0000000206,TXN000000067,1,SKU0000293,4.0,668.61,786.6,PRM00049,2.0,0.0,Sold,True
TL0000000207,TXN000000067,2,SKU0000078,1.0,46.7,46.7,,1.0,3.27,Sold,True
TL0000000208,TXN000000067,3,SKU0000575,2.0,755.64,795.41,,0.0,136.02,Sold,True
TL0000000209,TXN000000067,4,SKU0000357,2.0,808.29,808.29,,0.0,113.16,Voided,True
TL0000000210,TXN000000067,5,SKU0000230,4.0,541.24,541.24,,0.0,108.25,Sold,True
TL0000000211,TXN000000068,1,SKU0000043,3.0,563.66,563.66,PRM00014,5.0,84.55,Sold,True
TL0000000212,TXN000000068,2,SKU0000574,1.0,434.27,482.52,,2.0,0.0,Sold,True
TL0000000213,TXN000000068,3,SKU0000149,3.0,843.59,843.59,PRM00008,1.0,126.54,Sold,True
TL0000000214,TXN000000068,4,SKU0000522,1.0,104.08,130.1,,2.0,7.29,Sold,True
TL0000000215,TXN000000068,5,SKU0000044,1.0,669.01,836.26,,0.0,60.21,Sold,True
TL0000000216,TXN000000068,6,SKU0000356,,278.63,327.8,,5.0,19.5,Sold,False
TL0000000217,TXN000000069,1,SKU0000543,,183.59,183.59,,0.0,16.52,Voided,False
TL0000000218,TXN000000070,1,SKU0000260,2.0,290.39,305.67,,0.0,0.0,Voided,True
TL0000000219,TXN000000070,2,SKU0000118,3.0,490.5,545.0,,0.0,0.0,Sold,True
TL0000000220,TXN000000070,3,SKU0000251,1.0,342.34,380.38,,1.0,30.81,Sold,True
TL0000000221,TXN000000070,4,SKU0000150,3.0,1062.67,1180.75,,5.0,0.0,Sold,True
TL0000000222,TXN000000070,5,SKU0000068,1.0,202.94,202.94,,1.0,18.26,Sold,True
TL0000000223,TXN000000071,1,SKU0000305,2.0,416.71,416.71,PRM00045,0.0,41.67,Sold,True
TL0000000224,TXN000000071,2,SKU0000107,2.0,462.33,486.66,,0.0,0.0,Sold,True
TL0000000225,TXN000000071,3,SKU0000090,1.0,675.05,710.58,,5.0,47.25,Sold,True
TL0000000226,TXN000000071,4,SKU0000448,-1.0,530.06,530.06,,5.0,0.0,Sold,False
TL0000000227,TXN000000072,1,SKU0000115,2.0,13.76,14.48,,0.0,0.0,Sold,True
TL0000000228,TXN000000072,2,SKU0000165,1.0,577.01,577.01,,0.0,51.93,Voided,True
TL0000000229,TXN000000072,3,SKU0000080,3.0,346.51,433.14,,2.0,51.98,Voided,True
TL0000000230,TXN000000072,4,SKU0000421,2.0,311.41,311.41,PRM00043,0.0,31.14,Sold,True
TL0000000231,TXN000000072,5,SKU0000071,2.0,363.81,454.76,PRM00012,0.0,65.49,Sold,True
TL0000000232,TXN000000072,6,SKU0000159,1.0,506.71,563.01,,1.0,0.0,Sold,True
TL0000000233,TXN000000073,1,SKU0000498,3.0,596.67,628.07,,1.0,125.3,Sold,True
TL0000000234,TXN000000073,2,SKU0000333,-1.0,164.38,205.47,,2.0,0.0,Sold,False
TL0000000235,TXN000000073,3,SKU0000425,1.0,250.29,294.46,,1.0,12.51,Sold,True
TL0000000236,TXN000000073,4,SKU_UNKNOWN,1.0,170.43,170.43,,0.0,8.52,Sold,True
TL0000000237,TXN000000073,5,SKU0000200,,504.97,631.21,,0.0,0.0,Sold,False
TL0000000238,TXN000000073,6,SKU0000341,-1.0,187.91,208.79,,5.0,0.0,Voided,False
TL0000000239,TXN000000074,1,SKU0000378,,,490.3,,5.0,35.3,Sold,False
TL0000000240,TXN000000075,1,SKU0000569,4.0,471.98,496.82,,2.0,169.91,Sold,True
TL0000000241,TXN000000075,2,SKU0000389,1.0,730.31,811.46,,0.0,0.0,Sold,True
TL0000000242,TXN000000075,3,SKU0000376,2.0,438.3,438.3,,0.0,43.83,Sold,True
TL0000000243,TXN000000076,1,SKU0000482,1.0,751.13,751.13,PRM00016,0.0,52.58,Voided,True
TL0000000244,TXN000000076,2,SKU0000120,1.0,401.12,401.12,,2.0,0.0,Sold,True
TL0000000245,TXN000000076,3,SKU0000279,1.0,616.45,648.89,,1.0,43.15,Sold,True
TL0000000246,TXN000000076,4,SKU0000136,,446.76,558.45,,0.0,0.0,Sold,False
TL0000000247,TXN000000077,1,SKU0000174,,498.93,498.93,,5.0,44.9,Sold,False
TL0000000248,TXN000000077,2,SKU0000221,,362.3,426.23,PRM00040,0.0,25.36,Sold,False
TL0000000249,TXN000000077,3,SKU0000456,2.0,224.21,224.21,PRM00048,1.0,22.42,Sold,True
TL0000000250,TXN000000077,4,SKU0000136,2.0,558.45,558.45,,0.0,78.18,Sold,True
TL0000000251,TXN000000077,5,SKU0000186,1.0,368.53,368.53,,5.0,18.43,Sold,True
TL0000000252,TXN000000078,1,SKU0000545,-1.0,446.69,496.32,,0.0,0.0,Sold,False
TL0000000253,TXN000000078,2,SKU0000368,2.0,151.98,159.98,,0.0,15.2,Sold,True
TL0000000254,TXN000000078,3,SKU0000449,2.0,116.56,116.56,,1.0,0.0,Sold,True
TL0000000255,TXN000000079,1,SKU0000488,1.0,96.15,96.15,,2.0,0.0,Sold,True
TL0000000256,TXN000000079,2,SKU0000109,2.0,743.03,874.15,,5.0,133.74,Voided,True
TL0000000257,TXN000000079,3,SKU0000559,1.0,492.88,492.88,,0.0,44.36,Sold,True
TL0000000258,TXN000000080,1,SKU0000438,2.0,515.18,643.97,,1.0,0.0,Sold,True
TL0000000259,TXN000000080,2,SKU0000159,-1.0,563.01,563.01,,1.0,0.0,Sold,False
TL0000000260,TXN000000080,3,SKU0000501,1.0,122.73,122.73,PRM00043,0.0,8.59,Voided,True
TL0000000261,TXN000000080,4,SKU0000383,1.0,502.89,502.89,PRM00043,5.0,45.26,Sold,True
TL0000000262,TXN000000080,5,SKU0000454,-1.0,205.48,216.29,,0.0,0.0,Sold,False
TL0000000263,TXN000000080,6,SKU0000442,1.0,39.52,39.52,,5.0,2.77,Sold,True
TL0000000264,TXN000000081,1,SKU0000291,-1.0,296.07,370.09,,0.0,0.0,Sold,False
TL0000000265,TXN000000081,2,SKU0000320,1.0,56.1,56.1,,1.0,2.81,Sold,True
TL0000000266,TXN000000082,1,SKU0000231,3.0,279.47,328.79,,0.0,58.69,Voided,True
TL0000000267,TXN000000082,2,SKU0000101,1.0,730.64,730.64,,1.0,0.0,Sold,True
TL0000000268,TXN000000082,3,SKU0000552,1.0,560.35,659.24,,1.0,39.22,Voided,True
TL0000000269,TXN000000082,4,SKU0000155,1.0,403.07,403.07,PRM00013,1.0,0.0,Sold,True
TL0000000270,TXN000000082,5,SKU0000126,3.0,442.32,465.6,,2.0,119.43,Sold,True
TL0000000271,TXN000000083,1,SKU0000299,1.0,26.5,27.89,,0.0,0.0,Sold,True
TL0000000272,TXN000000083,2,SKU0000237,3.0,758.5,892.35,,2.0,204.79,Sold,True
TL0000000273,TXN000000083,3,SKU0000450,1.0,27.48,28.93,,0.0,2.47,Sold,True
TL0000000274,TXN000000083,4,SKU0000533,1.0,271.83,286.14,PRM00051,0.0,13.59,Voided,True
TL0000000275,TXN000000083,5,SKU0000493,4.0,188.85,209.83,,0.0,37.77,Sold,True
