snapshot_date,store_id,product_id,on_hand_qty,reserved_qty,on_order_qty,reorder_point,safety_stock_qty,inventory_status,available_qty,valid_values
2026-04-01,STR0001,SKU0000549,42.0,19,4,75,5,Healthy,23.0,True
2026-04-01,STR0001,SKU0000216,14.0,4,26,30,20,Stockout,10.0,True
2026-04-01,STR0001,SKU0000406,212.0,17,184,30,5,Low,195.0,True
2026-04-01,STR0001,SKU0000363,413.0,59,160,10,30,Low,354.0,True
2026-04-01,STR0001,SKU0000052,290.0,2,135,10,5,Stockout,288.0,True
2026-04-01,STR0001,SKU0000539,184.0,36,6,20,30,Low,148.0,True
2026-04-01,STR0001,SKU0000145,196.0,25,9,20,30,Healthy,171.0,True
2026-04-01,STR0001,SKU0000277,181.0,16,52,10,5,Healthy,165.0,True
2026-04-01,STR0001,SKU0000056,143.0,42,79,10,30,Healthy,101.0,True
2026-04-01,STR0001,SKU0000399,7.0,7,26,75,20,Stockout,0.0,True
2026-04-01,STR0001,SKU0000480,384.0,2,123,30,20,Stockout,382.0,True
2026-04-01,STR0001,SKU0000267,11.0,2,120,20,20,Healthy,9.0,True
2026-04-01,STR0001,SKU0000385,200.0,31,67,50,30,Low,169.0,True
2026-04-01,STR0001,SKU0000204,132.0,20,106,50,30,Healthy,112.0,True
2026-04-01,STR0001,SKU0000144,10.0,3,185,10,5,Stockout,7.0,True
2026-04-01,STR0001,SKU0000093,157.0,22,11,50,30,Stockout,135.0,True
2026-04-01,STR0001,SKU0000175,96.0,52,5,75,20,Overstock,44.0,True
2026-04-01,STR0001,SKU0000185,340.0,26,14,30,20,Healthy,314.0,True
2026-04-01,STR0001,SKU0000465,259.0,11,127,10,5,Healthy,248.0,True
2026-04-01,STR0001,SKU0000523,471.0,9,135,10,20,Healthy,462.0,True
2026-04-01,STR0001,SKU0000106,11.0,0,106,75,30,Stockout,11.0,True
2026-04-01,STR0001,SKU0000299,389.0,39,142,50,5,Low,350.0,True
2026-04-01,STR0001,SKU0000454,256.0,49,184,50,5,Healthy,207.0,True
2026-04-01,STR0001,SKU0000572,336.0,25,130,20,30,Stockout,311.0,True
2026-04-01,STR0001,SKU0000423,176.0,15,99,75,20,Overstock,161.0,True
2026-04-01,STR0001,SKU0000481,246.0,59,32,10,10,Low,187.0,True
2026-04-01,STR0001,SKU0000234,183.0,18,57,10,10,Stockout,165.0,True
2026-04-01,STR0001,SKU0000543,370.0,5,186,10,10,Healthy,365.0,True
2026-04-01,STR0001,SKU0000278,9.0,4,154,30,10,Stockout,5.0,True
2026-04-01,STR0001,SKU0000331,82.0,44,32,75,10,Overstock,38.0,True
2026-04-01,STR0001,SKU0000537,20.0,12,108,50,5,Stockout,8.0,True
2026-04-01,STR0001,SKU0000402,119.0,39,26,30,5,Stockout,80.0,True
2026-04-01,STR0001,SKU0000346,420.0,0,156,10,30,Healthy,420.0,True
2026-04-01,STR0001,SKU0000065,92.0,38,1,50,5,Healthy,54.0,True
2026-04-01,STR0001,SKU0000146,321.0,32,135,10,5,Low,289.0,True
2026-04-01,STR0001,SKU0000526,160.0,45,153,50,20,Overstock,115.0,True
2026-04-01,STR0001,SKU0000485,87.0,37,165,75,10,Low,50.0,True
2026-04-01,STR0001,SKU0000254,9.0,9,107,10,30,Healthy,0.0,True
2026-04-01,STR0001,SKU0000554,333.0,45,129,30,10,Stockout,288.0,True
2026-04-01,STR0001,SKU0000010,297.0,60,44,75,30,Healthy,237.0,True
2026-04-01,STR0001,SKU0000486,388.0,49,84,50,20,Healthy,339.0,True
2026-04-01,STR0001,SKU0000580,270.0,60,144,30,5,Stockout,210.0,True
2026-04-01,STR0001,SKU0000404,121.0,27,0,75,30,Low,94.0,True
2026-04-01,STR0001,SKU0000259,131.0,29,7,50,5,Healthy,102.0,True
2026-04-01,STR0001,SKU0000335,167.0,7,91,20,5,Low,160.0,True
2026-04-01,STR0001,SKU0000251,320.0,28,15,50,5,Healthy,292.0,True
2026-04-01,STR0001,SKU0000083,454.0,28,176,50,5,Stockout,426.0,True
2026-04-01,STR0001,SKU0000365,460.0,15,70,50,30,Low,445.0,True
2026-04-01,STR0001,SKU0000306,244.0,13,82,30,20,Healthy,231.0,True
2026-04-01,STR0001,SKU0000136,260.0,16,35,75,30,Overstock,244.0,True
2026-04-01,STR0001,SKU0000137,331.0,11,2,10,30,Low,320.0,True
2026-04-01,STR0001,SKU0000337,416.0,20,183,10,20,Stockout,396.0,True
2026-04-01,STR0001,SKU0000075,367.0,4,173,50,20,Healthy,363.0,True
2026-04-01,STR0001,SKU0000222,464.0,29,46,20,5,Low,435.0,True
2026-04-01,STR0001,SKU0000476,205.0,24,136,20,30,Stockout,181.0,True
2026-04-01,STR0001,SKU0000565,188.0,40,183,10,20,Stockout,148.0,True
2026-04-01,STR0001,SKU0000238,121.0,47,152,75,10,Stockout,74.0,True
2026-04-01,STR0001,SKU0000285,56.0,19,113,30,30,Healthy,37.0,True
2026-04-01,STR0001,SKU0000369,87.0,34,41,20,20,Overstock,53.0,True
2026-04-01,STR0001,SKU0000482,297.0,8,164,20,30,Stockout,289.0,True
2026-04-01,STR0001,SKU0000397,400.0,46,45,10,5,Healthy,354.0,True
2026-04-01,STR0001,SKU0000483,175.0,33,173,20,30,Low,142.0,True
2026-04-01,STR0001,SKU0000460,303.0,3,189,75,5,Healthy,300.0,True
2026-04-01,STR0001,SKU0000308,35.0,33,58,10,30,Healthy,2.0,True
2026-04-01,STR0001,SKU0000101,260.0,41,179,75,20,Low,219.0,True
2026-04-01,STR0001,SKU0000421,192.0,33,60,75,10,Low,159.0,True
2026-04-01,STR0001,SKU0000379,294.0,13,129,75,10,Stockout,281.0,True
2026-04-01,STR0001,SKU0000530,77.0,20,118,50,20,Healthy,57.0,True
2026-04-01,STR0001,SKU0000076,396.0,8,91,20,10,Healthy,388.0,True
2026-04-01,STR0001,SKU0000339,280.0,8,23,10,5,Healthy,272.0,True
2026-04-01,STR0001,SKU0000265,440.0,44,4,75,30,Overstock,396.0,True
2026-04-01,STR0001,SKU0000256,245.0,22,46,50,5,Healthy,223.0,True
2026-04-01,STR0001,SKU0000400,469.0,24,46,30,5,Healthy,445.0,True
2026-04-01,STR0001,SKU0000179,483.0,1,103,10,10,Overstock,482.0,True
2026-04-01,STR0001,SKU0000418,324.0,53,194,75,20,Healthy,271.0,True
2026-04-01,STR0001,SKU0000200,323.0,52,23,20,20,Overstock,271.0,True
2026-04-01,STR0001,SKU0000286,90.0,1,194,10,20,Low,89.0,True
2026-04-01,STR0001,SKU0000187,251.0,10,27,10,30,Overstock,241.0,True
2026-04-01,STR0001,SKU0000236,347.0,28,103,30,30,Low,319.0,True
2026-04-01,STR0001,SKU0000557,200.0,17,135,50,10,Healthy,183.0,True
2026-04-01,STR0001,SKU0000490,361.0,9,3,50,30,Healthy,352.0,True
2026-04-01,STR0001,SKU0000274,77.0,8,45,50,30,Low,69.0,True
2026-04-01,STR0001,SKU0000444,454.0,16,166,50,5,Overstock,438.0,True
2026-04-01,STR0001,SKU0000534,357.0,59,36,20,5,Stockout,298.0,True
2026-04-01,STR0001,SKU0000313,79.0,14,87,75,5,Healthy,65.0,True
2026-04-01,STR0001,SKU0000458,89.0,19,89,30,5,Stockout,70.0,True
2026-04-01,STR0001,SKU0000096,203.0,40,129,20,5,Healthy,163.0,True
2026-04-01,STR0001,SKU0000392,251.0,3,103,30,5,Healthy,248.0,True
2026-04-01,STR0001,SKU0000403,17.0,15,67,50,5,Low,2.0,True
2026-04-01,STR0001,SKU0000533,479.0,17,75,20,10,Low,462.0,True
2026-04-01,STR0001,SKU0000197,1.0,0,107,20,5,Healthy,1.0,True
2026-04-01,STR0001,SKU0000378,1.0,1,162,20,10,Healthy,0.0,True
2026-04-01,STR0001,SKU0000108,320.0,13,124,50,30,Healthy,307.0,True
2026-04-01,STR0001,SKU0000341,419.0,35,173,10,20,Stockout,384.0,True
2026-04-01,STR0001,SKU0000455,97.0,27,51,30,10,Stockout,70.0,True
2026-04-01,STR0001,SKU0000168,434.0,12,43,50,20,Low,422.0,True
2026-04-01,STR0001,SKU0000042,22.0,11,194,10,30,Healthy,11.0,True
2026-04-01,STR0001,SKU0000342,110.0,51,67,50,20,Overstock,59.0,True
2026-04-01,STR0001,SKU0000512,322.0,28,121,10,20,Healthy,294.0,True
2026-04-01,STR0001,SKU0000368,391.0,35,170,30,30,Overstock,356.0,True
2026-04-01,STR0001,SKU0000183,493.0,9,81,10,30,Overstock,484.0,True
2026-04-01,STR0001,SKU0000098,,6,153,20,5,Low,,False
2026-04-01,STR0001,SKU0000527,342.0,29,9,30,30,Overstock,313.0,True
2026-04-01,STR0001,SKU0000360,381.0,42,128,30,20,Overstock,339.0,True
2026-04-01,STR0001,SKU0000268,100.0,56,39,20,5,Stockout,44.0,True
2026-04-01,STR0001,SKU0000566,365.0,27,116,20,20,Overstock,338.0,True
2026-04-01,STR0001,SKU0000576,185.0,28,189,30,30,Low,157.0,True
2026-04-01,STR0001,SKU0000411,178.0,9,180,10,5,Overstock,169.0,True
2026-04-01,STR0001,SKU0000249,385.0,43,101,20,20,Healthy,342.0,True
2026-04-01,STR0001,SKU0000307,271.0,8,124,20,30,Stockout,263.0,True
2026-04-01,STR0001,SKU0000025,146.0,37,84,10,30,Healthy,109.0,True
2026-04-01,STR0001,SKU0000124,7.0,3,111,50,20,Stockout,4.0,True
2026-04-01,STR0001,SKU0000441,64.0,2,192,10,10,Overstock,62.0,True
2026-04-01,STR0001,SKU0000032,332.0,24,67,30,5,Healthy,308.0,True
2026-04-01,STR0001,SKU0000155,384.0,2,132,30,10,Healthy,382.0,True
2026-04-01,STR0001,SKU0000068,5.0,0,7,20,20,Healthy,5.0,True
2026-04-01,STR0001,SKU0000468,447.0,21,36,10,30,Overstock,426.0,True
2026-04-01,STR0001,SKU0000359,280.0,16,12,30,20,Healthy,264.0,True
2026-04-01,STR0001,SKU0000225,270.0,19,39,10,10,Overstock,251.0,True
2026-04-01,STR0001,SKU0000491,18.0,11,100,50,5,Healthy,7.0,True
2026-04-01,STR0001,SKU0000229,434.0,41,43,30,10,Low,393.0,True
2026-04-01,STR0001,SKU0000394,367.0,53,37,10,10,Low,314.0,True
2026-04-01,STR0001,SKU0000212,403.0,38,56,50,5,Overstock,365.0,True
2026-04-01,STR0001,SKU0000377,289.0,55,76,75,10,Stockout,234.0,True
2026-04-01,STR0001,SKU0000334,253.0,54,55,75,20,Overstock,199.0,True
2026-04-01,STR0001,SKU0000135,194.0,19,168,50,20,Overstock,175.0,True
2026-04-01,STR0001,SKU0000072,365.0,7,68,20,5,Healthy,358.0,True
2026-04-01,STR0001,SKU0000112,125.0,28,4,30,20,Low,97.0,True
2026-04-01,STR0002,SKU0000332,428.0,22,172,50,5,Healthy,406.0,True
2026-04-01,STR0002,SKU0000202,372.0,49,113,10,30,Healthy,323.0,True
2026-04-01,STR0002,SKU0000288,382.0,54,134,30,20,Healthy,328.0,True
2026-04-01,STR0002,SKU0000279,183.0,41,108,30,5,Healthy,142.0,True
2026-04-01,STR0002,SKU0000578,105.0,55,193,30,10,Healthy,50.0,True
2026-04-01,STR0002,SKU0000341,322.0,19,90,20,20,Overstock,303.0,True
2026-04-01,STR0002,SKU0000060,398.0,40,3,30,20,Overstock,358.0,True
2026-04-01,STR0002,SKU0000138,445.0,6,156,10,10,Low,439.0,True
2026-04-01,STR0002,SKU0000134,325.0,44,15,30,5,Healthy,281.0,True
2026-04-01,STR0002,SKU0000560,206.0,18,162,10,30,Overstock,188.0,True
2026-04-01,STR0002,SKU0000476,370.0,44,19,10,10,Stockout,326.0,True
2026-04-01,STR0002,SKU0000393,206.0,23,127,20,5,Low,183.0,True
2026-04-01,STR0002,SKU0000459,359.0,48,21,20,30,Healthy,311.0,True
2026-04-01,STR0002,SKU0000546,488.0,18,117,20,5,Healthy,470.0,True
2026-04-01,STR0002,SKU0000263,151.0,38,5,20,5,Low,113.0,True
2026-04-01,STR0002,SKU0000284,259.0,8,53,10,20,Low,251.0,True
2026-04-01,STR0002,SKU0000300,176.0,34,196,20,20,Overstock,142.0,True
2026-04-01,STR0002,SKU0000113,12.0,12,17,20,30,Low,0.0,True
2026-04-01,STR0002,SKU0000483,434.0,40,158,10,5,Low,394.0,True
2026-04-01,STR0002,SKU0000252,198.0,34,175,75,5,Low,164.0,True
2026-04-01,STR0002,SKU0000144,114.0,4,180,30,10,Healthy,110.0,True
2026-04-01,STR0002,SKU0000543,42.0,22,125,75,30,Low,20.0,True
2026-04-01,STR0002,SKU0000153,295.0,18,21,75,10,Overstock,277.0,True
2026-04-01,STR0002,SKU0000227,391.0,3,49,20,5,Overstock,388.0,True
2026-04-01,STR0002,SKU0000477,233.0,40,47,30,5,Stockout,193.0,True
2026-04-01,STR0002,SKU0000163,354.0,12,28,50,10,Healthy,342.0,True
2026-04-01,STR0002,SKU0000168,44.0,5,196,75,5,Healthy,39.0,True
2026-04-01,STR0002,SKU0000485,230.0,4,151,30,30,Healthy,226.0,True
2026-04-01,STR0002,SKU0000272,472.0,51,150,20,20,Healthy,421.0,True
2026-04-01,STR0002,SKU0000265,456.0,38,30,10,30,Stockout,418.0,True
2026-04-01,STR0002,SKU0000127,437.0,41,13,10,30,Healthy,396.0,True
2026-04-01,STR0002,SKU0000275,161.0,44,150,75,30,Overstock,117.0,True
2026-04-01,STR0002,SKU0000276,376.0,37,39,75,30,Stockout,339.0,True
2026-04-01,STR0002,SKU0000533,145.0,53,130,30,30,Overstock,92.0,True
2026-04-01,STR0002,SKU0000217,58.0,54,37,10,20,Low,4.0,True
2026-04-01,STR0002,SKU0000344,415.0,25,161,50,30,Healthy,390.0,True
2026-04-01,STR0002,SKU0000439,94.0,18,101,30,20,Healthy,76.0,True
2026-04-01,STR0002,SKU0000080,121.0,36,43,30,5,Healthy,85.0,True
2026-04-01,STR0002,SKU0000013,9.0,0,168,50,30,Healthy,9.0,True
2026-04-01,STR0002,SKU0000078,249.0,48,91,50,10,Healthy,201.0,True
2026-04-01,STR0002,SKU0000005,38.0,12,157,50,30,Stockout,26.0,True
2026-04-01,STR0002,SKU0000323,128.0,59,64,75,30,Stockout,69.0,True
2026-04-01,STR0002,SKU0000502,41.0,16,91,20,20,Low,25.0,True
2026-04-01,STR0002,SKU0000464,206.0,28,89,20,5,Low,178.0,True
2026-04-01,STR0002,SKU0000370,358.0,47,105,20,20,Overstock,311.0,True
2026-04-01,STR0002,SKU0000548,353.0,27,138,75,30,Stockout,326.0,True
2026-04-01,STR0002,SKU0000523,422.0,44,86,30,10,Healthy,378.0,True
2026-04-01,STR0002,SKU0000454,45.0,39,173,30,5,Stockout,6.0,True
2026-04-01,STR0002,SKU0000104,82.0,20,151,30,5,Stockout,62.0,True
2026-04-01,STR0002,SKU0000340,363.0,38,15,20,5,Overstock,325.0,True
2026-04-01,STR0002,SKU0000277,56.0,41,56,50,30,Overstock,15.0,True
2026-04-01,STR0002,SKU0000427,69.0,60,6,50,5,Healthy,9.0,True
2026-04-01,STR0002,SKU0000112,431.0,24,55,30,20,Healthy,407.0,True
2026-04-01,STR0002,SKU0000081,418.0,33,190,50,20,Low,385.0,True
2026-04-01,STR0002,SKU0000360,312.0,3,122,10,5,Healthy,309.0,True
2026-04-01,STR0002,SKU0000455,208.0,36,164,30,30,Healthy,172.0,True
2026-04-01,STR0002,SKU0000085,303.0,28,200,10,5,Healthy,275.0,True
2026-04-01,STR0002,SKU0000539,449.0,2,1,20,5,Overstock,447.0,True
2026-04-01,STR0002,SKU0000046,343.0,46,171,75,30,Low,297.0,True
2026-04-01,STR0002,SKU0000232,53.0,11,66,30,20,Low,42.0,True
2026-04-01,STR0002,SKU0000253,384.0,40,161,10,30,Healthy,344.0,True
2026-04-01,STR0002,SKU0000394,372.0,8,44,50,30,Healthy,364.0,True
2026-04-01,STR0002,SKU0000157,344.0,3,42,30,10,Healthy,341.0,True
2026-04-01,STR0002,SKU0000335,416.0,38,120,75,30,Stockout,378.0,True
2026-04-01,STR0002,SKU0000170,427.0,58,52,50,5,Healthy,369.0,True
2026-04-01,STR0002,SKU0000312,119.0,20,183,50,20,Healthy,99.0,True
2026-04-01,STR0002,SKU0000496,314.0,27,70,75,5,Overstock,287.0,True
2026-04-01,STR0002,SKU0000274,284.0,19,180,50,30,Healthy,265.0,True
2026-04-01,STR0002,SKU0000273,368.0,11,114,50,30,Healthy,357.0,True
2026-04-01,STR0002,SKU0000396,221.0,46,129,10,30,Overstock,175.0,True
2026-04-01,STR0002,SKU0000023,62.0,8,144,50,20,Low,54.0,True
2026-04-01,STR0002,SKU0000424,471.0,43,144,10,20,Stockout,428.0,True
2026-04-01,STR0002,SKU0000018,462.0,4,81,75,10,Stockout,458.0,True
2026-04-01,STR0002,SKU0000562,100.0,38,196,20,10,Stockout,62.0,True
2026-04-01,STR0002,SKU0000495,288.0,16,126,30,20,Overstock,272.0,True
2026-04-01,STR0002,SKU0000079,447.0,9,30,30,30,Overstock,438.0,True
2026-04-01,STR0002,SKU0000524,444.0,36,171,50,30,Low,408.0,True
2026-04-01,STR0002,SKU0000430,485.0,35,57,10,10,Healthy,450.0,True
2026-04-01,STR0002,SKU0000271,499.0,9,59,75,10,Healthy,490.0,True
2026-04-01,STR0002,SKU0000201,500.0,18,189,50,30,Overstock,482.0,True
2026-04-01,STR0002,SKU0000397,92.0,60,99,75,10,Low,32.0,True
2026-04-01,STR0002,SKU0000149,407.0,25,157,75,20,Stockout,382.0,True
2026-04-01,STR0002,SKU0000333,411.0,49,156,10,20,Overstock,362.0,True
2026-04-01,STR0002,SKU0000123,423.0,21,40,30,30,Overstock,402.0,True
2026-04-01,STR0002,SKU0000161,164.0,60,78,75,10,Healthy,104.0,True
2026-04-01,STR0002,SKU0000169,498.0,12,144,50,10,Stockout,486.0,True
2026-04-01,STR0002,SKU0000267,183.0,22,99,50,5,Healthy,161.0,True
2026-04-01,STR0002,SKU0000551,429.0,4,26,75,10,Healthy,425.0,True
2026-04-01,STR0002,SKU0000499,83.0,12,95,20,10,Low,71.0,True
2026-04-01,STR0002,SKU0000006,88.0,10,161,10,30,Stockout,78.0,True
2026-04-01,STR0002,SKU0000471,121.0,10,113,30,20,Overstock,111.0,True
2026-04-01,STR0002,SKU0000192,17.0,5,139,30,30,Healthy,12.0,True
2026-04-01,STR0002,SKU0000001,285.0,29,174,50,5,Stockout,256.0,True
2026-04-01,STR0002,SKU0000381,470.0,3,85,10,5,Stockout,467.0,True
2026-04-01,STR0002,SKU0000255,36.0,34,97,50,20,Healthy,2.0,True
2026-04-01,STR0002,SKU0000030,241.0,18,21,30,5,Stockout,223.0,True
2026-04-01,STR0002,SKU0000358,306.0,57,184,10,20,Stockout,249.0,True
2026-04-01,STR0002,SKU0000247,321.0,16,111,20,10,Healthy,305.0,True
2026-04-01,STR0002,SKU0000212,220.0,15,182,50,30,Healthy,205.0,True
2026-04-01,STR0002,SKU0000447,425.0,7,25,75,5,Low,418.0,True
2026-04-01,STR0002,SKU0000522,353.0,40,10,50,5,Low,313.0,True
2026-04-01,STR0002,SKU0000444,131.0,6,26,50,5,Stockout,125.0,True
2026-04-01,STR0002,SKU0000330,468.0,46,95,50,30,Healthy,422.0,True
2026-04-01,STR0002,SKU0000238,291.0,48,93,75,10,Overstock,243.0,True
2026-04-01,STR0002,SKU0000558,10.0,4,102,10,30,Stockout,6.0,True
2026-04-01,STR0002,SKU0000519,0.0,0,39,20,10,Low,0.0,True
2026-04-01,STR0002,SKU0000002,187.0,19,48,20,10,Overstock,168.0,True
2026-04-01,STR0002,SKU0000025,178.0,44,34,20,10,Overstock,134.0,True
2026-04-01,STR0002,SKU0000301,446.0,13,8,75,30,Stockout,433.0,True
2026-04-01,STR0002,SKU0000389,493.0,24,140,50,10,Healthy,469.0,True
2026-04-01,STR0002,SKU0000055,280.0,31,142,50,5,Overstock,249.0,True
2026-04-01,STR0002,SKU0000456,299.0,30,145,30,5,Healthy,269.0,True
2026-04-01,STR0002,SKU0000576,106.0,16,119,20,20,Healthy,90.0,True
2026-04-01,STR0002,SKU0000294,189.0,10,152,20,5,Low,179.0,True
2026-04-01,STR0002,SKU0000355,220.0,40,197,75,10,Low,180.0,True
2026-04-01,STR0002,SKU0000438,405.0,31,138,75,10,Overstock,374.0,True
2026-04-01,STR0002,SKU0000156,180.0,18,173,50,30,Low,162.0,True
2026-04-01,STR0002,SKU0000387,405.0,40,28,30,30,Low,365.0,True
2026-04-01,STR0002,SKU0000482,281.0,0,69,10,30,Healthy,281.0,True
2026-04-01,STR0002,SKU0000425,68.0,4,63,20,5,Healthy,64.0,True
2026-04-01,STR0002,SKU0000139,61.0,17,87,10,5,Overstock,44.0,True
2026-04-01,STR0002,SKU0000489,470.0,32,145,75,10,Low,438.0,True
2026-04-01,STR0002,SKU0000226,350.0,49,65,75,10,Healthy,301.0,True
2026-04-01,STR0002,SKU0000036,497.0,31,134,50,30,Healthy,466.0,True
2026-04-01,STR0002,SKU0000507,36.0,23,48,20,30,Stockout,13.0,True
2026-04-01,STR0002,SKU0000534,11.0,9,117,75,10,Low,2.0,True
2026-04-01,STR0002,SKU0000099,190.0,26,157,75,30,Stockout,164.0,True
2026-04-01,STR0002,SKU0000404,462.0,17,160,10,5,Stockout,445.0,True
2026-04-01,STR0002,SKU0000547,26.0,23,6,10,10,Healthy,3.0,True
2026-04-01,STR0002,SKU0000353,334.0,23,26,20,20,Overstock,311.0,True
2026-04-01,STR0002,SKU0000179,161.0,24,37,75,30,Stockout,137.0,True
2026-04-01,STR0002,SKU0000453,88.0,10,114,20,5,Healthy,78.0,True
2026-04-01,STR0002,SKU0000326,174.0,1,159,10,20,Overstock,173.0,True
2026-04-01,STR0002,SKU0000029,296.0,19,146,50,20,Stockout,277.0,True
2026-04-01,STR0002,SKU0000462,224.0,20,131,30,30,Healthy,204.0,True
2026-04-01,STR0002,SKU0000225,414.0,37,26,75,30,Stockout,377.0,True
2026-04-01,STR0002,SKU0000395,233.0,23,160,30,10,Healthy,210.0,True
2026-04-01,STR0002,SKU0000391,157.0,31,93,50,20,Healthy,126.0,True
2026-04-01,STR0002,SKU0000034,253.0,21,74,20,30,Low,232.0,True
2026-04-01,STR0002,SKU0000065,307.0,3,24,75,30,Low,304.0,True
2026-04-01,STR0002,SKU0000450,292.0,1,112,10,30,Healthy,291.0,True
2026-04-01,STR0002,SKU0000536,397.0,54,93,75,30,Healthy,343.0,True
2026-04-01,STR0002,SKU0000437,64.0,3,153,30,30,Healthy,61.0,True
2026-04-01,STR0002,SKU0000457,129.0,1,5,30,20,Low,128.0,True
2026-04-01,STR0002,SKU0000245,208.0,58,48,10,30,Overstock,150.0,True
2026-04-01,STR0002,SKU0000390,473.0,8,182,50,30,Healthy,465.0,True
2026-04-01,STR0002,SKU0000240,326.0,49,170,20,20,Overstock,277.0,True
2026-04-01,STR0002,SKU0000518,2.0,0,183,50,20,Overstock,2.0,True
2026-04-01,STR0002,SKU0000148,153.0,1,116,50,10,Healthy,152.0,True
2026-04-01,STR0002,SKU0000096,317.0,0,43,20,10,Low,317.0,True
2026-04-01,STR0002,SKU0000048,207.0,45,143,75,30,Stockout,162.0,True
2026-04-01,STR0002,SKU0000577,346.0,23,72,10,5,Overstock,323.0,True
2026-04-01,STR0002,SKU0000327,467.0,58,153,20,20,Healthy,409.0,True
2026-04-01,STR0002,SKU0000307,42.0,12,77,30,5,Low,30.0,True
2026-04-01,STR0002,SKU0000405,13.0,13,3,30,10,Overstock,0.0,True
2026-04-01,STR0002,SKU0000042,169.0,49,102,50,30,Healthy,120.0,True
2026-04-01,STR0002,SKU0000180,71.0,9,181,20,20,Healthy,62.0,True
2026-04-01,STR0002,SKU0000044,12.0,12,41,20,30,Overstock,0.0,True
2026-04-01,STR0002,SKU0000137,282.0,60,39,20,20,Healthy,222.0,True
2026-04-01,STR0002,SKU0000465,422.0,39,61,10,30,Stockout,383.0,True
2026-04-01,STR0003,SKU0000570,288.0,57,165,20,30,Stockout,231.0,True
2026-04-01,STR0003,SKU0000277,139.0,11,177,10,30,Overstock,128.0,True
2026-04-01,STR0003,SKU0000194,269.0,25,34,20,5,Healthy,244.0,True
2026-04-01,STR0003,SKU0000062,185.0,2,196,20,30,Low,183.0,True
2026-04-01,STR0003,SKU0000421,492.0,45,163,20,30,Overstock,447.0,True
2026-04-01,STR0003,SKU0000315,188.0,11,32,50,5,Stockout,177.0,True
2026-04-01,STR0003,SKU0000265,27.0,26,142,50,30,Overstock,1.0,True
2026-04-01,STR0003,SKU0000406,495.0,56,49,50,5,Low,439.0,True
2026-04-01,STR0003,SKU0000384,108.0,21,105,75,10,Low,87.0,True
2026-04-01,STR0003,SKU0000230,247.0,30,191,50,10,Healthy,217.0,True
2026-04-01,STR0003,SKU0000076,280.0,26,162,30,20,Overstock,254.0,True
2026-04-01,STR0003,SKU0000452,206.0,24,154,75,30,Stockout,182.0,True
2026-04-01,STR0003,SKU0000216,432.0,52,119,75,10,Healthy,380.0,True
