transaction_id,store_id,register_id,associate_id,customer_id,transaction_ts,transaction_type,sales_channel,receipt_status,batch_id
TXN000000079,STR0016,REG025,ASC000182,CUST00001255,05/19/2026 14:29,SALE,Pickup,completed ,POS_B
TXN000000080,STR0020,REG027,ASC000109,,05/23/2026 11:18,VOID,Pickup,Completed,POS_C
TXN000000081,STR0003,REG025,ASC000355,CUST00001490,05/17/2026 23:32,SALE,Store,Suspended,POS_A
TXN000000082,STR0010,REG026,ASC000439,CUST00001440,2026-05-09 20:58:53,SALE,Store,Completed,POS_B
TXN000000083,STR0010,REG002,ASC000426,CUST00000321,2026-04-04 07:56:41,sale ,Store,Voided,POS_A
TXN000000084,STR0008,REG002,ASC000458,,2026-05-08 07:24:41,SALE,Store,Completed,POS_C
TXN000000085,STR0018,REG012,ASC000297,CUST00000529,2026-05-17 14:39:47,SALE,Store,Completed,POS_C
TXN000000086,STR0002,REG009,ASC000304,CUST00001395,2026-04-16 14:44:19,SALE,Store,Voided,POS_C
TXN000000087,STR0010,REG028,ASC000064,CUST00000550,04/23/2026 06:47,SALE,Store,completed ,POS_C
TXN000000088,STR0013,REG004,ASC000091,CUST00001399,2026-04-05 00:17:12,SALE,Store,Suspended,POS_C
TXN000000089,STR0017,REG015,ASC000250,CUST00000362,04/22/2026 13:00,SALE,Store,Suspended,POS_C
TXN000000090,STR0005,REG021,ASC000480,CUST00000685,2026-04-02 18:36:56,SALE,Pickup,Completed,POS_C
TXN000000091,STR0015,REG007,ASC000121,CUST00001670,05/19/2026 05:18,SALE,Store,Suspended,POS_B
TXN000000092,STR0011,REG013,ASC000065,,05/08/2026 12:02,VOID,Store,Completed,POS_C
TXN000000093,STR0024,REG017,ASC000186,CUST00001412,05/26/2026 14:35,sale ,Pickup,Completed,POS_C
TXN000000094,STR0015,REG012,ASC000431,CUST00000161,2026-04-13 16:13:41,VOID,Store,Voided,POS_A
TXN000000095,STR0009,REG012,ASC000058,CUST00001497,04/19/2026 18:15,sale ,Store,Completed,POS_A
TXN000000096,STR0001,REG028,ASC000413,CUST00000784,04/29/2026 08:52,SALE,Store,Suspended,POS_C
TXN000000097,STR0011,REG001,ASC000138,CUST00000807,05/08/2026 09:10,SALE,Store,Completed,POS_A
TXN000000098,STR0024,REG009,ASC000340,CUST00000748,04/29/2026 09:21,SALE,Store,Completed,POS_C
TXN000000099,STR0021,REG001,ASC000234,CUST00000525,05/30/2026 15:38,sale ,Pickup,Completed,POS_C
TXN000000100,STR0023,REG025,ASC000339,,2026-04-12 17:20:29,VOID,Store,Completed,POS_C
TXN000000101,STR0023,REG017,ASC000181,CUST00000297,2026-04-30 04:59:59,SALE,Pickup,Suspended,POS_A
TXN000000102,STR0004,REG026,ASC000062,CUST00000826,05/09/2026 17:16,VOID,Pickup,Completed,POS_B
TXN000000103,STR0021,REG020,ASC000347,CUST00001319,04/22/2026 03:23,SALE,Pickup,Voided,POS_C
TXN000000104,STR0003,REG007,ASC000481,CUST00000521,05/02/2026 11:51,SALE,Store,Completed,POS_B
TXN000000105,STR0003,REG022,ASC000481,CUST00000791,2026-05-03 14:58:29,VOID,Store,Suspended,POS_A
TXN000000106,STR0015,REG010,ASC000054,,05/13/2026 11:43,SALE,Store,Completed,POS_C
TXN000000107,STR0017,REG021,ASC000429,CUST00001663,04/30/2026 01:57,SALE,Store,Voided,POS_B
TXN000000108,STR0017,REG019,ASC000436,CUST00001550,04/16/2026 22:01,VOID,Store,completed ,POS_A
TXN000000109,STR0015,REG004,ASC000412,CUST00001283,2026-05-31 22:52:51,VOID,Store,Voided,POS_A
TXN000000110,STR0020,REG022,ASC000282,CUST00001176,2026-04-12 10:34:20,sale ,Pickup,Voided,POS_A
TXN000000111,STR0014,REG024,ASC000202,CUST00001194,04/16/2026 12:11,VOID,Store,Voided,POS_C
TXN000000112,STR0010,REG005,ASC000388,CUST00000699,04/10/2026 09:28,SALE,Store,Completed,POS_C
TXN000000113,STR0022,REG017,ASC000278,CUST00000474,2026-04-25 01:13:10,SALE,Store,Voided,POS_A
TXN000000114,STR0024,REG007,ASC000418,,04/11/2026 03:45,SALE,Store,Suspended,POS_C
TXN000000115,STR0014,REG009,ASC000066,CUST00000647,04/25/2026 08:11,sale ,Store,completed ,POS_C
TXN000000116,STR0016,REG024,ASC000077,,2026-05-30 22:53:28,SALE,Pickup,Completed,POS_A
TXN000000117,STR0009,REG009,ASC000245,CUST00001366,04/27/2026 07:29,SALE,Pickup,Completed,POS_B
TXN000000118,STR0009,REG018,ASC000485,CUST00000458,05/05/2026 03:24,VOID,Store,Completed,POS_A
TXN000000119,STR0022,REG008,ASC000131,CUST00000759,2026-05-25 15:11:55,SALE,Store,completed ,POS_B
TXN000000120,STR0025,REG006,ASC000352,CUST00000289,04/05/2026 23:37,SALE,Store,Voided,POS_B
TXN000000121,STR0016,REG006,ASC000172,CUST00001568,05/16/2026 13:07,sale ,Store,Voided,POS_A
TXN000000122,STR0015,REG027,ASC000078,CUST00000163,2026-04-08 23:32:16,SALE,Pickup,Suspended,POS_A
TXN000000123,STR0001,REG022,ASC000308,CUST00000086,05/03/2026 12:38,SALE,Store,Suspended,POS_B
TXN000000124,STR0016,REG004,ASC000112,,05/22/2026 19:11,SALE,Pickup,Voided,POS_C
TXN000000125,STR0023,REG016,ASC000407,CUST00001123,2026-04-10 07:34:08,SALE,Store,Completed,POS_A
TXN000000126,STR0006,REG022,ASC000409,CUST00001495,05/05/2026 00:19,SALE,Store,Voided,POS_B
TXN000000127,STR0006,REG024,ASC000057,CUST00000712,04/16/2026 19:20,SALE,Store,Suspended,POS_B
TXN000000128,STR0012,REG026,ASC000359,CUST00000715,2026-05-04 15:19:14,VOID,Store,Completed,POS_A
TXN000000129,STR0008,REG028,ASC000176,CUST00000703,04/09/2026 15:58,SALE,Store,Completed,POS_B
TXN000000130,STR0001,REG025,ASC000299,CUST00001518,2026-04-14 01:08:50,SALE,Pickup,Suspended,POS_C
TXN000000131,STR0004,REG004,ASC000154,CUST00000780,2026-04-30 12:48:43,SALE,Pickup,completed ,POS_B
TXN000000132,STR0013,REG017,ASC000163,CUST00001137,05/28/2026 22:41,SALE,Store,Voided,POS_A
TXN000000133,STR0025,REG006,ASC000416,,2026-04-26 23:55:01,sale ,Store,Suspended,POS_C
TXN000000134,STR0012,REG016,ASC000005,CUST00001751,2026-05-25 00:06:18,VOID,Pickup,Completed,POS_A
TXN000000135,STR0006,REG007,ASC000050,,2026-05-21 12:39:27,SALE,Store,Suspended,POS_C
TXN000000136,STR0004,REG008,ASC000287,CUST00000211,2026-04-01 12:08:49,SALE,Store,Suspended,POS_B
TXN000000137,STR0004,REG005,ASC000102,CUST00000953,2026-04-05 10:05:52,VOID,Store,Voided,POS_A
TXN000000138,STR0020,REG007,ASC000382,CUST00000418,05/07/2026 04:53,SALE,Pickup,Suspended,POS_B
TXN000000139,STR0010,REG013,ASC000402,CUST00000501,04/23/2026 14:47,VOID,Pickup,Suspended,POS_C
TXN000000140,STR0008,REG010,ASC000366,CUST00000705,2026-04-03 13:36:50,SALE,Pickup,Completed,POS_B
TXN000000141,STR0011,REG014,ASC000447,,05/24/2026 20:49,SALE,Store,Completed,POS_A
TXN000000142,STR0020,REG013,ASC000189,,05/20/2026 20:32,SALE,Store,Suspended,POS_A
TXN000000143,STR0024,REG026,ASC000418,CUST00001318,2026-05-01 09:23:25,sale ,Store,Voided,POS_B
TXN000000144,STR0012,REG019,ASC000043,,2026-04-09 06:12:44,SALE,Store,Voided,POS_B
TXN000000145,STR0014,REG023,ASC000187,,2026-05-30 12:01:22,SALE,Store,Voided,POS_B
TXN000000146,STR0025,REG011,ASC000230,CUST00000045,2026-04-24 23:30:00,SALE,Store,Suspended,POS_C
TXN000000147,STR0013,REG002,ASC000317,CUST00001660,04/24/2026 00:30,SALE,Store,completed ,POS_B
TXN000000148,STR0011,REG001,ASC000177,CUST00001101,04/01/2026 01:24,SALE,Store,Suspended,POS_B
TXN000000149,STR0024,REG002,ASC000373,,04/25/2026 22:04,VOID,Store,completed ,POS_B
TXN000000150,STR0022,REG018,ASC000443,CUST00000076,2026-04-28 14:24:03,sale ,Store,Completed,POS_B
TXN000000151,STR0014,REG008,ASC000247,,04/25/2026 13:40,VOID,Store,Completed,POS_B
TXN000000152,STR0014,REG023,ASC000293,CUST00001508,05/11/2026 19:01,SALE,Pickup,completed ,POS_B
TXN000000153,STR0011,REG007,ASC000399,,2026-04-17 07:24:16,SALE,Store,Voided,POS_B
TXN000000154,STR0023,REG003,ASC000407,,05/22/2026 14:46,SALE,Pickup,Completed,POS_B
TXN000000155,STR0023,REG012,ASC000061,CUST00000366,2026-05-05 00:31:12,SALE,Store,Completed,POS_B
TXN000000156,STR0020,REG012,ASC000099,CUST00000222,05/27/2026 13:47,SALE,Store,Completed,POS_C
TXN000000157,STR0017,REG023,ASC000024,CUST00000538,05/27/2026 18:14,SALE,Store,Voided,POS_C
TXN000000158,STR0009,REG003,ASC000246,CUST00000975,04/27/2026 02:18,sale ,Store,Completed,POS_B
TXN000000159,STR0001,REG012,ASC000307,CUST00000736,04/02/2026 22:10,VOID,Store,Suspended,POS_C
TXN000000160,STR0014,REG007,ASC000247,CUST00001282,2026-05-08 07:29:19,SALE,Pickup,Completed,POS_B
TXN000000161,STR0023,REG021,ASC000312,,2026-04-27 17:34:40,SALE,Store,Suspended,POS_B
TXN000000162,STR0022,REG024,ASC000248,CUST00001127,2026-05-26 06:45:46,SALE,Pickup,Completed,POS_B
TXN000000163,STR0010,REG007,ASC000408,CUST00000104,2026-04-15 07:31:14,SALE,Store,completed ,POS_C
TXN000000164,STR0016,REG011,ASC000283,,2026-04-22 11:33:02,sale ,Pickup,Suspended,POS_A
TXN000000165,STR0019,REG014,ASC000279,CUST00000551,04/02/2026 09:07,sale ,Pickup,Completed,POS_C
TXN000000166,STR0022,REG013,ASC000278,CUST00000631,05/31/2026 07:01,VOID,Store,completed ,POS_C
TXN000000167,STR0005,REG020,ASC000334,CUST00001532,04/09/2026 04:42,SALE,Store,Voided,POS_B
TXN000000168,STR0001,REG028,ASC000472,CUST00001037,2026-04-24 14:10:21,SALE,Pickup,Voided,POS_A
TXN000000169,STR0007,REG006,ASC000022,,2026-04-22 00:20:44,VOID,Store,Voided,POS_B
TXN000000170,STR0008,REG019,ASC000321,CUST00000767,04/22/2026 13:18,SALE,Pickup,Completed,POS_B
TXN000000171,STR0001,REG024,ASC000475,CUST00000086,2026-05-05 05:06:50,SALE,Store,Completed,POS_B
TXN000000172,STR0006,REG014,ASC000449,CUST00000039,05/11/2026 02:33,SALE,Store,Completed,POS_B
TXN000000173,STR0011,REG028,ASC000314,,04/12/2026 16:55,SALE,Pickup,Completed,POS_A
TXN000000174,STR0003,REG010,ASC000084,,2026-05-25 17:43:46,VOID,Store,Suspended,POS_A
TXN000000175,STR0022,REG022,ASC000443,,05/26/2026 18:02,sale ,Store,Suspended,POS_A
TXN000000176,STR0025,REG024,ASC000090,CUST00000645,05/08/2026 03:34,VOID,Pickup,Suspended,POS_A
TXN000000177,STR0012,REG019,ASC000313,,05/23/2026 15:06,SALE,Pickup,Suspended,POS_C
TXN000000178,STR0004,REG005,ASC000062,CUST00001343,2026-05-05 22:24:31,SALE,Store,Completed,POS_C
TXN000000179,STR0010,REG023,ASC000070,,04/02/2026 09:40,SALE,Store,Completed,POS_B
TXN000000180,STR0004,REG002,ASC000423,,05/15/2026 02:44,sale ,Pickup,completed ,POS_A
TXN000000181,STR0012,REG026,ASC000116,CUST00000687,05/18/2026 20:31,VOID,Store,Completed,POS_A
TXN000000182,STR0014,REG004,ASC000187,CUST00001621,2026-05-15 21:54:23,SALE,Store,Suspended,POS_A
TXN000000183,STR0004,REG020,ASC000240,CUST00000857,04/13/2026 13:54,sale ,Store,Voided,POS_B
TXN000000184,STR0010,REG028,ASC000150,CUST00001368,2026-04-03 06:30:14,sale ,Pickup,Suspended,POS_A
TXN000000185,STR0020,REG016,ASC000195,CUST00001790,2026-05-10 17:32:55,SALE,Store,Suspended,POS_C
TXN000000186,STR0003,REG028,ASC000261,CUST00000762,2026-05-17 06:07:45,SALE,Store,Completed,POS_A
TXN000000187,STR0001,REG017,ASC000306,CUST00001173,2026-05-02 11:23:34,sale ,Store,Completed,POS_A
TXN000000188,STR0014,REG019,ASC000202,,2026-05-09 07:10:08,SALE,Store,Voided,POS_C
TXN000000189,STR0022,REG018,ASC000486,CUST00000865,04/06/2026 00:54,sale ,Store,Completed,POS_A
TXN000000190,STR0014,REG009,ASC000469,,04/30/2026 13:05,SALE,Store,completed ,POS_B
TXN000000191,STR0007,REG008,ASC000322,CUST00001771,2026-04-06 19:12:47,SALE,Store,Voided,POS_C
TXN000000192,STR0013,REG021,ASC000128,CUST00001371,2026-05-14 20:54:22,sale ,Store,Suspended,POS_B
TXN000000193,STR0023,REG010,ASC000060,,2026-04-23 20:57:59,sale ,Pickup,Voided,POS_B
TXN000000194,STR0016,REG002,ASC000047,,2026-05-20 01:57:40,sale ,Store,Suspended,POS_C
TXN000000195,STR0020,REG014,ASC000466,,04/10/2026 10:38,VOID,Pickup,Suspended,POS_B
TXN000000196,STR0023,REG020,ASC000097,CUST00000273,04/12/2026 06:41,sale ,Store,Completed,POS_C
TXN000000197,STR0006,REG005,ASC000294,CUST00000086,04/13/2026 12:21,SALE,Store,Completed,POS_C
TXN000000198,STR0005,REG010,ASC000161,CUST00000955,05/06/2026 20:23,SALE,Pickup,Suspended,POS_B
TXN000000199,STR0001,REG004,ASC000006,CUST00001243,05/21/2026 09:29,SALE,Store,Voided,POS_B
TXN000000200,STR0005,REG011,ASC000015,CUST00000646,05/06/2026 23:50,SALE,Pickup,Completed,POS_A
TXN000000201,STR0021,REG018,ASC000492,CUST00001682,04/19/2026 03:05,SALE,Store,Completed,POS_A
TXN000000202,STR0021,REG013,ASC000336,CUST00000296,04/20/2026 04:00,SALE,Pickup,Suspended,POS_C
TXN000000203,STR0008,REG001,ASC000428,CUST00000561,04/14/2026 07:13,SALE,Pickup,Completed,POS_C
TXN000000204,STR0014,REG007,ASC000241,,2026-04-29 19:43:53,SALE,Store,Suspended,POS_A
TXN000000205,STR0005,REG022,ASC000343,CUST00000216,05/23/2026 23:30,sale ,Store,Completed,POS_B
TXN000000206,STR0023,REG027,ASC000363,CUST00000794,04/05/2026 01:57,SALE,Store,completed ,POS_A
TXN000000207,STR0014,REG001,ASC000066,,04/15/2026 00:44,VOID,Store,completed ,POS_C
TXN000000208,STR0010,REG011,ASC000122,CUST00001439,04/17/2026 21:55,sale ,Store,completed ,POS_A
TXN000000209,STR0008,REG009,ASC000106,,04/29/2026 05:16,sale ,Store,Voided,POS_C
TXN000000210,STR0015,REG025,ASC000415,CUST00001770,2026-05-21 17:34:47,SALE,Store,completed ,POS_A
TXN000000211,STR0002,REG010,ASC000483,CUST00001559,2026-05-12 02:31:15,VOID,Pickup,Completed,POS_C
TXN000000212,STR0019,REG016,ASC000292,CUST00001557,05/25/2026 18:15,SALE,Pickup,Suspended,POS_A
TXN000000213,STR0021,REG028,ASC000347,CUST00000896,2026-05-07 02:52:41,SALE,Store,Voided,POS_A
TXN000000214,STR0024,REG018,ASC000139,CUST00001023,2026-05-14 16:00:19,VOID,Store,Completed,POS_B
TXN000000215,STR0009,REG016,ASC000167,CUST00000312,05/04/2026 00:32,sale ,Store,Voided,POS_A
TXN000000216,STR0021,REG013,ASC000424,,2026-04-20 21:11:25,SALE,Pickup,Completed,POS_A
TXN000000217,STR0001,REG010,ASC000413,,2026-05-09 01:46:45,SALE,Store,Completed,POS_B
TXN000000218,STR0017,REG004,ASC000031,,2026-04-18 22:31:20,VOID,Store,Completed,POS_A
TXN000000219,STR0014,REG006,ASC000494,CUST00001371,05/12/2026 01:20,SALE,Store,Completed,POS_A
TXN000000220,STR0007,REG016,ASC000148,CUST00001067,2026-05-21 10:01:05,SALE,Store,Suspended,POS_C
TXN000000221,STR0023,REG008,ASC000171,CUST00001377,2026-04-30 09:51:38,SALE,Store,Suspended,POS_B
TXN000000222,STR0011,REG007,ASC000120,,04/05/2026 14:04,SALE,Pickup,Voided,POS_A
TXN000000223,STR0009,REG028,ASC000245,,04/05/2026 20:19,SALE,Store,Voided,POS_A
TXN000000224,STR0021,REG001,ASC000492,CUST00000678,05/31/2026 20:39,SALE,Store,Voided,POS_C
TXN000000225,STR0025,REG028,ASC000180,CUST00001198,2026-04-18 00:35:13,SALE,Store,Voided,POS_C
TXN000000226,STR0010,REG025,ASC000408,,05/14/2026 13:56,sale ,Store,completed ,POS_A
TXN000000227,STR0010,REG017,ASC000408,CUST00000159,2026-04-13 20:37:16,SALE,Pickup,Voided,POS_B
TXN000000228,STR0002,REG028,ASC000290,,2026-04-18 13:28:04,sale ,Store,Completed,POS_C
TXN000000229,STR0020,REG004,ASC000189,,2026-05-15 05:14:01,SALE,Store,Voided,POS_B
TXN000000230,STR0012,REG022,ASC000333,,04/02/2026 13:03,sale ,Store,Completed,POS_C
TXN000000231,STR0010,REG012,ASC000064,CUST00000604,05/22/2026 08:28,SALE,Pickup,completed ,POS_B
TXN000000232,STR0021,REG025,ASC000268,CUST00001306,05/11/2026 05:31,SALE,Store,Completed,POS_A
TXN000000233,STR0004,REG011,ASC000165,CUST00001534,04/23/2026 13:37,SALE,Pickup,Completed,POS_C
TXN000000234,STR0015,REG016,ASC000014,CUST00000919,2026-05-07 03:10:07,SALE,Store,completed ,POS_A
TXN000000235,STR0008,REG005,ASC000303,,2026-04-22 07:54:28,sale ,Pickup,Completed,POS_B
TXN000000236,STR0001,REG017,ASC000094,CUST00001340,2026-04-18 13:18:05,sale ,Store,Completed,POS_A
TXN000000237,STR0018,REG012,ASC000476,CUST00001176,04/17/2026 05:44,VOID,Store,completed ,POS_C
TXN000000238,STR0025,REG009,ASC000464,CUST00000439,04/26/2026 14:03,VOID,Store,Completed,POS_B
TXN000000239,STR0009,REG014,ASC000349,CUST00001777,04/05/2026 10:53,SALE,Store,completed ,POS_A
TXN000000240,STR0005,REG023,ASC000473,CUST00000396,2026-04-18 01:31:46,SALE,Store,completed ,POS_C
TXN000000241,STR0003,REG017,ASC000346,,04/19/2026 09:36,SALE,Store,completed ,POS_C
TXN000000242,STR0022,REG023,ASC000081,,2026-05-18 20:49:40,sale ,Pickup,Suspended,POS_C
TXN000000243,STR0008,REG023,ASC000366,CUST00000305,2026-05-02 06:18:22,SALE,Store,completed ,POS_C
TXN000000244,STR0007,REG024,ASC000322,CUST00000518,2026-05-09 06:45:13,SALE,Store,Completed,POS_B
TXN000000245,STR0010,REG025,ASC000433,CUST00000409,04/16/2026 11:48,sale ,Store,Suspended,POS_A
TXN000000246,STR0013,REG015,ASC000215,CUST00000104,05/30/2026 00:38,SALE,Store,Voided,POS_A
