payment_id,transaction_id,payment_method,payment_status,payment_amount
PAY000000039,TXN000000038,Credit Card,approved ,191.91
PAY000000040,TXN000000039,credit card,Declined,278.48
PAY000000041,TXN000000040,Gift Card,Reversed,483.11
PAY000000042,TXN000000041,Debit Card,Approved,217.82
PAY000000043,TXN000000042,Credit Card,Declined,337.74
PAY000000044,TXN_BAD,Credit Card,Approved,253.86
PAY000000045,TXN000000044,Debit Card,Declined,37.59
PAY000000046,TXN000000045,credit card,Declined,48.14
PAY000000047,TXN000000046,Debit Card,Reversed,91.90
PAY000000048,TXN000000047,Cash,Approved,434.01
PAY000000049,TXN000000048,Mobile Pay,Declined,367.95
PAY000000050,TXN000000049,credit card,Declined,483.71
PAY000000051,TXN000000050,Debit Card,Approved,258.57
PAY000000052,TXN000000051,credit card,Approved,45.68
PAY000000053,TXN000000052,Mobile Pay,Approved,243.08
PAY000000054,TXN000000053,Mobile Pay,Approved,76.19
PAY000000055,TXN000000054,Gift Card,Reversed,265.64
PAY000000056,TXN000000055,Gift Card,approved ,407.42
PAY000000057,TXN000000056,credit card,Approved,490.48
PAY000000058,TXN000000057,credit card,Approved,260.27
PAY000000059,TXN000000058,credit card,Declined,48.71
PAY000000060,TXN000000059,Cash,Approved,290.05
PAY000000061,TXN000000060,credit card,Approved,77.01
PAY000000062,TXN000000061,credit card,Approved,141.30
PAY000000063,TXN000000062,credit card,Reversed,136.37
PAY000000064,TXN000000063,Credit Card,Approved,112.13
PAY000000065,TXN000000064,Mobile Pay,Reversed,334.13
PAY000000066,TXN000000065,Mobile Pay,approved ,443.00
PAY000000067,TXN000000066,Gift Card,Reversed,217.01
PAY000000068,TXN000000067,Gift Card,approved ,308.58
PAY000000069,TXN000000068,Mobile Pay,Declined,418.77
PAY000000070,TXN000000069,Cash,Approved,306.00
PAY000000071,TXN000000069,Mobile Pay,approved ,249.04
PAY000000072,TXN000000070,Gift Card,Approved,121.88
PAY000000073,TXN000000071,Mobile Pay,Declined,395.35
PAY000000074,TXN000000072,Mobile Pay,Approved,359.27
PAY000000075,TXN000000072,Debit Card,Approved,406.10
PAY000000076,TXN000000073,Debit Card,Approved,51.78
PAY000000077,TXN000000074,credit card,Declined,498.44
PAY000000078,TXN000000075,credit card,Approved,92.07
PAY000000079,TXN000000076,Gift Card,Approved,305.31
PAY000000080,TXN000000077,credit card,Approved,396.69
PAY000000081,TXN000000078,Gift Card,Reversed,481.91
PAY000000082,TXN000000079,Credit Card,Approved,313.29
PAY000000083,TXN000000080,credit card,Approved,68.48
PAY000000084,TXN000000081,credit card,Declined,345.04
PAY000000085,TXN000000082,credit card,Declined,497.10
PAY000000086,TXN000000083,credit card,Reversed,169.30
PAY000000087,TXN000000084,Credit Card,approved ,464.33
PAY000000088,TXN000000085,Debit Card,Declined,18.97
PAY000000089,TXN000000086,Gift Card,Approved,250.32
PAY000000090,TXN000000087,credit card,approved ,431.35
PAY000000091,TXN000000088,Gift Card,Approved,188.72
PAY000000092,TXN000000089,Gift Card,Reversed,213.36
PAY000000093,TXN000000090,Mobile Pay,Approved,382.36
PAY000000094,TXN000000091,Cash,Declined,55.52
PAY000000095,TXN000000092,Gift Card,Approved,308.24
PAY000000096,TXN000000093,Credit Card,Reversed,20.02
PAY000000097,TXN000000094,credit card,Approved,445.67
PAY000000098,TXN000000095,Credit Card,Approved,91.36
PAY000000099,TXN000000096,Gift Card,Reversed,415.12
PAY000000100,TXN000000097,credit card,Approved,57.71
PAY000000101,TXN000000098,Credit Card,Approved,146.08
PAY000000102,TXN000000099,Gift Card,Declined,237.83
PAY000000103,TXN000000100,Mobile Pay,approved ,255.22
PAY000000104,TXN000000101,Mobile Pay,Reversed,24.31
PAY000000105,TXN000000101,Gift Card,Reversed,107.68
PAY000000106,TXN000000102,Gift Card,Approved,28.43
PAY000000107,TXN000000103,credit card,Approved,372.54
PAY000000108,TXN000000104,credit card,Reversed,400.99
PAY000000109,TXN000000105,Mobile Pay,Declined,212.39
PAY000000110,TXN000000106,Cash,Approved,269.94
PAY000000111,TXN000000107,Debit Card,Approved,378.25
PAY000000112,TXN000000108,Cash,Reversed,404.65
PAY000000113,TXN000000109,Mobile Pay,Approved,184.14
PAY000000114,TXN000000110,Debit Card,Approved,221.53
PAY000000115,TXN000000111,Debit Card,approved ,65.86
PAY000000116,TXN000000112,Mobile Pay,Approved,267.64
PAY000000117,TXN000000113,Mobile Pay,Approved,93.00
PAY000000118,TXN000000114,Credit Card,Approved,259.72
PAY000000119,TXN000000115,Debit Card,Declined,96.04
PAY000000120,TXN000000116,Mobile Pay,approved ,368.43
PAY000000121,TXN000000117,Credit Card,Approved,317.27
PAY000000122,TXN000000118,Cash,approved ,76.78
PAY000000123,TXN000000119,Credit Card,Declined,16.24
PAY000000124,TXN000000120,credit card,approved ,257.12
PAY000000125,TXN000000121,credit card,approved ,48.31
PAY000000126,TXN000000122,Debit Card,Approved,71.11
PAY000000127,TXN000000123,Cash,approved ,212.03
PAY000000128,TXN000000124,credit card,Reversed,179.57
PAY000000129,TXN000000125,credit card,Approved,154.58
PAY000000130,TXN000000125,credit card,Approved,27.83
PAY000000131,TXN000000126,credit card,Reversed,206.38
PAY000000132,TXN000000127,credit card,approved ,407.99
PAY000000133,TXN000000128,Credit Card,Approved,465.28
PAY000000134,TXN000000129,Mobile Pay,approved ,258.04
PAY000000135,TXN000000130,Mobile Pay,Declined,441.29
PAY000000136,TXN000000131,Mobile Pay,approved ,492.03
PAY000000137,TXN000000132,Gift Card,Approved,477.18
PAY000000138,TXN000000132,Mobile Pay,approved ,205.09
PAY000000139,TXN000000133,credit card,approved ,93.54
PAY000000140,TXN000000134,Debit Card,Approved,218.22
PAY000000141,TXN000000135,credit card,Approved,283.23
PAY000000142,TXN000000136,Debit Card,Declined,456.96
PAY000000143,TXN000000137,Credit Card,Declined,376.40
PAY000000144,TXN000000138,credit card,Approved,246.98
PAY000000145,TXN000000139,Mobile Pay,Approved,474.59
PAY000000146,TXN000000139,Gift Card,Declined,209.28
PAY000000147,TXN000000140,credit card,Declined,293.35
PAY000000148,TXN000000141,Cash,Approved,361.92
PAY000000149,TXN000000142,Cash,Reversed,164.18
PAY000000150,TXN000000143,credit card,Declined,446.35
PAY000000151,TXN000000144,Debit Card,Approved,145.05
PAY000000152,TXN000000145,credit card,Approved,223.28
PAY000000153,TXN000000146,credit card,Reversed,372.57
PAY000000154,TXN000000147,Credit Card,Reversed,225.47
PAY000000155,TXN000000148,credit card,Approved,432.77
PAY000000156,TXN000000148,Debit Card,Approved,73.75
PAY000000157,TXN000000149,Debit Card,approved ,458.84
PAY000000158,TXN000000150,Credit Card,Approved,308.25
PAY000000159,TXN000000151,Gift Card,Reversed,364.76
PAY000000160,TXN000000152,Credit Card,Reversed,484.84
PAY000000161,TXN000000153,Gift Card,Approved,392.29
PAY000000162,TXN000000154,Cash,Approved,192.39
PAY000000163,TXN000000155,Mobile Pay,approved ,59.82
PAY000000164,TXN000000155,Mobile Pay,Approved,406.30
PAY000000165,TXN000000156,Mobile Pay,Declined,281.15
PAY000000166,TXN000000157,Cash,Declined,59.69
PAY000000167,TXN000000158,Mobile Pay,Declined,296.31
PAY000000168,TXN000000159,Mobile Pay,approved ,255.78
PAY000000169,TXN000000160,credit card,Approved,60.35
PAY000000170,TXN000000161,Debit Card,Reversed,76.07
PAY000000171,TXN000000162,Cash,Approved,380.93
PAY000000172,TXN000000163,credit card,Approved,437.10
PAY000000173,TXN000000164,Cash,approved ,319.53
PAY000000174,TXN000000165,Gift Card,approved ,418.15
PAY000000175,TXN000000166,Cash,Approved,128.42
PAY000000176,TXN000000167,Credit Card,Approved,325.14
PAY000000177,TXN000000168,Debit Card,Declined,334.94
PAY000000178,TXN000000169,Mobile Pay,Approved,bad
PAY000000179,TXN000000170,Mobile Pay,Approved,158.79
PAY000000180,TXN000000171,Mobile Pay,Approved,451.69
PAY000000181,TXN000000172,Mobile Pay,Approved,446.12
PAY000000182,TXN000000173,Mobile Pay,Approved,bad
PAY000000183,TXN000000174,Cash,Approved,426.53
PAY000000184,TXN000000175,credit card,approved ,67.83
PAY000000185,TXN000000176,Gift Card,Declined,495.05
PAY000000186,TXN000000177,Gift Card,approved ,257.40
PAY000000187,TXN000000177,Gift Card,approved ,228.20
PAY000000188,TXN000000178,Mobile Pay,Reversed,73.50
PAY000000189,TXN000000179,credit card,Approved,361.91
PAY000000190,TXN000000180,credit card,approved ,151.14
PAY000000191,TXN000000181,credit card,Declined,485.84
PAY000000192,TXN000000182,Gift Card,Approved,182.01
PAY000000193,TXN000000183,Gift Card,Declined,345.36
PAY000000194,TXN000000184,Gift Card,Approved,46.79
PAY000000195,TXN000000185,Mobile Pay,approved ,343.91
PAY000000196,TXN000000186,credit card,Approved,103.27
PAY000000197,TXN000000187,Credit Card,Approved,215.79
PAY000000198,TXN000000188,Credit Card,Approved,362.26
PAY000000199,TXN000000189,Cash,approved ,386.09
PAY000000200,TXN000000190,Cash,Approved,40.15
PAY000000201,TXN000000191,credit card,approved ,352.10
PAY000000202,TXN000000192,Cash,Approved,259.35
PAY000000203,TXN000000193,Gift Card,approved ,87.25
PAY000000204,TXN000000194,Gift Card,approved ,54.44
PAY000000205,TXN000000195,Cash,Reversed,19.55
PAY000000206,TXN000000196,Mobile Pay,Declined,116.49
PAY000000207,TXN000000196,Gift Card,Approved,95.91
PAY000000208,TXN000000197,Gift Card,Declined,19.60
PAY000000209,TXN000000198,Debit Card,Declined,174.66
PAY000000210,TXN000000199,Cash,Reversed,293.49
PAY000000211,TXN000000200,Mobile Pay,Approved,435.59
PAY000000212,TXN000000201,Credit Card,approved ,151.12
PAY000000213,TXN000000202,Credit Card,Reversed,497.46
PAY000000214,TXN000000203,credit card,Approved,481.55
PAY000000215,TXN000000204,Credit Card,Declined,162.44
PAY000000216,TXN000000205,credit card,Reversed,35.44
PAY000000217,TXN000000206,Debit Card,Approved,108.07
PAY000000218,TXN000000207,credit card,Approved,218.24
PAY000000219,TXN000000208,Mobile Pay,Reversed,83.93
PAY000000220,TXN000000209,Cash,Approved,222.17
PAY000000221,TXN000000210,Cash,Approved,339.90
PAY000000222,TXN000000211,Mobile Pay,Reversed,402.36
PAY000000223,TXN000000212,Mobile Pay,approved ,483.48
PAY000000224,TXN000000213,Cash,Approved,329.94
PAY000000225,TXN000000214,Gift Card,Reversed,224.94
PAY000000226,TXN000000215,credit card,Approved,140.13
PAY000000227,TXN000000216,Debit Card,Approved,454.78
PAY000000228,TXN000000217,Cash,Declined,390.08
PAY000000229,TXN000000218,Debit Card,approved ,57.00
PAY000000230,TXN000000219,Debit Card,Declined,372.93
PAY000000231,TXN000000220,Gift Card,Declined,366.71
PAY000000232,TXN000000221,Credit Card,Reversed,393.88
PAY000000233,TXN000000222,Cash,Declined,496.55
PAY000000234,TXN000000223,Mobile Pay,Approved,410.04
PAY000000235,TXN000000224,Credit Card,Approved,278.71
PAY000000236,TXN000000225,Gift Card,Declined,40.01
PAY000000237,TXN000000226,credit card,Declined,139.18
PAY000000238,TXN000000227,Mobile Pay,Approved,129.23
PAY000000239,TXN000000228,Debit Card,Declined,308.60
PAY000000240,TXN000000229,Credit Card,Approved,71.50
PAY000000241,TXN000000230,Credit Card,approved ,209.88
PAY000000242,TXN000000231,Mobile Pay,Approved,82.18
PAY000000243,TXN000000232,Debit Card,Approved,239.22
PAY000000244,TXN000000233,Cash,Declined,146.77
PAY000000245,TXN000000234,credit card,Declined,89.63
PAY000000246,TXN000000235,credit card,approved ,18.65
PAY000000247,TXN000000236,Cash,approved ,237.84
PAY000000248,TXN000000237,Mobile Pay,Approved,442.49
PAY000000249,TXN000000238,Cash,Declined,271.10
PAY000000250,TXN000000239,Debit Card,Approved,49.57
PAY000000251,TXN000000240,Mobile Pay,Reversed,87.49
PAY000000252,TXN000000241,credit card,approved ,465.31
PAY000000253,TXN000000242,Cash,Declined,302.38
PAY000000254,TXN000000243,Gift Card,Approved,47.85
PAY000000255,TXN000000244,Gift Card,Approved,165.90
PAY000000256,TXN000000245,Credit Card,Reversed,431.37
PAY000000257,TXN000000246,Cash,Approved,155.10
PAY000000258,TXN000000247,credit card,approved ,178.77
PAY000000259,TXN000000248,Debit Card,Approved,354.91
PAY000000260,TXN000000249,Debit Card,Approved,bad
PAY000000261,TXN000000250,Gift Card,Declined,65.26
PAY000000262,TXN000000251,credit card,Declined,393.54
PAY000000263,TXN000000251,Credit Card,approved ,431.93
PAY000000264,TXN000000252,Credit Card,Declined,234.60
PAY000000265,TXN000000253,Mobile Pay,Reversed,327.73
PAY000000266,TXN000000254,Cash,approved ,381.15
PAY000000267,TXN000000255,Mobile Pay,Declined,179.27
PAY000000268,TXN000000256,Gift Card,Reversed,457.36
PAY000000269,TXN000000257,Cash,Approved,334.95
PAY000000270,TXN000000258,credit card,Declined,452.32
PAY000000271,TXN000000259,Debit Card,Approved,471.70
PAY000000272,TXN000000259,Mobile Pay,Declined,171.59
PAY000000273,TXN000000260,Cash,approved ,499.30
PAY000000274,TXN000000261,Cash,Approved,454.23
PAY000000275,TXN000000262,Credit Card,approved ,15.48
PAY000000276,TXN000000263,Credit Card,Reversed,460.13
PAY000000277,TXN000000264,Cash,Declined,69.44
PAY000000278,TXN000000265,Mobile Pay,approved ,216.01
PAY000000279,TXN000000266,Gift Card,Reversed,371.88
PAY000000280,TXN000000267,Mobile Pay,Approved,315.42
PAY000000281,TXN000000268,credit card,Approved,178.83
PAY000000282,TXN000000269,Credit Card,approved ,381.54
PAY000000283,TXN000000270,Credit Card,approved ,220.55
PAY000000284,TXN000000270,Gift Card,Declined,108.71
PAY000000285,TXN000000271,credit card,Approved,67.53
PAY000000286,TXN000000272,credit card,Approved,221.87
PAY000000287,TXN000000273,Credit Card,Approved,77.79
PAY000000288,TXN000000274,Gift Card,Approved,25.84
PAY000000289,TXN000000275,Cash,Reversed,403.12
PAY000000290,TXN000000276,Credit Card,Reversed,340.32
PAY000000291,TXN000000277,Credit Card,approved ,142.71
PAY000000292,TXN000000278,Gift Card,Approved,273.60
PAY000000293,TXN000000279,Credit Card,Approved,8.33
PAY000000294,TXN000000280,Gift Card,Declined,13.36
PAY000000295,TXN000000281,Mobile Pay,Approved,197.30
PAY000000296,TXN000000282,Cash,Reversed,156.47
PAY000000297,TXN000000283,Mobile Pay,Reversed,132.44
PAY000000298,TXN000000284,Credit Card,Declined,460.58
PAY000000299,TXN000000284,Credit Card,Reversed,172.49
PAY000000300,TXN000000285,Mobile Pay,Reversed,243.82
PAY000000301,TXN000000286,Gift Card,Approved,439.54
PAY000000302,TXN000000287,Gift Card,Approved,171.59
PAY000000303,TXN000000288,Credit Card,Reversed,284.33
PAY000000304,TXN000000289,credit card,Declined,318.80
PAY000000305,TXN000000290,credit card,Approved,442.06
PAY000000306,TXN000000291,Credit Card,approved ,442.69
PAY000000307,TXN000000292,credit card,Declined,402.90
PAY000000308,TXN000000293,Credit Card,Approved,450.96
PAY000000309,TXN000000294,Debit Card,Declined,346.66
PAY000000310,TXN000000295,Cash,Reversed,265.79
PAY000000311,TXN000000296,Credit Card,Declined,242.58
PAY000000312,TXN000000297,Credit Card,Reversed,362.34
PAY000000313,TXN000000298,credit card,Approved,241.31
PAY000000314,TXN000000299,Debit Card,Declined,60.00
PAY000000315,TXN000000300,Cash,Approved,67.85
PAY000000316,TXN000000301,Credit Card,Approved,144.97
PAY000000317,TXN000000302,Debit Card,approved ,104.47
PAY000000318,TXN000000303,credit card,Approved,303.13
PAY000000319,TXN000000304,Credit Card,Approved,253.54
PAY000000320,TXN000000305,Mobile Pay,Reversed,58.14
PAY000000321,TXN000000306,Cash,Declined,244.01
PAY000000322,TXN000000307,Cash,Approved,17.32
PAY000000323,TXN000000308,Mobile Pay,Approved,13.14
PAY000000324,TXN000000309,Debit Card,Approved,167.49
PAY000000325,TXN000000310,Debit Card,Reversed,391.36
PAY000000326,TXN000000311,Credit Card,Approved,73.69
PAY000000327,TXN000000312,Gift Card,Declined,400.79
PAY000000328,TXN000000313,Gift Card,approved ,325.74
PAY000000329,TXN000000314,Debit Card,approved ,340.69
PAY000000330,TXN000000315,Cash,Approved,480.99
PAY000000331,TXN000000315,Cash,Approved,309.10
PAY000000332,TXN000000316,credit card,Declined,286.49
PAY000000333,TXN000000317,Debit Card,Reversed,341.56
PAY000000334,TXN000000318,Credit Card,Approved,66.94
PAY000000335,TXN000000319,Debit Card,Reversed,416.86
PAY000000336,TXN000000320,Credit Card,Approved,115.63
PAY000000337,TXN000000321,credit card,Approved,142.50
PAY000000338,TXN000000322,Gift Card,Approved,63.65
PAY000000339,TXN000000323,Debit Card,Approved,271.05
PAY000000340,TXN000000324,Mobile Pay,Declined,104.46
PAY000000341,TXN000000325,Cash,Approved,351.03
PAY000000342,TXN000000326,Mobile Pay,approved ,310.48
PAY000000343,TXN000000327,credit card,Reversed,309.83
PAY000000344,TXN000000328,credit card,Reversed,434.15
PAY000000345,TXN000000329,credit card,Declined,13.39
PAY000000346,TXN000000330,Credit Card,Declined,381.56
PAY000000347,TXN000000331,Gift Card,approved ,195.56
PAY000000348,TXN000000332,Gift Card,Approved,466.71
PAY000000349,TXN000000333,Debit Card,approved ,156.80
PAY000000350,TXN000000334,Gift Card,Declined,281.00
PAY000000351,TXN000000335,Cash,Declined,340.05
PAY000000352,TXN000000336,Gift Card,Approved,161.88
PAY000000353,TXN000000337,Credit Card,approved ,474.08
PAY000000354,TXN000000338,Cash,Reversed,306.28
PAY000000355,TXN000000339,Mobile Pay,Approved,455.77
PAY000000356,TXN000000339,credit card,Reversed,329.04
PAY000000357,TXN000000340,Credit Card,Approved,185.14
PAY000000358,TXN000000341,Gift Card,Approved,6.27
PAY000000359,TXN000000342,Debit Card,Declined,464.30
PAY000000360,TXN000000343,Mobile Pay,approved ,304.39
PAY000000361,TXN000000344,Debit Card,Declined,407.41
PAY000000362,TXN000000344,Cash,Declined,430.75
PAY000000363,TXN000000345,credit card,Reversed,434.16
PAY000000364,TXN000000346,Mobile Pay,Reversed,389.77
PAY000000365,TXN000000347,credit card,approved ,344.59
PAY000000366,TXN000000348,credit card,approved ,448.29
PAY000000367,TXN000000349,Debit Card,Reversed,430.22
PAY000000368,TXN000000350,Debit Card,Approved,292.74
PAY000000369,TXN000000351,Mobile Pay,Reversed,150.30
PAY000000370,TXN000000352,Debit Card,Approved,392.75
PAY000000371,TXN000000353,Credit Card,Approved,497.84
PAY000000372,TXN000000354,Debit Card,Declined,289.03
PAY000000373,TXN000000355,Cash,Approved,66.35
PAY000000374,TXN000000356,Debit Card,Declined,359.88
PAY000000375,TXN000000357,Credit Card,approved ,65.09
PAY000000376,TXN000000358,Cash,Approved,389.73
PAY000000377,TXN000000359,Debit Card,Reversed,202.25
PAY000000378,TXN000000360,Mobile Pay,Approved,148.55
PAY000000379,TXN000000361,Credit Card,approved ,5.55
PAY000000380,TXN000000362,Gift Card,Declined,205.40
PAY000000381,TXN000000363,Credit Card,Approved,154.34
PAY000000382,TXN000000364,Credit Card,approved ,27.72
PAY000000383,TXN000000365,Debit Card,approved ,88.53
PAY000000384,TXN000000366,Cash,Declined,254.48
PAY000000385,TXN000000366,Gift Card,Reversed,144.94
PAY000000386,TXN000000367,Debit Card,approved ,328.96
PAY000000387,TXN000000368,Mobile Pay,Reversed,480.12
PAY000000388,TXN000000369,credit card,Approved,41.95
PAY000000389,TXN000000370,Cash,Declined,142.04
PAY000000390,TXN000000371,Gift Card,Approved,324.62
PAY000000391,TXN000000372,Mobile Pay,Approved,489.84
PAY000000392,TXN000000373,credit card,Reversed,450.02
PAY000000393,TXN000000374,Debit Card,Approved,115.24
PAY000000394,TXN000000375,Mobile Pay,Declined,153.84
PAY000000395,TXN000000376,Cash,Reversed,185.69
PAY000000396,TXN000000377,Debit Card,Reversed,93.83
PAY000000397,TXN000000378,credit card,Reversed,406.13
PAY000000398,TXN000000379,Debit Card,Approved,436.28
PAY000000399,TXN000000380,Cash,Approved,418.38
PAY000000400,TXN000000381,Cash,Approved,350.64
PAY000000401,TXN000000382,Gift Card,Approved,154.14
PAY000000402,TXN000000383,Mobile Pay,Reversed,73.67
PAY000000403,TXN000000384,Gift Card,Approved,483.39
PAY000000404,TXN000000384,Debit Card,approved ,207.88
PAY000000405,TXN000000385,Mobile Pay,Approved,296.91
PAY000000406,TXN000000386,Credit Card,Declined,24.40
PAY000000407,TXN000000387,Credit Card,Approved,107.82
PAY000000408,TXN000000388,Cash,Declined,472.71
PAY000000409,TXN000000389,Credit Card,Approved,43.02
PAY000000410,TXN000000390,Debit Card,approved ,478.39
PAY000000411,TXN000000391,Debit Card,Reversed,446.14
PAY000000412,TXN000000392,Mobile Pay,Approved,406.66
PAY000000413,TXN000000392,Gift Card,Approved,357.40
PAY000000414,TXN000000393,Gift Card,Approved,208.86
PAY000000415,TXN000000394,Debit Card,Reversed,479.29
PAY000000416,TXN000000395,Credit Card,Declined,89.00
PAY000000417,TXN000000396,Mobile Pay,Reversed,416.17
PAY000000418,TXN000000397,Cash,Reversed,302.24
PAY000000419,TXN000000398,Debit Card,Approved,431.35
PAY000000420,TXN000000399,Credit Card,Approved,45.07
PAY000000421,TXN000000400,Cash,Declined,428.21
PAY000000422,TXN000000401,Cash,Reversed,309.66
PAY000000423,TXN000000402,Gift Card,Approved,277.16
PAY000000424,TXN000000403,Gift Card,Approved,331.96
PAY000000425,TXN000000404,Cash,Reversed,182.40
PAY000000426,TXN000000405,Cash,approved ,409.62
PAY000000427,TXN000000406,credit card,Reversed,304.65
PAY000000428,TXN000000407,Gift Card,Declined,242.30
PAY000000429,TXN000000408,Gift Card,approved ,102.52
PAY000000430,TXN000000409,Gift Card,Declined,479.29
PAY000000431,TXN000000410,Gift Card,approved ,10.18
PAY000000432,TXN000000411,Gift Card,Approved,352.56
PAY000000433,TXN000000412,Gift Card,Reversed,467.74
PAY000000434,TXN000000413,Cash,Approved,163.79
PAY000000435,TXN000000414,Cash,Reversed,413.29
PAY000000436,TXN000000415,Gift Card,Approved,375.70
PAY000000437,TXN000000416,Cash,approved ,337.33
PAY000000438,TXN000000417,credit card,Reversed,481.98
PAY000000439,TXN000000418,Mobile Pay,Declined,78.82
PAY000000440,TXN000000419,Debit Card,Approved,426.73
PAY000000441,TXN000000420,credit card,Declined,278.04
PAY000000442,TXN000000421,Gift Card,Approved,154.63
PAY000000443,TXN000000422,Mobile Pay,Approved,176.88
PAY000000444,TXN000000423,Credit Card,Reversed,281.17
PAY000000445,TXN000000424,Mobile Pay,Approved,106.43
PAY000000446,TXN000000424,Credit Card,Declined,470.06
PAY000000447,TXN000000425,Mobile Pay,Reversed,248.45
PAY000000448,TXN000000426,Credit Card,Approved,297.55
PAY000000449,TXN000000427,Gift Card,Approved,61.36
PAY000000450,TXN000000428,Debit Card,Approved,227.11
PAY000000451,TXN000000429,Cash,Approved,337.70
PAY000000452,TXN000000430,Credit Card,Approved,207.80
PAY000000453,TXN000000431,Debit Card,Approved,123.62
PAY000000454,TXN000000432,Credit Card,approved ,317.50
PAY000000455,TXN000000433,Gift Card,approved ,280.45
PAY000000456,TXN000000434,Gift Card,Approved,450.94
PAY000000457,TXN000000435,Mobile Pay,Reversed,23.06
PAY000000458,TXN000000436,Gift Card,Approved,59.44
PAY000000459,TXN000000437,Mobile Pay,approved ,465.80
PAY000000460,TXN000000438,Cash,Approved,21.32
PAY000000461,TXN000000439,Gift Card,Approved,484.58
PAY000000462,TXN000000440,Cash,approved ,147.85
PAY000000463,TXN000000441,Credit Card,Reversed,419.26
PAY000000464,TXN000000442,Mobile Pay,approved ,259.77
PAY000000465,TXN000000443,Gift Card,Approved,492.00
PAY000000466,TXN000000444,Mobile Pay,Reversed,9.41
PAY000000467,TXN000000445,Credit Card,Reversed,495.76
PAY000000468,TXN000000446,Credit Card,approved ,149.06
PAY000000469,TXN000000447,Debit Card,Approved,136.23
PAY000000470,TXN000000448,Mobile Pay,Declined,18.60
PAY000000471,TXN000000449,Credit Card,Declined,64.43
PAY000000472,TXN000000450,Debit Card,approved ,22.90
PAY000000473,TXN000000451,Credit Card,approved ,487.70
PAY000000474,TXN000000452,Debit Card,Reversed,170.30
PAY000000475,TXN000000453,Cash,Approved,266.15
PAY000000476,TXN000000454,Mobile Pay,Approved,182.98
PAY000000477,TXN000000455,Mobile Pay,Approved,142.05
PAY000000478,TXN000000456,Debit Card,Reversed,325.35
PAY000000479,TXN000000457,credit card,approved ,492.49
PAY000000480,TXN000000458,Debit Card,Reversed,499.60
PAY000000481,TXN000000459,credit card,Reversed,334.04
PAY000000482,TXN000000460,Mobile Pay,Approved,437.09
PAY000000483,TXN000000461,Mobile Pay,Declined,182.19
PAY000000484,TXN000000462,Credit Card,approved ,196.61
PAY000000485,TXN000000463,Cash,Approved,359.82
PAY000000486,TXN000000464,Mobile Pay,Declined,291.17
PAY000000487,TXN000000465,Credit Card,Declined,21.60
PAY000000488,TXN000000466,Debit Card,Approved,314.42
PAY000000489,TXN000000467,Gift Card,Approved,99.01
PAY000000490,TXN000000467,Debit Card,Reversed,355.47
PAY000000491,TXN000000468,Credit Card,Approved,477.10
PAY000000492,TXN000000468,Debit Card,Declined,58.07
PAY000000493,TXN000000469,Credit Card,Approved,423.08
PAY000000494,TXN000000469,Cash,Approved,316.10
PAY000000495,TXN000000470,Gift Card,approved ,474.94
PAY000000496,TXN000000471,Credit Card,Reversed,18.00
PAY000000497,TXN000000472,Credit Card,Declined,450.75
PAY000000498,TXN000000473,Debit Card,Reversed,356.59
PAY000000499,TXN000000474,Credit Card,Approved,36.78
