po_line_id,po_id,line_number,product_id,ordered_qty,unit_cost,line_status,valid_quantity,valid_unit_cost
POL0000000042,PO00000016,2,SKU0000444,500.0,234.25,Partial,True,True
POL0000000043,PO00000016,3,SKU0000239,250.0,85.21,Received,True,True
POL0000000044,PO00000017,1,SKU0000285,500.0,34.95,Partial,True,True
POL0000000045,PO00000017,2,SKU0000077,,83.37,Cancelled,False,True
POL0000000046,PO00000017,3,SKU0000545,50.0,192.63,Received,True,True
POL0000000047,PO00000017,4,SKU0000594,500.0,102.78,Open,True,True
POL0000000048,PO00000018,1,SKU0000682,500.0,63.61,Partial,True,True
POL0000000049,PO00000018,2,SKU0000091,500.0,82.29,Open,True,True
POL0000000050,PO00000019,1,SKU0000244,-5.0,61.2,Received,False,True
POL0000000051,PO00000019,2,SKU0000220,100.0,259.0,Cancelled,True,True
POL0000000052,PO00000019,3,SKU0000189,50.0,6.52,Open,True,True
POL0000000053,PO00000019,4,SKU0000573,500.0,204.84,Received,True,True
POL0000000054,PO00000020,1,SKU0000430,500.0,14.34,Partial,True,True
POL0000000055,PO00000020,2,SKU0000355,50.0,180.72,Partial,True,True
POL0000000056,PO00000020,3,SKU0000420,50.0,158.76,Received,True,True
POL0000000057,PO00000020,4,SKU0000530,100.0,286.42,Open,True,True
POL0000000058,PO00000021,1,SKU0000147,1000.0,287.94,Partial,True,True
POL0000000059,PO00000021,2,SKU0000002,250.0,191.37,Open,True,True
POL0000000060,PO00000021,3,SKU0000181,250.0,169.03,Open,True,True
POL0000000061,PO00000021,4,SKU0000199,,237.35,Received,False,True
POL0000000062,PO00000022,1,SKU0000432,-5.0,208.9,Received,False,True
POL0000000063,PO00000022,2,SKU0000622,100.0,100.24,Received,True,True
POL0000000064,PO00000022,3,SKU0000576,250.0,289.95,Received,True,True
POL0000000065,PO00000022,4,SKU0000415,50.0,220.81,Cancelled,True,True
POL0000000066,PO00000023,1,SKU0000378,100.0,,Open,True,False
POL0000000067,PO00000024,1,SKU0000113,100.0,122.37,Open,True,True
POL0000000068,PO00000024,2,SKU0000661,250.0,24.97,Received,True,True
POL0000000069,PO00000024,3,SKU0000012,50.0,220.94,Partial,True,True
POL0000000070,PO00000025,1,SKU0000458,250.0,175.67,Partial,True,True
POL0000000071,PO00000025,2,SKU0000441,1000.0,216.68,Open,True,True
POL0000000072,PO00000025,3,SKU0000335,500.0,76.57,Cancelled,True,True
POL0000000073,PO00000026,1,SKU0000222,,5.74,Open,False,True
POL0000000074,PO00000027,1,SKU0000490,250.0,112.73,Received,True,True
POL0000000075,PO00000028,1,SKU0000222,250.0,5.74,Partial,True,True
POL0000000076,PO00000028,2,SKU0000161,1000.0,167.98,Received,True,True
POL0000000077,PO00000028,3,SKU0000488,-5.0,159.38,Received,False,True
POL0000000078,PO00000029,1,SKU0000212,250.0,184.32,Cancelled,True,True
POL0000000079,PO00000029,2,SKU0000185,250.0,134.83,Open,True,True
POL0000000080,PO00000029,3,SKU0000583,500.0,130.33,Cancelled,True,True
POL0000000081,PO00000029,4,SKU0000021,,247.69,Cancelled,False,True
POL0000000082,PO00000030,1,SKU0000618,50.0,17.24,Cancelled,True,True
POL0000000083,PO00000030,2,SKU0000352,,76.87,Open,False,True
POL0000000084,PO00000030,3,SKU0000405,250.0,42.44,Received,True,True
POL0000000085,PO00000030,4,SKU0000364,500.0,191.35,Partial,True,True
POL0000000086,PO00000031,1,SKU0000212,-5.0,184.32,Open,False,True
POL0000000087,PO00000031,2,SKU0000404,250.0,36.82,Cancelled,True,True
POL0000000088,PO00000031,3,SKU0000630,100.0,262.31,Open,True,True
POL0000000089,PO00000031,4,SKU0000491,-5.0,159.01,Open,False,True
POL0000000090,PO00000032,1,SKU0000175,50.0,226.42,Cancelled,True,True
POL0000000091,PO00000033,1,SKU0000143,-5.0,167.94,Cancelled,False,True
POL0000000092,PO00000033,2,SKU0000607,100.0,144.65,Received,True,True
POL0000000093,PO00000033,3,SKU0000270,1000.0,30.68,Partial,True,True
POL0000000094,PO00000034,1,SKU0000651,,114.63,Open,False,True
POL0000000095,PO00000034,2,SKU0000540,,191.55,Open,False,True
POL0000000096,PO00000034,3,SKU0000230,500.0,150.83,Partial,True,True
POL0000000097,PO00000034,4,SKU0000314,,217.39,Received,False,True
POL0000000098,PO00000035,1,SKU0000353,100.0,74.7,Partial,True,True
POL0000000099,PO00000035,2,SKU0000471,,31.8,Cancelled,False,True
POL0000000100,PO00000035,3,SKU0000151,,236.85,Open,False,True
POL0000000101,PO00000035,4,SKU0000378,250.0,170.68,Open,True,True
POL0000000102,PO00000036,1,SKU0000660,250.0,16.29,Open,True,True
POL0000000103,PO00000036,2,SKU0000190,250.0,230.54,Partial,True,True
POL0000000104,PO00000036,3,SKU0000516,,82.03,Partial,False,True
POL0000000105,PO00000037,1,SKU0000638,250.0,225.27,Received,True,True
POL0000000106,PO00000037,2,SKU0000632,100.0,135.05,Open,True,True
POL0000000107,PO00000037,3,SKU0000012,,220.94,Received,False,True
POL0000000108,PO00000037,4,SKU0000320,-5.0,6.22,Open,False,True
POL0000000109,PO00000038,1,SKU0000340,,26.34,Open,False,True
POL0000000110,PO00000038,2,SKU0000219,100.0,116.78,Received,True,True
POL0000000111,PO00000038,3,SKU0000191,-5.0,255.44,Open,False,True
POL0000000112,PO00000038,4,SKU0000496,50.0,3.1,Partial,True,True
POL0000000113,PO00000039,1,SKU0000511,-5.0,118.6,Open,False,True
POL0000000114,PO00000039,2,SKU0000674,1000.0,99.69,Open,True,True
POL0000000115,PO00000039,3,SKU0000529,-5.0,230.58,Open,False,True
POL0000000116,PO00000039,4,SKU0000466,100.0,79.72,Cancelled,True,True
POL0000000117,PO00000040,1,SKU0000078,250.0,106.21,Partial,True,True
POL0000000118,PO00000041,1,SKU0000517,,63.69,Open,False,True
POL0000000119,PO00000042,1,SKU0000489,100.0,248.68,Open,True,True
POL0000000120,PO00000042,2,SKU0000306,100.0,154.34,Cancelled,True,True
POL0000000121,PO00000043,1,SKU0000325,100.0,96.4,Partial,True,True
POL0000000122,PO00000043,2,SKU0000572,500.0,284.13,Open,True,True
POL0000000123,PO00000044,1,SKU0000606,100.0,100.02,Cancelled,True,True
POL0000000124,PO00000044,2,SKU0000455,50.0,130.54,Open,True,True
POL0000000125,PO00000044,3,SKU0000676,,230.94,Open,False,True
POL0000000126,PO00000044,4,SKU0000664,1000.0,237.21,Cancelled,True,True
POL0000000127,PO00000045,1,SKU0000027,50.0,144.08,Received,True,True
POL0000000128,PO00000045,2,SKU0000103,100.0,265.22,Open,True,True
POL0000000129,PO00000045,3,SKU0000629,50.0,42.15,Open,True,True
POL0000000130,PO00000046,1,SKU0000125,,173.82,Cancelled,False,True
POL0000000131,PO00000047,1,SKU0000132,500.0,278.5,Open,True,True
POL0000000132,PO00000048,1,SKU0000675,250.0,38.43,Partial,True,True
POL0000000133,PO00000049,1,SKU0000268,250.0,293.05,Open,True,True
POL0000000134,PO00000049,2,SKU0000440,1000.0,140.15,Cancelled,True,True
POL0000000135,PO00000049,3,SKU0000147,1000.0,287.94,Received,True,True
POL0000000136,PO00000050,1,SKU0000457,250.0,50.55,Cancelled,True,True
POL0000000137,PO00000050,2,SKU0000231,250.0,120.81,Cancelled,True,True
POL0000000138,PO00000050,3,SKU0000332,,261.39,Cancelled,False,True
POL0000000139,PO00000051,1,SKU0000132,50.0,278.5,Open,True,True
POL0000000140,PO00000051,2,SKU0000358,50.0,44.63,Partial,True,True
POL0000000141,PO00000051,3,SKU0000558,100.0,68.72,Open,True,True
POL0000000142,PO00000051,4,SKU0000493,500.0,2.06,Open,True,True
POL0000000143,PO00000052,1,SKU0000554,50.0,197.11,Partial,True,True
POL0000000144,PO00000052,2,SKU0000594,250.0,102.78,Partial,True,True
POL0000000145,PO00000053,1,SKU0000395,,239.1,Cancelled,False,True
POL0000000146,PO00000053,2,SKU0000032,500.0,111.82,Partial,True,True
POL0000000147,PO00000053,3,SKU0000522,500.0,18.75,Received,True,True
POL0000000148,PO00000054,1,SKU0000361,500.0,46.82,Open,True,True
POL0000000149,PO00000054,2,SKU0000249,1000.0,19.78,Partial,True,True
POL0000000150,PO00000054,3,SKU0000065,50.0,90.37,Received,True,True
POL0000000151,PO00000054,4,SKU0000253,100.0,179.86,Open,True,True
POL0000000152,PO00000055,1,SKU0000622,,100.24,Open,False,True
POL0000000153,PO00000055,2,SKU0000130,100.0,291.4,Partial,True,True
POL0000000154,PO00000056,1,SKU0000657,250.0,216.77,Open,True,True
POL0000000155,PO00000056,2,SKU0000476,500.0,15.76,Received,True,True
POL0000000156,PO00000056,3,SKU0000545,50.0,192.63,Partial,True,True
POL0000000157,PO00000056,4,SKU0000294,50.0,41.04,Partial,True,True
POL0000000158,PO00000057,1,SKU0000460,1000.0,163.81,Partial,True,True
POL0000000159,PO00000057,2,SKU0000339,500.0,86.25,Partial,True,True
POL0000000160,PO00000057,3,SKU0000154,250.0,285.85,Open,True,True
POL0000000161,PO00000057,4,SKU0000279,50.0,219.46,Received,True,True
POL0000000162,PO00000058,1,SKU0000521,50.0,278.47,Cancelled,True,True
POL0000000163,PO00000058,2,SKU0000345,1000.0,240.87,Open,True,True
POL0000000164,PO00000059,1,SKU0000523,,261.93,Open,False,True
POL0000000165,PO00000059,2,SKU0000460,500.0,163.81,Partial,True,True
POL0000000166,PO00000059,3,SKU0000459,,220.01,Cancelled,False,True
POL0000000167,PO00000059,4,SKU0000529,,230.58,Open,False,True
POL0000000168,PO00000060,1,SKU0000060,-5.0,97.86,Cancelled,False,True
POL0000000169,PO00000061,1,SKU0000633,50.0,50.73,Open,True,True
POL0000000170,PO00000062,1,SKU0000357,-5.0,137.9,Open,False,True
POL0000000171,PO00000062,2,SKU0000032,50.0,111.82,Cancelled,True,True
POL0000000172,PO00000062,3,SKU0000321,500.0,128.78,Open,True,True
POL0000000173,PO00000063,1,SKU0000489,-5.0,248.68,Partial,False,True
POL0000000174,PO00000063,2,SKU0000060,100.0,15.25,Received,True,True
POL0000000175,PO00000064,1,SKU0000633,50.0,50.73,Open,True,True
POL0000000176,PO00000064,2,SKU0000202,50.0,51.89,Open,True,True
POL0000000177,PO00000064,3,SKU0000209,100.0,228.55,Open,True,True
POL0000000178,PO00000064,4,SKU0000489,-5.0,248.68,Open,False,True
POL0000000179,PO00000065,1,SKU0000161,50.0,167.98,Cancelled,True,True
POL0000000180,PO00000065,2,SKU0000287,-5.0,153.33,Partial,False,True
POL0000000181,PO00000065,3,SKU_UNKNOWN,50.0,83.39,Partial,True,True
POL0000000182,PO00000066,1,SKU0000245,500.0,209.38,Partial,True,True
POL0000000183,PO00000067,1,SKU0000134,100.0,220.35,Received,True,True
POL0000000184,PO00000067,2,SKU0000053,100.0,104.27,Partial,True,True
POL0000000185,PO00000067,3,SKU0000052,,81.58,Open,False,True
POL0000000186,PO00000067,4,SKU0000318,,275.06,Open,False,True
POL0000000187,PO00000068,1,SKU0000548,500.0,153.7,Open,True,True
POL0000000188,PO00000068,2,SKU0000690,500.0,160.08,Cancelled,True,True
POL0000000189,PO00000068,3,SKU0000685,,278.17,Cancelled,False,True
POL0000000190,PO00000068,4,SKU0000255,50.0,205.18,Received,True,True
POL0000000191,PO00000069,1,SKU0000241,1000.0,7.28,Open,True,True
POL0000000192,PO00000069,2,SKU0000153,50.0,22.93,Received,True,True
POL0000000193,PO00000070,1,SKU0000010,1000.0,204.35,Received,True,True
POL0000000194,PO00000070,2,SKU0000218,500.0,117.62,Cancelled,True,True
POL0000000195,PO00000071,1,SKU0000317,250.0,220.93,Cancelled,True,True
POL0000000196,PO00000071,2,SKU0000441,-5.0,216.68,Open,False,True
POL0000000197,PO00000072,1,SKU0000160,100.0,49.75,Cancelled,True,True
POL0000000198,PO00000072,2,SKU0000153,-5.0,22.93,Cancelled,False,True
POL0000000199,PO00000072,3,SKU_UNKNOWN,250.0,64.94,Received,True,True
POL0000000200,PO00000072,4,SKU0000179,,202.89,Received,False,True
POL0000000201,PO00000073,1,SKU0000444,500.0,234.25,Open,True,True
POL0000000202,PO00000073,2,SKU_UNKNOWN,100.0,66.92,Open,True,True
POL0000000203,PO00000073,3,SKU0000688,100.0,8.45,Partial,True,True
POL0000000204,PO00000074,1,SKU0000001,50.0,117.06,Received,True,True
POL0000000205,PO00000074,2,SKU0000458,100.0,175.67,Open,True,True
POL0000000206,PO00000074,3,SKU0000621,100.0,165.88,Received,True,True
POL0000000207,PO00000075,1,SKU0000295,50.0,132.32,Received,True,True
POL0000000208,PO00000075,2,SKU0000572,,284.13,Open,False,True
POL0000000209,PO00000076,1,SKU0000576,100.0,289.95,Open,True,True
POL0000000210,PO00000076,2,SKU_UNKNOWN,-5.0,25.77,Cancelled,False,True
POL0000000211,PO00000076,3,SKU0000047,1000.0,62.67,Received,True,True
POL0000000212,PO00000077,1,SKU0000200,,224.59,Open,False,True
POL0000000213,PO00000078,1,SKU0000273,500.0,103.99,Open,True,True
POL0000000214,PO00000079,1,SKU0000030,250.0,167.95,Received,True,True
POL0000000215,PO00000080,1,SKU0000022,-5.0,299.83,Partial,False,True
POL0000000216,PO00000080,2,SKU0000500,250.0,21.62,Open,True,True
POL0000000217,PO00000080,3,SKU0000010,50.0,204.35,Open,True,True
POL0000000218,PO00000081,1,SKU0000283,50.0,31.39,Received,True,True
POL0000000219,PO00000081,2,SKU0000340,100.0,26.34,Partial,True,True
POL0000000220,PO00000081,3,SKU0000035,50.0,97.06,Cancelled,True,True
POL0000000221,PO00000081,4,SKU0000030,500.0,167.95,Open,True,True
POL0000000222,PO00000082,1,SKU0000535,500.0,241.29,Open,True,True
POL0000000223,PO00000082,2,SKU0000405,500.0,42.44,Received,True,True
POL0000000224,PO00000082,3,SKU0000558,500.0,68.72,Partial,True,True
POL0000000225,PO00000083,1,SKU0000190,50.0,230.54,Received,True,True
POL0000000226,PO00000083,2,SKU0000120,,249.11,Received,False,True
POL0000000227,PO00000084,1,SKU0000058,,170.69,Open,False,True
POL0000000228,PO00000084,2,SKU0000016,250.0,11.21,Open,True,True
POL0000000229,PO00000084,3,SKU0000527,-5.0,70.18,Open,False,True
POL0000000230,PO00000084,4,SKU0000401,100.0,119.98,Open,True,True
POL0000000231,PO00000085,1,SKU0000223,,257.93,Open,False,True
POL0000000232,PO00000086,1,SKU0000234,-5.0,86.53,Open,False,True
POL0000000233,PO00000087,1,SKU0000575,,46.73,Received,False,True
POL0000000234,PO00000087,2,SKU0000636,500.0,47.9,Partial,True,True
POL0000000235,PO00000087,3,SKU0000625,,245.97,Received,False,True
POL0000000236,PO00000087,4,SKU0000079,,175.49,Cancelled,False,True
POL0000000237,PO00000088,1,SKU0000444,250.0,234.25,Received,True,True
POL0000000238,PO00000088,2,SKU0000541,50.0,107.87,Open,True,True
POL0000000239,PO00000088,3,SKU0000032,250.0,111.82,Open,True,True
POL0000000240,PO00000089,1,SKU0000678,100.0,120.32,Cancelled,True,True
POL0000000241,PO00000089,2,SKU0000507,,7.71,Received,False,True
POL0000000242,PO00000090,1,SKU0000533,100.0,240.22,Received,True,True
POL0000000243,PO00000091,1,SKU0000200,,224.59,Open,False,True
POL0000000244,PO00000092,1,SKU0000304,,104.7,Open,False,True
POL0000000245,PO00000092,2,SKU0000482,,146.9,Open,False,True
POL0000000246,PO00000092,3,SKU0000448,500.0,218.34,Open,True,True
POL0000000247,PO00000092,4,SKU0000579,-5.0,289.24,Open,False,True
POL0000000248,PO00000093,1,SKU0000570,50.0,289.41,Received,True,True
POL0000000249,PO00000093,2,SKU0000528,250.0,112.12,Received,True,True
POL0000000250,PO00000093,3,SKU0000272,-5.0,253.68,Partial,False,True
POL0000000251,PO00000093,4,SKU0000070,500.0,21.6,Open,True,True
POL0000000252,PO00000094,1,SKU0000328,-5.0,245.84,Open,False,True
POL0000000253,PO00000094,2,SKU0000459,250.0,220.01,Cancelled,True,True
POL0000000254,PO00000094,3,SKU0000146,250.0,223.17,Open,True,True
POL0000000255,PO00000095,1,SKU0000673,,116.56,Partial,False,True
POL0000000256,PO00000095,2,SKU0000310,-5.0,285.19,Open,False,True
POL0000000257,PO00000095,3,SKU0000480,,288.48,Partial,False,True
POL0000000258,PO00000095,4,SKU0000610,50.0,108.47,Open,True,True
POL0000000259,PO00000096,1,SKU0000632,250.0,135.05,Partial,True,True
POL0000000260,PO00000097,1,SKU0000124,1000.0,44.0,Partial,True,True
POL0000000261,PO00000097,2,SKU0000151,1000.0,236.85,Cancelled,True,True
POL0000000262,PO00000098,1,SKU0000155,50.0,119.97,Open,True,True
POL0000000263,PO00000099,1,SKU0000312,,102.23,Cancelled,False,True
POL0000000264,PO00000100,1,SKU0000486,500.0,191.96,Open,True,True
POL0000000265,PO00000100,2,SKU0000180,50.0,240.38,Open,True,True
POL0000000266,PO00000100,3,SKU0000426,1000.0,3.77,Open,True,True
POL0000000267,PO00000101,1,SKU0000264,250.0,267.55,Open,True,True
POL0000000268,PO00000102,1,SKU0000014,-5.0,187.4,Received,False,True
POL0000000269,PO00000102,2,SKU0000164,1000.0,148.94,Cancelled,True,True
POL0000000270,PO00000102,3,SKU0000384,50.0,289.4,Open,True,True
POL0000000271,PO00000102,4,SKU0000332,50.0,261.39,Open,True,True
POL0000000272,PO00000103,1,SKU0000459,-5.0,220.01,Received,False,True
POL0000000273,PO00000104,1,SKU0000296,500.0,82.35,Partial,True,True
POL0000000274,PO00000105,1,SKU0000026,-5.0,161.1,Partial,False,True
POL0000000275,PO00000105,2,SKU0000546,500.0,136.23,Open,True,True
POL0000000276,PO00000106,1,SKU0000204,1000.0,253.83,Received,True,True
POL0000000277,PO00000107,1,SKU0000232,100.0,45.32,Cancelled,True,True
POL0000000278,PO00000107,2,SKU0000573,-5.0,204.84,Received,False,True
POL0000000279,PO00000108,1,SKU0000018,50.0,77.5,Received,True,True
POL0000000280,PO00000108,2,SKU0000294,50.0,41.04,Partial,True,True
POL0000000281,PO00000109,1,SKU0000261,50.0,281.03,Open,True,True
POL0000000282,PO00000110,1,SKU0000454,-5.0,182.41,Partial,False,True
POL0000000283,PO00000110,2,SKU0000182,250.0,173.83,Open,True,True
POL0000000284,PO00000110,3,SKU0000272,250.0,253.68,Open,True,True
POL0000000285,PO00000111,1,SKU0000014,100.0,187.4,Partial,True,True
POL0000000286,PO00000112,1,SKU0000144,250.0,283.77,Open,True,True
POL0000000287,PO00000112,2,SKU0000359,500.0,252.6,Partial,True,True
POL0000000288,PO00000113,1,SKU0000266,1000.0,151.11,Cancelled,True,True
POL0000000289,PO00000113,2,SKU0000639,-5.0,,Received,False,False
POL0000000290,PO00000114,1,SKU0000407,100.0,8.52,Open,True,True
POL0000000291,PO00000114,2,SKU0000127,50.0,183.86,Received,True,True
POL0000000292,PO00000115,1,SKU0000387,250.0,243.93,Open,True,True
POL0000000293,PO00000116,1,SKU0000473,50.0,141.91,Open,True,True
POL0000000294,PO00000116,2,SKU0000490,100.0,112.73,Cancelled,True,True
POL0000000295,PO00000117,1,SKU0000165,1000.0,276.82,Open,True,True
POL0000000296,PO00000117,2,SKU0000671,250.0,44.98,Partial,True,True
POL0000000297,PO00000118,1,SKU0000568,50.0,4.53,Cancelled,True,True
POL0000000298,PO00000118,2,SKU0000234,,86.53,Received,False,True
POL0000000299,PO00000118,3,SKU0000146,100.0,223.17,Open,True,True
POL0000000300,PO00000119,1,SKU0000649,-5.0,127.15,Received,False,True
POL0000000301,PO00000119,2,SKU0000286,100.0,291.41,Cancelled,True,True
POL0000000302,PO00000119,3,SKU0000277,,138.96,Received,False,True
POL0000000303,PO00000119,4,SKU0000351,500.0,254.84,Open,True,True
POL0000000304,PO00000120,1,SKU0000465,250.0,160.75,Partial,True,True
POL0000000305,PO00000120,2,SKU0000005,,199.28,Open,False,True
POL0000000306,PO00000120,3,SKU0000378,500.0,170.68,Open,True,True
POL0000000307,PO00000120,4,SKU0000188,50.0,70.74,Cancelled,True,True
POL0000000308,PO00000121,1,SKU0000327,-5.0,30.43,Cancelled,False,True
POL0000000309,PO00000121,2,SKU0000053,,104.27,Cancelled,False,True
POL0000000310,PO00000122,1,SKU0000638,1000.0,225.27,Received,True,True
POL0000000311,PO00000122,2,SKU0000283,500.0,31.39,Cancelled,True,True
POL0000000312,PO00000122,3,SKU0000629,500.0,42.15,Partial,True,True
POL0000000313,PO00000122,4,SKU0000245,100.0,209.38,Partial,True,True
POL0000000314,PO00000123,1,SKU0000505,500.0,147.45,Open,True,True
POL0000000315,PO00000123,2,SKU0000335,50.0,76.57,Partial,True,True
POL0000000316,PO00000123,3,SKU0000529,1000.0,230.58,Open,True,True
POL0000000317,PO00000124,1,SKU0000492,,141.52,Open,False,True
POL0000000318,PO00000125,1,SKU0000195,100.0,140.49,Partial,True,True
POL0000000319,PO00000125,2,SKU0000069,250.0,224.21,Open,True,True
POL0000000320,PO00000126,1,SKU0000385,100.0,110.68,Received,True,True
POL0000000321,PO00000127,1,SKU0000434,1000.0,34.39,Cancelled,True,True
POL0000000322,PO00000127,2,SKU0000189,1000.0,6.52,Partial,True,True
POL0000000323,PO00000127,3,SKU0000658,250.0,162.42,Cancelled,True,True
POL0000000324,PO00000128,1,SKU0000046,100.0,3.14,Open,True,True
POL0000000325,PO00000128,2,SKU0000567,250.0,87.77,Cancelled,True,True
POL0000000326,PO00000128,3,SKU0000611,50.0,185.61,Received,True,True
POL0000000327,PO00000128,4,SKU0000653,-5.0,55.07,Open,False,True
POL0000000328,PO00000129,1,SKU0000229,250.0,279.32,Cancelled,True,True
POL0000000329,PO00000129,2,SKU0000487,,98.03,Partial,False,True
POL0000000330,PO00000129,3,SKU0000099,50.0,187.46,Partial,True,True
POL0000000331,PO00000129,4,SKU0000246,-5.0,22.56,Received,False,True
POL0000000332,PO00000130,1,SKU0000329,100.0,224.29,Cancelled,True,True
POL0000000333,PO00000131,1,SKU0000143,50.0,167.94,Cancelled,True,True
POL0000000334,PO00000132,1,SKU0000064,1000.0,136.31,Received,True,True
POL0000000335,PO00000133,1,SKU0000366,250.0,91.53,Cancelled,True,True
POL0000000336,PO00000133,2,SKU0000580,500.0,64.94,Open,True,True
POL0000000337,PO00000134,1,SKU0000548,1000.0,153.7,Open,True,True
POL0000000338,PO00000134,2,SKU0000450,100.0,120.92,Partial,True,True
POL0000000339,PO00000134,3,SKU0000310,250.0,285.19,Cancelled,True,True
POL0000000340,PO00000134,4,SKU0000633,,50.73,Received,False,True
POL0000000341,PO00000135,1,SKU0000382,50.0,153.1,Open,True,True
POL0000000342,PO00000135,2,SKU0000157,500.0,45.16,Cancelled,True,True
POL0000000343,PO00000135,3,SKU0000485,,293.48,Open,False,True
POL0000000344,PO00000135,4,SKU0000444,-5.0,234.25,Received,False,True
POL0000000345,PO00000136,1,SKU0000216,-5.0,261.16,Open,False,True
POL0000000346,PO00000136,2,SKU0000413,500.0,215.0,Partial,True,True
POL0000000347,PO00000137,1,SKU0000675,,38.43,Open,False,True
POL0000000348,PO00000137,2,SKU0000003,500.0,65.98,Received,True,True
POL0000000349,PO00000137,3,SKU0000652,500.0,223.07,Cancelled,True,True
POL0000000350,PO00000137,4,SKU0000120,100.0,249.11,Partial,True,True
POL0000000351,PO00000138,1,SKU0000641,500.0,175.09,Received,True,True
POL0000000352,PO00000139,1,SKU0000478,-5.0,113.13,Partial,False,True
POL0000000353,PO00000139,2,SKU0000309,50.0,205.81,Open,True,True
POL0000000354,PO00000139,3,SKU0000065,1000.0,90.37,Partial,True,True
POL0000000355,PO00000139,4,SKU0000351,1000.0,254.84,Open,True,True
POL0000000356,PO00000140,1,SKU0000279,500.0,219.46,Open,True,True
POL0000000357,PO00000140,2,SKU0000147,1000.0,287.94,Partial,True,True
POL0000000358,PO00000141,1,SKU0000210,50.0,26.81,Open,True,True
POL0000000359,PO00000141,2,SKU0000104,250.0,155.06,Cancelled,True,True
POL0000000360,PO00000142,1,SKU0000673,500.0,116.56,Partial,True,True
POL0000000361,PO00000142,2,SKU0000264,250.0,267.55,Cancelled,True,True
POL0000000362,PO00000143,1,SKU0000356,500.0,3.68,Open,True,True
POL0000000363,PO00000143,2,SKU0000378,-5.0,170.68,Open,False,True
POL0000000364,PO00000143,3,SKU0000499,,13.64,Cancelled,False,True
POL0000000365,PO00000143,4,SKU0000367,50.0,36.58,Received,True,True
POL0000000366,PO00000144,1,SKU0000371,,41.99,Cancelled,False,True
POL0000000367,PO00000145,1,SKU0000026,,161.1,Open,False,True
POL0000000368,PO00000145,2,SKU0000168,250.0,94.15,Open,True,True
POL0000000369,PO00000145,3,SKU0000637,-5.0,34.31,Open,False,True
POL0000000370,PO00000145,4,SKU0000336,500.0,160.68,Open,True,True
