return_id,order_id,order_line_id,product_id,return_date,return_reason,return_qty,refund_amount,return_status
RET00000040,SO00001132,SOL0000003445,SKU0000030,2026-05-25,Wrong Item,5.0,398.75,Approved
RET00000041,SO00000544,SOL0000001658,SKU0000234,2026-02-22,Wrong Item,1.0,117.61,Approved
RET00000042,SO00001096,SOL0000003328,SKU0000627,2026-07-02,Damaged,1.0,436.7,Rejected
RET00000043,SO00001740,SOL0000005256,SKU0000011,2026-07-06,Wrong Item,1.0,259.3,Approved
RET00000044,SO00001634,SOL0000004952,SKU0000058,2026-04-23,Quality Issue,1.0,577.47,Approved
RET00000045,SO00001112,SOL0000003377,SKU0000056,2026-03-28,Customer Cancelled,1.0,561.32,Rejected
RET00000046,SO00000076,SOL0000000232,SKU0000433,2026-03-13,Quality Issue,5.0,149.44,Received
RET00000047,SO00002498,SOL0000007477,SKU0000569,2026-05-14,Quality Issue,2.0,528.41,Requested
RET00000048,SO00000164,SOL0000000509,SKU0000042,2026-06-01,Quality Issue,1.0,27.76,Requested
RET00000049,SO00001583,SOL0000004808,SKU0000443,2026-03-28,Customer Cancelled,2.0,172.77,Approved
RET00000050,SO00001833,SOL0000005539,SKU0000558,2026-03-31,Quality Issue,1.0,532.88,Received
RET00000051,SO00000312,SOL0000000922,SKU0000565,2026-05-19,Customer Cancelled,1.0,198.92,Requested
RET00000052,SO00002127,SOL0000006390,SKU0000486,2026-05-15,Damaged,2.0,322.38,Received
RET00000053,SO00000884,SOL0000002695,SKU0000125,2026-06-04,Wrong Item,2.0,275.98,Requested
RET00000054,SO00001559,SOL0000004726,SKU0000075,2026-02-07,Quality Issue,3.0,396.85,Approved
RET00000055,SO00000154,SOL0000000483,SKU0000528,2026-05-06,Damaged,1.0,199.15,Approved
RET00000056,SO00000404,SOL0000001224,SKU0000639,2026-02-09,Customer Cancelled,3.0,240.58,Requested
RET00000057,SO00002298,SOL0000006902,SKU0000083,2026-02-26,Late Delivery,,81.43,Requested
RET00000058,SO00000506,SOL0000001542,SKU0000682,2026-03-24,Quality Issue,5.0,371.83,Rejected
RET00000059,SO00000709,SOL0000002172,SKU0000145,2026-03-30,Late Delivery,,17.32,Rejected
RET00000060,SO00001921,SOL0000005793,SKU0000242,2026-01-29,Wrong Item,2.0,131.9,Rejected
RET00000061,SO00002140,SOL0000006428,SKU0000500,2026-02-19,Damaged,1.0,0.0,Approved
RET00000062,SO00000402,SOL0000001214,SKU0000272,2026-03-13,Wrong Item,2.0,169.94,Approved
RET00000063,SO00000674,SOL0000002070,SKU0000097,2026-04-25,Wrong Item,5.0,579.23,Received
RET00000064,SO00000311,SOL0000000921,SKU0000401,2026-06-23,Customer Cancelled,1.0,459.12,Rejected
RET00000065,SO00000940,SOL0000002861,SKU0000677,2026-05-20,Customer Cancelled,1.0,0.0,Approved
RET00000066,SO00001164,SOL0000003558,SKU0000391,2026-07-07,Quality Issue,,291.01,Received
RET00000067,SO00000416,SOL0000001265,SKU0000066,2026-03-02,Late Delivery,2.0,221.03,Received
RET00000068,SO00002024,SOL0000006090,SKU0000525,2026-02-10,Customer Cancelled,1.0,444.55,Received
RET00000069,SO00002141,SOL0000006429,SKU0000552,2026-04-21,Quality Issue,,131.88,Rejected
RET00000070,SO00000948,SOL0000002891,SKU0000636,2026-03-18,Wrong Item,1.0,444.44,Rejected
RET00000071,SO00000858,SOL0000002614,SKU0000520,2026-02-16,Wrong Item,1.0,505.89,Received
RET00000072,SO00000140,SOL0000000436,SKU0000462,2026-05-09,Quality Issue,3.0,477.64,Approved
RET00000073,SO00001682,SOL0000005093,SKU0000279,2026-05-23,Late Delivery,5.0,524.23,Received
RET00000074,SO00002392,SOL0000007176,SKU0000371,2026-06-05,Damaged,2.0,92.92,Approved
RET00000075,SO00001115,SOL0000003386,SKU0000280,2026-02-06,Customer Cancelled,2.0,339.43,Approved
RET00000076,SO00000792,SOL0000002420,SKU0000221,2026-03-25,Quality Issue,1.0,195.88,Approved
RET00000077,SO00001257,SOL0000003831,SKU0000318,2026-07-23,Late Delivery,1.0,468.97,Requested
RET00000078,SO00001348,SOL0000004120,SKU0000001,2026-02-24,Customer Cancelled,3.0,530.98,Rejected
RET00000079,SO00000291,SOL0000000864,SKU0000097,2026-05-13,Wrong Item,1.0,148.55,Approved
RET00000080,SO00002387,SOL0000007157,SKU0000264,2026-03-14,Quality Issue,,350.25,Rejected
RET00000081,SO00000651,SOL0000002002,SKU0000683,2026-03-25,Quality Issue,1.0,472.48,Rejected
RET00000082,SO00000296,SOL0000000879,SKU0000333,2026-05-22,Late Delivery,1.0,530.19,Approved
RET00000083,SO00002055,SOL0000006175,SKU0000203,2026-02-17,Late Delivery,2.0,102.64,Requested
RET00000084,SO00000002,SOL0000000006,SKU0000139,2026-04-27,Damaged,,449.08,Approved
RET00000085,SO00000265,SOL0000000792,SKU0000319,2026-03-09,Customer Cancelled,1.0,483.86,Approved
RET00000086,SO00001969,SOL0000005936,SKU0000014,2026-05-01,Wrong Item,1.0,82.55,Requested
RET00000087,SO00000287,SOL0000000855,SKU0000624,2026-05-18,Damaged,,470.04,Approved
RET00000088,SO00002011,SOL0000006051,SKU0000209,2026-07-20,Quality Issue,5.0,509.39,Approved
RET00000089,SO00001942,SOL0000005856,SKU0000057,2026-05-28,Quality Issue,3.0,536.1,Approved
RET00000090,SO00001712,SOL0000005178,SKU0000505,2026-04-02,Late Delivery,,354.21,Requested
RET00000091,SO00002202,SOL0000006608,SKU0000204,2026-02-24,Damaged,3.0,513.63,Rejected
RET00000092,SO00002291,SOL0000006880,SKU0000380,2026-03-27,Damaged,3.0,365.0,Approved
RET00000093,SO00001981,SOL0000005970,SKU0000033,2026-04-05,Customer Cancelled,1.0,578.62,Received
RET00000094,SO00001436,SOL0000004380,SKU0000213,2026-03-14,Damaged,3.0,420.24,Approved
RET00000095,SO00000665,SOL0000002044,SKU0000019,2026-03-12,Late Delivery,,61.58,Requested
RET00000096,SO00000213,SOL0000000652,SKU0000059,2026-01-20,Customer Cancelled,2.0,233.3,Approved
RET00000097,SO00000521,SOL0000001592,SKU0000588,2026-02-25,Late Delivery,,409.19,Requested
RET00000098,SO00002038,SOL0000006132,SKU0000565,2026-04-15,Customer Cancelled,3.0,60.33,Approved
RET00000099,SO00002498,SOL0000007475,SKU0000089,2026-04-27,Wrong Item,1.0,325.86,Rejected
RET00000100,SO00002381,SOL0000007138,SKU0000568,2026-03-03,Late Delivery,5.0,102.01,Approved
RET00000101,SO00001337,SOL0000004081,SKU0000251,2026-05-14,Late Delivery,1.0,177.11,Requested
RET00000102,SO00001818,SOL0000005485,SKU_BAD,2026-03-03,Wrong Item,1.0,474.52,Rejected
RET00000103,SO00001103,SOL0000003346,SKU0000584,2026-04-07,Customer Cancelled,1.0,531.28,Requested
RET00000104,SO00001666,SOL0000005058,SKU0000525,2026-06-12,Customer Cancelled,3.0,321.44,Approved
RET00000105,SO00001168,SOL0000003570,SKU0000078,2026-04-06,Quality Issue,3.0,547.97,Rejected
RET00000106,SO00000367,SOL0000001098,SKU0000452,2026-04-06,Damaged,2.0,326.52,Approved
RET00000107,SO00002023,SOL0000006089,SKU0000321,2026-04-03,Wrong Item,2.0,328.53,Approved
RET00000108,SO00001255,SOL0000003828,SKU0000664,2026-04-28,Customer Cancelled,1.0,371.88,Approved
RET00000109,SO00002247,SOL_UNKNOWN,SKU0000101,2026-07-25,Damaged,5.0,79.67,Received
RET00000110,SO00002307,SOL0000006926,SKU0000187,2026-05-05,Damaged,1.0,165.0,Approved
RET00000111,SO00000197,SOL0000000607,SKU0000471,2026-04-02,Quality Issue,3.0,29.48,Approved
RET00000112,SO00001134,SOL0000003448,SKU0000420,2026-04-25,Customer Cancelled,3.0,359.44,Received
RET00000113,SO00000391,SOL0000001174,SKU0000013,2026-06-26,Quality Issue,5.0,222.42,Approved
RET00000114,SO00001407,SOL0000004289,SKU0000108,2026-06-06,Late Delivery,2.0,531.39,Received
RET00000115,SO00002111,SOL0000006339,SKU0000646,2026-06-30,Damaged,1.0,554.65,Approved
RET00000116,SO00001420,SOL0000004330,SKU0000113,2026-06-08,Late Delivery,1.0,571.64,Received
RET00000117,SO00001094,SOL0000003321,SKU0000554,2026-04-21,Quality Issue,,565.57,Requested
RET00000118,SO00000152,SOL0000000476,SKU0000589,2026-07-21,Customer Cancelled,1.0,424.57,Requested
RET00000119,SO00002161,SOL0000006487,SKU0000005,2026-04-07,Wrong Item,3.0,307.68,Rejected
RET00000120,SO00000866,SOL0000002635,SKU0000485,2026-07-04,Customer Cancelled,5.0,547.72,Approved
RET00000121,SO00000496,SOL0000001502,SKU0000379,2026-02-18,Late Delivery,2.0,179.69,Approved
RET00000122,SO00000542,SOL0000001655,SKU0000462,2026-05-05,Customer Cancelled,3.0,402.76,Approved
RET00000123,SO00001307,SOL0000003981,SKU0000364,2026-07-19,Late Delivery,,274.82,Approved
RET00000124,SO00001169,SOL0000003573,SKU0000062,2026-04-05,Damaged,1.0,78.49,Approved
RET00000125,SO00000630,SOL0000001936,SKU0000058,2026-02-18,Wrong Item,1.0,302.98,Requested
RET00000126,SO00000453,SOL0000001386,SKU0000243,2026-02-27,Late Delivery,3.0,150.17,Received
RET00000127,SO00000203,SOL0000000623,SKU0000553,2026-04-15,Quality Issue,3.0,511.68,Approved
RET00000128,SO00000058,SOL0000000180,SKU0000139,2026-03-14,Damaged,3.0,461.51,Received
RET00000129,SO00001434,SOL0000004376,SKU0000419,2026-05-05,Damaged,,274.64,Requested
RET00000130,SO00000785,SOL0000002400,SKU0000456,2026-03-25,Quality Issue,1.0,476.42,Received
RET00000131,SO00002408,SOL0000007227,SKU0000155,2026-05-17,Wrong Item,2.0,69.1,Received
RET00000132,SO00001470,SOL0000004471,SKU0000298,2026-02-16,Late Delivery,3.0,288.16,Approved
RET00000133,SO00001564,SOL0000004742,SKU0000478,2026-04-14,Damaged,2.0,230.85,Received
RET00000134,SO00001111,SOL0000003370,SKU0000661,2026-06-16,Late Delivery,3.0,457.94,Approved
RET00000135,SO00000251,SOL0000000756,SKU0000409,2026-07-04,Damaged,2.0,296.71,Approved
RET00000136,SO00002383,SOL0000007146,SKU0000115,2026-03-23,Late Delivery,1.0,245.9,Approved
RET00000137,SO00000647,SOL0000001989,SKU0000552,2026-02-20,Wrong Item,1.0,275.84,Requested
RET00000138,SO00002373,SOL_UNKNOWN,SKU0000373,2026-05-23,Wrong Item,3.0,143.38,Approved
RET00000139,SO00001777,SOL0000005354,SKU0000169,2026-02-23,Customer Cancelled,1.0,256.82,Approved
RET00000140,SO00001980,SOL0000005967,SKU0000587,2026-02-26,Damaged,1.0,344.28,Rejected
RET00000141,SO00001910,SOL0000005761,SKU0000415,2026-03-28,Customer Cancelled,,469.77,Approved
RET00000142,SO00000904,SOL0000002760,SKU0000569,2026-03-06,Customer Cancelled,1.0,490.55,Approved
RET00000143,SO00001185,SOL0000003613,SKU0000586,2026-03-24,Damaged,5.0,443.29,Rejected
RET00000144,SO00001471,SOL0000004475,SKU0000471,2026-05-16,Damaged,1.0,544.26,Rejected
RET00000145,SO_UNKNOWN,SOL0000006450,SKU0000232,2026-03-08,Quality Issue,3.0,99.78,Approved
RET00000146,SO_UNKNOWN,SOL0000002279,SKU0000516,2026-05-15,Customer Cancelled,3.0,235.8,Approved
RET00000147,SO00002110,SOL0000006334,SKU0000099,2026-05-26,Wrong Item,3.0,322.51,Approved
RET00000148,SO00000751,SOL0000002305,SKU0000123,2026-01-29,Wrong Item,1.0,64.05,Rejected
RET00000149,SO00001008,SOL0000003071,SKU0000544,2026-03-14,Late Delivery,2.0,417.04,Approved
RET00000150,SO00001025,SOL0000003123,SKU0000062,2026-05-02,Customer Cancelled,,45.48,Requested
RET00000151,SO00001968,SOL0000005931,SKU0000213,2026-06-02,Late Delivery,1.0,182.21,Approved
RET00000152,SO00002396,SOL0000007191,SKU0000537,2026-03-15,Damaged,5.0,143.96,Approved
RET00000153,SO00001137,SOL0000003461,SKU0000319,2026-04-29,Damaged,2.0,322.41,Approved
RET00000154,SO00002322,SOL0000006981,SKU0000254,2026-05-23,Quality Issue,2.0,433.21,Received
RET00000155,SO00001652,SOL0000005014,SKU0000612,2026-05-17,Wrong Item,3.0,395.28,Approved
RET00000156,SO00001338,SOL0000004082,SKU0000351,2026-05-03,Late Delivery,,299.85,Approved
RET00000157,SO00000150,SOL0000000472,SKU0000395,2026-03-13,Damaged,2.0,499.89,Rejected
RET00000158,SO00002113,SOL0000006344,SKU0000265,2026-02-13,Quality Issue,1.0,391.36,Approved
RET00000159,SO00001156,SOL0000003528,SKU0000024,2026-03-29,Late Delivery,1.0,192.46,Rejected
RET00000160,SO00001445,SOL0000004407,SKU0000257,2026-05-23,Customer Cancelled,1.0,299.5,Requested
RET00000161,SO00000521,SOL0000001590,SKU0000287,2026-02-04,Late Delivery,,323.59,Approved
RET00000162,SO00002125,SOL0000006386,SKU0000058,2026-04-11,Customer Cancelled,5.0,372.99,Rejected
RET00000163,SO00001868,SOL0000005632,SKU0000280,2026-04-22,Quality Issue,1.0,158.56,Approved
RET00000164,SO00002282,SOL0000006858,SKU0000379,2026-05-19,Wrong Item,1.0,164.99,Rejected
RET00000165,SO00001709,SOL0000005174,SKU0000542,2026-03-02,Damaged,5.0,392.14,Rejected
RET00000166,SO00000343,SOL0000001021,SKU0000415,2026-06-11,Customer Cancelled,5.0,54.12,Approved
RET00000167,SO00001135,SOL0000003455,SKU0000158,2026-02-23,Quality Issue,,510.5,Received
RET00000168,SO00001970,SOL0000005938,SKU0000344,2026-06-04,Damaged,,394.71,Received
RET00000169,SO00000813,SOL0000002480,SKU0000590,2026-02-10,Quality Issue,1.0,299.64,Requested
RET00000170,SO00002261,SOL0000006796,SKU0000427,2026-03-05,Late Delivery,3.0,518.87,Approved
RET00000171,SO00002057,SOL0000006183,SKU0000123,2026-04-15,Wrong Item,,45.11,Approved
RET00000172,SO00000124,SOL0000000383,SKU0000481,2026-06-18,Damaged,3.0,577.62,Requested
RET00000173,SO00001617,SOL0000004903,SKU0000062,2026-07-04,Quality Issue,3.0,107.9,Rejected
RET00000174,SO00002482,SOL0000007429,SKU0000438,2026-07-04,Damaged,,218.94,Received
RET00000175,SO00002371,SOL0000007110,SKU0000210,2026-04-07,Wrong Item,1.0,117.61,Approved
RET00000176,SO00000269,SOL0000000803,SKU0000337,2026-02-03,Customer Cancelled,2.0,171.31,Requested
RET00000177,SO00000399,SOL0000001205,SKU0000116,2026-05-15,Late Delivery,1.0,274.43,Received
RET00000178,SO00000720,SOL0000002205,SKU0000070,2026-06-30,Wrong Item,5.0,145.56,Rejected
RET00000179,SO00000886,SOL0000002701,SKU0000165,2026-03-11,Quality Issue,,442.4,Approved
RET00000180,SO00000911,SOL0000002778,SKU0000034,2026-04-06,Wrong Item,,148.73,Requested
RET00000181,SO_UNKNOWN,SOL0000003891,SKU0000089,2026-02-12,Quality Issue,3.0,48.7,Approved
RET00000182,SO00002478,SOL0000007423,SKU0000540,2026-03-21,Quality Issue,2.0,530.19,Received
RET00000183,SO00001671,SOL0000005073,SKU0000505,2026-05-18,Late Delivery,2.0,96.35,Approved
RET00000184,SO00002055,SOL0000006177,SKU0000356,2026-03-10,Wrong Item,3.0,574.34,Rejected
RET00000185,SO00001492,SOL0000004539,SKU0000649,2026-06-28,Customer Cancelled,,169.18,Rejected
RET00000186,SO00000230,SOL0000000698,SKU0000685,2026-06-08,Customer Cancelled,5.0,566.66,Rejected
RET00000187,SO00001821,SOL0000005498,SKU0000078,2026-04-12,Late Delivery,5.0,77.34,Approved
RET00000188,SO00001832,SOL0000005537,SKU0000145,2026-04-27,Customer Cancelled,1.0,7.79,Approved
RET00000189,SO00001238,SOL0000003774,SKU0000327,2026-06-12,Customer Cancelled,5.0,587.86,Rejected
RET00000190,SO00000019,SOL0000000066,SKU0000245,2026-02-26,Customer Cancelled,1.0,496.48,Received
RET00000191,SO00002176,SOL0000006535,SKU0000241,2026-05-13,Late Delivery,,377.49,Received
RET00000192,SO00000895,SOL0000002731,SKU0000644,2026-02-09,Damaged,,354.06,Approved
RET00000193,SO00001145,SOL0000003486,SKU0000345,2026-03-12,Late Delivery,2.0,85.81,Requested
RET00000194,SO00002291,SOL0000006878,SKU0000648,2026-04-09,Customer Cancelled,1.0,125.08,Approved
RET00000195,SO00001799,SOL0000005429,SKU0000352,2026-05-31,Late Delivery,5.0,147.86,Requested
RET00000196,SO00002184,SOL0000006555,SKU0000573,2026-05-03,Wrong Item,1.0,565.82,Rejected
RET00000197,SO00000947,SOL0000002884,SKU0000462,2026-06-26,Wrong Item,,568.85,Rejected
RET00000198,SO00001561,SOL0000004731,SKU0000465,2026-02-10,Quality Issue,,268.17,Approved
RET00000199,SO00000176,SOL0000000544,SKU0000472,2026-03-11,Quality Issue,,357.54,Approved
RET00000200,SO00001842,SOL0000005561,SKU0000636,2026-05-01,Customer Cancelled,3.0,173.53,Approved
RET00000201,SO00000310,SOL0000000920,SKU0000443,2026-03-08,Wrong Item,2.0,262.88,Received
RET00000202,SO00002004,SOL0000006038,SKU0000095,2026-06-07,Customer Cancelled,3.0,520.58,Requested
RET00000203,SO00001281,SOL0000003913,SKU0000550,2026-04-03,Wrong Item,3.0,260.98,Rejected
RET00000204,SO00001405,SOL0000004279,SKU0000208,2026-02-17,Damaged,2.0,487.33,Approved
RET00000205,SO00002390,SOL0000007168,SKU0000086,2026-06-08,Quality Issue,,389.91,Received
RET00000206,SO00001478,SOL0000004495,SKU0000675,2026-05-17,Quality Issue,,421.01,Received
RET00000207,SO00001889,SOL0000005695,SKU0000625,2026-05-27,Customer Cancelled,2.0,563.04,Rejected
RET00000208,SO00000126,SOL0000000391,SKU0000137,2026-04-16,Quality Issue,1.0,43.62,Requested
RET00000209,SO00002389,SOL0000007165,SKU0000130,2026-03-11,Late Delivery,3.0,181.61,Approved
RET00000210,SO00001111,SOL0000003369,SKU0000217,2026-06-23,Wrong Item,1.0,442.38,Rejected
RET00000211,SO00001137,SOL0000003459,SKU0000298,2026-05-14,Late Delivery,,285.17,Received
RET00000212,SO00000228,SOL0000000691,SKU0000135,2026-07-04,Damaged,2.0,530.22,Received
RET00000213,SO00000096,SOL0000000296,SKU0000619,2026-03-22,Quality Issue,,122.49,Received
RET00000214,SO00001511,SOL0000004600,SKU0000543,2026-06-05,Wrong Item,3.0,165.64,Received
RET00000215,SO00001817,SOL0000005484,SKU0000082,2026-05-24,Quality Issue,2.0,265.06,Received
RET00000216,SO00002242,SOL0000006736,SKU0000675,2026-02-24,Late Delivery,5.0,503.85,Approved
RET00000217,SO_UNKNOWN,SOL0000002843,SKU0000586,2026-04-25,Late Delivery,1.0,123.81,Requested
RET00000218,SO00000079,SOL0000000241,SKU0000688,2026-04-05,Wrong Item,5.0,184.75,Approved
RET00000219,SO00000271,SOL0000000809,SKU0000089,2026-01-14,Wrong Item,,485.55,Approved
RET00000220,SO00000599,SOL0000001840,SKU0000599,2026-04-28,Damaged,3.0,145.93,Approved
RET00000221,SO00000172,SOL0000000533,SKU0000349,2026-06-13,Damaged,2.0,314.11,Received
RET00000222,SO00000421,SOL0000001279,SKU0000028,2026-03-18,Damaged,3.0,545.9,Rejected
RET00000223,SO00001972,SOL0000005944,SKU0000472,2026-03-12,Wrong Item,1.0,0.0,Rejected
RET00000224,SO00001100,SOL0000003337,SKU0000454,2026-03-31,Late Delivery,1.0,506.16,Approved
RET00000225,SO00001665,SOL0000005056,SKU0000171,2026-02-12,Customer Cancelled,,276.88,Requested
RET00000226,SO00001031,SOL0000003142,SKU0000625,2026-03-05,Late Delivery,2.0,254.39,Approved
RET00000227,SO00001253,SOL0000003820,SKU0000405,2026-01-11,Customer Cancelled,1.0,462.91,Requested
RET00000228,SO00001062,SOL0000003233,SKU0000525,2026-01-31,Damaged,1.0,168.25,Rejected
RET00000229,SO00000091,SOL0000000274,SKU0000179,2026-05-12,Quality Issue,1.0,42.28,Approved
RET00000230,SO00000020,SOL0000000067,SKU0000347,2026-06-30,Quality Issue,2.0,441.02,Approved
RET00000231,SO00002080,SOL0000006249,SKU0000050,2026-02-18,Customer Cancelled,1.0,141.03,Rejected
RET00000232,SO00002365,SOL0000007093,SKU0000051,2026-03-07,Damaged,5.0,463.22,Rejected
RET00000233,SO00002474,SOL0000007412,SKU0000028,2026-04-09,Quality Issue,1.0,476.51,Approved
RET00000234,SO00002440,SOL0000007319,SKU0000243,2026-05-22,Damaged,1.0,28.56,Approved
RET00000235,SO00001670,SOL0000005069,SKU0000628,2026-03-31,Late Delivery,3.0,439.72,Approved
RET00000236,SO00001218,SOL0000003720,SKU0000027,2026-02-20,Late Delivery,3.0,48.25,Requested
RET00000237,SO00000494,SOL0000001495,SKU0000581,2026-06-22,Customer Cancelled,3.0,451.39,Approved
RET00000238,SO00001288,SOL0000003932,SKU0000495,2026-04-10,Late Delivery,2.0,531.8,Received
RET00000239,SO00002379,SOL0000007132,SKU0000233,2026-02-06,Damaged,1.0,46.28,Received
RET00000240,SO00002233,SOL0000006701,SKU0000176,2026-06-01,Quality Issue,2.0,43.64,Received
RET00000241,SO00000025,SOL0000000082,SKU0000066,2026-05-14,Wrong Item,1.0,581.56,Received
RET00000242,SO00002461,SOL0000007374,SKU0000289,2026-04-18,Late Delivery,3.0,98.68,Received
RET00000243,SO00001945,SOL0000005866,SKU0000661,2026-04-07,Quality Issue,,70.58,Rejected
RET00000244,SO00000981,SOL0000002990,SKU0000678,2026-02-08,Customer Cancelled,2.0,84.84,Requested
RET00000245,SO00001787,SOL0000005385,SKU0000303,2026-03-18,Customer Cancelled,3.0,569.0,Received
RET00000246,SO00001811,SOL0000005465,SKU0000477,2026-04-13,Damaged,3.0,185.1,Rejected
RET00000247,SO00001451,SOL0000004422,SKU0000158,2026-05-05,Late Delivery,5.0,134.49,Received
RET00000248,SO00000557,SOL0000001704,SKU0000149,2026-03-31,Wrong Item,1.0,16.28,Received
RET00000249,SO00000616,SOL0000001887,SKU0000406,2026-02-13,Damaged,,55.95,Requested
RET00000250,SO00000666,SOL0000002045,SKU0000104,2026-05-07,Late Delivery,3.0,534.93,Requested
RET00000251,SO00002104,SOL0000006318,SKU0000092,2026-05-22,Late Delivery,,403.48,Received
RET00000252,SO00002299,SOL0000006906,SKU0000507,2026-02-24,Quality Issue,5.0,182.32,Rejected
RET00000253,SO00001661,SOL0000005041,SKU0000409,2026-05-27,Late Delivery,2.0,488.66,Requested
RET00000254,SO00000993,SOL0000003027,SKU0000632,2026-04-21,Damaged,1.0,45.6,Approved
RET00000255,SO00002238,SOL0000006723,SKU0000679,2026-02-18,Customer Cancelled,1.0,359.2,Rejected
RET00000256,SO00001192,SOL0000003638,SKU0000567,2026-02-28,Customer Cancelled,1.0,351.51,Requested
RET00000257,SO00000081,SOL0000000245,SKU0000292,2026-02-12,Customer Cancelled,1.0,90.51,Approved
RET00000258,SO00000934,SOL0000002849,SKU0000049,2026-03-02,Customer Cancelled,2.0,118.66,Requested
RET00000259,SO00001345,SOL0000004110,SKU0000656,2026-05-27,Late Delivery,3.0,238.64,Rejected
RET00000260,SO00001206,SOL0000003686,SKU0000098,2026-03-14,Late Delivery,5.0,398.53,Approved
RET00000261,SO00002486,SOL0000007435,SKU0000149,2026-02-16,Quality Issue,5.0,71.29,Rejected
RET00000262,SO00002460,SOL0000007368,SKU0000512,2026-06-03,Quality Issue,3.0,0.0,Requested
RET00000263,SO00000221,SOL0000000670,SKU0000410,2026-06-10,Wrong Item,2.0,366.44,Approved
RET00000264,SO00001656,SOL0000005025,SKU0000090,2026-04-23,Damaged,1.0,434.03,Approved
