receipt_id,po_id,warehouse_id,receipt_date,receipt_status,inspection_status,source_system
RCV00000083,PO00000345,WH0024,2026-03-25,Received,Passed,wms
RCV00000084,PO00000800,WH0022,,Received,Pending,wms
RCV00000085,PO00000235,WH0005,,Rejected,Pending,wms
RCV00000086,PO00000523,WH0017,,Partial,Pending,wms
RCV00000087,PO00000274,WH0016,,Received,Pending,wms
RCV00000088,PO00000510,WH0012,2026-05-03,Received,Passed,wms
RCV00000089,PO00000241,WH0023,,Partial,Pending,wms
RCV00000090,PO00000329,WH0005,,Partial,Failed,wms
RCV00000091,PO00000410,WH0005,,Received,Failed,wms
RCV00000092,PO00000761,WH0001,,Partial,Failed,wms
RCV00000093,PO00000164,WH0016,2026-03-05,Received,Failed,wms
RCV00000094,PO00000233,WH0004,2026-05-12,Received,Passed,wms
RCV00000095,PO00000718,WH0001,,Rejected,Failed,wms
RCV00000096,PO00000302,WH0007,2026-01-29,Received,Passed,wms
RCV00000097,PO00000110,WH0019,,Rejected,Failed,wms
RCV00000098,PO00000299,WH0011,2026-04-20,Rejected,Passed,wms
RCV00000099,PO00000352,WH0022,,Partial,Passed,wms
RCV00000100,PO00000285,WH0004,2026-05-18,Received,Passed,wms
RCV00000101,PO00000334,WH0007,,Received,Passed,wms
RCV00000102,PO00000223,WH0002,,Partial,Passed,wms
RCV00000103,PO00000715,WH0023,2026-06-02,Rejected,Pending,wms
RCV00000104,PO00000562,WH0008,2026-03-31,Rejected,Pending,wms
RCV00000105,PO00000298,WH0017,,Rejected,Failed,wms
RCV00000106,PO00000350,WH0014,,Received,Pending,wms
RCV00000107,PO00000489,WH0017,2026-04-12,Received,Passed,wms
RCV00000108,PO00000710,WH0025,,Received,Passed,wms
RCV00000109,PO00000647,WH0002,2026-04-10,Received,Pending,wms
RCV00000110,PO00000499,WH0009,,Received,Passed,wms
RCV00000111,PO00000696,WH0012,2026-04-10,Received,Failed,wms
RCV00000112,PO00000292,WH0003,2026-06-02,Received,Passed,wms
RCV00000113,PO00000024,WH0019,2026-03-20,Rejected,Pending,wms
RCV00000114,PO00000504,WH0004,,Received,Pending,wms
RCV00000115,PO00000388,WH0001,,Received,Pending,wms
RCV00000116,PO00000637,WH0025,,Received,Failed,wms
RCV00000117,PO00000390,WH0024,2026-03-03,Partial,Pending,wms
RCV00000118,PO00000294,WH0001,2026-04-03,Rejected,Failed,wms
RCV00000119,PO00000021,WH0017,2026-02-13,Received,Pending,wms
RCV00000120,PO00000126,WH0021,2026-03-19,Rejected,Pending,wms
RCV00000121,PO00000405,WH0012,2026-04-07,Partial,Pending,wms
RCV00000122,PO00000283,WH0013,2026-03-07,Rejected,Failed,wms
RCV00000123,PO00000452,WH0013,,Partial,Failed,wms
RCV00000124,PO00000054,WH0005,,Partial,Pending,wms
RCV00000125,PO00000091,WH0001,,Received,Failed,wms
RCV00000126,PO00000242,WH0005,2026-05-21,Rejected,Pending,wms
RCV00000127,PO00000062,WH0019,,Received,Passed,wms
RCV00000128,PO00000383,WH0018,2026-05-11,Received,Passed,wms
RCV00000129,PO00000071,WH0008,2026-03-15,Rejected,Pending,wms
RCV00000130,PO00000363,WH0002,,Received,Passed,wms
RCV00000131,PO00000427,WH0012,,Received,Pending,wms
RCV00000132,PO00000026,WH0013,,Received,Failed,wms
RCV00000133,PO00000594,WH0015,2026-03-27,Received,Passed,wms
RCV00000134,PO00000309,WH0016,2026-03-01,Received,Passed,wms
RCV00000135,PO00000450,WH0017,2026-02-23,Received,Pending,wms
RCV00000136,PO00000581,WH0004,,Received,Passed,wms
RCV00000137,PO00000442,WH0017,,Rejected,Passed,wms
RCV00000138,PO00000033,WH0009,,Partial,Failed,wms
RCV00000139,PO00000097,WH0023,2026-03-02,Received,Passed,wms
RCV00000140,PO00000159,WH0003,2026-01-11,Received,Passed,wms
RCV00000141,PO00000434,WH0025,2026-03-27,Rejected,Passed,wms
RCV00000142,PO00000301,WH0008,,Received,Passed,wms
RCV00000143,PO00000505,WH0022,2026-04-04,Received,Failed,wms
RCV00000144,PO00000051,WH0001,2026-01-13,Rejected,Failed,wms
RCV00000145,PO00000538,WH0003,2026-03-17,Rejected,Failed,wms
RCV00000146,PO00000770,WH0009,2026-01-01,Partial,Passed,wms
RCV00000147,PO00000212,WH0014,,Received,Passed,wms
RCV00000148,PO00000443,WH0004,2026-05-01,Received,Pending,wms
RCV00000149,PO00000145,WH0004,2026-04-26,Partial,Pending,wms
RCV00000150,PO00000043,WH0010,,Received,Passed,wms
RCV00000151,PO00000009,WH0001,2026-01-28,Partial,Passed,wms
RCV00000152,PO00000498,WH_UNKNOWN,,Received,Passed,wms
RCV00000153,PO00000227,WH0023,2026-04-11,Received,Passed,wms
RCV00000154,PO00000284,WH0019,2026-02-03,Rejected,Passed,wms
RCV00000155,PO00000529,WH0017,,Received,Passed,wms
RCV00000156,PO00000716,WH0005,2026-01-23,Rejected,Failed,wms
RCV00000157,PO00000731,WH0006,2026-05-20,Rejected,Passed,wms
RCV00000158,PO00000792,WH0006,2026-03-16,Received,Failed,wms
RCV00000159,PO00000671,WH0016,2026-03-21,Received,Failed,wms
RCV00000160,PO00000537,WH0008,,Rejected,Passed,wms
RCV00000161,PO00000010,WH0014,,Rejected,Failed,wms
RCV00000162,PO00000428,WH0023,2026-05-19,Partial,Passed,wms
RCV00000163,PO00000448,WH0010,,Received,Failed,wms
RCV00000164,PO00000141,WH0001,,Received,Passed,wms
RCV00000165,PO00000419,WH0003,,Rejected,Passed,wms
RCV00000166,PO00000787,WH0019,2026-02-04,Received,Pending,wms
RCV00000167,PO00000153,WH0009,2026-02-09,Partial,Passed,wms
RCV00000168,PO00000530,WH0003,,Rejected,Failed,wms
RCV00000169,PO00000308,WH0004,,Received,Passed,wms
RCV00000170,PO00000119,WH0023,,Received,Passed,wms
RCV00000171,PO00000492,WH0017,,Partial,Passed,wms
RCV00000172,PO00000556,WH0001,,Partial,Pending,wms
RCV00000173,PO00000651,WH0020,2026-01-21,Rejected,Passed,wms
RCV00000174,PO00000109,WH0008,,Received,Passed,wms
RCV00000175,PO00000577,WH0003,,Received,Pending,wms
RCV00000176,PO00000516,WH0020,,Received,Failed,wms
RCV00000177,PO00000146,WH0010,2026-06-05,Partial,Passed,wms
RCV00000178,PO00000216,WH0004,2026-06-12,Partial,Passed,wms
RCV00000179,PO00000049,WH0017,,Received,Passed,wms
RCV00000180,PO00000261,WH0003,2026-03-30,Received,Failed,wms
RCV00000181,PO00000668,WH0001,,Received,Passed,wms
RCV00000182,PO00000170,WH0005,,Rejected,Failed,wms
RCV00000183,PO00000790,WH0022,,Received,Passed,wms
RCV00000184,PO00000342,WH0020,2026-05-23,Partial,Passed,wms
RCV00000185,PO00000665,WH0015,,Rejected,Passed,wms
RCV00000186,PO00000607,WH0012,,Partial,Passed,wms
RCV00000187,PO00000399,WH0016,2026-02-11,Partial,Passed,wms
RCV00000188,PO00000365,WH0021,2025-12-20,Rejected,Passed,wms
RCV00000189,PO00000120,WH0025,,Received,Pending,wms
RCV00000190,PO00000554,WH0006,,Rejected,Passed,wms
RCV00000191,PO00000387,WH0021,2026-03-05,Partial,Failed,wms
RCV00000192,PO00000092,WH0016,2026-04-08,Rejected,Pending,wms
RCV00000193,PO00000201,WH0023,,Received,Passed,wms
RCV00000194,PO00000721,WH0021,2026-04-17,Received,Failed,wms
RCV00000195,PO00000564,WH0010,,Received,Passed,wms
RCV00000196,PO00000382,WH0022,,Received,Passed,wms
RCV00000197,PO00000480,WH0014,2026-05-27,Partial,Pending,wms
RCV00000198,PO00000494,WH0019,2026-03-24,Rejected,Passed,wms
RCV00000199,PO00000319,WH0024,,Received,Pending,wms
RCV00000200,PO00000305,WH0016,,Rejected,Failed,wms
RCV00000201,PO00000639,WH0011,2026-03-25,Received,Passed,wms
RCV00000202,PO00000571,WH0020,,Partial,Pending,wms
RCV00000203,PO00000579,WH0018,2026-01-22,Rejected,Failed,wms
RCV00000204,PO00000552,WH0001,,Rejected,Pending,wms
RCV00000205,PO00000675,WH0004,2026-05-18,Received,Pending,wms
RCV00000206,PO00000597,WH0001,2026-02-25,Rejected,Pending,wms
RCV00000207,PO00000354,WH0022,2026-05-27,Received,Pending,wms
RCV00000208,PO00000321,WH0022,2026-02-14,Received,Pending,wms
RCV00000209,PO00000340,WH0005,,Received,Passed,wms
RCV00000210,PO00000322,WH0023,,Rejected,Passed,wms
RCV00000211,PO00000409,WH0004,2026-01-15,Rejected,Pending,wms
RCV00000212,PO00000435,WH0008,2026-06-14,Received,Passed,wms
RCV00000213,PO00000522,WH0014,2026-04-11,Received,Failed,wms
RCV00000214,PO00000273,WH0020,2026-04-23,Received,Failed,wms
RCV00000215,PO00000712,WH0025,,Rejected,Pending,wms
RCV00000216,PO00000182,WH0007,,Partial,Pending,wms
RCV00000217,PO00000231,WH0002,2026-05-11,Partial,Passed,wms
RCV00000218,PO00000621,WH0025,2026-01-31,Rejected,Passed,wms
RCV00000219,PO00000271,WH0025,2026-02-15,Partial,Pending,wms
RCV00000220,PO00000177,WH0007,,Received,Failed,wms
RCV00000221,PO00000046,WH0019,,Received,Passed,wms
RCV00000222,PO00000361,WH0017,2026-03-17,Received,Passed,wms
RCV00000223,PO00000003,WH0010,2026-05-12,Rejected,Passed,wms
RCV00000224,PO00000631,WH0002,,Received,Passed,wms
RCV00000225,PO00000550,WH0003,,Received,Passed,wms
RCV00000226,PO00000073,WH0023,,Rejected,Passed,wms
RCV00000227,PO00000765,WH0018,2026-03-12,Partial,Pending,wms
RCV00000228,PO00000162,WH0012,2026-04-08,Received,Passed,wms
RCV00000229,PO00000431,WH0013,2025-12-12,Received,Failed,wms
RCV00000230,PO00000667,WH0021,2026-06-21,Rejected,Passed,wms
RCV00000231,PO00000711,WH0022,2026-02-22,Received,Failed,wms
RCV00000232,PO00000394,WH0008,2026-01-18,Received,Pending,wms
RCV00000233,PO00000539,WH0001,,Received,Passed,wms
RCV00000234,PO00000252,WH_UNKNOWN,,Rejected,Passed,wms
RCV00000235,PO00000752,WH0020,2026-04-22,Received,Failed,wms
RCV00000236,PO00000075,WH0002,2025-12-31,Partial,Failed,wms
RCV00000237,PO00000259,WH0017,2026-01-10,Received,Passed,wms
RCV00000238,PO00000096,WH0004,2026-06-03,Received,Passed,wms
RCV00000239,PO00000391,WH0016,,Received,Failed,wms
RCV00000240,PO00000027,WH0013,2026-04-14,Rejected,Passed,wms
RCV00000241,PO00000125,WH0022,,Received,Passed,wms
RCV00000242,PO00000691,WH0022,2026-06-13,Received,Passed,wms
RCV00000243,PO00000346,WH0018,,Received,Failed,wms
RCV00000244,PO00000116,WH0006,2026-02-05,Received,Pending,wms
RCV00000245,PO00000403,WH0024,2026-06-14,Rejected,Passed,wms
RCV00000246,PO00000636,WH0020,,Rejected,Passed,wms
RCV00000247,PO00000257,WH0022,,Partial,Passed,wms
RCV00000248,PO00000137,WH0005,,Partial,Passed,wms
RCV00000249,PO00000344,WH0014,2026-03-06,Partial,Passed,wms
RCV00000250,PO00000208,WH0015,2026-02-28,Received,Passed,wms
RCV00000251,PO00000095,WH0006,2026-06-13,Partial,Passed,wms
RCV00000252,PO00000433,WH0018,2026-03-15,Received,Passed,wms
RCV00000253,PO00000566,WH0025,2026-03-05,Received,Passed,wms
RCV00000254,PO00000226,WH0005,,Received,Passed,wms
RCV00000255,PO00000527,WH0012,2025-12-15,Received,Pending,wms
RCV00000256,PO00000429,WH0020,,Partial,Passed,wms
RCV00000257,PO00000149,WH0015,,Rejected,Passed,wms
RCV00000258,PO00000420,WH0007,2026-03-30,Rejected,Pending,wms
RCV00000259,PO00000250,WH0012,2026-05-27,Partial,Failed,wms
RCV00000260,PO00000613,WH0019,,Received,Passed,wms
RCV00000261,PO00000169,WH0013,,Rejected,Passed,wms
RCV00000262,PO00000318,WH0022,2026-04-01,Partial,Pending,wms
RCV00000263,PO00000355,WH0007,2026-04-15,Received,Passed,wms
RCV00000264,PO00000357,WH0021,,Partial,Pending,wms
RCV00000265,PO00000440,WH0014,,Rejected,Failed,wms
RCV00000266,PO00000123,WH0005,,Received,Passed,wms
RCV00000267,PO00000593,WH0020,2026-03-07,Received,Passed,wms
RCV00000268,PO00000678,WH0019,2026-02-04,Partial,Failed,wms
RCV00000269,PO00000314,WH0015,2026-06-16,Received,Passed,wms
RCV00000270,PO00000017,WH0008,,Received,Pending,wms
RCV00000271,PO00000295,WH0007,,Received,Passed,wms
RCV00000272,PO00000543,WH0002,,Partial,Pending,wms
RCV00000273,PO00000082,WH0023,,Received,Failed,wms
RCV00000274,PO00000485,WH0008,,Received,Failed,wms
RCV00000275,PO00000401,WH0002,2026-02-02,Partial,Pending,wms
RCV00000276,PO00000468,WH0010,,Received,Passed,wms
RCV00000277,PO00000483,WH0025,,Received,Passed,wms
RCV00000278,PO00000627,WH0010,,Received,Passed,wms
RCV00000279,PO00000762,WH0003,,Received,Pending,wms
RCV00000280,PO00000099,WH0015,2026-03-17,Received,Failed,wms
RCV00000281,PO00000186,WH0002,,Received,Pending,wms
RCV00000282,PO00000107,WH0005,,Received,Passed,wms
RCV00000283,PO00000497,WH0007,2026-04-05,Partial,Failed,wms
RCV00000284,PO00000670,WH0024,,Rejected,Passed,wms
RCV00000285,PO00000635,WH0019,2026-03-15,Received,Passed,wms
RCV00000286,PO00000575,WH0004,,Rejected,Pending,wms
RCV00000287,PO00000102,WH0020,,Received,Failed,wms
RCV00000288,PO00000514,WH0012,2026-03-18,Received,Pending,wms
RCV00000289,PO00000194,WH0023,,Received,Passed,wms
RCV00000290,PO00000437,WH0012,,Received,Passed,wms
RCV00000291,PO00000751,WH0002,2026-01-22,Received,Pending,wms
RCV00000292,PO00000583,WH0015,,Received,Passed,wms
RCV00000293,PO00000272,WH0015,2026-05-13,Partial,Pending,wms
RCV00000294,PO00000753,WH0007,2026-03-08,Received,Passed,wms
RCV00000295,PO00000045,WH0011,2026-03-09,Received,Failed,wms
RCV00000296,PO00000626,WH0003,2026-04-15,Received,Pending,wms
RCV00000297,PO00000750,WH0006,,Received,Passed,wms
RCV00000298,PO00000240,WH0013,2026-05-19,Received,Passed,wms
RCV00000299,PO00000397,WH0009,2026-01-11,Received,Passed,wms
RCV00000300,PO00000438,WH0006,2026-04-29,Received,Failed,wms
RCV00000301,PO00000103,WH0003,,Received,Failed,wms
RCV00000302,PO00000215,WH0007,2026-04-17,Partial,Passed,wms
RCV00000303,PO00000265,WH0025,2026-02-25,Partial,Passed,wms
RCV00000304,PO00000629,WH0012,2026-04-21,Received,Pending,wms
RCV00000305,PO00000306,WH0018,,Received,Passed,wms
RCV00000306,PO00000368,WH0016,,Received,Passed,wms
RCV00000307,PO00000310,WH0014,,Received,Passed,wms
RCV00000308,PO00000048,WH0017,2026-01-30,Rejected,Passed,wms
RCV00000309,PO00000502,WH0022,2026-06-09,Rejected,Pending,wms
RCV00000310,PO00000337,WH0004,2026-05-19,Rejected,Passed,wms
RCV00000311,PO00000078,WH0013,2026-05-05,Partial,Passed,wms
RCV00000312,PO00000677,WH0022,2026-04-14,Rejected,Passed,wms
RCV00000313,PO00000457,WH0004,,Partial,Failed,wms
RCV00000314,PO00000623,WH0022,,Rejected,Passed,wms
RCV00000315,PO00000673,WH0014,,Rejected,Passed,wms
RCV00000316,PO00000389,WH0022,,Received,Pending,wms
RCV00000317,PO00000784,WH0001,2026-03-09,Received,Pending,wms
RCV00000318,PO00000063,WH0016,2026-02-14,Partial,Passed,wms
RCV00000319,PO00000746,WH0023,2026-05-07,Rejected,Failed,wms
RCV00000320,PO00000591,WH0008,,Received,Passed,wms
RCV00000321,PO00000616,WH0024,2026-01-24,Received,Failed,wms
RCV00000322,PO00000312,WH0018,,Partial,Pending,wms
RCV00000323,PO00000535,WH0005,,Partial,Failed,wms
RCV00000324,PO_UNKNOWN,WH0011,2025-12-07,Rejected,Pending,wms
RCV00000325,PO00000367,WH0023,,Received,Passed,wms
RCV00000326,PO00000490,WH0014,2026-05-24,Received,Failed,wms
RCV00000327,PO00000471,WH0016,2026-03-16,Rejected,Passed,wms
RCV00000328,PO00000628,WH0001,2026-02-10,Received,Pending,wms
RCV00000329,PO00000385,WH0006,,Partial,Passed,wms
RCV00000330,PO00000560,WH0002,,Received,Failed,wms
RCV00000331,PO00000586,WH0002,2026-05-07,Rejected,Passed,wms
RCV00000332,PO00000776,WH0022,2026-06-06,Partial,Passed,wms
RCV00000333,PO00000287,WH0010,,Received,Passed,wms
RCV00000334,PO00000219,WH0016,2026-03-31,Rejected,Failed,wms
RCV00000335,PO00000469,WH0016,2026-02-11,Received,Failed,wms
RCV00000336,PO00000417,WH0006,2026-03-03,Received,Pending,wms
RCV00000337,PO00000406,WH0022,2026-05-12,Received,Failed,wms
RCV00000338,PO00000475,WH0015,,Received,Pending,wms
RCV00000339,PO00000796,WH0011,2026-01-30,Received,Failed,wms
RCV00000340,PO00000086,WH0024,2026-02-15,Received,Passed,wms
RCV00000341,PO00000213,WH0020,2026-03-25,Partial,Passed,wms
RCV00000342,PO00000400,WH0001,2026-03-14,Received,Failed,wms
RCV00000343,PO00000439,WH0005,,Received,Passed,wms
RCV00000344,PO00000055,WH0016,,Received,Pending,wms
RCV00000345,PO00000520,WH0016,,Rejected,Passed,wms
RCV00000346,PO00000694,WH0017,,Received,Passed,wms
RCV00000347,PO00000479,WH0004,2026-02-18,Received,Pending,wms
RCV00000348,PO00000789,WH0018,,Received,Passed,wms
RCV00000349,PO00000077,WH0010,,Rejected,Passed,wms
RCV00000350,PO00000676,WH0003,2026-03-12,Received,Pending,wms
RCV00000351,PO00000080,WH0005,,Received,Passed,wms
RCV00000352,PO00000412,WH0011,,Rejected,Passed,wms
RCV00000353,PO00000706,WH0004,2026-04-24,Received,Passed,wms
RCV00000354,PO00000695,WH0018,,Received,Failed,wms
RCV00000355,PO00000184,WH0015,,Received,Passed,wms
RCV00000356,PO00000276,WH0014,,Received,Passed,wms
RCV00000357,PO00000032,WH0001,,Rejected,Passed,wms
RCV00000358,PO00000044,WH0004,,Received,Pending,wms
RCV00000359,PO00000669,WH0018,2026-03-12,Received,Pending,wms
RCV00000360,PO00000458,WH0019,2026-04-25,Rejected,Failed,wms
RCV00000361,PO00000206,WH0003,,Partial,Passed,wms
RCV00000362,PO00000674,WH0011,,Received,Pending,wms
RCV00000363,PO00000175,WH0021,,Rejected,Pending,wms
RCV00000364,PO00000587,WH0013,2026-04-27,Received,Passed,wms
RCV00000365,PO00000580,WH0021,2026-02-28,Rejected,Passed,wms
RCV00000366,PO00000317,WH0003,,Received,Failed,wms
RCV00000367,PO00000005,WH0010,2026-01-04,Received,Passed,wms
RCV00000368,PO00000780,WH0022,,Received,Pending,wms
RCV00000369,PO00000288,WH0025,2026-03-09,Received,Pending,wms
RCV00000370,PO00000112,WH0006,2026-03-24,Received,Passed,wms
RCV00000371,PO00000608,WH0023,,Rejected,Passed,wms
RCV00000372,PO00000526,WH0023,2026-04-25,Partial,Pending,wms
RCV00000373,PO00000619,WH0007,2026-03-14,Rejected,Passed,wms
RCV00000374,PO00000307,WH0016,,Received,Passed,wms
RCV00000375,PO00000140,WH0009,,Rejected,Pending,wms
RCV00000376,PO00000763,WH0010,,Rejected,Failed,wms
RCV00000377,PO00000015,WH0006,2026-02-07,Received,Passed,wms
RCV00000378,PO00000358,WH0008,,Received,Failed,wms
RCV00000379,PO00000392,WH0003,,Received,Failed,wms
RCV00000380,PO00000263,WH0022,,Partial,Failed,wms
RCV00000381,PO00000192,WH0012,,Partial,Failed,wms
RCV00000382,PO00000188,WH0020,,Received,Pending,wms
RCV00000383,PO00000239,WH0008,2026-01-18,Rejected,Pending,wms
RCV00000384,PO00000104,WH0001,,Received,Passed,wms
RCV00000385,PO00000491,WH0005,2026-05-27,Partial,Pending,wms
RCV00000386,PO00000347,WH0005,2026-02-03,Received,Pending,wms
RCV00000387,PO00000267,WH0018,2025-12-30,Received,Passed,wms
RCV00000388,PO00000536,WH0009,2026-03-04,Rejected,Passed,wms
RCV00000389,PO00000014,WH0021,,Partial,Pending,wms
RCV00000390,PO00000614,WH0011,2026-01-27,Received,Pending,wms
RCV00000391,PO00000031,WH0020,2026-02-12,Rejected,Passed,wms
RCV00000392,PO00000313,WH0025,2026-04-09,Received,Pending,wms
RCV00000393,PO00000143,WH0008,,Received,Pending,wms
RCV00000394,PO00000142,WH0022,2026-04-10,Received,Pending,wms
RCV00000395,PO00000473,WH0011,2026-05-20,Partial,Passed,wms
RCV00000396,PO00000060,WH0004,2026-03-30,Received,Failed,wms
RCV00000397,PO00000648,WH0006,,Received,Passed,wms
RCV00000398,PO00000598,WH0023,,Received,Passed,wms
RCV00000399,PO00000197,WH0021,,Received,Pending,wms
RCV00000400,PO00000247,WH0016,2026-03-13,Rejected,Failed,wms
RCV00000401,PO00000565,WH0016,,Received,Passed,wms
RCV00000402,PO00000118,WH0011,2026-01-15,Partial,Pending,wms
RCV00000403,PO00000555,WH0020,2026-06-12,Rejected,Pending,wms
RCV00000404,PO00000707,WH0022,,Received,Pending,wms
RCV00000405,PO00000655,WH0021,2026-02-23,Partial,Failed,wms
RCV00000406,PO00000286,WH0010,2026-01-26,Rejected,Pending,wms
RCV00000407,PO00000476,WH0006,,Rejected,Passed,wms
RCV00000408,PO00000012,WH0024,,Partial,Passed,wms
RCV00000409,PO00000460,WH0024,2026-04-06,Received,Failed,wms
RCV00000410,PO00000544,WH0014,2026-05-25,Rejected,Passed,wms
RCV00000411,PO00000065,WH0003,,Received,Passed,wms
RCV00000412,PO00000348,WH0012,2026-06-07,Rejected,Pending,wms
RCV00000413,PO00000100,WH0023,,Received,Pending,wms
RCV00000414,PO00000519,WH0004,,Rejected,Passed,wms
RCV00000415,PO00000453,WH0010,,Received,Failed,wms
RCV00000416,PO00000251,WH0024,2025-12-19,Received,Passed,wms
RCV00000417,PO00000135,WH0002,,Received,Passed,wms
RCV00000418,PO00000531,WH0012,2026-04-12,Partial,Pending,wms
RCV00000419,PO00000741,WH0010,,Received,Passed,wms
RCV00000420,PO00000540,WH0019,2026-01-25,Received,Passed,wms
RCV00000421,PO00000771,WH0014,,Received,Pending,wms
RCV00000422,PO00000115,WH0020,2026-02-04,Received,Failed,wms
RCV00000423,PO00000424,WH0002,,Partial,Failed,wms
RCV00000424,PO00000013,WH0019,,Rejected,Passed,wms
