snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty,available_qty,reorder_point,safety_stock_qty,inventory_status,valid_inventory_qty
2026-01-31,WH0001,SKU0000031,1894.0,465,1429,250,25,Stockout,True
2026-01-31,WH0001,SKU0000291,835.0,442,393,500,25,Low,True
2026-01-31,WH0001,SKU0000235,1083.0,465,618,100,100,Overstock,True
2026-01-31,WH0001,SKU0000330,294.0,61,233,500,50,Stockout,True
2026-01-31,WH0001,SKU0000153,1639.0,136,1503,500,200,Overstock,True
2026-01-31,WH0001,SKU0000102,1751.0,123,1628,500,100,Healthy,True
2026-01-31,WH0001,SKU0000073,865.0,14,851,50,25,Healthy,True
2026-01-31,WH0001,SKU0000180,83.0,56,27,100,50,Stockout,True
2026-01-31,WH0001,SKU0000255,1261.0,161,1100,100,100,Healthy,True
2026-01-31,WH0001,SKU0000603,495.0,108,387,500,25,Healthy,True
2026-01-31,WH0001,SKU0000106,1209.0,57,1152,100,200,Low,True
2026-01-31,WH0001,SKU0000289,248.0,217,31,100,100,Overstock,True
2026-01-31,WH0001,SKU0000281,1656.0,292,1364,500,25,Healthy,True
2026-01-31,WH0001,SKU0000411,1752.0,153,1599,100,100,Stockout,True
2026-01-31,WH0001,SKU0000156,291.0,193,98,100,50,Healthy,True
2026-01-31,WH0001,SKU0000543,1234.0,394,840,100,50,Stockout,True
2026-01-31,WH0001,SKU0000077,1739.0,379,1360,100,25,Low,True
2026-01-31,WH0001,SKU0000167,459.0,242,217,250,50,Healthy,True
2026-01-31,WH0001,SKU0000410,231.0,194,37,100,50,Stockout,True
2026-01-31,WH0001,SKU0000675,260.0,248,12,100,200,Healthy,True
2026-01-31,WH0001,SKU0000322,1953.0,433,1520,100,25,Stockout,True
2026-01-31,WH0001,SKU0000644,1625.0,30,1595,50,25,Healthy,True
2026-01-31,WH0001,SKU0000487,859.0,242,617,500,25,Healthy,True
2026-01-31,WH0001,SKU0000091,89.0,51,38,50,25,Overstock,True
2026-01-31,WH0001,SKU0000014,966.0,268,698,500,50,Low,True
2026-01-31,WH0001,SKU0000142,955.0,122,833,500,100,Stockout,True
2026-01-31,WH0001,SKU0000027,697.0,235,462,250,100,Low,True
2026-01-31,WH0001,SKU0000567,1690.0,145,1545,500,50,Stockout,True
2026-01-31,WH0001,SKU0000521,749.0,397,352,250,25,Healthy,True
2026-01-31,WH0001,SKU0000525,144.0,27,117,250,25,Stockout,True
2026-01-31,WH0001,SKU0000494,1035.0,129,906,100,200,Healthy,True
2026-01-31,WH0001,SKU0000119,108.0,46,62,500,200,Low,True
2026-01-31,WH0001,SKU0000468,925.0,335,590,50,100,Stockout,True
2026-01-31,WH0001,SKU0000558,1645.0,161,1484,250,200,Healthy,True
2026-01-31,WH0001,SKU0000416,1173.0,421,752,250,200,Stockout,True
2026-01-31,WH0001,SKU0000111,1457.0,462,995,250,25,Overstock,True
2026-01-31,WH0001,SKU0000269,70.0,54,16,50,100,Stockout,True
2026-01-31,WH0001,SKU0000285,1817.0,481,1336,250,50,Low,True
2026-01-31,WH0001,SKU0000590,1767.0,256,1511,250,50,Healthy,True
2026-01-31,WH0001,SKU0000527,227.0,35,192,500,200,Healthy,True
2026-01-31,WH0001,SKU0000133,1847.0,422,1425,500,200,Low,True
2026-01-31,WH0001,SKU0000155,1024.0,476,548,500,200,Overstock,True
2026-01-31,WH0001,SKU0000244,1146.0,367,779,50,100,Overstock,True
2026-01-31,WH0001,SKU0000181,763.0,311,452,50,200,Low,True
2026-01-31,WH0001,SKU0000056,30.0,20,10,500,25,Healthy,True
2026-01-31,WH0001,SKU0000135,636.0,37,599,250,100,Overstock,True
2026-01-31,WH0001,SKU0000452,1461.0,36,1425,500,200,Overstock,True
2026-01-31,WH0001,SKU0000217,0.0,0,0,50,50,Overstock,True
2026-01-31,WH0001,SKU0000631,761.0,313,448,50,200,Healthy,True
2026-01-31,WH0001,SKU0000007,1256.0,121,1135,50,200,Healthy,True
2026-01-31,WH0001,SKU0000081,1777.0,473,1304,100,200,Healthy,True
2026-01-31,WH0001,SKU0000296,1616.0,160,1456,250,50,Healthy,True
2026-01-31,WH0001,SKU0000034,519.0,87,432,100,25,Healthy,True
2026-01-31,WH0001,SKU0000290,1787.0,193,1594,500,200,Overstock,True
2026-01-31,WH0001,SKU0000216,773.0,22,751,500,200,Healthy,True
2026-01-31,WH0001,SKU0000122,490.0,72,418,100,100,Healthy,True
2026-01-31,WH0001,SKU0000437,1387.0,227,1160,100,50,Low,True
2026-01-31,WH0001,SKU0000628,801.0,288,513,50,25,Healthy,True
2026-01-31,WH0001,SKU0000470,851.0,267,584,500,100,Low,True
2026-01-31,WH0001,SKU0000243,185.0,74,111,100,200,Overstock,True
2026-01-31,WH0001,SKU0000068,23.0,3,20,500,50,Healthy,True
2026-01-31,WH0001,SKU0000063,1399.0,343,1056,100,25,Overstock,True
2026-01-31,WH0001,SKU0000195,65.0,59,6,100,100,Healthy,True
2026-01-31,WH0001,SKU0000445,22.0,15,7,100,100,Stockout,True
2026-01-31,WH0001,SKU0000222,369.0,179,190,250,25,Low,True
2026-01-31,WH0001,SKU0000233,571.0,264,307,50,200,Stockout,True
2026-01-31,WH0001,SKU0000448,743.0,37,706,100,100,Healthy,True
2026-01-31,WH0001,SKU0000021,1985.0,199,1786,500,100,Stockout,True
2026-01-31,WH0001,SKU0000606,1597.0,320,1277,100,25,Healthy,True
2026-01-31,WH0001,SKU0000053,66.0,43,23,250,50,Healthy,True
2026-01-31,WH0001,SKU0000342,486.0,121,365,50,50,Overstock,True
2026-01-31,WH0001,SKU0000385,896.0,130,766,100,100,Stockout,True
2026-01-31,WH0001,SKU_UNKNOWN,1356.0,200,1156,50,25,Healthy,True
2026-01-31,WH0001,SKU0000346,1381.0,411,970,50,25,Low,True
2026-01-31,WH0001,SKU0000226,1551.0,296,1255,100,50,Low,True
2026-01-31,WH0001,SKU0000572,966.0,106,860,100,200,Overstock,True
2026-01-31,WH0001,SKU0000402,653.0,334,319,250,25,Overstock,True
2026-01-31,WH0001,SKU0000052,1565.0,70,1495,250,50,Stockout,True
2026-01-31,WH0001,SKU0000177,490.0,368,122,250,100,Healthy,True
2026-01-31,WH0001,SKU0000359,430.0,42,388,100,25,Low,True
2026-01-31,WH0001,SKU0000245,345.0,60,285,50,50,Healthy,True
2026-01-31,WH0001,SKU0000565,545.0,202,343,500,50,Healthy,True
2026-01-31,WH0001,SKU0000239,266.0,153,113,50,200,Stockout,True
2026-01-31,WH0001,SKU0000673,1602.0,484,1118,250,25,Stockout,True
2026-01-31,WH0001,SKU0000573,1573.0,323,1250,50,200,Overstock,True
2026-01-31,WH0001,SKU0000506,401.0,114,287,50,25,Stockout,True
2026-01-31,WH0001,SKU0000261,1535.0,19,1516,100,25,Stockout,True
2026-01-31,WH0001,SKU0000382,1792.0,350,1442,100,200,Healthy,True
2026-01-31,WH0001,SKU0000070,1062.0,149,913,100,100,Healthy,True
2026-01-31,WH0001,SKU0000614,1810.0,402,1408,50,100,Stockout,True
2026-01-31,WH0001,SKU0000178,1267.0,254,1013,100,50,Healthy,True
2026-01-31,WH0001,SKU0000032,1439.0,19,1420,50,100,Overstock,True
2026-01-31,WH0001,SKU0000491,310.0,48,262,50,50,Low,True
2026-01-31,WH0001,SKU0000219,1187.0,333,854,250,25,Low,True
2026-01-31,WH0001,SKU0000403,1953.0,204,1749,100,100,Overstock,True
2026-01-31,WH0001,SKU0000318,1645.0,271,1374,250,25,Low,True
2026-01-31,WH0001,SKU0000305,1150.0,149,1001,50,25,Stockout,True
2026-01-31,WH0001,SKU0000596,1440.0,432,1008,100,100,Healthy,True
2026-01-31,WH0001,SKU0000621,1537.0,67,1470,500,100,Low,True
2026-01-31,WH0001,SKU0000379,38.0,6,32,50,50,Healthy,True
2026-01-31,WH0001,SKU0000309,1926.0,160,1766,250,50,Healthy,True
2026-01-31,WH0001,SKU0000562,208.0,150,58,50,200,Healthy,True
2026-01-31,WH0001,SKU0000005,979.0,4,975,50,200,Overstock,True
2026-01-31,WH0001,SKU0000273,1121.0,449,672,50,100,Overstock,True
2026-01-31,WH0001,SKU0000413,1044.0,138,906,250,200,Healthy,True
2026-01-31,WH0001,SKU0000337,617.0,290,327,100,25,Low,True
2026-01-31,WH0001,SKU0000629,330.0,153,177,250,25,Healthy,True
2026-01-31,WH0001,SKU0000415,44.0,1,43,250,100,Stockout,True
2026-01-31,WH0001,SKU0000493,1725.0,48,1677,500,50,Low,True
2026-01-31,WH0001,SKU0000583,1443.0,238,1205,500,200,Overstock,True
2026-01-31,WH0001,SKU0000236,1379.0,316,1063,50,100,Healthy,True
2026-01-31,WH0001,SKU0000301,142.0,120,22,250,200,Healthy,True
2026-01-31,WH0001,SKU0000372,1744.0,208,1536,100,200,Low,True
2026-01-31,WH0001,SKU0000132,1601.0,461,1140,500,200,Healthy,True
2026-01-31,WH0001,SKU0000050,1404.0,477,927,500,100,Low,True
2026-01-31,WH0001,SKU0000646,1432.0,421,1011,250,200,Healthy,True
2026-01-31,WH0001,SKU0000017,1096.0,411,685,100,200,Stockout,True
2026-01-31,WH0001,SKU0000537,862.0,292,570,500,25,Healthy,True
2026-01-31,WH0001,SKU0000054,457.0,387,70,100,25,Low,True
2026-01-31,WH0001,SKU0000666,710.0,370,340,500,50,Overstock,True
2026-01-31,WH0001,SKU0000400,978.0,287,691,100,200,Overstock,True
2026-01-31,WH0001,SKU0000193,1119.0,445,674,50,50,Stockout,True
2026-01-31,WH0001,SKU0000600,595.0,28,567,50,100,Healthy,True
2026-01-31,WH0001,SKU0000179,836.0,388,448,250,200,Stockout,True
2026-01-31,WH0001,SKU0000523,1308.0,259,1049,100,50,Stockout,True
2026-01-31,WH0001,SKU0000037,1715.0,144,1571,250,100,Stockout,True
2026-01-31,WH0001,SKU0000192,206.0,160,46,50,25,Stockout,True
2026-01-31,WH0001,SKU0000019,1051.0,83,968,500,200,Overstock,True
2026-01-31,WH0001,SKU0000578,823.0,101,722,500,100,Healthy,True
2026-01-31,WH0001,SKU0000412,157.0,23,134,50,25,Healthy,True
2026-01-31,WH0001,SKU0000029,1173.0,377,796,250,25,Overstock,True
2026-01-31,WH0001,SKU0000160,631.0,154,477,250,100,Overstock,True
2026-01-31,WH0001,SKU0000659,1274.0,292,982,500,200,Healthy,True
2026-01-31,WH0002,SKU0000161,130.0,2,128,50,100,Low,True
2026-01-31,WH0002,SKU0000359,764.0,145,619,500,200,Overstock,True
2026-01-31,WH0002,SKU0000056,1309.0,126,1183,250,50,Healthy,True
2026-01-31,WH0002,SKU0000031,1108.0,304,804,500,100,Stockout,True
2026-01-31,WH0002,SKU0000159,64.0,28,36,100,200,Overstock,True
2026-01-31,WH0002,SKU0000091,402.0,124,278,100,200,Healthy,True
2026-01-31,WH0002,SKU0000118,630.0,99,531,100,25,Overstock,True
2026-01-31,WH0002,SKU0000274,206.0,89,117,500,100,Low,True
2026-01-31,WH0002,SKU0000346,1493.0,317,1176,250,100,Healthy,True
2026-01-31,WH0002,SKU0000331,1388.0,191,1197,50,200,Stockout,True
2026-01-31,WH0002,SKU0000521,1736.0,220,1516,250,50,Healthy,True
2026-01-31,WH0002,SKU0000563,568.0,305,263,50,100,Low,True
2026-01-31,WH0002,SKU0000167,1952.0,413,1539,250,100,Healthy,True
2026-01-31,WH0002,SKU0000205,328.0,220,108,100,100,Healthy,True
2026-01-31,WH0002,SKU0000534,1448.0,6,1442,500,25,Healthy,True
2026-01-31,WH0002,SKU0000226,892.0,252,640,500,200,Stockout,True
2026-01-31,WH0002,SKU0000485,711.0,145,566,250,200,Stockout,True
2026-01-31,WH0002,SKU0000437,361.0,52,309,500,50,Low,True
2026-01-31,WH0002,SKU0000661,1190.0,187,1003,500,200,Stockout,True
2026-01-31,WH0002,SKU0000602,1219.0,188,1031,100,25,Healthy,True
2026-01-31,WH0002,SKU0000478,1032.0,239,793,50,25,Stockout,True
2026-01-31,WH0002,SKU0000231,1158.0,436,722,50,50,Healthy,True
2026-01-31,WH0002,SKU0000173,534.0,179,355,250,100,Overstock,True
2026-01-31,WH0002,SKU0000110,1114.0,250,864,500,25,Low,True
2026-01-31,WH0002,SKU0000320,15.0,3,12,500,100,Healthy,True
2026-01-31,WH0002,SKU0000666,1105.0,452,653,500,200,Healthy,True
2026-01-31,WH0002,SKU0000673,327.0,277,50,250,25,Healthy,True
2026-01-31,WH0002,SKU0000494,431.0,189,242,50,25,Healthy,True
2026-01-31,WH0002,SKU0000294,1407.0,211,1196,50,25,Healthy,True
2026-01-31,WH0002,SKU0000528,273.0,212,61,250,100,Stockout,True
2026-01-31,WH0002,SKU0000593,1223.0,107,1116,500,200,Low,True
2026-01-31,WH0002,SKU0000313,1865.0,131,1734,100,100,Low,True
2026-01-31,WH0002,SKU0000032,806.0,460,346,250,100,Healthy,True
2026-01-31,WH0002,SKU0000452,13.0,11,2,50,50,Healthy,True
2026-01-31,WH0002,SKU0000148,689.0,495,194,250,25,Healthy,True
2026-01-31,WH0002,SKU0000675,1681.0,161,1520,50,200,Stockout,True
2026-01-31,WH0002,SKU0000181,742.0,482,260,250,25,Healthy,True
2026-01-31,WH0002,SKU0000305,209.0,124,85,50,50,Healthy,True
2026-01-31,WH0002,SKU0000612,1697.0,255,1442,250,50,Stockout,True
2026-01-31,WH0002,SKU0000243,921.0,399,522,50,100,Healthy,True
2026-01-31,WH0002,SKU0000042,360.0,205,155,250,200,Stockout,True
2026-01-31,WH0002,SKU0000150,113.0,92,21,250,50,Overstock,True
2026-01-31,WH0002,SKU0000402,306.0,9,297,100,100,Low,True
2026-01-31,WH0002,SKU0000081,181.0,170,11,250,100,Healthy,True
2026-01-31,WH0002,SKU0000193,1583.0,452,1131,500,50,Low,True
2026-01-31,WH0002,SKU0000020,500.0,88,412,250,200,Healthy,True
2026-01-31,WH0002,SKU0000144,169.0,139,30,500,25,Healthy,True
2026-01-31,WH0002,SKU0000236,161.0,158,3,50,25,Low,True
2026-01-31,WH0002,SKU0000348,1047.0,336,711,250,50,Low,True
2026-01-31,WH0002,SKU0000061,909.0,406,503,100,25,Healthy,True
2026-01-31,WH0002,SKU0000644,1206.0,16,1190,500,25,Overstock,True
2026-01-31,WH0002,SKU0000244,689.0,265,424,50,100,Stockout,True
2026-01-31,WH0002,SKU0000493,1260.0,261,999,100,25,Healthy,True
2026-01-31,WH0002,SKU0000363,1532.0,160,1372,500,25,Overstock,True
2026-01-31,WH0002,SKU0000040,546.0,254,292,500,200,Stockout,True
2026-01-31,WH0002,SKU0000567,1078.0,150,928,500,50,Healthy,True
2026-01-31,WH0002,SKU0000590,1999.0,305,1694,500,200,Stockout,True
2026-01-31,WH0002,SKU0000384,596.0,131,465,50,100,Overstock,True
2026-01-31,WH0002,SKU0000585,44.0,20,24,100,200,Low,True
2026-01-31,WH0002,SKU0000523,200.0,171,29,100,50,Low,True
2026-01-31,WH0002,SKU0000171,907.0,471,436,100,25,Healthy,True
2026-01-31,WH0002,SKU0000068,1886.0,365,1521,100,25,Healthy,True
2026-01-31,WH0002,SKU0000500,158.0,86,72,500,100,Healthy,True
2026-01-31,WH0002,SKU0000164,1920.0,231,1689,50,200,Low,True
2026-01-31,WH0002,SKU0000527,535.0,45,490,50,200,Low,True
2026-01-31,WH0002,SKU0000373,1185.0,26,1159,50,100,Overstock,True
2026-01-31,WH0002,SKU0000104,1417.0,298,1119,500,25,Low,True
2026-01-31,WH0002,SKU0000379,80.0,55,25,100,50,Stockout,True
2026-01-31,WH0002,SKU0000525,17.0,2,15,250,200,Stockout,True
2026-01-31,WH0002,SKU0000601,1106.0,264,842,50,25,Overstock,True
2026-01-31,WH0002,SKU0000323,738.0,287,451,250,100,Overstock,True
2026-01-31,WH0002,SKU0000375,390.0,56,334,500,200,Healthy,True
2026-01-31,WH0002,SKU0000422,1193.0,85,1108,250,200,Healthy,True
2026-01-31,WH0002,SKU0000075,598.0,127,471,500,25,Low,True
2026-01-31,WH0002,SKU0000529,1278.0,90,1188,50,200,Overstock,True
2026-01-31,WH0002,SKU0000405,730.0,480,250,250,100,Healthy,True
2026-01-31,WH0002,SKU0000535,783.0,411,372,50,200,Healthy,True
2026-01-31,WH0002,SKU0000443,525.0,213,312,500,25,Overstock,True
2026-01-31,WH0002,SKU0000627,1278.0,479,799,250,50,Healthy,True
2026-01-31,WH0002,SKU0000049,1500.0,268,1232,500,200,Stockout,True
2026-01-31,WH0002,SKU0000194,1723.0,67,1656,250,25,Low,True
2026-01-31,WH0002,SKU0000223,1576.0,259,1317,100,100,Healthy,True
2026-01-31,WH0002,SKU0000235,284.0,93,191,50,200,Healthy,True
2026-01-31,WH0002,SKU0000034,972.0,296,676,50,200,Healthy,True
2026-01-31,WH0002,SKU0000289,1252.0,3,1249,50,200,Healthy,True
2026-01-31,WH0002,SKU0000285,311.0,123,188,250,50,Healthy,True
2026-01-31,WH0002,SKU0000416,1749.0,372,1377,250,100,Overstock,True
2026-01-31,WH0002,SKU0000429,380.0,348,32,50,25,Overstock,True
2026-01-31,WH0002,SKU0000153,1220.0,487,733,250,25,Low,True
2026-01-31,WH0002,SKU0000546,197.0,36,161,250,25,Overstock,True
2026-01-31,WH0002,SKU0000389,158.0,9,149,250,25,Healthy,True
2026-01-31,WH0002,SKU0000065,1783.0,313,1470,250,25,Stockout,True
2026-01-31,WH0002,SKU0000614,609.0,473,136,250,50,Low,True
2026-01-31,WH0002,SKU0000111,979.0,402,577,100,100,Stockout,True
2026-01-31,WH0002,SKU0000338,1076.0,310,766,50,25,Healthy,True
2026-01-31,WH0002,SKU_UNKNOWN,619.0,452,167,100,50,Healthy,True
2026-01-31,WH0002,SKU0000321,1725.0,27,1698,500,25,Healthy,True
2026-01-31,WH0002,SKU0000157,1696.0,5,1691,250,100,Overstock,True
2026-01-31,WH0002,SKU0000509,1057.0,71,986,100,25,Low,True
2026-01-31,WH0002,SKU0000206,1647.0,172,1475,500,100,Stockout,True
2026-01-31,WH0002,SKU0000145,4.0,2,2,100,100,Low,True
2026-01-31,WH0002,SKU0000027,1024.0,433,591,100,200,Overstock,True
2026-01-31,WH0002,SKU0000519,0.0,0,0,500,100,Healthy,True
2026-01-31,WH0002,SKU0000233,1734.0,51,1683,500,25,Stockout,True
2026-01-31,WH0002,SKU0000012,829.0,211,618,250,200,Low,True
2026-01-31,WH0002,SKU0000132,1558.0,246,1312,50,100,Healthy,True
2026-01-31,WH0002,SKU0000360,1783.0,286,1497,250,200,Healthy,True
2026-01-31,WH0002,SKU0000467,440.0,428,12,250,200,Healthy,True
2026-01-31,WH0002,SKU0000046,1016.0,238,778,50,200,Stockout,True
2026-01-31,WH0002,SKU0000586,493.0,132,361,100,25,Healthy,True
2026-01-31,WH0002,SKU0000554,1537.0,414,1123,250,100,Healthy,True
2026-01-31,WH0002,SKU0000578,149.0,99,50,250,25,Low,True
2026-01-31,WH0002,SKU0000230,731.0,8,723,500,25,Overstock,True
2026-01-31,WH0002,SKU0000301,1311.0,44,1267,50,200,Healthy,True
2026-01-31,WH0002,SKU0000491,1703.0,78,1625,100,50,Stockout,True
2026-01-31,WH0002,SKU0000092,678.0,445,233,250,100,Overstock,True
2026-01-31,WH0002,SKU0000660,1157.0,255,902,250,100,Overstock,True
2026-01-31,WH0002,SKU0000628,173.0,169,4,500,100,Healthy,True
2026-01-31,WH0002,SKU0000293,725.0,429,296,100,200,Healthy,True
2026-01-31,WH0002,SKU0000665,1090.0,469,621,500,25,Healthy,True
2026-01-31,WH0002,SKU0000626,601.0,132,469,100,25,Stockout,True
2026-01-31,WH0002,SKU0000010,144.0,92,52,50,100,Overstock,True
2026-01-31,WH0002,SKU0000671,866.0,237,629,50,50,Low,True
2026-01-31,WH0002,SKU0000483,276.0,68,208,250,50,Low,True
2026-01-31,WH0002,SKU0000646,1405.0,284,1121,100,200,Low,True
2026-01-31,WH0002,SKU0000657,1367.0,368,999,50,25,Low,True
2026-01-31,WH0002,SKU0000088,797.0,389,408,50,100,Healthy,True
2026-01-31,WH0002,SKU0000261,1488.0,33,1455,100,100,Overstock,True
2026-01-31,WH0002,SKU0000545,452.0,16,436,500,25,Stockout,True
2026-01-31,WH0002,SKU0000517,1647.0,366,1281,250,200,Healthy,True
2026-01-31,WH0002,SKU0000099,958.0,302,656,250,100,Overstock,True
2026-01-31,WH0002,SKU0000468,460.0,362,98,250,100,Overstock,True
2026-01-31,WH0002,SKU0000515,1581.0,247,1334,50,200,Overstock,True
2026-01-31,WH0002,SKU0000676,1109.0,381,728,250,100,Overstock,True
2026-01-31,WH0002,SKU0000365,674.0,158,516,100,50,Healthy,True
2026-01-31,WH0002,SKU0000367,535.0,134,401,100,200,Healthy,True
2026-01-31,WH0002,SKU0000606,1344.0,499,845,50,200,Low,True
2026-01-31,WH0002,SKU0000208,368.0,119,249,100,50,Healthy,True
2026-01-31,WH0002,SKU0000677,1958.0,2,1956,250,100,Stockout,True
2026-01-31,WH0002,SKU0000286,897.0,461,436,100,25,Low,True
2026-01-31,WH0002,SKU0000106,1526.0,393,1133,500,25,Healthy,True
2026-01-31,WH0002,SKU0000138,1885.0,348,1537,100,50,Stockout,True
2026-01-31,WH0002,SKU0000191,1035.0,359,676,250,25,Healthy,True
2026-01-31,WH0002,SKU0000654,337.0,59,278,250,200,Stockout,True
2026-01-31,WH0002,SKU0000531,1603.0,19,1584,250,200,Healthy,True
2026-01-31,WH0002,SKU0000492,502.0,366,136,50,25,Stockout,True
2026-01-31,WH0002,SKU0000296,214.0,204,10,250,100,Stockout,True
2026-01-31,WH0002,SKU0000123,1180.0,487,693,500,200,Healthy,True
2026-01-31,WH0002,SKU0000178,158.0,24,134,100,50,Healthy,True
2026-01-31,WH0002,SKU0000234,1004.0,70,934,100,25,Stockout,True
2026-01-31,WH0002,SKU0000308,58.0,49,9,100,50,Low,True
2026-01-31,WH0002,SKU0000383,1426.0,188,1238,500,200,Overstock,True
2026-01-31,WH0002,SKU0000487,266.0,85,181,250,200,Low,True
2026-01-31,WH0002,SKU0000275,212.0,20,192,100,25,Low,True
2026-01-31,WH0002,SKU0000532,248.0,31,217,500,100,Overstock,True
2026-01-31,WH0002,SKU0000333,630.0,320,310,500,50,Low,True
2026-01-31,WH0002,SKU0000221,1984.0,370,1614,500,100,Healthy,True
2026-01-31,WH0002,SKU0000488,1917.0,375,1542,250,100,Low,True
2026-01-31,WH0002,SKU0000596,1092.0,449,643,50,50,Low,True
2026-01-31,WH0002,SKU0000597,563.0,0,563,50,100,Healthy,True
