supplier_id,po_count,ordered_units,po_spend_usd,supplier_name,supplier_tier,country,quality_score,on_time_delivery_rate,received_units,avg_fill_rate,late_receipt_count,receipt_count,computed_on_time_rate
SUP00007,4,2650.0,313209.5,Evergreen Supplier 7,Preferred,DEU,85.85,0.966,1675.0,0.7785714285714286,5.0,4.0,-0.25
SUP00041,5,4600.0,340072.96655,Evergreen Supplier 41,Preferred,CAN,87.19,0.7649,910.0,0.7833333333333333,0.0,2.0,1.0
SUP00119,7,8100.0,919445.0,Pioneer Supplier 119,Preferred,MEX,84.31,0.8626,3400.0,0.7833333333333333,0.0,4.0,1.0
SUP00058,4,3200.0,306482.895885,Pioneer Supplier 58,Backup,DEU,82.67,0.9715,1655.0,0.79,3.0,4.0,0.25
SUP00052,11,11650.0,1125524.56222,Global Supplier 52,Preferred,MEX,74.88,0.6556,4310.0,0.7909090909090909,2.0,8.0,0.75
SUP00089,7,1550.0,97799.07824850001,Evergreen Supplier 89,Preferred,USA,93.68,0.9887,762.0,0.798,1.0,4.0,0.75
SUP00078,11,6950.0,774835.079045,Global Supplier 78,Preferred,MEX,90.09,0.9601,3262.0,0.799,0.0,6.0,1.0
SUP00069,3,3200.0,597723.0,Atlas Supplier 69,Preferred,MEX,75.23,0.975,80.0,0.8,1.0,2.0,0.5
SUP00112,8,2850.0,470843.57363,Sterling Supplier 112,Backup,MEX,93.9,0.8838,850.0,0.8,1.0,5.0,0.8
SUP00064,11,7500.0,706663.5850555,Global Supplier 64,Backup,MEX,95.46,0.9305,2860.0,0.8136363636363636,5.0,9.0,0.4444444444444444
SUP00088,3,950.0,20930.358132,Pioneer Supplier 88,Preferred,DEU,77.47,0.8607,850.0,0.82,0.0,2.0,1.0
SUP00010,7,3450.0,216061.382476,Pioneer Supplier 10,Preferred,VNM,70.34,0.824,2137.0,0.82375,4.0,6.0,0.33333333333333337
SUP00096,6,2250.0,404628.951849,Pioneer Supplier 96,Strategic,VNM,87.8,0.7444,1737.0,0.8275555555555556,0.0,5.0,1.0
SUP00043,7,4100.0,299787.352985,Atlas Supplier 43,Preferred,MEX,83.67,0.808,1987.0,0.8316666666666667,1.0,4.0,0.75
SUP00036,3,1950.0,74997.886132,Pioneer Supplier 36,Standard,MEX,75.82,0.7984,1225.0,0.8333333333333334,2.0,3.0,0.33333333333333337
SUP00051,6,5300.0,726553.5714,Global Supplier 51,Strategic,MEX,73.22,0.919,1625.0,0.8333333333333334,1.0,3.0,0.6666666666666667
SUP00074,12,8800.0,1051881.614216,Global Supplier 74,Preferred,MEX,86.66,0.6838,6485.0,0.8368421052631579,7.0,11.0,0.36363636363636365
SUP00056,7,9950.0,784371.85855,Atlas Supplier 56,Preferred,CAN,89.12,0.9325,7442.0,0.837375,10.0,7.0,-0.4285714285714286
SUP00018,7,6350.0,702385.7190235,Sterling Supplier 18,Strategic,MEX,89.9,0.7734,3360.0,0.8375,0.0,5.0,1.0
SUP00008,5,2950.0,198162.4074455,Pioneer Supplier 8,Standard,CAN,81.72,0.9475,1867.0,0.8496666666666667,0.0,2.0,1.0
SUP00019,4,3700.0,535792.0872150001,Atlas Supplier 19,Preferred,USA,81.98,0.7405,2475.0,0.85,1.0,3.0,0.6666666666666667
SUP00070,4,2650.0,229724.0091,Quantum Supplier 70,Standard,MEX,74.02,0.8603,1510.0,0.85,0.0,3.0,1.0
SUP00099,10,5000.0,627040.6142455,Pioneer Supplier 99,Preferred,DEU,97.12,0.8762,1689.0,0.8527272727272728,1.0,7.0,0.8571428571428572
SUP00083,5,2650.0,341925.0,Atlas Supplier 83,Backup,CHN,70.99,0.8745,1971.0,0.8535,0.0,5.0,1.0
SUP00023,7,3300.0,226750.5104,Global Supplier 23,Backup,IND,84.28,0.8268,1797.0,0.855,0.0,5.0,1.0
SUP00071,3,3150.0,160640.63413750002,Sterling Supplier 71,Preferred,IND,99.05,0.6578,2074.0,0.8554285714285713,0.0,3.0,1.0
SUP00101,6,3550.0,538077.934335,Pioneer Supplier 101,Preferred,VNM,94.72,0.97,1812.0,0.8557142857142858,4.0,5.0,0.19999999999999996
SUP00017,5,4250.0,763474.082083,Atlas Supplier 17,Backup,VNM,96.4,0.6738,1372.0,0.8600000000000001,2.0,2.0,0.0
SUP00104,2,550.0,22432.5,Global Supplier 104,Preferred,VNM,75.04,0.7743,450.0,0.8666666666666667,1.0,2.0,0.5
SUP00028,4,2600.0,601737.5,Evergreen Supplier 28,Preferred,DEU,75.5,0.7002,2225.0,0.8666666666666667,1.0,3.0,0.6666666666666667
SUP00081,3,1100.0,218310.0,Global Supplier 81,Preferred,CAN,78.26,0.8291,900.0,0.8666666666666667,1.0,3.0,0.6666666666666667
SUP00004,3,1300.0,172677.577705,Quantum Supplier 4,Preferred,MEX,97.23,0.6919,1012.0,0.868,0.0,3.0,1.0
SUP00106,4,3450.0,296369.187545,Global Supplier 106,Preferred,IND,98.96,0.7395,692.0,0.868,0.0,2.0,1.0
SUP00095,7,1850.0,252623.815536,Quantum Supplier 95,Preferred,CHN,,0.8442,977.0,0.8685,0.0,6.0,1.0
SUP00014,5,4550.0,129537.797549,Evergreen Supplier 14,Strategic,IND,87.03,0.9578,2485.0,0.86875,2.0,4.0,0.5
SUP00040,8,8150.0,848234.1489650001,Evergreen Supplier 40,Preferred,VNM,88.67,0.86,3724.0,0.8698333333333333,4.0,6.0,0.33333333333333337
SUP00108,4,1500.0,105765.25177999999,Atlas Supplier 108,Backup,IND,79.97,0.8455,287.0,0.87,1.0,2.0,0.5
SUP00079,6,5600.0,969947.1934175,Pioneer Supplier 79,Backup,CAN,79.68,0.6599,2992.0,0.8711428571428571,0.0,5.0,1.0
SUP00011,8,6700.0,679927.003028,Sterling Supplier 11,Preferred,CAN,77.32,0.7948,2230.0,0.8714285714285713,0.0,5.0,1.0
SUP00053,8,5100.0,577423.419105,Pioneer Supplier 53,Strategic,IND,98.49,0.714,2350.0,0.8722222222222222,4.0,7.0,0.4285714285714286
SUP00066,7,7050.0,1124540.792546,Global Supplier 66,Strategic,CAN,83.71,0.9425,4675.0,0.8727272727272727,4.0,5.0,0.19999999999999996
SUP00097,3,4250.0,608702.5,Sterling Supplier 97,Preferred,IND,70.59,0.6568,625.0,0.875,1.0,2.0,0.5
SUP00080,3,1450.0,158517.0,Quantum Supplier 80,Strategic,VNM,81.58,0.9045,1175.0,0.875,1.0,3.0,0.6666666666666667
SUP00039,4,1500.0,181157.32191,Global Supplier 39,Standard,CAN,96.0,0.9336,905.0,0.8833333333333334,0.0,3.0,1.0
SUP00062,11,8150.0,743235.00381,Pioneer Supplier 62,Preferred,VNM,93.23,0.7195,2912.0,0.8848,1.0,8.0,0.875
SUP00015,8,5950.0,867795.8299305,Quantum Supplier 15,Standard,DEU,81.71,0.8997,4300.0,0.885,2.0,7.0,0.7142857142857143
SUP00013,10,9200.0,1547085.015507,Sterling Supplier 13,Strategic,VNM,96.26,0.9752,6397.0,0.8866666666666667,4.0,9.0,0.5555555555555556
SUP00021,5,3600.0,389391.511736,Pioneer Supplier 21,Preferred,DEU,74.17,0.8471,2390.0,0.89,1.0,5.0,0.8
SUP00035,9,9550.0,925230.208175,Pioneer Supplier 35,Preferred,CHN,99.22,0.7845,5687.0,0.8915000000000001,5.0,7.0,0.2857142857142857
SUP00055,5,5300.0,524561.6386879999,Sterling Supplier 55,Backup,IND,90.75,0.7682,2175.0,0.8928571428571429,0.0,3.0,1.0
SUP00075,7,6350.0,956244.5594949999,Quantum Supplier 75,Standard,CHN,99.62,0.9559,4810.0,0.8944444444444445,2.0,6.0,0.6666666666666667
SUP00105,7,3900.0,521301.48348,Sterling Supplier 105,Backup,MEX,87.32,0.9338,3137.0,0.8945454545454545,5.0,7.0,0.2857142857142857
SUP00117,8,10150.0,1188240.216956,Quantum Supplier 117,Preferred,MEX,97.5,0.7279,4522.0,0.8945454545454545,0.0,7.0,1.0
SUP00059,10,6100.0,1038200.866534,Global Supplier 59,Preferred,CAN,96.0,0.9639,3402.0,0.896,3.0,7.0,0.5714285714285714
SUP00102,10,5650.0,513966.458133,Atlas Supplier 102,Preferred,CAN,81.83,0.8601,3877.0,0.896,3.0,7.0,0.5714285714285714
SUP00092,6,4850.0,461526.543351,Global Supplier 92,Strategic,MEX,79.47,0.8978,3574.0,0.8986666666666667,2.0,6.0,0.6666666666666667
SUP00045,6,5400.0,682958.949133,Evergreen Supplier 45,Backup,IND,95.34,0.721,4352.0,0.8998181818181817,4.0,6.0,0.33333333333333337
SUP00006,3,2550.0,319453.856105,Global Supplier 6,Preferred,MEX,82.51,0.9288,2150.0,0.9,0.0,3.0,1.0
SUP00044,6,3950.0,588175.233302,Sterling Supplier 44,Preferred,VNM,91.31,0.9835,925.0,0.9,0.0,4.0,1.0
SUP00109,6,6950.0,704915.954495,Atlas Supplier 109,Strategic,CAN,78.33,0.7265,3162.0,0.9066666666666667,1.0,4.0,0.75
SUP00022,5,3900.0,531773.338009,Evergreen Supplier 22,Strategic,USA,76.43,0.9501,2535.0,0.9071428571428571,1.0,5.0,0.8
SUP00042,8,6400.0,452912.5263955,Sterling Supplier 42,Preferred,IND,79.95,0.745,4040.0,0.9083333333333333,10.0,5.0,-1.0
SUP00082,9,7400.0,875182.528724,Sterling Supplier 82,Strategic,DEU,87.27,0.8101,3640.0,0.911111111111111,4.0,8.0,0.5
SUP00057,5,2150.0,397331.5,Sterling Supplier 57,Preferred,IND,82.69,0.7662,475.0,0.9166666666666666,2.0,3.0,0.33333333333333337
SUP00094,5,4450.0,331930.2179715,Pioneer Supplier 94,Preferred,CAN,93.22,0.8138,1550.0,0.9166666666666666,1.0,5.0,0.8
SUP00098,7,4300.0,396303.51376,Sterling Supplier 98,Backup,CHN,81.2,0.8629,2017.0,0.9175,1.0,5.0,0.8
SUP00061,10,5950.0,777914.532155,Global Supplier 61,Preferred,CHN,91.9,0.9381,4977.0,0.918625,1.0,9.0,0.8888888888888888
SUP00072,11,11000.0,1038486.4053225,Sterling Supplier 72,Standard,MEX,79.88,0.9808,6182.0,0.9193333333333334,4.0,8.0,0.5
SUP00113,4,700.0,95366.2746175,Atlas Supplier 113,Backup,VNM,79.76,0.7713,700.0,0.9199999999999999,0.0,4.0,1.0
SUP00107,5,4200.0,396729.2891445,Evergreen Supplier 107,Strategic,CAN,98.65,0.9457,1747.0,0.9246666666666666,4.0,4.0,0.0
SUP00093,7,5200.0,417988.717766,Sterling Supplier 93,Standard,IND,98.93,0.7134,2980.0,0.93125,2.0,5.0,0.6
SUP00115,4,3400.0,168964.559741,Sterling Supplier 115,Strategic,DEU,81.67,,2655.0,0.9333333333333332,0.0,4.0,1.0
SUP00118,4,3150.0,338791.5,Pioneer Supplier 118,Preferred,VNM,79.8,0.6659,2430.0,0.9357142857142858,3.0,4.0,0.25
SUP00049,5,4550.0,476784.063633,Global Supplier 49,Strategic,MEX,90.58,0.7917,1675.0,0.9375,2.0,3.0,0.33333333333333337
SUP00111,4,3850.0,363306.142845,Quantum Supplier 111,Strategic,DEU,79.2,0.6722,2500.0,0.9375,1.0,3.0,0.6666666666666667
SUP00077,4,1250.0,140024.4812875,Atlas Supplier 77,Standard,DEU,89.07,0.806,1217.0,0.9425,5.0,4.0,-0.25
SUP00047,5,4800.0,507529.578083,Evergreen Supplier 47,Strategic,MEX,79.45,0.7836,2075.0,0.9428571428571428,4.0,3.0,-0.33333333333333326
SUP00091,7,6500.0,1014342.93057,Evergreen Supplier 91,Backup,CAN,87.94,0.6872,3014.0,0.9486666666666667,0.0,5.0,1.0
SUP00068,2,1350.0,208736.0,Atlas Supplier 68,Preferred,CAN,90.34,0.7922,1125.0,0.9500000000000001,1.0,2.0,0.5
SUP00073,10,6150.0,453295.075478,Evergreen Supplier 73,Preferred,USA,75.62,0.6979,1250.0,0.9625,2.0,3.0,0.33333333333333337
SUP00103,11,5000.0,587765.4522444999,Quantum Supplier 103,Preferred,MEX,78.65,0.9692,3175.0,0.9625,3.0,7.0,0.5714285714285714
SUP00024,5,2800.0,343567.408,Evergreen Supplier 24,Strategic,CHN,93.84,0.6917,2200.0,0.9625,0.0,3.0,1.0
SUP00054,5,4350.0,727259.5,Evergreen Supplier 54,Backup,USA,88.57,0.8194,1060.0,0.9666666666666668,1.0,4.0,0.75
SUP00025,12,7100.0,799152.5238935,Sterling Supplier 25,Preferred,IND,98.07,0.7405,4987.0,0.968,1.0,10.0,0.9
SUP00030,8,4250.0,795750.200978,Evergreen Supplier 30,Backup,CAN,93.01,0.743,2539.0,0.968,0.0,6.0,1.0
SUP00048,7,3850.0,321144.967304,Evergreen Supplier 48,Preferred,DEU,79.57,0.7311,2330.0,0.9714285714285715,1.0,5.0,0.8
SUP00002,11,8850.0,1491370.976,Evergreen Supplier 2,Preferred,CAN,99.67,0.8339,3445.0,0.9750000000000001,0.0,7.0,1.0
SUP00005,10,8700.0,1099004.1422620001,Quantum Supplier 5,Preferred,VNM,96.92,0.6537,3895.0,0.9791666666666666,4.0,8.0,0.5
SUP00086,8,6600.0,550680.542006,Global Supplier 86,Preferred,MEX,92.63,0.871,3005.0,0.9928571428571429,3.0,5.0,0.4
SUP00032,2,600.0,137596.0,Sterling Supplier 32,Strategic,CHN,70.43,0.9038,600.0,1.0,1.0,2.0,0.5
SUP00034,3,1400.0,185746.77917899998,Pioneer Supplier 34,Backup,MEX,78.56,0.7595,1200.0,1.0,1.0,2.0,0.5
SUP00016,1,500.0,111400.0,Sterling Supplier 16,Preferred,CHN,90.79,0.7655,500.0,1.0,0.0,1.0,1.0
SUP00020,6,1650.0,288935.26277599996,Atlas Supplier 20,Strategic,IND,98.85,0.8258,750.0,1.0,0.0,6.0,1.0
SUP00033,3,2000.0,209040.0,Evergreen Supplier 33,Backup,USA,78.6,0.9349,500.0,1.0,0.0,1.0,1.0
SUP00085,5,2850.0,508314.5,Quantum Supplier 85,Preferred,CAN,78.16,0.7843,1300.0,1.0,0.0,2.0,1.0
SUP00003,13,8650.0,1063473.25885,Global Supplier 3,Strategic,CHN,71.38,0.9028,4489.0,1.0030666666666668,4.0,10.0,0.6
SUP00100,8,5500.0,542851.903241,Evergreen Supplier 100,Preferred,MEX,88.55,0.7283,2845.0,1.00625,5.0,6.0,0.16666666666666663
SUP00084,4,3050.0,430865.71310500003,Quantum Supplier 84,Preferred,DEU,82.0,0.7987,2195.0,1.0100000000000002,2.0,3.0,0.33333333333333337
SUP00037,4,2750.0,203815.562619,Quantum Supplier 37,Standard,CAN,83.76,0.8938,1110.0,1.0333333333333334,0.0,2.0,1.0
SUP00012,6,3500.0,202373.0015285,Atlas Supplier 12,Preferred,USA,89.52,0.9377,1885.0,1.04,2.0,4.0,0.5
SUP00087,5,5700.0,565864.1257025,Atlas Supplier 87,Strategic,DEU,77.02,0.8146,3425.0,1.04,1.0,3.0,0.6666666666666667
SUP00050,4,1650.0,57132.061451,Atlas Supplier 50,Backup,MEX,99.12,0.656,360.0,1.05,1.0,2.0,0.5
SUP00063,7,5150.0,358105.9301675,Global Supplier 63,Preferred,MEX,95.87,0.7727,1560.0,1.0666666666666667,0.0,4.0,1.0
SUP00120,1,350.0,33773.19816,Atlas Supplier 120,Backup,CHN,70.08,0.9355,275.0,1.1,0.0,1.0,1.0
