order_line_id,order_id,line_number,product_id,ordered_qty,unit_price,discount_pct,line_status,valid_quantity,valid_unit_price,valid_discount,gross_sales,discount_amount,net_sales,customer_id,order_date,promised_delivery_date,sales_channel,order_status,order_priority,currency,ship_from_warehouse_id,category,subcategory,brand,supplier_id,standard_cost,unit_weight_lbs,rate_date,usd_rate,net_sales_usd,gross_sales_usd,discount_amount_usd,estimated_cost_usd,gross_margin_usd,is_large_order_line
SOL0000000035,SO00000010,2,SKU0000304,10.0,194.31,0.0,Open,True,True,True,1943.1,0.0,1943.1,CUST000189,2026-03-23,2026-03-26,Retail Store,Created,High,EUR,WH0025,Health,Wellness,Northline,SUP00095,104.7,30.619,2026-03-23,1.073962,2086.8155622,2086.8155622,0.0,1124.438214,962.3773481999999,False
SOL0000000036,SO00000011,1,SKU0000462,3.0,432.94,0.0,Backordered,True,True,True,1298.82,0.0,1298.82,CUST000188,2026-02-12,2026-02-28,Retail Store,Shipped,Low,CAD,WH0002,Home,Lighting,Cobalt,SUP00005,299.19,12.261,2026-02-12,0.735974,955.89775068,955.89775068,0.0,660.58818318,295.30956749999996,False
SOL0000000037,SO00000011,2,SKU0000536,1.0,633.26,25.0,Allocated,True,True,True,633.26,158.315,474.945,CUST000188,2026-02-12,2026-02-28,Retail Store,Shipped,Low,CAD,WH0002,Health,Medical Supplies,Nimbus,SUP00041,294.16,34.11,2026-02-12,0.735974,349.54717143,466.06289524,116.51572381,216.49411184000002,133.05305958999998,False
SOL0000000038,SO00000011,3,SKU0000184,3.0,202.45,5.0,Backordered,True,True,True,607.3499999999999,30.367499999999996,576.9825,CUST000188,2026-02-12,2026-02-28,Retail Store,Shipped,Low,CAD,WH0002,Home,Kitchen,Everpeak,SUP00007,84.99,39.978,2026-02-12,0.735974,424.64411845499995,446.9938088999999,22.349690444999997,187.65129077999998,236.99282767499997,False
SOL0000000039,SO00000011,4,SKU0000679,5.0,364.05,15.0,Cancelled,True,True,True,1820.25,273.03749999999997,1547.2125,CUST000188,2026-02-12,2026-02-28,Retail Store,Shipped,Low,CAD,WH0002,Office,Organization,Nimbus,SUP00056,130.56,3.932,2026-02-12,0.735974,1138.708172475,1339.6566735000001,200.94850102499998,480.4438272,658.2643452750001,False
SOL0000000040,SO00000011,5,SKU0000247,25.0,398.57,0.0,Open,True,True,True,9964.25,0.0,9964.25,CUST000188,2026-02-12,2026-02-28,Retail Store,Shipped,Low,CAD,WH0002,Home,Furniture,Everpeak,SUP00101,217.13,8.564,2026-02-12,0.735974,7333.4289295,7333.4289295,0.0,3995.0508655,3338.378064,False
SOL0000000041,SO00000012,1,SKU0000166,3.0,240.5,10.0,Backordered,True,True,True,721.5,72.15,649.35,CUST000008,2026-05-26,2026-06-12,B2B Portal,Created,Normal,USD,WH0017,Health,Personal Care,Northline,SUP00072,208.93,47.063,2026-05-26,1.0,649.35,721.5,72.15,626.79,22.56000000000006,False
SOL0000000042,SO00000012,2,SKU0000011,15.0,351.58,25.0,Shipped,True,True,True,5273.7,1318.425,3955.2749999999996,CUST000008,2026-05-26,2026-06-12,B2B Portal,Created,Normal,USD,WH0017,Health,Medical Supplies,Everpeak,SUP00088,230.18,22.434,2026-05-26,1.0,3955.2749999999996,5273.7,1318.425,3452.7000000000003,502.57499999999936,False
SOL0000000043,SO00000012,3,SKU0000573,10.0,279.28,25.0,Shipped,True,True,True,2792.7999999999997,698.1999999999999,2094.6,CUST000008,2026-05-26,2026-06-12,B2B Portal,Created,Normal,USD,WH0017,Apparel,Fitness,Solace,SUP00119,204.84,16.088,2026-05-26,1.0,2094.6,2792.7999999999997,698.1999999999999,2048.4,46.19999999999982,False
SOL0000000044,SO00000012,4,SKU0000543,5.0,27.79,15.0,Allocated,True,True,True,138.95,20.842499999999998,118.10749999999999,CUST000008,2026-05-26,2026-06-12,B2B Portal,Created,Normal,USD,WH0017,Apparel,Footwear,Nimbus,SUP00120,12.31,53.435,2026-05-26,1.0,118.10749999999999,138.95,20.842499999999998,61.550000000000004,56.55749999999998,False
SOL0000000045,SO00000012,5,SKU0000108,1.0,542.93,0.0,Backordered,True,True,True,542.93,0.0,542.93,CUST000008,2026-05-26,2026-06-12,B2B Portal,Created,Normal,USD,WH0017,Home,Storage,Aster,SUP00088,256.05,67.366,2026-05-26,1.0,542.93,542.93,0.0,256.05,286.87999999999994,False
SOL0000000046,SO00000013,1,SKU0000522,2.0,48.48,10.0,Open,True,True,True,96.96,9.696,87.264,CUST000372,2026-01-01,2026-01-09,Marketplace,Shipped,Normal,USD,WH0016,Office,Printing,Aster,SUP00083,18.75,73.454,2026-01-01,1.0,87.264,96.96,9.696,37.5,49.763999999999996,False
SOL0000000047,SO00000013,2,SKU0000320,5.0,16.34,2.5,Cancelled,True,True,True,81.7,2.0425,79.6575,CUST000372,2026-01-01,2026-01-09,Marketplace,Shipped,Normal,USD,WH0016,Home,Furniture,Cobalt,SUP00040,6.22,39.567,2026-01-01,1.0,79.6575,81.7,2.0425,31.099999999999998,48.557500000000005,False
SOL0000000048,SO00000013,3,SKU0000665,1.0,173.98,15.0,Backordered,True,True,True,173.98,26.096999999999998,147.88299999999998,CUST000372,2026-01-01,2026-01-09,Marketplace,Shipped,Normal,USD,WH0016,Apparel,Fitness,Everpeak,SUP00061,100.23,69.075,2026-01-01,1.0,147.88299999999998,173.98,26.096999999999998,100.23,47.65299999999998,False
SOL0000000049,SO00000013,4,SKU0000288,5.0,258.49,0.0,Cancelled,True,True,True,1292.45,0.0,1292.45,CUST000372,2026-01-01,2026-01-09,Marketplace,Shipped,Normal,USD,WH0016,Office,Organization,Nimbus,SUP00080,169.91,21.601,2026-01-01,1.0,1292.45,1292.45,0.0,849.55,442.9000000000001,False
SOL0000000051,SO00000014,2,SKU0000520,50.0,196.0,0.0,Allocated,True,True,True,9800.0,0.0,9800.0,CUST000125,2026-03-04,2026-03-20,Marketplace,Partially Shipped,Low,CAD,WH0004,Home,Furniture,Everpeak,SUP00092,125.21,53.8,2026-03-04,0.736237,7215.122600000001,7215.122600000001,0.0,4609.2117385,2605.9108615000005,False
SOL0000000052,SO00000014,3,SKU0000275,50.0,40.37,5.0,Open,True,True,True,2018.4999999999998,100.925,1917.5749999999998,CUST000125,2026-03-04,2026-03-20,Marketplace,Partially Shipped,Low,CAD,WH0004,Electronics,Audio,Everpeak,SUP00077,,40.061,2026-03-04,0.736237,1411.7896652749998,1486.0943845,74.304719225,0.0,1411.7896652749998,False
SOL0000000059,SO00000016,3,SKU0000091,10.0,210.47,0.0,Shipped,True,True,True,2104.7,0.0,2104.7,CUST000222,2026-03-28,2026-04-14,B2B Portal,Cancelled,Critical,CAD,WH0022,Grocery,Snack,Aster,SUP00050,82.29,6.207,2026-03-28,0.749038,1576.5002785999998,1576.5002785999998,0.0,616.3833702000001,960.1169083999997,False
SOL0000000061,SO00000018,1,SKU0000348,15.0,580.58,10.0,Open,True,True,True,8708.7,870.8700000000001,7837.830000000001,CUST000367,2026-01-14,2026-01-22,B2B Portal,Created,Normal,USD,WH0017,Electronics,Computing,Aster,SUP00100,277.03,14.454,2026-01-14,1.0,7837.830000000001,8708.7,870.8700000000001,4155.45,3682.380000000001,False
SOL0000000062,SO00000018,2,SKU0000588,3.0,327.94,2.5,Open,True,True,True,983.8199999999999,24.5955,959.2244999999999,CUST000367,2026-01-14,2026-01-22,B2B Portal,Created,Normal,USD,WH0017,Apparel,Fitness,Cobalt,SUP00027,144.41,32.326,2026-01-14,1.0,959.2244999999999,983.8199999999999,24.5955,433.23,525.9944999999999,False
SOL0000000076,SO00000023,1,SKU0000223,2.0,582.3,0.0,Allocated,True,True,True,1164.6,0.0,1164.6,CUST000173,2026-02-27,2026-03-03,EDI,Shipped,Critical,USD,WH0016,Office,Desk Setup,Cobalt,SUP00055,257.93,20.934,2026-02-27,1.0,1164.6,1164.6,0.0,515.86,648.7399999999999,False
SOL0000000077,SO00000023,2,SKU0000258,3.0,367.5,2.5,Open,True,True,True,1102.5,27.5625,1074.9375,CUST000173,2026-02-27,2026-03-03,EDI,Shipped,Critical,USD,WH0016,Health,Pharmacy,Aster,SUP00091,258.37,16.148,2026-02-27,1.0,1074.9375,1102.5,27.5625,775.11,299.8275,False
SOL0000000078,SO00000023,3,SKU0000682,3.0,99.75,0.0,Backordered,True,True,True,299.25,0.0,299.25,CUST000173,2026-02-27,2026-03-03,EDI,Shipped,Critical,USD,WH0016,Health,Medical Supplies,Nimbus,SUP00033,63.61,43.116,2026-02-27,1.0,299.25,299.25,0.0,190.82999999999998,108.42000000000002,False
SOL0000000088,SO00000028,2,SKU0000131,10.0,54.98,15.0,Open,True,True,True,549.8,82.46999999999998,467.33,CUST000098,2026-02-05,2026-02-16,B2B Portal,Partially Shipped,Low,USD,WH0019,Apparel,Fitness,Nimbus,SUP00006,25.77,22.594,2026-02-05,1.0,467.33,549.8,82.46999999999998,257.7,209.63,False
SOL0000000089,SO00000028,3,SKU0000194,15.0,530.63,2.5,Allocated,True,True,True,7959.45,198.98625,7760.46375,CUST000098,2026-02-05,2026-02-16,B2B Portal,Partially Shipped,Low,USD,WH0019,Grocery,Beverage,Cobalt,SUP00080,247.68,67.204,2026-02-05,1.0,7760.46375,7959.45,198.98625,3715.2000000000003,4045.2637499999996,False
SOL0000000090,SO00000028,4,SKU0000216,3.0,356.28,2.5,Allocated,True,True,True,1068.84,26.721,1042.119,CUST000098,2026-02-05,2026-02-16,B2B Portal,Partially Shipped,Low,USD,WH0019,Home,Storage,Nimbus,SUP00105,261.16,67.302,2026-02-05,1.0,1042.119,1068.84,26.721,783.48,258.6389999999999,False
SOL0000000091,SO00000029,1,SKU0000530,2.0,791.33,25.0,Allocated,True,True,True,1582.66,395.665,1186.9950000000001,CUST000197,2026-04-27,2026-05-12,B2B Portal,Cancelled,Normal,USD,WH0021,Electronics,Accessories,Everpeak,SUP00036,286.42,8.86,2026-04-27,1.0,1186.9950000000001,1582.66,395.665,572.84,614.1550000000001,False
SOL0000000093,SO00000029,3,SKU0000439,25.0,266.33,25.0,Allocated,True,True,True,6658.25,1664.5625,4993.6875,CUST000197,2026-04-27,2026-05-12,B2B Portal,Cancelled,Normal,USD,WH0021,Apparel,Footwear,Northline,SUP00019,223.94,16.883,2026-04-27,1.0,4993.6875,6658.25,1664.5625,5598.5,-604.8125,False
SOL0000000094,SO00000029,4,SKU0000126,50.0,111.94,0.0,Allocated,True,True,True,5597.0,0.0,5597.0,CUST000197,2026-04-27,2026-05-12,B2B Portal,Cancelled,Normal,USD,WH0021,Apparel,Footwear,Aster,SUP00031,83.39,6.68,2026-04-27,1.0,5597.0,5597.0,0.0,4169.5,1427.5,False
SOL0000000095,SO00000030,1,SKU0000037,2.0,69.22,0.0,Shipped,True,True,True,138.44,0.0,138.44,CUST000064,2026-01-21,2026-01-28,Retail Store,Shipped,Normal,USD,WH0012,Health,Medical Supplies,Nimbus,SUP00008,32.94,2.375,2026-01-21,1.0,138.44,138.44,0.0,65.88,72.56,False
SOL0000000096,SO00000030,2,SKU0000146,2.0,318.38,10.0,Cancelled,True,True,True,636.76,63.676,573.084,CUST000064,2026-01-21,2026-01-28,Retail Store,Shipped,Normal,USD,WH0012,Home,Furniture,Cobalt,SUP00097,223.17,1.575,2026-01-21,1.0,573.084,636.76,63.676,446.34,126.74399999999997,False
SOL0000000097,SO00000030,3,SKU0000647,50.0,360.52,25.0,Open,True,True,True,18026.0,4506.5,13519.5,CUST000064,2026-01-21,2026-01-28,Retail Store,Shipped,Normal,USD,WH0012,Electronics,Computing,Northline,SUP00015,238.12,18.039,2026-01-21,1.0,13519.5,18026.0,4506.5,11906.0,1613.5,False
SOL0000000109,SO00000035,1,SKU0000104,10.0,322.61,25.0,Allocated,True,True,True,3226.1000000000004,806.5250000000001,2419.5750000000003,CUST000103,2026-01-13,2026-01-19,B2B Portal,Cancelled,Critical,USD,WH0024,Apparel,Basics,Cobalt,SUP00061,155.06,62.76,2026-01-13,1.0,2419.5750000000003,3226.1000000000004,806.5250000000001,1550.6,868.9750000000004,False
SOL0000000110,SO00000035,2,SKU0000508,1.0,20.61,0.0,Open,True,True,True,20.61,0.0,20.61,CUST000103,2026-01-13,2026-01-19,B2B Portal,Cancelled,Critical,USD,WH0024,Health,Medical Supplies,Everpeak,SUP00004,11.38,2.823,2026-01-13,1.0,20.61,20.61,0.0,11.38,9.229999999999999,False
SOL0000000111,SO00000035,3,SKU0000561,2.0,185.4,2.5,Open,True,True,True,370.8,9.270000000000001,361.53000000000003,CUST000103,2026-01-13,2026-01-19,B2B Portal,Cancelled,Critical,USD,WH0024,Home,Furniture,Solace,SUP00012,144.73,45.196,2026-01-13,1.0,361.53000000000003,370.8,9.270000000000001,289.46,72.07000000000005,False
SOL0000000112,SO00000035,4,SKU0000384,5.0,668.89,0.0,Open,True,True,True,3344.45,0.0,3344.45,CUST000103,2026-01-13,2026-01-19,B2B Portal,Cancelled,Critical,USD,WH0024,Office,Printing,Solace,SUP00084,289.4,21.551,2026-01-13,1.0,3344.45,3344.45,0.0,1447.0,1897.4499999999998,False
SOL0000000117,SO00000037,1,SKU0000320,50.0,15.48,0.0,Cancelled,True,True,True,774.0,0.0,774.0,CUST000111,2026-02-19,2026-02-25,Phone,Partially Shipped,Normal,USD,WH0008,Home,Furniture,Cobalt,SUP00040,6.22,39.567,2026-02-19,1.0,774.0,774.0,0.0,311.0,463.0,False
SOL0000000118,SO00000037,2,SKU0000032,25.0,167.21,10.0,Cancelled,True,True,True,4180.25,418.02500000000003,3762.225,CUST000111,2026-02-19,2026-02-25,Phone,Partially Shipped,Normal,USD,WH0008,Health,Wellness,Solace,SUP00039,111.82,71.288,2026-02-19,1.0,3762.225,4180.25,418.02500000000003,2795.5,966.7249999999999,False
SOL0000000119,SO00000037,3,SKU0000555,1.0,518.96,10.0,Open,True,True,True,518.96,51.89600000000001,467.064,CUST000111,2026-02-19,2026-02-25,Phone,Partially Shipped,Normal,USD,WH0008,Health,Pharmacy,Cobalt,SUP00099,265.21,37.468,2026-02-19,1.0,467.064,518.96,51.89600000000001,265.21,201.85400000000004,False
SOL0000000120,SO00000038,1,SKU0000608,1.0,354.39,0.0,Shipped,True,True,True,354.39,0.0,354.39,CUST000025,2026-05-24,2026-05-31,B2B Portal,Shipped,Low,USD,WH0012,Home,Furniture,Cobalt,SUP00067,220.53,3.739,2026-05-24,1.0,354.39,354.39,0.0,220.53,133.85999999999999,False
SOL0000000121,SO00000038,2,SKU0000292,10.0,148.12,15.0,Open,True,True,True,1481.2,222.18,1259.02,CUST000025,2026-05-24,2026-05-31,B2B Portal,Shipped,Low,USD,WH0012,Home,Furniture,Everpeak,SUP00101,65.65,23.139,2026-05-24,1.0,1259.02,1481.2,222.18,656.5,602.52,False
SOL0000000122,SO00000038,3,SKU0000433,10.0,51.34,25.0,Open,True,True,True,513.4000000000001,128.35000000000002,385.05000000000007,CUST000025,2026-05-24,2026-05-31,B2B Portal,Shipped,Low,USD,WH0012,Office,Stationery,Northline,SUP00040,33.64,7.25,2026-05-24,1.0,385.05000000000007,513.4000000000001,128.35000000000002,336.4,48.65000000000009,False
SOL0000000123,SO00000038,4,SKU0000163,5.0,147.36,15.0,Shipped,True,True,True,736.8000000000001,110.52000000000001,626.2800000000001,CUST000025,2026-05-24,2026-05-31,B2B Portal,Shipped,Low,USD,WH0012,Office,Desk Setup,Northline,SUP00040,53.46,69.432,2026-05-24,1.0,626.2800000000001,736.8000000000001,110.52000000000001,267.3,358.9800000000001,False
SOL0000000126,SO00000040,1,SKU0000593,50.0,266.44,15.0,Allocated,True,True,True,13322.0,1998.3,11323.7,CUST000157,2026-03-18,2026-04-08,Marketplace,Booked,Low,CAD,WH0024,Home,Lighting,Nimbus,SUP00096,197.98,18.916,2026-03-18,0.734332,8315.3552684,9782.770903999999,1467.4156355999999,7269.152468,1046.2028004000003,False
SOL0000000138,SO00000043,1,SKU0000671,10.0,50.71,0.0,Shipped,True,True,True,507.1,0.0,507.1,CUST000231,2026-05-01,2026-05-22,EDI,Partially Shipped,Low,EUR,WH0023,Apparel,Outerwear,Nimbus,SUP00051,44.98,28.735,2026-05-01,1.088332,551.8931572,551.8931572,0.0,489.5317336,62.36142360000002,False
SOL0000000139,SO00000043,2,SKU0000209,3.0,349.09,0.0,Allocated,True,True,True,1047.27,0.0,1047.27,CUST000231,2026-05-01,2026-05-22,EDI,Partially Shipped,Low,EUR,WH0023,Grocery,Frozen,Nimbus,SUP00051,228.55,72.988,2026-05-01,1.088332,1139.77745364,1139.77745364,0.0,746.2148358000002,393.5626178399998,False
SOL0000000169,SO00000055,1,SKU0000459,5.0,572.01,5.0,Shipped,True,True,True,2860.05,143.00250000000003,2717.0475,CUST000394,2026-05-10,2026-05-14,B2B Portal,Booked,Low,USD,WH0005,Grocery,Snack,Cobalt,SUP00083,220.01,43.733,2026-05-10,1.0,2717.0475,2860.05,143.00250000000003,1100.05,1616.9975000000002,False
SOL0000000171,SO00000055,3,SKU0000072,50.0,344.18,0.0,Allocated,True,True,True,17209.0,0.0,17209.0,CUST000394,2026-05-10,2026-05-14,B2B Portal,Booked,Low,USD,WH0005,Grocery,Snack,Cobalt,SUP00117,156.32,51.098,2026-05-10,1.0,17209.0,17209.0,0.0,7816.0,9393.0,False
SOL0000000172,SO00000055,4,SKU0000424,5.0,576.37,25.0,Allocated,True,True,True,2881.85,720.4625,2161.3875,CUST000394,2026-05-10,2026-05-14,B2B Portal,Booked,Low,USD,WH0005,Grocery,Beverage,Everpeak,SUP00086,241.66,61.455,2026-05-10,1.0,2161.3875,2881.85,720.4625,1208.3,953.0874999999999,False
SOL0000000173,SO00000055,5,SKU0000264,1.0,512.44,10.0,Open,True,True,True,512.44,51.24400000000001,461.196,CUST000394,2026-05-10,2026-05-14,B2B Portal,Booked,Low,USD,WH0005,Grocery,Beverage,Nimbus,SUP00018,267.55,54.716,2026-05-10,1.0,461.196,512.44,51.24400000000001,267.55,193.64600000000002,False
SOL0000000174,SO00000056,1,SKU0000118,15.0,451.13,0.0,Shipped,True,True,True,6766.95,0.0,6766.95,CUST000023,2026-03-09,2026-03-30,Phone,Shipped,High,CAD,WH0024,Health,Pharmacy,Everpeak,SUP00104,285.17,9.835,2026-03-09,0.731226,4948.1697807,4948.1697807,0.0,3127.8557763000003,1820.3140043999997,False
SOL0000000175,SO00000056,2,SKU0000117,50.0,10.65,2.5,Cancelled,True,True,True,532.5,13.3125,519.1875,CUST000023,2026-03-09,2026-03-30,Phone,Shipped,High,CAD,WH0024,Health,Pharmacy,Northline,SUP00093,8.84,73.231,2026-03-09,0.731226,379.643398875,389.37784500000004,9.734446125,323.20189200000004,56.44150687499996,False
SOL0000000177,SO00000056,4,SKU0000591,3.0,89.97,2.5,Shipped,True,True,True,269.90999999999997,6.74775,263.16225,CUST000023,2026-03-09,2026-03-30,Phone,Shipped,High,CAD,WH0024,Home,Lighting,Solace,SUP00021,65.08,69.472,2026-03-09,0.731226,192.4310794185,197.36520965999998,4.9341302415,142.76456424000003,49.666515178499964,False
SOL0000000178,SO00000057,1,SKU0000432,15.0,374.49,10.0,Allocated,True,True,True,5617.35,561.735,5055.615000000001,CUST000228,2026-05-16,2026-06-03,B2B Portal,Shipped,Normal,USD,WH0014,Electronics,Computing,Northline,SUP00058,208.9,67.064,2026-05-16,1.0,5055.615000000001,5617.35,561.735,3133.5,1922.1150000000007,False
SOL0000000205,SO00000065,2,SKU0000363,10.0,108.6,2.5,Shipped,True,True,True,1086.0,27.150000000000002,1058.85,CUST000183,2026-04-25,2026-04-30,Phone,Cancelled,High,MXN,WH0015,Grocery,Snack,Aster,SUP00016,52.31,10.64,2026-04-25,0.053475,56.62200375,58.07385,1.4518462500000002,27.9727725,28.649231249999996,False
SOL0000000210,SO00000068,1,SKU0000165,25.0,473.99,0.0,Shipped,True,True,True,11849.75,0.0,11849.75,CUST000021,2026-05-17,2026-06-02,Marketplace,Cancelled,High,MXN,WH0004,Grocery,Snack,Cobalt,SUP00081,276.82,5.042,2026-05-17,0.063743,755.33861425,755.33861425,0.0,441.1334315,314.20518275,False
SOL0000000211,SO00000068,2,SKU0000125,15.0,393.34,15.0,Open,True,True,True,5900.099999999999,885.0149999999999,5015.084999999999,CUST000021,2026-05-17,2026-06-02,Marketplace,Cancelled,High,MXN,WH0004,Office,Stationery,Aster,SUP00111,173.82,19.884,2026-05-17,0.063743,319.67656315499994,376.0900742999999,56.41351114499999,166.19712389999998,153.47943925499996,False
SOL0000000212,SO00000068,3,SKU0000468,25.0,231.39,2.5,Allocated,True,True,True,5784.75,144.61875,5640.13125,CUST000021,2026-05-17,2026-06-02,Marketplace,Cancelled,High,MXN,WH0004,Office,Stationery,Nimbus,SUP00082,112.39,9.283,2026-05-17,0.063743,359.51888626875,368.73731925,9.21843298125,179.10189425,180.41699201875002,False
SOL0000000213,SO00000068,4,SKU0000398,2.0,692.55,0.0,Backordered,True,True,True,1385.1,0.0,1385.1,CUST000021,2026-05-17,2026-06-02,Marketplace,Cancelled,High,MXN,WH0004,Grocery,Beverage,Solace,SUP00102,292.05,35.841,2026-05-17,0.063743,88.29042929999999,88.29042929999999,0.0,37.2322863,51.05814299999999,False
SOL0000000214,SO00000068,5,SKU0000526,10.0,78.09,0.0,Open,True,True,True,780.9000000000001,0.0,780.9000000000001,CUST000021,2026-05-17,2026-06-02,Marketplace,Cancelled,High,MXN,WH0004,Apparel,Fitness,Nimbus,SUP00029,49.91,53.433,2026-05-17,0.063743,49.7769087,49.7769087,0.0,31.814131299999996,17.962777400000004,False
SOL0000000215,SO00000069,1,SKU0000554,1.0,450.57,15.0,Open,True,True,True,450.57,67.5855,382.9845,CUST000176,2026-01-02,2026-01-15,Retail Store,Shipped,Low,USD,WH0019,Home,Storage,Cobalt,SUP00043,197.11,64.039,2026-01-02,1.0,382.9845,450.57,67.5855,197.11,185.8745,False
SOL0000000216,SO00000069,2,SKU0000081,1.0,594.76,15.0,Open,True,True,True,594.76,89.214,505.546,CUST000176,2026-01-02,2026-01-15,Retail Store,Shipped,Low,USD,WH0019,Home,Storage,Nimbus,SUP00008,227.93,0.786,2026-01-02,1.0,505.546,594.76,89.214,227.93,277.616,False
SOL0000000217,SO00000069,3,SKU0000225,25.0,252.02,5.0,Shipped,True,True,True,6300.5,315.02500000000003,5985.475,CUST000176,2026-01-02,2026-01-15,Retail Store,Shipped,Low,USD,WH0019,Grocery,Beverage,Nimbus,SUP00092,181.19,73.3,2026-01-02,1.0,5985.475,6300.5,315.02500000000003,4529.75,1455.7250000000004,False
SOL0000000218,SO00000069,4,SKU0000016,1.0,16.37,0.0,Shipped,True,True,True,16.37,0.0,16.37,CUST000176,2026-01-02,2026-01-15,Retail Store,Shipped,Low,USD,WH0019,Electronics,Audio,Cobalt,SUP00064,11.21,2.155,2026-01-02,1.0,16.37,16.37,0.0,11.21,5.16,False
SOL0000000227,SO00000073,1,SKU0000625,25.0,431.95,10.0,Backordered,True,True,True,10798.75,1079.875,9718.875,CUST000097,2026-01-02,2026-01-12,Retail Store,Created,Normal,USD,WH0007,Apparel,Footwear,Nimbus,SUP00075,245.97,39.109,2026-01-02,1.0,9718.875,10798.75,1079.875,6149.25,3569.625,False
SOL0000000228,SO00000074,1,SKU0000466,5.0,193.62,2.5,Open,True,True,True,968.1,24.2025,943.8975,CUST000206,2026-05-06,2026-05-27,Marketplace,Shipped,High,CAD,WH0001,Apparel,Fitness,Nimbus,SUP00118,79.72,34.428,2026-05-06,0.748575,706.5780710625,724.6954575,18.1173864375,298.381995,408.1960760625,False
