adjustment_id,warehouse_id,product_id,adjustment_ts,adjustment_qty,adjustment_reason,approved_by,adjustment_date,requires_review
ADJ00000113,WH0005,SKU0000633,2026-02-21 15:05:00,-50.0,System Correction,controller,2026-02-21,True
ADJ00000114,WH0023,SKU0000474,2026-03-18 23:14:00,-25.0,Damage,mgr_1,2026-03-18,True
ADJ00000116,WH0016,SKU0000052,,25.0,Cycle Count,mgr_1,,True
ADJ00000117,WH0021,SKU0000671,,25.0,System Correction,controller,,True
ADJ00000118,WH0004,SKU0000007,,-25.0,Cycle Count,ops_lead,,True
ADJ00000119,WH0020,SKU0000652,2026-05-07 02:54:00,-25.0,System Correction,controller,2026-05-07,True
ADJ00000125,WH0009,SKU0000629,2026-03-19 05:48:00,50.0,System Correction,ops_lead,2026-03-19,True
ADJ00000134,WH0022,SKU0000108,,25.0,Damage,mgr_2,,True
ADJ00000135,WH0022,SKU0000094,2026-01-17 00:20:00,-50.0,Shrinkage,controller,2026-01-17,True
ADJ00000140,WH0019,SKU0000315,,50.0,Shrinkage,mgr_2,,True
ADJ00000141,WH0018,SKU0000054,,-50.0,System Correction,mgr_1,,True
ADJ00000142,WH0006,SKU0000627,2026-03-04 06:07:00,-25.0,Found Inventory,mgr_1,2026-03-04,True
ADJ00000153,WH0016,SKU0000536,2026-04-20 04:59:00,50.0,System Correction,mgr_2,2026-04-20,True
ADJ00000154,WH0005,SKU0000485,,50.0,Damage,mgr_1,,True
ADJ00000156,WH0001,SKU0000454,2026-04-26 05:47:00,-25.0,System Correction,mgr_2,2026-04-26,True
ADJ00000157,WH0013,SKU0000089,2026-02-01 14:20:00,-50.0,Damage,ops_lead,2026-02-01,True
ADJ00000159,WH0014,SKU0000323,2026-05-20 01:27:00,25.0,System Correction,unapproved,2026-05-20,True
ADJ00000162,WH0006,SKU0000317,,25.0,Damage,mgr_2,,True
ADJ00000163,WH0014,SKU0000586,,50.0,Shrinkage,ops_lead,,True
ADJ00000165,WH0022,SKU0000474,2026-04-26 03:01:00,-50.0,Damage,mgr_1,2026-04-26,True
ADJ00000167,WH0002,SKU0000623,,25.0,System Correction,controller,,True
ADJ00000170,WH0007,SKU0000489,,-50.0,Cycle Count,controller,,True
ADJ00000175,WH0005,SKU0000113,2026-04-21 03:17:00,25.0,Found Inventory,mgr_2,2026-04-21,True
ADJ00000177,WH0013,SKU0000489,2026-04-24 04:08:00,25.0,System Correction,ops_lead,2026-04-24,True
ADJ00000178,WH0005,SKU0000286,,25.0,Found Inventory,mgr_1,,True
ADJ00000181,WH0019,SKU0000251,2026-03-12 02:15:00,-25.0,Found Inventory,mgr_2,2026-03-12,True
ADJ00000182,WH0011,SKU0000139,2026-03-20 06:23:00,25.0,Cycle Count,mgr_1,2026-03-20,True
ADJ00000183,WH0009,SKU0000422,2026-04-20 02:01:00,-25.0,Found Inventory,mgr_2,2026-04-20,True
ADJ00000186,WH0005,SKU0000066,,50.0,Found Inventory,controller,,True
ADJ00000189,WH0024,SKU0000149,,-25.0,Damage,unapproved,,True
ADJ00000190,WH0023,SKU0000186,2026-04-28 02:17:00,-25.0,Damage,ops_lead,2026-04-28,True
ADJ00000194,WH0020,SKU0000240,2026-04-02 15:07:00,-50.0,Found Inventory,ops_lead,2026-04-02,True
ADJ00000197,WH0001,SKU0000537,2026-03-10 19:04:00,-25.0,Found Inventory,mgr_1,2026-03-10,True
ADJ00000200,WH0011,SKU0000124,2026-02-15 08:13:00,50.0,Found Inventory,mgr_2,2026-02-15,True
ADJ00000202,WH0002,SKU0000512,,-25.0,Found Inventory,mgr_1,,True
ADJ00000206,WH0002,SKU0000385,,25.0,Cycle Count,controller,,True
ADJ00000207,WH0001,SKU0000115,,-50.0,Damage,mgr_1,,True
ADJ00000208,WH0010,SKU0000116,,25.0,Found Inventory,mgr_1,,True
ADJ00000212,WH0017,SKU0000002,,-50.0,Found Inventory,controller,,True
ADJ00000215,WH0013,SKU0000613,,-50.0,Found Inventory,controller,,True
ADJ00000216,WH0024,SKU0000238,2026-03-07 10:34:00,-50.0,Damage,controller,2026-03-07,True
ADJ00000218,WH0017,SKU0000529,2026-01-01 07:30:00,-25.0,Found Inventory,unapproved,2026-01-01,True
ADJ00000219,WH0023,SKU0000123,2026-02-10 15:28:00,50.0,Found Inventory,ops_lead,2026-02-10,True
ADJ00000220,WH0019,SKU0000132,2026-04-25 14:04:00,50.0,System Correction,ops_lead,2026-04-25,True
ADJ00000223,WH0023,SKU0000126,2026-05-14 13:40:00,25.0,Damage,controller,2026-05-14,True
ADJ00000225,WH0010,SKU0000113,,-25.0,Damage,unapproved,,True
ADJ00000229,WH0013,SKU0000477,,-25.0,Found Inventory,mgr_2,,True
ADJ00000230,WH0007,SKU0000412,2026-02-27 15:37:00,25.0,System Correction,mgr_2,2026-02-27,True
ADJ00000233,WH0017,SKU0000375,2026-04-09 23:54:00,-50.0,Cycle Count,mgr_2,2026-04-09,True
ADJ00000235,WH0016,SKU0000352,2026-01-26 00:13:00,-50.0,System Correction,ops_lead,2026-01-26,True
ADJ00000237,WH0005,SKU0000253,,-25.0,Shrinkage,controller,,True
ADJ00000239,WH0003,SKU0000445,2026-05-01 14:52:00,-25.0,Damage,mgr_1,2026-05-01,True
ADJ00000245,WH0001,SKU0000193,,25.0,System Correction,mgr_1,,True
ADJ00000246,WH0002,SKU0000678,2026-05-17 19:14:00,-25.0,Cycle Count,unapproved,2026-05-17,True
ADJ00000249,WH0020,SKU0000649,,50.0,Damage,mgr_2,,True
ADJ00000251,WH0013,SKU0000648,2026-03-25 02:04:00,25.0,Shrinkage,unapproved,2026-03-25,True
ADJ00000253,WH0008,SKU0000240,,-25.0,Found Inventory,mgr_2,,True
ADJ00000255,WH0017,SKU0000452,2026-04-18 02:03:00,-50.0,Damage,controller,2026-04-18,True
ADJ00000259,WH0001,SKU0000297,,25.0,Damage,ops_lead,,True
ADJ00000260,WH0010,SKU0000575,,-25.0,Cycle Count,controller,,True
ADJ00000262,WH0012,SKU0000037,2026-01-30 17:39:00,25.0,Cycle Count,ops_lead,2026-01-30,True
ADJ00000263,WH0025,SKU0000296,,-50.0,System Correction,controller,,True
ADJ00000264,WH0024,SKU0000581,2026-03-08 04:13:00,-50.0,Found Inventory,unapproved,2026-03-08,True
ADJ00000270,WH0020,SKU0000421,2026-01-02 05:17:00,-50.0,Found Inventory,unapproved,2026-01-02,True
ADJ00000273,WH0002,SKU0000610,,25.0,System Correction,controller,,True
ADJ00000274,WH0019,SKU0000155,2026-05-07 20:08:00,-50.0,Damage,unapproved,2026-05-07,True
ADJ00000276,WH0012,SKU0000159,,25.0,Damage,ops_lead,,True
ADJ00000277,WH0014,SKU0000370,,25.0,Found Inventory,unapproved,,True
ADJ00000278,WH0013,SKU0000397,,50.0,System Correction,ops_lead,,True
ADJ00000279,WH0021,SKU0000421,2026-04-02 18:17:00,50.0,Shrinkage,mgr_2,2026-04-02,True
ADJ00000280,WH0004,SKU0000494,2026-03-16 18:31:00,50.0,Shrinkage,ops_lead,2026-03-16,True
ADJ00000282,WH0018,SKU0000554,,-50.0,System Correction,mgr_2,,True
ADJ00000284,WH0005,SKU0000637,,50.0,Cycle Count,unapproved,,True
ADJ00000286,WH0025,SKU0000104,2026-02-28 17:37:00,-50.0,Shrinkage,ops_lead,2026-02-28,True
ADJ00000287,WH0019,SKU0000458,2026-04-21 01:12:00,50.0,System Correction,ops_lead,2026-04-21,True
ADJ00000288,WH0013,SKU0000543,,25.0,System Correction,controller,,True
ADJ00000289,WH0012,SKU0000186,,25.0,Cycle Count,controller,,True
ADJ00000290,WH0010,SKU0000286,2026-04-01 07:11:00,25.0,Cycle Count,mgr_2,2026-04-01,True
ADJ00000291,WH0003,SKU0000156,2026-04-09 17:48:00,-25.0,Cycle Count,mgr_2,2026-04-09,True
ADJ00000297,WH0010,SKU0000078,2026-05-24 18:04:00,-50.0,System Correction,mgr_1,2026-05-24,True
ADJ00000299,WH0016,SKU0000361,,-25.0,System Correction,mgr_1,,True
ADJ00000310,WH0001,SKU0000650,,25.0,System Correction,controller,,True
ADJ00000313,WH0005,SKU0000441,,-50.0,Damage,controller,,True
ADJ00000314,WH0008,SKU0000361,2026-01-07 04:18:00,-25.0,System Correction,mgr_2,2026-01-07,True
ADJ00000316,WH0006,SKU0000293,,-25.0,Found Inventory,ops_lead,,True
ADJ00000323,WH0018,SKU0000634,,-25.0,Damage,ops_lead,,True
ADJ00000324,WH0004,SKU0000489,2026-05-23 07:10:00,-25.0,Damage,mgr_1,2026-05-23,True
ADJ00000326,WH0002,SKU0000451,2026-05-05 07:10:00,25.0,Damage,mgr_1,2026-05-05,True
ADJ00000327,WH0007,SKU0000283,,-50.0,Damage,ops_lead,,True
ADJ00000328,WH0011,SKU0000354,,-50.0,Shrinkage,mgr_1,,True
ADJ00000329,WH0020,SKU0000304,,25.0,Damage,unapproved,,True
ADJ00000330,WH0001,SKU0000018,,-50.0,System Correction,unapproved,,True
ADJ00000331,WH0009,SKU0000226,,50.0,Cycle Count,mgr_2,,True
ADJ00000334,WH0023,SKU0000561,,-25.0,Shrinkage,unapproved,,True
ADJ00000335,WH0023,SKU0000431,2026-01-27 06:56:00,50.0,System Correction,ops_lead,2026-01-27,True
ADJ00000337,WH0014,SKU0000677,,25.0,Damage,mgr_2,,True
ADJ00000343,WH0011,SKU0000220,2026-01-29 06:58:00,-25.0,Shrinkage,ops_lead,2026-01-29,True
ADJ00000345,WH0023,SKU0000524,,-50.0,Found Inventory,controller,,True
ADJ00000348,WH0012,SKU0000224,2026-01-02 17:54:00,25.0,Found Inventory,mgr_1,2026-01-02,True
ADJ00000352,WH0011,SKU0000671,,-25.0,System Correction,ops_lead,,True
ADJ00000353,WH0016,SKU0000521,,25.0,Cycle Count,controller,,True
ADJ00000354,WH0009,SKU0000191,2026-05-30 04:09:00,-50.0,Found Inventory,unapproved,2026-05-30,True
ADJ00000357,WH0024,SKU0000612,2026-05-02 18:00:00,-25.0,Damage,controller,2026-05-02,True
ADJ00000359,WH0006,SKU0000571,2026-01-23 11:05:00,50.0,System Correction,mgr_1,2026-01-23,True
ADJ00000362,WH0001,SKU0000684,,25.0,Shrinkage,mgr_1,,True
ADJ00000363,WH0008,SKU0000329,,50.0,Cycle Count,mgr_2,,True
ADJ00000366,WH0023,SKU0000153,,25.0,Damage,controller,,True
ADJ00000367,WH0009,SKU0000325,,25.0,System Correction,ops_lead,,True
ADJ00000368,WH0015,SKU0000217,2026-05-23 04:04:00,25.0,Damage,controller,2026-05-23,True
ADJ00000371,WH0002,SKU0000631,,-50.0,Damage,mgr_1,,True
ADJ00000376,WH0018,SKU0000230,2026-03-02 07:45:00,-50.0,Cycle Count,mgr_1,2026-03-02,True
ADJ00000377,WH0010,SKU0000374,,-25.0,Cycle Count,mgr_1,,True
ADJ00000379,WH0012,SKU0000447,,-25.0,Shrinkage,mgr_1,,True
ADJ00000380,WH0019,SKU0000401,,-50.0,Shrinkage,mgr_1,,True
ADJ00000381,WH0004,SKU0000341,,-25.0,Found Inventory,mgr_2,,True
ADJ00000382,WH0006,SKU0000109,,50.0,Shrinkage,unapproved,,True
ADJ00000384,WH0003,SKU0000681,,25.0,Damage,mgr_2,,True
ADJ00000386,WH0021,SKU0000180,2026-04-19 12:08:00,50.0,Shrinkage,ops_lead,2026-04-19,True
ADJ00000396,WH0024,SKU0000324,,-50.0,Shrinkage,mgr_2,,True
ADJ00000398,WH0011,SKU0000600,,-25.0,Cycle Count,unapproved,,True
ADJ00000399,WH0008,SKU0000246,,-50.0,Damage,controller,,True
ADJ00000400,WH0003,SKU0000358,2026-05-27 01:29:00,50.0,Damage,ops_lead,2026-05-27,True
ADJ00000401,WH0019,SKU0000018,,-50.0,System Correction,mgr_1,,True
ADJ00000402,WH0013,SKU0000052,2026-02-12 05:05:00,-25.0,Damage,mgr_2,2026-02-12,True
ADJ00000404,WH0008,SKU0000236,,-50.0,System Correction,controller,,True
ADJ00000406,WH0019,SKU0000364,,25.0,Damage,ops_lead,,True
ADJ00000407,WH0021,SKU0000390,2026-01-25 03:03:00,25.0,Damage,mgr_2,2026-01-25,True
ADJ00000409,WH0023,SKU0000675,,-25.0,Cycle Count,mgr_2,,True
ADJ00000410,WH0010,SKU0000035,,50.0,Shrinkage,mgr_2,,True
ADJ00000411,WH0004,SKU0000535,,-50.0,Shrinkage,mgr_1,,True
ADJ00000412,WH0016,SKU0000254,2026-05-12 05:50:00,50.0,Shrinkage,ops_lead,2026-05-12,True
ADJ00000414,WH0014,SKU0000688,2026-03-17 23:25:00,-25.0,Found Inventory,unapproved,2026-03-17,True
ADJ00000415,WH0014,SKU0000505,,50.0,Damage,mgr_2,,True
ADJ00000416,WH0010,SKU0000571,,-25.0,Cycle Count,ops_lead,,True
ADJ00000418,WH0016,SKU0000203,2026-01-21 17:15:00,-50.0,Shrinkage,unapproved,2026-01-21,True
ADJ00000421,WH0025,SKU0000520,,-25.0,System Correction,mgr_2,,True
ADJ00000422,WH0015,SKU0000151,,-50.0,System Correction,controller,,True
ADJ00000423,WH0024,SKU0000359,,-25.0,System Correction,ops_lead,,True
ADJ00000428,WH0017,SKU0000381,,25.0,Damage,ops_lead,,True
ADJ00000430,WH0001,SKU0000347,2026-01-19 11:33:00,-50.0,Shrinkage,mgr_2,2026-01-19,True
ADJ00000432,WH0003,SKU0000129,,-25.0,Cycle Count,mgr_1,,True
ADJ00000433,WH0013,SKU0000486,2026-01-08 22:09:00,-50.0,Damage,mgr_1,2026-01-08,True
ADJ00000435,WH0018,SKU0000587,2026-04-07 19:41:00,-25.0,Shrinkage,mgr_2,2026-04-07,True
ADJ00000437,WH0012,SKU0000545,,50.0,Damage,mgr_1,,True
ADJ00000438,WH0013,SKU0000558,2026-05-06 19:30:00,50.0,Found Inventory,mgr_2,2026-05-06,True
ADJ00000439,WH0019,SKU0000355,2026-03-27 08:02:00,-50.0,Cycle Count,mgr_1,2026-03-27,True
ADJ00000440,WH0013,SKU0000026,2026-01-18 04:22:00,-25.0,Damage,unapproved,2026-01-18,True
ADJ00000441,WH0022,SKU0000064,,25.0,System Correction,unapproved,,True
ADJ00000443,WH0025,SKU0000530,2026-03-26 21:35:00,25.0,Cycle Count,controller,2026-03-26,True
ADJ00000446,WH0017,SKU0000553,,-25.0,System Correction,mgr_1,,True
ADJ00000447,WH0007,SKU0000401,,25.0,System Correction,mgr_2,,True
ADJ00000448,WH0025,SKU0000421,,25.0,Shrinkage,mgr_2,,True
ADJ00000450,WH0009,SKU0000161,,-50.0,Damage,unapproved,,True
ADJ00000451,WH0019,SKU0000634,,50.0,Shrinkage,mgr_2,,True
ADJ00000452,WH0011,SKU0000356,2026-01-01 10:44:00,25.0,System Correction,mgr_2,2026-01-01,True
ADJ00000453,WH0016,SKU0000634,2026-02-23 10:05:00,50.0,Shrinkage,mgr_1,2026-02-23,True
ADJ00000454,WH0004,SKU0000627,,-50.0,Shrinkage,ops_lead,,True
ADJ00000456,WH0002,SKU0000638,,25.0,Cycle Count,controller,,True
ADJ00000458,WH0021,SKU0000301,2026-03-07 02:02:00,-50.0,Damage,unapproved,2026-03-07,True
ADJ00000462,WH0017,SKU0000327,,-50.0,Shrinkage,unapproved,,True
ADJ00000463,WH0013,SKU0000680,2026-04-21 03:34:00,25.0,Cycle Count,mgr_1,2026-04-21,True
ADJ00000464,WH0023,SKU0000629,2026-02-13 23:39:00,-25.0,Cycle Count,unapproved,2026-02-13,True
ADJ00000465,WH0017,SKU0000382,2026-05-15 17:59:00,50.0,Shrinkage,mgr_1,2026-05-15,True
ADJ00000470,WH0025,SKU0000311,,25.0,Damage,unapproved,,True
ADJ00000471,WH0021,SKU0000378,2026-05-30 11:10:00,50.0,System Correction,mgr_2,2026-05-30,True
ADJ00000474,WH0020,SKU0000230,2026-02-07 19:02:00,-25.0,System Correction,mgr_2,2026-02-07,True
ADJ00000475,WH0001,SKU0000634,2026-01-24 21:08:00,25.0,System Correction,mgr_2,2026-01-24,True
ADJ00000476,WH0017,SKU0000393,2026-01-03 15:50:00,50.0,Cycle Count,ops_lead,2026-01-03,True
ADJ00000478,WH0023,SKU0000346,,25.0,System Correction,ops_lead,,True
ADJ00000482,WH0017,SKU0000648,2026-04-30 05:15:00,50.0,Shrinkage,ops_lead,2026-04-30,True
ADJ00000483,WH0008,SKU0000411,2026-05-30 04:03:00,-50.0,System Correction,mgr_1,2026-05-30,True
ADJ00000485,WH0001,SKU0000047,,-50.0,Damage,mgr_1,,True
ADJ00000489,WH0022,SKU0000001,,-25.0,Cycle Count,controller,,True
ADJ00000490,WH0016,SKU0000418,2026-02-02 10:28:00,25.0,Shrinkage,mgr_2,2026-02-02,True
ADJ00000492,WH0006,SKU0000536,2026-05-28 04:37:00,-25.0,Shrinkage,unapproved,2026-05-28,True
ADJ00000493,WH0002,SKU0000618,,50.0,System Correction,controller,,True
ADJ00000498,WH0003,SKU0000512,,50.0,System Correction,unapproved,,True
ADJ00000503,WH0022,SKU0000310,2026-04-12 06:58:00,25.0,Found Inventory,ops_lead,2026-04-12,True
ADJ00000506,WH0023,SKU0000116,,50.0,Cycle Count,unapproved,,True
ADJ00000507,WH0006,SKU0000131,,25.0,Shrinkage,ops_lead,,True
ADJ00000508,WH0014,SKU0000307,,25.0,System Correction,controller,,True
ADJ00000512,WH0004,SKU0000601,,-25.0,Cycle Count,controller,,True
ADJ00000513,WH0011,SKU0000457,2026-03-26 13:12:00,-50.0,Cycle Count,ops_lead,2026-03-26,True
ADJ00000516,WH0011,SKU0000027,2026-01-29 11:56:00,-50.0,Damage,mgr_1,2026-01-29,True
ADJ00000517,WH0006,SKU0000150,2026-02-27 02:16:00,-25.0,Damage,controller,2026-02-27,True
ADJ00000519,WH0018,SKU0000119,,-50.0,Found Inventory,unapproved,,True
ADJ00000521,WH0009,SKU0000204,2026-03-19 01:37:00,25.0,Cycle Count,ops_lead,2026-03-19,True
ADJ00000523,WH0016,SKU0000521,,-25.0,Found Inventory,unapproved,,True
ADJ00000532,WH0014,SKU0000295,2026-02-06 02:30:00,-25.0,Shrinkage,unapproved,2026-02-06,True
ADJ00000535,WH0012,SKU0000539,2026-02-16 16:44:00,-50.0,Shrinkage,unapproved,2026-02-16,True
ADJ00000536,WH0013,SKU0000290,2026-03-11 10:48:00,-25.0,System Correction,mgr_1,2026-03-11,True
ADJ00000538,WH0001,SKU0000498,,-25.0,Cycle Count,mgr_1,,True
ADJ00000539,WH0004,SKU0000424,,25.0,System Correction,unapproved,,True
ADJ00000541,WH0023,SKU0000219,2026-01-26 00:06:00,50.0,Found Inventory,ops_lead,2026-01-26,True
ADJ00000542,WH0015,SKU0000298,,25.0,System Correction,unapproved,,True
ADJ00000543,WH0012,SKU0000377,,-25.0,Shrinkage,unapproved,,True
ADJ00000549,WH0012,SKU0000576,2026-04-06 18:30:00,-50.0,Shrinkage,ops_lead,2026-04-06,True
ADJ00000551,WH0015,SKU0000667,2026-02-23 22:05:00,25.0,System Correction,ops_lead,2026-02-23,True
ADJ00000552,WH0002,SKU0000576,,50.0,Cycle Count,controller,,True
ADJ00000554,WH0023,SKU0000354,,25.0,Cycle Count,mgr_2,,True
ADJ00000555,WH0005,SKU0000404,,25.0,Found Inventory,mgr_1,,True
ADJ00000556,WH0015,SKU0000439,2026-01-16 05:19:00,50.0,Shrinkage,ops_lead,2026-01-16,True
ADJ00000560,WH0022,SKU0000387,2026-05-23 21:28:00,-50.0,System Correction,ops_lead,2026-05-23,True
ADJ00000564,WH0018,SKU0000198,2026-01-14 16:54:00,25.0,Found Inventory,mgr_2,2026-01-14,True
ADJ00000566,WH0025,SKU0000277,2026-05-28 17:34:00,50.0,Cycle Count,controller,2026-05-28,True
ADJ00000567,WH0009,SKU0000239,2026-02-22 01:42:00,50.0,Cycle Count,mgr_1,2026-02-22,True
ADJ00000570,WH0025,SKU0000516,2026-01-09 14:28:00,-25.0,Cycle Count,unapproved,2026-01-09,True
ADJ00000571,WH0025,SKU0000452,,50.0,Damage,mgr_1,,True
ADJ00000572,WH0003,SKU0000603,,50.0,Found Inventory,mgr_1,,True
ADJ00000575,WH0015,SKU0000101,2026-01-19 09:33:00,-25.0,Cycle Count,ops_lead,2026-01-19,True
ADJ00000579,WH0017,SKU0000049,2026-05-31 16:57:00,-50.0,Cycle Count,controller,2026-05-31,True
ADJ00000583,WH0006,SKU0000015,,-25.0,Cycle Count,mgr_1,,True
ADJ00000584,WH0011,SKU0000390,2026-04-27 03:18:00,-25.0,Cycle Count,ops_lead,2026-04-27,True
ADJ00000587,WH0011,SKU0000498,,-25.0,System Correction,unapproved,,True
ADJ00000588,WH0014,SKU0000402,,-25.0,Found Inventory,mgr_1,,True
ADJ00000589,WH0023,SKU0000484,,-50.0,System Correction,controller,,True
ADJ00000590,WH0025,SKU0000009,2026-01-27 00:15:00,25.0,Found Inventory,mgr_2,2026-01-27,True
ADJ00000592,WH0015,SKU0000555,,-25.0,Shrinkage,mgr_1,,True
ADJ00000597,WH0012,SKU0000192,,25.0,System Correction,controller,,True
ADJ00000599,WH0007,SKU0000334,,25.0,Found Inventory,controller,,True
ADJ00000600,WH0001,SKU0000355,,50.0,Damage,unapproved,,True
ADJ00000603,WH0002,SKU0000112,2026-03-03 04:52:00,50.0,System Correction,controller,2026-03-03,True
ADJ00000610,WH0020,SKU0000015,2026-05-23 21:16:00,25.0,Damage,mgr_2,2026-05-23,True
ADJ00000611,WH0014,SKU0000338,2026-05-08 02:00:00,25.0,Found Inventory,mgr_2,2026-05-08,True
ADJ00000614,WH0020,SKU0000227,2026-03-13 20:58:00,-25.0,Found Inventory,unapproved,2026-03-13,True
ADJ00000617,WH0024,SKU0000023,,-50.0,Found Inventory,unapproved,,True
ADJ00000620,WH0005,SKU0000016,2026-02-14 21:33:00,-25.0,Damage,ops_lead,2026-02-14,True
ADJ00000623,WH0006,SKU0000002,,50.0,Shrinkage,controller,,True
ADJ00000624,WH0019,SKU0000258,2026-03-04 08:46:00,50.0,Cycle Count,mgr_2,2026-03-04,True
ADJ00000625,WH0009,SKU0000673,,50.0,System Correction,mgr_1,,True
ADJ00000627,WH0006,SKU0000469,2026-03-01 07:27:00,-50.0,System Correction,ops_lead,2026-03-01,True
ADJ00000632,WH0010,SKU0000360,,50.0,Found Inventory,unapproved,,True
ADJ00000634,WH0004,SKU0000311,2026-02-05 00:15:00,50.0,Found Inventory,controller,2026-02-05,True
ADJ00000639,WH0014,SKU0000097,,-50.0,Damage,controller,,True
