receipt_line_id,receipt_id,po_line_id,product_id,received_qty,rejected_qty,damage_reason,valid_received_qty,po_id,warehouse_id,receipt_date,receipt_status,inspection_status,ordered_qty,unit_cost,fill_rate,rejected_rate
RCL0000000077,RCV00000041,POL0000001848,SKU0000083,110.0,5.0,Damaged packaging,True,PO00000734,WH0006,,Received,Failed,100.0,244.15,1.1,0.045454545454545456
RCL0000000079,RCV00000042,POL0000001420,SKU0000579,110.0,0.0,Damaged packaging,True,PO00000561,WH0008,2026-04-07,Rejected,Passed,100.0,289.24,1.1,0.0
RCL0000000080,RCV00000043,POL0000000861,SKU0000667,50.0,0.0,Incorrect item,True,PO00000336,WH0025,,Partial,Passed,50.0,282.23,1.0,0.0
RCL0000000083,RCV00000044,POL0000000389,SKU0000420,500.0,1.0,Incorrect item,True,PO00000154,WH0025,,Rejected,Failed,1000.0,158.76,0.5,0.002
RCL0000000084,RCV00000045,POL0000000182,SKU0000245,550.0,2.0,,True,PO00000066,WH0007,2026-04-26,Rejected,Failed,500.0,209.38,1.1,0.0036363636363636364
RCL0000000085,RCV00000046,POL0000000521,SKU0000222,75.0,5.0,,True,PO00000207,WH0024,,Received,Passed,100.0,5.74,0.75,0.06666666666666667
RCL0000000086,RCV00000046,POL0000000522,SKU0000146,125.0,0.0,,True,PO00000207,WH0024,,Received,Passed,250.0,223.17,0.5,0.0
RCL0000000087,RCV00000047,POL0000001610,SKU0000268,275.0,5.0,Incorrect item,True,PO00000633,WH0020,2026-05-18,Partial,Passed,250.0,293.05,1.1,0.01818181818181818
RCL0000000088,RCV00000047,POL0000001611,SKU0000673,1100.0,1.0,Damaged packaging,True,PO00000633,WH0020,2026-05-18,Partial,Passed,1000.0,116.56,1.1,0.0009090909090909091
RCL0000000089,RCV00000047,POL0000001612,SKU0000273,1000.0,2.0,Damaged packaging,True,PO00000633,WH0020,2026-05-18,Partial,Passed,1000.0,103.99,1.0,0.002
RCL0000000090,RCV00000048,POL0000000795,SKU0000455,55.0,5.0,Temperature breach,True,PO00000311,WH0003,2026-05-05,Received,Passed,50.0,130.54,1.1,0.09090909090909091
RCL0000000091,RCV00000048,POL0000000792,SKU0000646,1000.0,0.0,Damaged packaging,True,PO00000311,WH0003,2026-05-05,Received,Passed,1000.0,172.09,1.0,0.0
RCL0000000092,RCV00000048,POL0000000793,SKU0000365,1100.0,0.0,Temperature breach,True,PO00000311,WH0003,2026-05-05,Received,Passed,1000.0,111.5,1.1,0.0
RCL0000000093,RCV00000048,POL0000000794,SKU0000366,250.0,0.0,Incorrect item,True,PO00000311,WH0003,2026-05-05,Received,Passed,500.0,91.53,0.5,0.0
RCL0000000095,RCV00000050,POL0000001635,SKU0000649,375.0,0.0,Incorrect item,True,PO00000645,WH0001,2026-02-22,Received,Passed,500.0,127.15,0.75,0.0
RCL0000000097,RCV00000051,POL0000000147,SKU0000522,500.0,1.0,Incorrect item,True,PO00000053,WH0025,2026-04-22,Partial,Passed,500.0,18.75,1.0,0.002
RCL0000000098,RCV00000051,POL0000000146,SKU0000032,250.0,0.0,Incorrect item,True,PO00000053,WH0025,2026-04-22,Partial,Passed,500.0,111.82,0.5,0.0
RCL0000000099,RCV00000052,POL0000001770,SKU0000411,250.0,5.0,,True,PO00000700,WH0020,,Rejected,Passed,250.0,164.32,1.0,0.02
RCL0000000100,RCV00000053,POL0000000290,SKU0000407,75.0,1.0,Damaged packaging,True,PO00000114,WH0024,,Rejected,Failed,100.0,8.52,0.75,0.013333333333333334
RCL0000000101,RCV00000054,POL0000001408,SKU0000633,550.0,0.0,Temperature breach,True,PO00000557,WH0011,,Received,Passed,500.0,50.73,1.1,0.0
RCL0000000102,RCV00000055,POL0000000383,SKU0000361,500.0,1.0,,True,PO00000151,WH0022,2026-04-19,Received,Failed,1000.0,46.82,0.5,0.002
RCL0000000103,RCV00000055,POL0000000382,SKU0000688,187.0,0.0,Incorrect item,True,PO00000151,WH0022,2026-04-19,Received,Failed,250.0,8.45,0.748,0.0
RCL0000000104,RCV00000056,POL0000000335,SKU0000366,275.0,0.0,Incorrect item,True,PO00000133,WH0003,,Received,Pending,250.0,91.53,1.1,0.0
RCL0000000105,RCV00000056,POL0000000336,SKU0000580,500.0,0.0,Damaged packaging,True,PO00000133,WH0003,,Received,Pending,500.0,64.94,1.0,0.0
RCL0000000106,RCV00000057,POL0000000564,SKU0000653,110.0,0.0,,True,PO00000225,WH0005,2026-04-22,Received,Passed,100.0,55.07,1.1,0.0
RCL0000000107,RCV00000057,POL0000000565,SKU0000110,1000.0,0.0,,True,PO00000225,WH0005,2026-04-22,Received,Passed,1000.0,170.29,1.0,0.0
RCL0000000109,RCV00000058,POL0000001182,SKU0000479,110.0,1.0,,True,PO00000465,WH0018,2026-04-26,Received,Passed,100.0,258.67,1.1,0.00909090909090909
RCL0000000110,RCV00000059,POL0000001538,SKU0000080,125.0,5.0,Temperature breach,True,PO00000604,WH0012,2026-04-08,Received,Passed,250.0,270.52,0.5,0.04
RCL0000000111,RCV00000060,POL0000001768,SKU0000678,50.0,0.0,Damaged packaging,True,PO00000699,WH0015,2026-03-30,Rejected,Passed,50.0,120.32,1.0,0.0
RCL0000000112,RCV00000061,POL0000001956,SKU0000009,55.0,0.0,,True,PO00000781,WH0025,,Received,Passed,50.0,27.56,1.1,0.0
RCL0000000113,RCV00000062,POL0000000439,SKU0000571,500.0,2.0,,True,PO00000172,WH0003,,Received,Pending,1000.0,48.78,0.5,0.004
RCL0000000115,RCV00000063,POL0000000512,SKU0000656,100.0,0.0,Damaged packaging,True,PO00000203,WH0017,2026-04-18,Rejected,Passed,100.0,49.5,1.0,0.0
RCL0000000116,RCV00000064,POL0000000456,SKU0000684,100.0,0.0,Damaged packaging,True,PO00000179,WH0018,,Received,Passed,100.0,116.84,1.0,0.0
RCL0000000117,RCV00000065,POL0000000899,SKU0000579,100.0,1.0,Incorrect item,True,PO00000351,WH0007,,Received,Passed,100.0,289.24,1.0,0.01
RCL0000000120,RCV00000068,POL0000000828,SKU0000664,50.0,0.0,Incorrect item,True,PO00000325,WH0008,2026-06-02,Received,Pending,50.0,237.21,1.0,0.0
RCL0000000121,RCV00000069,POL0000000717,SKU0000630,750.0,0.0,,True,PO00000279,WH0001,,Received,Pending,1000.0,262.31,0.75,0.0
RCL0000000123,RCV00000070,POL0000001918,SKU0000660,1000.0,0.0,Damaged packaging,True,PO00000764,WH0021,,Received,Passed,1000.0,16.29,1.0,0.0
RCL0000000124,RCV00000070,POL0000001919,SKU0000391,187.0,0.0,Incorrect item,True,PO00000764,WH0021,,Received,Passed,250.0,209.64,0.748,0.0
RCL0000000127,RCV00000072,POL0000000485,SKU0000106,75.0,2.0,Incorrect item,True,PO00000193,WH0016,,Received,Failed,100.0,71.95,0.75,0.02666666666666667
RCL0000000130,RCV00000074,POL0000000592,SKU0000200,50.0,1.0,Incorrect item,True,PO00000236,WH0002,2026-05-12,Received,Passed,50.0,224.59,1.0,0.02
RCL0000000131,RCV00000075,POL0000001766,SKU0000125,500.0,1.0,,True,PO00000698,WH0009,2026-01-27,Received,Failed,500.0,173.82,1.0,0.002
RCL0000000132,RCV00000076,POL0000001171,SKU0000175,110.0,0.0,Damaged packaging,True,PO00000461,WH0012,,Received,Pending,100.0,226.42,1.1,0.0
RCL0000000134,RCV00000076,POL0000001169,SKU0000396,500.0,0.0,Damaged packaging,True,PO00000461,WH0012,,Received,Pending,500.0,140.96,1.0,0.0
RCL0000000135,RCV00000077,POL0000001845,SKU0000415,500.0,1.0,,True,PO00000732,WH0021,2026-04-04,Partial,Failed,500.0,220.81,1.0,0.002
RCL0000000136,RCV00000078,POL0000001329,SKU0000186,375.0,1.0,Damaged packaging,True,PO00000521,WH0011,,Rejected,Pending,500.0,45.56,0.75,0.0026666666666666666
RCL0000000137,RCV00000079,POL0000000242,SKU0000533,75.0,1.0,Incorrect item,True,PO00000090,WH0011,,Partial,Passed,100.0,240.22,0.75,0.013333333333333334
RCL0000000138,RCV00000080,POL0000001236,SKU0000501,550.0,1.0,Damaged packaging,True,PO00000487,WH0001,,Partial,Failed,500.0,233.5,1.1,0.0018181818181818182
RCL0000000140,RCV00000081,POL0000000114,SKU0000674,750.0,1.0,Incorrect item,True,PO00000039,WH0016,2026-03-07,Partial,Passed,1000.0,99.69,0.75,0.0013333333333333333
RCL0000000142,RCV00000082,POL0000001550,SKU0000394,75.0,0.0,Damaged packaging,True,PO00000609,WH0013,,Rejected,Passed,100.0,48.14,0.75,0.0
RCL0000000143,RCV00000083,POL0000000888,SKU0000432,250.0,0.0,,True,PO00000345,WH0024,2026-03-25,Received,Passed,250.0,208.9,1.0,0.0
RCL0000000144,RCV00000084,POL0000002001,SKU0000380,75.0,2.0,,True,PO00000800,WH0022,,Received,Pending,100.0,116.16,0.75,0.02666666666666667
RCL0000000145,RCV00000084,POL0000002002,SKU0000071,75.0,1.0,,True,PO00000800,WH0022,,Received,Pending,100.0,92.75,0.75,0.013333333333333334
RCL0000000147,RCV00000085,POL0000000590,SKU0000127,500.0,1.0,Incorrect item,True,PO00000235,WH0005,,Rejected,Pending,500.0,183.86,1.0,0.002
RCL0000000148,RCV00000085,POL0000000589,SKU0000076,75.0,0.0,,True,PO00000235,WH0005,,Rejected,Pending,100.0,64.98,0.75,0.0
RCL0000000150,RCV00000086,POL0000001337,SKU0000008,1100.0,5.0,Damaged packaging,True,PO00000523,WH0017,,Partial,Pending,1000.0,295.17,1.1,0.004545454545454545
RCL0000000152,RCV00000088,POL0000001298,SKU0000634,1100.0,5.0,,True,PO00000510,WH0012,2026-05-03,Received,Passed,1000.0,184.66,1.1,0.004545454545454545
RCL0000000154,RCV00000088,POL0000001297,SKU0000650,750.0,2.0,Damaged packaging,True,PO00000510,WH0012,2026-05-03,Received,Passed,1000.0,14.28,0.75,0.0026666666666666666
RCL0000000155,RCV00000089,POL0000000606,SKU0000259,25.0,0.0,Damaged packaging,True,PO00000241,WH0023,,Partial,Pending,50.0,181.31,0.5,0.0
RCL0000000156,RCV00000089,POL0000000607,SKU0000114,50.0,0.0,Incorrect item,True,PO00000241,WH0023,,Partial,Pending,100.0,145.89,0.5,0.0
RCL0000000158,RCV00000090,POL0000000840,SKU0000399,75.0,0.0,Damaged packaging,True,PO00000329,WH0005,,Partial,Failed,100.0,29.14,0.75,0.0
RCL0000000160,RCV00000090,POL0000000842,SKU0000611,50.0,1.0,Damaged packaging,True,PO00000329,WH0005,,Partial,Failed,50.0,185.61,1.0,0.02
RCL0000000161,RCV00000090,POL0000000843,SKU0000511,50.0,0.0,,True,PO00000329,WH0005,,Partial,Failed,50.0,118.6,1.0,0.0
RCL0000000162,RCV00000091,POL0000001049,SKU0000041,55.0,1.0,,True,PO00000410,WH0005,,Received,Failed,50.0,227.5,1.1,0.01818181818181818
RCL0000000164,RCV00000092,POL0000001914,SKU0000210,37.0,2.0,Damaged packaging,True,PO00000761,WH0001,,Partial,Failed,50.0,26.81,0.74,0.05405405405405406
RCL0000000165,RCV00000093,POL0000000417,SKU0000141,500.0,0.0,Damaged packaging,True,PO00000164,WH0016,2026-03-05,Received,Failed,500.0,269.52,1.0,0.0
RCL0000000166,RCV00000094,POL0000000584,SKU0000209,110.0,0.0,Temperature breach,True,PO00000233,WH0004,2026-05-12,Received,Passed,100.0,228.55,1.1,0.0
RCL0000000168,RCV00000095,POL0000001816,SKU0000585,250.0,0.0,Temperature breach,True,PO00000718,WH0001,,Rejected,Failed,250.0,185.08,1.0,0.0
RCL0000000170,RCV00000096,POL0000000767,SKU0000457,1000.0,1.0,Temperature breach,True,PO00000302,WH0007,2026-01-29,Received,Passed,1000.0,50.55,1.0,0.001
RCL0000000171,RCV00000097,POL0000000284,SKU0000272,275.0,0.0,,True,PO00000110,WH0019,,Rejected,Failed,250.0,253.68,1.1,0.0
RCL0000000172,RCV00000097,POL0000000283,SKU0000182,250.0,0.0,,True,PO00000110,WH0019,,Rejected,Failed,250.0,173.83,1.0,0.0
RCL0000000177,RCV00000099,POL0000000901,SKU0000102,50.0,1.0,Damaged packaging,True,PO00000352,WH0022,,Partial,Passed,100.0,66.95,0.5,0.02
RCL0000000178,RCV00000099,POL0000000902,SKU0000122,250.0,0.0,Incorrect item,True,PO00000352,WH0022,,Partial,Passed,250.0,100.15,1.0,0.0
RCL0000000179,RCV00000100,POL0000000730,SKU0000417,250.0,5.0,Temperature breach,True,PO00000285,WH0004,2026-05-18,Received,Passed,500.0,107.86,0.5,0.02
RCL0000000181,RCV00000101,POL0000000856,SKU0000596,500.0,0.0,,True,PO00000334,WH0007,,Received,Passed,500.0,6.93,1.0,0.0
RCL0000000182,RCV_UNKNOWN,POL0000000558,SKU0000099,50.0,5.0,Incorrect item,True,,,,,,,,,0.1
RCL0000000183,RCV00000102,POL0000000559,SKU0000501,25.0,5.0,Temperature breach,True,PO00000223,WH0002,,Partial,Passed,50.0,233.5,0.5,0.2
RCL0000000184,RCV00000103,POL0000001810,SKU0000502,750.0,0.0,,True,PO00000715,WH0023,2026-06-02,Rejected,Pending,1000.0,297.05,0.75,0.0
RCL0000000187,RCV00000104,POL0000001422,SKU0000463,55.0,0.0,Incorrect item,True,PO00000562,WH0008,2026-03-31,Rejected,Pending,50.0,239.54,1.1,0.0
RCL0000000188,RCV00000105,POL0000000760,SKU0000272,50.0,0.0,Damaged packaging,True,PO00000298,WH0017,,Rejected,Failed,50.0,253.68,1.0,0.0
RCL0000000189,RCV00000105,POL0000000759,SKU0000618,1100.0,0.0,,True,PO00000298,WH0017,,Rejected,Failed,1000.0,17.24,1.1,0.0
RCL0000000190,RCV00000105,POL0000000758,SKU0000076,1000.0,0.0,Damaged packaging,True,PO00000298,WH0017,,Rejected,Failed,1000.0,64.98,1.0,0.0
RCL0000000191,RCV00000106,POL0000000895,SKU0000023,250.0,5.0,Damaged packaging,True,PO00000350,WH0014,,Received,Pending,250.0,247.82,1.0,0.02
RCL0000000192,RCV00000107,POL0000001242,SKU0000460,250.0,0.0,,True,PO00000489,WH0017,2026-04-12,Received,Passed,250.0,163.81,1.0,0.0
RCL0000000193,RCV00000107,POL0000001240,SKU0000003,275.0,2.0,Incorrect item,True,PO00000489,WH0017,2026-04-12,Received,Passed,250.0,65.98,1.1,0.007272727272727273
RCL0000000195,RCV00000109,POL0000001638,SKU0000425,275.0,2.0,,True,PO00000647,WH0002,2026-04-10,Received,Pending,250.0,235.42,1.1,0.007272727272727273
RCL0000000196,RCV00000110,POL0000001264,SKU0000415,125.0,2.0,Damaged packaging,True,PO00000499,WH0009,,Received,Passed,250.0,220.81,0.5,0.016
RCL0000000197,RCV00000111,POL0000001764,SKU0000207,55.0,5.0,Incorrect item,True,PO00000696,WH0012,2026-04-10,Received,Failed,50.0,88.77,1.1,0.09090909090909091
RCL0000000199,RCV00000112,POL0000000743,SKU0000012,550.0,2.0,Damaged packaging,True,PO00000292,WH0003,2026-06-02,Received,Passed,500.0,220.94,1.1,0.0036363636363636364
RCL0000000200,RCV00000113,POL0000000069,SKU0000012,50.0,1.0,Damaged packaging,True,PO00000024,WH0019,2026-03-20,Rejected,Pending,50.0,220.94,1.0,0.02
RCL0000000201,RCV00000113,POL0000000068,SKU0000661,125.0,0.0,,True,PO00000024,WH0019,2026-03-20,Rejected,Pending,250.0,24.97,0.5,0.0
RCL0000000204,RCV00000114,POL0000001277,SKU0000004,110.0,0.0,Incorrect item,True,PO00000504,WH0004,,Received,Pending,100.0,11.66,1.1,0.0
RCL0000000205,RCV00000115,POL0000000988,SKU0000053,250.0,0.0,Temperature breach,True,PO00000388,WH0001,,Received,Pending,500.0,104.27,0.5,0.0
RCL0000000209,RCV00000117,POL0000000996,SKU0000083,1000.0,5.0,Damaged packaging,True,PO00000390,WH0024,2026-03-03,Partial,Pending,1000.0,244.15,1.0,0.005
RCL0000000210,RCV00000117,POL0000000995,SKU0000004,50.0,0.0,Incorrect item,True,PO00000390,WH0024,2026-03-03,Partial,Pending,50.0,11.66,1.0,0.0
RCL0000000211,RCV00000118,POL0000000747,SKU0000524,125.0,0.0,,True,PO00000294,WH0001,2026-04-03,Rejected,Failed,250.0,260.06,0.5,0.0
RCL0000000212,RCV00000118,POL0000000746,SKU0000393,500.0,5.0,,True,PO00000294,WH0001,2026-04-03,Rejected,Failed,500.0,79.34,1.0,0.01
RCL0000000213,RCV00000118,POL0000000748,SKU0000055,550.0,0.0,Damaged packaging,True,PO00000294,WH0001,2026-04-03,Rejected,Failed,500.0,200.83,1.1,0.0
RCL0000000215,RCV00000119,POL0000000060,SKU0000181,275.0,5.0,,True,PO00000021,WH0017,2026-02-13,Received,Pending,250.0,169.03,1.1,0.01818181818181818
RCL0000000216,RCV00000119,POL0000000059,SKU0000002,187.0,1.0,Damaged packaging,True,PO00000021,WH0017,2026-02-13,Received,Pending,250.0,191.37,0.748,0.0053475935828877
RCL0000000217,RCV00000120,POL0000000320,SKU0000385,110.0,1.0,Damaged packaging,True,PO00000126,WH0021,2026-03-19,Rejected,Pending,100.0,110.68,1.1,0.00909090909090909
RCL0000000219,RCV00000121,POL0000001036,SKU0000076,375.0,0.0,,True,PO00000405,WH0012,2026-04-07,Partial,Pending,500.0,64.98,0.75,0.0
RCL0000000223,RCV00000124,POL0000000149,SKU0000249,1100.0,0.0,Damaged packaging,True,PO00000054,WH0005,,Partial,Pending,1000.0,19.78,1.1,0.0
RCL0000000224,RCV00000124,POL0000000148,SKU0000361,550.0,1.0,Damaged packaging,True,PO00000054,WH0005,,Partial,Pending,500.0,46.82,1.1,0.0018181818181818182
RCL0000000227,RCV00000127,POL0000000172,SKU0000321,375.0,0.0,Temperature breach,True,PO00000062,WH0019,,Received,Passed,500.0,128.78,0.75,0.0
RCL0000000228,RCV00000127,POL0000000171,SKU0000032,55.0,1.0,Temperature breach,True,PO00000062,WH0019,,Received,Passed,50.0,111.82,1.1,0.01818181818181818
RCL0000000230,RCV00000128,POL0000000974,SKU0000156,110.0,0.0,Temperature breach,True,PO00000383,WH0018,2026-05-11,Received,Passed,100.0,203.01,1.1,0.0
RCL0000000231,RCV00000128,POL0000000975,SKU0000228,500.0,0.0,,True,PO00000383,WH0018,2026-05-11,Received,Passed,1000.0,290.95,0.5,0.0
RCL0000000234,RCV00000130,POL0000000928,SKU0000478,100.0,0.0,Damaged packaging,True,PO00000363,WH0002,,Received,Passed,100.0,113.13,1.0,0.0
RCL0000000235,RCV00000131,POL0000001084,SKU0000396,250.0,2.0,Temperature breach,True,PO00000427,WH0012,,Received,Pending,250.0,140.96,1.0,0.008
RCL0000000236,RCV00000131,POL0000001085,SKU0000633,25.0,0.0,Damaged packaging,True,PO00000427,WH0012,,Received,Pending,50.0,50.73,0.5,0.0
RCL0000000237,RCV00000131,POL0000001083,SKU0000039,55.0,0.0,Incorrect item,True,PO00000427,WH0012,,Received,Pending,50.0,186.43,1.1,0.0
RCL0000000239,RCV00000133,POL0000001517,SKU0000659,250.0,0.0,Temperature breach,True,PO00000594,WH0015,2026-03-27,Received,Passed,250.0,217.93,1.0,0.0
RCL0000000240,RCV00000133,POL0000001515,SKU0000198,750.0,0.0,,True,PO00000594,WH0015,2026-03-27,Received,Passed,1000.0,36.83,0.75,0.0
RCL0000000241,RCV00000133,POL0000001516,SKU0000026,750.0,0.0,,True,PO00000594,WH0015,2026-03-27,Received,Passed,1000.0,161.1,0.75,0.0
RCL0000000242,RCV00000134,POL0000000788,SKU0000444,375.0,0.0,Damaged packaging,True,PO00000309,WH0016,2026-03-01,Received,Passed,500.0,234.25,0.75,0.0
