order_date,sales_channel,order_count,line_count,units_ordered,net_sales_usd,gross_margin_usd
2026-02-05,Retail Store,1,1,2.0,11.212798079999999,-1.8466400000000007
2026-02-06,EDI,2,8,156.0,27351.696,4219.5059999999985
2026-02-06,Marketplace,3,5,31.0,6598.54074,2191.1311800000003
2026-02-06,Phone,1,2,53.0,265.70377185300003,122.16163597300002
2026-02-06,Retail Store,1,4,52.0,893.9150330000001,501.91913750000003
2026-02-07,B2B Portal,1,4,18.0,175.192926948,88.569874458
2026-02-07,EDI,1,3,28.0,716.1958226475001,334.10915391750007
2026-02-07,Marketplace,1,1,2.0,628.1556788400001,334.59137472000003
2026-02-07,Phone,1,2,15.0,2754.99,722.3900000000001
2026-02-08,B2B Portal,1,3,54.0,28938.284,16053.163999999999
2026-02-08,Retail Store,1,3,12.0,7588.072999999999,4512.292999999999
2026-02-09,Phone,1,3,75.0,19736.077000837504,12346.629430837502
2026-02-09,Retail Store,1,2,7.0,154.30380367499998,61.53283843499998
2026-02-10,B2B Portal,3,6,61.0,4877.77024765,1767.9462651500003
2026-02-10,EDI,1,3,85.0,18266.925,10198.824999999999
2026-02-10,Marketplace,4,14,145.0,17564.238542247,7471.053245127
2026-02-11,B2B Portal,1,3,18.0,277.64833950499997,96.33555508499998
2026-02-11,Marketplace,1,3,70.0,8214.0754719,2899.9142772000005
2026-02-11,Phone,2,7,183.0,34765.5014310985,12702.9855638885
2026-02-11,Retail Store,1,1,3.0,1344.8249496,718.2587799000003
2026-02-12,EDI,2,3,65.0,4264.47913066,2909.9849242600003
2026-02-12,Marketplace,2,5,91.0,1312.4302080325,317.5244592825
2026-02-12,Retail Store,1,5,37.0,10202.22614254,4661.99786404
2026-02-13,B2B Portal,2,5,80.0,34959.851617520006,16778.38877027
2026-02-13,EDI,1,3,23.0,4508.25475,1599.7847499999998
2026-02-14,Phone,2,5,165.0,16980.3125,6150.8625
2026-02-14,Retail Store,1,2,55.0,11732.35,4633.15
2026-02-15,EDI,3,8,180.0,50866.566999999995,22720.877
2026-02-15,Retail Store,3,9,112.0,18300.875699926,6635.588040576
2026-02-16,B2B Portal,1,3,41.0,996.0022264,514.1079138
2026-02-16,EDI,1,2,16.0,3928.0897500000005,3841.559750000001
2026-02-16,Marketplace,1,4,140.0,981.6381909375,-106.67795681250004
2026-02-17,B2B Portal,1,5,122.0,30212.565,11704.105
2026-02-17,Phone,1,2,11.0,5665.49864384,3039.0638109599995
2026-02-18,B2B Portal,1,4,29.0,4950.639231720001,1537.9409945200007
2026-02-18,EDI,1,1,15.0,3862.567210425,549.0569348250006
2026-02-18,Marketplace,1,1,50.0,881.057702,252.34700399999997
2026-02-18,Phone,1,1,2.0,74.72,27.339999999999996
2026-02-18,Retail Store,1,5,51.0,13339.4475,6362.5975
2026-02-19,B2B Portal,3,6,72.0,34611.601,16077.761
2026-02-19,Phone,2,5,116.0,5862.952483125,1985.6098931249999
2026-02-19,Retail Store,2,4,10.0,1275.02349,239.89924249999993
2026-02-20,B2B Portal,2,6,75.0,3240.3094299150002,1194.0898355050003
2026-02-20,EDI,3,6,27.0,7496.54070703,3671.0106631400004
2026-02-20,Phone,1,2,53.0,13750.33,3530.8199999999997
2026-02-20,Retail Store,2,5,61.0,6064.478,2729.828
2026-02-21,Marketplace,1,2,4.0,946.1805,314.1005
2026-02-22,EDI,1,2,4.0,1341.1760000000002,352.89600000000013
2026-02-22,Marketplace,1,3,8.0,2259.63,974.72
2026-02-22,Retail Store,1,1,50.0,322.5034317,134.03835270000002
2026-02-23,B2B Portal,4,8,52.0,10091.18586687,-281.87917752999954
2026-02-23,Phone,1,1,5.0,701.9308534000002,443.5839338000001
2026-02-23,Retail Store,1,2,7.0,2099.13,1065.5300000000002
2026-02-24,Marketplace,2,2,52.0,2050.2454752,762.6327712000001
2026-02-25,B2B Portal,3,6,49.0,8796.0952717665,2843.4248360865
2026-02-25,EDI,1,3,115.0,1721.0980478125,634.0613753124999
2026-02-25,Marketplace,2,3,21.0,5583.6185000000005,323.4785000000002
2026-02-25,Phone,1,1,1.0,29.27352939,29.27352939
2026-02-26,EDI,1,5,87.0,14879.826978722496,-1863.1130226475016
2026-02-26,Marketplace,1,4,126.0,22359.325,9398.675
2026-02-26,Phone,1,3,43.0,9726.601393125,2126.291429125
2026-02-27,EDI,5,13,234.0,62608.5577377965,30362.8765373865
2026-02-27,Phone,2,5,30.0,10021.544310792498,3049.8700855624993
2026-02-27,Retail Store,1,3,30.0,13033.590585382,5287.884777121999
2026-02-28,B2B Portal,3,7,29.0,5109.8024526399995,3083.3535880799996
2026-02-28,EDI,4,10,117.0,18212.60575,6112.215749999999
2026-02-28,Phone,2,3,54.0,1979.379452864,985.522814784
2026-02-28,Retail Store,1,3,30.0,12916.482724920501,5608.531651310502
2026-03-01,B2B Portal,2,5,53.0,16281.214049691,5335.948092601
2026-03-01,Phone,1,2,20.0,6261.8,5100.200000000001
2026-03-01,Retail Store,2,6,111.0,20950.25802008,9023.972731279999
2026-03-02,B2B Portal,7,15,160.0,24737.399217756,8975.449274116001
2026-03-02,Phone,2,5,96.0,39724.6070604,21830.897890549997
2026-03-02,Retail Store,1,2,26.0,311.33757882,169.65469281999998
2026-03-03,B2B Portal,2,5,81.0,3164.3799192125,1598.5403301225
2026-03-03,EDI,1,3,32.0,5745.89,1526.5300000000007
2026-03-03,Marketplace,2,7,126.0,25460.079358848,7929.302419327999
2026-03-03,Retail Store,1,2,53.0,20449.56,10450.550000000001
2026-03-04,B2B Portal,1,4,90.0,36931.44,14344.14
2026-03-04,EDI,1,4,73.0,26356.956279899998,10173.694358939998
2026-03-04,Marketplace,2,4,113.0,11799.103265275,5730.391526775
2026-03-04,Retail Store,1,2,7.0,2344.3237499999996,1307.69375
2026-03-05,B2B Portal,1,2,20.0,1754.2975000000001,269.8475000000001
2026-03-05,EDI,1,1,3.0,1634.31,974.28
2026-03-05,Marketplace,3,7,104.0,46511.860583793496,22713.286924493495
2026-03-05,Phone,1,2,11.0,5079.28,2310.439999999999
2026-03-05,Retail Store,1,2,60.0,32167.6,16559.399999999998
2026-03-06,B2B Portal,2,7,60.0,3277.9031345625003,1356.6839633125003
2026-03-06,EDI,1,3,62.0,3515.79244566,1767.1088966999996
2026-03-06,Marketplace,3,5,97.0,6397.9517558,1078.5767746999998
2026-03-06,Phone,1,1,15.0,11090.068292159998,6242.194469159998
2026-03-06,Retail Store,1,3,12.0,673.2425,154.50250000000005
2026-03-07,B2B Portal,3,11,171.0,30176.007814775498,10468.849747735498
2026-03-07,EDI,2,2,53.0,1544.038974,805.4203259999999
2026-03-07,Marketplace,2,4,78.0,2693.2539188,1254.60563
2026-03-08,B2B Portal,2,6,26.0,5956.723,2196.263
2026-03-08,Phone,1,3,102.0,14466.851872452002,5133.885160152
2026-03-09,B2B Portal,2,5,38.0,12722.318749999999,5613.128749999998
2026-03-09,EDI,1,1,10.0,161.26584164999997,26.054815949999977
2026-03-09,Phone,1,3,68.0,5520.2442589935,1926.4220264534997
2026-03-09,Retail Store,1,2,16.0,203.438125026,48.938757966
2026-03-10,B2B Portal,3,6,34.0,7955.094928670001,3093.54857897
2026-03-10,Phone,1,2,12.0,1480.058044725,790.0960865249999
2026-03-10,Retail Store,1,4,62.0,8049.673,4218.133
2026-03-11,B2B Portal,1,1,5.0,2370.37125,1313.4212500000003
2026-03-11,EDI,1,5,53.0,15714.6191575725,8512.704303922501
2026-03-11,Marketplace,1,4,56.0,12080.455,6003.645
2026-03-11,Phone,2,3,55.0,2564.10319543125,989.4644869312498
2026-03-11,Retail Store,1,1,3.0,653.871,173.63099999999997
2026-03-12,B2B Portal,1,3,36.0,3371.3925,801.4625
2026-03-12,Phone,1,2,12.0,1754.315,844.0150000000001
2026-03-13,B2B Portal,1,4,165.0,44096.104299399994,18027.0840384
2026-03-13,EDI,1,5,88.0,1168.5190415050001,648.876094805
2026-03-14,B2B Portal,1,1,15.0,2847.075,1098.6749999999997
2026-03-14,EDI,2,7,35.0,12988.216775535999,5166.893565296001
2026-03-14,Marketplace,1,3,7.0,2613.33,846.1200000000003
2026-03-15,EDI,1,2,18.0,7400.0985,3257.6385000000005
2026-03-15,Phone,1,5,20.0,328.26901833,80.61115127999996
2026-03-15,Retail Store,2,6,20.0,8256.382444634999,4444.618079084999
2026-03-16,B2B Portal,3,6,155.0,52529.4296131,24923.633407100002
2026-03-16,Marketplace,1,3,80.0,14774.597499999998,6728.897499999998
2026-03-16,Phone,2,5,55.0,12062.372907351999,5873.542995352
2026-03-17,B2B Portal,3,6,84.0,23092.288,7759.727999999999
2026-03-17,Retail Store,1,2,20.0,2290.066548,-860.491016
2026-03-18,B2B Portal,1,3,18.0,7349.7245,3568.7145
2026-03-18,EDI,3,7,147.0,38407.0233358475,15052.217278667502
2026-03-18,Marketplace,3,8,93.0,9148.509549787,1394.4755704170004
2026-03-18,Phone,2,6,166.0,14678.48325,6888.12325
2026-03-18,Retail Store,1,5,103.0,293.98193539,84.37262031
2026-03-19,B2B Portal,2,9,190.0,53504.1021718875,18526.5621455375
2026-03-19,Marketplace,1,2,65.0,16371.075,9710.775000000001
2026-03-19,Retail Store,1,1,3.0,1422.6299999999999,873.1199999999999
2026-03-20,B2B Portal,2,4,33.0,9982.518582370001,4637.96217101
2026-03-20,Marketplace,3,12,184.0,32335.717500000002,12990.337500000001
2026-03-20,Retail Store,2,5,73.0,14421.448027937498,8551.0948106775
2026-03-21,B2B Portal,2,5,190.0,13606.94070875,7484.12794275
2026-03-21,EDI,2,9,138.0,18116.305960319,6581.966660738999
2026-03-21,Phone,1,2,2.0,242.58999999999997,127.89999999999999
2026-03-22,B2B Portal,4,11,116.0,17257.467956192,5161.722166752001
2026-03-22,Marketplace,1,3,66.0,24638.504,11087.284
2026-03-22,Phone,1,3,12.0,721.694,342.114
2026-03-22,Retail Store,2,5,42.0,16714.6789744,6653.0450544000005
2026-03-23,B2B Portal,2,7,124.0,23218.733172919,10396.901396519
2026-03-23,EDI,1,1,25.0,6902.830344637501,4330.691354637501
2026-03-23,Marketplace,1,1,25.0,225.33597,39.34505999999999
2026-03-23,Phone,2,2,35.0,7240.273775999999,3052.8491421999997
2026-03-23,Retail Store,2,7,104.0,12927.27901795,5699.11788195
2026-03-24,B2B Portal,1,3,20.0,2559.536634267,802.3836693869998
2026-03-24,EDI,2,6,85.0,25810.9037523575,11989.9800162175
2026-03-24,Marketplace,1,1,10.0,1831.6999999999998,981.7999999999998
2026-03-25,B2B Portal,2,2,12.0,3728.4690408,2150.46445728
2026-03-25,Marketplace,1,3,13.0,346.00368501125,182.59823714125005
2026-03-25,Phone,1,5,25.0,7963.436499999999,3593.646499999999
2026-03-26,B2B Portal,2,5,97.0,17878.435168589,8061.792681989
2026-03-26,Phone,3,8,92.0,12342.78349329075,4845.88959671075
2026-03-26,Retail Store,2,7,101.0,17512.7171070765,9232.1341079065
2026-03-28,B2B Portal,1,1,10.0,1576.5002785999998,960.1169083999997
2026-03-28,Marketplace,1,2,18.0,3247.9424999999997,-76.68750000000011
2026-03-29,B2B Portal,3,6,87.0,16631.258736900003,7295.811991150002
2026-03-29,Marketplace,2,4,55.0,30023.077394536,16646.474520776
2026-03-29,Retail Store,2,4,62.0,14392.670238568,5535.809374568
2026-03-30,B2B Portal,1,3,3.0,1039.74937781,481.14657539
2026-03-30,Marketplace,2,5,45.0,5495.024984715,2513.4675992649995
2026-03-30,Phone,2,7,52.0,24900.3081930135,17934.828832173498
2026-03-31,B2B Portal,5,7,129.0,26592.797872565,13951.033362965001
2026-03-31,Marketplace,1,2,50.0,4518.375,2392.125
2026-03-31,Phone,1,3,54.0,27836.266,14936.116
2026-04-01,B2B Portal,2,5,38.0,12039.649093586999,6363.367247987
2026-04-01,EDI,1,2,55.0,2056.2,-2296.8
2026-04-01,Retail Store,1,2,28.0,11395.49131938,5269.98830184
2026-04-02,Marketplace,2,4,19.0,9755.902000000002,5474.3420000000015
2026-04-03,EDI,1,2,10.0,3153.605,1457.005
2026-04-03,Phone,1,3,18.0,7126.67425,2787.12425
2026-04-03,Retail Store,3,6,96.0,25487.914119105,9313.593492405
2026-04-04,B2B Portal,2,6,143.0,19285.29171435,9056.0932512
2026-04-04,EDI,1,3,76.0,5579.1575,2730.3675000000003
2026-04-04,Phone,1,1,10.0,192.85500000000002,101.25500000000002
2026-04-05,B2B Portal,3,10,141.0,14408.04499976,6124.09634244
2026-04-05,EDI,2,5,83.0,28580.957164625,13377.957197125
2026-04-05,Marketplace,2,6,96.0,12745.1,2828.76
2026-04-05,Phone,1,2,28.0,1479.04,595.02
2026-04-05,Retail Store,1,1,15.0,274.774626525,136.52461672499996
2026-04-06,B2B Portal,1,3,43.0,9803.512123275,3415.765820675
2026-04-06,Phone,1,1,50.0,814.05,253.54999999999995
2026-04-06,Retail Store,1,3,16.0,3451.5646913280007,1226.9299194880005
2026-04-07,B2B Portal,2,5,38.0,5521.236,474.256
2026-04-07,Marketplace,1,1,1.0,4.139938880000001,2.408183120000001
2026-04-07,Phone,3,4,110.0,13500.161650295,7086.045215595001
2026-04-07,Retail Store,1,1,1.0,461.2,193.64999999999998
2026-04-08,B2B Portal,6,20,254.0,65759.82493450001,32247.059627700004
2026-04-08,Retail Store,1,1,2.0,30.065230279999998,19.1089046
2026-04-09,B2B Portal,2,5,70.0,27274.392350404996,15240.715266804998
2026-04-09,Marketplace,2,3,45.0,14309.150144565,5524.9533310649995
2026-04-09,Phone,2,3,16.0,3851.3530248100005,1535.0318226100003
2026-04-09,Retail Store,1,4,34.0,467.03239208549996,158.83482061549995
2026-04-10,B2B Portal,3,8,160.0,52460.76512233,23197.09198089
2026-04-10,EDI,1,2,20.0,6939.123750000001,4341.77375
2026-04-10,Marketplace,2,5,136.0,32237.475058750002,14557.33125575
2026-04-11,Marketplace,2,7,124.0,37822.26,20831.0
2026-04-11,Phone,2,7,131.0,13773.98020385,5971.6578595500005
2026-04-12,B2B Portal,1,2,40.0,294.29042202,124.31977721999999
2026-04-12,Marketplace,1,3,30.0,9887.481,2216.5409999999997
2026-04-12,Phone,1,1,15.0,210.09660929999998,76.35866489999998
2026-04-12,Retail Store,2,5,40.0,6178.421755398,2783.9118653579994
2026-04-13,B2B Portal,3,11,223.0,47454.29538755,23420.24729535
2026-04-13,EDI,1,3,125.0,36702.9,16736.4
2026-04-13,Marketplace,1,5,80.0,27505.368,12921.558
2026-04-13,Retail Store,1,4,63.0,18266.705070919998,8586.31527772
2026-04-14,B2B Portal,1,1,50.0,7140.0,879.5
2026-04-14,Phone,2,3,65.0,25389.744135869998,6995.76989647
2026-04-14,Retail Store,1,4,82.0,1882.7619428399998,928.89379219
2026-04-15,Marketplace,1,5,100.0,26717.732539999997,11228.401749199998
2026-04-15,Phone,1,5,65.0,9738.854869275001,4495.7356682750005
2026-04-15,Retail Store,1,5,111.0,34203.715523340004,17429.880529380003
2026-04-16,B2B Portal,1,1,5.0,844.3492562999999,438.0021963999999
2026-04-16,Marketplace,3,5,82.0,11860.3721288625,4494.5000500825
2026-04-16,Phone,1,3,7.0,2983.78023574125,1824.70889737125
2026-04-17,B2B Portal,1,1,25.0,10205.0625,2987.8125
2026-04-17,Retail Store,2,5,45.0,13373.258367150002,7282.6021251500015
2026-04-18,B2B Portal,1,2,30.0,11515.6075,5075.6075
2026-04-18,EDI,3,8,88.0,10467.5525,3478.3025
2026-04-19,B2B Portal,2,4,8.0,1118.0665053,284.1423723
2026-04-19,Marketplace,4,9,116.0,37549.88325,17174.643249999997
2026-04-19,Retail Store,1,2,35.0,17092.430460689997,9846.093722689999
2026-04-20,B2B Portal,1,3,29.0,266.61192033,99.63327520999997
2026-04-20,EDI,1,3,68.0,11298.991989130001,4526.3457717400015
2026-04-20,Retail Store,1,3,17.0,7841.92,3531.2400000000007
2026-04-21,B2B Portal,2,4,29.0,276.824897136,157.10176374600002
2026-04-21,EDI,1,4,36.0,212.8611095325,61.91706386249999
2026-04-21,Marketplace,1,4,12.0,4123.093,1730.973
2026-04-22,B2B Portal,1,3,45.0,9561.22713449,3826.80104599
2026-04-22,EDI,1,2,12.0,4788.69025582,1492.3743839600002
2026-04-22,Phone,1,1,15.0,560.4,205.04999999999995
2026-04-23,B2B Portal,1,2,17.0,278.33360876499995,60.238874724999974
2026-04-23,Retail Store,1,4,8.0,645.54020146,268.41592997000004
2026-04-24,B2B Portal,1,4,61.0,934.0402598182501,589.9593697282501
2026-04-24,Retail Store,2,6,83.0,41641.280249999996,19803.42025
2026-04-25,B2B Portal,1,3,52.0,986.43995625,332.9460449999999
2026-04-25,Phone,2,2,11.0,90.92471895,47.334572699999995
2026-04-26,B2B Portal,1,5,63.0,26638.985873489997,16039.403672789997
2026-04-26,EDI,2,6,37.0,14450.818409959502,4727.098121179501
2026-04-26,Marketplace,2,5,46.0,1137.012018232,358.054294512
2026-04-26,Retail Store,2,4,71.0,31287.11,14681.45
2026-04-27,B2B Portal,1,3,77.0,11777.682499999999,1436.8425000000002
2026-04-27,Marketplace,1,5,153.0,21669.5225,10661.7025
2026-04-27,Phone,1,5,31.0,7280.71425,1755.8042500000006
2026-04-28,B2B Portal,3,7,73.0,25757.750661352,12571.672914352002
2026-04-28,EDI,1,2,26.0,14826.41,8615.66
2026-04-28,Marketplace,1,4,24.0,7506.9580000000005,2330.068
2026-04-28,Phone,3,8,131.0,21026.329203110003,9225.08067558
2026-04-28,Retail Store,2,6,88.0,18104.13725,6213.19725
2026-04-29,B2B Portal,1,3,27.0,2014.9499999999998,842.9499999999998
2026-04-29,Phone,1,1,3.0,74.21412122999999,22.210697069999988
2026-04-30,B2B Portal,2,5,79.0,1331.8257284955,586.8766164555
2026-04-30,EDI,3,6,44.0,7003.97941295925,3272.52802613925
2026-04-30,Marketplace,1,1,50.0,183.761258625,77.99997712500002
2026-05-01,EDI,3,6,89.0,28264.35861804,12282.21898744
2026-05-01,Retail Store,1,2,3.0,619.011,293.171
2026-05-02,B2B Portal,5,9,95.0,21429.8707719275,9249.6940402775
2026-05-02,EDI,1,1,15.0,129.655413,26.24641050000001
2026-05-02,Retail Store,1,5,36.0,8823.142499999998,3697.7124999999987
2026-05-03,B2B Portal,2,5,29.0,8939.4582175,4514.8079275
2026-05-03,Marketplace,2,2,7.0,2616.0679999999998,1243.7779999999998
2026-05-03,Phone,2,6,66.0,19966.19606878,11650.13366476
2026-05-03,Retail Store,2,6,145.0,9009.276391635,4752.4600760250005
2026-05-04,Marketplace,1,1,2.0,265.58,62.139999999999986
2026-05-04,Retail Store,1,4,92.0,40418.87907456,21585.778662059998
2026-05-05,B2B Portal,1,5,51.0,9341.428769244,5049.260143883999
2026-05-05,Phone,1,3,6.0,1377.870372396,597.519523836
2026-05-06,B2B Portal,2,5,39.0,8503.688485125,2343.2081793750012
2026-05-06,Marketplace,2,6,88.0,15700.4148460625,8172.858326062501
2026-05-06,Retail Store,1,2,40.0,862.1372034475,347.93165819750004
2026-05-07,Phone,4,14,127.0,6819.2566547075,-225.45754763249994
2026-05-08,EDI,1,2,30.0,2120.9851557300003,304.69004523000035
2026-05-08,Marketplace,1,1,3.0,2252.58,1382.73
2026-05-08,Phone,2,6,97.0,24467.1825,4693.962500000001
2026-05-08,Retail Store,1,1,5.0,162.1875,3.1875
2026-05-09,B2B Portal,2,3,11.0,3634.26,2200.03
2026-05-09,EDI,1,1,5.0,1039.9477728,362.54234639999993
2026-05-09,Retail Store,4,9,120.0,35912.803347946,14413.135078746
2026-05-10,B2B Portal,3,8,102.0,38066.0775,18534.1275
