po_line_id,po_id,line_number,product_id,ordered_qty,unit_cost,line_status,valid_quantity,valid_unit_cost,supplier_id,warehouse_id,po_date,expected_receipt_date,currency,po_status,po_line_amount,rate_date,usd_rate,po_line_amount_usd
POL0000000023,PO00000010,3,SKU0000395,50.0,239.1,Received,True,True,SUP00010,WH0014,2026-04-20,2026-05-11,USD,Received,11955.0,2026-04-20,1.0,11955.0
POL0000000024,PO00000011,1,SKU0000462,1000.0,299.19,Received,True,True,SUP00013,WH0015,2025-12-31,2026-01-15,USD,Received,299190.0,2025-12-31,1.0,299190.0
POL0000000026,PO00000011,3,SKU0000554,50.0,197.11,Open,True,True,SUP00013,WH0015,2025-12-31,2026-01-15,USD,Received,9855.5,2025-12-31,1.0,9855.5
POL0000000028,PO00000012,1,SKU0000528,100.0,112.12,Received,True,True,SUP00052,WH0024,,2026-02-23,USD,Partially Received,11212.0,,1.0,11212.0
POL0000000029,PO00000012,2,SKU0000317,1000.0,220.93,Open,True,True,SUP00052,WH0024,,2026-02-23,USD,Partially Received,220930.0,,1.0,220930.0
POL0000000030,PO00000013,1,SKU0000139,250.0,82.17,Open,True,True,SUP00018,WH0019,2025-12-24,2026-02-07,EUR,Partially Received,20542.5,2025-12-24,1.076789,22119.9380325
POL0000000031,PO00000013,2,SKU0000028,500.0,209.57,Received,True,True,SUP00018,WH0019,2025-12-24,2026-02-07,EUR,Partially Received,104785.0,2025-12-24,1.076789,112831.335365
POL0000000032,PO00000013,3,SKU0000353,500.0,74.7,Cancelled,True,True,SUP00018,WH0019,2025-12-24,2026-02-07,EUR,Partially Received,37350.0,2025-12-24,1.076789,40218.06915
POL0000000035,PO00000014,2,SKU0000656,500.0,49.5,Open,True,True,SUP00117,WH0021,2025-12-23,2026-02-01,EUR,Partially Received,24750.0,2025-12-23,1.082714,26797.1715
POL0000000038,PO00000015,2,SKU0000420,500.0,158.76,Cancelled,True,True,SUP00065,WH0006,2025-12-24,2026-02-04,MXN,Approved,79380.0,2025-12-24,0.050797,4032.26586
POL0000000039,PO00000015,3,SKU0000040,100.0,287.52,Received,True,True,SUP00065,WH0006,2025-12-24,2026-02-04,MXN,Approved,28752.0,2025-12-24,0.050797,1460.5153440000001
POL0000000040,PO00000015,4,SKU0000062,100.0,242.15,Cancelled,True,True,SUP00065,WH0006,2025-12-24,2026-02-04,MXN,Approved,24215.0,2025-12-24,0.050797,1230.049355
POL0000000042,PO00000016,2,SKU0000444,500.0,234.25,Partial,True,True,SUP00065,WH0010,2026-04-08,2026-05-15,CAD,Approved,117125.0,2026-04-08,0.744237,87168.758625
POL0000000043,PO00000016,3,SKU0000239,250.0,85.21,Received,True,True,SUP00065,WH0010,2026-04-08,2026-05-15,CAD,Approved,21302.5,2026-04-08,0.744237,15854.1086925
POL0000000044,PO00000017,1,SKU0000285,500.0,34.95,Partial,True,True,SUP00072,WH0008,2026-03-21,2026-05-03,CNY,Partially Received,17475.0,2026-03-21,0.147049,2569.6812750000004
POL0000000046,PO00000017,3,SKU0000545,50.0,192.63,Received,True,True,SUP00072,WH0008,2026-03-21,2026-05-03,CNY,Partially Received,9631.5,2026-03-21,0.147049,1416.3024435000002
POL0000000047,PO00000017,4,SKU0000594,500.0,102.78,Open,True,True,SUP00072,WH0008,2026-03-21,2026-05-03,CNY,Partially Received,51390.0,2026-03-21,0.147049,7556.848110000001
POL0000000048,PO00000018,1,SKU0000682,500.0,63.61,Partial,True,True,SUP00084,WH0015,,2026-02-25,CNY,Partially Received,31805.0,,1.0,31805.0
POL0000000049,PO00000018,2,SKU0000091,500.0,82.29,Open,True,True,SUP00084,WH0015,,2026-02-25,CNY,Partially Received,41145.0,,1.0,41145.0
POL0000000051,PO00000019,2,SKU0000220,100.0,259.0,Cancelled,True,True,SUP00015,WH0011,,2026-03-07,EUR,Created,25900.0,,1.0,25900.0
POL0000000052,PO00000019,3,SKU0000189,50.0,6.52,Open,True,True,SUP00015,WH0011,,2026-03-07,EUR,Created,326.0,,1.0,326.0
POL0000000053,PO00000019,4,SKU0000573,500.0,204.84,Received,True,True,SUP00015,WH0011,,2026-03-07,EUR,Created,102420.0,,1.0,102420.0
POL0000000054,PO00000020,1,SKU0000430,500.0,14.34,Partial,True,True,SUP00002,WH0003,,2026-02-13,CAD,Created,7170.0,,1.0,7170.0
POL0000000055,PO00000020,2,SKU0000355,50.0,180.72,Partial,True,True,SUP00002,WH0003,,2026-02-13,CAD,Created,9036.0,,1.0,9036.0
POL0000000056,PO00000020,3,SKU0000420,50.0,158.76,Received,True,True,SUP00002,WH0003,,2026-02-13,CAD,Created,7938.0,,1.0,7938.0
POL0000000057,PO00000020,4,SKU0000530,100.0,286.42,Open,True,True,SUP00002,WH0003,,2026-02-13,CAD,Created,28642.0,,1.0,28642.0
POL0000000058,PO00000021,1,SKU0000147,1000.0,287.94,Partial,True,True,SUP00107,WH0017,,2026-01-30,CNY,Cancelled,287940.0,,1.0,287940.0
POL0000000059,PO00000021,2,SKU0000002,250.0,191.37,Open,True,True,SUP00107,WH0017,,2026-01-30,CNY,Cancelled,47842.5,,1.0,47842.5
POL0000000060,PO00000021,3,SKU0000181,250.0,169.03,Open,True,True,SUP00107,WH0017,,2026-01-30,CNY,Cancelled,42257.5,,1.0,42257.5
POL0000000063,PO00000022,2,SKU0000622,100.0,100.24,Received,True,True,SUP00065,WH0019,,2026-06-05,USD,Approved,10024.0,,1.0,10024.0
POL0000000064,PO00000022,3,SKU0000576,250.0,289.95,Received,True,True,SUP00065,WH0019,,2026-06-05,USD,Approved,72487.5,,1.0,72487.5
POL0000000065,PO00000022,4,SKU0000415,50.0,220.81,Cancelled,True,True,SUP00065,WH0019,,2026-06-05,USD,Approved,11040.5,,1.0,11040.5
POL0000000067,PO00000024,1,SKU0000113,100.0,122.37,Open,True,True,SUP00005,WH0019,2026-02-10,2026-03-19,USD,Partially Received,12237.0,2026-02-10,1.0,12237.0
POL0000000068,PO00000024,2,SKU0000661,250.0,24.97,Received,True,True,SUP00005,WH0019,2026-02-10,2026-03-19,USD,Partially Received,6242.5,2026-02-10,1.0,6242.5
POL0000000069,PO00000024,3,SKU0000012,50.0,220.94,Partial,True,True,SUP00005,WH0019,2026-02-10,2026-03-19,USD,Partially Received,11047.0,2026-02-10,1.0,11047.0
POL0000000070,PO00000025,1,SKU0000458,250.0,175.67,Partial,True,True,SUP00027,WH0008,2026-03-17,2026-04-27,USD,Approved,43917.5,2026-03-17,1.0,43917.5
POL0000000071,PO00000025,2,SKU0000441,1000.0,216.68,Open,True,True,SUP00027,WH0008,2026-03-17,2026-04-27,USD,Approved,216680.0,2026-03-17,1.0,216680.0
POL0000000072,PO00000025,3,SKU0000335,500.0,76.57,Cancelled,True,True,SUP00027,WH0008,2026-03-17,2026-04-27,USD,Approved,38285.0,2026-03-17,1.0,38285.0
POL0000000074,PO00000027,1,SKU0000490,250.0,112.73,Received,True,True,SUP00082,WH0013,,2026-04-13,USD,Approved,28182.5,,1.0,28182.5
POL0000000075,PO00000028,1,SKU0000222,250.0,5.74,Partial,True,True,SUP00049,WH0021,2026-05-08,2026-06-21,CAD,Cancelled,1435.0,2026-05-08,0.742178,1065.02543
POL0000000076,PO00000028,2,SKU0000161,1000.0,167.98,Received,True,True,SUP00049,WH0021,2026-05-08,2026-06-21,CAD,Cancelled,167980.0,2026-05-08,0.742178,124671.06044
POL0000000078,PO00000029,1,SKU0000212,250.0,184.32,Cancelled,True,True,SUP00073,WH0018,,2026-01-18,MXN,Partially Received,46080.0,,1.0,46080.0
POL0000000079,PO00000029,2,SKU0000185,250.0,134.83,Open,True,True,SUP00073,WH0018,,2026-01-18,MXN,Partially Received,33707.5,,1.0,33707.5
POL0000000080,PO00000029,3,SKU0000583,500.0,130.33,Cancelled,True,True,SUP00073,WH0018,,2026-01-18,MXN,Partially Received,65165.00000000001,,1.0,65165.00000000001
POL0000000082,PO00000030,1,SKU0000618,50.0,17.24,Cancelled,True,True,SUP00077,WH0003,,2026-04-28,CNY,Created,861.9999999999999,,1.0,861.9999999999999
POL0000000084,PO00000030,3,SKU0000405,250.0,42.44,Received,True,True,SUP00077,WH0003,,2026-04-28,CNY,Created,10610.0,,1.0,10610.0
POL0000000085,PO00000030,4,SKU0000364,500.0,191.35,Partial,True,True,SUP00077,WH0003,,2026-04-28,CNY,Created,95675.0,,1.0,95675.0
POL0000000087,PO00000031,2,SKU0000404,250.0,36.82,Cancelled,True,True,SUP00036,WH0020,,2026-02-09,CAD,Approved,9205.0,,1.0,9205.0
POL0000000088,PO00000031,3,SKU0000630,100.0,262.31,Open,True,True,SUP00036,WH0020,,2026-02-09,CAD,Approved,26231.0,,1.0,26231.0
POL0000000090,PO00000032,1,SKU0000175,50.0,226.42,Cancelled,True,True,SUP00098,WH0001,2026-04-18,2026-05-19,USD,Partially Received,11321.0,2026-04-18,1.0,11321.0
POL0000000092,PO00000033,2,SKU0000607,100.0,144.65,Received,True,True,SUP00041,WH0009,,2026-04-12,USD,Partially Received,14465.0,,1.0,14465.0
POL0000000093,PO00000033,3,SKU0000270,1000.0,30.68,Partial,True,True,SUP00041,WH0009,,2026-04-12,USD,Partially Received,30680.0,,1.0,30680.0
POL0000000096,PO00000034,3,SKU0000230,500.0,150.83,Partial,True,True,SUP00062,WH0003,2026-03-02,2026-03-17,MXN,Approved,75415.0,2026-03-02,0.05459,4116.90485
POL0000000098,PO00000035,1,SKU0000353,100.0,74.7,Partial,True,True,SUP00086,WH0013,2026-01-22,2026-02-10,CNY,Partially Received,7470.0,2026-01-22,0.142333,1063.22751
POL0000000101,PO00000035,4,SKU0000378,250.0,170.68,Open,True,True,SUP00086,WH0013,2026-01-22,2026-02-10,CNY,Partially Received,42670.0,2026-01-22,0.142333,6073.349109999999
POL0000000102,PO00000036,1,SKU0000660,250.0,16.29,Open,True,True,SUP00071,WH0004,2026-01-14,2026-02-01,EUR,Cancelled,4072.5,2026-01-14,1.075115,4378.4058375
POL0000000103,PO00000036,2,SKU0000190,250.0,230.54,Partial,True,True,SUP00071,WH0004,2026-01-14,2026-02-01,EUR,Cancelled,57635.0,2026-01-14,1.075115,61964.253025000005
POL0000000105,PO00000037,1,SKU0000638,250.0,225.27,Received,True,True,SUP00095,WH0022,,2026-03-28,CNY,Received,56317.5,,1.0,56317.5
POL0000000106,PO00000037,2,SKU0000632,100.0,135.05,Open,True,True,SUP00095,WH0022,,2026-03-28,CNY,Received,13505.000000000002,,1.0,13505.000000000002
POL0000000110,PO00000038,2,SKU0000219,100.0,116.78,Received,True,True,SUP00112,WH0011,,2026-01-29,EUR,Received,11678.0,,1.0,11678.0
POL0000000112,PO00000038,4,SKU0000496,50.0,3.1,Partial,True,True,SUP00112,WH0011,,2026-01-29,EUR,Received,155.0,,1.0,155.0
POL0000000114,PO00000039,2,SKU0000674,1000.0,99.69,Open,True,True,SUP00036,WH0016,2026-02-09,2026-03-08,MXN,Approved,99690.0,2026-02-09,0.065686,6548.23734
POL0000000116,PO00000039,4,SKU0000466,100.0,79.72,Cancelled,True,True,SUP00036,WH0016,2026-02-09,2026-03-08,MXN,Approved,7972.0,2026-02-09,0.065686,523.648792
POL0000000117,PO00000040,1,SKU0000078,250.0,106.21,Partial,True,True,SUP00003,WH0020,,2026-01-11,EUR,Approved,26552.5,,1.0,26552.5
POL0000000119,PO00000042,1,SKU0000489,100.0,248.68,Open,True,True,SUP00100,WH0004,,2026-01-07,CNY,Approved,24868.0,,1.0,24868.0
POL0000000120,PO00000042,2,SKU0000306,100.0,154.34,Cancelled,True,True,SUP00100,WH0004,,2026-01-07,CNY,Approved,15434.0,,1.0,15434.0
POL0000000121,PO00000043,1,SKU0000325,100.0,96.4,Partial,True,True,SUP00031,WH0010,2025-12-22,2026-01-14,CAD,Partially Received,9640.0,2025-12-22,0.734687,7082.38268
POL0000000122,PO00000043,2,SKU0000572,500.0,284.13,Open,True,True,SUP00031,WH0010,2025-12-22,2026-01-14,CAD,Partially Received,142065.0,2025-12-22,0.734687,104373.308655
POL0000000123,PO00000044,1,SKU0000606,100.0,100.02,Cancelled,True,True,SUP00082,WH0004,,2026-04-29,USD,Partially Received,10002.0,,1.0,10002.0
POL0000000124,PO00000044,2,SKU0000455,50.0,130.54,Open,True,True,SUP00082,WH0004,,2026-04-29,USD,Partially Received,6527.0,,1.0,6527.0
POL0000000126,PO00000044,4,SKU0000664,1000.0,237.21,Cancelled,True,True,SUP00082,WH0004,,2026-04-29,USD,Partially Received,237210.0,,1.0,237210.0
POL0000000127,PO00000045,1,SKU0000027,50.0,144.08,Received,True,True,SUP00106,WH0011,2026-02-08,2026-03-12,EUR,Approved,7204.000000000001,2026-02-08,1.07527,7746.245080000001
POL0000000128,PO00000045,2,SKU0000103,100.0,265.22,Open,True,True,SUP00106,WH0011,2026-02-08,2026-03-12,EUR,Approved,26522.000000000004,2026-02-08,1.07527,28518.310940000003
POL0000000129,PO00000045,3,SKU0000629,50.0,42.15,Open,True,True,SUP00106,WH0011,2026-02-08,2026-03-12,EUR,Approved,2107.5,2026-02-08,1.07527,2266.131525
POL0000000131,PO00000047,1,SKU0000132,500.0,278.5,Open,True,True,SUP00116,WH0003,,2025-12-18,MXN,Created,139250.0,,1.0,139250.0
POL0000000132,PO00000048,1,SKU0000675,250.0,38.43,Partial,True,True,SUP00028,WH0017,,2026-01-27,EUR,Approved,9607.5,,1.0,9607.5
POL0000000133,PO00000049,1,SKU0000268,250.0,293.05,Open,True,True,SUP00079,WH0017,2026-04-28,2026-05-17,EUR,Approved,73262.5,2026-04-28,1.080387,79151.8525875
POL0000000134,PO00000049,2,SKU0000440,1000.0,140.15,Cancelled,True,True,SUP00079,WH0017,2026-04-28,2026-05-17,EUR,Approved,140150.0,2026-04-28,1.080387,151416.23804999999
POL0000000135,PO00000049,3,SKU0000147,1000.0,287.94,Received,True,True,SUP00079,WH0017,2026-04-28,2026-05-17,EUR,Approved,287940.0,2026-04-28,1.080387,311086.63278
POL0000000136,PO00000050,1,SKU0000457,250.0,50.55,Cancelled,True,True,SUP00021,WH0011,2026-02-17,2026-03-21,CNY,Partially Received,12637.5,2026-02-17,0.147577,1865.0043375000002
POL0000000137,PO00000050,2,SKU0000231,250.0,120.81,Cancelled,True,True,SUP00021,WH0011,2026-02-17,2026-03-21,CNY,Partially Received,30202.5,2026-02-17,0.147577,4457.194342500001
POL0000000139,PO00000051,1,SKU0000132,50.0,278.5,Open,True,True,SUP00041,WH0001,,2026-01-16,USD,Approved,13925.0,,1.0,13925.0
POL0000000140,PO00000051,2,SKU0000358,50.0,44.63,Partial,True,True,SUP00041,WH0001,,2026-01-16,USD,Approved,2231.5,,1.0,2231.5
POL0000000141,PO00000051,3,SKU0000558,100.0,68.72,Open,True,True,SUP00041,WH0001,,2026-01-16,USD,Approved,6872.0,,1.0,6872.0
POL0000000142,PO00000051,4,SKU0000493,500.0,2.06,Open,True,True,SUP00041,WH0001,,2026-01-16,USD,Approved,1030.0,,1.0,1030.0
POL0000000143,PO00000052,1,SKU0000554,50.0,197.11,Partial,True,True,SUP00057,WH0022,,2026-05-29,EUR,Partially Received,9855.5,,1.0,9855.5
POL0000000144,PO00000052,2,SKU0000594,250.0,102.78,Partial,True,True,SUP00057,WH0022,,2026-05-29,EUR,Partially Received,25695.0,,1.0,25695.0
POL0000000146,PO00000053,2,SKU0000032,500.0,111.82,Partial,True,True,SUP00001,WH0025,2026-03-16,2026-04-22,MXN,Partially Received,55910.0,2026-03-16,0.053553,2994.1482300000002
POL0000000147,PO00000053,3,SKU0000522,500.0,18.75,Received,True,True,SUP00001,WH0025,2026-03-16,2026-04-22,MXN,Partially Received,9375.0,2026-03-16,0.053553,502.05937500000005
POL0000000148,PO00000054,1,SKU0000361,500.0,46.82,Open,True,True,SUP00117,WH0005,,2025-12-14,USD,Approved,23410.0,,1.0,23410.0
POL0000000149,PO00000054,2,SKU0000249,1000.0,19.78,Partial,True,True,SUP00117,WH0005,,2025-12-14,USD,Approved,19780.0,,1.0,19780.0
POL0000000150,PO00000054,3,SKU0000065,50.0,90.37,Received,True,True,SUP00117,WH0005,,2025-12-14,USD,Approved,4518.5,,1.0,4518.5
POL0000000151,PO00000054,4,SKU0000253,100.0,179.86,Open,True,True,SUP00117,WH0005,,2025-12-14,USD,Approved,17986.0,,1.0,17986.0
POL0000000153,PO00000055,2,SKU0000130,100.0,291.4,Partial,True,True,SUP00114,WH0016,2025-12-13,2026-01-17,CNY,Partially Received,29139.999999999996,2025-12-13,0.143193,4172.644019999999
POL0000000154,PO00000056,1,SKU0000657,250.0,216.77,Open,True,True,SUP00073,WH0004,2026-03-27,2026-05-03,USD,Partially Received,54192.5,2026-03-27,1.0,54192.5
POL0000000155,PO00000056,2,SKU0000476,500.0,15.76,Received,True,True,SUP00073,WH0004,2026-03-27,2026-05-03,USD,Partially Received,7880.0,2026-03-27,1.0,7880.0
POL0000000156,PO00000056,3,SKU0000545,50.0,192.63,Partial,True,True,SUP00073,WH0004,2026-03-27,2026-05-03,USD,Partially Received,9631.5,2026-03-27,1.0,9631.5
POL0000000157,PO00000056,4,SKU0000294,50.0,41.04,Partial,True,True,SUP00073,WH0004,2026-03-27,2026-05-03,USD,Partially Received,2052.0,2026-03-27,1.0,2052.0
POL0000000158,PO00000057,1,SKU0000460,1000.0,163.81,Partial,True,True,SUP00109,WH0024,2026-05-01,2026-06-12,USD,Received,163810.0,2026-05-01,1.0,163810.0
POL0000000159,PO00000057,2,SKU0000339,500.0,86.25,Partial,True,True,SUP00109,WH0024,2026-05-01,2026-06-12,USD,Received,43125.0,2026-05-01,1.0,43125.0
POL0000000160,PO00000057,3,SKU0000154,250.0,285.85,Open,True,True,SUP00109,WH0024,2026-05-01,2026-06-12,USD,Received,71462.5,2026-05-01,1.0,71462.5
POL0000000161,PO00000057,4,SKU0000279,50.0,219.46,Received,True,True,SUP00109,WH0024,2026-05-01,2026-06-12,USD,Received,10973.0,2026-05-01,1.0,10973.0
POL0000000162,PO00000058,1,SKU0000521,50.0,278.47,Cancelled,True,True,SUP00066,WH0016,,2026-04-25,CNY,Partially Received,13923.500000000002,,1.0,13923.500000000002
POL0000000163,PO00000058,2,SKU0000345,1000.0,240.87,Open,True,True,SUP00066,WH0016,,2026-04-25,CNY,Partially Received,240870.0,,1.0,240870.0
POL0000000165,PO00000059,2,SKU0000460,500.0,163.81,Partial,True,True,SUP00098,WH0006,,2026-01-07,USD,Created,81905.0,,1.0,81905.0
POL0000000169,PO00000061,1,SKU0000633,50.0,50.73,Open,True,True,SUP00088,WH0025,2026-01-11,2026-02-16,USD,Approved,2536.5,2026-01-11,1.0,2536.5
POL0000000171,PO00000062,2,SKU0000032,50.0,111.82,Cancelled,True,True,SUP00003,WH0019,,2026-05-30,CAD,Received,5591.0,,1.0,5591.0
POL0000000172,PO00000062,3,SKU0000321,500.0,128.78,Open,True,True,SUP00003,WH0019,,2026-05-30,CAD,Received,64390.0,,1.0,64390.0
POL0000000174,PO00000063,2,SKU0000060,100.0,15.25,Received,True,True,SUP00048,WH0016,2026-01-27,2026-02-13,CAD,Approved,1525.0,2026-01-27,0.739214,1127.30135
POL0000000175,PO00000064,1,SKU0000633,50.0,50.73,Open,True,True,SUP00119,WH0023,,2025-12-19,USD,Created,2536.5,,1.0,2536.5
POL0000000176,PO00000064,2,SKU0000202,50.0,51.89,Open,True,True,SUP00119,WH0023,,2025-12-19,USD,Created,2594.5,,1.0,2594.5
POL0000000177,PO00000064,3,SKU0000209,100.0,228.55,Open,True,True,SUP00119,WH0023,,2025-12-19,USD,Created,22855.0,,1.0,22855.0
POL0000000179,PO00000065,1,SKU0000161,50.0,167.98,Cancelled,True,True,SUP00073,WH0003,,2026-05-08,USD,Cancelled,8399.0,,1.0,8399.0
POL0000000182,PO00000066,1,SKU0000245,500.0,209.38,Partial,True,True,SUP00081,WH0007,,2026-04-23,CNY,Received,104690.0,,1.0,104690.0
POL0000000183,PO00000067,1,SKU0000134,100.0,220.35,Received,True,True,SUP00067,WH0023,,2026-02-03,EUR,Partially Received,22035.0,,1.0,22035.0
POL0000000184,PO00000067,2,SKU0000053,100.0,104.27,Partial,True,True,SUP00067,WH0023,,2026-02-03,EUR,Partially Received,10427.0,,1.0,10427.0
POL0000000187,PO00000068,1,SKU0000548,500.0,153.7,Open,True,True,SUP00042,WH0001,,2026-04-02,USD,Approved,76850.0,,1.0,76850.0
POL0000000188,PO00000068,2,SKU0000690,500.0,160.08,Cancelled,True,True,SUP00042,WH0001,,2026-04-02,USD,Approved,80040.0,,1.0,80040.0
POL0000000190,PO00000068,4,SKU0000255,50.0,205.18,Received,True,True,SUP00042,WH0001,,2026-04-02,USD,Approved,10259.0,,1.0,10259.0
POL0000000191,PO00000069,1,SKU0000241,1000.0,7.28,Open,True,True,SUP00072,WH0020,,2026-01-18,MXN,Approved,7280.0,,1.0,7280.0
POL0000000192,PO00000069,2,SKU0000153,50.0,22.93,Received,True,True,SUP00072,WH0020,,2026-01-18,MXN,Approved,1146.5,,1.0,1146.5
POL0000000193,PO00000070,1,SKU0000010,1000.0,204.35,Received,True,True,SUP00022,WH0007,2026-03-24,2026-04-13,EUR,Created,204350.0,2026-03-24,1.073201,219308.62435000003
POL0000000194,PO00000070,2,SKU0000218,500.0,117.62,Cancelled,True,True,SUP00022,WH0007,2026-03-24,2026-04-13,EUR,Created,58810.0,2026-03-24,1.073201,63114.95081
POL0000000195,PO00000071,1,SKU0000317,250.0,220.93,Cancelled,True,True,SUP00073,WH0008,,2026-03-15,USD,Received,55232.5,,1.0,55232.5
POL0000000197,PO00000072,1,SKU0000160,100.0,49.75,Cancelled,True,True,SUP00063,WH0010,,2026-03-28,CNY,Partially Received,4975.0,,1.0,4975.0
POL0000000201,PO00000073,1,SKU0000444,500.0,234.25,Open,True,True,SUP00037,WH0023,,2026-04-12,MXN,Created,117125.0,,1.0,117125.0
POL0000000203,PO00000073,3,SKU0000688,100.0,8.45,Partial,True,True,SUP00037,WH0023,,2026-04-12,MXN,Created,844.9999999999999,,1.0,844.9999999999999
POL0000000204,PO00000074,1,SKU0000001,50.0,117.06,Received,True,True,SUP00025,WH0006,2026-02-13,2026-03-01,CNY,Approved,5853.0,2026-02-13,0.140842,824.348226
POL0000000205,PO00000074,2,SKU0000458,100.0,175.67,Open,True,True,SUP00025,WH0006,2026-02-13,2026-03-01,CNY,Approved,17567.0,2026-02-13,0.140842,2474.171414
POL0000000206,PO00000074,3,SKU0000621,100.0,165.88,Received,True,True,SUP00025,WH0006,2026-02-13,2026-03-01,CNY,Approved,16588.0,2026-02-13,0.140842,2336.287096
POL0000000207,PO00000075,1,SKU0000295,50.0,132.32,Received,True,True,SUP00044,WH0002,2025-12-12,2026-01-03,EUR,Approved,6616.0,2025-12-12,1.072573,7096.142968
POL0000000209,PO00000076,1,SKU0000576,100.0,289.95,Open,True,True,SUP00074,WH0021,2026-02-08,2026-02-26,USD,Received,28995.0,2026-02-08,1.0,28995.0
POL0000000211,PO00000076,3,SKU0000047,1000.0,62.67,Received,True,True,SUP00074,WH0021,2026-02-08,2026-02-26,USD,Received,62670.0,2026-02-08,1.0,62670.0
POL0000000213,PO00000078,1,SKU0000273,500.0,103.99,Open,True,True,SUP00089,WH0013,2026-04-11,2026-05-02,EUR,Approved,51995.0,2026-04-11,1.078189,56060.437055
POL0000000214,PO00000079,1,SKU0000030,250.0,167.95,Received,True,True,SUP00095,WH0019,,2026-06-09,EUR,Cancelled,41987.5,,1.0,41987.5
POL0000000216,PO00000080,2,SKU0000500,250.0,21.62,Open,True,True,SUP00104,WH0005,,2026-05-04,CAD,Partially Received,5405.0,,1.0,5405.0
POL0000000217,PO00000080,3,SKU0000010,50.0,204.35,Open,True,True,SUP00104,WH0005,,2026-05-04,CAD,Partially Received,10217.5,,1.0,10217.5
POL0000000218,PO00000081,1,SKU0000283,50.0,31.39,Received,True,True,SUP00099,WH0001,2026-02-01,2026-02-24,USD,Approved,1569.5,2026-02-01,1.0,1569.5
POL0000000219,PO00000081,2,SKU0000340,100.0,26.34,Partial,True,True,SUP00099,WH0001,2026-02-01,2026-02-24,USD,Approved,2634.0,2026-02-01,1.0,2634.0
POL0000000220,PO00000081,3,SKU0000035,50.0,97.06,Cancelled,True,True,SUP00099,WH0001,2026-02-01,2026-02-24,USD,Approved,4853.0,2026-02-01,1.0,4853.0
