cell_id,site_id,technology,band,sector,max_capacity_mbps,active_flag
CELL000045,SITE00010,5G NR,n77,3,1776.44,Y
CELL000046,SITE00010,5G NR,n41,2,1085.51,Y
CELL000047,SITE00010,4G LTE,n41,2,1249.57,N
CELL000048,SITE00010,5G NR,B4,3,1970.32,Y
CELL000049,SITE00011,4G LTE,n41,3,1568.70,Y
CELL000050,SITE00011,4G LTE,n77,2,456.65,Y
CELL000051,SITE00011,5G NR,n71,2,1510.41,Y
CELL000052,SITE00011,5G NR,B12,1,1132.28,Y
CELL000053,SITE00012,5G NR,B12,2,1425.20,Y
CELL000054,SITE00012,5G NR,B4,2,2357.43,Y
CELL000055,SITE00012,5G NR,n71,3,800.06,Y
CELL000056,SITE00012,5G NR,B12,3,1474.08,Y
CELL000057,SITE00012,5G NR,B12,1,2187.53,N
CELL000058,SITE00013,5G NR,B12,2,324.95,Y
CELL000059,SITE00013,4G LTE,B2,2,1369.64,Y
CELL000060,SITE00013,4G LTE,n71,3,1691.22,Y
CELL000061,SITE00014,5G NR,n77,3,2222.29,Y
CELL000062,SITE00014,5G NR,n41,1,542.06,Y
CELL000063,SITE00014,5G NR,B2,2,1624.85,Y
CELL000064,SITE00014,4G LTE,B4,3,369.31,N
CELL000065,SITE00015,4G LTE,n41,3,1037.49,Y
CELL000066,SITE00015,5G NR,n77,2,498.89,N
CELL000067,SITE00015,5G NR,B2,3,547.39,Y
CELL000068,SITE00015,4G LTE,n71,2,1627.42,Y
CELL000069,SITE00016,5G NR,B12,2,1449.76,Y
CELL000070,SITE00016,5G NR,B4,1,1811.56,Y
CELL000071,SITE00016,4G LTE,n77,1,1341.80,Y
CELL000072,SITE00017,5G NR,B12,2,598.10,N
CELL000073,SITE00017,4G LTE,n77,2,366.56,Y
CELL000074,SITE00017,5G NR,n77,1,1648.67,N
CELL000075,SITE00017,5G NR,B12,1,730.95,Y
CELL000076,SITE00017,4G LTE,B2,1,308.42,Y
CELL000077,SITE00018,4G LTE,B2,3,730.27,N
CELL000078,SITE00018,5G NR,B4,3,1214.50,Y
CELL000079,SITE00018,5G NR,B4,1,963.69,Y
CELL000080,SITE00018,5G NR,n41,1,849.08,N
CELL000081,SITE00018,4G LTE,B2,1,2079.18,Y
CELL000082,SITE00019,5G NR,B12,3,2208.90,N
CELL000083,SITE00019,4G LTE,B2,3,1582.21,N
CELL000084,SITE00019,5G NR,n41,1,2277.20,N
CELL000085,SITE00020,5G NR,n71,2,1474.19,Y
CELL000086,SITE00020,4G LTE,B4,2,1992.54,Y
CELL000087,SITE00020,4G LTE,n41,2,333.41,N
CELL000088,SITE00020,5G NR,B4,2,1403.92,Y
CELL000089,SITE00020,5G NR,n77,3,2370.25,N
CELL000090,SITE00020,4G LTE,n71,1,1903.10,Y
CELL000091,SITE00021,5G NR,n71,3,470.96,N
CELL000092,SITE00021,5G NR,B12,3,1757.25,Y
CELL000093,SITE00021,5G NR,B2,3,1725.24,N
CELL000094,SITE00022,5G NR,B12,2,1440.39,N
CELL000095,SITE00022,4G LTE,B4,2,2031.93,Y
CELL000096,SITE00022,5G NR,n77,2,895.37,Y
CELL000097,SITE00022,4G LTE,n41,1,487.85,Y
CELL000098,SITE00023,5G NR,B2,2,592.18,Y
CELL000099,SITE00023,4G LTE,n77,3,2222.02,Y
CELL000100,SITE00023,4G LTE,n77,1,1878.12,N
CELL000101,SITE00023,4G LTE,B2,2,1500.50,Y
CELL000102,SITE00023,4G LTE,B2,1,1261.41,Y
CELL000103,SITE00023,4G LTE,B2,3,1927.63,Y
CELL000104,SITE00024,5G NR,n77,1,703.40,Y
CELL000105,SITE00024,4G LTE,B12,3,826.15,Y
CELL000106,SITE00024,5G NR,n77,3,1415.81,N
CELL000107,SITE00025,5G NR,B4,2,1181.00,Y
CELL000108,SITE00025,4G LTE,B2,2,1281.90,Y
CELL000109,SITE00025,5G NR,B2,2,2362.71,Y
CELL000110,SITE00026,5G NR,n77,1,782.73,N
CELL000111,SITE00026,4G LTE,n71,3,622.62,Y
CELL000112,SITE00026,5G NR,n41,3,493.63,Y
CELL000113,SITE00026,5G NR,n71,2,1365.40,Y
CELL000114,SITE00026,5G NR,n71,2,383.68,Y
CELL000115,SITE00027,5G NR,n41,1,2077.02,Y
CELL000116,SITE00027,5G NR,n77,3,775.95,Y
CELL000117,SITE00027,4G LTE,B4,1,324.43,Y
CELL000118,SITE00028,4G LTE,B2,3,552.88,N
CELL000119,SITE00028,4G LTE,n71,1,2369.48,Y
CELL000120,SITE00028,4G LTE,B12,1,2082.83,Y
CELL000121,SITE00028,4G LTE,B2,2,1320.23,Y
CELL000122,SITE00029,5G NR,n71,1,2281.89,Y
CELL000123,SITE00029,5G NR,B2,1,1010.27,Y
CELL000124,SITE00029,4G LTE,n77,3,651.62,Y
CELL000125,SITE00030,5G NR,B2,3,1155.30,Y
CELL000126,SITE00030,4G LTE,n41,2,580.93,Y
CELL000127,SITE00030,4G LTE,B12,2,1331.16,Y
CELL000128,SITE00030,4G LTE,B2,3,1355.19,Y
CELL000129,SITE00030,4G LTE,B12,2,1198.91,Y
CELL000130,SITE00031,4G LTE,B2,1,1626.34,Y
CELL000131,SITE00031,5G NR,n77,2,741.27,Y
CELL000132,SITE00031,4G LTE,B4,3,2190.98,Y
CELL000133,SITE00031,4G LTE,B2,1,2380.05,Y
CELL000134,SITE00031,4G LTE,n77,1,745.12,N
CELL000135,SITE00031,4G LTE,B4,1,682.04,Y
CELL000136,SITE00032,4G LTE,B4,3,1728.21,Y
CELL000137,SITE00032,5G NR,B4,1,837.85,Y
CELL000138,SITE00032,5G NR,n71,1,1639.73,Y
CELL000139,SITE00033,5G NR,n41,2,1727.17,N
CELL000140,SITE00033,4G LTE,n41,3,852.40,Y
CELL000141,SITE00033,5G NR,n41,3,1931.34,Y
CELL000142,SITE00034,4G LTE,n41,2,2247.03,N
CELL000143,SITE00034,5G NR,n77,1,2047.01,Y
CELL000144,SITE00034,5G NR,B4,3,1579.66,N
CELL000145,SITE00035,4G LTE,n71,2,723.58,N
CELL000146,SITE00035,5G NR,n77,3,506.01,Y
CELL000147,SITE00035,4G LTE,n71,2,1282.91,Y
CELL000148,SITE00035,4G LTE,n71,2,671.75,Y
CELL000149,SITE00035,4G LTE,B4,2,2255.84,Y
CELL000150,SITE00035,4G LTE,B2,1,1261.77,N
CELL000151,SITE00036,4G LTE,n41,3,1810.68,Y
CELL000152,SITE00036,5G NR,B4,3,2076.76,Y
CELL000153,SITE00036,5G NR,B2,2,1857.38,N
CELL000154,SITE00036,5G NR,B4,1,790.57,Y
CELL000155,SITE00036,5G NR,n71,3,1053.85,Y
CELL000156,SITE00037,4G LTE,n77,1,752.97,N
CELL000157,SITE00037,5G NR,B4,1,2173.61,Y
CELL000158,SITE00037,5G NR,B12,1,2365.55,Y
CELL000159,SITE00037,5G NR,B4,3,509.39,N
CELL000160,SITE00037,5G NR,B12,3,1500.11,Y
CELL000161,SITE00037,4G LTE,B4,2,637.29,Y
CELL000162,SITE00038,4G LTE,n41,3,1870.62,Y
CELL000163,SITE00038,5G NR,n41,2,2022.72,Y
CELL000164,SITE00038,5G NR,n71,2,426.44,Y
CELL000165,SITE00039,5G NR,n77,1,2020.62,Y
CELL000166,SITE00039,4G LTE,B2,3,2290.30,Y
CELL000167,SITE00039,4G LTE,n71,2,2093.37,N
CELL000168,SITE00039,4G LTE,B12,1,731.92,Y
CELL000169,SITE00040,4G LTE,B12,3,519.53,N
CELL000170,SITE00040,4G LTE,n77,1,1189.45,Y
CELL000171,SITE00040,5G NR,B12,2,1149.59,Y
CELL000172,SITE00041,4G LTE,n41,3,1504.51,Y
CELL000173,SITE00041,5G NR,n41,1,1057.44,Y
CELL000174,SITE00041,4G LTE,n41,2,2178.56,Y
CELL000175,SITE00041,4G LTE,B4,1,1245.77,Y
CELL000176,SITE00042,4G LTE,B2,3,1208.15,Y
CELL000177,SITE00042,5G NR,n77,3,1508.40,N
CELL000178,SITE00042,5G NR,B2,1,1326.98,Y
CELL000179,SITE00042,5G NR,n41,2,1351.87,Y
CELL000180,SITE00043,4G LTE,n77,1,2231.47,Y
CELL000181,SITE00043,5G NR,n71,3,1566.09,Y
CELL000182,SITE00043,4G LTE,n77,3,646.74,Y
CELL000183,SITE00043,4G LTE,B2,1,1552.68,Y
CELL000184,SITE00043,5G NR,n41,3,360.70,N
CELL000185,SITE00043,4G LTE,n41,1,2115.74,Y
CELL000186,SITE00044,5G NR,n41,3,1053.93,N
CELL000187,SITE00044,4G LTE,n77,3,425.94,N
CELL000188,SITE00044,4G LTE,n71,1,1290.47,Y
CELL000189,SITE00045,5G NR,B12,2,1434.56,Y
CELL000190,SITE00045,4G LTE,B2,3,2085.04,Y
CELL000191,SITE00045,4G LTE,n71,1,1029.96,Y
CELL000192,SITE00046,4G LTE,B12,3,361.31,Y
CELL000193,SITE00046,4G LTE,B4,1,570.45,Y
CELL000194,SITE00046,5G NR,n41,2,1335.90,Y
CELL000195,SITE00046,4G LTE,B4,1,613.79,Y
CELL000196,SITE00046,4G LTE,n77,3,898.94,Y
CELL000197,SITE00046,4G LTE,n41,1,767.77,Y
CELL000198,SITE00047,5G NR,n77,2,727.11,Y
CELL000199,SITE00047,5G NR,n77,3,1020.78,Y
CELL000200,SITE00047,4G LTE,B12,1,1567.30,N
CELL000201,SITE00048,5G NR,B12,1,527.65,Y
CELL000202,SITE00048,4G LTE,n77,2,1526.57,Y
CELL000203,SITE00048,5G NR,n41,2,1664.85,Y
CELL000204,SITE00048,5G NR,B4,2,2188.57,Y
CELL000205,SITE00048,5G NR,B12,2,376.60,Y
CELL000206,SITE00048,4G LTE,B12,3,2175.84,Y
CELL000207,SITE00049,5G NR,B4,3,842.36,N
CELL000208,SITE00049,4G LTE,B2,1,1660.28,Y
CELL000209,SITE00049,5G NR,B12,3,1829.53,Y
CELL000210,SITE00049,4G LTE,n71,3,753.57,N
CELL000211,SITE00050,4G LTE,n71,3,2362.28,Y
CELL000212,SITE00050,5G NR,n41,1,1656.87,N
CELL000213,SITE00050,5G NR,B4,2,1078.45,N
CELL000214,SITE00050,4G LTE,n41,2,712.52,Y
CELL000215,SITE00050,4G LTE,n41,2,1144.68,Y
CELL000216,SITE00051,5G NR,n41,1,909.53,N
CELL000217,SITE00051,4G LTE,n77,1,857.13,Y
CELL000218,SITE00051,4G LTE,n41,1,716.76,Y
CELL000219,SITE00052,5G NR,B2,1,1592.47,Y
CELL000220,SITE00052,4G LTE,n77,2,906.86,Y
CELL000221,SITE00052,5G NR,n71,2,2170.46,Y
CELL000222,SITE00052,4G LTE,B4,1,883.42,Y
CELL000223,SITE00052,5G NR,n71,1,546.28,Y
CELL000224,SITE00053,5G NR,n71,2,449.97,Y
CELL000225,SITE00053,4G LTE,n41,2,1660.15,Y
CELL000226,SITE00053,4G LTE,B12,2,464.39,Y
CELL000227,SITE00053,4G LTE,n41,1,1303.54,Y
CELL000228,SITE00053,5G NR,n41,3,301.05,N
CELL000229,SITE00054,5G NR,B12,3,959.20,N
CELL000230,SITE00054,5G NR,n41,3,1771.70,Y
CELL000231,SITE00054,5G NR,B12,2,405.44,Y
CELL000232,SITE00054,4G LTE,n71,2,1347.04,Y
CELL000233,SITE00054,4G LTE,B12,1,418.41,Y
CELL000234,SITE00055,5G NR,B2,3,781.97,Y
CELL000235,SITE00055,4G LTE,n71,2,1925.97,Y
CELL000236,SITE00055,5G NR,n77,2,1724.74,Y
CELL000237,SITE00055,4G LTE,n41,3,567.89,Y
CELL000238,SITE00056,5G NR,B4,2,1985.00,Y
CELL000239,SITE00056,4G LTE,n77,3,1759.48,Y
CELL000240,SITE00056,5G NR,n41,2,1100.85,Y
CELL000241,SITE00056,5G NR,B4,1,2189.18,N
CELL000242,SITE00056,4G LTE,B4,1,958.92,Y
CELL000243,SITE00056,5G NR,n77,3,2248.48,Y
CELL000244,SITE00057,5G NR,n77,2,885.44,Y
CELL000245,SITE00057,4G LTE,B12,2,1925.03,Y
CELL000246,SITE00057,4G LTE,n71,3,1641.28,Y
CELL000247,SITE00058,4G LTE,n71,3,2305.39,Y
CELL000248,SITE00058,5G NR,n71,1,2148.88,N
CELL000249,SITE00058,5G NR,n71,1,943.21,N
CELL000250,SITE00059,4G LTE,n71,1,780.04,Y
CELL000251,SITE00059,5G NR,B4,2,361.20,Y
CELL000252,SITE00059,4G LTE,B4,1,758.49,N
CELL000253,SITE00060,5G NR,n71,2,2031.84,Y
CELL000254,SITE00060,4G LTE,B4,1,1267.71,Y
CELL000255,SITE00060,5G NR,B4,3,326.23,Y
