call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date,customer_id,plan_id,device_id,home_region,site_id,technology,duration_minutes,dropped_call_flag
CALL0000000073,SUB00004615,CELL000207,2026-04-08 09:12:00,86.0,MT,Failed,False,switch,2026-04-08,CUST00001110,PLN017,DEV0001633,West,SITE00049,5G NR,1.4333333333333333,False
CALL0000000074,SUB00004779,CELL000143,2026-05-27 16:54:00,445.0,MT,Failed,True,switch,2026-05-27,CUST00004019,PLN020,DEV0001887,West,SITE00034,5G NR,7.416666666666667,False
CALL0000000077,SUB00002009,CELL000187,2026-04-09 23:22:00,22.0,MO,Failed,False,switch,2026-04-09,CUST00001101,PLN013,DEV0000433,Northeast,SITE00044,4G LTE,0.36666666666666664,False
CALL0000000081,SUB00002537,CELL000176,2026-04-09 17:22:00,195.0,MO,Failed,False,switch,2026-04-09,CUST00001540,PLN012,DEV0001775,West,SITE00042,4G LTE,3.25,False
CALL0000000082,SUB00004970,CELL000032,2026-05-25 18:38:00,174.0,MT,Dropped,False,switch,2026-05-25,CUST00000110,PLN019,DEV0001073,Midwest,SITE00007,4G LTE,2.9,True
CALL0000000084,SUB00003280,CELL000081,2026-04-18 21:32:00,157.0,MT,Completed,True,switch,2026-04-18,CUST00000114,PLN020,DEV0001738,Southeast,SITE00018,4G LTE,2.6166666666666667,False
CALL0000000086,SUB00000834,CELL000090,2026-05-12 14:17:00,72.0,MO,Dropped,False,switch,2026-05-12,CUST00001164,PLN009,DEV0000386,West,SITE00020,4G LTE,1.2,True
CALL0000000087,SUB00003291,CELL000154,2026-05-20 20:36:00,81.0,MT,Completed,False,switch,2026-05-20,CUST00001221,PLN017,DEV0000601,Northeast,SITE00036,5G NR,1.35,False
CALL0000000089,SUB00003940,CELL000125,2026-04-22 20:09:00,71.0,MT,Dropped,False,switch,2026-04-22,CUST00000115,PLN004,DEV0001490,Southeast,SITE00030,5G NR,1.1833333333333333,True
CALL0000000092,SUB00004324,CELL000156,2026-05-11 07:52:00,240.0,MO,Failed,True,switch,2026-05-11,CUST00004191,PLN020,DEV0000750,Southeast,SITE00037,4G LTE,4.0,False
CALL0000000093,SUB00000034,CELL000188,2026-05-05 13:03:00,59.0,MO,Completed,False,switch,2026-05-05,CUST00002051,PLN009,DEV0001010,Midwest,SITE00044,4G LTE,0.9833333333333333,False
CALL0000000095,SUB00000121,CELL000039,2026-04-12 12:01:00,78.0,MO,Failed,False,switch,2026-04-12,CUST00003013,PLN014,DEV0001232,West,SITE00008,4G LTE,1.3,False
CALL0000000097,SUB00001209,CELL000100,2026-04-24 15:52:00,410.0,MO,Completed,False,switch,2026-04-24,CUST00001808,PLN004,DEV0001505,Southwest,SITE00023,4G LTE,6.833333333333333,False
CALL0000000101,SUB00004014,CELL000004,2026-05-15 22:31:00,280.0,MO,Dropped,False,switch,2026-05-15,CUST00000106,PLN010,DEV0001474,Southwest,SITE00001,5G NR,4.666666666666667,True
CALL0000000105,SUB00002915,CELL000194,2026-05-04 23:27:00,217.0,MO,Dropped,False,switch,2026-05-04,CUST00002692,PLN005,DEV0000112,Southwest,SITE00046,5G NR,3.6166666666666667,True
CALL0000000108,SUB00004659,CELL000199,2026-05-31 14:52:00,17.0,MO,Completed,False,switch,2026-05-31,CUST00003178,PLN007,DEV0001920,West,SITE00047,5G NR,0.2833333333333333,False
CALL0000000111,SUB00002566,CELL000228,2026-05-29 05:57:00,275.0,MO,Completed,False,switch,2026-05-29,CUST00001629,PLN019,DEV0001649,Southwest,SITE00053,5G NR,4.583333333333333,False
CALL0000000113,SUB00001703,CELL000177,2026-04-21 17:03:00,30.0,MO,Failed,False,switch,2026-04-21,CUST00000367,PLN017,DEV0000922,Southeast,SITE00042,5G NR,0.5,False
CALL0000000117,SUB00000781,CELL000133,2026-05-26 13:21:00,163.0,MT,Failed,True,switch,2026-05-26,CUST00000642,PLN003,DEV0001434,Southwest,SITE00031,4G LTE,2.716666666666667,False
CALL0000000118,SUB00001488,CELL000171,2026-04-25 17:36:00,55.0,MT,Dropped,False,switch,2026-04-25,CUST00000564,PLN004,DEV0001285,Southeast,SITE00040,5G NR,0.9166666666666666,True
CALL0000000122,SUB00003468,CELL000021,2026-05-15 01:07:00,328.0,MO,Dropped,False,switch,2026-05-15,CUST00000155,PLN019,DEV0002152,Southwest,SITE00005,4G LTE,5.466666666666667,True
CALL0000000129,SUB00003885,CELL000020,2026-05-19 11:00:00,121.0,MO,Failed,False,switch,2026-05-19,CUST00001786,PLN010,DEV0000323,Midwest,SITE00004,4G LTE,2.0166666666666666,False
CALL0000000130,SUB00004837,CELL000119,2026-05-04 06:23:00,93.0,MO,Failed,False,switch,2026-05-04,CUST00002927,PLN018,DEV0001192,Midwest,SITE00028,4G LTE,1.55,False
CALL0000000131,SUB00000663,CELL000243,2026-04-25 09:06:00,115.0,MT,Completed,True,switch,2026-04-25,CUST00002352,PLN006,DEV0000060,Midwest,SITE00056,5G NR,1.9166666666666667,False
CALL0000000132,SUB00004962,CELL000099,2026-05-15 18:13:00,885.0,MO,Completed,False,switch,2026-05-15,CUST00001653,PLN003,DEV0000767,Northeast,SITE00023,4G LTE,14.75,False
CALL0000000134,SUB00002780,CELL000237,2026-05-21 14:21:00,72.0,MT,Failed,False,switch,2026-05-21,CUST00004452,PLN019,DEV0001446,Southeast,SITE00055,4G LTE,1.2,False
CALL0000000136,SUB00002375,CELL000035,2026-04-04 20:42:00,75.0,MT,Dropped,True,switch,2026-04-04,CUST00002515,PLN001,DEV0001351,Northeast,SITE00007,5G NR,1.25,True
CALL0000000137,SUB00001621,CELL000254,2026-05-05 01:06:00,322.0,MT,Completed,False,switch,2026-05-05,CUST00002716,PLN015,DEV0002294,West,SITE00060,4G LTE,5.366666666666666,False
CALL0000000139,SUB00001384,CELL000236,2026-04-07 15:24:00,1.0,MO,Completed,True,switch,2026-04-07,CUST00001179,PLN017,DEV0000102,Northeast,SITE00055,5G NR,0.016666666666666666,False
CALL0000000140,SUB00004451,CELL000236,2026-05-03 05:29:00,133.0,MO,Dropped,False,switch,2026-05-03,CUST00000174,PLN011,DEV0001238,Southwest,SITE00055,5G NR,2.216666666666667,True
CALL0000000141,SUB00002822,CELL000125,2026-05-06 04:25:00,36.0,MT,Failed,False,switch,2026-05-06,CUST00000055,PLN019,DEV0000817,Northeast,SITE00030,5G NR,0.6,False
CALL0000000146,SUB00002121,CELL000161,2026-05-11 20:21:00,177.0,MO,Completed,False,switch,2026-05-11,CUST00000736,PLN007,DEV0001458,Northeast,SITE00037,4G LTE,2.95,False
CALL0000000149,SUB00004533,CELL000080,2026-05-09 02:22:00,1.0,MT,Failed,False,switch,2026-05-09,CUST00003831,PLN003,DEV0002060,West,SITE00018,5G NR,0.016666666666666666,False
CALL0000000152,SUB00002374,CELL000070,2026-05-08 16:02:00,1346.0,MO,Completed,False,switch,2026-05-08,CUST00000953,PLN004,DEV0000472,Midwest,SITE00016,5G NR,22.433333333333334,False
CALL0000000154,SUB00001481,CELL000082,2026-05-27 11:10:00,5.0,MT,Failed,False,switch,2026-05-27,CUST00003842,PLN018,DEV0001078,Midwest,SITE00019,5G NR,0.08333333333333333,False
CALL0000000155,SUB00002999,CELL000176,2026-04-01 17:14:00,36.0,MT,Completed,False,switch,2026-04-01,CUST00000567,PLN011,DEV0000519,Northeast,SITE00042,4G LTE,0.6,False
CALL0000000156,SUB00001634,CELL000253,2026-05-30 08:59:00,60.0,MT,Completed,False,switch,2026-05-30,CUST00003062,PLN014,DEV0000356,Midwest,SITE00060,5G NR,1.0,False
CALL0000000158,SUB00003069,CELL000115,2026-04-19 18:59:00,31.0,MO,Failed,True,switch,2026-04-19,CUST00000121,PLN018,DEV0001838,Northeast,SITE00027,5G NR,0.5166666666666667,False
CALL0000000159,SUB00000330,CELL000023,2026-05-08 15:35:00,59.0,MT,Completed,True,switch,2026-05-08,CUST00002553,PLN011,DEV0000139,Northeast,SITE00005,4G LTE,0.9833333333333333,False
CALL0000000162,SUB00002000,CELL000097,2026-04-22 14:40:00,256.0,MT,Failed,False,switch,2026-04-22,CUST00001015,PLN011,DEV0000405,Midwest,SITE00022,4G LTE,4.266666666666667,False
CALL0000000171,SUB00000086,CELL000170,2026-05-23 19:04:00,1.0,MO,Completed,False,switch,2026-05-23,CUST00003013,PLN013,DEV0002186,West,SITE00040,4G LTE,0.016666666666666666,False
CALL0000000175,SUB00002984,CELL000252,2026-05-21 15:36:00,715.0,MT,Failed,False,switch,2026-05-21,CUST00003138,PLN013,DEV0000306,Northeast,SITE00059,4G LTE,11.916666666666666,False
CALL0000000176,SUB00001025,CELL000185,2026-04-02 15:55:00,197.0,MO,Failed,False,switch,2026-04-02,CUST00002812,PLN019,DEV0000817,Southwest,SITE00043,4G LTE,3.283333333333333,False
CALL0000000177,SUB00002160,CELL000142,2026-05-08 03:36:00,480.0,MT,Dropped,False,switch,2026-05-08,CUST00000880,PLN017,DEV0002016,Northeast,SITE00034,4G LTE,8.0,True
CALL0000000181,SUB00001736,CELL000126,2026-05-22 16:34:00,62.0,MO,Completed,False,switch,2026-05-22,CUST00003509,PLN007,DEV0000974,Midwest,SITE00030,4G LTE,1.0333333333333334,False
CALL0000000184,SUB00004683,CELL000170,2026-05-30 00:32:00,121.0,MO,Dropped,True,switch,2026-05-30,CUST00001903,PLN019,DEV0002458,Midwest,SITE00040,4G LTE,2.0166666666666666,True
CALL0000000186,SUB00002470,CELL000016,2026-04-18 12:23:00,343.0,MT,Completed,True,switch,2026-04-18,CUST00004374,PLN001,DEV0001894,Southeast,SITE00004,4G LTE,5.716666666666667,False
CALL0000000187,SUB00000099,CELL000034,2026-05-17 20:24:00,71.0,MO,Completed,False,switch,2026-05-17,CUST00004127,PLN009,DEV0002184,Southwest,SITE00007,4G LTE,1.1833333333333333,False
CALL0000000188,SUB00002471,CELL000136,2026-05-16 07:35:00,470.0,MO,Failed,True,switch,2026-05-16,CUST00001942,PLN018,DEV0001144,Northeast,SITE00032,4G LTE,7.833333333333333,False
CALL0000000190,SUB00000252,CELL000033,2026-05-11 04:28:00,63.0,MT,Completed,True,switch,2026-05-11,CUST00000755,PLN013,DEV0001784,Northeast,SITE00007,5G NR,1.05,False
CALL0000000191,SUB00003734,CELL000136,2026-05-15 08:15:00,200.0,MO,Completed,False,switch,2026-05-15,CUST00004216,PLN005,DEV0000513,Southeast,SITE00032,4G LTE,3.3333333333333335,False
CALL0000000192,SUB00000323,CELL000067,2026-04-24 10:42:00,101.0,MT,Completed,False,switch,2026-04-24,CUST00003576,PLN015,DEV0000782,Southwest,SITE00015,5G NR,1.6833333333333333,False
CALL0000000193,SUB00003024,CELL000222,2026-05-03 07:50:00,284.0,MT,Dropped,False,switch,2026-05-03,CUST00003564,PLN011,DEV0000257,West,SITE00052,4G LTE,4.733333333333333,True
CALL0000000194,SUB00004663,CELL000143,2026-04-08 16:21:00,334.0,MT,Dropped,True,switch,2026-04-08,CUST00003537,PLN013,DEV0000883,Southeast,SITE00034,5G NR,5.566666666666666,True
CALL0000000195,SUB00001029,CELL000051,2026-05-11 04:32:00,62.0,MO,Completed,False,switch,2026-05-11,CUST00002958,PLN008,DEV0001794,Southwest,SITE00011,5G NR,1.0333333333333334,False
CALL0000000196,SUB00003234,CELL000248,2026-04-24 21:00:00,270.0,MT,Completed,False,switch,2026-04-24,CUST00003395,PLN015,DEV0002286,West,SITE00058,5G NR,4.5,False
CALL0000000197,SUB00002862,CELL000245,2026-05-10 17:59:00,94.0,MO,Completed,True,switch,2026-05-10,CUST00002404,PLN012,DEV0000099,Southeast,SITE00057,4G LTE,1.5666666666666667,False
CALL0000000199,SUB00000184,CELL000188,2026-05-28 09:49:00,79.0,MO,Completed,False,switch,2026-05-28,CUST00000320,PLN016,DEV0002354,Northeast,SITE00044,4G LTE,1.3166666666666667,False
CALL0000000202,SUB00002594,CELL000105,2026-04-14 13:31:00,129.0,MO,Failed,False,switch,2026-04-14,CUST00002659,PLN007,DEV0000037,Southeast,SITE00024,4G LTE,2.15,False
CALL0000000204,SUB00003147,CELL000219,2026-05-03 05:49:00,49.0,MO,Completed,False,switch,2026-05-03,CUST00003157,PLN016,DEV0000748,Southeast,SITE00052,5G NR,0.8166666666666667,False
CALL0000000206,SUB00001821,CELL000160,2026-05-31 13:48:00,160.0,MT,Completed,False,switch,2026-05-31,CUST00002038,PLN002,DEV0001229,West,SITE00037,5G NR,2.6666666666666665,False
CALL0000000207,SUB00003841,CELL000036,2026-05-29 12:56:00,135.0,MO,Completed,False,switch,2026-05-29,CUST00000265,PLN011,DEV0000595,Southwest,SITE00008,4G LTE,2.25,False
CALL0000000209,SUB00000323,CELL000080,2026-04-25 16:45:00,185.0,MO,Completed,False,switch,2026-04-25,CUST00003576,PLN015,DEV0000782,Southwest,SITE00018,5G NR,3.0833333333333335,False
CALL0000000210,SUB00000689,CELL000025,2026-04-29 08:51:00,118.0,MO,Failed,True,switch,2026-04-29,CUST00003753,PLN014,DEV0002241,Northeast,SITE00006,5G NR,1.9666666666666666,False
CALL0000000211,SUB00001277,CELL000124,2026-05-25 03:56:00,99.0,MT,Completed,True,switch,2026-05-25,CUST00003399,PLN001,DEV0001620,West,SITE00029,4G LTE,1.65,False
CALL0000000216,SUB00002005,CELL000083,2026-05-01 15:27:00,102.0,MT,Completed,False,switch,2026-05-01,CUST00002692,PLN008,DEV0000128,Southwest,SITE00019,4G LTE,1.7,False
CALL0000000217,SUB00000154,CELL000230,2026-05-04 03:55:00,616.0,MO,Dropped,False,switch,2026-05-04,CUST00000499,PLN017,DEV0001731,Southwest,SITE00054,5G NR,10.266666666666667,True
CALL0000000225,SUB00000148,CELL000144,2026-04-19 03:16:00,53.0,MT,Completed,False,switch,2026-04-19,CUST00003085,PLN011,DEV0002283,Southwest,SITE00034,5G NR,0.8833333333333333,False
CALL0000000226,SUB00002407,CELL000051,2026-04-10 03:15:00,70.0,MT,Completed,False,switch,2026-04-10,CUST00003290,PLN003,DEV0002092,Midwest,SITE00011,5G NR,1.1666666666666667,False
CALL0000000227,SUB00001664,CELL000082,2026-04-17 15:16:00,43.0,MO,Completed,False,switch,2026-04-17,CUST00002664,PLN011,DEV0002494,West,SITE00019,5G NR,0.7166666666666667,False
CALL0000000228,SUB00002566,CELL000044,2026-05-14 16:26:00,87.0,MO,Dropped,False,switch,2026-05-14,CUST00001629,PLN019,DEV0001649,Southwest,SITE00009,4G LTE,1.45,True
CALL0000000231,SUB00000191,CELL000105,2026-05-25 16:42:00,155.0,MO,Completed,False,switch,2026-05-25,CUST00000861,PLN009,DEV0001790,West,SITE00024,4G LTE,2.5833333333333335,False
CALL0000000234,SUB00000768,CELL000255,2026-05-23 07:13:00,8.0,MT,Completed,False,switch,2026-05-23,CUST00001481,PLN003,DEV0000717,West,SITE00060,5G NR,0.13333333333333333,False
CALL0000000235,SUB00002006,CELL000208,2026-04-26 05:45:00,125.0,MT,Completed,True,switch,2026-04-26,CUST00002523,PLN001,DEV0000061,Southeast,SITE00049,4G LTE,2.0833333333333335,False
CALL0000000236,SUB00004968,CELL000145,2026-04-05 06:20:00,116.0,MO,Completed,False,switch,2026-04-05,CUST00001955,PLN009,DEV0001729,Southwest,SITE00035,4G LTE,1.9333333333333333,False
CALL0000000237,SUB00004580,CELL000135,2026-04-17 03:36:00,28.0,MT,Completed,False,switch,2026-04-17,CUST00004294,PLN009,DEV0000389,Southeast,SITE00031,4G LTE,0.4666666666666667,False
CALL0000000241,SUB00004816,CELL000118,2026-05-26 17:48:00,121.0,MO,Completed,False,switch,2026-05-26,CUST00003633,PLN012,DEV0001898,Southwest,SITE00028,4G LTE,2.0166666666666666,False
CALL0000000242,SUB00002178,CELL000238,2026-05-09 23:06:00,127.0,MT,Dropped,True,switch,2026-05-09,CUST00001236,PLN019,DEV0001932,Midwest,SITE00056,5G NR,2.1166666666666667,True
CALL0000000244,SUB00003219,CELL000026,2026-04-08 05:50:00,6.0,MT,Completed,True,switch,2026-04-08,CUST00002340,PLN015,DEV0002494,Southwest,SITE00006,5G NR,0.1,False
CALL0000000245,SUB00001576,CELL000231,2026-05-15 08:39:00,124.0,MO,Dropped,False,switch,2026-05-15,CUST00000125,PLN015,DEV0002057,Northeast,SITE00054,5G NR,2.066666666666667,True
CALL0000000246,SUB00000657,CELL000060,2026-05-19 04:06:00,94.0,MT,Completed,False,switch,2026-05-19,CUST00003588,PLN007,DEV0000859,West,SITE00013,4G LTE,1.5666666666666667,False
CALL0000000247,SUB00004523,CELL000188,2026-05-27 15:27:00,521.0,MO,Completed,False,switch,2026-05-27,CUST00003475,PLN019,DEV0002281,Southeast,SITE00044,4G LTE,8.683333333333334,False
CALL0000000249,SUB00002262,CELL000221,2026-05-08 13:35:00,31.0,MT,Completed,False,switch,2026-05-08,CUST00002552,PLN015,DEV0000098,Southwest,SITE00052,5G NR,0.5166666666666667,False
CALL0000000253,SUB00002494,CELL000118,2026-05-27 17:05:00,35.0,MT,Failed,False,switch,2026-05-27,CUST00003349,PLN016,DEV0000236,Southwest,SITE00028,4G LTE,0.5833333333333334,False
CALL0000000255,SUB00001207,CELL000141,2026-04-24 05:18:00,56.0,MT,Failed,False,switch,2026-04-24,CUST00003061,PLN018,DEV0000720,Midwest,SITE00033,5G NR,0.9333333333333333,False
CALL0000000257,SUB00003270,CELL000244,2026-04-19 11:40:00,54.0,MO,Completed,False,switch,2026-04-19,CUST00002560,PLN009,DEV0001706,Southeast,SITE00057,5G NR,0.9,False
