site_id,site_name,city,region,latitude,longitude,site_type,backhaul_type,active_flag
SITE00036,Albuquerque Macro 36,Albuquerque,Southwest,29.47457,-84.10181,Rooftop,Fiber,True
SITE00037,Seattle Macro 37,Seattle,West,28.57123,-99.44023,Macro,Microwave,True
SITE00038,Seattle Macro 38,Seattle,West,26.93569,-81.42364,Rooftop,Ethernet,True
SITE00039,Seattle Macro 39,Seattle,West,38.28784,-96.96796,Small Cell,Microwave,True
SITE00040,Denver Macro 40,Denver,West,27.02158,-88.50121,Small Cell,Ethernet,True
SITE00041,Denver Macro 41,Denver,West,36.39037,-79.17665,Rooftop,Microwave,True
SITE00042,Denver Macro 42,Denver,West,43.49521,-115.26788,Small Cell,Ethernet,False
SITE00043,Portland Macro 43,Portland,West,25.17317,-103.86944,Rooftop,Microwave,True
SITE00044,Portland Macro 44,Portland,West,40.65594,-96.70582,Rooftop,Fiber,True
SITE00045,Portland Macro 45,Portland,West,34.82880,-110.73590,Macro,Ethernet,True
SITE00046,San Diego Macro 46,San Diego,West,38.26269,-99.25907,Macro,Ethernet,True
SITE00047,San Diego Macro 47,San Diego,West,43.02212,-93.37213,Macro,Fiber,True
SITE00048,San Diego Macro 48,San Diego,West,44.77453,-79.60805,Rooftop,Fiber,True
SITE00049,Boston Macro 49,Boston,Northeast,33.51237,-105.82133,Macro,Fiber,True
SITE00050,Boston Macro 50,Boston,Northeast,38.70495,-108.02266,Rooftop,Ethernet,True
SITE00051,Boston Macro 51,Boston,Northeast,29.21266,-102.34534,Macro,Ethernet,True
SITE00052,Albany Macro 52,Albany,Northeast,27.69982,-85.37510,Macro,Fiber,True
SITE00053,Albany Macro 53,Albany,Northeast,43.78988,-115.23679,Small Cell,Ethernet,True
SITE00054,Albany Macro 54,Albany,Northeast,42.84332,-120.87411,Rooftop,Fiber,False
SITE00055,Buffalo Macro 55,Buffalo,Northeast,41.93163,-91.62506,Macro,Ethernet,True
SITE00056,Buffalo Macro 56,Buffalo,Northeast,32.85906,-89.76411,Macro,Ethernet,True
SITE00057,Buffalo Macro 57,Buffalo,Northeast,28.02095,-117.65642,Small Cell,Microwave,True
SITE00058,Philadelphia Macro 58,Philadelphia,Northeast,45.83986,-112.41298,Macro,Fiber,True
SITE00059,Philadelphia Macro 59,Philadelphia,Northeast,39.75860,-78.21868,Macro,Microwave,True
SITE00060,Philadelphia Macro 60,Philadelphia,Northeast,27.50220,-91.71498,Small Cell,Fiber,True
