sms_id,subscriber_id,cell_id,sms_ts,direction,delivery_status,roaming_flag,sms_date,customer_id,plan_id,failed_sms_flag
SMS0000000120,SUB00003909,CELL000089,2026-05-13 05:35:07,MT,Failed,True,2026-05-13,CUST00001428,PLN006,True
SMS0000000121,SUB00000015,CELL000220,2026-04-01 05:15:57,MT,Delivered,False,2026-04-01,CUST00001240,PLN004,False
SMS0000000122,SUB00002195,CELL000049,2026-04-10 19:33:57,MO,Delivered,True,2026-04-10,CUST00002267,PLN011,False
SMS0000000123,SUB00003222,CELL000011,2026-05-19 00:42:13,MO,Delivered,False,2026-05-19,CUST00003481,PLN018,False
SMS0000000124,SUB00000894,CELL000211,2026-04-16 05:39:03,MT,Expired,False,2026-04-16,CUST00000849,PLN012,True
SMS0000000125,SUB00000959,CELL000194,2026-04-16 17:55:11,MT,Expired,True,2026-04-16,CUST00000647,PLN014,True
SMS0000000126,SUB00000584,CELL000060,2026-05-25 14:41:01,MO,Failed,False,2026-05-25,CUST00001304,PLN008,True
SMS0000000127,SUB00002961,CELL000146,2026-05-29 14:17:01,MO,Failed,True,2026-05-29,CUST00003925,PLN020,True
SMS0000000128,SUB00004572,CELL000157,2026-04-11 12:31:41,MT,Expired,False,2026-04-11,CUST00001794,PLN009,True
SMS0000000129,SUB00003530,CELL000074,2026-05-06 15:35:52,MO,Delivered,False,2026-05-06,CUST00002153,PLN009,False
SMS0000000130,SUB00001670,CELL000047,2026-05-08 05:28:03,MT,Failed,False,2026-05-08,CUST00000998,PLN014,True
SMS0000000131,SUB00000283,CELL000026,2026-04-06 05:17:06,MO,Delivered,True,2026-04-06,CUST00004283,PLN007,False
SMS0000000132,SUB00003230,CELL000074,2026-04-23 16:08:44,MT,Delivered,False,2026-04-23,CUST00001180,PLN011,False
SMS0000000133,SUB00001985,CELL000161,2026-04-09 16:13:34,MO,Expired,False,2026-04-09,CUST00001598,PLN005,True
SMS0000000134,SUB00001574,CELL000238,2026-04-15 10:04:13,MT,Expired,False,2026-04-15,CUST00003406,PLN008,True
SMS0000000135,SUB00003615,CELL000249,2026-05-24 00:27:00,MO,Delivered,True,2026-05-24,CUST00004425,PLN007,False
SMS0000000136,SUB00004327,CELL000189,2026-04-26 17:45:09,MT,Delivered,True,2026-04-26,CUST00003255,PLN002,False
SMS0000000137,SUB00003750,CELL000056,2026-04-03 07:49:16,MT,Failed,False,2026-04-03,CUST00002296,PLN001,True
SMS0000000138,SUB00002061,CELL000159,2026-04-05 09:42:22,MT,Delivered,False,2026-04-05,CUST00001376,PLN020,False
SMS0000000139,SUB00003733,CELL000213,2026-04-01 19:18:20,MO,Delivered,False,2026-04-01,CUST00001672,PLN019,False
SMS0000000140,SUB00004967,CELL000224,2026-04-07 09:36:57,MO,Delivered,False,2026-04-07,CUST00000071,PLN006,False
SMS0000000141,SUB00000068,CELL000107,2026-04-25 00:44:16,MT,Delivered,False,2026-04-25,CUST00004221,PLN008,False
SMS0000000142,SUB00001300,CELL000067,2026-05-10 12:04:12,MT,Expired,False,2026-05-10,CUST00001748,PLN009,True
SMS0000000143,SUB00004931,CELL000092,2026-04-23 06:50:36,MT,Failed,True,2026-04-23,CUST00003280,PLN006,True
SMS0000000144,SUB00001120,CELL000031,2026-04-05 06:38:22,MT,Delivered,False,2026-04-05,CUST00002466,PLN005,False
SMS0000000145,SUB00004823,CELL000184,2026-04-20 14:57:18,MT,Failed,False,2026-04-20,CUST00000210,PLN004,True
SMS0000000146,SUB00003489,CELL000177,2026-05-06 20:42:30,MT,Delivered,True,2026-05-06,CUST00002008,PLN009,False
SMS0000000147,SUB00004468,CELL000230,2026-04-25 18:17:07,MT,Expired,True,2026-04-25,CUST00003916,PLN006,True
SMS0000000148,SUB00000370,CELL000004,2026-05-25 16:51:15,MT,Delivered,False,2026-05-25,CUST00004046,PLN018,False
SMS0000000149,SUB00003008,CELL000168,2026-04-07 17:59:51,MT,Delivered,True,2026-04-07,CUST00001286,PLN018,False
SMS0000000150,SUB00004163,CELL000027,2026-05-09 23:33:43,MO,Failed,True,2026-05-09,CUST00001086,PLN013,True
SMS0000000151,SUB00002139,CELL000076,2026-04-11 10:51:17,MO,Delivered,False,2026-04-11,CUST00003151,PLN004,False
SMS0000000152,SUB00000156,CELL000154,2026-05-09 08:37:35,MT,Delivered,False,2026-05-09,CUST00003268,PLN001,False
SMS0000000153,SUB00002248,CELL000060,2026-05-12 12:38:28,MO,Failed,False,2026-05-12,CUST00001061,PLN018,True
SMS0000000154,SUB00004134,CELL000226,2026-05-15 03:36:37,MT,Delivered,False,2026-05-15,CUST00003609,PLN017,False
SMS0000000155,SUB00001075,CELL000027,2026-05-03 09:24:56,MT,Failed,False,2026-05-03,CUST00003748,PLN006,True
SMS0000000156,SUB00002102,CELL000191,2026-04-11 10:26:09,MT,Expired,True,2026-04-11,CUST00003704,PLN011,True
SMS0000000157,SUB00001177,CELL000073,2026-05-17 04:40:46,MO,Delivered,False,2026-05-17,CUST00003106,PLN013,False
SMS0000000158,SUB00004485,CELL000227,2026-05-20 19:29:07,MT,Delivered,True,2026-05-20,CUST00003296,PLN016,False
SMS0000000159,SUB00004016,CELL000078,2026-04-02 15:20:49,MT,Expired,False,2026-04-02,CUST00004236,PLN017,True
SMS0000000160,SUB00004553,CELL000090,2026-05-26 07:33:57,MT,Delivered,False,2026-05-26,CUST00003641,PLN015,False
SMS0000000161,SUB00003176,CELL000232,2026-04-05 16:11:27,MO,Failed,False,2026-04-05,CUST00001649,PLN014,True
SMS0000000162,SUB00000055,CELL000242,2026-04-30 18:35:23,MO,Delivered,False,2026-04-30,CUST00001514,PLN013,False
SMS0000000163,SUB00004316,CELL000253,2026-05-01 16:36:54,MO,Delivered,False,2026-05-01,CUST00001038,PLN016,False
SMS0000000164,SUB00003579,CELL000009,2026-04-07 00:50:33,MO,Expired,False,2026-04-07,CUST00002966,PLN014,True
SMS0000000165,SUB00002783,CELL000117,2026-04-20 12:39:47,MO,Failed,True,2026-04-20,CUST00004127,PLN011,True
SMS0000000166,SUB00003725,CELL000036,2026-04-27 02:57:55,MO,Delivered,False,2026-04-27,CUST00000894,PLN005,False
SMS0000000167,SUB00002981,CELL000222,2026-05-31 12:36:58,MT,Failed,False,2026-05-31,CUST00000428,PLN017,True
SMS0000000168,SUB00003555,CELL000054,2026-05-13 15:19:49,MT,Expired,False,2026-05-13,CUST00000910,PLN001,True
SMS0000000169,SUB00000967,CELL000150,2026-05-01 18:00:49,MO,Failed,False,2026-05-01,CUST00003732,PLN005,True
SMS0000000170,SUB00003771,CELL000201,2026-04-10 10:18:47,MO,Delivered,False,2026-04-10,CUST00000720,PLN018,False
SMS0000000171,SUB00001055,CELL000110,2026-05-30 10:23:41,MO,Delivered,False,2026-05-30,CUST00004203,PLN012,False
SMS0000000172,SUB00003837,CELL000190,2026-05-08 04:03:13,MO,Failed,True,2026-05-08,CUST00001983,PLN020,True
SMS0000000173,SUB00004657,CELL000134,2026-04-30 06:56:41,MO,Delivered,False,2026-04-30,CUST00001495,PLN020,False
SMS0000000174,SUB00000143,CELL000194,2026-04-20 14:17:24,MO,Delivered,True,2026-04-20,CUST00002016,PLN010,False
SMS0000000175,SUB00002047,CELL000057,2026-05-01 22:15:25,MT,Expired,False,2026-05-01,CUST00002631,PLN014,True
SMS0000000176,SUB00000208,CELL000125,2026-04-16 03:58:04,MO,Failed,True,2026-04-16,CUST00003669,PLN019,True
SMS0000000177,SUB00004512,CELL000015,2026-05-19 03:44:26,MT,Delivered,True,2026-05-19,CUST00003171,PLN011,False
SMS0000000178,SUB00004743,CELL000226,2026-04-12 06:08:27,MO,Expired,False,2026-04-12,CUST00002881,PLN010,True
SMS0000000179,SUB00001401,CELL000073,2026-05-24 12:43:53,MT,Delivered,True,2026-05-24,CUST00002652,PLN014,False
SMS0000000180,SUB00002851,CELL000203,2026-05-14 09:23:14,MO,Delivered,False,2026-05-14,CUST00002973,PLN012,False
SMS0000000181,SUB00001133,CELL000067,2026-05-28 16:45:13,MT,Delivered,False,2026-05-28,CUST00002809,PLN017,False
SMS0000000182,SUB00003216,CELL000048,2026-05-01 11:53:12,MT,Delivered,False,2026-05-01,CUST00003729,PLN004,False
SMS0000000183,SUB00000351,CELL000082,2026-04-23 02:44:49,MT,Failed,False,2026-04-23,CUST00001383,PLN005,True
SMS0000000184,SUB00000027,CELL000205,2026-04-09 08:13:12,MO,Delivered,False,2026-04-09,CUST00003723,PLN017,False
SMS0000000185,SUB00000214,CELL000091,2026-04-24 15:06:15,MO,Delivered,False,2026-04-24,CUST00003948,PLN017,False
SMS0000000186,SUB00000633,CELL000172,2026-05-26 19:59:03,MT,Expired,True,2026-05-26,CUST00002855,PLN016,True
SMS0000000187,SUB00002231,CELL000069,2026-05-29 18:46:38,MT,Expired,True,2026-05-29,CUST00002619,PLN016,True
SMS0000000188,SUB00000326,CELL000178,2026-04-06 03:04:31,MT,Delivered,False,2026-04-06,CUST00003769,PLN007,False
SMS0000000189,SUB00004562,CELL000040,2026-04-14 00:24:40,MO,Expired,False,2026-04-14,CUST00003935,PLN014,True
SMS0000000190,SUB00003848,CELL000115,2026-04-16 21:32:42,MO,Delivered,True,2026-04-16,CUST00002664,PLN012,False
SMS0000000191,SUB00002520,CELL000103,2026-05-24 14:03:54,MO,Delivered,False,2026-05-24,CUST00002073,PLN006,False
SMS0000000192,SUB00004618,CELL000020,2026-04-22 12:46:07,MT,Failed,True,2026-04-22,CUST00002790,PLN005,True
SMS0000000193,SUB00003275,CELL000248,2026-05-10 13:16:25,MO,Expired,False,2026-05-10,CUST00001076,PLN019,True
SMS0000000194,SUB00002903,CELL000093,2026-05-18 21:11:19,MO,Expired,False,2026-05-18,CUST00002352,PLN002,True
SMS0000000195,SUB00004497,CELL000131,2026-05-30 06:52:43,MO,Delivered,False,2026-05-30,CUST00003906,PLN010,False
SMS0000000196,SUB00004018,CELL000197,2026-05-26 11:41:02,MT,Delivered,True,2026-05-26,CUST00002113,PLN011,False
SMS0000000197,SUB00002683,CELL000039,2026-05-20 01:57:36,MT,Delivered,True,2026-05-20,CUST00000599,PLN012,False
SMS0000000198,SUB00002935,CELL000212,2026-04-19 13:55:43,MT,Delivered,False,2026-04-19,CUST00000376,PLN018,False
SMS0000000199,SUB00000550,CELL000024,2026-05-29 05:55:24,MO,Failed,False,2026-05-29,CUST00001149,PLN012,True
SMS0000000200,SUB00003961,CELL000204,2026-05-02 21:09:02,MT,Delivered,False,2026-05-02,CUST00004285,PLN019,False
SMS0000000201,SUB00002236,CELL000198,2026-04-22 05:44:59,MT,Failed,False,2026-04-22,CUST00000387,PLN019,True
SMS0000000202,SUB00000956,CELL000009,2026-04-25 13:01:50,MO,Expired,False,2026-04-25,CUST00000263,PLN002,True
SMS0000000203,SUB00003062,CELL000229,2026-04-12 03:32:57,MO,Failed,False,2026-04-12,CUST00001281,PLN006,True
SMS0000000204,SUB00000246,CELL000174,2026-04-02 21:41:13,MT,Expired,False,2026-04-02,CUST00003433,PLN008,True
SMS0000000205,SUB00003105,CELL000016,2026-04-04 12:56:17,MO,Delivered,False,2026-04-04,CUST00001021,PLN005,False
SMS0000000206,SUB00004523,CELL000214,2026-05-14 03:50:29,MO,Delivered,False,2026-05-14,CUST00003475,PLN019,False
SMS0000000207,SUB00000814,CELL000252,2026-04-07 21:54:28,MO,Delivered,False,2026-04-07,CUST00003145,PLN020,False
SMS0000000208,SUB00003360,CELL000240,2026-04-04 15:55:22,MT,Delivered,False,2026-04-04,CUST00003698,PLN018,False
SMS0000000209,SUB00003738,CELL000125,2026-05-02 12:53:41,MT,Failed,False,2026-05-02,CUST00001452,PLN011,True
SMS0000000210,SUB00004468,CELL000047,2026-04-17 04:34:13,MT,Delivered,False,2026-04-17,CUST00003916,PLN006,False
SMS0000000211,SUB00002956,CELL000240,2026-05-21 19:45:54,MT,Delivered,True,2026-05-21,CUST00002186,PLN010,False
SMS0000000212,SUB00002684,CELL000083,2026-04-16 20:29:11,MO,Expired,False,2026-04-16,CUST00004054,PLN017,True
SMS0000000213,SUB00002143,CELL000177,2026-05-24 03:40:20,MO,Expired,True,2026-05-24,CUST00000791,PLN016,True
SMS0000000214,SUB00000465,CELL000091,2026-04-05 10:54:17,MO,Expired,False,2026-04-05,CUST00001490,PLN016,True
SMS0000000215,SUB00003397,CELL000230,2026-05-15 18:08:53,MT,Failed,False,2026-05-15,CUST00000827,PLN020,True
