call_id,subscriber_id,cell_id,call_start_ts,duration_seconds,call_direction,call_status,roaming_flag,source_system,call_date,customer_id,plan_id,device_id,home_region,site_id,technology,duration_minutes,dropped_call_flag,month
CALL0000000339,SUB00004341,CELL000170,2026-04-19 17:24:00,391.0,MO,Dropped,False,switch,2026-04-19,CUST00001951,PLN011,DEV0002130,Midwest,SITE00040,4G LTE,6.516666666666667,True,2026-04
CALL0000000345,SUB00003237,CELL000060,2026-05-26 11:21:00,82.0,MT,Dropped,False,switch,2026-05-26,CUST00001289,PLN011,DEV0001475,Northeast,SITE00013,4G LTE,1.3666666666666667,True,2026-05
CALL0000000351,SUB00000925,CELL000129,2026-04-03 19:25:00,1.0,MO,Dropped,False,switch,2026-04-03,CUST00001571,PLN012,DEV0001867,Northeast,SITE00030,4G LTE,0.016666666666666666,True,2026-04
CALL0000000360,SUB00001070,CELL000129,2026-05-05 21:00:00,107.0,MO,Dropped,True,switch,2026-05-05,CUST00000544,PLN013,DEV0001603,Northeast,SITE00030,4G LTE,1.7833333333333334,True,2026-05
CALL0000000362,SUB00001581,CELL000148,2026-04-06 23:41:00,2.0,MO,Dropped,True,switch,2026-04-06,CUST00000175,PLN011,DEV0001651,Midwest,SITE00035,4G LTE,0.03333333333333333,True,2026-04
CALL0000000380,SUB00004234,CELL000195,2026-05-22 01:36:00,134.0,MO,Dropped,False,switch,2026-05-22,CUST00002669,PLN008,DEV0000518,West,SITE00046,4G LTE,2.2333333333333334,True,2026-05
CALL0000000381,SUB00004861,CELL000132,2026-04-11 03:53:00,333.0,MO,Dropped,False,switch,2026-04-11,CUST00000905,PLN007,DEV0000945,Northeast,SITE00031,4G LTE,5.55,True,2026-04
CALL0000000386,SUB00000268,CELL000052,2026-04-04 20:03:00,343.0,MT,Dropped,True,switch,2026-04-04,CUST00004308,PLN009,DEV0001860,Southeast,SITE00011,5G NR,5.716666666666667,True,2026-04
CALL0000000396,SUB00003358,CELL000033,2026-05-10 22:12:00,37.0,MO,Dropped,False,switch,2026-05-10,CUST00000656,PLN010,DEV0002030,Northeast,SITE00007,5G NR,0.6166666666666667,True,2026-05
CALL0000000398,SUB00001164,CELL000235,2026-04-19 03:26:00,122.0,MO,Dropped,False,switch,2026-04-19,CUST00003735,PLN003,DEV0001160,Southwest,SITE00055,4G LTE,2.033333333333333,True,2026-04
CALL0000000405,SUB00001325,CELL000093,2026-04-07 17:14:00,56.0,MO,Dropped,True,switch,2026-04-07,CUST00002186,PLN019,DEV0000416,Midwest,SITE00021,5G NR,0.9333333333333333,True,2026-04
CALL0000000409,SUB00002377,CELL000019,2026-04-10 03:03:00,48.0,MO,Dropped,True,switch,2026-04-10,CUST00003270,PLN001,DEV0000009,Northeast,SITE00004,4G LTE,0.8,True,2026-04
CALL0000000454,SUB00000505,CELL000030,2026-04-03 08:33:00,86.0,MT,Dropped,False,switch,2026-04-03,CUST00000466,PLN015,DEV0001528,West,SITE00007,4G LTE,1.4333333333333333,True,2026-04
CALL0000000460,SUB00004947,CELL000172,2026-05-31 15:23:00,6.0,MT,Dropped,False,switch,2026-05-31,CUST00000742,PLN001,DEV0002394,Northeast,SITE00041,4G LTE,0.1,True,2026-05
CALL0000000475,SUB00001244,CELL000013,2026-04-25 19:05:00,86.0,MT,Dropped,False,switch,2026-04-25,CUST00001301,PLN002,DEV0001570,Southeast,SITE00003,4G LTE,1.4333333333333333,True,2026-04
CALL0000000480,SUB00003714,CELL000129,2026-04-08 11:09:00,174.0,MT,Dropped,True,switch,2026-04-08,CUST00003293,PLN005,DEV0001344,Midwest,SITE00030,4G LTE,2.9,True,2026-04
CALL0000000484,SUB00003647,CELL000010,2026-05-14 08:47:00,105.0,MT,Dropped,False,switch,2026-05-14,CUST00004038,PLN005,DEV0002228,West,SITE00002,4G LTE,1.75,True,2026-05
CALL0000000491,SUB00001494,CELL000104,2026-04-12 15:08:00,167.0,MO,Dropped,False,switch,2026-04-12,CUST00001344,PLN009,DEV0001457,West,SITE00024,5G NR,2.783333333333333,True,2026-04
CALL0000000496,SUB00003318,CELL000023,2026-05-07 06:46:00,92.0,MT,Dropped,True,switch,2026-05-07,CUST00001577,PLN002,DEV0000979,Midwest,SITE00005,4G LTE,1.5333333333333334,True,2026-05
CALL0000000504,SUB00000330,CELL000035,2026-05-05 14:08:00,59.0,MO,Dropped,False,switch,2026-05-05,CUST00002553,PLN011,DEV0000139,Northeast,SITE00007,5G NR,0.9833333333333333,True,2026-05
CALL0000000520,SUB00001778,CELL000027,2026-04-21 09:14:00,88.0,MO,Dropped,False,switch,2026-04-21,CUST00003460,PLN015,DEV0000759,Northeast,SITE00006,4G LTE,1.4666666666666666,True,2026-04
CALL0000000526,SUB00000093,CELL000014,2026-04-27 04:19:00,49.0,MO,Dropped,True,switch,2026-04-27,CUST00001575,PLN002,DEV0001776,Southeast,SITE00003,4G LTE,0.8166666666666667,True,2026-04
CALL0000000527,SUB00002985,CELL000194,2026-04-15 10:18:00,63.0,MO,Dropped,False,switch,2026-04-15,CUST00001496,PLN004,DEV0001616,Southwest,SITE00046,5G NR,1.05,True,2026-04
CALL0000000531,SUB00004752,CELL000120,2026-05-28 16:16:00,521.0,MO,Dropped,True,switch,2026-05-28,CUST00001239,PLN009,DEV0000955,Northeast,SITE00028,4G LTE,8.683333333333334,True,2026-05
CALL0000000533,SUB00000371,CELL000113,2026-05-20 02:32:00,8.0,MO,Dropped,False,switch,2026-05-20,CUST00001496,PLN008,DEV0000684,Southwest,SITE00026,5G NR,0.13333333333333333,True,2026-05
CALL0000000538,SUB00002000,CELL000139,2026-05-22 09:32:00,164.0,MO,Dropped,False,switch,2026-05-22,CUST00001015,PLN011,DEV0000405,Midwest,SITE00033,5G NR,2.7333333333333334,True,2026-05
CALL0000000540,SUB00002333,CELL000180,2026-05-02 16:39:00,5.0,MO,Dropped,False,switch,2026-05-02,CUST00004067,PLN018,DEV0000466,West,SITE00043,4G LTE,0.08333333333333333,True,2026-05
CALL0000000547,SUB00001992,CELL000098,2026-05-25 07:20:00,58.0,MT,Dropped,True,switch,2026-05-25,CUST00000433,PLN013,DEV0000450,Northeast,SITE00023,5G NR,0.9666666666666667,True,2026-05
CALL0000000562,SUB00004793,CELL000201,2026-05-17 08:57:00,69.0,MO,Dropped,False,switch,2026-05-17,CUST00000277,PLN016,DEV0001442,Southwest,SITE00048,5G NR,1.15,True,2026-05
CALL0000000564,SUB00003347,CELL000001,2026-05-25 14:05:00,50.0,MO,Dropped,False,switch,2026-05-25,CUST00002740,PLN013,DEV0002069,Northeast,SITE00001,4G LTE,0.8333333333333334,True,2026-05
CALL0000000604,SUB00000625,CELL000221,2026-04-14 20:22:00,35.0,MO,Dropped,False,switch,2026-04-14,CUST00004145,PLN013,DEV0000531,Northeast,SITE00052,5G NR,0.5833333333333334,True,2026-04
CALL0000000612,SUB00001603,CELL000077,2026-05-27 22:03:00,24.0,MO,Dropped,False,switch,2026-05-27,CUST00000914,PLN002,DEV_BAD,Northeast,SITE00018,4G LTE,0.4,True,2026-05
CALL0000000622,SUB00001709,CELL000094,2026-05-10 05:30:00,111.0,MT,Dropped,False,switch,2026-05-10,CUST00000226,PLN011,DEV0002033,Midwest,SITE00022,5G NR,1.85,True,2026-05
CALL0000000634,SUB00004870,CELL000040,2026-04-25 22:06:00,62.0,MO,Dropped,True,switch,2026-04-25,CUST00000241,PLN005,DEV0000511,Midwest,SITE00009,5G NR,1.0333333333333334,True,2026-04
CALL0000000638,SUB00004506,CELL000088,2026-04-19 08:49:00,182.0,MT,Dropped,False,switch,2026-04-19,CUST00002483,PLN012,DEV0000981,Midwest,SITE00020,5G NR,3.033333333333333,True,2026-04
CALL0000000665,SUB00004790,CELL000086,2026-04-25 23:15:00,162.0,MO,Dropped,False,switch,2026-04-25,CUST00004442,PLN002,DEV0000526,Southwest,SITE00020,4G LTE,2.7,True,2026-04
CALL0000000669,SUB00003590,CELL000246,2026-05-12 07:29:00,1.0,MO,Dropped,False,switch,2026-05-12,CUST00003142,PLN016,DEV0001165,West,SITE00057,4G LTE,0.016666666666666666,True,2026-05
CALL0000000702,SUB00003510,CELL000156,2026-04-05 07:55:00,97.0,MT,Dropped,False,switch,2026-04-05,CUST00003318,PLN008,DEV0000323,Midwest,SITE00037,4G LTE,1.6166666666666667,True,2026-04
CALL0000000721,SUB00000051,CELL000136,2026-05-21 16:25:00,133.0,MT,Dropped,False,switch,2026-05-21,CUST00001126,PLN002,DEV0000310,Southwest,SITE00032,4G LTE,2.216666666666667,True,2026-05
CALL0000000727,SUB00002495,CELL000120,2026-04-18 21:52:00,45.0,MO,Dropped,False,switch,2026-04-18,CUST00000753,PLN020,DEV0002192,Northeast,SITE00028,4G LTE,0.75,True,2026-04
CALL0000000748,SUB00004840,CELL000098,2026-05-09 07:44:00,348.0,MO,Dropped,True,switch,2026-05-09,CUST00001173,PLN009,DEV0002058,Northeast,SITE00023,5G NR,5.8,True,2026-05
CALL0000000751,SUB00002150,CELL000025,2026-05-30 09:27:00,333.0,MO,Dropped,False,switch,2026-05-30,CUST00002083,PLN007,DEV0001616,Midwest,SITE00006,5G NR,5.55,True,2026-05
CALL0000000757,SUB00001111,CELL000071,2026-04-10 04:13:00,341.0,MO,Dropped,False,switch,2026-04-10,CUST00001942,PLN018,DEV0000733,Northeast,SITE00016,4G LTE,5.683333333333334,True,2026-04
CALL0000000769,SUB00004331,CELL000151,2026-05-23 10:14:00,9.0,MO,Dropped,False,switch,2026-05-23,CUST00004302,PLN018,DEV0002427,Southwest,SITE00036,4G LTE,0.15,True,2026-05
CALL0000000787,SUB00001841,CELL000111,2026-04-09 19:21:00,19.0,MO,Dropped,False,switch,2026-04-09,CUST00002255,PLN013,DEV0001571,West,SITE00026,4G LTE,0.31666666666666665,True,2026-04
CALL0000000796,SUB00002414,CELL000060,2026-04-12 23:01:00,127.0,MO,Dropped,False,switch,2026-04-12,CUST00000892,PLN017,DEV0001238,Northeast,SITE00013,4G LTE,2.1166666666666667,True,2026-04
CALL0000000806,SUB00001712,CELL000112,2026-05-12 13:40:00,76.0,MO,Dropped,False,switch,2026-05-12,CUST00000686,PLN003,DEV0000261,Southeast,SITE00026,5G NR,1.2666666666666666,True,2026-05
CALL0000000828,SUB00001884,CELL000252,2026-04-06 11:50:00,19.0,MO,Dropped,False,switch,2026-04-06,CUST00003730,PLN018,DEV0001594,Northeast,SITE00059,4G LTE,0.31666666666666665,True,2026-04
CALL0000000861,SUB00004722,CELL000157,2026-05-04 22:09:00,30.0,MT,Dropped,False,switch,2026-05-04,CUST00002439,PLN001,DEV0001083,Southeast,SITE00037,5G NR,0.5,True,2026-05
CALL0000000888,SUB00002158,CELL000158,2026-05-05 23:25:00,325.0,MO,Dropped,False,switch,2026-05-05,CUST00003447,PLN019,DEV0001458,Midwest,SITE00037,5G NR,5.416666666666667,True,2026-05
CALL0000000901,SUB00003849,CELL000045,2026-04-05 18:17:00,12.0,MO,Dropped,False,switch,2026-04-05,CUST00001941,PLN016,DEV0002120,Southeast,SITE00010,5G NR,0.2,True,2026-04
CALL0000000926,SUB00004874,CELL000095,2026-05-31 01:08:00,250.0,MT,Dropped,False,switch,2026-05-31,CUST00002107,PLN008,DEV0000142,West,SITE00022,4G LTE,4.166666666666667,True,2026-05
CALL0000000933,SUB00002642,CELL000118,2026-05-22 03:25:00,41.0,MT,Dropped,False,switch,2026-05-22,CUST00000694,PLN004,DEV0000835,Northeast,SITE00028,4G LTE,0.6833333333333333,True,2026-05
CALL0000000935,SUB00000758,CELL000232,2026-05-07 12:28:00,54.0,MO,Dropped,False,switch,2026-05-07,CUST00003769,PLN015,DEV0000403,Midwest,SITE00054,4G LTE,0.9,True,2026-05
CALL0000000940,SUB00001228,CELL000150,2026-05-18 11:17:00,97.0,MT,Dropped,True,switch,2026-05-18,CUST00003332,PLN005,DEV0001129,Midwest,SITE00035,4G LTE,1.6166666666666667,True,2026-05
CALL0000000943,SUB00000481,CELL000130,2026-05-06 15:15:00,40.0,MO,Dropped,False,switch,2026-05-06,CUST00001064,PLN002,DEV0001490,Midwest,SITE00031,4G LTE,0.6666666666666666,True,2026-05
CALL0000000945,SUB00001582,CELL000111,2026-04-26 20:51:00,409.0,MO,Dropped,False,switch,2026-04-26,CUST00001267,PLN009,DEV0002202,Midwest,SITE00026,4G LTE,6.816666666666666,True,2026-04
CALL0000000996,SUB00000884,CELL000245,2026-04-24 22:52:00,158.0,MT,Dropped,False,switch,2026-04-24,CUST00003488,PLN020,DEV0000375,West,SITE00057,4G LTE,2.6333333333333333,True,2026-04
CALL0000001038,SUB00001333,CELL000123,2026-04-22 12:09:00,146.0,MT,Dropped,False,switch,2026-04-22,CUST00001300,PLN019,DEV0001203,Northeast,SITE00029,5G NR,2.433333333333333,True,2026-04
CALL0000001047,SUB00001323,CELL000154,2026-04-21 11:21:00,303.0,MO,Dropped,False,switch,2026-04-21,CUST00003636,PLN013,DEV0001696,West,SITE00036,5G NR,5.05,True,2026-04
CALL0000001062,SUB00002065,CELL000072,2026-04-28 18:26:00,41.0,MT,Dropped,False,switch,2026-04-28,CUST00000672,PLN019,DEV0000719,Southwest,SITE00017,5G NR,0.6833333333333333,True,2026-04
CALL0000001064,SUB00003473,CELL000153,2026-04-27 15:53:00,54.0,MT,Dropped,True,switch,2026-04-27,CUST00003407,PLN015,DEV0001835,West,SITE00036,5G NR,0.9,True,2026-04
CALL0000001065,SUB00003319,CELL000118,2026-04-21 19:16:00,56.0,MO,Dropped,False,switch,2026-04-21,CUST00000200,PLN020,DEV0002202,West,SITE00028,4G LTE,0.9333333333333333,True,2026-04
CALL0000001082,SUB00000005,CELL000018,2026-04-09 23:57:00,138.0,MT,Dropped,False,switch,2026-04-09,CUST00000289,PLN019,DEV0000873,Midwest,SITE00004,5G NR,2.3,True,2026-04
CALL0000001093,SUB00000969,CELL000227,2026-05-12 08:15:00,283.0,MO,Dropped,False,switch,2026-05-12,CUST00000050,PLN017,DEV0002168,West,SITE00053,4G LTE,4.716666666666667,True,2026-05
CALL0000001094,SUB00002689,CELL000043,2026-05-26 09:21:00,358.0,MO,Dropped,False,switch,2026-05-26,CUST00004082,PLN015,DEV0000077,Southwest,SITE00009,5G NR,5.966666666666667,True,2026-05
CALL0000001100,SUB00003255,CELL000243,2026-05-01 18:48:00,115.0,MT,Dropped,True,switch,2026-05-01,CUST00004400,PLN017,DEV0001790,Southwest,SITE00056,5G NR,1.9166666666666667,True,2026-05
CALL0000001168,SUB00001950,CELL000180,2026-05-25 15:21:00,17.0,MO,Dropped,False,switch,2026-05-25,CUST00003038,PLN012,DEV0001788,West,SITE00043,4G LTE,0.2833333333333333,True,2026-05
CALL0000001169,SUB00001649,CELL000221,2026-05-22 19:57:00,1.0,MT,Dropped,False,switch,2026-05-22,CUST00001548,PLN016,DEV0001171,Midwest,SITE00052,5G NR,0.016666666666666666,True,2026-05
CALL0000001180,SUB00004353,CELL000162,2026-04-19 07:53:00,49.0,MO,Dropped,False,switch,2026-04-19,CUST00001623,PLN010,DEV0002159,Southeast,SITE00038,4G LTE,0.8166666666666667,True,2026-04
CALL0000001195,SUB00004878,CELL000023,2026-04-23 08:51:00,57.0,MO,Dropped,False,switch,2026-04-23,CUST00000269,PLN001,DEV0002359,Midwest,SITE00005,4G LTE,0.95,True,2026-04
CALL0000001197,SUB00002560,CELL000020,2026-04-13 11:17:00,471.0,MT,Dropped,False,switch,2026-04-13,CUST00000703,PLN008,DEV0000261,Northeast,SITE00004,4G LTE,7.85,True,2026-04
CALL0000001200,SUB00003116,CELL000156,2026-04-13 12:33:00,343.0,MO,Dropped,False,switch,2026-04-13,CUST00001653,PLN011,DEV_BAD,Northeast,SITE00037,4G LTE,5.716666666666667,True,2026-04
CALL0000001203,SUB00000720,CELL000128,2026-05-14 12:53:00,189.0,MT,Dropped,False,switch,2026-05-14,CUST00000951,PLN001,DEV0001928,Northeast,SITE00030,4G LTE,3.15,True,2026-05
CALL0000001218,SUB00004415,CELL000085,2026-05-22 15:50:00,807.0,MT,Dropped,False,switch,2026-05-22,CUST00003863,PLN010,DEV0001588,Southeast,SITE00020,5G NR,13.45,True,2026-05
CALL0000001221,SUB00004513,CELL000012,2026-05-23 13:39:00,294.0,MO,Dropped,True,switch,2026-05-23,CUST00002023,PLN010,DEV0002173,Midwest,SITE00003,5G NR,4.9,True,2026-05
CALL0000001224,SUB00002230,CELL000118,2026-05-15 10:50:00,132.0,MO,Dropped,False,switch,2026-05-15,CUST00000478,PLN008,DEV0000990,Southeast,SITE00028,4G LTE,2.2,True,2026-05
CALL0000001227,SUB00002096,CELL000251,2026-05-20 09:20:00,46.0,MO,Dropped,False,switch,2026-05-20,CUST00002121,PLN004,DEV0001815,Northeast,SITE00059,5G NR,0.7666666666666667,True,2026-05
CALL0000001247,SUB00004987,CELL000071,2026-05-17 16:18:00,332.0,MO,Dropped,False,switch,2026-05-17,CUST00002839,PLN009,DEV0000988,Midwest,SITE00016,4G LTE,5.533333333333333,True,2026-05
CALL0000001278,SUB00001342,CELL000161,2026-05-09 01:11:00,40.0,MO,Dropped,True,switch,2026-05-09,CUST00001751,PLN016,DEV0001566,Northeast,SITE00037,4G LTE,0.6666666666666666,True,2026-05
CALL0000001296,SUB00004370,CELL000154,2026-04-09 07:29:00,20.0,MT,Dropped,False,switch,2026-04-09,CUST00000457,PLN005,DEV0001327,Southeast,SITE00036,5G NR,0.3333333333333333,True,2026-04
CALL0000001311,SUB00000397,CELL000199,2026-04-01 08:02:00,255.0,MO,Dropped,True,switch,2026-04-01,CUST00000655,PLN003,DEV0000026,Southeast,SITE00047,5G NR,4.25,True,2026-04
CALL0000001329,SUB00003983,CELL000044,2026-04-09 05:20:00,170.0,MT,Dropped,False,switch,2026-04-09,CUST00003456,PLN013,DEV0002490,Midwest,SITE00009,4G LTE,2.8333333333333335,True,2026-04
CALL0000001331,SUB00000547,CELL000017,2026-05-24 09:54:00,520.0,MT,Dropped,False,switch,2026-05-24,CUST00002200,PLN011,DEV0000637,West,SITE00004,4G LTE,8.666666666666666,True,2026-05
CALL0000001337,SUB00002625,CELL000004,2026-05-18 05:37:00,270.0,MT,Dropped,False,switch,2026-05-18,CUST00003087,PLN007,DEV0001388,West,SITE00001,5G NR,4.5,True,2026-05
CALL0000001349,SUB00000002,CELL000142,2026-05-04 21:19:00,107.0,MO,Dropped,True,switch,2026-05-04,CUST00002217,PLN019,DEV0002484,Midwest,SITE00034,4G LTE,1.7833333333333334,True,2026-05
CALL0000001365,SUB00002431,CELL000181,2026-05-22 23:57:00,10.0,MO,Dropped,False,switch,2026-05-22,CUST00003290,PLN015,DEV0000078,Midwest,SITE00043,5G NR,0.16666666666666666,True,2026-05
CALL0000001367,SUB00004003,CELL000241,2026-05-20 12:06:00,195.0,MO,Dropped,True,switch,2026-05-20,CUST00002721,PLN012,DEV0000559,Southwest,SITE00056,5G NR,3.25,True,2026-05
CALL0000001376,SUB00001859,CELL000111,2026-05-09 02:12:00,290.0,MT,Dropped,True,switch,2026-05-09,CUST00002774,PLN010,DEV0001966,Northeast,SITE00026,4G LTE,4.833333333333333,True,2026-05
