cell_id,site_id,technology,band,sector,max_capacity_mbps,active_flag
CELL000088,SITE00020,5G NR,B4,2,1403.92,True
CELL000089,SITE00020,5G NR,n77,3,2370.25,False
CELL000090,SITE00020,4G LTE,n71,1,1903.1,True
CELL000091,SITE00021,5G NR,n71,3,470.96,False
CELL000092,SITE00021,5G NR,B12,3,1757.25,True
CELL000093,SITE00021,5G NR,B2,3,1725.24,False
CELL000094,SITE00022,5G NR,B12,2,1440.39,False
CELL000095,SITE00022,4G LTE,B4,2,2031.93,True
CELL000096,SITE00022,5G NR,n77,2,895.37,True
CELL000097,SITE00022,4G LTE,n41,1,487.85,True
CELL000098,SITE00023,5G NR,B2,2,592.18,True
CELL000099,SITE00023,4G LTE,n77,3,2222.02,True
CELL000100,SITE00023,4G LTE,n77,1,1878.12,False
CELL000101,SITE00023,4G LTE,B2,2,1500.5,True
CELL000102,SITE00023,4G LTE,B2,1,1261.41,True
CELL000103,SITE00023,4G LTE,B2,3,1927.63,True
CELL000104,SITE00024,5G NR,n77,1,703.4,True
CELL000105,SITE00024,4G LTE,B12,3,826.15,True
CELL000106,SITE00024,5G NR,n77,3,1415.81,False
CELL000107,SITE00025,5G NR,B4,2,1181.0,True
CELL000108,SITE00025,4G LTE,B2,2,1281.9,True
CELL000109,SITE00025,5G NR,B2,2,2362.71,True
CELL000110,SITE00026,5G NR,n77,1,782.73,False
CELL000111,SITE00026,4G LTE,n71,3,622.62,True
CELL000112,SITE00026,5G NR,n41,3,493.63,True
CELL000113,SITE00026,5G NR,n71,2,1365.4,True
CELL000114,SITE00026,5G NR,n71,2,383.68,True
CELL000115,SITE00027,5G NR,n41,1,2077.02,True
CELL000116,SITE00027,5G NR,n77,3,775.95,True
CELL000117,SITE00027,4G LTE,B4,1,324.43,True
CELL000118,SITE00028,4G LTE,B2,3,552.88,False
CELL000119,SITE00028,4G LTE,n71,1,2369.48,True
CELL000120,SITE00028,4G LTE,B12,1,2082.83,True
CELL000121,SITE00028,4G LTE,B2,2,1320.23,True
CELL000122,SITE00029,5G NR,n71,1,2281.89,True
CELL000123,SITE00029,5G NR,B2,1,1010.27,True
CELL000124,SITE00029,4G LTE,n77,3,651.62,True
CELL000125,SITE00030,5G NR,B2,3,1155.3,True
CELL000126,SITE00030,4G LTE,n41,2,580.93,True
CELL000127,SITE00030,4G LTE,B12,2,1331.16,True
CELL000128,SITE00030,4G LTE,B2,3,1355.19,True
CELL000129,SITE00030,4G LTE,B12,2,1198.91,True
CELL000130,SITE00031,4G LTE,B2,1,1626.34,True
CELL000131,SITE00031,5G NR,n77,2,741.27,True
CELL000132,SITE00031,4G LTE,B4,3,2190.98,True
CELL000133,SITE00031,4G LTE,B2,1,2380.05,True
CELL000134,SITE00031,4G LTE,n77,1,745.12,False
CELL000135,SITE00031,4G LTE,B4,1,682.04,True
CELL000136,SITE00032,4G LTE,B4,3,1728.21,True
CELL000137,SITE00032,5G NR,B4,1,837.85,True
CELL000138,SITE00032,5G NR,n71,1,1639.73,True
CELL000139,SITE00033,5G NR,n41,2,1727.17,False
CELL000140,SITE00033,4G LTE,n41,3,852.4,True
CELL000141,SITE00033,5G NR,n41,3,1931.34,True
CELL000142,SITE00034,4G LTE,n41,2,2247.03,False
CELL000143,SITE00034,5G NR,n77,1,2047.01,True
CELL000144,SITE00034,5G NR,B4,3,1579.66,False
CELL000145,SITE00035,4G LTE,n71,2,723.58,False
CELL000146,SITE00035,5G NR,n77,3,506.01,True
CELL000147,SITE00035,4G LTE,n71,2,1282.91,True
CELL000148,SITE00035,4G LTE,n71,2,671.75,True
CELL000149,SITE00035,4G LTE,B4,2,2255.84,True
CELL000150,SITE00035,4G LTE,B2,1,1261.77,False
CELL000151,SITE00036,4G LTE,n41,3,1810.68,True
CELL000152,SITE00036,5G NR,B4,3,2076.76,True
CELL000153,SITE00036,5G NR,B2,2,1857.38,False
CELL000154,SITE00036,5G NR,B4,1,790.57,True
CELL000155,SITE00036,5G NR,n71,3,1053.85,True
CELL000156,SITE00037,4G LTE,n77,1,752.97,False
CELL000157,SITE00037,5G NR,B4,1,2173.61,True
CELL000158,SITE00037,5G NR,B12,1,2365.55,True
CELL000159,SITE00037,5G NR,B4,3,509.39,False
CELL000160,SITE00037,5G NR,B12,3,1500.11,True
CELL000161,SITE00037,4G LTE,B4,2,637.29,True
CELL000162,SITE00038,4G LTE,n41,3,1870.62,True
CELL000163,SITE00038,5G NR,n41,2,2022.72,True
CELL000164,SITE00038,5G NR,n71,2,426.44,True
CELL000165,SITE00039,5G NR,n77,1,2020.62,True
CELL000166,SITE00039,4G LTE,B2,3,2290.3,True
CELL000167,SITE00039,4G LTE,n71,2,2093.37,False
CELL000168,SITE00039,4G LTE,B12,1,731.92,True
CELL000169,SITE00040,4G LTE,B12,3,519.53,False
CELL000170,SITE00040,4G LTE,n77,1,1189.45,True
CELL000171,SITE00040,5G NR,B12,2,1149.59,True
CELL000172,SITE00041,4G LTE,n41,3,1504.51,True
CELL000173,SITE00041,5G NR,n41,1,1057.44,True
CELL000174,SITE00041,4G LTE,n41,2,2178.56,True
CELL000175,SITE00041,4G LTE,B4,1,1245.77,True
CELL000176,SITE00042,4G LTE,B2,3,1208.15,True
CELL000177,SITE00042,5G NR,n77,3,1508.4,False
CELL000178,SITE00042,5G NR,B2,1,1326.98,True
CELL000179,SITE00042,5G NR,n41,2,1351.87,True
CELL000180,SITE00043,4G LTE,n77,1,2231.47,True
CELL000181,SITE00043,5G NR,n71,3,1566.09,True
CELL000182,SITE00043,4G LTE,n77,3,646.74,True
CELL000183,SITE00043,4G LTE,B2,1,1552.68,True
CELL000184,SITE00043,5G NR,n41,3,360.7,False
CELL000185,SITE00043,4G LTE,n41,1,2115.74,True
CELL000186,SITE00044,5G NR,n41,3,1053.93,False
CELL000187,SITE00044,4G LTE,n77,3,425.94,False
CELL000188,SITE00044,4G LTE,n71,1,1290.47,True
CELL000189,SITE00045,5G NR,B12,2,1434.56,True
CELL000190,SITE00045,4G LTE,B2,3,2085.04,True
CELL000191,SITE00045,4G LTE,n71,1,1029.96,True
CELL000192,SITE00046,4G LTE,B12,3,361.31,True
CELL000193,SITE00046,4G LTE,B4,1,570.45,True
CELL000194,SITE00046,5G NR,n41,2,1335.9,True
CELL000195,SITE00046,4G LTE,B4,1,613.79,True
CELL000196,SITE00046,4G LTE,n77,3,898.94,True
CELL000197,SITE00046,4G LTE,n41,1,767.77,True
CELL000198,SITE00047,5G NR,n77,2,727.11,True
CELL000199,SITE00047,5G NR,n77,3,1020.78,True
CELL000200,SITE00047,4G LTE,B12,1,1567.3,False
CELL000201,SITE00048,5G NR,B12,1,527.65,True
CELL000202,SITE00048,4G LTE,n77,2,1526.57,True
CELL000203,SITE00048,5G NR,n41,2,1664.85,True
CELL000204,SITE00048,5G NR,B4,2,2188.57,True
CELL000205,SITE00048,5G NR,B12,2,376.6,True
CELL000206,SITE00048,4G LTE,B12,3,2175.84,True
CELL000207,SITE00049,5G NR,B4,3,842.36,False
CELL000208,SITE00049,4G LTE,B2,1,1660.28,True
CELL000209,SITE00049,5G NR,B12,3,1829.53,True
CELL000210,SITE00049,4G LTE,n71,3,753.57,False
CELL000211,SITE00050,4G LTE,n71,3,2362.28,True
CELL000212,SITE00050,5G NR,n41,1,1656.87,False
CELL000213,SITE00050,5G NR,B4,2,1078.45,False
CELL000214,SITE00050,4G LTE,n41,2,712.52,True
CELL000215,SITE00050,4G LTE,n41,2,1144.68,True
CELL000216,SITE00051,5G NR,n41,1,909.53,False
CELL000217,SITE00051,4G LTE,n77,1,857.13,True
CELL000218,SITE00051,4G LTE,n41,1,716.76,True
CELL000219,SITE00052,5G NR,B2,1,1592.47,True
CELL000220,SITE00052,4G LTE,n77,2,906.86,True
CELL000221,SITE00052,5G NR,n71,2,2170.46,True
CELL000222,SITE00052,4G LTE,B4,1,883.42,True
CELL000223,SITE00052,5G NR,n71,1,546.28,True
CELL000224,SITE00053,5G NR,n71,2,449.97,True
CELL000225,SITE00053,4G LTE,n41,2,1660.15,True
CELL000226,SITE00053,4G LTE,B12,2,464.39,True
CELL000227,SITE00053,4G LTE,n41,1,1303.54,True
CELL000228,SITE00053,5G NR,n41,3,301.05,False
CELL000229,SITE00054,5G NR,B12,3,959.2,False
CELL000230,SITE00054,5G NR,n41,3,1771.7,True
CELL000231,SITE00054,5G NR,B12,2,405.44,True
CELL000232,SITE00054,4G LTE,n71,2,1347.04,True
CELL000233,SITE00054,4G LTE,B12,1,418.41,True
CELL000234,SITE00055,5G NR,B2,3,781.97,True
CELL000235,SITE00055,4G LTE,n71,2,1925.97,True
CELL000236,SITE00055,5G NR,n77,2,1724.74,True
CELL000237,SITE00055,4G LTE,n41,3,567.89,True
CELL000238,SITE00056,5G NR,B4,2,1985.0,True
CELL000239,SITE00056,4G LTE,n77,3,1759.48,True
CELL000240,SITE00056,5G NR,n41,2,1100.85,True
CELL000241,SITE00056,5G NR,B4,1,2189.18,False
CELL000242,SITE00056,4G LTE,B4,1,958.92,True
CELL000243,SITE00056,5G NR,n77,3,2248.48,True
CELL000244,SITE00057,5G NR,n77,2,885.44,True
CELL000245,SITE00057,4G LTE,B12,2,1925.03,True
CELL000246,SITE00057,4G LTE,n71,3,1641.28,True
CELL000247,SITE00058,4G LTE,n71,3,2305.39,True
CELL000248,SITE00058,5G NR,n71,1,2148.88,False
CELL000249,SITE00058,5G NR,n71,1,943.21,False
CELL000250,SITE00059,4G LTE,n71,1,780.04,True
CELL000251,SITE00059,5G NR,B4,2,361.2,True
CELL000252,SITE00059,4G LTE,B4,1,758.49,False
CELL000253,SITE00060,5G NR,n71,2,2031.84,True
CELL000254,SITE00060,4G LTE,B4,1,1267.71,True
CELL000255,SITE00060,5G NR,B4,3,326.23,True
