invoice_id,subscriber_id,billing_month,invoice_date,due_date,monthly_charge,usage_charge,tax_amount,other_fees,total_amount,invoice_status,amount_paid,last_payment_date,open_amount,days_past_due,past_due_flag
INV500000014,SUB00000014,2026-05-01,2026-05-28,2026-06-15,74.03,19.6,9.8,5.44,108.87,Past Due,81.65,2026-06-15,27.22,0,False
INV400000015,SUB00000015,2026-04-01,2026-04-28,2026-05-16,81.4,21.55,10.77,5.99,119.7,Cancelled,119.7,2026-05-08,0.0,30,False
INV500000015,SUB00000015,2026-05-01,2026-05-28,2026-06-15,134.37,35.57,17.78,9.88,197.6,Open,0.0,,197.6,0,False
INV400000016,SUB00000016,2026-04-01,2026-04-28,2026-05-16,64.27,17.01,8.51,4.73,94.51,Open,0.0,,94.51,30,True
INV500000016,SUB00000016,2026-05-01,2026-05-28,2026-06-15,68.61,18.16,9.08,5.05,100.9,Past Due,50.45,2026-06-02,50.45,0,False
INV400000017,SUB00000017,2026-04-01,2026-04-28,2026-05-16,28.04,7.42,3.71,2.06,41.23,Paid,0.0,,41.23,30,True
INV500000017,SUB00000017,2026-05-01,2026-05-28,2026-06-15,57.13,15.12,7.56,4.2,84.02,Past Due,42.01,2026-06-07,42.01,0,False
INV400000018,SUB00000018,2026-04-01,2026-04-28,2026-05-16,162.71,43.07,21.54,11.96,239.29,Open,0.0,,239.29,30,True
INV500000018,SUB00000018,2026-05-01,2026-05-28,2026-06-15,101.14,26.77,13.39,7.44,148.73,Past Due,0.0,,148.73,0,False
INV400000019,SUB00000019,2026-04-01,2026-04-28,2026-05-16,133.85,35.43,17.72,9.84,196.84,Open,0.0,,196.84,30,True
INV500000019,SUB00000019,2026-05-01,2026-05-28,2026-06-15,68.8,18.21,9.11,5.06,101.17,Paid,0.0,,101.17,0,False
INV400000020,SUB00000020,2026-04-01,2026-04-28,2026-05-16,162.81,43.1,21.55,11.97,239.42,Paid,0.0,,239.42,30,True
INV500000020,SUB00000020,2026-05-01,2026-05-28,2026-06-15,108.49,28.72,14.36,7.98,159.55,Open,0.0,,159.55,0,False
INV400000021,SUB00000021,2026-04-01,2026-04-28,2026-05-16,68.03,18.01,9.0,5.0,100.05,Open,100.05,2026-06-02,0.0,30,False
INV500000021,SUB00000021,2026-05-01,2026-05-28,2026-06-15,27.47,7.27,3.64,2.02,40.4,Open,0.0,,40.4,0,False
INV400000022,SUB00000022,2026-04-01,2026-04-28,2026-05-16,50.27,13.31,6.65,3.7,73.93,Cancelled,73.93,2026-05-20,0.0,30,False
INV500000022,SUB00000022,2026-05-01,2026-05-28,2026-06-15,89.02,23.57,11.78,6.55,130.92,Open,0.0,,130.92,0,False
INV400000023,SUB00000023,2026-04-01,2026-04-28,2026-05-16,166.89,44.18,22.09,12.27,245.43,Paid,0.0,,245.43,30,True
INV500000023,SUB00000023,2026-05-01,2026-05-28,2026-06-15,101.44,26.85,13.43,7.46,149.17,Paid,0.0,,149.17,0,False
INV400000024,SUB00000024,2026-04-01,2026-04-28,2026-05-16,157.61,41.72,20.86,11.59,,Paid,231.77,2026-06-02,,30,False
INV500000024,SUB00000024,2026-05-01,2026-05-28,2026-06-15,63.74,16.87,8.44,4.69,93.74,Paid,93.74,2026-06-02,0.0,0,False
INV400000025,SUB00000025,2026-04-01,2026-04-28,2026-05-16,101.12,26.77,13.38,7.44,148.7,Cancelled,148.7,2026-06-02,0.0,30,False
INV500000025,SUB00000025,2026-05-01,2026-05-28,2026-06-15,100.58,26.62,13.31,7.4,147.91,Paid,147.91,2026-06-19,0.0,0,False
INV400000026,SUB00000026,2026-04-01,2026-04-28,2026-05-16,100.42,26.58,13.29,7.38,147.67,Open,147.67,2026-05-08,0.0,30,False
INV500000026,SUB00000026,2026-05-01,2026-05-28,2026-06-15,170.01,45.0,22.5,12.5,250.01,Past Due,187.51,2026-06-07,62.5,0,False
INV400000027,SUB00000027,2026-04-01,2026-04-28,2026-05-16,141.65,37.5,18.75,10.42,208.31,Paid,104.15,2026-05-20,104.16,30,True
INV500000027,SUB00000027,2026-05-01,2026-05-28,2026-06-15,154.81,40.98,20.49,11.38,227.66,Cancelled,0.0,,227.66,0,False
INV400000028,SUB00000028,2026-04-01,2026-04-28,2026-05-16,147.43,39.03,19.51,10.84,216.81,Past Due,0.0,,216.81,30,True
INV500000028,SUB00000028,2026-05-01,2026-05-28,2026-06-15,93.15,24.66,12.33,6.85,136.99,Past Due,0.0,,136.99,0,False
INV400000029,SUB00000029,2026-04-01,2026-04-28,2026-05-16,32.31,8.55,4.28,2.38,47.51,Cancelled,47.51,2026-05-03,0.0,30,False
INV500000029,SUB00000029,2026-05-01,2026-05-28,2026-06-15,22.76,6.03,3.01,1.67,33.47,Paid,0.0,,33.47,0,False
INV400000030,SUB00000030,2026-04-01,2026-04-28,2026-05-16,118.74,31.43,15.72,8.73,174.61,Cancelled,174.61,2026-05-08,0.0,30,False
INV500000030,SUB00000030,2026-05-01,2026-05-28,2026-06-15,100.63,26.64,13.32,7.4,147.99,Open,147.99,2026-07-02,0.0,0,False
INV400000031,SUB00000031,2026-04-01,2026-04-28,2026-05-16,118.07,31.25,15.63,8.68,173.63,Open,0.0,,173.63,30,True
INV500000031,SUB00000031,2026-05-01,2026-05-28,2026-06-15,34.99,9.26,4.63,2.57,51.46,Past Due,51.46,2026-06-19,0.0,0,False
INV400000032,SUB00000032,2026-04-01,2026-04-28,2026-05-16,108.66,28.76,14.38,7.99,159.8,Open,159.8,2026-05-03,0.0,30,False
INV500000032,SUB00000032,2026-05-01,2026-05-28,2026-06-15,106.17,28.1,14.05,7.81,156.13,Past Due,0.0,,156.13,0,False
INV400000033,SUB00000033,2026-04-01,2026-04-28,2026-05-16,43.79,11.59,5.8,3.22,64.4,Paid,0.0,,64.4,30,True
INV500000033,SUB00000033,2026-05-01,2026-05-28,2026-06-15,85.02,22.51,11.25,6.25,125.03,Cancelled,62.52,2026-06-15,62.51,0,False
INV400000034,SUB00000034,2026-04-01,2026-04-28,2026-05-16,86.15,22.8,11.4,6.33,126.69,Open,0.0,,126.69,30,True
INV500000034,SUB00000034,2026-05-01,2026-05-28,2026-06-15,61.45,16.27,8.13,4.52,90.37,Past Due,90.37,2026-06-15,0.0,0,False
INV400000035,SUB00000035,2026-04-01,2026-04-28,2026-05-16,64.9,17.18,8.59,4.77,95.44,Open,95.44,2026-05-16,0.0,30,False
INV500000035,SUB00000035,2026-05-01,2026-05-28,2026-06-15,95.2,25.2,12.6,7.0,140.0,Cancelled,70.0,2026-07-02,70.0,0,False
INV400000036,SUB00000036,2026-04-01,2026-04-28,2026-05-16,14.4,3.81,1.91,1.06,21.18,Open,0.0,,21.18,30,True
INV500000036,SUB00000036,2026-05-01,2026-05-28,2026-06-15,83.49,22.1,11.05,6.14,122.78,Paid,0.0,,122.78,0,False
INV400000037,SUB00000037,2026-04-01,2026-04-28,2026-05-16,62.16,16.45,8.23,4.57,91.41,Past Due,0.0,,91.41,30,True
INV500000037,SUB00000037,2026-05-01,2026-05-28,2026-06-15,113.78,30.12,15.06,8.37,167.32,Open,83.66,2026-06-02,83.66,0,False
INV400000038,SUB00000038,2026-04-01,2026-04-28,2026-05-16,37.21,9.85,4.93,2.74,54.73,Past Due,0.0,,54.73,30,True
INV500000038,SUB00000038,2026-05-01,2026-05-28,2026-06-15,90.72,24.02,12.01,6.67,133.42,Open,133.42,2026-06-07,0.0,0,False
INV400000039,SUB00000039,2026-04-01,2026-04-28,2026-05-16,79.83,21.13,10.57,5.87,117.4,Paid,0.0,,117.4,30,True
INV500000039,SUB00000039,2026-05-01,2026-05-28,2026-06-15,128.2,33.94,16.97,9.43,188.53,Open,0.0,,188.53,0,False
INV400000040,SUB00000040,2026-04-01,2026-04-28,2026-05-16,160.54,42.5,21.25,11.8,236.09,Open,0.0,,236.09,30,True
INV500000040,SUB00000040,2026-05-01,2026-05-28,2026-06-15,65.43,17.32,8.66,4.81,96.22,Cancelled,0.0,,96.22,0,False
INV400000041,SUB00000041,2026-04-01,2026-04-28,2026-05-16,32.88,8.7,4.35,2.42,48.35,Open,0.0,,48.35,30,True
INV500000041,SUB00000041,2026-05-01,2026-05-28,2026-06-15,26.74,7.08,3.54,1.97,39.33,Paid,0.0,,39.33,0,False
INV400000042,SUB00000042,2026-04-01,2026-04-28,2026-05-16,146.47,38.77,19.39,10.77,215.4,Open,0.0,,215.4,30,True
INV500000042,SUB00000042,2026-05-01,2026-05-28,2026-06-15,158.97,42.08,21.04,11.69,233.78,Paid,0.0,,233.78,0,False
INV400000043,SUB00000043,2026-04-01,2026-04-28,2026-05-16,141.88,37.56,18.78,10.43,208.65,Open,0.0,,208.65,30,True
INV500000043,SUB00000043,2026-05-01,2026-05-28,2026-06-15,145.76,38.58,19.29,10.72,214.35,Open,0.0,,214.35,0,False
INV400000044,SUB00000044,2026-04-01,2026-04-28,2026-05-16,45.18,11.96,5.98,3.32,66.44,Paid,66.44,2026-05-16,0.0,30,False
INV500000044,SUB00000044,2026-05-01,2026-05-28,2026-06-15,37.79,10.0,5.0,2.78,55.58,Past Due,55.58,2026-06-07,0.0,0,False
INV400000045,SUB00000045,2026-04-01,2026-04-28,2026-05-16,82.5,21.84,10.92,6.07,121.32,Past Due,90.99,2026-05-16,30.33,30,True
INV500000045,SUB00000045,2026-05-01,2026-05-28,2026-06-15,60.94,16.13,8.07,4.48,89.61,Cancelled,0.0,,89.61,0,False
INV400000046,SUB00000046,2026-04-01,2026-04-28,2026-05-16,100.11,26.5,13.25,7.36,147.22,Cancelled,0.0,,147.22,30,True
INV500000046,SUB00000046,2026-05-01,2026-05-28,2026-06-15,111.39,29.49,14.74,8.19,163.81,Open,163.81,2026-06-02,0.0,0,False
INV400000047,SUB00000047,2026-04-01,2026-04-28,2026-05-16,40.8,10.8,5.4,3.0,60.0,Paid,0.0,,60.0,30,True
INV500000047,SUB00000047,2026-05-01,2026-05-28,2026-06-15,78.73,20.84,10.42,5.79,115.77,Paid,0.0,,115.77,0,False
INV400000048,SUB00000048,2026-04-01,2026-04-28,2026-05-16,16.64,4.41,2.2,1.22,24.48,Past Due,0.0,,24.48,30,True
INV500000048,SUB00000048,2026-05-01,2026-05-28,2026-06-15,64.25,17.01,8.5,4.72,94.49,Paid,0.0,,94.49,0,False
INV400000049,SUB00000049,2026-04-01,2026-04-28,2026-05-16,170.04,45.01,22.51,12.5,250.06,Cancelled,125.03,2026-05-16,125.03,30,True
INV500000049,SUB00000049,2026-05-01,2026-05-28,2026-06-15,164.93,43.66,21.83,12.13,242.54,Past Due,121.27,2026-06-02,121.27,0,False
INV400000050,SUB00000050,2026-04-01,2026-04-28,2026-05-16,115.33,30.53,15.26,8.48,169.6,Open,0.0,,169.6,30,True
INV500000050,SUB00000050,2026-05-01,2026-05-28,2026-06-15,95.27,25.22,12.61,7.01,140.11,Cancelled,0.0,,140.11,0,False
INV400000051,SUB00000051,2026-04-01,2026-04-28,2026-05-16,15.55,4.12,2.06,1.14,22.86,Open,0.0,,22.86,30,True
INV500000051,SUB00000051,2026-05-01,2026-05-28,2026-06-15,40.76,10.79,5.39,3.0,59.94,Cancelled,0.0,,59.94,0,False
INV400000052,SUB00000052,2026-04-01,2026-04-28,2026-05-16,31.6,8.36,4.18,2.32,46.47,Open,0.0,,46.47,30,True
INV500000052,SUB00000052,2026-05-01,2026-05-28,2026-06-15,174.82,46.28,23.14,12.85,257.09,Cancelled,192.82,2026-06-19,64.26999999999998,0,False
INV400000053,SUB00000053,2026-04-01,2026-04-28,2026-05-16,75.72,20.04,10.02,5.57,111.36,Open,111.36,2026-05-03,0.0,30,False
INV500000053,SUB00000053,2026-05-01,2026-05-28,2026-06-15,171.31,45.35,22.67,12.6,251.93,Open,251.93,2026-06-02,0.0,0,False
INV400000054,SUB00000054,2026-04-01,2026-04-28,2026-05-16,106.31,28.14,14.07,7.82,156.34,Open,156.34,2026-06-02,0.0,30,False
INV500000054,SUB00000054,2026-05-01,2026-05-28,2026-06-15,32.14,8.51,4.25,2.36,47.27,Open,0.0,,47.27,0,False
INV400000055,SUB00000055,2026-04-01,2026-04-28,2026-05-16,41.59,11.01,5.5,3.06,61.16,Paid,61.16,2026-05-16,0.0,30,False
INV500000055,SUB00000055,2026-05-01,2026-05-28,2026-06-15,77.63,20.55,10.27,5.71,114.16,Paid,85.62,2026-06-02,28.539999999999992,0,False
INV400000056,SUB00000056,2026-04-01,2026-04-28,2026-05-16,160.62,42.52,21.26,11.81,236.21,Cancelled,0.0,,236.21,30,True
INV500000056,SUB00000056,2026-05-01,2026-05-28,2026-06-15,165.91,43.92,21.96,12.2,243.98,Open,243.98,2026-06-07,0.0,0,False
INV400000057,SUB00000057,2026-04-01,2026-04-28,2026-05-16,176.66,46.76,23.38,12.99,259.79,Paid,259.79,2026-05-20,0.0,30,False
INV500000057,SUB00000057,2026-05-01,2026-05-28,2026-06-15,71.16,18.84,9.42,5.23,104.65,Past Due,52.32,2026-06-07,52.330000000000005,0,False
INV400000058,SUB00000058,2026-04-01,2026-04-28,2026-05-16,111.38,29.48,14.74,8.19,163.79,Open,163.79,2026-06-02,0.0,30,False
INV500000058,SUB00000058,2026-05-01,2026-05-28,2026-06-15,174.63,46.23,23.11,12.84,256.81,Cancelled,256.81,2026-06-15,0.0,0,False
INV400000059,SUB00000059,2026-04-01,2026-04-28,2026-05-16,36.49,9.66,4.83,2.68,53.67,Paid,53.67,2026-05-08,0.0,30,False
INV500000059,SUB00000059,2026-05-01,2026-05-28,2026-06-15,91.82,24.31,12.15,6.75,135.04,Past Due,0.0,,135.04,0,False
INV400000060,SUB00000060,2026-04-01,2026-04-28,2026-05-16,162.07,42.9,21.45,11.92,238.33,Open,238.33,2026-05-20,0.0,30,False
INV500000060,SUB00000060,2026-05-01,2026-05-28,2026-06-15,159.39,42.19,21.1,11.72,234.4,Open,117.2,2026-06-19,117.2,0,False
INV400000061,SUB00000061,2026-04-01,2026-04-28,2026-05-16,60.63,16.05,8.03,4.46,89.17,Paid,89.17,2026-05-20,0.0,30,False
INV500000061,SUB00000061,2026-05-01,2026-05-28,2026-06-15,114.2,30.23,15.12,8.4,167.95,Open,0.0,,167.95,0,False
INV400000062,SUB00000062,2026-04-01,2026-04-28,2026-05-16,106.29,28.14,14.07,7.82,156.31,Open,78.15,2026-05-16,78.16,30,True
INV500000062,SUB00000062,2026-05-01,2026-05-28,2026-06-15,152.71,40.42,20.21,11.23,224.57,Past Due,0.0,,224.57,0,False
INV400000063,SUB00000063,2026-04-01,2026-04-28,2026-05-16,14.09,3.73,1.86,1.04,20.71,Open,20.71,2026-05-08,0.0,30,False
INV500000063,SUB00000063,2026-05-01,2026-05-28,2026-06-15,22.21,5.88,2.94,1.63,32.66,Cancelled,0.0,,32.66,0,False
INV400000064,SUB00000064,2026-04-01,2026-04-28,2026-05-16,33.55,8.88,4.44,2.47,49.34,Open,0.0,,49.34,30,True
INV500000064,SUB00000064,2026-05-01,2026-05-28,2026-06-15,73.51,19.46,9.73,5.4,108.1,Past Due,81.07,2026-06-19,27.03,0,False
INV400000065,SUB00000065,2026-04-01,2026-04-28,2026-05-16,61.24,16.21,8.11,4.5,90.06,Cancelled,90.06,2026-05-20,0.0,30,False
INV500000065,SUB00000065,2026-05-01,2026-05-28,2026-06-15,94.66,25.06,12.53,6.96,139.21,Past Due,139.21,2026-06-07,0.0,0,False
INV400000066,SUB00000066,2026-04-01,2026-04-28,2026-05-16,115.87,30.67,15.34,8.52,170.4,Past Due,170.4,2026-05-16,0.0,30,False
INV500000066,SUB00000066,2026-05-01,2026-05-28,2026-06-15,105.46,27.92,13.96,7.75,155.09,Paid,0.0,,155.09,0,False
INV400000067,SUB00000067,2026-04-01,2026-04-28,2026-05-16,32.65,8.64,4.32,2.4,48.01,Open,48.01,2026-05-20,0.0,30,False
INV500000067,SUB00000067,2026-05-01,2026-05-28,2026-06-15,91.71,24.28,12.14,6.74,134.86,Paid,134.86,2026-06-19,0.0,0,False
INV400000068,SUB00000068,2026-04-01,2026-04-28,2026-05-16,160.5,42.48,21.24,11.8,236.02,Cancelled,236.02,2026-05-20,0.0,30,False
INV500000068,SUB00000068,2026-05-01,2026-05-28,2026-06-15,114.3,30.26,15.13,8.4,168.09,Cancelled,0.0,,168.09,0,False
INV400000069,SUB00000069,2026-04-01,2026-04-28,2026-05-16,24.29,6.43,3.21,1.79,35.71,Open,35.71,2026-05-03,0.0,30,False
INV500000069,SUB00000069,2026-05-01,2026-05-28,2026-06-15,84.5,22.37,11.18,6.21,124.26,Open,0.0,,124.26,0,False
INV400000070,SUB00000070,2026-04-01,2026-04-28,2026-05-16,174.02,46.07,23.03,12.8,255.92,Paid,0.0,,255.92,30,True
INV500000070,SUB00000070,2026-05-01,2026-05-28,2026-06-15,137.32,36.35,18.17,10.1,201.93,Cancelled,0.0,,201.93,0,False
INV400000071,SUB00000071,2026-04-01,2026-04-28,2026-05-16,124.05,32.84,16.42,9.12,182.42,Paid,0.0,,182.42,30,True
INV500000071,SUB00000071,2026-05-01,2026-05-28,2026-06-15,158.72,42.01,21.01,11.67,233.41,Open,233.41,2026-06-02,0.0,0,False
INV400000072,SUB00000072,2026-04-01,2026-04-28,2026-05-16,121.33,32.12,16.06,8.92,178.43,Cancelled,0.0,,178.43,30,True
INV500000072,SUB00000072,2026-05-01,2026-05-28,2026-06-15,121.14,32.07,16.03,8.91,178.15,Open,178.15,2026-06-02,0.0,0,False
INV400000073,SUB00000073,2026-04-01,2026-04-28,2026-05-16,102.17,27.04,13.52,7.51,150.25,Cancelled,0.0,,150.25,30,True
INV500000073,SUB00000073,2026-05-01,2026-05-28,2026-06-15,86.64,22.93,11.47,6.37,127.41,Past Due,127.41,2026-07-02,0.0,0,False
INV400000074,SUB00000074,2026-04-01,2026-04-28,2026-05-16,22.49,5.95,2.98,1.65,33.08,Open,33.08,2026-05-08,0.0,30,False
INV500000074,SUB00000074,2026-05-01,2026-05-28,2026-06-15,135.01,35.74,17.87,9.93,198.54,Past Due,99.27,2026-06-15,99.27,0,False
INV400000075,SUB00000075,2026-04-01,2026-04-28,2026-05-16,90.67,24.0,12.0,6.67,133.34,Open,133.34,2026-05-20,0.0,30,False
INV500000075,SUB00000075,2026-05-01,2026-05-28,2026-06-15,140.85,37.28,18.64,10.36,207.13,Past Due,0.0,,207.13,0,False
INV400000076,SUB00000076,2026-04-01,2026-04-28,2026-05-16,147.08,38.93,19.47,10.81,216.29,Open,0.0,,216.29,30,True
INV500000076,SUB00000076,2026-05-01,2026-05-28,2026-06-15,45.09,11.94,5.97,3.32,66.32,Open,66.32,2026-06-19,0.0,0,False
INV400000077,SUB00000077,2026-04-01,2026-04-28,2026-05-16,129.67,34.33,17.16,9.53,190.7,Open,190.7,2026-05-03,0.0,30,False
INV500000077,SUB00000077,2026-05-01,2026-05-28,2026-06-15,29.74,7.87,3.94,2.19,43.74,Cancelled,43.74,2026-06-19,0.0,0,False
INV400000078,SUB00000078,2026-04-01,2026-04-28,2026-05-16,97.9,25.91,12.96,7.2,143.97,Past Due,143.97,2026-05-16,0.0,30,False
INV500000078,SUB00000078,2026-05-01,2026-05-28,2026-06-15,135.74,35.93,17.97,9.98,199.62,Paid,149.72,2026-06-07,49.900000000000006,0,False
INV400000079,SUB00000079,2026-04-01,2026-04-28,2026-05-16,62.11,16.44,8.22,4.57,91.34,Open,0.0,,91.34,30,True
INV500000079,SUB00000079,2026-05-01,2026-05-28,2026-06-15,86.36,22.86,11.43,6.35,127.0,Paid,0.0,,127.0,0,False
INV400000080,SUB00000080,2026-04-01,2026-04-28,2026-05-16,149.03,39.45,19.72,10.96,219.16,Cancelled,219.16,2026-06-02,0.0,30,False
INV500000080,SUB00000080,2026-05-01,2026-05-28,2026-06-15,133.06,35.22,17.61,9.78,195.68,Past Due,0.0,,195.68,0,False
INV400000081,SUB00000081,2026-04-01,2026-04-28,2026-05-16,30.33,8.03,4.01,2.23,44.61,Cancelled,22.3,2026-06-02,22.31,30,True
INV500000081,SUB00000081,2026-05-01,2026-05-28,2026-06-15,136.65,36.17,18.09,10.05,200.95,Cancelled,0.0,,200.95,0,False
INV400000082,SUB00000082,2026-04-01,2026-04-28,2026-05-16,57.6,15.25,7.62,4.24,84.7,Past Due,0.0,,84.7,30,True
INV500000082,SUB00000082,2026-05-01,2026-05-28,2026-06-15,46.16,12.22,6.11,3.39,67.89,Open,67.89,2026-06-19,0.0,0,False
INV400000083,SUB00000083,2026-04-01,2026-04-28,2026-05-16,145.73,38.57,19.29,10.72,214.3,Open,0.0,,214.3,30,True
INV500000083,SUB00000083,2026-05-01,2026-05-28,2026-06-15,15.27,4.04,2.02,1.12,22.46,Open,11.23,2026-06-02,11.23,0,False
INV400000084,SUB00000084,2026-04-01,2026-04-28,2026-05-16,71.54,18.94,9.47,5.26,105.21,Open,0.0,,105.21,30,True
INV500000084,SUB00000084,2026-05-01,2026-05-28,2026-06-15,48.03,12.71,6.36,3.53,70.63,Paid,35.31,2026-06-02,35.31999999999999,0,False
INV400000085,SUB00000085,2026-04-01,2026-04-28,2026-05-16,106.92,28.3,14.15,7.86,157.23,Cancelled,157.23,2026-05-20,0.0,30,False
INV500000085,SUB00000085,2026-05-01,2026-05-28,2026-06-15,105.54,27.94,13.97,7.76,155.21,Paid,0.0,,155.21,0,False
INV400000086,SUB00000086,2026-04-01,2026-04-28,2026-05-16,76.76,20.32,10.16,5.64,112.89,Cancelled,0.0,,112.89,30,True
INV500000086,SUB00000086,2026-05-01,2026-05-28,2026-06-15,14.03,3.71,1.86,1.03,20.63,Past Due,10.32,2026-07-02,10.309999999999999,0,False
INV400000087,SUB00000087,2026-04-01,2026-04-28,2026-05-16,18.06,4.78,2.39,1.33,26.56,Paid,0.0,,26.56,30,True
INV500000087,SUB00000087,2026-05-01,2026-05-28,2026-06-15,84.93,22.48,11.24,6.25,124.9,Open,0.0,,124.9,0,False
INV400000088,SUB00000088,2026-04-01,2026-04-28,2026-05-16,132.54,35.08,17.54,9.75,194.91,Open,0.0,,194.91,30,True
INV500000088,SUB00000088,2026-05-01,2026-05-28,2026-06-15,130.83,34.63,17.32,9.62,192.4,Cancelled,144.3,2026-06-15,48.099999999999994,0,False
INV400000089,SUB00000089,2026-04-01,2026-04-28,2026-05-16,85.32,22.58,11.29,6.27,125.46,Past Due,0.0,,125.46,30,True
INV500000089,SUB00000089,2026-05-01,2026-05-28,2026-06-15,174.11,46.09,23.04,12.8,256.04,Open,0.0,,256.04,0,False
INV400000090,SUB00000090,2026-04-01,2026-04-28,2026-05-16,19.08,5.05,2.53,1.4,28.06,Cancelled,0.0,,28.06,30,True
INV500000090,SUB00000090,2026-05-01,2026-05-28,2026-06-15,154.08,40.79,20.39,11.33,226.59,Open,226.59,2026-06-15,0.0,0,False
INV400000091,SUB00000091,2026-04-01,2026-04-28,2026-05-16,15.39,4.07,2.04,1.13,22.63,Open,22.63,2026-05-08,0.0,30,False
INV500000091,SUB00000091,2026-05-01,2026-05-28,2026-06-15,74.38,19.69,9.84,5.47,109.38,Open,54.69,2026-06-02,54.69,0,False
INV400000092,SUB00000092,2026-04-01,2026-04-28,2026-05-16,45.66,12.09,6.04,3.36,67.14,Past Due,67.14,2026-05-08,0.0,30,False
INV500000092,SUB00000092,2026-05-01,2026-05-28,2026-06-15,51.97,13.76,6.88,3.82,76.43,Past Due,76.43,2026-06-19,0.0,0,False
INV400000093,SUB00000093,2026-04-01,2026-04-28,2026-05-16,142.33,37.67,18.84,10.47,209.3,Cancelled,0.0,,209.3,30,True
