cell_id,site_id,technology,avg_users,avg_throughput_mbps,avg_prb_utilization_pct,avg_drop_call_rate_pct,avg_availability_pct,high_util_hours,high_drop_hours,actual_calls,actual_dropped_calls,data_gb,poor_qoe_sessions,actual_drop_rate
CELL000033,SITE00007,5G NR,176.872311827957,427.4412137096774,58.59652688172043,1.2476092741935485,99.5659940860215,89,24,72,23,90.9310546875,10,0.3194444444444444
CELL000191,SITE00045,4G LTE,183.68413978494624,424.252498655914,58.408661290322584,1.2757668010752687,99.41171478494623,89,24,66,15,100.7614462890625,9,0.22727272727272727
CELL000065,SITE00015,4G LTE,181.2258064516129,413.3926666666667,57.2932876344086,1.2235204301075269,99.4177431451613,89,22,43,9,102.0393037109375,9,0.20930232558139536
CELL000142,SITE00034,4G LTE,176.93413978494624,408.5268951612903,58.40125672043011,1.3312799731182796,99.13234462365591,88,40,61,11,117.4255078125,7,0.18032786885245902
CELL000154,SITE00036,5G NR,176.99327956989248,425.65102822580644,57.90293682795699,1.3070854838709678,99.27032567204301,88,31,60,16,103.8958916015625,10,0.26666666666666666
CELL000159,SITE00037,5G NR,181.74059139784947,418.915688172043,57.72542338709677,1.2896922043010752,99.0048936827957,88,30,42,8,103.4515234375,18,0.19047619047619047
CELL000113,SITE00026,5G NR,180.2513440860215,418.55538844086016,58.78451075268817,1.225764247311828,99.15492325268818,88,29,52,12,85.72954199218749,8,0.23076923076923078
CELL000101,SITE00023,4G LTE,179.2540322580645,433.9851895161291,57.65360215053763,1.2875514784946236,99.54927338709678,88,26,51,7,100.859287109375,13,0.13725490196078433
CELL000080,SITE00018,5G NR,182.14247311827958,411.3039489247312,57.721909946236565,1.2722412634408602,99.42125188172042,88,25,60,14,83.895908203125,10,0.23333333333333334
CELL000073,SITE00017,4G LTE,183.76344086021504,424.75798655913974,57.58090188172043,1.2436872311827958,99.56334596774194,88,23,45,3,92.4856533203125,11,0.06666666666666667
CELL000203,SITE00048,5G NR,181.20833333333334,426.90574193548383,57.6478064516129,1.2499530913978494,99.55151478494625,88,23,48,11,114.269681640625,6,0.22916666666666666
CELL000114,SITE00026,5G NR,176.81989247311827,413.6895403225806,57.9714879032258,1.2776356182795698,99.16895739247312,88,22,45,8,97.9394892578125,7,0.17777777777777778
CELL000049,SITE00011,4G LTE,178.6034946236559,418.08556048387095,57.34479301075269,1.2149905913978494,98.74844744623655,88,18,58,15,108.64137890625,9,0.25862068965517243
CELL000078,SITE00018,5G NR,182.3951612903226,409.89647715053763,59.17850268817204,1.233586693548387,99.15252352150537,88,16,59,11,102.8578017578125,5,0.1864406779661017
CELL000118,SITE00028,4G LTE,181.68951612903226,428.5497540322581,59.131236559139786,1.2655874999999999,99.29723360215054,87,34,53,15,106.0762041015625,9,0.2830188679245283
CELL000069,SITE00016,5G NR,177.9758064516129,415.10511693548386,58.3233252688172,1.277333064516129,99.15153575268818,87,28,49,4,115.224537109375,4,0.08163265306122448
CELL000102,SITE00023,4G LTE,179.497311827957,418.2828333333334,58.52604838709677,1.179774059139785,98.87930940860215,87,28,70,15,100.8041630859375,9,0.21428571428571427
CELL000099,SITE00023,4G LTE,179.63440860215053,416.1842043010753,56.98653897849462,1.24385,99.14465510752687,87,27,62,3,86.253685546875,5,0.04838709677419355
CELL000149,SITE00035,4G LTE,173.35752688172042,424.0530268817204,58.09687365591398,1.2218385752688172,99.5445379032258,87,27,60,11,92.6400810546875,9,0.18333333333333332
CELL000120,SITE00028,4G LTE,179.44758064516128,428.2862634408602,58.02715322580645,1.2509056451612903,99.54772217741936,87,26,57,12,100.1526982421875,7,0.21052631578947367
CELL000116,SITE00027,5G NR,177.43145161290323,414.1016572580645,57.60299059139785,1.2735655913978494,99.14229583333335,87,25,60,5,85.8265849609375,6,0.08333333333333333
CELL000182,SITE00043,4G LTE,179.89247311827958,426.2899072580645,57.41574059139785,1.283972311827957,98.88355497311828,87,25,50,6,100.9200712890625,9,0.12
CELL000184,SITE00043,5G NR,179.38844086021504,423.30802016129036,58.23727419354839,1.2264560483870968,99.54884489247311,87,25,54,12,87.4823466796875,10,0.2222222222222222
CELL000172,SITE00041,4G LTE,180.38172043010752,418.1987956989247,59.26432123655914,1.2244318548387096,98.89024838709678,87,24,57,11,99.4069482421875,8,0.19298245614035087
CELL000131,SITE00031,5G NR,178.16263440860214,422.2318494623656,57.7621182795699,1.2372376344086022,99.27634717741935,87,23,65,12,99.85519140625,11,0.18461538461538463
CELL000061,SITE00014,5G NR,177.65456989247312,407.9775793010753,57.48765591397849,1.2659315860215055,98.87781518817205,87,22,69,10,96.79128125,12,0.14492753623188406
CELL000027,SITE00006,4G LTE,179.36827956989248,407.5614852150538,58.22863575268818,1.1962596774193548,99.14884260752687,87,20,50,13,103.9249580078125,11,0.26
CELL000117,SITE00027,4G LTE,180.7741935483871,420.2211639784946,57.74821370967742,1.2132034946236558,99.68476491935483,86,33,59,13,95.6705390625,6,0.22033898305084745
CELL000109,SITE00025,5G NR,177.46505376344086,412.93828360215053,57.99236693548387,1.2768388440860217,98.88440107526881,86,32,68,14,110.741572265625,9,0.20588235294117646
CELL000075,SITE00017,5G NR,179.03225806451613,421.0936384408602,58.531815860215055,1.1996787634408603,99.41550967741937,86,26,53,13,94.6225771484375,4,0.24528301886792453
CELL000171,SITE00040,5G NR,179.752688172043,417.9082311827957,57.67501612903226,1.241138440860215,99.56143279569893,86,26,43,13,83.014482421875,9,0.3023255813953488
CELL000164,SITE00038,5G NR,181.42069892473117,422.92418951612905,57.78079704301075,1.2368217741935483,99.14892822580644,86,25,50,12,101.3263701171875,9,0.24
CELL000044,SITE00009,4G LTE,178.3279569892473,420.2906827956989,57.4372997311828,1.270210887096774,99.26504811827957,86,24,46,8,89.52736035156249,7,0.17391304347826086
CELL000098,SITE00023,5G NR,176.76344086021504,418.4817177419355,57.18288306451613,1.279708870967742,99.02282983870968,86,24,55,13,105.91321875,10,0.23636363636363636
CELL000163,SITE00038,5G NR,179.45698924731184,415.8857715053764,58.126813172043015,1.2584461021505378,99.4134362903226,86,21,50,6,109.2742548828125,10,0.12
CELL000093,SITE00021,5G NR,183.83198924731184,434.097811827957,57.78425134408602,1.2614907258064516,98.74905994623656,85,36,68,14,111.6207568359375,15,0.20588235294117646
CELL000213,SITE00050,5G NR,180.41263440860214,416.2474206989247,58.28039784946237,1.2972806451612902,99.29089637096774,85,34,61,12,79.08032031249999,2,0.19672131147540983
CELL000068,SITE00015,4G LTE,181.08333333333334,423.3959489247312,58.79057392473118,1.2466810483870967,99.4255680107527,85,31,55,16,113.1831767578125,12,0.2909090909090909
CELL000168,SITE00039,4G LTE,174.92069892473117,420.7343306451613,58.334908602150534,1.264400806451613,99.14778010752687,85,31,48,5,107.47230078125,8,0.10416666666666667
CELL000193,SITE00046,4G LTE,183.24059139784947,430.9194139784946,57.82571639784946,1.2557905913978493,99.14931451612902,85,28,58,15,113.9596728515625,12,0.25862068965517243
CELL000160,SITE00037,5G NR,181.81451612903226,416.0640927419355,57.5438185483871,1.247288306451613,99.31027970430108,85,26,50,10,107.2453994140625,9,0.2
CELL000192,SITE00046,4G LTE,174.122311827957,413.50816129032256,58.291494623655915,1.272287634408602,99.28289690860215,85,26,40,12,110.897525390625,10,0.3
CELL000134,SITE00031,4G LTE,179.5497311827957,417.0310698924731,58.16134274193548,1.2391134408602151,99.68035241935483,85,25,58,12,88.29237109375,12,0.20689655172413793
CELL000167,SITE00039,4G LTE,180.39112903225808,431.96452016129035,57.4633185483871,1.2457387096774193,99.29250793010752,85,24,59,20,91.0705341796875,15,0.3389830508474576
CELL000029,SITE00006,4G LTE,179.4529569892473,420.3924005376344,58.04182795698925,1.2667547043010754,99.2894127688172,85,23,66,15,103.10951367187499,5,0.22727272727272727
CELL000047,SITE00010,4G LTE,176.84139784946237,419.9909260752688,57.34561827956989,1.195415994623656,99.42216505376345,85,22,44,5,116.204693359375,10,0.11363636363636363
CELL000133,SITE00031,4G LTE,181.81317204301075,416.3311169354839,58.35390456989247,1.2732560483870967,99.277298655914,85,21,61,13,118.0183623046875,8,0.21311475409836064
CELL000105,SITE00024,4G LTE,185.6061827956989,411.0894784946236,58.63622177419355,1.2567993279569893,99.4161432795699,85,20,54,9,102.758431640625,10,0.16666666666666666
CELL000188,SITE00044,4G LTE,178.93010752688173,417.03956989247314,57.31924462365591,1.265903494623656,99.55290376344087,84,35,64,12,100.259515625,6,0.1875
CELL000181,SITE00043,5G NR,179.0981182795699,414.2837930107527,56.2856814516129,1.2729038978494622,99.00413951612904,84,33,63,11,117.679421875,9,0.1746031746031746
CELL000179,SITE00042,5G NR,180.5497311827957,420.64160483870967,57.05109408602151,1.2397361559139786,99.15234946236559,84,30,47,15,100.3007392578125,9,0.3191489361702128
CELL000001,SITE00001,4G LTE,182.46505376344086,418.5038534946237,57.187306451612905,1.287940188172043,99.2920245967742,84,28,55,9,120.4040078125,9,0.16363636363636364
CELL000032,SITE00007,4G LTE,182.29032258064515,418.9157123655914,57.11058333333333,1.2880588709677419,99.54510026881721,84,28,63,13,106.572626953125,9,0.20634920634920634
CELL000124,SITE00029,4G LTE,180.4247311827957,423.5144435483871,58.11244489247312,1.2531306451612902,99.68465013440861,84,28,52,11,83.1434375,15,0.21153846153846154
CELL000175,SITE00041,4G LTE,176.91397849462365,416.4724206989248,57.84132123655914,1.250082930107527,98.89622486559139,84,26,50,8,118.2539150390625,8,0.16
CELL000015,SITE00004,5G NR,181.58064516129033,415.75514112903227,57.143005376344085,1.2274260752688173,99.42128991935485,84,25,47,12,83.96901074218749,6,0.2553191489361702
CELL000039,SITE00008,4G LTE,180.22177419354838,412.83025000000004,57.52959543010753,1.2237172043010753,99.28176532258065,84,24,47,9,115.2671982421875,11,0.19148936170212766
CELL000053,SITE00012,5G NR,176.23924731182797,421.2501733870968,58.37060483870968,1.2332564516129032,99.41829932795699,84,23,49,6,116.4114580078125,13,0.12244897959183673
CELL000158,SITE00037,5G NR,180.9233870967742,429.7863588709677,59.458571236559145,1.252584811827957,99.27774059139784,84,22,61,11,101.021306640625,6,0.18032786885245902
CELL000022,SITE00005,4G LTE,179.28091397849462,422.7451411290323,58.658258064516126,1.2452672043010753,99.00802244623655,84,18,52,7,126.6113232421875,12,0.1346153846153846
CELL000100,SITE00023,4G LTE,181.6236559139785,430.82375806451614,58.73174193548387,1.2704895161290322,99.29263400537634,84,15,56,13,88.13848828125,8,0.23214285714285715
CELL000017,SITE00004,4G LTE,177.6518817204301,410.4433682795699,57.29057795698925,1.2465236559139785,99.54743266129033,83,38,58,9,101.0287998046875,12,0.15517241379310345
CELL000067,SITE00015,5G NR,181.4233870967742,408.74395967741935,57.44512634408602,1.2904413978494624,98.87914099462365,83,34,61,12,81.7037060546875,7,0.19672131147540983
CELL000126,SITE00030,4G LTE,181.44489247311827,426.01793817204305,58.25229435483871,1.2694537634408603,99.14511370967743,83,31,64,13,81.2584423828125,7,0.203125
CELL000207,SITE00049,5G NR,178.04032258064515,419.31217741935484,58.061938172043014,1.2884775537634408,98.88371397849463,83,30,60,6,108.79001855468749,8,0.1
CELL000209,SITE00049,5G NR,176.40591397849462,411.09595833333333,58.24118817204302,1.2268602150537635,99.01139838709678,83,29,56,10,85.937244140625,6,0.17857142857142858
CELL000140,SITE00033,4G LTE,177.5497311827957,421.3235793010753,58.25075537634408,1.2450434139784947,99.54788077956991,83,28,52,10,101.4060654296875,12,0.19230769230769232
CELL000108,SITE00025,4G LTE,178.38440860215053,415.9964502688172,57.40292204301075,1.2705413978494624,99.28256639784946,83,27,59,6,102.12388671875,5,0.1016949152542373
CELL000115,SITE00027,5G NR,181.9798387096774,415.82918145161295,57.93225940860216,1.253422446236559,99.41259892473118,83,27,56,11,94.06924609375,10,0.19642857142857142
CELL000216,SITE00051,5G NR,175.93548387096774,427.2418239247312,58.333524193548385,1.2605471774193548,99.56745201612902,83,24,55,10,78.865248046875,1,0.18181818181818182
CELL000125,SITE00030,5G NR,181.19354838709677,418.4007043010753,58.58246370967742,1.228198252688172,99.41191854838709,83,23,56,18,97.8438203125,12,0.32142857142857145
CELL000200,SITE00047,4G LTE,181.32392473118279,417.9926491935484,58.40933602150538,1.2703736559139784,99.28711720430107,83,21,50,11,116.66362890625,8,0.22
CELL000076,SITE00017,4G LTE,180.75,425.5704166666667,57.86854435483871,1.3293908602150537,98.99912311827956,82,31,53,18,87.1330263671875,6,0.33962264150943394
CELL000004,SITE00001,5G NR,178.54569892473117,426.4294086021505,57.965173387096776,1.264883064516129,99.42375255376345,82,29,44,9,86.5273896484375,9,0.20454545454545456
CELL000013,SITE00003,4G LTE,180.5752688172043,423.30398924731185,57.80693413978494,1.2607520161290322,99.4039942204301,82,29,60,14,102.80549609375,11,0.23333333333333334
CELL000089,SITE00020,5G NR,179.5994623655914,426.6895900537634,57.840676075268824,1.2705836021505377,99.41576169354839,82,28,63,12,118.8039755859375,10,0.19047619047619047
CELL000146,SITE00035,5G NR,179.83736559139786,424.5281532258064,57.306728494623655,1.2991461021505377,99.27217983870968,82,24,62,11,119.342666015625,11,0.1774193548387097
CELL000046,SITE00010,5G NR,179.00940860215053,427.0085510752688,59.29159543010753,1.1872646505376343,99.152661827957,82,20,58,9,93.2857783203125,5,0.15517241379310345
CELL000177,SITE00042,5G NR,176.6209677419355,417.4967540322581,57.25556586021506,1.2395926075268817,99.43306962365592,81,30,65,10,94.8329248046875,12,0.15384615384615385
CELL000018,SITE00004,5G NR,182.4516129032258,425.3753803763441,56.95372311827957,1.259488440860215,99.53933145161291,81,29,52,16,115.6449931640625,8,0.3076923076923077
CELL000156,SITE00037,4G LTE,178.88978494623655,432.2515336021505,57.028470430107525,1.2549693548387095,99.42734072580646,81,27,59,12,100.9315751953125,15,0.2033898305084746
CELL000026,SITE00006,5G NR,180.47043010752688,411.73269758064515,58.15963844086021,1.2673118279569893,99.00881572580646,81,26,59,9,105.791796875,8,0.15254237288135594
CELL000214,SITE00050,4G LTE,175.93548387096774,421.03007795698926,57.5956061827957,1.245523924731183,99.14979569892473,81,26,54,6,106.5606796875,6,0.1111111111111111
CELL000054,SITE00012,5G NR,180.04032258064515,418.75810080645164,57.762979838709676,1.2415604838709677,99.28595793010753,81,25,45,8,100.0585478515625,9,0.17777777777777778
CELL000072,SITE00017,5G NR,183.18682795698925,417.09672580645156,59.16810080645162,1.1998029569892474,99.0057629032258,81,19,53,9,100.6350517578125,8,0.16981132075471697
CELL000021,SITE00005,4G LTE,180.13978494623655,431.5704193548387,57.36961827956989,1.3239235215053764,99.412200672043,80,38,59,9,106.7113974609375,10,0.15254237288135594
CELL000106,SITE00024,5G NR,175.31586021505376,420.0173172043011,57.25874731182796,1.2426064516129032,99.41342056451613,80,29,57,11,104.6116884765625,6,0.19298245614035087
CELL000145,SITE00035,4G LTE,177.41397849462365,422.27381451612905,58.083153225806456,1.2415395161290324,99.54105994623656,80,27,56,13,111.40362109375,11,0.23214285714285715
CELL000010,SITE00002,4G LTE,181.55241935483872,418.95863575268817,57.477943548387096,1.2436995967741935,98.76118803763441,80,24,55,11,96.3691669921875,4,0.2
CELL000095,SITE00022,4G LTE,176.6034946236559,417.3376129032258,57.63599193548387,1.3197948924731184,99.42165470430108,80,23,57,14,89.537271484375,10,0.24561403508771928
CELL000220,SITE00052,4G LTE,181.502688172043,415.304185483871,57.2031626344086,1.2841677419354838,99.40308454301075,79,36,51,10,107.95605859375,9,0.19607843137254902
CELL000064,SITE00014,4G LTE,175.34677419354838,413.31519623655913,56.87945564516129,1.259696370967742,99.57245537634408,79,30,56,8,91.553,12,0.14285714285714285
CELL000138,SITE00032,5G NR,178.9018817204301,424.30750403225807,58.49579569892474,1.1989912634408602,99.13876827956989,79,27,40,8,106.58727734375,15,0.2
CELL000048,SITE00010,5G NR,177.8951612903226,427.1701801075269,56.47527688172043,1.2927826612903226,99.15070698924731,79,22,50,3,120.11169921875,11,0.06
CELL000157,SITE00037,5G NR,180.88172043010752,413.8065672043011,57.7941814516129,1.2856998655913978,99.54424018817204,79,22,48,14,95.3972587890625,6,0.2916666666666667
CELL000034,SITE00007,4G LTE,181.83602150537635,425.2075322580645,58.00473655913978,1.248831182795699,99.01842163978496,79,21,54,12,96.467298828125,12,0.2222222222222222
CELL000059,SITE00013,4G LTE,182.03091397849462,417.20709408602147,58.11603225806452,1.230264247311828,99.28876223118279,79,17,64,12,107.116541015625,5,0.1875
CELL000005,SITE00001,5G NR,179.51478494623655,423.35336559139785,57.31038037634409,1.3082004032258066,99.54444865591398,78,36,49,12,123.133443359375,11,0.24489795918367346
CELL000166,SITE00039,4G LTE,177.47043010752688,425.3089852150538,57.91940860215054,1.2888064516129032,98.74722782258064,78,35,63,10,84.8524560546875,5,0.15873015873015872
CELL000122,SITE00029,5G NR,176.74327956989248,421.77296236559135,57.21501612903226,1.1991672043010753,98.59162970430107,78,31,52,9,103.6545654296875,6,0.17307692307692307
CELL000208,SITE00049,4G LTE,176.23790322580646,434.63688037634404,57.16449059139785,1.2919641129032258,99.29683629032257,78,31,67,16,76.5900166015625,13,0.23880597014925373
CELL000155,SITE00036,5G NR,179.7728494623656,423.592184139785,57.006723118279574,1.283433870967742,99.15564301075268,78,29,46,14,92.6502578125,4,0.30434782608695654
CELL000189,SITE00045,5G NR,176.88844086021504,433.57936693548385,56.7027997311828,1.2405817204301075,99.67608185483871,78,28,43,9,92.537111328125,9,0.20930232558139536
CELL000023,SITE00005,4G LTE,181.34139784946237,414.0047983870968,57.5274126344086,1.2782697580645161,99.00575900537635,78,21,56,13,107.4109873046875,8,0.23214285714285715
CELL000082,SITE00019,5G NR,175.03763440860214,433.17455107526877,57.1803561827957,1.1945483870967741,99.41257150537635,78,21,57,10,116.1346640625,12,0.17543859649122806
CELL000180,SITE00043,4G LTE,180.4516129032258,418.67342204301076,57.039698924731184,1.2358950268817204,99.42129556451613,78,21,57,14,124.609890625,9,0.24561403508771928
CELL000037,SITE00008,4G LTE,177.55510752688173,435.17439112903224,57.65507123655914,1.262339247311828,99.41064220430108,77,35,63,13,98.87453125,13,0.20634920634920634
CELL000103,SITE00023,4G LTE,177.53360215053763,412.50609005376344,57.82457392473118,1.2320729838709676,99.16156895161289,77,32,64,12,112.556392578125,13,0.1875
CELL000062,SITE00014,5G NR,180.13306451612902,419.1292043010753,56.28228629032258,1.2833547043010753,98.34314690860217,77,28,50,9,108.0436787109375,10,0.18
CELL000174,SITE00041,4G LTE,179.18682795698925,427.24773655913975,58.10090053763441,1.2795350806451613,99.29211129032258,77,27,42,5,106.5191982421875,13,0.11904761904761904
CELL000183,SITE00043,4G LTE,179.75940860215053,417.6312352150538,57.75233602150537,1.2273176075268817,98.889325,77,22,51,10,98.1438486328125,13,0.19607843137254902
CELL000144,SITE00034,5G NR,181.21370967741936,422.7786182795699,57.63934811827957,1.2445301075268818,99.1612067204301,77,21,43,8,95.56344140625,8,0.18604651162790697
CELL000123,SITE00029,5G NR,179.20698924731184,430.6720510752688,56.075622311827956,1.2716170698924731,99.4278126344086,76,37,42,9,103.0075478515625,7,0.21428571428571427
CELL000094,SITE00022,5G NR,177.80376344086022,413.59544758064516,58.48502284946236,1.2561673387096775,99.15044274193548,76,31,46,11,98.7865234375,12,0.2391304347826087
CELL000071,SITE00016,4G LTE,179.05779569892474,419.7754408602151,57.55790725806452,1.247279301075269,99.02081801075268,76,29,40,11,112.027623046875,12,0.275
CELL000088,SITE00020,5G NR,178.59274193548387,421.25954704301074,57.27631989247312,1.2789104838709677,99.01899569892474,76,29,58,13,100.88369140625,10,0.22413793103448276
CELL000139,SITE00033,5G NR,178.30376344086022,417.1896102150538,58.13279301075269,1.2699375,99.42038844086022,76,29,51,9,100.3106396484375,8,0.17647058823529413
CELL000081,SITE00018,4G LTE,177.15725806451613,425.7726989247312,57.17718682795699,1.278179301075269,99.54903064516128,76,27,55,10,100.392375,12,0.18181818181818182
