supplier_id,supplier_name,country,supplier_tier,lead_time_days,on_time_rate,defect_rate,active_flag,_loaded_at_utc,_source_file
SUP00028,Value Supply 28,VNM,Preferred,21,0.8657,0.0670,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00029,Global Supply 29,VNM,Strategic,21,0.7214,0.0212,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00030,North Supply 30,USA,preferred ,21,0.7304,0.0670,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00031,Prime Supply 31,CAN,Backup,30,0.8276,0.0270,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00032,Value Supply 32,CAN,Strategic,5,0.7748,0.0691,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00033,Summit Supply 33,USA,Standard,30,0.8395,0.0089,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00034,Evergreen Supply 34,CAN,Standard,bad,0.8942,0.0213,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00035,Evergreen Supply 35,CAN,Preferred,21,0.8657,0.0243,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00036,Global Supply 36,CAN,Preferred,7,0.7411,0.0100,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00037,Prime Supply 37,VNM,Standard,30,0.9286,0.0430,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00038,Summit Supply 38,VNM,Standard,21,0.9022,0.0480,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00039,North Supply 39,USA,preferred ,21,0.7083,0.0739,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00040,Prime Supply 40,VNM,Preferred,bad,0.9506,0.0190,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00041,Value Supply 41,USA,Standard,,0.9916,0.0258,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00042,Evergreen Supply 42,USA,Backup,21,0.9264,0.0425,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00043,North Supply 43,USA,Backup,14,0.9839,0.0538,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00044,Summit Supply 44,VNM,preferred ,,0.9629,0.0236,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00045,Evergreen Supply 45,CHN,Backup,14,0.7217,0.0472,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00046,Value Supply 46,CHN,Strategic,bad,0.7799,0.0790,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00047,North Supply 47,IND,Backup,21,0.7918,0.0242,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00048,Prime Supply 48,MEX,Standard,21,0.7836,0.0370,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00049,Global Supply 49,USA,Preferred,5,0.9847,0.0179,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00050,Evergreen Supply 50,USA,Backup,21,0.7481,0.0711,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00051,Global Supply 51,MEX,Strategic,7,0.7715,0.0380,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00052,Evergreen Supply 52,USA,Standard,30,0.7653,0.0661,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00053,Evergreen Supply 53,CAN,Standard,3,0.9625,0.0214,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00054,Global Supply 54,MEX,Backup,3,0.9304,0.0530,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00055,Evergreen Supply 55,MEX,Backup,,0.7691,0.0761,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00056,Global Supply 56,USA,Strategic,3,0.8261,0.0753,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00057,Prime Supply 57,CHN,preferred ,5,0.8867,0.0672,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00058,Summit Supply 58,USA,Strategic,,0.8919,0.0201,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00059,Prime Supply 59,MEX,Strategic,14,0.9582,0.0191,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00060,Summit Supply 60,USA,Backup,14,0.8909,0.0391,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00061,Summit Supply 61,USA,preferred ,3,0.9515,0.0135,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00062,Prime Supply 62,USA,Standard,14,0.7825,0.0590,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00063,North Supply 63,IND,Standard,14,0.8428,0.0539,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00064,Prime Supply 64,IND,Backup,21,0.7989,0.0565,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00065,Summit Supply 65,IND,Backup,21,0.9833,0.0079,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00066,Summit Supply 66,USA,Preferred,14,0.7517,0.0078,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00067,Global Supply 67,USA,Preferred,7,0.9017,0.0450,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00068,North Supply 68,USA,Strategic,14,0.7017,0.0014,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00069,Value Supply 69,IND,Backup,bad,0.7754,0.0704,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00070,North Supply 70,MEX,Backup,bad,0.8383,0.0059,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00071,North Supply 71,IND,Strategic,21,0.8319,0.0161,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00072,Value Supply 72,USA,Strategic,7,0.7196,0.0459,Yes,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00073,Summit Supply 73,USA,preferred ,,0.9472,0.0287,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00074,Summit Supply 74,VNM,preferred ,5,0.8975,0.0651,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00075,Value Supply 75,CAN,preferred ,3,0.7300,0.0095,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00076,Evergreen Supply 76,USA,Strategic,bad,0.8336,0.0073,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00077,Evergreen Supply 77,USA,Standard,7,0.9771,0.0471,Y,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00078,Summit Supply 78,USA,Backup,3,0.7510,0.0732,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00079,Global Supply 79,USA,Backup,7,0.9127,0.0134,N,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
SUP00080,Summit Supply 80,USA,Standard,5,0.7056,0.0359,1,2026-08-08T04:42:27.210428+00:00,data/raw/master/suppliers.csv
