associate_id,store_id,role,hire_date,employment_status,_loaded_at_utc,_source_file
ASC000037,STR0001,Cashier,2021-04-04,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000038,STR0002,Store Manager,2024-04-15,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000039,STR0008,Customer Service,2022-05-19,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000040,STR0020,Cashier,2023-01-14,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000041,STR0001,Cashier,2017-12-09,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000042,STR0023,Stock Associate,2020-12-14,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000043,STR0012,Stock Associate,2019-09-18,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000044,STR0005,Store Manager,2023-04-14,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000045,STR0001,Stock Associate,2026-03-21,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000046,STR0014,Cashier,2026-03-11,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000047,STR0016,Cashier,2023-03-04,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000048,STR0008,Stock Associate,2022-10-04,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000049,STR0011,Cashier,2025-03-18,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000050,STR0006,Store Manager,2019-03-30,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000051,STR_BAD,Cashier,2020-05-06,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000052,STR0006,Cashier,2023-11-03,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000053,STR0013,Department Lead,2022-06-05,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000054,STR0015,Department Lead,2022-05-03,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000055,STR0025,Department Lead,2019-05-23,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000056,STR0023,Customer Service,2020-04-22,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000057,STR0006,Stock Associate,2020-01-16,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000058,STR0009,Department Lead,2023-10-25,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000059,STR0015,Customer Service,2022-11-22,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000060,STR0023,Department Lead,2021-08-19,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000061,STR0023,Stock Associate,2017-04-05,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000062,STR0004,Department Lead,2022-11-20,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000063,STR0005,Stock Associate,2019-12-08,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000064,STR0010,Customer Service,2017-06-27,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000065,STR0011,Cashier,2020-05-07,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000066,STR0014,Cashier,2025-08-18,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000067,STR0003,Cashier,2021-03-03,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000068,STR_BAD,Department Lead,2024-08-01,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000069,STR0012,Cashier,2018-04-14,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000070,STR0010,Stock Associate,2021-02-19,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000071,STR0017,Store Manager,2025-07-13,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000072,STR0001,Customer Service,2019-08-29,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000073,STR0003,Cashier,2017-09-22,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000074,STR0004,Store Manager,2021-08-23,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000075,STR0007,Store Manager,2017-06-28,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000076,STR0006,Department Lead,2019-06-22,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000077,STR0016,Stock Associate,2025-11-14,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000078,STR0015,Stock Associate,2024-04-17,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000079,STR0007,Customer Service,2025-06-03,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000080,STR0015,Stock Associate,2017-11-26,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000081,STR0022,Department Lead,2024-10-19,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000082,STR0003,Department Lead,2026-04-18,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000083,STR0025,Cashier,2022-10-08,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000084,STR0003,Cashier,2025-08-11,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000085,STR0004,Store Manager,2020-09-16,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000086,STR0005,Cashier,2023-03-13,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000087,STR0017,Store Manager,2025-10-10,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000088,STR0023,Store Manager,2022-06-02,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000089,STR0006,Cashier,2024-08-06,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000090,STR0025,Cashier,2025-10-13,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000091,STR0013,Customer Service,2018-08-31,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000092,STR0012,Store Manager,2019-12-07,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000093,STR0018,Cashier,2025-12-13,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000094,STR0001,Store Manager,2020-02-25,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000095,STR0012,Customer Service,2021-03-09,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000096,STR0017,Customer Service,2024-03-29,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000097,STR0023,Stock Associate,2020-06-29,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000098,STR0013,Department Lead,2022-12-25,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000099,STR0020,Department Lead,2017-03-19,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000100,STR0016,Cashier,2024-04-19,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000101,STR0021,Customer Service,2022-09-14,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000102,STR0004,Cashier,2025-05-04,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000103,STR0008,Cashier,2017-01-10,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000104,STR0010,Store Manager,2025-11-01,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000105,STR0016,Customer Service,2018-10-29,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000106,STR0008,Customer Service,2025-06-14,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000107,STR0006,Cashier,2021-05-11,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000108,STR0024,Customer Service,2023-12-11,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000109,STR0020,Store Manager,2025-08-10,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000110,STR0008,Stock Associate,2019-10-17,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000111,STR0005,Customer Service,2024-02-27,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000112,STR0016,Customer Service,2024-02-22,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000113,STR0021,Customer Service,2019-02-13,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000114,STR0002,Store Manager,2019-02-08,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000115,STR0003,Customer Service,2025-11-26,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000116,STR0012,Cashier,2024-08-10,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000117,STR0019,Customer Service,2026-04-11,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000118,STR0007,Department Lead,2019-08-01,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000119,STR0007,Department Lead,2023-02-22,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000120,STR0011,Store Manager,2020-08-12,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000121,STR0015,Customer Service,2022-10-17,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000122,STR0010,Stock Associate,2024-09-22,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000123,STR0011,Customer Service,2017-11-09,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000124,STR0022,Store Manager,2022-11-10,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000125,STR0009,Cashier,2021-11-08,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000126,STR0009,Cashier,2023-03-20,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000127,STR0018,Store Manager,2024-10-13,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000128,STR0013,Customer Service,2020-01-25,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000129,STR_BAD,Department Lead,2024-07-30,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000130,STR0017,Cashier,2024-07-05,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000131,STR0022,Store Manager,2021-02-18,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000132,STR0003,Store Manager,2025-12-22,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000133,STR0017,Cashier,2025-04-26,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000134,STR0015,Department Lead,2017-02-04,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000135,STR0011,Department Lead,2020-04-21,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000136,STR0011,Stock Associate,2025-02-03,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000137,STR0020,Cashier,2020-02-22,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000138,STR0011,Customer Service,2021-03-13,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000139,STR0024,Stock Associate,2026-03-03,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000140,STR0008,Stock Associate,2023-02-21,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000141,STR0017,Stock Associate,2025-09-26,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000142,STR0019,Cashier,2018-08-16,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000143,STR0001,Customer Service,2023-10-09,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000144,STR0024,Department Lead,2017-12-28,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000145,STR0012,Store Manager,2017-02-03,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000146,STR0007,Cashier,2024-04-06,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000147,STR0019,Customer Service,2017-09-27,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000148,STR0007,Stock Associate,2020-05-25,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000149,STR0013,Stock Associate,2019-11-10,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000150,STR0010,Department Lead,2017-02-16,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000151,STR0006,Cashier,2020-07-04,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000152,STR0016,Department Lead,2018-07-08,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000153,STR0004,Department Lead,2024-08-09,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000154,STR0004,Cashier,2019-06-13,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000155,STR0009,Customer Service,2021-10-28,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000156,STR0006,Customer Service,2026-02-28,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000157,STR0018,Department Lead,2020-01-15,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000158,STR0016,Cashier,2025-02-24,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000159,STR0008,Department Lead,2023-01-16,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000160,STR0007,Department Lead,2023-09-11,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000161,STR0005,Store Manager,2025-04-11,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000162,STR0023,Cashier,2023-04-02,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000163,STR0013,Stock Associate,2025-07-20,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000164,STR0017,Cashier,2022-12-21,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000165,STR0004,Department Lead,2017-11-28,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000166,STR0008,Customer Service,2023-07-15,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000167,STR0009,Stock Associate,2024-08-13,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000168,STR0007,Customer Service,2023-09-13,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000169,STR0024,Store Manager,2017-08-08,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000170,STR0020,Store Manager,2025-03-27,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000171,STR0023,Store Manager,2020-12-31,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000172,STR0016,Stock Associate,2021-02-04,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000173,STR0003,Customer Service,2024-07-28,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000174,STR0025,Store Manager,2021-09-28,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000175,STR0020,Department Lead,2023-06-30,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000176,STR0008,Store Manager,2022-07-12,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000177,STR0011,Store Manager,2024-03-11,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000178,STR0009,Department Lead,2018-01-29,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000179,STR0008,Department Lead,2020-11-28,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000180,STR0025,Department Lead,2020-02-04,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000181,STR0023,Stock Associate,2024-02-10,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000182,STR0016,Department Lead,2024-12-13,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000183,STR0020,Store Manager,2023-04-04,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000184,STR0021,Department Lead,2021-07-28,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000185,STR0023,Customer Service,2021-10-07,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000186,STR0024,Stock Associate,2025-02-27,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000187,STR0014,Department Lead,2020-04-15,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000188,STR0002,Store Manager,2025-11-05,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000189,STR0020,Stock Associate,2017-04-17,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000190,STR0003,Department Lead,2018-12-28,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000191,STR0006,Cashier,2021-06-22,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000192,STR0010,Stock Associate,2018-11-01,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000193,STR0003,Customer Service,2025-11-13,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000194,STR0012,Stock Associate,2022-02-21,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000195,STR0020,Department Lead,2024-02-05,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000196,STR0010,Department Lead,2018-04-21,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000197,STR0003,Department Lead,2023-06-06,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000198,STR0007,Store Manager,2018-06-15,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000199,STR0018,Department Lead,2026-01-19,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000200,STR0020,Customer Service,2017-04-25,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000201,STR0012,Cashier,2025-04-19,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000202,STR0014,Customer Service,2018-03-27,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000203,STR0023,Customer Service,2017-08-24,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000204,STR0025,Department Lead,2021-02-11,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000205,STR0013,Cashier,2020-04-05,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000206,STR0025,Department Lead,2017-08-28,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000207,STR0012,Customer Service,2018-09-28,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000208,STR0020,Store Manager,2022-03-24,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000209,STR0012,Customer Service,2022-12-28,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000210,STR0021,Cashier,2021-11-16,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000211,STR0020,Stock Associate,2024-08-13,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000212,STR0015,Customer Service,2023-02-02,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000213,STR0025,Customer Service,2021-09-28,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000214,STR0012,Department Lead,2019-08-31,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000215,STR0013,Customer Service,2024-12-29,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000216,STR0006,Stock Associate,2021-08-02,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000217,STR0016,Cashier,2020-07-19,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000218,STR0016,Store Manager,2021-05-14,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000219,STR0022,Stock Associate,2022-02-07,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000220,STR0004,Store Manager,2018-08-26,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000221,STR0017,Customer Service,2018-10-21,Leave,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000222,STR0019,Store Manager,2018-02-12,Active,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000223,STR0011,Store Manager,2018-06-22,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000224,STR0013,Stock Associate,2021-05-11,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000225,STR0024,Customer Service,2024-06-15,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000226,STR0006,Stock Associate,2025-09-05,active ,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000227,STR0019,Cashier,2020-09-02,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
ASC000228,STR0007,Department Lead,2023-12-24,Terminated,2026-08-08T04:42:27.273965+00:00,data/raw/master/associates.csv
