payment_id,transaction_id,payment_method,payment_status,payment_amount,_loaded_at_utc,_source_file
PAY000000030,TXN000000029,Gift Card,Approved,75.06,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000031,TXN000000030,Gift Card,Declined,300.89,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000032,TXN000000031,Gift Card,Approved,190.44,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000033,TXN000000032,Cash,approved ,197.10,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000034,TXN000000033,Mobile Pay,Approved,439.88,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000035,TXN000000034,Credit Card,Reversed,349.16,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000036,TXN000000035,Cash,Approved,110.25,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000037,TXN000000036,Mobile Pay,Reversed,134.25,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000038,TXN000000037,credit card,Reversed,54.21,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000039,TXN000000038,Credit Card,approved ,191.91,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000040,TXN000000039,credit card,Declined,278.48,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000041,TXN000000040,Gift Card,Reversed,483.11,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000042,TXN000000041,Debit Card,Approved,217.82,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000043,TXN000000042,Credit Card,Declined,337.74,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000044,TXN_BAD,Credit Card,Approved,253.86,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000045,TXN000000044,Debit Card,Declined,37.59,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000046,TXN000000045,credit card,Declined,48.14,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000047,TXN000000046,Debit Card,Reversed,91.90,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000048,TXN000000047,Cash,Approved,434.01,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000049,TXN000000048,Mobile Pay,Declined,367.95,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000050,TXN000000049,credit card,Declined,483.71,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000051,TXN000000050,Debit Card,Approved,258.57,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000052,TXN000000051,credit card,Approved,45.68,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000053,TXN000000052,Mobile Pay,Approved,243.08,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000054,TXN000000053,Mobile Pay,Approved,76.19,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000055,TXN000000054,Gift Card,Reversed,265.64,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000056,TXN000000055,Gift Card,approved ,407.42,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000057,TXN000000056,credit card,Approved,490.48,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000058,TXN000000057,credit card,Approved,260.27,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000059,TXN000000058,credit card,Declined,48.71,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000060,TXN000000059,Cash,Approved,290.05,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000061,TXN000000060,credit card,Approved,77.01,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000062,TXN000000061,credit card,Approved,141.30,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000063,TXN000000062,credit card,Reversed,136.37,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000064,TXN000000063,Credit Card,Approved,112.13,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000065,TXN000000064,Mobile Pay,Reversed,334.13,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000066,TXN000000065,Mobile Pay,approved ,443.00,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000067,TXN000000066,Gift Card,Reversed,217.01,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000068,TXN000000067,Gift Card,approved ,308.58,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000069,TXN000000068,Mobile Pay,Declined,418.77,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000070,TXN000000069,Cash,Approved,306.00,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000071,TXN000000069,Mobile Pay,approved ,249.04,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000072,TXN000000070,Gift Card,Approved,121.88,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000073,TXN000000071,Mobile Pay,Declined,395.35,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000074,TXN000000072,Mobile Pay,Approved,359.27,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000075,TXN000000072,Debit Card,Approved,406.10,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000076,TXN000000073,Debit Card,Approved,51.78,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000077,TXN000000074,credit card,Declined,498.44,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000078,TXN000000075,credit card,Approved,92.07,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000079,TXN000000076,Gift Card,Approved,305.31,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000080,TXN000000077,credit card,Approved,396.69,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000081,TXN000000078,Gift Card,Reversed,481.91,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000082,TXN000000079,Credit Card,Approved,313.29,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000083,TXN000000080,credit card,Approved,68.48,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000084,TXN000000081,credit card,Declined,345.04,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000085,TXN000000082,credit card,Declined,497.10,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000086,TXN000000083,credit card,Reversed,169.30,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000087,TXN000000084,Credit Card,approved ,464.33,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000088,TXN000000085,Debit Card,Declined,18.97,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000089,TXN000000086,Gift Card,Approved,250.32,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000090,TXN000000087,credit card,approved ,431.35,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000091,TXN000000088,Gift Card,Approved,188.72,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000092,TXN000000089,Gift Card,Reversed,213.36,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000093,TXN000000090,Mobile Pay,Approved,382.36,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000094,TXN000000091,Cash,Declined,55.52,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000095,TXN000000092,Gift Card,Approved,308.24,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000096,TXN000000093,Credit Card,Reversed,20.02,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000097,TXN000000094,credit card,Approved,445.67,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000098,TXN000000095,Credit Card,Approved,91.36,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000099,TXN000000096,Gift Card,Reversed,415.12,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000100,TXN000000097,credit card,Approved,57.71,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000101,TXN000000098,Credit Card,Approved,146.08,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000102,TXN000000099,Gift Card,Declined,237.83,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000103,TXN000000100,Mobile Pay,approved ,255.22,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000104,TXN000000101,Mobile Pay,Reversed,24.31,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000105,TXN000000101,Gift Card,Reversed,107.68,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000106,TXN000000102,Gift Card,Approved,28.43,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000107,TXN000000103,credit card,Approved,372.54,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000108,TXN000000104,credit card,Reversed,400.99,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000109,TXN000000105,Mobile Pay,Declined,212.39,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000110,TXN000000106,Cash,Approved,269.94,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000111,TXN000000107,Debit Card,Approved,378.25,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000112,TXN000000108,Cash,Reversed,404.65,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000113,TXN000000109,Mobile Pay,Approved,184.14,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000114,TXN000000110,Debit Card,Approved,221.53,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000115,TXN000000111,Debit Card,approved ,65.86,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000116,TXN000000112,Mobile Pay,Approved,267.64,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000117,TXN000000113,Mobile Pay,Approved,93.00,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000118,TXN000000114,Credit Card,Approved,259.72,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000119,TXN000000115,Debit Card,Declined,96.04,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000120,TXN000000116,Mobile Pay,approved ,368.43,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000121,TXN000000117,Credit Card,Approved,317.27,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000122,TXN000000118,Cash,approved ,76.78,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000123,TXN000000119,Credit Card,Declined,16.24,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000124,TXN000000120,credit card,approved ,257.12,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000125,TXN000000121,credit card,approved ,48.31,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000126,TXN000000122,Debit Card,Approved,71.11,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000127,TXN000000123,Cash,approved ,212.03,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000128,TXN000000124,credit card,Reversed,179.57,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000129,TXN000000125,credit card,Approved,154.58,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000130,TXN000000125,credit card,Approved,27.83,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000131,TXN000000126,credit card,Reversed,206.38,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000132,TXN000000127,credit card,approved ,407.99,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000133,TXN000000128,Credit Card,Approved,465.28,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000134,TXN000000129,Mobile Pay,approved ,258.04,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000135,TXN000000130,Mobile Pay,Declined,441.29,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000136,TXN000000131,Mobile Pay,approved ,492.03,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000137,TXN000000132,Gift Card,Approved,477.18,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000138,TXN000000132,Mobile Pay,approved ,205.09,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000139,TXN000000133,credit card,approved ,93.54,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000140,TXN000000134,Debit Card,Approved,218.22,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000141,TXN000000135,credit card,Approved,283.23,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000142,TXN000000136,Debit Card,Declined,456.96,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000143,TXN000000137,Credit Card,Declined,376.40,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000144,TXN000000138,credit card,Approved,246.98,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000145,TXN000000139,Mobile Pay,Approved,474.59,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000146,TXN000000139,Gift Card,Declined,209.28,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000147,TXN000000140,credit card,Declined,293.35,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000148,TXN000000141,Cash,Approved,361.92,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000149,TXN000000142,Cash,Reversed,164.18,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000150,TXN000000143,credit card,Declined,446.35,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000151,TXN000000144,Debit Card,Approved,145.05,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000152,TXN000000145,credit card,Approved,223.28,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000153,TXN000000146,credit card,Reversed,372.57,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000154,TXN000000147,Credit Card,Reversed,225.47,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000155,TXN000000148,credit card,Approved,432.77,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000156,TXN000000148,Debit Card,Approved,73.75,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000157,TXN000000149,Debit Card,approved ,458.84,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000158,TXN000000150,Credit Card,Approved,308.25,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000159,TXN000000151,Gift Card,Reversed,364.76,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000160,TXN000000152,Credit Card,Reversed,484.84,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000161,TXN000000153,Gift Card,Approved,392.29,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000162,TXN000000154,Cash,Approved,192.39,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000163,TXN000000155,Mobile Pay,approved ,59.82,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000164,TXN000000155,Mobile Pay,Approved,406.30,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000165,TXN000000156,Mobile Pay,Declined,281.15,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000166,TXN000000157,Cash,Declined,59.69,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000167,TXN000000158,Mobile Pay,Declined,296.31,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000168,TXN000000159,Mobile Pay,approved ,255.78,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000169,TXN000000160,credit card,Approved,60.35,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000170,TXN000000161,Debit Card,Reversed,76.07,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000171,TXN000000162,Cash,Approved,380.93,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000172,TXN000000163,credit card,Approved,437.10,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000173,TXN000000164,Cash,approved ,319.53,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000174,TXN000000165,Gift Card,approved ,418.15,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000175,TXN000000166,Cash,Approved,128.42,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000176,TXN000000167,Credit Card,Approved,325.14,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000177,TXN000000168,Debit Card,Declined,334.94,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000178,TXN000000169,Mobile Pay,Approved,bad,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000179,TXN000000170,Mobile Pay,Approved,158.79,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000180,TXN000000171,Mobile Pay,Approved,451.69,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000181,TXN000000172,Mobile Pay,Approved,446.12,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000182,TXN000000173,Mobile Pay,Approved,bad,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000183,TXN000000174,Cash,Approved,426.53,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000184,TXN000000175,credit card,approved ,67.83,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000185,TXN000000176,Gift Card,Declined,495.05,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000186,TXN000000177,Gift Card,approved ,257.40,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000187,TXN000000177,Gift Card,approved ,228.20,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000188,TXN000000178,Mobile Pay,Reversed,73.50,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000189,TXN000000179,credit card,Approved,361.91,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000190,TXN000000180,credit card,approved ,151.14,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000191,TXN000000181,credit card,Declined,485.84,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000192,TXN000000182,Gift Card,Approved,182.01,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000193,TXN000000183,Gift Card,Declined,345.36,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000194,TXN000000184,Gift Card,Approved,46.79,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000195,TXN000000185,Mobile Pay,approved ,343.91,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000196,TXN000000186,credit card,Approved,103.27,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000197,TXN000000187,Credit Card,Approved,215.79,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000198,TXN000000188,Credit Card,Approved,362.26,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000199,TXN000000189,Cash,approved ,386.09,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000200,TXN000000190,Cash,Approved,40.15,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000201,TXN000000191,credit card,approved ,352.10,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000202,TXN000000192,Cash,Approved,259.35,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000203,TXN000000193,Gift Card,approved ,87.25,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000204,TXN000000194,Gift Card,approved ,54.44,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000205,TXN000000195,Cash,Reversed,19.55,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000206,TXN000000196,Mobile Pay,Declined,116.49,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000207,TXN000000196,Gift Card,Approved,95.91,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000208,TXN000000197,Gift Card,Declined,19.60,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000209,TXN000000198,Debit Card,Declined,174.66,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000210,TXN000000199,Cash,Reversed,293.49,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000211,TXN000000200,Mobile Pay,Approved,435.59,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000212,TXN000000201,Credit Card,approved ,151.12,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000213,TXN000000202,Credit Card,Reversed,497.46,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000214,TXN000000203,credit card,Approved,481.55,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000215,TXN000000204,Credit Card,Declined,162.44,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000216,TXN000000205,credit card,Reversed,35.44,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000217,TXN000000206,Debit Card,Approved,108.07,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000218,TXN000000207,credit card,Approved,218.24,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000219,TXN000000208,Mobile Pay,Reversed,83.93,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000220,TXN000000209,Cash,Approved,222.17,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
PAY000000221,TXN000000210,Cash,Approved,339.90,2026-08-08T04:42:27.862837+00:00,data/raw/transactions/payments.csv
