transaction_id,account_id,card_id,merchant_id,transaction_ts,transaction_type,channel,direction,amount,currency,transaction_status,description,source_system,ingestion_batch_id
T00000101,A000128,,M0069,2026-05-02 04:48:38,POS,Online,debit,186.09,INR,Reversed,Bill pay,core_banking,BATCH_20260601_A
T00000102,A000171,,,01/21/2026 21:59,ATM,Card,debit,200.01,INR,POSTED,Transfer,card_processor,BATCH_20260601_B
T00000103,A000201,CRD000014,M0066,03/19/2026 02:32,POS,ATM,debit,0.83,USD,Pending,Bill pay,mobile_app,BATCH_20260602_A
T00000104,A000126,,,03/05/2026 15:41,INTEREST,Branch,credit,78.7,GBP,Pending,Monthly fee,card_processor,BATCH_20260601_B
T00000105,A000139,CRD000139,M0042,04/20/2026 16:29,POS,Branch,debit,463.78,EUR,Pending,Transfer,core_banking,BATCH_20260602_A
T00000106,A000086,,,2026-03-23 00:47:07,ACH,Branch,debit,220.94,GBP,posted ,Monthly fee,branch_teller,BATCH_20260601_A
T00000107,A000217,CRD000076,M0049,2026-02-21 16:32:54,POS,Branch,debit,355.84,CAD,Reversed,Direct deposit,core_banking,BATCH_20260601_A
T00000108,A000061,,,2026-02-20 02:10:28,PAYROLL,Mobile,credit,153.18,INR,Reversed,Transfer,branch_teller,BATCH_20260601_B
T00000109,A000068,,,2026-04-15 02:56:59,ATM,Branch,debit,476.7,GBP,POSTED,Transfer,card_processor,BATCH_20260602_A
T00000110,A000176,,,2026-03-07 18:12:36,ATM,Online,debit,275.97,USD,Reversed,Purchase,card_processor,BATCH_20260601_A
T00000111,A000071,,M0070,02/17/2026 13:43,POS,Mobile,debit,298.92,INR,POSTED,Cash withdrawal,mobile_app,BATCH_20260601_B
T00000112,A000179,CRD000154,M0070,2026-05-22 10:04:35,POS,API,debit,323.1,GBP,Failed,Direct deposit,branch_teller,BATCH_20260601_A
T00000113,A000003,CRD000045,M0003,01/17/2026 03:56,POS,Card,debit,236.93,EUR,POSTED,Cash withdrawal,core_banking,BATCH_20260601_A
T00000114,A000220,,,02/09/2026 02:08,ACH,Mobile,debit,74.88,USD,Pending,Transfer,mobile_app,BATCH_20260601_A
T00000115,A000188,,,04/06/2026 22:28,ACH,ATM,debit,20.59,GBP,posted ,Direct deposit,mobile_app,BATCH_20260601_A
T00000116,A000161,,,04/25/2026 19:19,FEE,API,debit,34.32,USD,Posted,Direct deposit,mobile_app,BATCH_20260602_A
T00000117,A000207,,,03/09/2026 13:25,ACH,API,debit,798.1,EUR,Failed,Monthly fee,branch_teller,BATCH_20260601_B
T00000118,A000174,,,03/22/2026 20:12,FEE,Card,debit,15.97,EUR,Reversed,Transfer,mobile_app,BATCH_20260601_B
T00000119,A000086,,,05/02/2026 06:24,ACH,Mobile,debit,64.52,EUR,posted ,Monthly fee,card_processor,BATCH_20260601_B
T00000120,A000186,CRD000164,M0044,03/29/2026 22:23,POS,Branch,debit,297.49,INR,POSTED,Monthly fee,core_banking,BATCH_20260602_A
T00000121,A000048,,,2026-01-09 07:48:21,WIRE,Branch,debit,538.3499999999999,GBP,Posted,Transfer,branch_teller,BATCH_20260601_A
T00000122,A000076,CRD000029,M0014,02/20/2026 13:19,POS,Branch,debit,105.64,USD,posted ,Bill pay,mobile_app,BATCH_20260602_A
T00000123,A000066,,,05/15/2026 22:39,INTEREST,Mobile,credit,127.63,CAD,Posted,Cash withdrawal,branch_teller,BATCH_20260602_A
T00000124,A000157,,M0029,2026-03-01 07:40:44,REFUND,Card,credit,444.98,USD,Pending,Purchase,card_processor,BATCH_20260602_A
T00000125,A000124,,,2026-02-20 07:25:55,WIRE,Online,debit,180.42000000000002,CAD,Posted,Monthly fee,mobile_app,BATCH_20260601_A
T00000126,A000100,CRD000054,M0025,04/16/2026 21:31,POS,ATM,debit,67.9,CAD,Failed,Transfer,card_processor,BATCH_20260601_A
T00000127,A000108,,M0044,05/17/2026 03:07,POS,online ,debit,405.74,INR,Posted,Transfer,card_processor,BATCH_20260601_B
T00000128,A000108,,,2026-05-30 15:03:16,WIRE,API,debit,673.86,INR,Failed,Cash withdrawal,mobile_app,BATCH_20260601_B
T00000129,A000080,,,2026-04-23 20:25:50,ACH,ATM,debit,198.65,GBP,Posted,Bill pay,branch_teller,BATCH_20260601_B
T00000130,A000070,,,2026-04-16 06:50:28,ATM,Online,debit,50.81,EUR,Failed,Cash withdrawal,card_processor,BATCH_20260601_A
T00000131,A000070,CRD000016,M0061,04/09/2026 19:59,POS,Branch,debit,11.72,EUR,Reversed,Cash withdrawal,core_banking,BATCH_20260601_B
T00000132,A000087,,,2026-03-20 17:16:42,ACH,online ,debit,131.08,CAD,POSTED,Bill pay,core_banking,BATCH_20260602_A
T00000133,A000069,,M0037,2026-05-19 19:42:32,REFUND,Card,credit,28.45,EUR,Failed,Bill pay,card_processor,BATCH_20260601_A
T00000134,A000191,,,04/15/2026 05:52,INTEREST,Card,credit,268.69,GBP,POSTED,Bill pay,card_processor,BATCH_20260601_B
T00000135,A000153,,,03/03/2026 20:39,ACH,Mobile,debit,331.88,EUR,Failed,Monthly fee,branch_teller,BATCH_20260601_A
T00000136,A000041,CRD000179,M0029,2026-03-31 23:04:51,POS,online ,debit,23.8,EUR,POSTED,Cash withdrawal,mobile_app,BATCH_20260601_A
T00000137,A000027,CRD000023,M0007,2026-01-01 22:32:59,POS,Branch,debit,267.97,INR,Pending,Monthly fee,card_processor,BATCH_20260601_B
T00000138,A000092,CRD000170,M0020,02/16/2026 02:55,POS,Card,debit,524.95,INR,POSTED,Cash withdrawal,mobile_app,BATCH_20260601_B
T00000139,A000053,,,2026-04-03 03:42:58,ATM,ATM,debit,141.66,INR,Failed,Monthly fee,branch_teller,BATCH_20260602_A
T00000140,A000108,,,2026-03-04 20:00:44,ACH,Mobile,debit,48.77,INR,Posted,Direct deposit,mobile_app,BATCH_20260602_A
T00000141,A000198,CRD000081,M0058,02/21/2026 08:02,POS,API,debit,192.75,GBP,Reversed,Direct deposit,branch_teller,BATCH_20260601_A
T00000142,A000125,,,03/08/2026 07:06,WIRE,ATM,debit,162.12,USD,Posted,Purchase,core_banking,BATCH_20260602_A
T00000143,A000026,,,05/11/2026 08:29,ACH,Online,debit,53.47,EUR,Reversed,Bill pay,core_banking,BATCH_20260601_A
T00000144,A000105,CRD000032,M0049,05/27/2026 12:45,POS,ATM,debit,218.04,GBP,Failed,Direct deposit,mobile_app,BATCH_20260601_A
T00000145,A000160,CRD000172,M0019,04/15/2026 22:23,POS,Mobile,debit,93.86,GBP,posted ,Monthly fee,card_processor,BATCH_20260602_A
T00000146,A000067,CRD000116,M0069,05/29/2026 01:13,POS,API,debit,543.48,EUR,Failed,Monthly fee,core_banking,BATCH_20260601_A
T00000147,A000071,CRD000170,M0044,2026-02-28 11:11:52,POS,Branch,debit,192.1,INR,Pending,Cash withdrawal,core_banking,BATCH_20260601_B
T00000148,A000150,,,01/30/2026 01:32,PAYROLL,API,credit,309.65,USD,Failed,Transfer,mobile_app,BATCH_20260601_A
T00000149,A000210,,,02/01/2026 06:37,FEE,API,debit,16.51,INR,Failed,Purchase,branch_teller,BATCH_20260602_A
T00000150,A000122,,M0051,2026-03-28 12:53:08,POS,API,debit,159.72,USD,Failed,Cash withdrawal,card_processor,BATCH_20260602_A
T00000151,A000067,CRD000050,M0053,01/02/2026 10:01,POS,Branch,debit,187.93,EUR,Posted,Cash withdrawal,card_processor,BATCH_20260601_B
T00000152,A000074,,,01/15/2026 19:44,FEE,online ,debit,43.76,CAD,Posted,Purchase,core_banking,BATCH_20260601_B
T00000153,A000193,,,2026-01-03 22:39:53,ACH,API,debit,273.72,EUR,Failed,Direct deposit,card_processor,BATCH_20260601_A
T00000154,A000187,,,2026-03-09 06:46:53,ACH,Online,debit,199.44,CAD,Posted,Bill pay,mobile_app,BATCH_20260601_A
T00000155,A000156,CRD000145,M0018,2026-01-05 11:19:01,POS,Mobile,debit,66.88,USD,posted ,Direct deposit,mobile_app,BATCH_20260601_A
T00000156,A000052,,,01/05/2026 22:57,ACH,Online,debit,436.55,USD,Reversed,Cash withdrawal,branch_teller,BATCH_20260602_A
T00000157,A000055,CRD000103,M0016,03/18/2026 04:28,POS,Card,debit,310.53,GBP,Posted,Monthly fee,branch_teller,BATCH_20260602_A
T00000158,A000022,,,04/29/2026 21:10,INTEREST,Online,credit,69.58,USD,Reversed,Direct deposit,mobile_app,BATCH_20260601_B
T00000159,A000076,,,04/24/2026 13:32,PAYROLL,Branch,credit,114.88,GBP,POSTED,Bill pay,card_processor,BATCH_20260601_A
T00000160,A000140,,M0071,2026-05-19 15:09:27,REFUND,ATM,credit,151.64,USD,posted ,Monthly fee,core_banking,BATCH_20260602_A
T00000161,A000122,,,03/29/2026 12:51,WIRE,Mobile,debit,5026.56,USD,Reversed,Monthly fee,core_banking,BATCH_20260601_B
T00000162,A000092,,,01/22/2026 02:34,ATM,Mobile,debit,119.19,INR,Reversed,Direct deposit,card_processor,BATCH_20260601_A
T00000163,A000046,,M0009,04/27/2026 11:35,POS,ATM,debit,138.21,GBP,Failed,Direct deposit,branch_teller,BATCH_20260602_A
T00000164,A000026,,,2026-03-30 18:54:18,FEE,Online,debit,17.34,EUR,Reversed,Bill pay,mobile_app,BATCH_20260601_B
T00000165,A000156,CRD000005,M0023,05/06/2026 11:12,POS,Online,debit,218.98,USD,Failed,Transfer,core_banking,BATCH_20260601_A
T00000166,A000179,CRD000120,M0059,04/11/2026 18:48,POS,Card,debit,149.86,GBP,Pending,Transfer,mobile_app,BATCH_20260602_A
T00000167,A000190,,M0068,01/25/2026 19:31,POS,Card,debit,22.83,INR,Posted,Direct deposit,core_banking,BATCH_20260602_A
T00000168,A000110,,M0062,2026-05-09 20:38:13,POS,Branch,debit,389.16,CAD,POSTED,Monthly fee,core_banking,BATCH_20260601_B
T00000169,A000213,CRD000066,M0029,01/27/2026 04:08,POS,Card,debit,249.8,EUR,POSTED,Purchase,branch_teller,BATCH_20260601_B
T00000170,A000218,CRD000172,M0069,02/23/2026 23:27,pos,Card,debit,295.69,GBP,Reversed,Monthly fee,card_processor,BATCH_20260601_B
T00000171,A000131,,,02/03/2026 08:41,ATM,Mobile,debit,730.12,USD,posted ,Transfer,mobile_app,BATCH_20260601_B
T00000172,A000191,,,2026-03-19 12:54:47,WIRE,Card,debit,1289.1499999999999,GBP,Failed,Cash withdrawal,mobile_app,BATCH_20260601_A
T00000173,A000141,,,05/10/2026 08:30,INTEREST,ATM,credit,214.35,INR,posted ,Transfer,core_banking,BATCH_20260601_A
T00000174,A000047,,,05/10/2026 13:09,ACH,Mobile,debit,963.64,USD,Pending,Transfer,card_processor,BATCH_20260601_B
T00000175,A000186,,,2026-01-06 04:49:22,ATM,Card,debit,333.29,INR,POSTED,Direct deposit,branch_teller,BATCH_20260602_A
T00000176,A000179,CRD000041,M0050,2026-05-03 00:40:38,POS,online ,debit,38.65,GBP,Pending,Cash withdrawal,core_banking,BATCH_20260601_B
T00000177,A000125,CRD000173,M0054,03/23/2026 02:55,POS,ATM,debit,262.09,GBP,posted ,Purchase,core_banking,BATCH_20260602_A
T00000178,A000185,,M0016,02/12/2026 20:33,POS,Branch,debit,151.61,USD,Posted,Monthly fee,mobile_app,BATCH_20260601_B
T00000179,A000081,CRD000113,M0075,01/09/2026 03:51,POS,API,debit,79.93,CAD,POSTED,Purchase,core_banking,BATCH_20260602_A
T00000180,A000083,,,2026-05-16 21:38:44,FEE,ATM,debit,26.81,EUR,Posted,Transfer,card_processor,BATCH_20260601_B
T00000181,A000001,,,2026-04-12 16:37:29,INTEREST,Online,credit,143.2,CAD,POSTED,Monthly fee,card_processor,BATCH_20260601_B
T00000182,A000181,,,05/31/2026 07:24,ACH,ATM,debit,83.5,INR,Posted,Monthly fee,branch_teller,BATCH_20260601_A
T00000183,A000035,,M0061,2026-01-20 14:58:57,REFUND,Card,credit,394.13,USD,Posted,Direct deposit,core_banking,BATCH_20260601_B
T00000184,A000010,CRD000104,M0035,2026-03-31 07:00:13,POS,Card,debit,29.3,USD,Reversed,Direct deposit,core_banking,BATCH_20260601_A
T00000185,A000045,,,2026-02-09 07:04:34,ACH,Branch,debit,235.42,INR,posted ,Monthly fee,branch_teller,BATCH_20260601_B
T00000186,A000065,CRD000151,M0064,2026-03-09 21:34:42,POS,Card,debit,242.06,GBP,POSTED,Direct deposit,mobile_app,BATCH_20260601_A
T00000187,A000094,,,03/24/2026 05:53,ACH,Card,debit,7.21,EUR,Posted,Bill pay,branch_teller,BATCH_20260601_B
T00000188,A000063,,M0009,2026-05-27 10:09:01,POS,Branch,debit,288.58,INR,posted ,Purchase,branch_teller,BATCH_20260601_B
T00000189,A000099,,,03/01/2026 12:09,ACH,ATM,debit,389.35,USD,Reversed,Transfer,card_processor,BATCH_20260601_B
T00000190,A000038,CRD000133,M0079,2026-04-13 04:50:44,POS,Card,debit,3.69,CAD,Pending,Purchase,card_processor,BATCH_20260602_A
T00000191,A000010,CRD000169,M0018,01/28/2026 12:20,POS,Card,debit,89.08,GBP,Failed,Monthly fee,mobile_app,BATCH_20260601_A
T00000192,A000048,,,05/25/2026 15:18,ATM,API,debit,86.01,GBP,Failed,Purchase,branch_teller,BATCH_20260601_A
T00000193,A000068,CRD000157,M0076,05/04/2026 23:43,POS,ATM,debit,815.84,GBP,Reversed,Transfer,card_processor,BATCH_20260601_A
T00000194,A000197,,M0013,05/06/2026 07:41,POS,online ,debit,29.53,USD,posted ,Transfer,mobile_app,BATCH_20260601_B
