merchant_id,merchant_name,merchant_category,category_group,country,high_risk_flag,onboard_date
M0055,Travel Agency Merchant 55,Travel Agency,Travel,USA,N,2025-07-03
M0056,Travel Agency Merchant 56,Travel Agency,Travel,IND,0,2019-03-22
M0057,Gas Merchant 57,Gas,Travel,GBR,0,2020-05-11
M0058,Gas Merchant 58,Gas,Travel,USA,No,2019-10-09
M0059,Payroll Merchant 59,Payroll,Income,CAN,0,2018-09-28
M0060,Travel Agency Merchant 60,Travel Agency,Travel,USA,0,2019-03-07
M0061,Gas Merchant 61,Gas,Travel,GBR,No,2019-12-06
M0062,Electronics Merchant 62,Electronics,Retail,IND,No,2024-07-26
M0063,ATM Merchant 63,ATM,Cash,USA,No,2021-11-20
M0064,Gas Merchant 64,Gas,Travel,DEU,N,2024-09-24
M0065,Restaurant Merchant 65,Restaurant,Dining,GBR,N,2022-11-01
M0066,Gas Merchant 66,Gas,Travel,CAN,N,2025-11-21
M0067,Grocery Merchant 67,Grocery,Essential,USA,0,2024-01-28
M0068,Travel Agency Merchant 68,Travel Agency,Travel,USA,N,2020-07-05
M0069,Rent Merchant 69,Rent,Housing,USA,0,2019-01-22
M0070,Electronics Merchant 70,Electronics,Retail,IND,0,2021-05-28
M0071,Pharmacy Merchant 71,Pharmacy,Health,IND,0,2022-04-04
M0072,Utility Merchant 72,Utility,Bills,USA,N,2018-01-23
M0073,Electronics Merchant 73,Electronics,Retail,USA,0,2020-12-24
M0074,Utility Merchant 74,Utility,Bills,USA,N,2021-02-08
M0075,Online Marketplace Merchant 75,Online Marketplace,Retail,DEU,N,2019-06-06
M0076,Online Marketplace Merchant 76,Online Marketplace,Retail,GBR,No,2024-10-13
M0077,ATM Merchant 77,ATM,Cash,CAN,0,2024-04-22
M0078,Gas Merchant 78,GAS,Travel,USA,0,2022-09-10
M0079,Utility Merchant 79,Utility,Bills,USA,0,2023-12-28
M0080,Grocery Merchant 80,Grocery,Essential,DEU,0,2018-09-29
