loan_id,customer_id,branch_id,loan_type,origination_date,principal_amount,interest_rate,term_months,loan_status
L000032,C00039,B003,Mortgage,2023-01-12,42778.85,14.852,36,active 
L000033,C00123,B007,Auto,2022-11-23,10767.37,5.972,180,Default
L000034,C00092,B006,Personal,2025-01-17,9065.93,9.500,36,Active
L000035,C00098,B004,Small Business,2022-10-23,26603.73,15.172,60,Active
L000036,C00075,B009,Mortgage,2025-12-16,5447.91,7.804,120,Default
L000037,C00035,B004,Auto,2022-12-29,132400.41,8.341,360,Active
L000038,C00002,B003,Auto,2025-09-04,161594.98,15.399,360,Paid Off
L000039,C00066,B010,Student,2024-05-11,40671.14,15.337,60,Paid Off
L000040,C00097,B004,Personal,2024-08-31,161354.27,10.699,24,Paid Off
L000041,C00022,B010,Personal,2024-07-28,25739.21,8.462,48,Active
L000042,C00120,B004,Personal,2024-10-09,158657.40,17.011,24,Delinquent
L000043,C00142,B007,Small Business,2025-04-08,8400.24,13.905,36,Delinquent
L000044,C00006,B003,Auto,2024-09-16,14573.80,4.877,24,Paid Off
L000045,C00026,B001,Auto,2025-08-05,8679.22,17.657,48,active 
L000046,C00123,B010,Auto,2023-10-02,137523.22,18.143,48,Active
L000047,C00088,B001,Personal,2023-02-28,125719.36,16.302,360,Default
L000048,C00094,B003,Small Business,2023-06-24,11871.36,7.373,360,Active
L000049,C00033,B002,Student,2025-01-31,9676.76,14.634,24,Active
L000050,C00129,B001,Small Business,2024-08-24,54923.35,12.105,180,Default
L000051,C00014,B004,Mortgage,2023-03-06,55402.17,15.461,60,Delinquent
L000052,C00108,B008,Mortgage,2022-02-25,129544.16,18.128,120,Active
L000053,C00126,B009,Personal,2025-10-12,4926.49,13.641,180,Paid Off
L000054,C00033,B005,Auto,2022-08-05,10693.93,10.795,60,Delinquent
L000055,C00080,B002,Auto,2024-10-01,5174.34,15.059,24,Paid Off
L000056,C00103,B003,Auto,2023-01-29,50210.41,8.310,360,Paid Off
L000057,C00061,B003,Mortgage,2022-01-05,26725.88,18.089,48,Delinquent
L000058,C00027,B010,Personal,2023-11-03,54993.23,10.624,360,active 
L000059,C00125,B008,Small Business,2024-05-21,8958.24,9.594,24,Delinquent
L000060,C00109,B002,Personal,2024-06-17,24286.27,16.627,48,active 
L000061,C00063,B007,Auto,2023-05-16,226433.12,13.724,120,Paid Off
L000062,C00127,B004,Auto,2022-03-24,9565.55,11.850,48,Default
L000063,C00104,B006,Student,2024-09-12,13195.67,16.717,180,Delinquent
L000064,C00022,B002,Student,2024-12-08,28452.79,9.823,36,Active
L000065,C00071,B009,Small Business,2022-11-02,4618.55,15.637,120,Paid Off
L000066,C00004,B008,Mortgage,2023-02-21,11552.30,18.071,360,Paid Off
L000067,C00042,B007,Mortgage,2022-10-01,14913.62,8.168,180,Delinquent
L000068,C00015,B003,Small Business,2024-03-04,27738.43,17.881,24,Active
L000069,C00058,B005,Mortgage,2025-07-30,22709.13,6.830,48,Delinquent
L000070,C00059,B010,Personal,2025-09-08,25663.54,16.449,120,active 
L000071,C00072,B005,Small Business,2025-02-17,28359.95,8.142,180,Active
L000072,C00135,B002,Mortgage,2025-09-03,42883.46,11.121,360,Active
L000073,C00001,B003,Personal,2025-08-04,127186.50,12.030,60,Default
L000074,C00028,B009,Auto,2024-06-26,16206.22,7.224,180,Active
L000075,C00086,B010,Mortgage,2022-07-10,12005.96,5.414,120,Paid Off
L000076,C00132,B010,Student,2024-12-30,56768.14,15.340,360,active 
L000077,C00006,B008,Personal,2024-08-18,10959.16,12.195,24,Active
L000078,C00026,B004,Student,2022-06-20,141139.96,17.561,48,Delinquent
L000079,C00063,B001,Student,2023-01-05,158304.95,10.239,36,Paid Off
L000080,C00137,B003,Mortgage,2023-02-12,178723.20,5.044,360,Delinquent
L000081,C00143,B005,Personal,2023-09-01,4848.58,4.359,180,Default
L000082,C00091,B007,Small Business,2025-12-16,52530.59,16.855,120,Paid Off
L000083,C00023,B009,Mortgage,2024-11-21,13758.99,5.835,360,Paid Off
L000084,C00056,B004,Student,2025-10-24,202427.35,16.358,24,Delinquent
L000085,C00049,B007,Personal,2024-01-31,168096.13,8.489,24,Delinquent
L000086,C00088,B002,Small Business,2025-10-27,5935.00,8.786,60,Default
L000087,C00120,B006,Mortgage,2024-06-03,252389.05,13.186,36,Paid Off
L000088,C00026,B008,Mortgage,2022-12-31,153730.53,15.244,60,Delinquent
L000089,C00003,B002,Small Business,2024-05-06,58531.79,11.787,60,Delinquent
L000090,C00024,B007,Auto,2022-08-25,17819.51,8.554,36,Active
L000091,C00073,B009,Student,2024-07-06,9102.44,15.118,180,Active
L000092,C00127,B010,Mortgage,2024-11-14,16577.05,10.297,24,Active
L000093,C00045,B007,Mortgage,2025-05-30,10920.08,4.968,120,Paid Off
L000094,C00096,B006,Mortgage,2022-04-06,50438.05,5.494,60,Default
L000095,C00067,B010,Student,2023-01-08,59866.09,9.386,36,active 
L000096,C00058,B001,Auto,2023-04-04,206124.63,5.298,48,active 
L000097,C00145,B002,Auto,2025-09-25,51505.66,7.055,24,Active
L000098,C00149,B004,Personal,2022-04-13,44793.59,17.372,360,Active
L000099,C00106,B005,Auto,2023-03-31,10407.59,10.382,24,Active
L000100,C00037,B005,Student,2025-03-26,26038.83,16.744,48,Active
L000101,C00056,B004,Small Business,2022-04-24,5084.87,10.359,60,active 
L000102,C00040,B004,Mortgage,2025-06-17,23843.22,6.832,120,Active
L000103,C00031,B009,Student,2024-04-22,133768.45,5.118,24,Active
L000104,C00075,B008,Student,2024-11-30,48176.80,11.052,120,Active
L000105,C00082,B003,Auto,2022-12-06,277212.06,9.848,24,active 
L000106,C00140,B003,Personal,2025-05-29,14844.39,15.691,360,Paid Off
L000107,C00040,B004,Small Business,2024-12-21,4603.05,5.481,36,Default
L000108,C00057,B004,Mortgage,2025-04-01,51801.32,17.541,60,active 
L000109,C00043,B010,Student,2025-07-25,26215.00,3.656,36,Paid Off
L000110,C00138,B010,Personal,2023-02-14,5902.28,10.950,24,Delinquent
L000111,C00084,B007,Student,2023-01-08,10352.24,15.435,60,Delinquent
L000112,C00042,B006,Mortgage,2022-09-23,52948.08,8.570,120,Paid Off
L000113,C00076,B003,Mortgage,2022-03-08,5165.59,11.593,180,active 
L000114,C00045,B005,Student,2022-04-20,299860.64,16.575,60,active 
L000115,C00101,B009,Mortgage,2024-03-31,143873.08,4.739,24,Paid Off
L000116,C00114,B010,Mortgage,2023-05-03,9130.62,13.567,36,active 
L000117,C00091,B002,Personal,2024-11-16,15289.67,18.157,180,Paid Off
L000118,C00093,B008,Student,2022-08-08,248912.16,4.406,120,active 
L000119,C00004,B002,Personal,2024-07-26,260643.21,14.865,120,Paid Off
L000120,C00042,B007,Mortgage,2024-09-14,54907.97,17.286,180,Default
