asset_id,site_id,asset_type,criticality,reading_count,avg_temperature_c,max_temperature_c,avg_vibration_mm_s,max_vibration_mm_s,anomaly_count,trip_count,anomaly_rate
AST000037,SITE0005,Feeder,High,1464,48.330151639344265,87.135,1.799636612021858,3.794,538,271,0.3674863387978142
AST000038,SITE0005,Feeder,Medium,1462,48.30566963064295,105.409,1.8191484268125853,4.116,495,255,0.3385772913816689
AST000039,SITE0005,Feeder,High,1463,47.89532262474368,83.161,1.7837573479152429,3.73,481,244,0.3287764866712235
AST000040,SITE0005,Feeder,Medium,1462,48.16058481532147,97.25,1.7982270861833105,3.464,481,247,0.3290013679890561
AST000041,SITE0005,Transformer,Low,1464,47.93892281420765,96.516,1.7932780054644808,3.628,456,244,0.3114754098360656
AST000042,SITE0006,Solar Inverter,Critical,1460,41.59699520547945,95.562,1.2111342465753425,2.346,494,245,0.33835616438356164
AST000043,SITE0006,Solar Inverter,Critical,1461,42.309304585900065,90.322,1.1920622861054073,2.225,483,251,0.33059548254620125
AST000044,SITE0006,Solar Inverter,Low,1459,41.77173063742289,91.125,1.1840616860863606,2.142,521,268,0.3570938999314599
AST000045,SITE0006,Solar Inverter,Medium,1462,41.455108071135434,72.035,1.1970991792065664,2.179,488,248,0.3337893296853625
AST000046,SITE0006,Solar Inverter,High,1460,41.83882808219178,90.162,1.2023335616438355,2.213,518,245,0.3547945205479452
AST000047,SITE0006,Solar Inverter,High,1462,41.94400068399453,72.169,1.1908433652530779,2.164,485,244,0.3317373461012312
AST000048,SITE0006,Solar Inverter,Medium,1460,42.21563150684931,88.668,1.1955143835616437,2.195,478,251,0.3273972602739726
AST000049,SITE0006,Solar Inverter,Medium,1463,41.98645796308954,75.245,1.1897006151742993,2.083,474,236,0.3239917976760082
AST000050,SITE0007,Wind Turbine,Medium,1463,35.12697060833903,80.157,2.794948051948052,5.878,498,254,0.34039644565960353
AST000051,SITE0007,Wind Turbine,Low,1461,34.830511293634494,78.06,2.8049657768651612,5.573,493,248,0.33744010951403147
AST000052,SITE0007,Wind Turbine,Low,1459,35.0579067854695,68.553,2.756088416723783,5.725,521,253,0.3570938999314599
AST000053,SITE0007,Wind Turbine,Low,1459,35.102490747087046,79.521,2.8525729952021934,6.112,494,232,0.33858807402330365
AST000054,SITE_BAD,Wind Turbine,Medium,1463,35.0333978127136,66.841,2.809699248120301,5.455,503,258,0.3438140806561859
AST000055,SITE0007,Wind Turbine,Medium,1463,35.23631852358168,88.438,2.8162802460697196,5.463,537,280,0.367053998632946
AST000056,SITE0007,Wind Turbine,Low,1462,35.14996853625171,67.603,2.7940410396716824,5.667,518,236,0.3543091655266758
AST000057,SITE0007,Wind Turbine,Medium,1459,35.02646881425634,53.114,2.797877998629198,5.818,505,253,0.3461274845784784
AST000058,SITE0008,Transformer,Medium,1462,48.334913132694936,84.548,1.7961231190150477,4.164,508,255,0.34746922024623805
AST000059,SITE0008,Feeder,Medium,1462,48.03238714090288,85.276,1.7698584131326949,3.703,494,244,0.3378932968536252
AST000060,SITE0008,Transformer,Critical,1461,48.24486652977413,119.097,1.8078432580424366,3.408,466,236,0.3189596167008898
AST000061,SITE0008,Feeder,Low,1463,47.71672932330827,79.137,1.8071715652768283,3.899,466,231,0.31852358168147643
AST000062,SITE0008,Feeder,Low,1463,47.90401298701298,88.685,1.8011285030758715,3.815,515,241,0.3520164046479836
AST000063,SITE0008,Transformer,Medium,1463,47.94236773752563,82.103,1.8196247436773751,3.829,489,253,0.3342447026657553
AST000064,SITE0008,Transformer,Medium,1464,48.45265368852459,102.72,1.8234077868852459,3.902,513,246,0.35040983606557374
AST000065,SITE0008,Transformer,Medium,1459,48.226261823166546,99.762,1.8157292666209732,3.712,510,246,0.34955448937628514
AST000066,SITE0008,Feeder,Critical,1464,47.91586065573771,101.48,1.7921400273224044,4.218,464,234,0.31693989071038253
AST000067,SITE0008,Feeder,Low,1460,47.96022260273973,82.544,1.8022732876712328,3.74,491,239,0.3363013698630137
AST000068,SITE0009,Battery Rack,Critical,1462,31.034393296853626,73.486,0.5028378932968536,1.106,472,236,0.3228454172366621
AST000069,SITE0009,Battery Rack,High,1463,31.279544771018458,87.863,0.49285645933014355,1.176,490,240,0.3349282296650718
AST000070,SITE0009,Battery Rack,High,1460,30.89187123287671,76.633,0.4926356164383562,1.169,457,216,0.313013698630137
AST000071,SITE0009,Battery Rack,Low,1464,30.905455601092896,82.274,0.4993217213114754,1.095,442,226,0.30191256830601093
AST000072,SITE0009,Battery Rack,Critical,1463,30.874602870813398,55.702,0.4967751196172249,1.139,491,251,0.33561175666438825
AST000073,SITE0009,Battery Rack,Medium,1464,31.022275956284155,67.898,0.5024965846994536,1.112,489,250,0.33401639344262296
AST000074,SITE0009,Battery Rack,High,1463,30.999661654135338,87.196,0.49736978810663024,1.239,486,247,0.3321941216678059
AST000075,SITE0010,Feeder,Critical,1464,48.61529303278689,101.37,1.8077677595628416,3.695,510,224,0.3483606557377049
AST000076,SITE0010,Feeder,Critical,1462,47.78761764705882,106.911,1.7989268125854994,3.434,516,253,0.35294117647058826
AST000077,SITE0010,Feeder,Medium,1460,48.30627328767123,92.471,1.8178595890410958,3.525,500,236,0.3424657534246575
AST000078,SITE0010,Feeder,High,1463,48.2903014354067,99.787,1.8131141490088858,3.734,477,243,0.32604237867395763
AST000079,SITE0010,Transformer,Critical,1462,48.088075923392616,113.539,1.7729377564979478,3.675,481,227,0.3290013679890561
AST000080,SITE0010,Feeder,Low,1462,47.77555677154583,106.573,1.815250341997264,3.753,465,255,0.3180574555403557
