event_id,region,event_start_ts,event_end_ts,target_reduction_mw,actual_reduction_mw,event_status,achievement_pct,target_met_flag
DRE000018,Northeast,2026-04-10 21:57:16,2026-04-11 00:57:16,103.346,107.724,Cancelled,1.0423625491068838,True
DRE000019,Midwest,2026-05-25 10:46:30,2026-05-25 14:46:30,31.355,101.307,Cancelled,3.2309679476957425,True
DRE000020,Northeast,2026-04-22 09:02:46,2026-04-22 10:02:46,111.75,101.981,Active,0.9125816554809842,False
DRE000021,West,2026-04-03 04:49:56,2026-04-03 08:49:56,37.623,52.366,Completed,1.3918613614012705,True
DRE000022,South,2026-04-08 18:58:06,2026-04-08 22:58:06,20.229,64.25,Active,3.1761332740125563,True
DRE000023,South,2026-05-06 10:23:47,2026-05-06 14:23:47,34.763,82.656,Active,2.3777004286166328,True
DRE000024,West,2026-04-30 13:02:32,2026-04-30 18:02:32,107.566,61.294,Active,0.5698268969748805,False
DRE000025,Midwest,2026-04-18 11:22:54,2026-04-18 15:22:54,100.658,115.041,Completed,1.1428897852132964,True
DRE000026,Northeast,2026-04-15 05:58:47,2026-04-15 08:58:47,85.695,122.762,Completed,1.4325456561059573,True
DRE000027,West,2026-05-02 06:24:30,2026-05-02 07:24:30,50.31,67.598,Completed,1.343629497117869,True
DRE000028,South,2026-05-12 15:17:07,2026-05-12 18:17:07,110.572,3.59,Active,0.032467532467532464,False
DRE000029,Midwest,2026-05-20 02:00:32,2026-05-20 05:00:32,81.479,12.273,Active,0.15062776911842315,False
DRE000030,Northeast,2026-05-10 13:27:22,2026-05-10 14:27:22,68.625,76.748,Completed,1.118367941712204,True
DRE000031,Northeast,2026-04-27 21:18:23,2026-04-28 02:18:23,96.431,115.855,Active,1.2014290010473812,True
DRE000032,Northeast,2026-05-29 08:21:50,2026-05-29 13:21:50,50.932,110.259,Active,2.1648276132883058,True
DRE000033,West,2026-04-25 14:33:47,2026-04-25 19:33:47,48.677,100.71,Active,2.068944265258746,True
DRE000034,South,2026-05-04 23:52:08,2026-05-05 01:52:08,26.219,6.486,Completed,0.24737785575346122,False
DRE000035,South,2026-04-05 08:14:45,2026-04-05 11:14:45,107.887,9.909,Cancelled,0.09184609823240984,False
DRE000036,Midwest,2026-05-03 21:24:27,2026-05-04 01:24:27,73.765,63.919,Completed,0.8665220633091574,False
DRE000037,Northeast,2026-04-11 07:56:36,2026-04-11 12:56:36,19.484,127.314,Completed,6.534284541161978,True
DRE000038,South,2026-04-25 02:04:44,2026-04-25 03:04:44,90.009,36.135,Completed,0.4014598540145985,False
DRE000039,Northeast,2026-04-04 10:31:56,2026-04-04 14:31:56,32.302,99.696,Cancelled,3.0863723608445297,True
DRE000040,Northeast,2026-05-26 23:45:51,2026-05-27 02:45:51,58.976,67.098,Completed,1.1377170374389582,True
DRE000041,West,2026-05-17 04:14:32,2026-05-17 07:14:32,106.469,45.066,Active,0.42327813729818076,False
DRE000042,South,2026-04-25 00:32:12,2026-04-25 03:32:12,110.75,100.22,Active,0.9049209932279909,False
DRE000043,Midwest,2026-05-19 07:40:07,2026-05-19 08:40:07,83.57,47.205,Completed,0.5648558095010171,False
DRE000044,Northeast,2026-05-30 11:31:45,2026-05-30 16:31:45,79.711,0.374,Active,0.004691949668176287,False
DRE000045,Northeast,2026-04-24 03:40:06,2026-04-24 08:40:06,81.853,120.906,Active,1.4771114070345621,True
DRE000046,Northeast,2026-05-28 08:24:08,2026-05-28 10:24:08,70.855,78.947,Completed,1.1142050666854844,True
DRE000047,West,2026-05-09 16:44:42,2026-05-09 18:44:42,38.988,17.992,Active,0.4614753257412538,False
DRE000048,Northeast,2026-05-27 08:22:51,2026-05-27 10:22:51,71.315,9.447,Active,0.13246862511393115,False
DRE000049,Midwest,2026-05-16 04:01:38,2026-05-16 06:01:38,57.308,70.755,Active,1.2346443777483074,True
DRE000050,West,2026-05-02 06:29:55,2026-05-02 09:29:55,99.235,49.759,Completed,0.5014259081977125,False
DRE000051,West,2026-04-06 14:43:10,2026-04-06 15:43:10,10.098,25.006,Completed,2.476331946920182,True
DRE000052,Northeast,2026-04-30 22:31:08,2026-04-30 23:31:08,81.961,124.0,Completed,1.512914678932663,True
DRE000053,Northeast,2026-04-28 08:06:45,2026-04-28 11:06:45,88.516,2.81,Completed,0.03174567309864883,False
DRE000054,Northeast,2026-04-01 10:58:20,2026-04-01 12:58:20,70.809,51.441,Active,0.7264754480362666,False
DRE000055,Northeast,2026-04-12 15:40:16,2026-04-12 19:40:16,104.064,67.145,Completed,0.6452279366543665,False
DRE000056,Midwest,2026-05-10 10:42:07,2026-05-10 14:42:07,90.613,70.39,Cancelled,0.7768201030757176,False
DRE000057,South,2026-05-22 10:33:50,2026-05-22 13:33:50,77.636,40.878,Cancelled,0.5265340821268484,False
DRE000058,South,2026-05-05 20:25:13,2026-05-05 22:25:13,54.688,91.669,Cancelled,1.6762178174370976,True
DRE000059,South,2026-04-01 12:30:07,2026-04-01 14:30:07,19.545,12.355,Completed,0.6321309797902277,False
DRE000060,Northeast,2026-04-19 13:52:41,2026-04-19 18:52:41,70.66,101.846,Completed,1.44135295782621,True
DRE000061,Northeast,2026-05-03 10:25:19,2026-05-03 11:25:19,111.729,14.822,Completed,0.1326602762040294,False
DRE000062,West,2026-04-06 20:28:44,2026-04-06 23:28:44,111.722,72.438,Cancelled,0.6483772220332612,False
DRE000063,South,2026-04-24 04:05:02,2026-04-24 08:05:02,48.71,22.071,Cancelled,0.4531102443030179,False
DRE000064,Midwest,2026-05-30 11:12:04,2026-05-30 14:12:04,96.458,68.511,Active,0.7102676812706048,False
DRE000065,South,2026-04-26 02:48:06,2026-04-26 04:48:06,105.256,0.9,Active,0.008550581439537889,False
DRE000066,West,2026-05-05 19:38:19,2026-05-05 23:38:19,11.981,127.226,Completed,10.618980051748602,True
DRE000067,West,2026-05-16 09:02:33,2026-05-16 12:02:33,27.926,68.014,Active,2.4355081286256537,True
DRE000068,Northeast,2026-04-11 10:32:43,2026-04-11 15:32:43,90.055,48.255,Cancelled,0.5358392093720504,False
DRE000069,Northeast,2026-05-30 22:47:35,2026-05-31 02:47:35,28.559,14.531,Completed,0.5088063307538779,False
DRE000070,Midwest,2026-04-20 00:22:43,2026-04-20 02:22:43,114.492,129.063,Cancelled,1.127266533906299,True
DRE000071,Midwest,2026-04-03 11:13:39,2026-04-03 14:13:39,15.085,120.322,Completed,7.976267815710971,True
DRE000072,South,2026-04-11 07:35:19,2026-04-11 12:35:19,74.461,77.656,Completed,1.0429083681390259,True
DRE000073,West,2026-05-15 08:05:37,2026-05-15 09:05:37,32.371,89.715,Completed,2.7714621111488675,True
DRE000074,Northeast,2026-04-15 02:50:43,2026-04-15 03:50:43,38.774,111.347,Cancelled,2.8716923711765614,True
DRE000075,Northeast,2026-04-23 16:47:41,2026-04-23 20:47:41,85.103,80.041,Active,0.9405191356356415,False
DRE000076,Midwest,2026-04-05 23:49:54,2026-04-06 04:49:54,77.888,12.093,Completed,0.15526140098603122,False
DRE000077,Northeast,2026-04-30 02:22:36,2026-04-30 05:22:36,118.055,26.695,Completed,0.22612341705137434,False
DRE000078,West,2026-04-11 13:32:34,2026-04-11 14:32:34,19.823,104.219,Active,5.257478686374413,True
DRE000079,South,2026-04-29 06:36:45,2026-04-29 08:36:45,97.628,5.115,Active,0.052392756176506745,False
DRE000080,West,2026-04-18 05:40:46,2026-04-18 09:40:46,87.649,123.311,Completed,1.4068728679163482,True
