asset_id,maintenance_type,priority,work_order_count,completed_count,avg_completion_days,labor_hours,parts_cost
AST000033,Emergency,Low,1,1,1.0,24.26,18537.87
AST000033,Preventive,Critical,1,0,40.0,57.17,9045.18
AST000034,Corrective,Medium,1,0,2.0,45.32,40829.59
AST000034,Preventive,Critical,1,0,,3.65,1873.69
AST000034,Preventive,Low,1,0,40.0,48.92,19772.32
AST000035,Corrective,Low,1,0,2.0,0.61,26006.64
AST000035,Emergency,Critical,1,0,2.0,65.41,8837.18
AST000035,Emergency,High,1,0,40.0,54.1,18256.74
AST000035,Inspection,High,1,0,,55.02,31579.67
AST000035,Inspection,Low,1,0,20.0,67.08,33613.03
AST000035,Preventive,Critical,1,0,10.0,27.77,42986.87
AST000035,Preventive,Medium,1,0,1.0,31.62,37202.11
AST000036,Corrective,Low,1,0,10.0,43.91,9561.75
AST000036,Preventive,High,1,1,2.0,50.56,35204.88
AST000036,Preventive,Low,1,0,10.0,64.36,8907.15
AST000036,Preventive,Medium,2,1,3.0,56.6,65731.54000000001
AST000037,Corrective,High,1,0,40.0,34.4,43497.81
AST000037,Corrective,Medium,1,0,20.0,41.96,24422.49
AST000037,Preventive,Low,1,1,20.0,57.71,40294.87
AST000037,Preventive,Medium,1,0,10.0,9.91,29485.33
AST000038,Emergency,Medium,1,0,1.0,2.39,793.59
AST000038,Inspection,Medium,1,0,10.0,77.42,14805.88
AST000038,Preventive,Low,1,0,20.0,6.15,8849.97
AST000039,Preventive,High,1,0,20.0,13.17,16722.15
AST000040,Emergency,Medium,1,0,2.0,26.6,26797.18
AST000040,Preventive,Low,1,0,20.0,23.32,9987.16
AST000040,Preventive,Medium,2,0,21.0,62.269999999999996,60553.0
AST000042,Corrective,Medium,1,1,,45.48,38424.86
AST000042,Preventive,Critical,1,1,20.0,63.9,31047.83
AST000042,Preventive,High,1,0,10.0,54.91,12153.85
AST000043,Emergency,Medium,1,0,10.0,21.99,12952.23
AST000044,Emergency,Critical,1,0,2.0,71.1,35831.86
AST000044,Preventive,Critical,1,0,5.0,54.74,24530.17
AST000044,Preventive,Low,1,0,,28.34,42668.98
AST000045,Corrective,Medium,2,2,1.5,33.2,62223.65
AST000045,Emergency,Critical,1,0,20.0,6.54,31965.09
AST000045,Preventive,Critical,1,1,1.0,26.1,21257.85
AST000045,Preventive,High,1,0,5.0,64.88,34955.85
AST000045,Preventive,Low,1,0,2.0,34.79,18896.51
AST000046,Corrective,Critical,1,1,1.0,64.04,19434.39
AST000046,Emergency,Medium,1,1,5.0,63.6,32787.54
AST000046,Inspection,High,1,1,1.0,49.96,28655.99
AST000046,Preventive,Medium,1,0,40.0,68.29,25438.97
AST000047,Emergency,Low,1,0,1.0,24.47,12813.05
AST000047,Inspection,Low,1,0,10.0,69.74,34336.48
AST000047,Preventive,Critical,1,0,20.0,24.81,1113.14
AST000048,Preventive,Critical,1,0,5.0,5.46,11963.22
AST000049,Emergency,Medium,1,0,2.0,63.99,34265.09
AST000049,Preventive,Critical,1,0,40.0,57.76,11419.24
AST000050,Preventive,Medium,1,0,2.0,71.01,30056.56
AST000051,Inspection,High,1,0,5.0,27.69,44131.99
AST000051,Inspection,Medium,1,0,10.0,72.75,814.17
AST000052,Corrective,High,1,0,2.0,38.91,38369.67
AST000052,Corrective,Low,1,0,40.0,63.07,41507.54
AST000052,Emergency,Low,1,0,10.0,66.97,37329.56
AST000052,Preventive,Critical,1,0,10.0,78.17,41721.15
AST000053,Emergency,Medium,1,0,20.0,12.18,24900.76
AST000053,Preventive,Critical,1,0,2.0,45.45,30713.1
AST000053,Preventive,Medium,1,0,10.0,0.0,3503.95
AST000054,Corrective,Medium,1,0,1.0,13.77,9389.57
AST000055,Corrective,Medium,1,1,2.0,59.03,12991.96
AST000055,Preventive,Critical,1,0,1.0,3.02,20945.06
AST000055,Preventive,Low,1,1,40.0,17.08,18835.35
AST000055,Preventive,Medium,1,0,2.0,42.2,3508.37
AST000056,Corrective,Low,1,0,40.0,20.34,34308.2
AST000056,Preventive,High,1,1,20.0,24.81,44355.95
AST000056,Preventive,Medium,1,0,2.0,52.75,9896.25
AST000057,Emergency,Critical,1,0,1.0,64.11,15622.94
AST000057,Preventive,Critical,1,0,5.0,21.73,37531.13
AST000058,Corrective,Critical,1,1,40.0,56.84,27270.65
AST000059,Emergency,Critical,1,1,10.0,28.0,21676.15
AST000059,Preventive,High,1,0,20.0,54.21,13484.56
AST000059,Preventive,Medium,1,0,5.0,23.66,11821.15
AST000060,Emergency,Medium,1,0,40.0,64.65,35752.59
AST000061,Corrective,Low,1,0,5.0,2.35,29771.77
AST000061,Inspection,Critical,1,0,2.0,62.74,34901.68
AST000061,Preventive,Critical,2,1,7.5,44.16,78012.13
AST000062,Corrective,High,1,0,20.0,77.66,24969.94
AST000062,Emergency,Medium,1,0,10.0,25.03,15444.36
AST000063,Emergency,High,1,1,2.0,52.38,1214.25
AST000063,Preventive,Medium,1,0,2.0,40.71,16267.25
AST000064,Inspection,High,1,0,2.0,77.65,27776.85
AST000064,Inspection,Low,1,0,1.0,22.66,18984.1
AST000064,Preventive,Low,1,0,1.0,2.3,22285.96
AST000064,Preventive,Medium,1,0,20.0,69.34,16787.54
AST000065,Preventive,Medium,1,0,2.0,50.43,24301.79
AST000066,Emergency,Medium,1,0,40.0,78.24,37501.1
AST000066,Inspection,High,1,0,,19.16,17998.57
AST000066,Preventive,Medium,1,0,10.0,68.18,24268.98
AST000067,Corrective,Critical,1,1,5.0,50.57,34319.8
AST000067,Emergency,Medium,1,0,40.0,79.07,29192.51
AST000068,Preventive,Medium,1,0,1.0,39.85,41545.62
AST000069,Preventive,Low,2,0,5.0,23.68,62204.58
AST000069,Preventive,Medium,1,0,10.0,71.83,4916.92
AST000070,Corrective,Low,1,0,40.0,38.17,29056.52
AST000070,Preventive,Critical,2,0,5.0,92.6,59976.93
AST000071,Corrective,Medium,1,1,40.0,25.13,27478.41
AST000071,Emergency,Critical,1,0,10.0,9.69,21064.5
AST000071,Preventive,Medium,1,0,,22.51,39220.25
AST000072,Corrective,Medium,1,1,10.0,63.01,23466.7
AST000072,Inspection,Medium,1,0,10.0,9.54,27345.11
AST000072,Preventive,Critical,1,0,2.0,47.59,35363.21
AST000072,Preventive,High,1,0,2.0,21.35,29099.99
AST000072,Preventive,Medium,1,0,1.0,49.41,3880.9
AST000073,Inspection,High,1,0,20.0,36.35,39089.95
AST000073,Inspection,Medium,1,0,1.0,67.46,39601.98
AST000074,Corrective,High,1,1,10.0,23.68,20047.25
AST000074,Emergency,Low,1,0,10.0,71.39,10460.62
AST000074,Preventive,Low,1,0,5.0,9.53,11324.6
AST000074,Preventive,Medium,2,0,5.0,115.69999999999999,23725.43
AST000075,Corrective,Medium,2,0,10.0,65.42999999999999,30723.4
AST000075,Emergency,Critical,1,1,20.0,11.01,17350.99
AST000075,Emergency,Medium,1,0,5.0,10.27,22175.55
AST000075,Preventive,High,1,1,1.0,36.36,32440.23
AST000075,Preventive,Low,1,0,,32.91,4642.03
AST000076,Corrective,Critical,1,0,40.0,16.62,30486.2
AST000076,Inspection,High,1,0,5.0,17.38,6768.37
AST000076,Inspection,Low,1,0,20.0,57.59,33478.74
AST000077,Preventive,Medium,1,0,,11.56,10582.47
AST000078,Corrective,Critical,1,0,40.0,51.94,31618.72
AST000079,Emergency,High,1,0,10.0,52.17,32919.25
AST000079,Inspection,High,1,0,5.0,49.3,5646.6
AST000080,Inspection,Critical,2,1,10.0,89.28999999999999,18726.28
AST000080,Preventive,High,1,0,,33.23,9859.28
AST000081,Emergency,Medium,1,0,40.0,68.04,39498.15
AST000081,Inspection,Critical,1,1,20.0,57.3,33962.94
AST000081,Inspection,Medium,1,0,2.0,24.96,27465.12
AST000082,Corrective,Low,2,1,10.0,102.56,71435.29000000001
AST000082,Corrective,Medium,1,0,5.0,77.0,5902.68
AST000082,Inspection,Low,2,2,10.0,41.47,17069.31
AST000082,Preventive,Medium,1,0,10.0,52.0,26876.72
AST000083,Emergency,Low,1,0,2.0,64.06,11914.21
AST000083,Emergency,Medium,1,0,10.0,49.05,15669.05
AST000083,Preventive,Critical,1,0,20.0,49.07,22718.88
AST000083,Preventive,Medium,1,0,,0.62,15745.9
AST000084,Preventive,High,2,0,20.0,24.939999999999998,35928.88
AST000084,Preventive,Low,1,0,20.0,65.37,44240.45
AST000084,Preventive,Medium,2,0,21.0,81.7,36372.4
AST000085,Corrective,High,1,0,,49.4,13183.8
AST000085,Emergency,Low,1,0,40.0,76.73,38454.62
AST000085,Preventive,Critical,1,0,5.0,47.85,22356.71
AST000085,Preventive,Low,1,0,2.0,72.13,36071.29
AST000085,Preventive,Medium,1,0,,50.04,30676.41
AST000086,Emergency,Medium,1,0,2.0,69.41,22703.31
AST000086,Inspection,High,1,0,20.0,33.86,32166.11
AST000086,Preventive,Medium,1,0,1.0,54.88,16596.52
AST000087,Emergency,Low,1,0,2.0,25.19,39825.62
AST000087,Emergency,Medium,1,0,1.0,44.68,8547.69
AST000087,Preventive,Medium,1,0,40.0,51.53,2839.62
AST000088,Emergency,Medium,1,1,,52.53,34441.71
AST000088,Inspection,Medium,1,0,1.0,51.56,17961.83
AST000089,Emergency,Medium,2,1,1.0,101.12,27297.18
AST000089,Inspection,Medium,1,1,,29.26,5974.95
AST000089,Preventive,Critical,1,0,2.0,66.34,43054.85
AST000090,Inspection,Low,1,0,40.0,23.98,8769.27
AST000090,Preventive,Medium,2,1,20.5,137.9,52738.31
AST000091,Corrective,Medium,1,0,20.0,47.45,39889.92
AST000091,Preventive,Medium,1,1,5.0,51.49,14512.75
AST000092,Emergency,Critical,1,0,1.0,46.3,38284.93
AST000092,Inspection,Critical,1,0,1.0,79.14,14275.37
AST000092,Preventive,Critical,1,0,10.0,38.2,21825.7
AST000092,Preventive,Low,1,0,,10.34,37969.69
AST000093,Emergency,Medium,1,0,,79.66,1357.28
AST000093,Preventive,High,1,0,,32.56,33791.82
AST000093,Preventive,Medium,3,1,33.333333333333336,196.51,80081.7
AST000094,Corrective,Critical,1,0,40.0,56.35,43491.35
AST000094,Emergency,Critical,1,0,40.0,17.61,6436.33
AST000095,Preventive,High,2,1,5.0,68.3,80869.01999999999
AST000096,Emergency,High,1,0,5.0,77.9,44354.69
AST000096,Preventive,Low,1,0,5.0,39.77,26495.83
AST000096,Preventive,Medium,1,0,2.0,50.41,34686.8
AST000097,Corrective,Medium,1,0,40.0,74.98,32153.59
AST000097,Inspection,Medium,1,0,2.0,39.57,2444.84
AST000097,Preventive,Critical,1,0,2.0,69.47,19233.64
AST000098,Inspection,Medium,1,1,20.0,78.57,44684.81
AST000098,Preventive,Critical,1,0,10.0,3.24,27836.32
AST000100,Corrective,High,1,0,40.0,17.35,4096.87
AST000100,Corrective,Medium,1,0,2.0,61.03,41796.07
AST000100,Emergency,Medium,1,1,10.0,66.88,4244.08
AST000100,Preventive,Critical,2,0,1.5,35.92,34275.43
AST000100,Preventive,Medium,2,1,1.0,40.28,47091.149999999994
AST000101,Corrective,High,1,1,2.0,72.69,41603.17
AST000101,Preventive,Critical,1,0,2.0,12.4,1367.1
AST000101,Preventive,Medium,2,1,2.0,125.44,53010.58
AST000102,Corrective,Critical,1,0,2.0,1.35,3836.71
AST000102,Emergency,Critical,1,0,20.0,20.18,8708.69
AST000102,Preventive,Low,1,0,40.0,19.62,37801.43
AST000103,Corrective,Low,1,0,,51.53,4575.11
AST000103,Inspection,Medium,1,0,10.0,3.12,8642.69
AST000104,Inspection,Critical,1,0,5.0,63.45,12584.24
AST000104,Preventive,Critical,1,0,20.0,67.83,6661.93
AST000105,Emergency,Medium,4,2,4.5,240.25,100582.23
AST000106,Emergency,Medium,1,0,2.0,3.24,30653.64
AST000106,Inspection,Medium,1,0,1.0,17.01,3284.93
AST000106,Preventive,High,1,1,1.0,72.6,8626.88
AST000106,Preventive,Low,1,0,10.0,32.41,36031.88
AST000106,Preventive,Medium,2,1,25.0,112.53,45586.020000000004
AST000107,Corrective,Medium,1,0,2.0,37.4,36069.17
AST000108,Corrective,Medium,1,0,,17.53,9286.52
AST000109,Corrective,High,1,0,20.0,23.86,6430.89
AST000109,Emergency,High,2,0,12.5,111.57999999999998,18155.010000000002
AST000109,Preventive,High,1,0,5.0,60.31,12754.57
AST000110,Corrective,High,1,0,,2.49,14414.53
AST000110,Inspection,Critical,1,1,2.0,75.11,9821.69
AST000111,Inspection,Critical,1,1,,25.71,31600.02
AST000111,Inspection,High,1,0,20.0,56.74,42709.83
AST000112,Inspection,Medium,1,0,,63.49,40069.92
AST000112,Preventive,Medium,1,0,2.0,65.1,38773.84
AST000113,Corrective,High,1,1,5.0,27.19,43057.72
AST000113,Preventive,Low,1,0,10.0,74.79,7387.33
AST000113,Preventive,Medium,1,1,20.0,33.34,7083.28
AST000114,Preventive,Low,1,0,1.0,34.62,3639.61
AST000115,Preventive,High,1,0,5.0,67.71,1460.92
AST000115,Preventive,Medium,1,0,40.0,0.66,18299.98
AST000116,Corrective,Critical,1,0,,37.58,36335.3
AST000116,Corrective,Medium,2,0,12.5,103.16,27790.04
AST000116,Emergency,Critical,1,0,20.0,3.4,42316.32
AST000116,Preventive,Critical,1,0,10.0,31.95,28865.76
AST000116,Preventive,Low,1,0,2.0,32.43,11714.51
AST000117,Emergency,Medium,1,0,2.0,1.17,35950.21
AST000117,Inspection,Low,1,0,5.0,72.68,44057.8
AST000117,Inspection,Medium,1,0,20.0,79.31,33686.17
AST000118,Preventive,Critical,1,0,1.0,14.11,42758.36
AST000118,Preventive,High,1,0,,44.93,2004.02
AST000119,Emergency,Critical,1,0,10.0,12.93,32910.71
AST000119,Emergency,Medium,1,0,20.0,52.24,38076.68
AST000119,Preventive,High,1,0,10.0,77.59,41087.45
AST000120,Corrective,Medium,1,0,1.0,69.78,17407.36
AST000120,Emergency,Critical,1,0,2.0,49.99,17550.83
AST000120,Inspection,High,1,1,20.0,49.29,30227.0
AST000120,Preventive,Low,1,0,10.0,66.9,18557.26
AST000121,Emergency,Critical,1,1,2.0,13.16,14664.11
AST000121,Emergency,High,1,1,20.0,8.33,12643.81
AST000121,Emergency,Medium,1,1,,35.15,32921.06
AST000121,Inspection,Critical,1,1,20.0,74.15,19418.88
AST000123,Corrective,Medium,2,2,15.0,63.39,39641.34
AST000123,Inspection,High,1,0,2.0,4.68,478.14
AST000123,Preventive,Low,1,0,2.0,79.31,44945.62
AST000124,Emergency,Medium,1,0,5.0,66.79,35805.23
AST000124,Inspection,Critical,1,0,20.0,10.51,6955.17
AST000124,Preventive,Critical,2,1,15.0,76.5,4406.6900000000005
AST000124,Preventive,High,1,1,5.0,77.43,8724.1
AST000124,Preventive,Medium,2,0,25.0,90.92,29855.449999999997
AST000125,Emergency,High,1,0,40.0,44.61,12925.93
AST000125,Preventive,Critical,1,0,1.0,58.84,19307.62
AST000125,Preventive,Low,1,0,10.0,27.19,22773.1
AST000126,Preventive,Low,1,0,40.0,37.7,20752.55
AST000126,Preventive,Medium,1,0,,11.83,19846.28
AST000127,Emergency,High,1,1,5.0,14.31,30204.53
AST000127,Emergency,Medium,1,1,1.0,22.05,3234.59
AST000127,Inspection,Medium,1,0,40.0,51.99,33673.69
AST000127,Preventive,Low,1,0,40.0,12.36,27918.3
AST000128,Corrective,Medium,1,1,20.0,79.26,43000.65
AST000128,Emergency,Low,1,1,,70.88,11597.24
AST000128,Emergency,Medium,1,0,10.0,65.11,35000.01
AST000128,Inspection,Low,1,1,5.0,50.13,44097.7
AST000128,Inspection,Medium,1,0,10.0,18.69,37828.13
AST000128,Preventive,High,1,0,20.0,56.8,28804.43
AST000129,Corrective,High,1,0,20.0,54.66,19508.24
AST000129,Emergency,Medium,1,0,1.0,52.18,23442.5
AST000129,Inspection,Medium,1,1,5.0,12.07,27969.59
AST000130,Inspection,Low,1,0,10.0,69.2,39997.68
AST000130,Preventive,Low,1,0,2.0,3.61,42865.35
AST000130,Preventive,Medium,2,1,5.0,57.77,40546.06
AST000131,Corrective,Critical,1,0,1.0,3.28,31383.6
AST000131,Corrective,Medium,1,0,1.0,32.97,4996.52
AST000131,Emergency,Critical,1,0,40.0,25.16,14192.36
AST000131,Emergency,Low,1,0,10.0,13.84,24736.33
AST000132,Corrective,Low,1,0,40.0,48.98,42419.27
AST000132,Corrective,Medium,1,0,,52.05,11214.88
AST000132,Preventive,Low,1,0,5.0,7.85,21834.94
AST000133,Emergency,Critical,1,0,2.0,45.76,6773.35
AST000133,Emergency,Low,1,1,40.0,1.61,35281.63
AST000133,Emergency,Medium,1,0,20.0,34.65,24245.3
AST000133,Inspection,High,1,0,5.0,53.42,25762.5
AST000133,Preventive,Critical,2,0,2.0,92.36,26398.510000000002
AST000133,Preventive,Medium,2,0,3.5,51.099999999999994,53520.81
AST000134,Inspection,Medium,1,0,1.0,13.97,39682.8
AST000135,Inspection,Medium,1,0,10.0,72.59,27788.84
AST000135,Preventive,Low,1,0,10.0,3.14,43508.69
AST000136,Corrective,Medium,1,0,5.0,68.84,36474.65
AST000136,Inspection,High,1,0,40.0,73.66,36158.34
AST000136,Inspection,Low,1,0,1.0,48.65,19174.87
AST000136,Preventive,High,1,0,1.0,24.2,12867.67
AST000136,Preventive,Medium,1,0,1.0,75.1,30913.15
AST000137,Preventive,Medium,2,1,40.0,17.28,46333.22
AST000138,Inspection,High,1,0,10.0,78.1,28727.98
AST000138,Preventive,Critical,1,0,40.0,37.02,21706.45
AST000138,Preventive,Low,1,1,5.0,26.26,18692.81
AST000139,Corrective,High,1,0,5.0,35.57,18070.99
AST000140,Preventive,Critical,1,0,10.0,38.44,18329.18
AST000141,Corrective,High,1,0,10.0,9.3,39709.08
AST000141,Preventive,High,1,1,5.0,41.74,1884.31
AST000141,Preventive,Medium,1,1,2.0,48.53,9263.41
AST000142,Preventive,Medium,1,1,10.0,46.22,738.61
AST000143,Preventive,Critical,1,0,2.0,38.51,38877.5
AST000143,Preventive,High,1,1,,75.25,23275.5
AST000144,Inspection,Low,1,1,40.0,60.4,17768.37
AST000145,Emergency,Critical,1,0,20.0,4.18,13305.31
AST000145,Preventive,Low,2,0,11.0,86.11,64175.56
AST000146,Inspection,Critical,1,1,1.0,44.15,27682.19
AST000147,Corrective,Medium,1,0,20.0,73.39,5449.85
AST000147,Preventive,Critical,1,1,2.0,53.63,39664.79
AST000149,Corrective,Low,1,0,20.0,68.51,12687.29
AST000149,Preventive,Low,1,0,2.0,2.45,19688.42
AST000150,Emergency,High,1,1,20.0,71.26,38537.73
AST000151,Preventive,Low,1,0,2.0,49.09,39891.48
AST000151,Preventive,Medium,1,1,20.0,15.3,33483.69
AST000152,Inspection,Critical,1,1,1.0,0.0,2820.94
AST000152,Inspection,Low,1,1,5.0,55.75,27499.33
AST000152,Preventive,Critical,1,1,20.0,2.79,27522.22
AST000152,Preventive,Medium,1,1,2.0,28.46,7933.98
AST000153,Emergency,Medium,1,1,1.0,5.22,2114.72
AST000153,Inspection,Medium,1,1,5.0,69.61,18065.75
AST000153,Preventive,High,1,1,2.0,37.29,10069.47
AST000153,Preventive,Low,1,0,10.0,79.53,18255.54
AST000154,Inspection,Critical,1,1,40.0,45.22,23962.89
AST000154,Inspection,High,1,0,5.0,29.8,848.49
AST000154,Inspection,Low,1,1,2.0,28.4,7298.54
AST000154,Preventive,Medium,1,0,,41.5,4569.25
AST000155,Preventive,High,1,0,20.0,58.77,28186.37
AST000157,Emergency,High,1,0,20.0,16.83,21026.05
AST000157,Inspection,High,1,0,40.0,40.16,34103.59
AST000157,Preventive,High,1,1,1.0,49.98,17598.65
AST000158,Corrective,Critical,1,0,40.0,70.0,22328.75
AST000160,Preventive,Medium,1,1,2.0,35.16,33672.77
AST000161,Corrective,Medium,1,0,20.0,12.65,14570.42
AST000162,Corrective,Medium,1,0,10.0,42.05,33988.55
AST000162,Emergency,Low,1,0,2.0,28.46,14054.17
AST000162,Inspection,Medium,2,0,1.5,131.51,76656.23000000001
AST000162,Preventive,Low,1,0,10.0,66.55,34593.18
AST000163,Emergency,Low,1,0,5.0,65.08,28893.99
AST000163,Emergency,Medium,1,0,10.0,49.4,26012.27
AST000163,Preventive,Low,3,0,16.666666666666668,165.25,73410.65
AST000163,Preventive,Medium,2,1,1.5,38.629999999999995,33638.22
AST000164,Corrective,Medium,1,1,10.0,21.58,26584.34
AST000164,Inspection,Critical,1,1,2.0,58.38,28762.81
AST000164,Inspection,Low,1,0,40.0,12.44,2897.4
AST000165,Corrective,Low,1,1,40.0,3.5,2644.57
AST000165,Emergency,Critical,1,0,10.0,76.7,24265.08
AST000165,Emergency,High,1,0,2.0,24.79,13220.57
AST000165,Emergency,Low,1,0,20.0,19.67,40020.12
AST000165,Preventive,Critical,2,0,5.5,66.19,40392.43
AST000165,Preventive,High,1,0,10.0,63.31,37471.37
AST000165,Preventive,Low,1,0,20.0,47.68,38053.21
AST000165,Preventive,Medium,1,0,20.0,9.48,31609.86
AST000168,Preventive,High,1,0,2.0,77.15,42883.27
AST000168,Preventive,Low,1,0,40.0,68.75,29436.57
AST000169,Inspection,Medium,1,0,1.0,49.24,17124.16
AST000169,Preventive,Critical,1,0,2.0,38.47,34518.12
AST000170,Emergency,Medium,1,0,10.0,77.0,3102.12
AST000172,Corrective,Medium,1,0,40.0,5.75,5451.14
AST000172,Inspection,Medium,1,0,2.0,7.24,12288.37
AST000172,Preventive,Medium,1,0,10.0,32.66,36870.37
AST000173,Preventive,Critical,1,0,,30.27,36401.99
AST000174,Corrective,High,1,0,10.0,47.68,14822.04
AST000174,Corrective,Medium,1,0,5.0,63.74,15900.74
AST000174,Emergency,Medium,1,0,20.0,50.81,30601.53
AST000174,Preventive,Medium,1,0,,51.66,8831.4
AST000175,Emergency,Low,1,0,,23.37,15813.57
AST000176,Preventive,Low,1,0,2.0,34.38,28121.71
AST000177,Inspection,Critical,1,0,10.0,5.06,11925.69
AST000177,Preventive,High,1,1,2.0,68.7,39747.97
AST000177,Preventive,Low,2,0,7.5,131.0,3624.8
AST000178,Corrective,Medium,2,0,7.5,61.85,64591.869999999995
AST000178,Emergency,High,1,0,2.0,44.62,44199.77
AST000178,Emergency,Low,1,0,1.0,32.65,7315.89
AST000178,Inspection,Critical,1,0,5.0,50.64,9920.95
AST000179,Corrective,Low,1,1,40.0,48.87,4845.56
AST000179,Corrective,Medium,1,1,1.0,17.78,32308.77
AST000179,Emergency,Low,1,0,,26.99,32204.48
AST000179,Inspection,Medium,1,1,1.0,6.88,9700.3
AST000179,Preventive,High,1,1,2.0,59.19,37114.44
AST000179,Preventive,Low,1,0,1.0,9.53,23109.29
AST000180,Inspection,Low,1,0,1.0,34.01,38717.6
AST000180,Preventive,High,1,0,,43.91,35421.14
AST000181,Corrective,Critical,1,0,2.0,41.36,6845.56
AST000181,Corrective,Low,1,0,1.0,14.22,33934.52
AST000181,Corrective,Medium,1,0,5.0,42.65,18834.56
AST000181,Emergency,Medium,1,1,2.0,61.31,33210.78
AST000182,Emergency,High,1,0,,30.68,28768.21
AST000182,Inspection,Critical,1,1,2.0,31.53,2558.38
AST000182,Inspection,High,1,0,20.0,39.85,1780.07
AST000183,Corrective,Low,1,0,40.0,49.68,10795.89
AST000183,Emergency,Critical,1,0,,64.17,17812.42
