asset_id,site_id,asset_type,manufacturer,model_number,install_date,rated_capacity_kw,asset_status,criticality,effective_start_date,record_source,effective_end_date,is_current,asset_sk
AST000019,SITE0003,Solar Inverter,Novapower,MDL-278,,406.19,Maintenance,Critical,,asset_master,9999-12-31,True,0b3a1b4e1165ba7c46c0
AST000020,SITE0003,Solar Inverter,Ecodyn,MDL-706,2019-02-12,3310.28,Active,Low,2026-03-04,retirement,9999-12-31,True,542856800a42deb86948
AST000021,SITE0003,Solar Inverter,Gridworks,MDL-286,,3124.88,Active,Low,,asset_master,9999-12-31,True,32e3f587af5664ed3d91
AST000022,SITE0003,Solar Inverter,Voltedge,MDL-900,,2823.22,Standby,High,2026-03-06,condition_update,9999-12-31,True,5f104da3457fd877d38e
AST000022,SITE0003,Solar Inverter,Voltedge,MDL-900,,2823.22,Active,Medium,,asset_master,9999-12-31,True,5c4bdd726aecd84be3d8
AST000023,SITE0003,Solar Inverter,Ecodyn,MDL-742,,1966.45,Active,Medium,,asset_master,9999-12-31,True,a441225faf01f8bb0c14
AST000024,SITE0004,Solar Inverter,Aeroflux,MDL-317,,1966.25,Standby,High,2026-02-03,maintenance_review,9999-12-31,True,257caf5eea1f11a91a6f
AST000024,SITE0004,Solar Inverter,Aeroflux,MDL-317,,1966.25,Active,Medium,,asset_master,9999-12-31,True,8c541f8ef6f2e7313cd2
AST000025,SITE0004,Solar Inverter,Novapower,MDL-952,,2213.1,Retired,Medium,2026-05-29,condition_update,9999-12-31,True,dd88ab9d82687f952f5c
AST000025,SITE0004,Solar Inverter,Novapower,MDL-952,,2213.1,Active,Critical,,asset_master,9999-12-31,True,858e47f7d125009a3827
AST000026,SITE0004,Solar Inverter,Gridworks,MDL-801,,1858.68,Retired,Medium,2026-04-04,condition_update,9999-12-31,True,b08d966edb022c44620c
AST000026,SITE0004,Solar Inverter,Gridworks,MDL-801,,1858.68,Active,Low,,asset_master,9999-12-31,True,825c9bf32427ffcd8379
AST000027,SITE0004,Solar Inverter,Heliotech,MDL-830,2016-10-22,2298.15,Maintenance,Low,2016-10-22,asset_master,9999-12-31,True,046c463b937b231cddab
AST000028,SITE0004,Solar Inverter,Heliotech,MDL-138,2017-03-25,1350.26,Active,Medium,2017-03-25,asset_master,9999-12-31,True,d564ea4f9ee3a5167691
AST000029,SITE0004,Solar Inverter,Voltedge,MDL-189,,3170.1,Maintenance,Low,2026-04-24,condition_update,9999-12-31,True,d5c859d522bce54ad901
AST000029,SITE0004,Solar Inverter,Voltedge,MDL-189,,3170.1,Retired,High,,asset_master,9999-12-31,True,30e860b20e68bbc239b6
AST000030,SITE0004,Solar Inverter,Ecodyn,MDL-964,2015-05-10,1126.98,Maintenance,Medium,2026-05-12,capacity_change,9999-12-31,True,795c20ff3dccf4b47bc5
AST000031,SITE0004,Solar Inverter,Voltedge,MDL-833,,2637.58,Active,High,,asset_master,9999-12-31,True,28f90814512a15322530
AST000032,SITE0005,Transformer,Gridworks,MDL-892,,3489.24,Maintenance,Medium,,asset_master,9999-12-31,True,5d0767ac8c09fcf94292
AST000033,SITE0005,Feeder,Novapower,MDL-451,2019-01-03,2627.56,Maintenance,Critical,2026-02-26,capacity_change,9999-12-31,True,3cfaf917bdeb5f12971f
AST000034,SITE0005,Transformer,Novapower,MDL-442,,849.2,Retired,Low,,asset_master,9999-12-31,True,7e174bd76e2acd06d6d9
AST000035,SITE0005,Transformer,Ecodyn,MDL-930,,2632.29,Maintenance,Medium,,asset_master,9999-12-31,True,93890c9e18274d113c39
AST000036,SITE0005,Transformer,Aeroflux,MDL-511,2020-04-30,2912.33,Retired,Medium,2026-04-12,retirement,9999-12-31,True,85408e33133fc72cf130
AST000037,SITE0005,Feeder,Aeroflux,MDL-916,2015-06-30,1256.3,Standby,High,2015-06-30,asset_master,9999-12-31,True,53b5825855a8b2a520e7
AST000038,SITE0005,Feeder,Ecodyn,MDL-671,,661.11,Maintenance,Medium,,asset_master,9999-12-31,True,adc73d026fb7920d8842
AST000039,SITE0005,Feeder,Heliotech,MDL-221,,1206.66,Active,High,,asset_master,9999-12-31,True,3c35ee33afd7d93ef888
AST000040,SITE0005,Feeder,Gridworks,MDL-433,2016-02-19,3405.37,Maintenance,Medium,2016-02-19,asset_master,9999-12-31,True,2e698ac137b040d50ffb
AST000041,SITE0005,Transformer,Aeroflux,MDL-775,,3383.31,Maintenance,Critical,2026-04-22,condition_update,9999-12-31,True,1d480e20b2d1f528d2a2
AST000041,SITE0005,Transformer,Aeroflux,MDL-775,,3383.31,Maintenance,Low,,asset_master,9999-12-31,True,4040e365eda376782034
AST000042,SITE0006,Solar Inverter,Ecodyn,MDL-343,,3256.83,Standby,Medium,2026-04-28,condition_update,9999-12-31,True,1f00f23fb8494f947073
AST000042,SITE0006,Solar Inverter,Ecodyn,MDL-343,,3256.83,Maintenance,Critical,,asset_master,9999-12-31,True,7d4da6eaf7f17864f0ce
AST000043,SITE0006,Solar Inverter,Voltedge,MDL-562,2016-10-25,1429.2,Active,High,2026-03-27,condition_update,9999-12-31,True,d75e1b9fae7245eb9f35
AST000044,SITE0006,Solar Inverter,Ecodyn,MDL-329,2022-06-08,1490.92,Standby,Low,2022-06-08,asset_master,9999-12-31,True,11beb32cae211b38b3d3
AST000045,SITE0006,Solar Inverter,Ecodyn,MDL-777,2016-03-03,1370.87,Maintenance,Low,2026-05-17,maintenance_review,9999-12-31,True,03b644a3785c9732e0f4
AST000046,SITE0006,Solar Inverter,Ecodyn,MDL-991,,746.65,Active,High,,asset_master,9999-12-31,True,d4947692e7d575e99b99
AST000047,SITE0006,Solar Inverter,Ecodyn,MDL-220,,2699.62,Active,High,,asset_master,9999-12-31,True,a577e2e48ccd1ae60213
AST000048,SITE0006,Solar Inverter,Voltedge,MDL-562,2022-12-15,1584.55,Maintenance,Low,2026-02-26,capacity_change,9999-12-31,True,aa9c91e8256c1deb6e74
AST000049,SITE0006,Solar Inverter,Voltedge,MDL-385,2025-09-28,1169.42,Maintenance,Medium,2025-09-28,asset_master,9999-12-31,True,9a0f5f4dcc8ed66821e2
AST000050,SITE0007,Wind Turbine,Heliotech,MDL-142,2015-09-12,552.43,Active,Medium,2015-09-12,asset_master,9999-12-31,True,76de2fb84bf5a8209fe7
AST000051,SITE0007,Wind Turbine,Voltedge,MDL-944,,2616.73,Maintenance,Low,,asset_master,9999-12-31,True,fc7f121e497486f84ea8
AST000052,SITE0007,Wind Turbine,Voltedge,MDL-508,2020-10-17,1125.85,Active,High,2026-05-07,maintenance_review,9999-12-31,True,9484d372aa117cb57a43
AST000053,SITE0007,Wind Turbine,Novapower,MDL-414,2024-11-03,2146.73,Active,Low,2024-11-03,asset_master,9999-12-31,True,633496cfe36df277d9c2
AST000054,SITE_BAD,Wind Turbine,Gridworks,MDL-901,,2711.47,Active,High,2026-05-16,capacity_change,9999-12-31,True,b6c5de878845e1cdcede
AST000054,SITE_BAD,Wind Turbine,Gridworks,MDL-901,,2711.47,Maintenance,Medium,,asset_master,9999-12-31,True,e8bc474de38ca62e0f08
AST000055,SITE0007,Wind Turbine,Gridworks,MDL-438,2024-10-26,1616.35,Standby,Medium,2026-05-20,condition_update,9999-12-31,True,4855eeae23a35a10cecc
AST000056,SITE0007,Wind Turbine,Voltedge,MDL-620,2022-10-21,2020.95,Active,Low,2022-10-21,asset_master,9999-12-31,True,3db0a3eaa38dd82f85a5
AST000057,SITE0007,Wind Turbine,Voltedge,MDL-850,2017-10-13,840.86,Standby,Medium,2017-10-13,asset_master,9999-12-31,True,0d331926fc04f561d1b1
AST000058,SITE0008,Transformer,Gridworks,MDL-650,,2153.2,Active,High,2026-02-17,maintenance_review,9999-12-31,True,f64061fa2b11d785c19f
AST000058,SITE0008,Transformer,Gridworks,MDL-650,,2153.2,Maintenance,Medium,,asset_master,9999-12-31,True,f5c6f294b8ca042803b2
AST000059,SITE0008,Feeder,Novapower,MDL-633,2025-04-20,2599.4,Maintenance,Low,2026-05-22,condition_update,9999-12-31,True,2324e996191283baaeae
AST000060,SITE0008,Transformer,Voltedge,MDL-489,2018-07-02,2860.68,Maintenance,Critical,2018-07-02,asset_master,9999-12-31,True,17178b82e02229e6492e
AST000061,SITE0008,Feeder,Gridworks,MDL-774,2022-06-08,3203.11,Maintenance,Medium,2026-03-21,retirement,9999-12-31,True,5943b4e3b59b5d99a0a9
AST000062,SITE0008,Feeder,Gridworks,MDL-214,2016-02-03,861.6,Active,High,2026-04-08,condition_update,9999-12-31,True,d3c3a1ab63ec411164d4
AST000063,SITE0008,Transformer,Aeroflux,MDL-144,2016-03-24,2711.22,Retired,High,2026-02-24,capacity_change,9999-12-31,True,23b8071bdf75c09a8b53
AST000064,SITE0008,Transformer,Novapower,MDL-261,,1856.24,Retired,Critical,2026-02-02,retirement,9999-12-31,True,8bd880ea0b9e6fc68d61
AST000064,SITE0008,Transformer,Novapower,MDL-261,,1856.24,Standby,Medium,,asset_master,9999-12-31,True,400b821978446582fb10
AST000065,SITE0008,Transformer,Aeroflux,MDL-851,2016-06-14,1355.87,Active,Critical,2026-05-09,retirement,9999-12-31,True,57ded62f2fb7488b5aa6
AST000066,SITE0008,Feeder,Novapower,MDL-431,2022-03-13,3244.11,Active,Critical,2026-04-24,condition_update,9999-12-31,True,10a5f1e3f71769cf6695
AST000067,SITE0008,Feeder,Voltedge,MDL-390,2025-01-08,2316.11,Retired,Low,2025-01-08,asset_master,9999-12-31,True,c65bbc8588acdfd07e2a
AST000068,SITE0009,Battery Rack,Aeroflux,MDL-240,2022-12-29,2124.23,Maintenance,Critical,2022-12-29,asset_master,9999-12-31,True,7ccf24fe6e4a940543e1
AST000069,SITE0009,Battery Rack,Heliotech,MDL-655,2021-02-10,3409.48,Maintenance,Low,2026-02-14,retirement,9999-12-31,True,b0b88f540f46ae571d41
AST000070,SITE0009,Battery Rack,Voltedge,MDL-600,,298.39,Active,High,,asset_master,9999-12-31,True,813ad4eb59ca65d06b41
AST000071,SITE0009,Battery Rack,Aeroflux,MDL-226,,1677.83,Active,Low,,asset_master,9999-12-31,True,e7aabc8b283e904173de
AST000072,SITE0009,Battery Rack,Voltedge,MDL-296,2023-01-01,1214.29,Active,Low,2026-03-21,maintenance_review,9999-12-31,True,0073427a00bef8697b40
AST000073,SITE0009,Battery Rack,Aeroflux,MDL-281,,1202.68,Standby,High,2026-03-26,maintenance_review,9999-12-31,True,ba49021c6408c69513ed
AST000073,SITE0009,Battery Rack,Aeroflux,MDL-281,,1202.68,Active,Medium,,asset_master,9999-12-31,True,b85bf0d0a78ce2ee286b
AST000074,SITE0009,Battery Rack,Novapower,MDL-384,2018-05-24,1675.38,Maintenance,Critical,2026-05-21,capacity_change,9999-12-31,True,07c6cd11d778f3a6de8b
AST000075,SITE0010,Feeder,Ecodyn,MDL-503,,2200.44,Standby,Critical,2026-03-20,condition_update,9999-12-31,True,5e24bce19bead5fbdf93
AST000075,SITE0010,Feeder,Ecodyn,MDL-503,,2200.44,Standby,Critical,,asset_master,9999-12-31,True,75d88a9733b67f6f8a7d
AST000076,SITE0010,Feeder,Novapower,MDL-435,,3189.38,Active,High,2026-04-23,condition_update,9999-12-31,True,aeba41c81b97453c5adc
AST000076,SITE0010,Feeder,Novapower,MDL-435,,3189.38,Standby,Critical,,asset_master,9999-12-31,True,20ab4cca3a76828df0c2
AST000077,SITE0010,Feeder,Ecodyn,MDL-534,,977.71,Active,Medium,2026-03-31,retirement,9999-12-31,True,e23879dd0fe16c3bcd46
AST000077,SITE0010,Feeder,Ecodyn,MDL-534,,977.71,Standby,Medium,,asset_master,9999-12-31,True,b86af53d89fb4a7fab5f
AST000078,SITE0010,Feeder,Ecodyn,MDL-435,,2660.28,Active,High,2026-04-18,condition_update,9999-12-31,True,4e14ce89c4b722e15be7
AST000078,SITE0010,Feeder,Ecodyn,MDL-435,,2660.28,Maintenance,High,,asset_master,9999-12-31,True,8211becaf4158d15a787
AST000079,SITE0010,Transformer,Aeroflux,MDL-814,2024-12-31,474.14,Maintenance,High,2026-03-22,retirement,9999-12-31,True,a0cda8071dc8e56ca039
AST000080,SITE0010,Feeder,Heliotech,MDL-202,2020-07-12,2041.34,Standby,Critical,2026-05-20,maintenance_review,9999-12-31,True,b5af101b877859dca90f
AST000081,SITE0010,Feeder,Voltedge,MDL-833,2020-04-04,1193.07,Active,Medium,2020-04-04,asset_master,9999-12-31,True,1db350d8b7eac1bf8fde
AST000082,SITE0010,Transformer,Gridworks,MDL-584,,1453.28,Maintenance,Medium,,asset_master,9999-12-31,True,bbdfff1dfe3708ebbc8e
AST000083,SITE0010,Transformer,Voltedge,MDL-564,,1303.88,Maintenance,Critical,2026-04-24,retirement,9999-12-31,True,4c70e95196dbd2be83c6
AST000083,SITE0010,Transformer,Voltedge,MDL-564,,1303.88,Retired,Low,,asset_master,9999-12-31,True,bcb83d1fd3a92cb8ffbd
AST000084,SITE0010,Feeder,Novapower,MDL-615,,2297.02,Maintenance,High,2026-04-29,capacity_change,9999-12-31,True,eaf15ea84a35f592360c
AST000084,SITE0010,Feeder,Novapower,MDL-615,,2297.02,Active,Medium,,asset_master,9999-12-31,True,714665909d121f769a49
AST000085,SITE0011,Wind Turbine,Novapower,MDL-552,2018-06-10,1705.37,Active,Critical,2018-06-10,asset_master,9999-12-31,True,748740494a85d8b3a9ae
AST000086,SITE0011,Wind Turbine,Ecodyn,MDL-686,2015-06-10,2889.92,Standby,Medium,2015-06-10,asset_master,9999-12-31,True,e37bd255861848377945
AST000087,SITE0011,Wind Turbine,Heliotech,MDL-189,2015-03-06,1056.42,Standby,Medium,2015-03-06,asset_master,9999-12-31,True,ed8a0b317ff4df51ab9e
AST000088,SITE0011,Wind Turbine,Novapower,MDL-448,2020-12-21,2535.71,Standby,Medium,2026-04-12,maintenance_review,9999-12-31,True,111490a82633fb9224c0
AST000089,SITE0011,Wind Turbine,Ecodyn,MDL-945,2018-05-25,1190.2,Active,Medium,2018-05-25,asset_master,9999-12-31,True,ec0c51c6265069371df4
AST000090,SITE0011,Wind Turbine,Heliotech,MDL-658,,2942.94,Maintenance,Low,2026-03-27,capacity_change,9999-12-31,True,ec93552d8083b8e65337
AST000090,SITE0011,Wind Turbine,Heliotech,MDL-658,,2942.94,Active,High,,asset_master,9999-12-31,True,33d2d2cffdec46f1665b
AST000091,SITE0011,Wind Turbine,Aeroflux,MDL-965,,2627.71,Retired,Critical,2026-03-02,retirement,9999-12-31,True,a55396be5bd630c761a9
AST000091,SITE0011,Wind Turbine,Aeroflux,MDL-965,,2627.71,Standby,Medium,,asset_master,9999-12-31,True,46692fc9c6706415256d
AST000092,SITE0011,Wind Turbine,Gridworks,MDL-726,,2731.28,Retired,Low,2026-04-23,condition_update,9999-12-31,True,cc40d676ab607d6039ce
AST000092,SITE0011,Wind Turbine,Gridworks,MDL-726,,2731.28,Standby,Medium,,asset_master,9999-12-31,True,e1921026cee07d1fc6ce
AST000093,SITE0012,Wind Turbine,Ecodyn,MDL-350,,2115.94,Maintenance,Critical,2026-02-18,condition_update,9999-12-31,True,bbf2dd196ed58ce988bc
AST000093,SITE0012,Wind Turbine,Ecodyn,MDL-350,,2115.94,Retired,High,,asset_master,9999-12-31,True,7593c3b166cb21d3bf6f
AST000094,SITE0012,Wind Turbine,Novapower,MDL-452,,1956.79,Standby,Medium,2026-03-27,condition_update,9999-12-31,True,bf30a049f6595f028dba
AST000094,SITE0012,Wind Turbine,Novapower,MDL-452,,1956.79,Active,High,,asset_master,9999-12-31,True,a63048d08fe556d5d2c7
AST000095,SITE0012,Wind Turbine,Ecodyn,MDL-182,2021-07-14,2533.48,Retired,Medium,2021-07-14,asset_master,9999-12-31,True,3d0dea75793df3ad9474
AST000096,SITE0012,Wind Turbine,Gridworks,MDL-624,,2834.98,Retired,Critical,2026-03-23,retirement,9999-12-31,True,514b8e3c042e2a3e629c
AST000096,SITE0012,Wind Turbine,Gridworks,MDL-624,,2834.98,Standby,Critical,,asset_master,9999-12-31,True,b7f3afc5b9c172116af4
AST000097,SITE0012,Wind Turbine,Ecodyn,MDL-274,2016-03-05,203.88,Standby,High,2026-02-16,capacity_change,9999-12-31,True,8680206c206871c1157f
AST000098,SITE0012,Wind Turbine,Aeroflux,MDL-119,2017-04-25,1044.33,Standby,High,2026-02-15,condition_update,9999-12-31,True,e292ae37e3d4401234c5
AST000099,SITE0012,Wind Turbine,Voltedge,MDL-910,2022-07-06,3208.2,Maintenance,Medium,2026-05-28,condition_update,9999-12-31,True,9d494aa2257235f52b4d
AST000100,SITE0012,Wind Turbine,Ecodyn,MDL-451,2017-06-08,1974.84,Active,Medium,2017-06-08,asset_master,9999-12-31,True,5e4d5c3ea2075276607f
AST000101,SITE0013,Feeder,Novapower,MDL-885,,407.01,Standby,High,2026-03-17,maintenance_review,9999-12-31,True,4fcbcf11cda06a3a2ed5
AST000101,SITE0013,Feeder,Novapower,MDL-885,,407.01,Active,Low,,asset_master,9999-12-31,True,4d4ea7445b1f49c40f74
AST000102,SITE0013,Transformer,Voltedge,MDL-700,2015-04-14,1785.22,Retired,Medium,2026-04-23,capacity_change,9999-12-31,True,4fd39b0b11c152658938
AST000103,SITE0013,Feeder,Aeroflux,MDL-331,,895.07,Standby,High,2026-04-14,condition_update,9999-12-31,True,01fa2bf5f532b793715d
AST000103,SITE0013,Feeder,Aeroflux,MDL-331,,895.07,Active,Medium,,asset_master,9999-12-31,True,7a72efb3719ad7162484
AST000104,SITE0013,Transformer,Novapower,MDL-198,2020-08-12,1504.01,Standby,Medium,2026-05-27,condition_update,9999-12-31,True,216587df51ddf81f2781
AST000105,SITE0013,Transformer,Heliotech,MDL-332,2021-11-29,2219.34,Maintenance,Low,2021-11-29,asset_master,9999-12-31,True,3b9ec55dad35d4622ac1
AST000106,SITE0013,Feeder,Heliotech,MDL-406,2019-03-26,1001.35,Standby,Critical,2026-02-09,retirement,9999-12-31,True,38d2b5eb25ecfad588ee
AST000107,SITE0013,Transformer,Heliotech,MDL-210,2022-05-31,1436.82,Retired,Critical,2026-04-26,capacity_change,9999-12-31,True,b51fcbcd41f73aaf66d6
AST000108,SITE0013,Feeder,Heliotech,MDL-193,,2106.53,Maintenance,Critical,2026-02-18,retirement,9999-12-31,True,3866242cdc96e919f82b
AST000108,SITE0013,Feeder,Heliotech,MDL-193,,2106.53,Active,Medium,,asset_master,9999-12-31,True,a64b3901bdc545333a5a
AST000109,SITE0013,Transformer,Heliotech,MDL-128,,2253.61,Standby,Medium,,asset_master,9999-12-31,True,317283da1062b3ec334a
AST000110,SITE0013,Transformer,Gridworks,MDL-831,2023-08-24,1688.13,Maintenance,High,2023-08-24,asset_master,9999-12-31,True,c553abe64216cbf7070e
AST000111,SITE0014,Wind Turbine,Ecodyn,MDL-673,2018-01-11,755.18,Active,High,2018-01-11,asset_master,9999-12-31,True,b353053723b4a67abe4e
AST000112,SITE0014,Wind Turbine,Voltedge,MDL-590,2019-04-17,2425.78,Retired,High,2026-02-03,maintenance_review,9999-12-31,True,21f48bfec4cc3d14e181
AST000113,SITE0014,Wind Turbine,Heliotech,MDL-803,,226.33,Standby,High,,asset_master,9999-12-31,True,a3c48fc8c6b8c7bb194f
AST000114,SITE0014,Wind Turbine,Gridworks,MDL-890,2024-05-24,1054.8,Standby,High,2024-05-24,asset_master,9999-12-31,True,632e6fd52ce69232a339
AST000115,SITE0014,Wind Turbine,Gridworks,MDL-310,2017-09-25,2360.74,Active,Low,2017-09-25,asset_master,9999-12-31,True,2ad1cd7baf1a630beeaf
AST000116,SITE0014,Wind Turbine,Gridworks,MDL-420,2022-04-26,767.98,Standby,Medium,2022-04-26,asset_master,9999-12-31,True,bed22bf490f3bf2ed0b9
AST000117,SITE0014,Wind Turbine,Ecodyn,MDL-295,,249.87,Active,Critical,2026-03-11,condition_update,9999-12-31,True,f5d66e25adc4fff78c75
AST000117,SITE0014,Wind Turbine,Ecodyn,MDL-295,,249.87,Active,Low,,asset_master,9999-12-31,True,302fcea1dbbc27e0af0d
AST000118,SITE0014,Wind Turbine,Ecodyn,MDL-804,,2173.55,Standby,Medium,,asset_master,9999-12-31,True,2ecf059eea887afb82b2
AST000119,SITE0015,Solar Inverter,Ecodyn,MDL-112,2016-05-23,1376.25,Active,Critical,2026-05-06,capacity_change,9999-12-31,True,25c7df8706933c7ccfa2
AST000120,SITE0015,Solar Inverter,Voltedge,MDL-891,,1011.92,Standby,Medium,2026-04-29,capacity_change,9999-12-31,True,d36218d47c7c191f6764
AST000120,SITE0015,Solar Inverter,Voltedge,MDL-891,,1011.92,Standby,Medium,,asset_master,9999-12-31,True,0c474c254e041043c964
AST000121,SITE0015,Solar Inverter,Gridworks,MDL-416,2015-02-13,626.91,Standby,Low,2026-02-07,capacity_change,9999-12-31,True,02536feb8beefa0cfbf6
AST000122,SITE0015,Solar Inverter,Voltedge,MDL-181,2016-08-25,796.74,Maintenance,High,2026-02-07,capacity_change,9999-12-31,True,57dcf21996534115b872
AST000123,SITE0015,Solar Inverter,Voltedge,MDL-377,,2296.75,Standby,Medium,,asset_master,9999-12-31,True,b549976729d49fa54bbb
AST000124,SITE0015,Solar Inverter,Aeroflux,MDL-519,2020-10-20,1640.93,Maintenance,High,2026-02-19,condition_update,9999-12-31,True,4470a892dc0a8936cb85
AST000125,SITE0015,Solar Inverter,Heliotech,MDL-831,2025-05-29,324.86,Retired,Low,2026-05-15,capacity_change,9999-12-31,True,747fc8505f5de052bf1e
AST000126,SITE0015,Solar Inverter,Novapower,MDL-519,,1604.15,Active,Low,2026-05-29,condition_update,9999-12-31,True,f6e1a9983cdc5a8658f7
AST000126,SITE0015,Solar Inverter,Novapower,MDL-519,,1604.15,Retired,Medium,,asset_master,9999-12-31,True,4a65825dfa664264e26c
AST000127,SITE0016,Transformer,Gridworks,MDL-453,,2484.24,Maintenance,Critical,,asset_master,9999-12-31,True,26657e1887804fe4b812
AST000128,SITE0016,Feeder,Heliotech,MDL-344,,1101.69,Maintenance,Medium,2026-02-21,condition_update,9999-12-31,True,e33f418b5c08c8a24fc6
AST000128,SITE0016,Feeder,Heliotech,MDL-344,,1101.69,Active,Low,,asset_master,9999-12-31,True,abd900ff88375f72ae07
AST000129,SITE0016,Transformer,Aeroflux,MDL-923,2016-07-19,503.1,Standby,High,2026-04-07,retirement,9999-12-31,True,42b8b1e116c57e0a87c9
AST000130,SITE0016,Feeder,Heliotech,MDL-168,2016-11-03,1807.45,Standby,Medium,2016-11-03,asset_master,9999-12-31,True,c8f45ac4128af05db543
AST000131,SITE0016,Feeder,Ecodyn,MDL-271,,1489.34,Active,Medium,,asset_master,9999-12-31,True,2d623a429254d1f1c7e7
AST000132,SITE0016,Transformer,Heliotech,MDL-959,,102.68,Active,Medium,,asset_master,9999-12-31,True,753d33548a56db6e34e5
AST000133,SITE0016,Feeder,Gridworks,MDL-221,,2862.41,Active,Low,,asset_master,9999-12-31,True,6403f37b8912bf9cb9f8
AST000134,SITE0016,Transformer,Ecodyn,MDL-640,2022-05-21,629.99,Maintenance,Low,2022-05-21,asset_master,9999-12-31,True,307e1de77046ff14fca8
AST000135,SITE0016,Feeder,Heliotech,MDL-164,2022-04-24,586.56,Active,Medium,2022-04-24,asset_master,9999-12-31,True,75526adbcbccadad44c3
AST000136,SITE0016,Feeder,Aeroflux,MDL-160,,3010.34,Active,Medium,2026-02-09,capacity_change,9999-12-31,True,ae98d0bd346a91d84ccc
AST000136,SITE0016,Feeder,Aeroflux,MDL-160,,3010.34,Retired,High,,asset_master,9999-12-31,True,928a8e8c9b0be1620f59
AST000137,SITE0017,Solar Inverter,Novapower,MDL-188,2021-05-06,1050.16,Active,Medium,2021-05-06,asset_master,9999-12-31,True,b5a2d92ecaa8122fbb31
AST000138,SITE0017,Solar Inverter,Voltedge,MDL-869,,2246.05,Standby,Low,2026-04-17,maintenance_review,9999-12-31,True,99a29d8083c78f83c627
AST000138,SITE0017,Solar Inverter,Voltedge,MDL-869,,2246.05,Maintenance,Critical,,asset_master,9999-12-31,True,34d8156a75a0f20cfa95
AST000139,SITE0017,Solar Inverter,Aeroflux,MDL-899,,2980.86,Active,Critical,2026-05-03,condition_update,9999-12-31,True,3317e20fa62b776e7e9b
