reading_date,region,hour,total_kwh,peak_kw
2026-04-17,West,20,14337.8935,585.9636
2026-04-18,Midwest,13,16248.001100000001,580.7648
2026-04-18,Northeast,18,47980.4929,610.0219
2026-04-18,South,13,62068.7699,410.4276
2026-04-18,West,18,11696.9419,482.0818
2026-04-19,Midwest,17,15738.0516,499.1518
2026-04-19,Northeast,10,44378.1858,600.1572
2026-04-19,South,8,74464.3639,367.8138
2026-04-19,West,20,12528.606600000001,496.3973
2026-04-20,Midwest,10,18230.2319,639.2786
2026-04-20,Northeast,12,65897.66159999999,687.7934
2026-04-20,South,9,81549.99530000001,407.7282
2026-04-20,West,19,15270.8482,551.6796
2026-04-21,Midwest,11,21881.7002,678.1848
2026-04-21,Northeast,8,57182.9773,632.5364
2026-04-21,South,9,73455.863,499.2922
2026-04-21,West,16,15097.5863,592.1117
2026-04-22,Midwest,10,20242.2771,580.1337
2026-04-22,Northeast,13,62778.150700000006,685.3143
2026-04-22,South,19,98190.46059999999,526.0273
2026-04-22,West,12,14375.7359,566.9578
2026-04-23,Midwest,9,20594.048,633.4422
2026-04-23,Northeast,20,69793.6299,774.0562
2026-04-23,South,9,92174.7161,449.7486
2026-04-23,West,11,15903.569800000001,629.8808
2026-04-24,Midwest,18,17303.1855,508.4463
2026-04-24,Northeast,15,62865.3165,659.8505
2026-04-24,South,13,79231.7938,449.0968
2026-04-24,West,13,14785.5914,536.4281
2026-04-25,Midwest,19,19972.9569,445.6398
2026-04-25,Northeast,11,39731.169799999996,540.2622
2026-04-25,South,9,64002.757300000005,433.8475
2026-04-25,West,15,12348.3238,491.9688
2026-04-26,Midwest,17,13529.3897,491.2109
2026-04-26,Northeast,14,52540.040400000005,580.0571
2026-04-26,South,19,64243.2183,389.306
2026-04-26,West,20,12612.4388,459.9375
2026-04-27,Midwest,13,19925.2247,520.5895
2026-04-27,Northeast,11,72899.8788,634.3933
2026-04-27,South,15,77605.3877,461.7392
2026-04-27,West,20,14844.0512,677.8263
2026-04-28,Midwest,16,20588.5896,602.0678
2026-04-28,Northeast,15,68200.8074,659.1142
2026-04-28,South,13,92514.66260000001,462.6777
2026-04-28,West,19,14573.5035,585.5555
2026-04-29,Midwest,18,20965.8613,568.7796
2026-04-29,Northeast,13,67320.128,689.6124
2026-04-29,South,13,82781.7517,430.34
2026-04-29,West,19,14852.3547,579.5519
2026-04-30,Midwest,15,22434.4616,647.6979
2026-04-30,Northeast,10,70424.3487,689.4703
2026-04-30,South,12,74123.5061,465.3237
2026-04-30,West,14,15928.3182,615.7556
2026-05-01,Midwest,14,17545.162800000002,545.8654
2026-05-01,Northeast,12,73766.2772,558.3959
2026-05-01,South,16,94166.5803,498.4736
2026-05-01,West,13,15960.2289,575.8166
2026-05-02,Midwest,8,17080.2017,660.1204
2026-05-02,Northeast,20,55521.7147,540.7612
2026-05-02,South,17,69386.7182,409.2729
2026-05-02,West,15,11795.5252,490.4146
2026-05-03,Midwest,8,17272.0203,588.0167
2026-05-03,Northeast,9,46031.8022,570.8178
2026-05-03,South,11,68133.1785,384.8074
2026-05-03,West,8,12338.678600000001,457.4396
2026-05-04,Midwest,17,21007.1289,574.0524
2026-05-04,Northeast,9,66734.9754,625.1687
2026-05-04,South,12,86679.2308,461.1864
2026-05-04,West,14,14861.41,478.2184
2026-05-05,Midwest,9,20032.1416,617.8561
2026-05-05,Northeast,9,65258.524,584.8217
2026-05-05,South,17,79276.1579,488.6559
2026-05-05,West,18,14643.4555,530.4245
2026-05-06,Midwest,18,20685.3386,574.8809
2026-05-06,Northeast,20,71133.8962,758.5463
2026-05-06,South,18,87086.60699999999,451.6616
2026-05-06,West,11,15184.4012,550.7345
2026-05-07,Midwest,20,20323.6511,568.9928
2026-05-07,Northeast,17,71640.8548,606.7318
2026-05-07,South,14,80546.6661,632.2553
2026-05-07,West,13,14719.0788,577.2629
2026-05-08,Midwest,16,20795.5209,554.7116
2026-05-08,Northeast,12,68844.95969999999,654.21
2026-05-08,South,17,84084.7306,457.5761
2026-05-08,West,18,15373.926300000001,567.6522
2026-05-09,Midwest,18,18003.3913,458.5324
2026-05-09,Northeast,9,45001.521199999996,521.7245
2026-05-09,South,10,69397.2493,358.7973
2026-05-09,West,20,11171.254700000001,565.6859
2026-05-10,Midwest,20,14326.8908,543.5862
2026-05-10,Northeast,13,55602.82060000001,565.017
2026-05-10,South,14,65536.872,404.2334
2026-05-10,West,8,12825.4678,500.4756
2026-05-11,Midwest,12,18580.0416,549.0166
2026-05-11,Northeast,15,67408.8069,611.7353
2026-05-11,South,10,87477.1084,495.1574
2026-05-11,West,10,14275.7196,668.2547
2026-05-12,Midwest,19,21386.8327,624.4069
2026-05-12,Northeast,17,58917.3298,743.3387
2026-05-12,South,8,82614.3387,478.0372
2026-05-12,West,17,14947.8831,665.8642
2026-05-13,Midwest,17,21755.3108,611.3584
2026-05-13,Northeast,12,56660.2972,602.2468
2026-05-13,South,9,80962.03880000001,568.2418
2026-05-13,West,16,15426.7878,624.4788
2026-05-14,Midwest,17,20267.7853,564.8182
2026-05-14,Northeast,19,68708.65149999999,676.3606
2026-05-14,South,11,78420.112,469.3501
2026-05-14,West,20,14836.9267,635.3803
2026-05-15,Midwest,18,24308.8309,624.5917
2026-05-15,Northeast,11,62963.3814,695.6752
2026-05-15,South,13,93434.6799,506.7233
2026-05-15,West,16,14627.4735,628.9211
2026-05-16,Midwest,17,14618.854,423.909
2026-05-16,Northeast,17,57543.419599999994,674.0727
2026-05-16,South,9,77790.3863,451.1227
2026-05-16,West,19,12064.608199999999,531.0729
2026-05-17,Midwest,13,17478.5854,471.3731
2026-05-17,Northeast,14,56096.947,555.8079
2026-05-17,South,14,71573.3055,369.179
2026-05-17,West,13,11668.5208,513.3335
2026-05-18,Midwest,19,19665.2275,633.8112
2026-05-18,Northeast,18,59766.9922,610.3255
2026-05-18,South,11,88831.786,433.4049
2026-05-18,West,13,14991.8362,586.3668
2026-05-19,Midwest,13,17974.853700000003,581.2412
2026-05-19,Northeast,14,64580.4907,644.9595
2026-05-19,South,15,83379.0347,513.5391
2026-05-19,West,17,14953.4295,595.8088
2026-05-20,Midwest,12,20904.511000000002,516.6244
2026-05-20,Northeast,16,59186.617900000005,657.9376
2026-05-20,South,12,91109.0733,440.3699
2026-05-20,West,13,15031.7119,547.3357
2026-05-21,Midwest,14,19145.190700000003,633.679
2026-05-21,Northeast,19,67709.0254,537.1331
2026-05-21,South,8,86744.6759,483.9649
2026-05-21,West,20,14832.4057,633.6907
2026-05-22,Midwest,9,19920.0269,541.1532
2026-05-22,Northeast,9,66684.2133,645.8504
2026-05-22,South,16,93803.54160000001,511.0665
2026-05-22,West,8,14149.7916,533.4691
2026-05-23,Midwest,16,16018.5548,517.4118
2026-05-23,Northeast,19,49136.0508,444.266
2026-05-23,South,12,70156.905,381.2374
2026-05-23,West,19,12795.9729,508.6247
2026-05-24,Midwest,16,15700.163399999998,469.4566
2026-05-24,Northeast,16,49601.9083,536.6317
2026-05-24,South,17,68718.7802,420.3161
2026-05-24,West,19,13003.4635,514.1858
2026-05-25,Midwest,10,21845.7487,647.2401
2026-05-25,Northeast,20,64423.025299999994,666.0137
2026-05-25,South,13,85631.9188,467.7664
2026-05-25,West,8,15200.938400000001,541.2888
2026-05-26,Midwest,19,20329.6143,626.964
2026-05-26,Northeast,8,77193.8986,642.3615
2026-05-26,South,13,84656.6223,482.0347
2026-05-26,West,8,15602.9233,577.6096
2026-05-27,Midwest,9,19269.6355,519.5792
2026-05-27,Northeast,16,81427.30129999999,740.0733
2026-05-27,South,10,89222.9986,409.4822
2026-05-27,West,17,14980.4433,570.4796
2026-05-28,Midwest,10,16645.7189,543.9622
2026-05-28,Northeast,14,62960.8656,707.4945
2026-05-28,South,15,77023.1869,443.2812
2026-05-28,West,18,13743.8603,580.7451
2026-05-29,Midwest,17,17783.7157,587.4458
2026-05-29,Northeast,11,74335.1205,677.8906
2026-05-29,South,9,92876.3505,473.5239
2026-05-29,West,20,15114.8708,564.5146
2026-05-30,Midwest,16,15154.65,448.5861
2026-05-30,Northeast,20,47920.2395,524.9458
2026-05-30,South,9,61418.187999999995,449.8166
2026-05-30,West,8,11854.3191,452.0262
2026-05-31,Midwest,19,16266.3996,470.4877
2026-05-31,Northeast,19,57931.0705,553.1695
2026-05-31,South,10,61633.3735,421.1246
2026-05-31,West,13,12399.7127,482.1874
