telemetry_id,asset_id,reading_ts,power_output_kw,temperature_c,vibration_mm_s,frequency_hz,status_code,reading_date,site_id,asset_type,criticality,rated_capacity_kw,temperature_alert,vibration_alert,status_alert,anomaly_flag
AT0000000316,AST000001,2026-04-14 03:00:00,49.011,44.528,1.628,60.057,WARNING,2026-04-14,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000326,AST000001,2026-04-14 13:00:00,212.825,46.227,1.483,60.0449,WARNING,2026-04-14,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000328,AST000001,2026-04-14 15:00:00,213.477,37.056,0.887,60.0169,WARNING,2026-04-14,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000333,AST000001,2026-04-14 20:00:00,0.0,42.334,0.537,59.9597,TRIP,2026-04-14,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000334,AST000001,2026-04-14 21:00:00,98.139,46.566,1.024,59.9657,WARNING,2026-04-14,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000336,AST000001,2026-04-14 23:00:00,99.58,50.218,1.572,59.9879,WARNING,2026-04-14,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000340,AST000001,2026-04-15 03:00:00,0.0,51.846,1.191,60.0668,WARNING,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000341,AST000001,2026-04-15 04:00:00,132.271,38.323,1.556,60.0049,TRIP,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000345,AST000001,2026-04-15 08:00:00,238.631,46.798,0.607,60.0612,WARNING,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000347,AST000001,2026-04-15 10:00:00,308.574,34.603,0.852,60.0113,TRIP,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000351,AST000001,2026-04-15 14:00:00,454.2,55.02,1.435,59.99,WARNING,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000353,AST000001,2026-04-15 16:00:00,561.251,48.11,1.278,60.0024,TRIP,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000354,AST000001,2026-04-15 17:00:00,382.074,33.8,0.808,59.9436,TRIP,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000355,AST000001,2026-04-15 18:00:00,238.21,43.91,0.861,59.9127,WARNING,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000357,AST000001,2026-04-15 20:00:00,52.978,51.824,1.11,60.0054,WARNING,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000359,AST000001,2026-04-15 22:00:00,144.847,49.657,0.56,60.0204,TRIP,2026-04-15,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000362,AST000001,2026-04-16 01:00:00,34.21,49.085,1.154,59.9535,WARNING,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000367,AST000001,2026-04-16 06:00:00,215.217,36.19,1.371,59.971,WARNING,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000369,AST000001,2026-04-16 08:00:00,454.003,33.081,1.207,60.0219,TRIP,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000370,AST000001,2026-04-16 09:00:00,386.96,40.369,1.08,59.9603,TRIP,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000371,AST000001,2026-04-16 10:00:00,297.739,47.385,1.426,59.9734,WARNING,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000376,AST000001,2026-04-16 15:00:00,380.125,50.375,0.925,59.9556,TRIP,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000377,AST000001,2026-04-16 16:00:00,236.324,40.668,1.047,60.0044,WARNING,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000379,AST000001,2026-04-16 18:00:00,249.696,36.633,1.32,59.9544,TRIP,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000380,AST000001,2026-04-16 19:00:00,0.0,38.94,1.201,59.8751,WARNING,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000382,AST000001,2026-04-16 21:00:00,41.077,30.81,1.304,60.0344,TRIP,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000383,AST000001,2026-04-16 22:00:00,0.0,37.75,0.733,60.0535,TRIP,2026-04-16,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000385,AST000001,2026-04-17 00:00:00,0.0,36.644,1.101,60.033,WARNING,2026-04-17,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000390,AST000001,2026-04-17 05:00:00,69.469,31.328,0.62,60.048,WARNING,2026-04-17,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000391,AST000001,2026-04-17 06:00:00,28.39,55.057,1.002,60.0911,WARNING,2026-04-17,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000395,AST000001,2026-04-17 10:00:00,353.978,31.436,1.604,59.9524,WARNING,2026-04-17,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000399,AST000001,2026-04-17 14:00:00,364.518,45.723,1.116,59.9452,TRIP,2026-04-17,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000400,AST000001,2026-04-17 15:00:00,483.536,37.884,1.318,59.9666,WARNING,2026-04-17,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000402,AST000001,2026-04-17 17:00:00,444.482,49.879,1.737,60.0439,WARNING,2026-04-17,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000404,AST000001,2026-04-17 19:00:00,68.8,43.771,1.369,60.0378,WARNING,2026-04-17,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000411,AST000001,2026-04-18 02:00:00,0.0,43.713,1.258,60.0279,WARNING,2026-04-18,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000414,AST000001,2026-04-18 05:00:00,0.0,41.899,0.358,60.0779,WARNING,2026-04-18,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000415,AST000001,2026-04-18 06:00:00,0.0,33.183,1.675,59.957,WARNING,2026-04-18,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000416,AST000001,2026-04-18 07:00:00,276.426,43.953,1.184,60.0859,WARNING,2026-04-18,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000417,AST000001,2026-04-18 08:00:00,259.373,64.657,0.769,59.8929,WARNING,2026-04-18,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000420,AST000001,2026-04-18 11:00:00,260.491,34.596,1.205,60.054,WARNING,2026-04-18,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000427,AST000001,2026-04-18 18:00:00,248.178,31.385,1.331,60.0628,WARNING,2026-04-18,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000429,AST000001,2026-04-18 20:00:00,37.779,41.085,1.26,60.0048,TRIP,2026-04-18,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000435,AST000001,2026-04-19 02:00:00,30.746,50.539,1.205,60.0276,TRIP,2026-04-19,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000440,AST000001,2026-04-19 07:00:00,317.731,42.04,1.019,59.9643,WARNING,2026-04-19,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000443,AST000001,2026-04-19 10:00:00,386.198,51.808,1.236,60.0125,WARNING,2026-04-19,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000445,AST000001,2026-04-19 12:00:00,276.301,44.169,1.782,59.9918,TRIP,2026-04-19,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000446,AST000001,2026-04-19 13:00:00,287.265,41.953,1.083,59.9702,TRIP,2026-04-19,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000447,AST000001,2026-04-19 14:00:00,546.987,49.949,1.103,60.0182,TRIP,2026-04-19,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000450,AST000001,2026-04-19 17:00:00,430.359,33.479,1.162,60.0345,WARNING,2026-04-19,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000455,AST000001,2026-04-19 22:00:00,0.0,48.413,0.681,59.9404,TRIP,2026-04-19,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000458,AST000001,2026-04-20 01:00:00,0.0,25.448,1.443,60.1146,TRIP,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000460,AST000001,2026-04-20 03:00:00,0.0,56.634,1.477,60.0358,WARNING,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000463,AST000001,2026-04-20 06:00:00,0.0,43.767,1.452,60.0009,WARNING,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000464,AST000001,2026-04-20 07:00:00,441.067,45.106,1.13,60.005,WARNING,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000468,AST000001,2026-04-20 11:00:00,335.392,28.257,1.378,60.0508,TRIP,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000469,AST000001,2026-04-20 12:00:00,252.157,45.22,1.253,60.0705,WARNING,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000470,AST000001,2026-04-20 13:00:00,381.434,27.906,1.21,60.0254,TRIP,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000476,AST000001,2026-04-20 19:00:00,0.0,56.145,1.203,60.0659,TRIP,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000479,AST000001,2026-04-20 22:00:00,26.466,36.54,0.484,60.0776,WARNING,2026-04-20,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000481,AST000001,2026-04-21 00:00:00,11.475,36.472,1.31,59.9939,TRIP,2026-04-21,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
AT0000000485,AST000001,2026-04-21 04:00:00,0.0,54.458,0.497,60.1004,TRIP,2026-04-21,SITE0001,Solar Inverter,Medium,1559.3,False,False,True,True
