reading_date,site_id,site_type,region,grid_zone,generation_mwh,net_generation_mwh,curtailment_mwh,avg_capacity_factor,avg_wind_speed_mps,avg_solar_irradiance_wm2
2026-04-02,SITE0011,Wind Farm,West,ERCOT,1761.6593,1744.4380999999998,17.2212,0.4509471465549371,5.4562083333333335,347.5009583333333
2026-04-02,SITE0012,Wind Farm,West,ERCOT,628.4453,612.2585,16.1868,0.4186620966237642,5.986625,404.8256666666667
2026-04-02,SITE0014,Wind Farm,West,MISO,1652.8310999999999,1630.7272,22.1039,0.4642669226153961,6.260958333333334,353.9614583333334
2026-04-02,SITE0015,Solar Farm,South,PJM,430.0847,408.1265,21.9582,0.37268521406982225,5.6535,353.4105416666667
2026-04-02,SITE0017,Solar Farm,Midwest,PJM,780.4498,750.7942,29.6556,0.40995350234694444,5.344708333333333,371.14366666666666
2026-04-02,SITE0019,Solar Farm,South,PJM,702.8353,685.6524,17.1829,0.37286008793708597,5.404333333333334,411.9721666666667
2026-04-02,SITE0022,Solar Farm,West,PJM,690.8487,667.4504,23.3983,0.35820956582336766,6.320083333333333,404.08033333333333
2026-04-02,SITE0023,Battery Storage,South,PJM,17.9178,-8.053500000000003,25.9713,0.2199602108897033,6.011208333333333,380.701625
2026-04-02,SITE0024,Solar Farm,Midwest,CAISO,392.5596,368.3684,24.191200000000002,0.3899547025867207,6.31825,380.79925
2026-04-02,SITE0025,Battery Storage,Northeast,CAISO,-26.6937,-49.0011,22.3074,0.3371638176200998,5.666166666666666,348.8061666666667
2026-04-02,SITE0028,Solar Farm,South,CAISO,581.5621,551.8611,29.701,0.360339556659281,5.827791666666666,358.95137500000004
2026-04-02,SITE0029,Solar Farm,Midwest,CAISO,172.8284,154.888,17.9404,0.37906950220210206,5.8769583333333335,373.5807916666667
2026-04-02,SITE0030,Wind Farm,West,CAISO,1213.5421000000001,1193.6234,19.9187,0.40610923039030644,6.571208333333334,336.4255416666667
2026-04-03,SITE0001,Solar Farm,Northeast,MISO,505.0235,477.9602,27.0633,0.41155184497033703,6.218833333333333,389.7300833333333
2026-04-03,SITE0002,Battery Storage,Northeast,SPP,167.3245,150.9409,16.3836,0.26374816911086596,5.293291666666667,349.533125
2026-04-03,SITE0003,Solar Farm,West,SPP,338.6913,308.9692,29.7221,0.3983441301831936,6.068958333333334,418.8290833333333
2026-04-03,SITE0004,Solar Farm,Midwest,MISO,1108.8605,1089.8663,18.9942,0.39306240872290044,5.879166666666666,357.142125
2026-04-03,SITE0006,Solar Farm,South,CAISO,499.7597,466.0365,33.7232,0.4348156365281548,6.733125,323.5202083333333
2026-04-03,SITE0007,Wind Farm,West,PJM,1101.2048,1081.2536,19.9512,0.38488376644801225,5.408,392.2510833333333
2026-04-03,SITE0009,Battery Storage,West,CAISO,-0.26650000000000024,-28.5785,28.311999999999998,0.267452268973433,6.112125,386.1869583333333
2026-04-03,SITE0011,Wind Farm,West,ERCOT,1494.4358,1480.42,14.015799999999999,0.38254363923804374,5.866166666666667,439.64995833333336
2026-04-03,SITE0012,Wind Farm,West,ERCOT,558.8753,535.2237,23.651600000000002,0.37231546619767103,5.344708333333333,380.8145833333333
2026-04-03,SITE0014,Wind Farm,West,MISO,1473.125,1458.555,14.57,0.41378892881299567,5.637833333333333,384.7755833333333
2026-04-03,SITE0015,Solar Farm,South,PJM,425.9981,403.7455,22.2526,0.36914401533427615,6.164208333333334,343.57733333333334
2026-04-03,SITE0017,Solar Farm,Midwest,PJM,766.2837,749.1899999999999,17.0937,0.40251235455038264,6.245791666666666,383.022625
2026-04-03,SITE0019,Solar Farm,South,PJM,755.4289,734.3962,21.0327,0.400761438823884,5.326625,392.826
2026-04-03,SITE0022,Solar Farm,West,PJM,778.5624,756.2387,22.323700000000002,0.40368969250488435,6.254791666666667,405.9345416666667
2026-04-03,SITE0023,Battery Storage,South,PJM,-59.3379,-90.619,31.2811,0.28370272415686154,6.134333333333333,366.10604166666667
2026-04-03,SITE0024,Solar Farm,Midwest,CAISO,363.2062,343.02750000000003,20.1787,0.3607960821710971,5.598916666666667,417.09475
2026-04-03,SITE0025,Battery Storage,Northeast,CAISO,59.457,40.0315,19.4255,0.2419955601931418,6.152875000000001,394.02475000000004
2026-04-03,SITE0028,Solar Farm,South,CAISO,647.1994,619.9516,27.247799999999998,0.4010088430214978,5.722083333333334,344.410625
2026-04-03,SITE0029,Solar Farm,Midwest,CAISO,172.7332,153.9724,18.7608,0.37886069730308297,6.430041666666667,412.2608333333333
2026-04-03,SITE0030,Wind Farm,West,CAISO,1339.3144,1327.1081,12.2063,0.4481986576606243,6.288875,433.24304166666667
2026-04-04,SITE0001,Solar Farm,Northeast,MISO,510.10130000000004,490.6316,19.4697,0.4156898265858269,6.243458333333333,386.2170833333334
2026-04-04,SITE0002,Battery Storage,Northeast,SPP,-112.58420000000001,-132.734,20.1498,0.2769719354080396,7.3544583333333335,370.0310416666666
2026-04-04,SITE0003,Solar Farm,West,SPP,302.7708,279.2072,23.5636,0.3560970446269794,6.581125,409.719125
2026-04-04,SITE0004,Solar Farm,Midwest,MISO,1062.2008,1040.7004,21.5004,0.3765227501524239,6.5825,324.8220833333333
2026-04-04,SITE0006,Solar Farm,South,CAISO,446.0777,427.3038,18.7739,0.38810964362775807,6.612749999999999,409.3994583333333
2026-04-04,SITE0007,Wind Farm,West,PJM,1131.8682000000001,1105.6065,26.261699999999998,0.3956009780730451,5.544041666666666,370.86337499999996
2026-04-04,SITE0009,Battery Storage,West,CAISO,-4.493299999999998,-30.037599999999998,25.5443,0.25326663587245596,6.215541666666667,319.42920833333335
2026-04-04,SITE0011,Wind Farm,West,ERCOT,1390.811,1362.5011,28.3099,0.35601790416978957,5.68525,406.76512499999995
2026-04-04,SITE0012,Wind Farm,West,ERCOT,577.3978999999999,551.8639000000001,25.534,0.3846549817464759,5.786874999999999,408.01962499999996
2026-04-04,SITE0014,Wind Farm,West,MISO,1405.6614,1374.7379,30.9235,0.39483894780129036,5.524791666666666,377.04508333333337
2026-04-04,SITE0015,Solar Farm,South,PJM,462.63329999999996,439.7145,22.9188,0.40088984901422503,5.915375,370.02849999999995
2026-04-04,SITE0017,Solar Farm,Midwest,PJM,738.0609000000001,710.0594,28.0015,0.38768752442545046,6.642333333333333,411.58258333333333
2026-04-04,SITE0019,Solar Farm,South,PJM,660.4162,635.4166,24.9996,0.3503563955980528,5.2880416666666665,389.86016666666666
2026-04-04,SITE0022,Solar Farm,West,PJM,789.3118999999999,767.8486,21.4633,0.4092633785056227,5.414625,365.10212500000006
2026-04-04,SITE0023,Battery Storage,South,PJM,51.407799999999995,31.658199999999994,19.7496,0.2546116048686638,5.8416250000000005,368.2022083333333
2026-04-04,SITE0024,Solar Farm,Midwest,CAISO,390.008,358.65909999999997,31.3489,0.3874200341717328,6.3825416666666674,362.5865833333333
2026-04-04,SITE0025,Battery Storage,Northeast,CAISO,168.5245,145.6747,22.8498,0.31420188333742527,5.864791666666666,398.77108333333337
2026-04-04,SITE0028,Solar Farm,South,CAISO,571.3276,552.2621,19.0655,0.35399819570637603,6.114958333333334,383.33779166666665
2026-04-04,SITE0029,Solar Farm,Midwest,CAISO,182.8126,159.1359,23.6767,0.4009681353196119,5.192958333333333,419.145
2026-04-04,SITE0030,Wind Farm,West,CAISO,1362.9951,1353.366,9.6291,0.4561233525287329,5.914000000000001,404.25595833333335
2026-04-05,SITE0001,Solar Farm,Northeast,MISO,510.2729,492.4552,17.8177,0.4158296662103136,6.316041666666667,400.743625
2026-04-05,SITE0002,Battery Storage,Northeast,SPP,-75.3183,-94.27510000000001,18.9568,0.18163362024797622,6.65125,394.0608333333334
2026-04-05,SITE0003,Solar Farm,West,SPP,341.911,326.8225,15.0885,0.40213090768810983,4.99825,361.0557083333333
2026-04-05,SITE0004,Solar Farm,Midwest,MISO,993.5702,973.9522,19.618,0.3521949749741234,5.376541666666667,336.45258333333334
2026-04-05,SITE0006,Solar Farm,South,CAISO,404.1279,384.0564,20.0715,0.3516112445186887,5.90175,370.93329166666666
2026-04-05,SITE0007,Wind Farm,West,PJM,1160.0301,1136.3512,23.678900000000002,0.40544388662405423,6.446208333333334,405.52904166666667
2026-04-05,SITE0009,Battery Storage,West,CAISO,8.3948,-18.9282,27.323,0.3266943814562862,5.82425,381.53204166666666
2026-04-05,SITE0011,Wind Farm,West,ERCOT,1442.324,1424.3355000000001,17.9885,0.36920413169998484,5.948583333333333,413.4749583333333
2026-04-05,SITE0012,Wind Farm,West,ERCOT,668.4111,647.4322,20.9789,0.44528679350867373,6.03425,360.79716666666667
2026-04-05,SITE0014,Wind Farm,West,MISO,1316.8762,1288.4328,28.4434,0.3698999013507531,4.661583333333334,341.0361666666667
2026-04-05,SITE0015,Solar Farm,South,PJM,472.12260000000003,460.5337,11.5889,0.4091126986107645,5.900291666666667,420.4544583333334
2026-04-05,SITE0017,Solar Farm,Midwest,PJM,769.2828,748.632,20.6508,0.4040877173077166,7.131333333333333,396.167375
2026-04-05,SITE0019,Solar Farm,South,PJM,697.7716,673.4231,24.348499999999998,0.3701737521379492,5.786416666666667,376.36058333333335
2026-04-05,SITE0022,Solar Farm,West,PJM,732.3254,712.2143,20.1111,0.3797155058342356,5.983291666666666,376.445625
2026-04-05,SITE0023,Battery Storage,South,PJM,104.9205,89.401,15.5195,0.2826378894213887,6.46625,387.496625
2026-04-05,SITE0024,Solar Farm,Midwest,CAISO,394.8229,379.6184,15.2045,0.3922029840664362,5.527583333333333,379.0715416666667
2026-04-05,SITE0025,Battery Storage,Northeast,CAISO,-83.3717,-113.95500000000001,30.5833,0.3206242583271953,5.245708333333334,355.3152916666666
2026-04-05,SITE0028,Solar Farm,South,CAISO,662.8434,639.2284999999999,23.6149,0.41070196439989887,6.392083333333333,331.23466666666667
2026-04-05,SITE0029,Solar Farm,Midwest,CAISO,163.6514,140.2339,23.4175,0.35894132406871265,5.8625,389.0172916666666
2026-04-05,SITE0030,Wind Farm,West,CAISO,1347.1339,1319.6492,27.4847,0.4508154363673844,6.16875,353.0709583333333
2026-04-06,SITE0001,Solar Farm,Northeast,MISO,504.5422,490.8803,13.661900000000001,0.41115962579046866,5.713041666666666,416.328375
2026-04-06,SITE0002,Battery Storage,Northeast,SPP,23.48039999999999,6.333200000000005,17.1472,0.3291647830358703,6.233833333333333,387.79229166666664
2026-04-06,SITE0003,Solar Farm,West,SPP,338.5324,321.6173,16.9151,0.39815724353365134,6.21775,359.7373333333333
2026-04-06,SITE0004,Solar Farm,Midwest,MISO,1047.0438,1015.9404000000001,31.1034,0.37114998511208475,6.296499999999999,378.3326666666667
2026-04-06,SITE0006,Solar Farm,South,CAISO,490.3582,469.0521,21.3061,0.4266358669172409,5.179458333333334,384.8677916666666
2026-04-06,SITE0007,Wind Farm,West,PJM,1301.2671,1283.4081,17.859,0.4548078455550522,5.294833333333333,377.4816666666666
2026-04-06,SITE0009,Battery Storage,West,CAISO,23.4373,-9.767199999999999,33.204499999999996,0.24839905097841608,7.133375,402.38941666666665
2026-04-06,SITE0011,Wind Farm,West,ERCOT,1527.7347,1508.1806,19.5541,0.3910674462752037,6.769458333333333,362.50225
2026-04-06,SITE0012,Wind Farm,West,ERCOT,661.7668,640.1871,21.5797,0.44086044714472244,6.422041666666666,362.310625
2026-04-06,SITE0014,Wind Farm,West,MISO,1500.6597,1481.9301,18.729599999999998,0.42152320392080195,6.884083333333333,352.42083333333335
2026-04-06,SITE0015,Solar Farm,South,PJM,433.762,411.8842,21.8778,0.375871738346782,6.265875,363.009125
2026-04-06,SITE0017,Solar Farm,Midwest,PJM,767.9785999999999,748.3091,19.6695,0.40340264908454465,6.606958333333334,341.491875
2026-04-06,SITE0019,Solar Farm,South,PJM,812.1225,782.4926,29.6299,0.4308378744859373,5.761500000000001,379.98466666666667
2026-04-06,SITE0022,Solar Farm,West,PJM,690.1293000000001,665.568,24.5613,0.35783655222190425,6.3866249999999996,352.757875
2026-04-06,SITE0023,Battery Storage,South,PJM,15.0819,-14.076199999999996,29.1581,0.23298508588413924,5.753041666666667,406.30170833333335
2026-04-06,SITE0024,Solar Farm,Midwest,CAISO,377.9656,351.6936,26.272,0.37545754360869393,6.762958333333334,380.3805
2026-04-06,SITE0025,Battery Storage,Northeast,CAISO,-58.527899999999995,-77.8582,19.3303,0.35364174134544557,6.990916666666667,338.31329166666666
2026-04-06,SITE0028,Solar Farm,South,CAISO,628.5252,608.9314,19.593799999999998,0.3894381905512514,5.671166666666667,409.72295833333334
2026-04-06,SITE0029,Solar Farm,Midwest,CAISO,159.0357,129.4452,29.590500000000002,0.34881757645944095,6.663083333333334,402.02725000000004
2026-04-06,SITE0030,Wind Farm,West,CAISO,1238.9841000000001,1212.5043,26.4798,0.414623340481411,6.772208333333334,371.95887500000003
2026-04-07,SITE0001,Solar Farm,Northeast,MISO,519.1635,493.6621,25.5014,0.4230747604146294,6.217875,406.30766666666665
2026-04-07,SITE0002,Battery Storage,Northeast,SPP,26.7893,6.367799999999999,20.4215,0.18218047594076056,5.514291666666666,358.5109166666667
2026-04-07,SITE0003,Solar Farm,West,SPP,362.758,332.9558,29.802200000000003,0.4266496363413969,6.714666666666667,391.32845833333334
2026-04-07,SITE0004,Solar Farm,Midwest,MISO,980.8062,957.3589,23.447300000000002,0.34767046662980133,6.752958333333333,370.81558333333334
2026-04-07,SITE0006,Solar Farm,South,CAISO,454.5334,428.0398,26.4936,0.3954665204983643,4.972666666666666,376.03020833333335
2026-04-07,SITE0007,Wind Farm,West,PJM,1184.2828,1161.5184,22.764400000000002,0.4139204847305406,6.008916666666667,402.17220833333334
2026-04-07,SITE0009,Battery Storage,West,CAISO,-28.6874,-45.9754,17.288,0.20344265278127713,5.8339583333333325,359.4514166666666
2026-04-07,SITE0011,Wind Farm,West,ERCOT,1595.3899999999999,1584.0339,11.3561,0.4083857577582006,5.2179166666666665,315.3885833333333
2026-04-07,SITE0012,Wind Farm,West,ERCOT,568.1047,554.8413,13.2634,0.3784639726063901,5.523,347.0219583333333
2026-04-07,SITE0014,Wind Farm,West,MISO,1665.8344,1641.8599,23.9745,0.4679194446878841,5.7335416666666665,379.1504166666667
2026-04-07,SITE0015,Solar Farm,South,PJM,401.3652,384.8786,16.4866,0.3477986440395973,6.065124999999999,386.8539166666667
2026-04-07,SITE0017,Solar Farm,Midwest,PJM,761.7564,730.1146,31.6418,0.4001342611852805,6.117375,401.2070416666667
2026-04-07,SITE0019,Solar Farm,South,PJM,745.9513999999999,724.8081,21.1433,0.39573354468791244,6.079249999999999,401.53920833333336
2026-04-07,SITE0022,Solar Farm,West,PJM,693.4813,670.384,23.0973,0.35957458612808363,6.945791666666666,414.67125000000004
2026-04-07,SITE0023,Battery Storage,South,PJM,161.0032,142.5167,18.4865,0.23236926965097357,5.867916666666667,384.14900000000006
2026-04-07,SITE0024,Solar Farm,Midwest,CAISO,412.7684,386.2218,26.5466,0.4100294035840584,5.742166666666667,387.24712500000004
2026-04-07,SITE0025,Battery Storage,Northeast,CAISO,-30.647199999999998,-55.6348,24.9876,0.3215952103281774,6.5304166666666665,341.08454166666667
2026-04-07,SITE0028,Solar Farm,South,CAISO,612.743,587.6889,25.0541,0.3796594395784694,6.341541666666667,371.2497916666667
2026-04-07,SITE0029,Solar Farm,Midwest,CAISO,164.5436,148.0853,16.4583,0.3608982119983857,5.889333333333333,414.80958333333336
2026-04-07,SITE0030,Wind Farm,West,CAISO,1108.0039,1081.1183,26.8856,0.3707911007771861,5.891375,343.90387499999997
2026-04-08,SITE0001,Solar Farm,Northeast,MISO,479.1571,447.3408,31.8163,0.39047289588630285,5.917833333333333,434.86629166666665
2026-04-08,SITE0002,Battery Storage,Northeast,SPP,-31.113300000000006,-55.951800000000006,24.8385,0.2701715008167423,5.892125,341.6720416666667
2026-04-08,SITE0003,Solar Farm,West,SPP,342.4837,323.9125,18.5712,0.40280447587056956,5.651625,352.01029166666666
2026-04-08,SITE0004,Solar Farm,Midwest,MISO,1012.0586,991.6695,20.3891,0.35874863527443385,5.889291666666666,363.2724166666667
2026-04-08,SITE0006,Solar Farm,South,CAISO,407.6732,383.1526,24.5206,0.35469583072318506,5.706666666666667,379.53383333333335
2026-04-08,SITE0007,Wind Farm,West,PJM,1108.7151,1090.4854,18.2297,0.38750870283691513,5.77,343.61725
2026-04-08,SITE0009,Battery Storage,West,CAISO,14.667600000000002,-6.2764,20.944,0.23684457322023458,6.078875,352.8213333333333
2026-04-08,SITE0011,Wind Farm,West,ERCOT,1586.6201,1569.4996,17.1205,0.4061408507091632,6.9327499999999995,380.18575000000004
2026-04-08,SITE0012,Wind Farm,West,ERCOT,537.3539,517.4343,19.9196,0.3579781890372265,5.973708333333334,393.74808333333334
2026-04-08,SITE0014,Wind Farm,West,MISO,1484.5433,1459.1559,25.3874,0.4169962371716655,7.902083333333334,389.3915416666667
2026-04-08,SITE0015,Solar Farm,South,PJM,435.8616,413.4642,22.3974,0.37769112386656684,5.701875,325.14500000000004
2026-04-08,SITE0017,Solar Farm,Midwest,PJM,719.3352,698.997,20.3382,0.37785131676815054,6.549125,382.9243333333333
2026-04-08,SITE0019,Solar Farm,South,PJM,764.6838,733.9374,30.746399999999998,0.4056712417718135,5.5317083333333334,347.7146666666667
2026-04-08,SITE0022,Solar Farm,West,PJM,742.2053,717.0054,25.1999,0.384838298551915,6.010249999999999,399.83408333333335
2026-04-08,SITE0023,Battery Storage,South,PJM,-10.981999999999998,-35.5044,24.5224,0.28459253873812385,5.6939166666666665,374.3265833333333
2026-04-08,SITE0024,Solar Farm,Midwest,CAISO,404.3834,388.6905,15.6929,0.4017000437080303,6.384333333333333,359.65387499999997
2026-04-08,SITE0025,Battery Storage,Northeast,CAISO,-17.126600000000003,-30.413700000000002,13.287099999999999,0.3957264301497667,6.2437499999999995,357.1423333333333
2026-04-08,SITE0028,Solar Farm,South,CAISO,628.8403,605.1563,23.684,0.3896334285048652,6.390041666666666,404.17945833333334
2026-04-08,SITE0029,Solar Farm,Midwest,CAISO,167.8595,141.4756,26.3839,0.3681710708708392,6.7218333333333335,406.2327916666666
2026-04-08,SITE0030,Wind Farm,West,CAISO,1254.8955,1226.3621,28.5334,0.41994805596382595,6.216833333333334,351.14787500000006
2026-04-09,SITE0001,Solar Farm,Northeast,MISO,453.2752,431.5767,21.6985,0.3693813156007562,6.420083333333333,365.062375
2026-04-09,SITE0002,Battery Storage,Northeast,SPP,54.13770000000001,32.91080000000001,21.2269,0.3632236156067099,5.957249999999999,391.554375
2026-04-09,SITE0003,Solar Farm,West,SPP,324.70120000000003,308.8566,15.8446,0.38188998974416877,5.915083333333333,375.57625
2026-04-09,SITE0004,Solar Farm,Midwest,MISO,1021.5236,999.7434000000001,21.7802,0.36210373332199014,6.970041666666667,385.32054166666666
2026-04-09,SITE0006,Solar Farm,South,CAISO,449.1231,421.5787,27.5444,0.39075929212779287,5.420958333333334,404.7874166666666
2026-04-09,SITE0007,Wind Farm,West,PJM,1245.3841,1230.1684,15.2157,0.4352760931322384,6.274875000000001,382.9527083333333
2026-04-09,SITE0009,Battery Storage,West,CAISO,3.137100000000001,-17.691799999999994,20.8289,0.3402910752778478,6.703041666666667,370.51212499999997
2026-04-09,SITE0011,Wind Farm,West,ERCOT,1538.7237,1515.6483,23.075400000000002,0.3938803955177117,5.892500000000001,409.36745833333333
2026-04-09,SITE0012,Wind Farm,West,ERCOT,639.5213,612.6646000000001,26.8567,0.42604078396887574,5.225833333333333,370.218875
2026-04-09,SITE0014,Wind Farm,West,MISO,1468.6214,1447.4503,21.1711,0.4125239039034991,5.601166666666667,384.54862499999996
2026-04-09,SITE0015,Solar Farm,South,PJM,434.5327,412.3866,22.1461,0.37653958004048466,5.387166666666666,378.48745833333334
2026-04-09,SITE0017,Solar Farm,Midwest,PJM,700.7561,683.7383,17.0178,0.36809211493934085,6.563541666666667,387.27624999999995
2026-04-09,SITE0019,Solar Farm,South,PJM,767.5151,742.2582,25.2569,0.4071732704362477,6.044416666666667,399.1337083333333
2026-04-09,SITE0022,Solar Farm,West,PJM,812.8759,789.5485,23.3274,0.4214814665024038,6.038291666666666,349.3970833333333
2026-04-09,SITE0023,Battery Storage,South,PJM,-93.39899999999999,-117.37219999999998,23.9732,0.2686686103733598,5.801833333333334,398.828125
2026-04-09,SITE0024,Solar Farm,Midwest,CAISO,370.7103,349.1472,21.5631,0.36825038741208727,6.3045,452.0398333333333
2026-04-09,SITE0025,Battery Storage,Northeast,CAISO,22.824400000000004,2.4273000000000007,20.397100000000002,0.2996033329241345,6.4225,349.25991666666664
2026-04-09,SITE0028,Solar Farm,South,CAISO,617.1972000000001,588.8725,28.3247,0.38241929007985487,5.740583333333333,354.9410833333333
2026-04-09,SITE0029,Solar Farm,Midwest,CAISO,184.87890000000002,154.8128,30.0661,0.40550021055956204,5.815625,356.2562083333333
2026-04-09,SITE0030,Wind Farm,West,CAISO,1390.9118,1368.8208,22.091,0.46546561560476213,6.215583333333334,355.6295
2026-04-10,SITE0001,Solar Farm,Northeast,MISO,456.85970000000003,444.1663,12.6934,0.37230238281504663,6.5698333333333325,417.1405833333333
2026-04-10,SITE0002,Battery Storage,Northeast,SPP,31.085400000000007,8.685199999999995,22.4002,0.3042910616444549,5.212416666666667,300.5995
2026-04-10,SITE0003,Solar Farm,West,SPP,370.0096,353.47200000000004,16.537599999999998,0.43517844205455347,5.814791666666667,338.3405833333333
2026-04-10,SITE0004,Solar Farm,Midwest,MISO,968.9615,959.2934,9.668099999999999,0.343471826392729,5.936083333333333,396.7923333333333
2026-04-10,SITE0006,Solar Farm,South,CAISO,496.37010000000004,472.1888,24.1813,0.43186651701816664,5.668916666666667,381.86829166666666
2026-04-10,SITE0007,Wind Farm,West,PJM,1132.8456,1108.2142000000001,24.6314,0.39594259063532805,5.6113333333333335,326.31129166666665
2026-04-10,SITE0009,Battery Storage,West,CAISO,17.4142,-7.517900000000001,24.9321,0.24961227289269616,6.199750000000001,378.54770833333333
2026-04-10,SITE0011,Wind Farm,West,ERCOT,1643.3614,1622.9332,20.4282,0.4206654113474306,7.224625,348.90408333333335
2026-04-10,SITE0012,Wind Farm,West,ERCOT,581.0458,564.2901,16.7557,0.3870851653476164,6.390333333333333,408.4429583333333
2026-04-10,SITE0014,Wind Farm,West,MISO,1485.5819999999999,1459.4697,26.1123,0.41728799962248125,5.5160833333333334,410.47866666666664
2026-04-10,SITE0015,Solar Farm,South,PJM,440.0555,430.40110000000004,9.6544,0.3813253022488423,6.387291666666666,388.6791666666666
2026-04-10,SITE0017,Solar Farm,Midwest,PJM,779.562,752.5153,27.0467,0.409487160092281,5.526916666666668,402.96345833333334
2026-04-10,SITE0019,Solar Farm,South,PJM,802.4152,780.0708999999999,22.3443,0.4256880695008552,6.1237916666666665,412.6624583333333
2026-04-10,SITE0022,Solar Farm,West,PJM,797.711,771.7915,25.9195,0.41361836674589453,6.439416666666666,409.02975
2026-04-10,SITE0023,Battery Storage,South,PJM,-56.8348,-73.3812,16.5464,0.25433167153829794,6.820708333333333,391.5144583333333
2026-04-10,SITE0024,Solar Farm,Midwest,CAISO,388.2115,364.9875,23.224,0.3856354551595343,6.328458333333334,354.8419166666667
2026-04-10,SITE0025,Battery Storage,Northeast,CAISO,14.654499999999999,-0.9500000000000028,15.6045,0.24566543395531548,6.0802499999999995,370.8895416666667
2026-04-10,SITE0028,Solar Farm,South,CAISO,635.904,610.4616,25.4424,0.39401014171635906,6.168625,383.71049999999997
2026-04-10,SITE0029,Solar Farm,Midwest,CAISO,190.19129999999998,173.9985,16.192800000000002,0.4171520503237353,6.525875,359.74483333333336
2026-04-10,SITE0030,Wind Farm,West,CAISO,1209.0108,1173.2029,35.807900000000004,0.40459284067818396,6.4277083333333325,332.4177916666667
2026-04-11,SITE0001,Solar Farm,Northeast,MISO,451.9134,428.8163,23.0971,0.36827156268335615,6.249124999999999,354.3205
2026-04-11,SITE0002,Battery Storage,Northeast,SPP,-53.5517,-66.1748,12.623099999999999,0.26414463572087304,6.515833333333333,391.2925833333333
