generation_id,site_id,reading_ts,generation_mw,available_capacity_mw,curtailment_mw,source_system,reading_date,site_type,region,rated_capacity_mw,grid_zone,weather_ts,temperature_c,wind_speed_mps,solar_irradiance_wm2,humidity_pct,weather_condition,capacity_factor,net_generation_mw
GEN0000000015,SITE0001,2026-04-01 14:00:00,41.9863,48.0067,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 14:00:00,20.722,1.199,454.671,77.998,Clear,0.8211676119694895,41.9863
GEN0000000016,SITE0001,2026-04-01 15:00:00,32.9063,45.9212,1.1916,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 15:00:00,22.903,5.039,458.844,66.549,Storm,0.6435810678662234,31.7147
GEN0000000017,SITE0001,2026-04-01 16:00:00,39.6546,45.2754,0.5179,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 16:00:00,22.985,6.065,781.851,57.518,Clear,0.7755642479953061,39.136700000000005
GEN0000000018,SITE0001,2026-04-01 17:00:00,32.1252,45.6006,2.7824,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 17:00:00,36.22,3.342,480.018,49.553,Clear,0.6283043223156659,29.3428
GEN0000000019,SITE0001,2026-04-01 18:00:00,39.3645,49.8884,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 18:00:00,21.403,7.922,560.425,46.782,Storm,0.7698904752591433,39.3645
GEN0000000020,SITE0001,2026-04-01 19:00:00,0.0,45.3919,1.4722,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 19:00:00,16.292,5.966,766.135,60.222,Storm,0.0,-1.4722
GEN0000000021,SITE0001,2026-04-01 20:00:00,7.6677,47.0553,0.136,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 20:00:00,12.755,6.012,0.0,18.261,Cloudy,0.14996479561901035,7.5317
GEN0000000022,SITE0001,2026-04-01 21:00:00,10.5879,45.8009,0.6414,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 21:00:00,29.754,6.489,45.712,100.0,Clear,0.20707803637786035,9.9465
GEN0000000023,SITE0001,2026-04-01 22:00:00,0.0,47.2035,0.0,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 22:00:00,19.681,4.67,112.332,67.944,Snow,0.0,0.0
GEN0000000024,SITE0001,2026-04-01 23:00:00,0.0,49.2927,0.8593,scada,2026-04-01,Solar Farm,Northeast,51.13,MISO,2026-04-01 23:00:00,31.276,0.599,129.631,47.909,Clear,0.0,-0.8593
GEN0000000025,SITE0001,2026-04-02 00:00:00,2.7077,48.3352,3.2073,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 00:00:00,23.098,7.261,0.0,51.353,Cloudy,0.052957168003129274,-0.49960000000000004
GEN0000000026,SITE0001,2026-04-02 01:00:00,0.0,45.1079,0.5456,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 01:00:00,13.669,5.624,172.479,62.98,Clear,0.0,-0.5456
GEN0000000027,SITE0001,2026-04-02 02:00:00,5.8992,46.4612,2.7383,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 02:00:00,16.571,6.304,128.426,34.486,Cloudy,0.11537649129669471,3.1609000000000003
GEN0000000028,SITE0001,2026-04-02 03:00:00,19.5484,48.0453,1.4172,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 03:00:00,12.924,7.479,0.0,80.141,Clear,0.3823274007432036,18.1312
GEN0000000029,SITE0001,2026-04-02 04:00:00,0.0,50.5995,2.8259,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 04:00:00,31.198,3.977,55.17,39.994,Clear,0.0,-2.8259
GEN0000000030,SITE0001,2026-04-02 05:00:00,17.715,48.9191,0.0,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 05:00:00,10.084,5.755,0.0,36.524,Storm,0.3464697829063172,17.715
GEN0000000031,SITE0001,2026-04-02 06:00:00,2.5837,50.0181,0.4603,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 06:00:00,14.407,9.557,628.383,41.329,Clear,0.05053197731273225,2.1233999999999997
GEN0000000032,SITE0001,2026-04-02 07:00:00,45.6619,46.0754,0.0,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 07:00:00,20.874,3.674,339.29,28.164,Rain,0.8930549579503227,45.6619
GEN0000000033,SITE0001,2026-04-02 08:00:00,36.5149,47.297,2.0328,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 08:00:00,35.271,6.42,336.781,53.093,Snow,0.7141580285546645,34.482099999999996
GEN0000000034,SITE0001,2026-04-02 09:00:00,29.7532,45.2903,2.2781,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 09:00:00,19.072,8.805,378.266,73.151,Clear,0.5819127713671034,27.4751
GEN0000000035,SITE0001,2026-04-02 10:00:00,41.2404,46.0789,0.0,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 10:00:00,26.965,6.71,356.089,75.901,Clear,0.8065793076471739,41.2404
GEN0000000036,SITE0001,2026-04-02 11:00:00,28.2614,48.2265,0.0,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 11:00:00,21.771,6.956,212.922,68.338,Storm,0.5527361627224721,28.2614
GEN0000000037,SITE0001,2026-04-02 12:00:00,37.0477,47.1064,0.2981,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 12:00:00,13.639,6.239,745.899,81.075,Cloudy,0.7245785253275963,36.7496
GEN0000000038,SITE0001,2026-04-02 13:00:00,46.409,46.9843,2.0712,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 13:00:00,20.557,6.187,772.131,66.556,Storm,0.9076667318599647,44.3378
GEN0000000039,SITE0001,2026-04-02 14:00:00,20.9878,50.3769,2.2759,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 14:00:00,17.372,6.714,256.151,23.934,Clear,0.4104791707412478,18.7119
GEN0000000040,SITE0001,2026-04-02 15:00:00,25.1377,46.2804,0.0,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 15:00:00,18.396,2.071,416.255,78.169,Storm,0.49164287111284954,25.1377
GEN0000000041,SITE0001,2026-04-02 16:00:00,45.555,46.0472,0.4646,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 16:00:00,24.7,5.82,859.113,85.817,Clear,0.8909642088793271,45.0904
GEN0000000042,SITE0001,2026-04-02 17:00:00,43.8637,47.2869,0.0,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 17:00:00,13.203,8.119,522.229,82.59,Storm,0.857885781341678,43.8637
GEN0000000043,SITE0001,2026-04-02 18:00:00,21.683,49.897,3.1089,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 18:00:00,22.313,2.285,356.398,55.267,Clear,0.4240758849990221,18.5741
GEN0000000044,SITE0001,2026-04-02 19:00:00,1.6415,47.2519,0.2895,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 19:00:00,22.79,6.988,561.882,80.654,Storm,0.03210443966360258,1.3519999999999999
GEN0000000045,SITE0001,2026-04-02 20:00:00,0.0,49.6452,0.5872,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 20:00:00,1.78,6.648,0.0,71.453,Snow,0.0,-0.5872
GEN0000000046,SITE0001,2026-04-02 21:00:00,0.0,48.3412,0.9723,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 21:00:00,20.574,1.848,0.0,69.402,Cloudy,0.0,-0.9723
GEN0000000047,SITE0001,2026-04-02 22:00:00,11.1667,48.8169,0.0778,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 22:00:00,29.39,8.885,44.038,88.95,Cloudy,0.21839820066497165,11.0889
GEN0000000048,SITE0001,2026-04-02 23:00:00,0.0,46.6151,0.0,scada,2026-04-02,Solar Farm,Northeast,51.13,MISO,2026-04-02 23:00:00,32.221,4.145,17.057,60.458,Cloudy,0.0,0.0
GEN0000000049,SITE0001,2026-04-03 00:00:00,0.0,45.0451,2.124,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 00:00:00,16.324,9.284,143.936,86.686,Storm,0.0,-2.124
GEN0000000050,SITE0001,2026-04-03 01:00:00,1.0047,49.5183,0.9406,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 01:00:00,21.185,5.124,63.331,44.186,Snow,0.019649911989047524,0.06409999999999993
GEN0000000051,SITE0001,2026-04-03 02:00:00,5.1678,47.116,0.0,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 02:00:00,10.766,6.656,0.0,85.949,Snow,0.10107177782123997,5.1678
GEN0000000052,SITE0001,2026-04-03 03:00:00,2.545,45.9808,2.6142,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 03:00:00,14.074,4.695,61.901,38.635,Rain,0.04977508312145511,-0.06919999999999993
GEN0000000053,SITE0001,2026-04-03 04:00:00,2.3733,47.7699,1.4936,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 04:00:00,33.798,7.124,136.119,35.801,Cloudy,0.04641697633483278,0.8796999999999999
GEN0000000054,SITE0001,2026-04-03 05:00:00,0.0,50.1239,0.0,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 05:00:00,39.793,10.938,73.755,91.601,Cloudy,0.0,0.0
GEN0000000055,SITE0001,2026-04-03 06:00:00,0.0,46.5741,0.9239,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 06:00:00,20.886,5.653,494.691,45.56,Cloudy,0.0,-0.9239
GEN0000000056,SITE0001,2026-04-03 07:00:00,51.13,46.2684,0.0,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 07:00:00,9.068,7.129,677.091,52.27,Storm,1.0,51.13
GEN0000000057,SITE0001,2026-04-03 08:00:00,38.8051,50.1383,0.6358,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 08:00:00,26.333,5.759,846.718,90.88,Clear,0.7589497359671425,38.1693
GEN0000000058,SITE0001,2026-04-03 09:00:00,50.8277,48.0779,3.1823,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 09:00:00,13.6,3.801,496.405,52.535,Clear,0.9940876197926852,47.6454
GEN0000000059,SITE0001,2026-04-03 10:00:00,38.4143,47.7615,0.0,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 10:00:00,14.148,6.384,606.345,71.579,Cloudy,0.7513064736945041,38.4143
GEN0000000060,SITE0001,2026-04-03 11:00:00,32.1889,45.6768,2.9081,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 11:00:00,26.811,3.628,729.491,58.357,Cloudy,0.6295501662429102,29.280799999999996
GEN0000000061,SITE0001,2026-04-03 12:00:00,24.3077,45.9447,1.0728,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 12:00:00,16.526,10.245,748.881,68.199,Rain,0.47540973987874047,23.2349
GEN0000000062,SITE0001,2026-04-03 13:00:00,39.43,47.3011,0.2959,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 13:00:00,17.115,2.586,738.741,35.892,Clear,0.7711715235673773,39.1341
GEN0000000063,SITE0001,2026-04-03 14:00:00,28.4965,46.1823,0.1512,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 14:00:00,16.973,6.605,776.089,68.192,Storm,0.5573342460395071,28.3453
GEN0000000064,SITE0001,2026-04-03 15:00:00,51.13,50.2823,1.3088,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 15:00:00,29.167,9.093,634.641,48.295,Clear,1.0,49.821200000000005
GEN0000000065,SITE0001,2026-04-03 16:00:00,38.086,48.3406,1.4052,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 16:00:00,26.262,4.022,416.836,98.118,Rain,0.7448855857617837,36.6808
GEN0000000066,SITE0001,2026-04-03 17:00:00,49.2414,47.1763,0.3593,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 17:00:00,13.432,6.895,199.227,75.913,Rain,0.9630627811460981,48.8821
GEN0000000067,SITE0001,2026-04-03 18:00:00,41.0968,45.1017,1.7156,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 18:00:00,38.671,5.16,700.019,82.352,Storm,0.8037707803637786,39.3812
GEN0000000068,SITE0001,2026-04-03 19:00:00,6.3216,49.0075,0.8945,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 19:00:00,24.02,2.487,789.668,20.642,Clear,0.12363778603559554,5.4271
GEN0000000069,SITE0001,2026-04-03 20:00:00,1.3654,50.1202,0.0,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 20:00:00,24.299,6.463,0.0,61.742,Rain,0.026704478779581455,1.3654
GEN0000000070,SITE0001,2026-04-03 21:00:00,0.0,50.2777,0.0,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 21:00:00,30.656,9.243,0.0,61.246,Cloudy,0.0,0.0
GEN0000000071,SITE0001,2026-04-03 22:00:00,1.1044,47.2385,2.4722,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 22:00:00,28.735,6.454,3.427,89.92,Clear,0.02159984353608449,-1.3678
GEN0000000072,SITE0001,2026-04-03 23:00:00,1.9869,45.9576,2.5653,scada,2026-04-03,Solar Farm,Northeast,51.13,MISO,2026-04-03 23:00:00,24.649,3.824,16.21,57.464,Rain,0.03885976921572462,-0.5784
GEN0000000073,SITE0001,2026-04-04 00:00:00,8.267,47.6722,1.9461,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 00:00:00,9.637,8.211,0.0,33.54,Clear,0.1616858986896147,6.3209
GEN0000000074,SITE0001,2026-04-04 01:00:00,7.181,45.1664,0.0332,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 01:00:00,15.16,0.474,52.811,36.307,Cloudy,0.14044592215920204,7.1478
GEN0000000075,SITE0001,2026-04-04 02:00:00,2.7319,45.7629,1.0856,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 02:00:00,17.866,4.892,0.0,63.07,Rain,0.05343047134754547,1.6463
GEN0000000076,SITE0001,2026-04-04 03:00:00,1.767,47.3662,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 03:00:00,25.434,3.736,0.0,42.241,Cloudy,0.03455896733815764,1.767
GEN0000000077,SITE0001,2026-04-04 04:00:00,2.7043,46.1694,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 04:00:00,23.428,6.278,220.671,86.479,Clear,0.05289067083903774,2.7043
GEN0000000078,SITE0001,2026-04-04 05:00:00,0.0,48.8315,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 05:00:00,3.954,8.21,204.382,56.131,Snow,0.0,0.0
GEN0000000079,SITE0001,2026-04-04 06:00:00,0.5408,45.6873,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 06:00:00,9.732,1.299,814.318,55.464,Rain,0.010576960688441227,0.5408
GEN0000000080,SITE0001,2026-04-04 07:00:00,22.5256,48.0039,1.299,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 07:00:00,31.468,9.437,555.581,58.049,Clear,0.44055544690005866,21.2266
GEN0000000081,SITE0001,2026-04-04 08:00:00,36.3066,46.7298,2.9418,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 08:00:00,24.121,4.053,585.19,23.71,Clear,0.7100840993545864,33.3648
GEN0000000082,SITE0001,2026-04-04 09:00:00,41.4086,49.9462,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 09:00:00,17.711,6.831,347.229,78.641,Rain,0.8098689614707608,41.4086
GEN0000000083,SITE0001,2026-04-04 10:00:00,36.2793,47.0171,0.3598,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 10:00:00,11.756,8.337,664.609,91.096,Snow,0.7095501662429102,35.9195
GEN0000000084,SITE0001,2026-04-04 11:00:00,51.13,45.1582,1.0994,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 11:00:00,26.953,8.254,342.616,65.211,Snow,1.0,50.0306
GEN0000000085,SITE0001,2026-04-04 12:00:00,40.2829,48.0001,1.9443,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 12:00:00,19.2,6.455,567.392,46.761,Cloudy,0.7878525327596322,38.3386
GEN0000000086,SITE0001,2026-04-04 13:00:00,41.3878,47.5367,1.3364,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 13:00:00,29.084,7.402,721.827,60.094,Cloudy,0.8094621552904361,40.0514
GEN0000000087,SITE0001,2026-04-04 14:00:00,26.4638,50.3358,0.1249,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 14:00:00,27.504,3.556,435.859,57.394,Rain,0.5175787209074907,26.3389
GEN0000000088,SITE0001,2026-04-04 15:00:00,37.059,45.388,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 15:00:00,29.492,8.332,786.441,49.895,Snow,0.7247995306082534,37.059
GEN0000000089,SITE0001,2026-04-04 16:00:00,43.5561,45.686,1.4915,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 16:00:00,15.938,3.737,818.795,73.295,Storm,0.8518697437903383,42.0646
GEN0000000090,SITE0001,2026-04-04 17:00:00,42.6773,50.7309,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 17:00:00,15.865,10.709,769.923,10.0,Cloudy,0.8346821826716213,42.6773
GEN0000000091,SITE0001,2026-04-04 18:00:00,37.8203,47.9395,2.0112,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 18:00:00,14.392,5.773,739.638,88.198,Storm,0.7396890279679249,35.8091
GEN0000000092,SITE0001,2026-04-04 19:00:00,1.1606,46.292,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 19:00:00,14.533,10.247,560.557,41.422,Storm,0.022699002542538628,1.1606
GEN0000000093,SITE0001,2026-04-04 20:00:00,6.8526,49.6146,0.0,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 20:00:00,29.823,4.744,0.0,87.493,Cloudy,0.13402307842753763,6.8526
GEN0000000094,SITE0001,2026-04-04 21:00:00,9.2254,48.1224,1.2063,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 21:00:00,16.609,4.984,0.0,48.652,Snow,0.18043027576765108,8.0191
GEN0000000095,SITE0001,2026-04-04 22:00:00,0.0,47.793,0.4023,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 22:00:00,15.431,7.32,76.699,52.184,Clear,0.0,-0.4023
GEN0000000096,SITE0001,2026-04-04 23:00:00,12.7734,50.3115,2.1879,scada,2026-04-04,Solar Farm,Northeast,51.13,MISO,2026-04-04 23:00:00,33.655,6.572,4.672,72.879,Snow,0.24982202229610795,10.5855
GEN0000000097,SITE0001,2026-04-05 00:00:00,8.9022,49.5505,1.7958,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 00:00:00,13.394,4.436,51.131,54.958,Clear,0.17410913358106786,7.106400000000001
GEN0000000098,SITE0001,2026-04-05 01:00:00,4.084,47.3574,0.8267,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 01:00:00,13.67,6.657,0.0,75.274,Clear,0.0798748288675924,3.2573
GEN0000000099,SITE0001,2026-04-05 02:00:00,0.0,45.6545,0.5072,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 02:00:00,15.904,9.478,46.607,70.293,Rain,0.0,-0.5072
GEN0000000100,SITE0001,2026-04-05 03:00:00,9.9559,45.9912,0.0,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 03:00:00,15.483,5.911,0.0,46.025,Clear,0.194717387052611,9.9559
GEN0000000101,SITE0001,2026-04-05 04:00:00,6.8117,48.8764,0.0,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 04:00:00,33.538,9.877,67.891,47.368,Cloudy,0.1332231566594954,6.8117
GEN0000000102,SITE0001,2026-04-05 05:00:00,2.9388,49.4288,0.0,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 05:00:00,28.41,5.164,0.0,58.704,Clear,0.057477019362409544,2.9388
GEN0000000103,SITE0001,2026-04-05 06:00:00,0.0,46.3178,0.0773,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 06:00:00,25.752,4.573,744.338,45.306,Storm,0.0,-0.0773
GEN0000000104,SITE0001,2026-04-05 07:00:00,37.3876,48.3899,0.7638,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 07:00:00,17.489,12.109,337.87,71.4,Snow,0.7312262859378056,36.623799999999996
GEN0000000105,SITE0001,2026-04-05 08:00:00,40.2509,48.3995,0.5304,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 08:00:00,35.422,8.87,570.842,57.764,Clear,0.7872266770975943,39.7205
GEN0000000106,SITE0001,2026-04-05 09:00:00,30.1628,45.867,1.2871,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 09:00:00,28.724,5.357,695.134,80.118,Clear,0.5899237238411891,28.875700000000002
GEN0000000107,SITE0001,2026-04-05 10:00:00,39.721,50.7906,0.2109,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 10:00:00,13.832,4.273,622.102,36.398,Clear,0.7768628984940347,39.510099999999994
GEN0000000108,SITE0001,2026-04-05 11:00:00,32.8466,47.5009,1.2026,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 11:00:00,9.583,10.944,710.721,62.593,Clear,0.6424134558967338,31.644000000000002
GEN0000000109,SITE0001,2026-04-05 12:00:00,35.6131,49.6724,1.2797,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 12:00:00,21.304,3.226,871.639,37.655,Clear,0.6965206336788579,34.333400000000005
GEN0000000110,SITE0001,2026-04-05 13:00:00,44.7088,49.5107,0.0,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 13:00:00,12.038,5.646,806.256,75.033,Cloudy,0.8744142382163113,44.7088
GEN0000000111,SITE0001,2026-04-05 14:00:00,30.9937,46.4055,1.533,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 14:00:00,-3.063,4.063,496.317,68.006,Clear,0.6061744572657931,29.4607
GEN0000000112,SITE0001,2026-04-05 15:00:00,49.3167,48.7215,0.8079,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 15:00:00,7.877,7.175,480.808,71.697,Clear,0.9645354977508311,48.5088
GEN0000000113,SITE0001,2026-04-05 16:00:00,39.2456,49.2804,1.7905,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 16:00:00,21.783,6.039,458.905,50.209,Clear,0.7675650303148837,37.4551
GEN0000000114,SITE0001,2026-04-05 17:00:00,22.9412,45.4808,1.0877,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 17:00:00,20.606,9.846,411.049,28.884,Storm,0.4486837473107764,21.853499999999997
GEN0000000115,SITE0001,2026-04-05 18:00:00,48.4794,45.9994,0.0,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 18:00:00,4.818,7.899,684.006,70.393,Storm,0.9481595931938196,48.4794
GEN0000000116,SITE0001,2026-04-05 19:00:00,18.2616,48.4686,0.4481,scada,2026-04-05,Solar Farm,Northeast,51.13,MISO,2026-04-05 19:00:00,41.239,3.686,721.463,52.284,Rain,0.35716017993350285,17.8135
