reading_date,region,segment,meter_count,customer_count,consumption_kwh,peak_demand_kw,estimated_reading_count
2026-04-05,West,Residential,10,9,58484.2894,366.1266,35
2026-04-05,West,Unknown,10,8,19091.8517,452.4579,44
2026-04-06,Midwest,Commercial,7,7,117281.8416,106.5512,27
2026-04-06,Midwest,Industrial,8,8,4699.5093,289.8084,29
2026-04-06,Midwest,Municipal,6,6,11092.2222,652.7247,26
2026-04-06,Midwest,Residential,7,6,9497.4526,697.8133,28
2026-04-06,Midwest,Unknown,6,6,216366.111,168.6594,29
2026-04-06,Northeast,Commercial,4,4,18495.5034,403.2949,7
2026-04-06,Northeast,Industrial,9,9,70246.4619,656.4794,36
2026-04-06,Northeast,Municipal,8,7,1101658.9527,508.2126,23
2026-04-06,Northeast,Residential,11,9,32988.2739,592.6958,46
2026-04-06,Northeast,Unknown,6,6,1645.0683999999999,62.7156,26
2026-04-06,South,Commercial,10,8,518700.6587,455.0276,45
2026-04-06,South,Industrial,9,9,27172.1999,103.5649,41
2026-04-06,South,Municipal,5,5,13951.2892,108.0763,24
2026-04-06,South,Residential,14,14,277369.8215,494.1029,55
2026-04-06,South,Unknown,8,8,628012.3199,293.0724,25
2026-04-06,West,Commercial,22,18,54614.9688,587.2851,80
2026-04-06,West,Industrial,9,9,34625.9535,417.3932,36
2026-04-06,West,Municipal,11,10,79596.69989999999,452.7275,56
2026-04-06,West,Residential,10,9,72636.8187,425.6484,39
2026-04-06,West,Unknown,10,8,23981.6513,489.6828,47
2026-04-07,Midwest,Commercial,7,7,123588.5987,106.3625,35
2026-04-07,Midwest,Industrial,8,8,5005.2096,217.1217,27
2026-04-07,Midwest,Municipal,6,6,11120.864,553.811,36
2026-04-07,Midwest,Residential,7,6,9294.9733,654.2153,24
2026-04-07,Midwest,Unknown,6,6,200857.9719,123.4929,26
2026-04-07,Northeast,Commercial,4,4,17622.8073,412.2376,8
2026-04-07,Northeast,Industrial,9,9,70841.1065,580.7916,44
2026-04-07,Northeast,Municipal,8,7,1076208.998,437.4385,41
2026-04-07,Northeast,Residential,11,9,33622.502,632.7992,42
2026-04-07,Northeast,Unknown,6,6,1749.3734,59.8922,22
2026-04-07,South,Commercial,10,8,524938.907,410.0839,43
2026-04-07,South,Industrial,9,9,26812.694199999998,88.9582,34
2026-04-07,South,Municipal,5,5,15418.152199999999,110.1263,15
2026-04-07,South,Residential,14,14,255464.4937,388.7795,52
2026-04-07,South,Unknown,8,8,607315.8328,324.9445,31
2026-04-07,West,Commercial,22,18,54018.0377,545.3823,87
2026-04-07,West,Industrial,9,9,35040.3087,356.8076,32
2026-04-07,West,Municipal,11,10,78089.73790000001,482.8394,38
2026-04-07,West,Residential,10,9,68509.4938,381.9798,40
2026-04-07,West,Unknown,10,8,24134.2809,507.5907,44
2026-04-08,Midwest,Commercial,7,7,114617.2254,97.2944,15
2026-04-08,Midwest,Industrial,8,8,4939.4722,225.4821,29
2026-04-08,Midwest,Municipal,6,6,11446.0743,451.5423,17
2026-04-08,Midwest,Residential,7,6,9037.9531,596.3569,32
2026-04-08,Midwest,Unknown,6,6,212978.2342,161.2459,22
2026-04-08,Northeast,Commercial,4,4,16598.7988,378.6944,19
2026-04-08,Northeast,Industrial,9,9,73266.69,624.5693,37
2026-04-08,Northeast,Municipal,8,7,1053539.1587,501.3202,37
2026-04-08,Northeast,Residential,11,9,31894.0298,547.3028,39
2026-04-08,Northeast,Unknown,6,6,1653.4044,62.1451,24
2026-04-08,South,Commercial,10,8,552126.6712,431.2102,34
2026-04-08,South,Industrial,9,9,27651.8634,89.3937,39
2026-04-08,South,Municipal,5,5,14562.2899,98.3509,18
2026-04-08,South,Residential,14,14,285285.4176,484.8177,50
2026-04-08,South,Unknown,8,8,629198.9736,422.3008,28
2026-04-08,West,Commercial,22,18,53116.1197,549.3176,82
2026-04-08,West,Industrial,9,9,33438.6531,400.9532,40
2026-04-08,West,Municipal,11,10,81774.1076,491.2062,37
2026-04-08,West,Residential,10,9,72121.71429999999,414.6356,48
2026-04-08,West,Unknown,10,8,24264.8477,509.9609,45
2026-04-09,Midwest,Commercial,7,7,111598.8029,115.3965,20
2026-04-09,Midwest,Industrial,8,8,4865.9787,268.4448,35
2026-04-09,Midwest,Municipal,6,6,11665.1796,554.5501,32
2026-04-09,Midwest,Residential,7,6,8763.4023,569.8771,24
2026-04-09,Midwest,Unknown,6,6,199348.0592,134.5943,30
2026-04-09,Northeast,Commercial,4,4,18036.7231,411.1431,10
2026-04-09,Northeast,Industrial,9,9,73073.3181,642.0536,27
2026-04-09,Northeast,Municipal,8,7,1087077.7607,479.1673,31
2026-04-09,Northeast,Residential,11,9,34178.1504,657.2116,43
2026-04-09,Northeast,Unknown,6,6,1676.303,56.125,20
2026-04-09,South,Commercial,10,8,562400.7686,440.2177,40
2026-04-09,South,Industrial,9,9,27778.3311,115.6501,31
2026-04-09,South,Municipal,5,5,14131.3835,108.8986,28
2026-04-09,South,Residential,14,14,256623.0072,466.6558,45
2026-04-09,South,Unknown,8,8,605221.3363,332.3123,40
2026-04-09,West,Commercial,22,18,54130.4951,583.2121,92
2026-04-09,West,Industrial,9,9,34826.0884,404.3778,38
2026-04-09,West,Municipal,11,10,81235.6581,473.4157,43
2026-04-09,West,Residential,10,9,75035.7008,420.5015,38
2026-04-09,West,Unknown,10,8,23492.8682,552.5843,42
2026-04-10,Midwest,Commercial,7,7,121730.0898,112.6842,33
2026-04-10,Midwest,Industrial,8,8,4878.7543,291.4494,31
2026-04-10,Midwest,Municipal,6,6,11227.8921,566.096,21
2026-04-10,Midwest,Residential,7,6,9924.7291,591.0868,26
2026-04-10,Midwest,Unknown,6,6,212735.2128,130.0159,29
2026-04-10,Northeast,Commercial,4,4,18123.2637,418.2283,16
2026-04-10,Northeast,Industrial,9,9,72483.1877,594.8571,43
2026-04-10,Northeast,Municipal,8,7,1094856.5677,567.1481,28
2026-04-10,Northeast,Residential,11,9,33789.7964,646.5879,45
2026-04-10,Northeast,Unknown,6,6,1570.282,55.8815,24
2026-04-10,South,Commercial,10,8,545345.3385,441.5889,47
2026-04-10,South,Industrial,9,9,26581.7053,106.8731,32
2026-04-10,South,Municipal,5,5,15038.5876,116.3807,14
2026-04-10,South,Residential,14,14,268795.0777,393.9145,56
2026-04-10,South,Unknown,8,8,629073.4391,380.4709,31
2026-04-10,West,Commercial,22,18,54599.9254,529.093,91
2026-04-10,West,Industrial,9,9,33687.3625,379.5614,35
2026-04-10,West,Municipal,11,10,79667.7398,479.5,46
2026-04-10,West,Residential,10,9,72463.8089,432.354,39
2026-04-10,West,Unknown,10,8,23419.4516,457.8819,40
2026-04-11,Midwest,Commercial,7,7,94652.6583,82.4472,23
2026-04-11,Midwest,Industrial,8,8,3910.2289,206.3356,30
2026-04-11,Midwest,Municipal,6,6,9241.2227,430.0716,31
2026-04-11,Midwest,Residential,7,6,7448.2531,389.41,27
2026-04-11,Midwest,Unknown,6,6,166822.32,119.4704,31
2026-04-11,Northeast,Commercial,4,4,13686.1979,335.1752,13
2026-04-11,Northeast,Industrial,9,9,58654.0185,580.468,38
2026-04-11,Northeast,Municipal,8,7,808414.5417000001,370.4333,31
2026-04-11,Northeast,Residential,11,9,27108.032900000002,506.6246,47
2026-04-11,Northeast,Unknown,6,6,1315.1752000000001,61.8835,23
2026-04-11,South,Commercial,10,8,395015.1072,386.8461,30
2026-04-11,South,Industrial,9,9,21678.6376,65.5687,23
2026-04-11,South,Municipal,5,5,11851.4413,84.2252,25
2026-04-11,South,Residential,14,14,216631.7395,414.8074,58
2026-04-11,South,Unknown,8,8,492765.8289,290.7225,27
2026-04-11,West,Commercial,22,18,42900.0564,475.7579,95
2026-04-11,West,Industrial,9,9,27116.9842,419.2772,31
2026-04-11,West,Municipal,11,10,59880.7247,429.1676,39
2026-04-11,West,Residential,10,9,58223.4644,359.2634,41
2026-04-11,West,Unknown,10,8,18978.1031,419.225,35
2026-04-12,Midwest,Commercial,7,7,94016.2009,88.5149,35
2026-04-12,Midwest,Industrial,8,8,3710.9731,204.2781,32
2026-04-12,Midwest,Municipal,6,6,9468.2407,427.9134,14
2026-04-12,Midwest,Residential,7,6,7294.668,449.6472,38
2026-04-12,Midwest,Unknown,6,6,177186.1513,137.4161,29
2026-04-12,Northeast,Commercial,4,4,14460.8015,333.521,17
2026-04-12,Northeast,Industrial,9,9,57334.0952,491.584,36
2026-04-12,Northeast,Municipal,8,7,830366.3426,357.8655,30
2026-04-12,Northeast,Residential,11,9,26979.1783,560.8814,48
2026-04-12,Northeast,Unknown,6,6,1288.464,53.5746,23
2026-04-12,South,Commercial,10,8,444663.9131,337.8243,40
2026-04-12,South,Industrial,9,9,22578.7759,98.6775,40
2026-04-12,South,Municipal,5,5,10863.8933,88.0947,18
2026-04-12,South,Residential,14,14,196000.0991,368.0585,50
2026-04-12,South,Unknown,8,8,485984.77749999997,262.635,34
2026-04-12,West,Commercial,22,18,42498.1691,473.7379,101
2026-04-12,West,Industrial,9,9,27905.1834,378.9205,45
2026-04-12,West,Municipal,11,10,59590.1805,425.3321,47
2026-04-12,West,Residential,10,9,58524.7097,393.1626,41
2026-04-12,West,Unknown,10,8,18270.3808,485.1656,39
2026-04-13,Midwest,Commercial,7,7,126426.6358,114.2554,29
2026-04-13,Midwest,Industrial,8,8,5036.184,240.9948,27
2026-04-13,Midwest,Municipal,6,6,11658.4942,501.8218,23
2026-04-13,Midwest,Residential,7,6,9542.6361,554.3676,20
2026-04-13,Midwest,Unknown,6,6,215410.5984,149.2168,23
2026-04-13,Northeast,Commercial,4,4,16692.6272,423.5907,14
2026-04-13,Northeast,Industrial,9,9,72015.1516,641.9771,42
2026-04-13,Northeast,Municipal,8,7,1048243.5894,482.7295,33
2026-04-13,Northeast,Residential,11,9,34403.2262,660.4058,38
2026-04-13,Northeast,Unknown,6,6,1646.0938,63.3124,31
2026-04-13,South,Commercial,10,8,537862.6662,436.8175,35
2026-04-13,South,Industrial,9,9,28056.9501,109.1713,44
2026-04-13,South,Municipal,5,5,15477.7358,109.1374,12
2026-04-13,South,Residential,14,14,266918.6257,526.9543,55
2026-04-13,South,Unknown,8,8,612705.5795,320.8494,31
2026-04-13,West,Commercial,22,18,54241.6276,534.5098,93
2026-04-13,West,Industrial,9,9,33745.8176,463.1149,36
2026-04-13,West,Municipal,11,10,77034.3662,481.1401,40
2026-04-13,West,Residential,10,9,73048.4109,456.9542,42
2026-04-13,West,Unknown,10,8,23876.905,420.5756,29
2026-04-14,Midwest,Commercial,7,7,109271.2292,104.3727,23
2026-04-14,Midwest,Industrial,8,8,5005.9222,247.2866,21
2026-04-14,Midwest,Municipal,6,6,11370.143399999999,539.9149,22
2026-04-14,Midwest,Residential,7,6,8810.3636,492.4944,33
2026-04-14,Midwest,Unknown,6,6,217167.7987,146.9029,18
2026-04-14,Northeast,Commercial,4,4,17200.5141,321.8292,13
2026-04-14,Northeast,Industrial,9,9,73726.5064,544.1324,46
2026-04-14,Northeast,Municipal,8,7,1049335.2167,525.826,36
2026-04-14,Northeast,Residential,11,9,33257.6906,623.389,32
2026-04-14,Northeast,Unknown,6,6,1694.5112,57.1323,20
2026-04-14,South,Commercial,10,8,529352.8051,420.9363,39
2026-04-14,South,Industrial,9,9,27980.8467,101.478,36
2026-04-14,South,Municipal,5,5,14298.9375,112.2231,23
2026-04-14,South,Residential,14,14,256421.3685,461.7035,63
2026-04-14,South,Unknown,8,8,616011.6775,347.3499,28
2026-04-14,West,Commercial,22,18,53347.6896,534.9312,96
2026-04-14,West,Industrial,9,9,33894.3925,388.9783,42
2026-04-14,West,Municipal,11,10,80731.3701,405.1672,55
2026-04-14,West,Residential,10,9,73456.7459,394.3299,37
2026-04-14,West,Unknown,10,8,23017.5952,547.3692,45
2026-04-15,Midwest,Commercial,7,7,122222.0505,102.0069,31
2026-04-15,Midwest,Industrial,8,8,5123.9922,341.2899,30
2026-04-15,Midwest,Municipal,6,6,10768.7192,508.5472,23
2026-04-15,Midwest,Residential,7,6,9319.6441,640.248,30
2026-04-15,Midwest,Unknown,6,6,200701.1529,150.6537,25
2026-04-15,Northeast,Commercial,4,4,17696.0074,359.3434,19
2026-04-15,Northeast,Industrial,9,9,72935.2486,608.7831,43
2026-04-15,Northeast,Municipal,8,7,1051738.246,573.1909,34
2026-04-15,Northeast,Residential,11,9,34352.1572,671.3899,43
2026-04-15,Northeast,Unknown,6,6,1650.0352,62.8968,23
2026-04-15,South,Commercial,10,8,564034.213,483.3748,47
2026-04-15,South,Industrial,9,9,27124.8848,101.8406,23
2026-04-15,South,Municipal,5,5,12898.213,99.8083,22
2026-04-15,South,Residential,14,14,276716.2482,496.4934,59
2026-04-15,South,Unknown,8,8,613383.9066,369.3194,25
2026-04-15,West,Commercial,22,18,53538.2069,544.2799,91
2026-04-15,West,Industrial,9,9,33656.2985,490.2279,48
2026-04-15,West,Municipal,11,10,81115.334,415.8727,39
2026-04-15,West,Residential,10,9,71733.885,445.0246,46
2026-04-15,West,Unknown,10,8,23855.8986,516.0089,40
2026-04-16,Midwest,Commercial,7,7,117825.5105,119.0205,19
2026-04-16,Midwest,Industrial,8,8,4780.3002,252.7083,30
2026-04-16,Midwest,Municipal,6,6,11491.7912,635.2416,25
2026-04-16,Midwest,Residential,7,6,8269.7489,616.459,31
2026-04-16,Midwest,Unknown,6,6,224390.1729,130.1834,24
2026-04-16,Northeast,Commercial,4,4,17607.634000000002,381.7178,16
2026-04-16,Northeast,Industrial,9,9,71444.3697,666.0339,41
2026-04-16,Northeast,Municipal,8,7,1063970.4679,492.3291,28
2026-04-16,Northeast,Residential,11,9,32507.003,632.0745,39
2026-04-16,Northeast,Unknown,6,6,1656.3192,77.001,28
2026-04-16,South,Commercial,10,8,523810.547,371.9531,35
2026-04-16,South,Industrial,9,9,26596.4808,106.5064,40
2026-04-16,South,Municipal,5,5,16188.5913,108.6027,19
2026-04-16,South,Residential,14,14,282056.2256,422.2791,48
2026-04-16,South,Unknown,8,8,653100.5545,334.7955,32
2026-04-16,West,Commercial,22,18,52877.7405,527.3133,76
2026-04-16,West,Industrial,9,9,34078.6533,463.5001,37
2026-04-16,West,Municipal,11,10,81493.6467,495.5998,32
2026-04-16,West,Residential,10,9,72666.4805,456.0343,40
2026-04-16,West,Unknown,10,8,23523.7502,597.6884,49
2026-04-17,Midwest,Commercial,7,7,122964.6835,113.3966,15
2026-04-17,Midwest,Industrial,8,8,4785.3855,255.9612,29
2026-04-17,Midwest,Municipal,6,6,11025.1088,497.8495,24
2026-04-17,Midwest,Residential,7,6,9186.5552,592.0725,29
2026-04-17,Midwest,Unknown,6,6,215608.3816,171.1786,30
2026-04-17,Northeast,Commercial,4,4,17183.9898,402.9144,20
2026-04-17,Northeast,Industrial,9,9,73047.6728,682.6846,29
2026-04-17,Northeast,Municipal,8,7,1020581.8904,501.6181,31
2026-04-17,Northeast,Residential,11,9,32974.8591,559.5604,37
2026-04-17,Northeast,Unknown,6,6,1689.389,65.107,23
2026-04-17,South,Commercial,10,8,562929.0792,482.3588,41
2026-04-17,South,Industrial,9,9,27335.3213,89.4722,38
2026-04-17,South,Municipal,5,5,14370.2796,111.8307,16
2026-04-17,South,Residential,14,14,275735.489,466.7527,60
2026-04-17,South,Unknown,8,8,605724.7724,367.6158,30
2026-04-17,West,Commercial,22,18,53572.5839,585.9636,99
2026-04-17,West,Industrial,9,9,34059.1248,426.6557,36
2026-04-17,West,Municipal,11,10,76594.3211,541.2622,49
2026-04-17,West,Residential,10,9,69860.9777,492.6918,41
2026-04-17,West,Unknown,10,8,22676.9347,530.4318,38
2026-04-18,Midwest,Commercial,7,7,96768.8379,98.9194,25
2026-04-18,Midwest,Industrial,8,8,3910.9689,202.6038,26
2026-04-18,Midwest,Municipal,6,6,8781.2121,534.5029,23
2026-04-18,Midwest,Residential,7,6,7398.3897,580.7648,32
2026-04-18,Midwest,Unknown,6,6,174800.96540000002,135.2133,31
2026-04-18,Northeast,Commercial,4,4,13695.6863,415.8283,18
2026-04-18,Northeast,Industrial,9,9,58496.1382,610.0219,38
2026-04-18,Northeast,Municipal,8,7,876387.9720000001,424.9203,28
2026-04-18,Northeast,Residential,11,9,27016.3696,542.8248,48
2026-04-18,Northeast,Unknown,6,6,1377.7542,58.5332,26
2026-04-18,South,Commercial,10,8,438663.2695,379.4421,39
2026-04-18,South,Industrial,9,9,22271.6162,94.8234,30
2026-04-18,South,Municipal,5,5,11585.0249,90.2906,14
2026-04-18,South,Residential,14,14,213922.8314,410.4276,67
2026-04-18,South,Unknown,8,8,513665.421,293.9015,40
2026-04-18,West,Commercial,22,18,43569.4056,482.0818,102
2026-04-18,West,Industrial,9,9,29416.5191,323.0584,33
2026-04-18,West,Municipal,11,10,62040.4073,447.2664,44
2026-04-18,West,Residential,10,9,58183.3072,352.3885,43
2026-04-18,West,Unknown,10,8,17660.8362,365.2952,38
2026-04-19,Midwest,Commercial,7,7,89797.214,94.6119,29
2026-04-19,Midwest,Industrial,8,8,3712.9699,177.5596,28
2026-04-19,Midwest,Municipal,6,6,8881.6364,382.6344,17
2026-04-19,Midwest,Residential,7,6,7274.959,499.1518,22
2026-04-19,Midwest,Unknown,6,6,162944.1401,107.7414,19
2026-04-19,Northeast,Commercial,4,4,13621.7553,287.0041,15
2026-04-19,Northeast,Industrial,9,9,59031.727699999996,501.6781,41
2026-04-19,Northeast,Municipal,8,7,809266.4282,420.5345,35
2026-04-19,Northeast,Residential,11,9,26878.1327,600.1572,48
2026-04-19,Northeast,Unknown,6,6,1353.5098,44.205,22
2026-04-19,South,Commercial,10,8,465341.4709,332.5117,33
2026-04-19,South,Industrial,9,9,21363.3654,82.4085,31
2026-04-19,South,Municipal,5,5,11263.1293,96.8604,22
2026-04-19,South,Residential,14,14,221667.8972,367.8138,57
2026-04-19,South,Unknown,8,8,506179.0024,277.5602,36
2026-04-19,West,Commercial,22,18,42335.0466,454.8422,88
2026-04-19,West,Industrial,9,9,27526.786,305.4474,39
2026-04-19,West,Municipal,11,10,62499.2912,365.6748,38
2026-04-19,West,Residential,10,9,58948.7688,394.9658,36
2026-04-19,West,Unknown,10,8,19596.9256,496.3973,38
2026-04-20,Midwest,Commercial,7,7,121477.4543,126.4895,35
2026-04-20,Midwest,Industrial,8,8,4961.6881,252.8395,29
2026-04-20,Midwest,Municipal,6,6,11880.117,569.3253,21
2026-04-20,Midwest,Residential,7,6,8596.4495,639.2786,25
2026-04-20,Midwest,Unknown,6,6,208898.7174,161.7978,22
2026-04-20,Northeast,Commercial,4,4,17944.6996,408.54,16
2026-04-20,Northeast,Industrial,9,9,73532.8975,687.7934,34
2026-04-20,Northeast,Municipal,8,7,1077058.5677,504.5964,32
2026-04-20,Northeast,Residential,11,9,31993.8228,545.9355,38
2026-04-20,Northeast,Unknown,6,6,1649.8552,69.9732,19
2026-04-20,South,Commercial,10,8,534611.3621,370.1752,31
2026-04-20,South,Industrial,9,9,28220.9713,88.1525,33
2026-04-20,South,Municipal,5,5,15216.0078,109.3148,19
2026-04-20,South,Residential,14,14,259341.0505,407.7282,54
2026-04-20,South,Unknown,8,8,617396.281,365.1844,29
2026-04-20,West,Commercial,22,18,53026.3879,460.4337,83
2026-04-20,West,Industrial,9,9,33042.5786,405.7977,23
2026-04-20,West,Municipal,11,10,79684.8509,438.368,50
2026-04-20,West,Residential,10,9,72636.811,349.9157,48
2026-04-20,West,Unknown,10,8,24206.4924,551.6796,46
2026-04-21,Midwest,Commercial,7,7,115365.9033,117.1404,23
2026-04-21,Midwest,Industrial,8,8,4841.3468,252.2817,35
2026-04-21,Midwest,Municipal,6,6,11364.6211,561.6377,22
2026-04-21,Midwest,Residential,7,6,9499.4133,678.1848,20
2026-04-21,Midwest,Unknown,6,6,213401.823,146.0169,19
2026-04-21,Northeast,Commercial,4,4,17905.4313,361.2204,13
2026-04-21,Northeast,Industrial,9,9,70823.9192,597.4313,29
2026-04-21,Northeast,Municipal,8,7,1065681.1674,519.3541,34
2026-04-21,Northeast,Residential,11,9,34525.9559,632.5364,45
2026-04-21,Northeast,Unknown,6,6,1689.8856,71.0185,24
2026-04-21,South,Commercial,10,8,537463.5792,430.8207,43
2026-04-21,South,Industrial,9,9,28093.586900000002,77.4588,36
2026-04-21,South,Municipal,5,5,15151.5973,106.9476,15
2026-04-21,South,Residential,14,14,257237.0873,499.2922,57
2026-04-21,South,Unknown,8,8,607864.4023,346.8773,39
2026-04-21,West,Commercial,22,18,54207.3606,592.1117,92
2026-04-21,West,Industrial,9,9,33902.0194,409.9796,34
2026-04-21,West,Municipal,11,10,75575.7,541.5273,43
2026-04-21,West,Residential,10,9,72463.2841,428.1901,34
2026-04-21,West,Unknown,10,8,24271.4697,511.4564,39
2026-04-22,Midwest,Commercial,7,7,114769.0561,125.7481,37
2026-04-22,Midwest,Industrial,8,8,4992.4485,258.7256,27
2026-04-22,Midwest,Municipal,6,6,11048.7216,579.9917,16
2026-04-22,Midwest,Residential,7,6,8879.9773,580.1337,40
2026-04-22,Midwest,Unknown,6,6,210298.5847,133.1718,27
2026-04-22,Northeast,Commercial,4,4,17422.5164,427.1809,9
2026-04-22,Northeast,Industrial,9,9,71136.7627,568.0242,23
2026-04-22,Northeast,Municipal,8,7,1082852.7874,536.6997,31
2026-04-22,Northeast,Residential,11,9,33526.7745,685.3143,53
2026-04-22,Northeast,Unknown,6,6,1689.6193,63.1416,21
