reading_id,meter_id,reading_ts,kwh,kw_demand,voltage,power_factor,quality_flag,source_system,ingestion_batch_id,reading_date
MR0000000190,MTR0000001,2026-04-08 21:00:00,10.0964,9.2691,245.9,0.8859,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-08
MR0000000192,MTR0000001,2026-04-08 23:00:00,41.7932,37.9434,243.05,0.9413,MISSING,ami_headend,AMI_20260602_A,2026-04-08
MR0000000196,MTR0000001,2026-04-09 03:00:00,43.7528,46.1258,241.84,0.941,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-09
MR0000000199,MTR0000001,2026-04-09 06:00:00,72.2174,76.6547,240.17,0.9701,MISSING,ami_headend,AMI_20260601_A,2026-04-09
MR0000000201,MTR0000001,2026-04-09 08:00:00,70.6728,65.3864,236.49,0.8808,MISSING,ami_headend,AMI_20260602_A,2026-04-09
MR0000000203,MTR0000001,2026-04-09 10:00:00,88.2007,114.8674,239.71,0.9318,MISSING,ami_headend,AMI_20260601_A,2026-04-09
MR0000000204,MTR0000001,2026-04-09 11:00:00,65.4319,74.9709,242.16,0.9304,MISSING,ami_headend,AMI_20260601_A,2026-04-09
MR0000000205,MTR0000001,2026-04-09 12:00:00,79.0162,94.8808,240.14,0.9374,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-09
MR0000000210,MTR0000001,2026-04-09 17:00:00,89.1692,95.7091,234.69,0.9236,MISSING,ami_headend,AMI_20260602_A,2026-04-09
MR0000000224,MTR0000001,2026-04-10 07:00:00,30.4954,28.4122,240.43,0.9278,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-10
MR0000000225,MTR0000001,2026-04-10 08:00:00,59.6048,60.0973,234.79,0.9411,MISSING,ami_headend,AMI_20260601_A,2026-04-10
MR0000000226,MTR0000001,2026-04-10 09:00:00,83.1192,92.7808,237.97,0.9434,MISSING,ami_headend,AMI_20260601_A,2026-04-10
MR0000000228,MTR0000001,2026-04-10 11:00:00,82.3551,90.299,241.63,0.9098,MISSING,ami_headend,AMI_20260602_A,2026-04-10
MR0000000229,MTR0000001,2026-04-10 12:00:00,77.314,82.7571,236.94,0.9868,MISSING,ami_headend,AMI_20260601_B,2026-04-10
MR0000000230,MTR0000001,2026-04-10 13:00:00,63.2581,80.4507,236.81,0.9883,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-10
MR0000000231,MTR0000001,2026-04-10 14:00:00,97.9241,113.1348,235.48,0.9326,MISSING,ami_headend,AMI_20260601_B,2026-04-10
MR0000000236,MTR0000001,2026-04-10 19:00:00,84.8924,90.8592,233.27,0.9138,MISSING,ami_headend,AMI_20260601_B,2026-04-10
MR0000000237,MTR0000001,2026-04-10 20:00:00,104.305,100.2393,245.4,0.9308,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-10
MR0000000240,MTR0000001,2026-04-10 23:00:00,29.4875,26.9655,237.81,0.9447,MISSING,ami_headend,AMI_20260601_B,2026-04-10
MR0000000242,MTR0000001,2026-04-11 01:00:00,34.3382,33.4728,235.66,0.9665,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-11
MR0000000244,MTR0000001,2026-04-11 03:00:00,40.3691,41.9903,232.49,0.9466,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-11
MR0000000245,MTR0000001,2026-04-11 04:00:00,29.7709,34.0093,245.78,0.9834,MISSING,ami_headend,AMI_20260601_B,2026-04-11
MR0000000248,MTR0000001,2026-04-11 07:00:00,39.2271,37.4395,239.52,0.909,MISSING,ami_headend,AMI_20260601_A,2026-04-11
MR0000000251,MTR0000001,2026-04-11 10:00:00,50.3835,54.371,239.66,0.9836,MISSING,ami_headend,AMI_20260602_A,2026-04-11
MR0000000259,MTR0000001,2026-04-11 18:00:00,68.5898,91.1999,240.78,0.9316,MISSING,ami_headend,AMI_20260601_A,2026-04-11
MR0000000260,MTR0000001,2026-04-11 19:00:00,62.3564,80.4913,247.23,0.9872,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-11
MR0000000262,MTR0000001,2026-04-11 21:00:00,58.1605,53.8451,242.91,0.9654,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-11
MR0000000263,MTR0000001,2026-04-11 22:00:00,40.712,45.4127,242.33,0.965,MISSING,ami_headend,AMI_20260601_A,2026-04-11
MR0000000265,MTR0000001,2026-04-12 00:00:00,31.1787,29.538,236.23,0.9778,MISSING,ami_headend,AMI_20260602_A,2026-04-12
MR0000000267,MTR0000001,2026-04-12 02:00:00,19.8774,20.1846,232.03,0.9364,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-12
MR0000000272,MTR0000001,2026-04-12 07:00:00,23.5778,24.4437,242.99,0.9648,MISSING,ami_headend,AMI_20260601_B,2026-04-12
MR0000000273,MTR0000001,2026-04-12 08:00:00,74.6265,93.5437,244.29,0.9374,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-12
MR0000000275,MTR0000001,2026-04-12 10:00:00,57.1764,66.4415,244.53,0.9522,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-12
MR0000000280,MTR0000001,2026-04-12 15:00:00,56.508,68.7222,238.52,0.91,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-12
MR0000000281,MTR0000001,2026-04-12 16:00:00,46.8118,51.4091,237.72,0.953,MISSING,ami_headend,AMI_20260601_A,2026-04-12
MR0000000286,MTR0000001,2026-04-12 21:00:00,35.8952,50.2153,240.25,0.9483,MISSING,ami_headend,AMI_20260601_B,2026-04-12
MR0000000287,MTR0000001,2026-04-12 22:00:00,16.6784,14.5114,237.3,0.9271,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-12
MR0000000288,MTR0000001,2026-04-12 23:00:00,13.945,16.6253,241.28,0.9703,MISSING,ami_headend,AMI_20260601_A,2026-04-12
MR0000000293,MTR0000001,2026-04-13 04:00:00,39.2473,54.918,236.83,0.9344,MISSING,ami_headend,AMI_20260601_B,2026-04-13
MR0000000294,MTR0000001,2026-04-13 05:00:00,41.2396,37.6066,242.84,0.8915,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-13
MR0000000297,MTR0000001,2026-04-13 08:00:00,79.7265,110.6281,242.53,0.9579,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-13
MR0000000306,MTR0000001,2026-04-13 17:00:00,90.4665,109.9852,242.67,0.9614,MISSING,ami_headend,AMI_20260602_A,2026-04-13
MR0000000310,MTR0000001,2026-04-13 21:00:00,29.5889,33.4379,243.65,0.9513,MISSING,ami_headend,AMI_20260602_A,2026-04-13
MR0000000315,MTR0000001,2026-04-14 02:00:00,24.0091,22.904,234.63,0.9631,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-14
MR0000000318,MTR0000001,2026-04-14 05:00:00,42.2053,55.5058,240.74,0.9966,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-14
MR0000000321,MTR0000001,2026-04-14 08:00:00,83.9958,116.0108,240.96,0.9838,MISSING,ami_headend,AMI_20260601_A,2026-04-14
MR0000000325,MTR0000001,2026-04-14 12:00:00,89.1683,77.5894,237.51,0.9474,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-14
MR0000000326,MTR0000001,2026-04-14 13:00:00,101.7822,115.9793,238.64,0.9338,MISSING,ami_headend,AMI_20260601_B,2026-04-14
MR0000000327,MTR0000001,2026-04-14 14:00:00,75.1432,78.9365,240.52,0.9599,MISSING,ami_headend,AMI_20260602_A,2026-04-14
MR0000000329,MTR0000001,2026-04-14 16:00:00,78.0274,108.1107,242.04,0.9967,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-14
MR0000000331,MTR0000001,2026-04-14 18:00:00,86.1172,74.156,238.25,1.0,MISSING,ami_headend,AMI_20260601_B,2026-04-14
MR0000000332,MTR0000001,2026-04-14 19:00:00,82.527,69.5886,246.75,0.9399,MISSING,ami_headend,AMI_20260602_A,2026-04-14
MR0000000335,MTR0000001,2026-04-14 22:00:00,22.1118,21.3279,243.71,0.9452,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-14
MR0000000337,MTR0000001,2026-04-15 00:00:00,29.4839,35.7299,244.1,0.9134,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-15
MR0000000339,MTR0000001,2026-04-15 02:00:00,60.0199,57.7748,238.86,0.9789,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-15
MR0000000340,MTR0000001,2026-04-15 03:00:00,47.0664,40.8433,237.55,0.9681,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-15
MR0000000348,MTR0000001,2026-04-15 11:00:00,61.5337,64.5617,242.52,0.9404,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-15
MR0000000349,MTR0000001,2026-04-15 12:00:00,75.0457,70.3828,241.93,0.9295,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-15
MR0000000350,MTR0000001,2026-04-15 13:00:00,94.267,94.7062,244.84,0.9451,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-15
MR0000000356,MTR0000001,2026-04-15 19:00:00,96.56,89.2019,242.62,0.9497,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-15
MR0000000357,MTR0000001,2026-04-15 20:00:00,82.7088,89.8225,247.2,0.9622,MISSING,ami_headend,AMI_20260602_A,2026-04-15
MR0000000361,MTR0000001,2026-04-16 00:00:00,51.4447,65.7649,247.59,0.963,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-16
MR0000000363,MTR0000001,2026-04-16 02:00:00,61.973,62.1885,236.84,0.9548,MISSING,ami_headend,AMI_20260601_B,2026-04-16
MR0000000364,MTR0000001,2026-04-16 03:00:00,29.6087,27.4883,243.8,0.8776,MISSING,ami_headend,AMI_20260601_B,2026-04-16
MR0000000369,MTR0000001,2026-04-16 08:00:00,63.1202,59.031,239.27,0.9395,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-16
MR0000000375,MTR0000001,2026-04-16 14:00:00,93.2342,103.6991,248.96,0.9327,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-16
MR0000000378,MTR0000001,2026-04-16 17:00:00,86.2326,80.1932,241.14,0.9598,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-16
MR0000000380,MTR0000001,2026-04-16 19:00:00,77.8042,65.2584,242.85,0.931,MISSING,ami_headend,AMI_20260601_A,2026-04-16
MR0000000383,MTR0000001,2026-04-16 22:00:00,29.5397,28.0666,244.05,0.9222,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-16
MR0000000384,MTR0000001,2026-04-16 23:00:00,31.9485,38.5736,237.59,0.8894,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-16
MR0000000387,MTR0000001,2026-04-17 02:00:00,35.3447,32.0263,239.08,0.9513,MISSING,ami_headend,AMI_20260601_A,2026-04-17
MR0000000388,MTR0000001,2026-04-17 03:00:00,24.0534,19.7867,241.68,0.8992,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-17
MR0000000389,MTR0000001,2026-04-17 04:00:00,51.8502,66.038,240.98,0.9298,MISSING,ami_headend,AMI_20260601_B,2026-04-17
MR0000000391,MTR0000001,2026-04-17 06:00:00,30.0188,32.383,229.99,0.9468,MISSING,ami_headend,AMI_20260602_A,2026-04-17
MR0000000394,MTR0000001,2026-04-17 09:00:00,72.842,98.3847,236.47,0.9784,MISSING,ami_headend,AMI_20260601_A,2026-04-17
MR0000000397,MTR0000001,2026-04-17 12:00:00,49.5882,55.5569,238.62,0.9259,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-17
MR0000000398,MTR0000001,2026-04-17 13:00:00,89.4697,117.8424,240.13,0.9742,MISSING,ami_headend,AMI_20260602_A,2026-04-17
MR0000000399,MTR0000001,2026-04-17 14:00:00,81.7691,76.6135,241.5,0.9346,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-17
MR0000000400,MTR0000001,2026-04-17 15:00:00,101.2515,91.309,240.74,0.888,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-17
MR0000000401,MTR0000001,2026-04-17 16:00:00,73.2967,63.6077,241.19,0.9377,MISSING,ami_headend,AMI_20260602_A,2026-04-17
MR0000000404,MTR0000001,2026-04-17 19:00:00,92.5341,92.177,246.44,0.9026,MISSING,ami_headend,AMI_20260601_A,2026-04-17
MR0000000408,MTR0000001,2026-04-17 23:00:00,26.9384,29.2235,238.5,0.9181,MISSING,ami_headend,AMI_20260601_A,2026-04-17
MR0000000410,MTR0000001,2026-04-18 01:00:00,32.1769,38.5314,243.15,0.9029,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-18
MR0000000413,MTR0000001,2026-04-18 04:00:00,13.077,11.7256,240.06,0.9704,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-18
MR0000000414,MTR0000001,2026-04-18 05:00:00,14.7619,20.4074,242.37,0.9136,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-18
MR0000000415,MTR0000001,2026-04-18 06:00:00,4.1788,4.6707,234.28,0.9101,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-18
MR0000000416,MTR0000001,2026-04-18 07:00:00,26.2695,24.0133,241.7,0.9672,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-18
MR0000000418,MTR0000001,2026-04-18 09:00:00,60.5313,63.9166,245.68,0.9641,MISSING,ami_headend,AMI_20260601_A,2026-04-18
MR0000000426,MTR0000001,2026-04-18 17:00:00,49.743,57.031,238.5,0.9791,MISSING,ami_headend,AMI_20260602_A,2026-04-18
MR0000000430,MTR0000001,2026-04-18 21:00:00,32.6039,45.6282,241.87,0.9635,MISSING,ami_headend,AMI_20260602_A,2026-04-18
MR0000000435,MTR0000001,2026-04-19 02:00:00,20.7598,24.561,238.23,0.9513,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-19
MR0000000441,MTR0000001,2026-04-19 08:00:00,59.9765,49.8294,237.23,0.9104,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-19
MR0000000443,MTR0000001,2026-04-19 10:00:00,70.0993,80.2362,240.2,0.94,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-19
MR0000000444,MTR0000001,2026-04-19 11:00:00,84.1675,88.4094,241.3,0.9255,MISSING,ami_headend,AMI_20260601_B,2026-04-19
MR0000000446,MTR0000001,2026-04-19 13:00:00,48.7009,56.0426,244.09,0.9979,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-19
MR0000000448,MTR0000001,2026-04-19 15:00:00,56.3937,74.8474,234.32,0.8925,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-19
MR0000000450,MTR0000001,2026-04-19 17:00:00,50.4968,46.7487,237.07,0.9743,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-19
MR0000000453,MTR0000001,2026-04-19 20:00:00,70.1426,71.0331,236.87,0.8957,MISSING,ami_headend,AMI_20260602_A,2026-04-19
MR0000000456,MTR0000001,2026-04-19 23:00:00,34.494,35.9731,237.48,1.0,MISSING,ami_headend,AMI_20260601_A,2026-04-19
MR0000000458,MTR0000001,2026-04-20 01:00:00,33.9003,28.8759,240.02,0.9267,MISSING,ami_headend,AMI_20260601_A,2026-04-20
MR0000000459,MTR0000001,2026-04-20 02:00:00,37.402,37.9876,237.78,0.8657,MISSING,ami_headend,AMI_20260601_A,2026-04-20
MR0000000463,MTR0000001,2026-04-20 06:00:00,43.3506,53.1781,242.49,0.9212,MISSING,ami_headend,AMI_20260601_B,2026-04-20
MR0000000465,MTR0000001,2026-04-20 08:00:00,78.2171,94.2281,233.82,0.9631,MISSING,ami_headend,AMI_20260601_A,2026-04-20
MR0000000466,MTR0000001,2026-04-20 09:00:00,88.4932,114.8069,239.54,0.9657,MISSING,ami_headend,AMI_20260602_A,2026-04-20
MR0000000471,MTR0000001,2026-04-20 14:00:00,50.0856,61.8762,240.33,0.979,MISSING,ami_headend,AMI_20260602_A,2026-04-20
MR0000000474,MTR0000001,2026-04-20 17:00:00,85.7814,74.1537,240.91,0.9702,MISSING,ami_headend,AMI_20260601_A,2026-04-20
MR0000000477,MTR0000001,2026-04-20 20:00:00,81.8136,108.5984,240.23,0.9598,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-20
MR0000000479,MTR0000001,2026-04-20 22:00:00,32.8692,31.7782,236.88,0.9675,MISSING,ami_headend,AMI_20260602_A,2026-04-20
MR0000000482,MTR0000001,2026-04-21 01:00:00,57.5874,64.0311,238.3,0.9664,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-21
MR0000000483,MTR0000001,2026-04-21 02:00:00,31.8745,35.1821,235.8,0.9273,MISSING,ami_headend,AMI_20260601_B,2026-04-21
MR0000000485,MTR0000001,2026-04-21 04:00:00,21.7536,23.7404,240.04,0.9277,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-21
MR0000000486,MTR0000001,2026-04-21 05:00:00,30.4033,39.7474,243.53,0.9686,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-21
MR0000000491,MTR0000001,2026-04-21 10:00:00,70.2977,85.5581,243.52,0.9654,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-21
MR0000000495,MTR0000001,2026-04-21 14:00:00,75.4016,60.3686,245.82,0.9206,MISSING,ami_headend,AMI_20260601_A,2026-04-21
MR0000000496,MTR0000001,2026-04-21 15:00:00,76.6784,102.0269,241.65,0.9101,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-21
MR0000000498,MTR0000001,2026-04-21 17:00:00,93.3119,119.4199,242.17,0.9756,ESTIMATED,ami_headend,AMI_20260601_B,2026-04-21
MR0000000500,MTR0000001,2026-04-21 19:00:00,81.7365,72.8268,235.38,0.9555,MISSING,ami_headend,AMI_20260602_A,2026-04-21
MR0000000501,MTR0000001,2026-04-21 20:00:00,79.7846,73.1619,235.31,0.9288,ESTIMATED,ami_headend,AMI_20260601_A,2026-04-21
MR0000000505,MTR0000001,2026-04-22 00:00:00,25.1674,30.3292,245.51,0.883,ESTIMATED,ami_headend,AMI_20260602_A,2026-04-22
MR0000000511,MTR0000001,2026-04-22 06:00:00,26.1835,22.8483,235.21,0.9393,MISSING,ami_headend,AMI_20260602_A,2026-04-22
