cell_id,kpi_ts,connected_users,throughput_mbps,prb_utilization_pct,drop_call_rate_pct,handover_success_pct,availability_pct,kpi_date,site_id,technology,max_capacity_mbps,high_utilization_flag,high_drop_rate_flag,poor_availability_flag
CELL000006,2026-05-05 23:00:00,161,471.79,63.447,1.5004,94.7426,98.9773,2026-05-05,SITE00001,4G LTE,603.74,False,False,True
CELL000006,2026-05-07 08:00:00,178,385.995,44.235,2.242,92.1518,0.0,2026-05-07,SITE00001,4G LTE,603.74,False,False,True
CELL000007,2026-05-04 01:00:00,170,374.801,72.173,1.0319,99.544,98.8291,2026-05-04,SITE00002,4G LTE,746.92,False,False,True
CELL000007,2026-05-13 12:00:00,145,286.61,66.991,0.0,96.8638,0.0,2026-05-13,SITE00002,4G LTE,746.92,False,False,True
CELL000007,2026-05-13 15:00:00,317,311.617,57.575,1.6165,97.9046,98.9751,2026-05-13,SITE00002,4G LTE,746.92,False,False,True
CELL000007,2026-05-30 12:00:00,147,582.895,100.0,1.2711,97.1489,98.9332,2026-05-30,SITE00002,4G LTE,746.92,True,False,True
CELL000008,2026-05-15 11:00:00,122,699.958,65.881,3.8819,94.6701,98.8938,2026-05-15,SITE00002,4G LTE,2058.95,False,True,True
CELL000008,2026-05-28 13:00:00,127,289.649,17.269,2.3608,95.8122,0.0,2026-05-28,SITE00002,4G LTE,2058.95,False,False,True
CELL000009,2026-05-03 05:00:00,86,363.332,44.063,2.442,92.7633,98.8359,2026-05-03,SITE00002,4G LTE,1437.49,False,False,True
CELL000009,2026-05-09 06:00:00,275,236.978,97.716,0.3821,95.2458,98.9915,2026-05-09,SITE00002,4G LTE,1437.49,True,False,True
CELL000009,2026-05-11 01:00:00,255,443.112,82.367,3.4325,93.9484,98.9465,2026-05-11,SITE00002,4G LTE,1437.49,False,True,True
CELL000010,2026-05-03 07:00:00,183,300.656,60.432,1.3182,92.4044,0.0,2026-05-03,SITE00002,4G LTE,781.17,False,False,True
CELL000010,2026-05-12 23:00:00,109,172.789,50.54,1.3447,98.5065,0.0,2026-05-12,SITE00002,4G LTE,781.17,False,False,True
CELL000010,2026-05-13 05:00:00,122,646.623,47.807,1.7347,92.6124,0.0,2026-05-13,SITE00002,4G LTE,781.17,False,False,True
CELL000010,2026-05-16 03:00:00,176,54.646,62.983,2.7892,96.9404,0.0,2026-05-16,SITE00002,4G LTE,781.17,False,False,True
CELL000010,2026-05-24 15:00:00,126,186.801,42.334,1.2976,96.0492,0.0,2026-05-24,SITE00002,4G LTE,781.17,False,False,True
CELL000010,2026-05-25 21:00:00,146,554.287,37.973,3.1739,93.0617,0.0,2026-05-25,SITE00002,4G LTE,781.17,False,True,True
CELL000010,2026-05-28 21:00:00,181,575.945,73.683,1.011,94.3536,0.0,2026-05-28,SITE00002,4G LTE,781.17,False,False,True
CELL000011,2026-05-08 18:00:00,200,610.06,60.252,1.3262,97.0994,0.0,2026-05-08,SITE00002,5G NR,543.5,False,False,True
CELL000011,2026-05-08 21:00:00,140,438.169,77.455,2.1622,92.074,98.9655,2026-05-08,SITE00002,5G NR,543.5,False,False,True
CELL000011,2026-05-13 11:00:00,40,498.543,22.333,1.9122,93.5738,98.9821,2026-05-13,SITE00002,5G NR,543.5,False,False,True
CELL000011,2026-05-24 01:00:00,146,316.523,36.536,0.5414,95.4444,0.0,2026-05-24,SITE00002,5G NR,543.5,False,False,True
CELL000011,2026-05-30 06:00:00,196,544.345,67.784,0.7522,96.7294,0.0,2026-05-30,SITE00002,5G NR,543.5,False,False,True
CELL000012,2026-05-03 03:00:00,162,140.903,50.817,0.036,99.0503,0.0,2026-05-03,SITE00003,5G NR,1659.16,False,False,True
CELL000012,2026-05-05 08:00:00,235,466.507,64.709,0.7333,96.5001,0.0,2026-05-05,SITE00003,5G NR,1659.16,False,False,True
CELL000012,2026-05-08 23:00:00,167,181.783,76.244,1.1463,99.0682,98.9304,2026-05-08,SITE00003,5G NR,1659.16,False,False,True
CELL000012,2026-05-27 16:00:00,325,191.163,69.994,0.3499,99.3077,0.0,2026-05-27,SITE00003,5G NR,1659.16,False,False,True
CELL000013,2026-05-01 13:00:00,15,95.499,70.274,1.0828,98.562,98.9401,2026-05-01,SITE00003,4G LTE,1415.42,False,False,True
CELL000013,2026-05-19 17:00:00,155,470.826,70.031,0.1363,97.2393,98.9408,2026-05-19,SITE00003,4G LTE,1415.42,False,False,True
CELL000013,2026-05-20 00:00:00,116,249.627,81.026,0.9408,96.6853,98.8657,2026-05-20,SITE00003,4G LTE,1415.42,False,False,True
CELL000013,2026-05-22 05:00:00,202,561.369,86.917,2.7492,98.8422,0.0,2026-05-22,SITE00003,4G LTE,1415.42,True,False,True
CELL000013,2026-05-23 01:00:00,194,477.02,70.075,1.8573,98.0955,0.0,2026-05-23,SITE00003,4G LTE,1415.42,False,False,True
CELL000013,2026-05-31 12:00:00,105,578.918,38.069,0.7092,96.133,98.7234,2026-05-31,SITE00003,4G LTE,1415.42,False,False,True
CELL000014,2026-05-04 19:00:00,139,584.773,4.269,2.14,95.1781,0.0,2026-05-04,SITE00003,4G LTE,1186.59,False,False,True
CELL000014,2026-05-10 17:00:00,255,281.184,71.557,0.1306,96.3661,0.0,2026-05-10,SITE00003,4G LTE,1186.59,False,False,True
CELL000014,2026-05-13 07:00:00,72,583.1,55.255,1.6208,100.0,98.9046,2026-05-13,SITE00003,4G LTE,1186.59,False,False,True
CELL000014,2026-05-13 16:00:00,113,725.12,32.424,0.6197,95.1785,0.0,2026-05-13,SITE00003,4G LTE,1186.59,False,False,True
CELL000014,2026-05-17 00:00:00,161,459.81,36.035,2.9194,94.2016,0.0,2026-05-17,SITE00003,4G LTE,1186.59,False,False,True
CELL000014,2026-05-21 05:00:00,202,402.059,44.177,2.4595,94.4762,98.948,2026-05-21,SITE00003,4G LTE,1186.59,False,False,True
CELL000014,2026-05-29 16:00:00,183,363.539,73.668,1.4522,91.3303,0.0,2026-05-29,SITE00003,4G LTE,1186.59,False,False,True
CELL000014,2026-05-30 08:00:00,216,229.938,61.217,1.8243,97.2781,0.0,2026-05-30,SITE00003,4G LTE,1186.59,False,False,True
CELL000015,2026-05-04 05:00:00,153,589.709,30.795,1.7598,93.7817,98.982,2026-05-04,SITE00004,5G NR,2367.17,False,False,True
CELL000015,2026-05-11 10:00:00,134,263.508,97.548,3.2016,94.2309,0.0,2026-05-11,SITE00004,5G NR,2367.17,True,True,True
CELL000015,2026-05-24 10:00:00,185,235.6,69.052,0.0,93.3467,98.9356,2026-05-24,SITE00004,5G NR,2367.17,False,False,True
CELL000015,2026-05-27 05:00:00,187,531.355,54.841,1.1358,95.6909,0.0,2026-05-27,SITE00004,5G NR,2367.17,False,False,True
CELL000016,2026-05-16 17:00:00,213,677.615,59.775,2.4557,94.3427,98.9846,2026-05-16,SITE00004,4G LTE,1726.0,False,False,True
CELL000016,2026-05-18 15:00:00,185,408.783,46.95,1.9881,95.5812,98.9491,2026-05-18,SITE00004,4G LTE,1726.0,False,False,True
CELL000016,2026-05-21 02:00:00,220,435.942,57.323,1.2162,95.0334,98.9826,2026-05-21,SITE00004,4G LTE,1726.0,False,False,True
CELL000016,2026-05-31 08:00:00,205,42.94,55.664,1.7234,90.1925,0.0,2026-05-31,SITE00004,4G LTE,1726.0,False,False,True
CELL000017,2026-05-28 00:00:00,214,236.644,47.942,1.1788,93.363,0.0,2026-05-28,SITE00004,4G LTE,405.27,False,False,True
CELL000017,2026-05-28 23:00:00,90,266.947,62.946,1.0559,96.9528,98.7481,2026-05-28,SITE00004,4G LTE,405.27,False,False,True
CELL000017,2026-05-31 04:00:00,186,307.915,71.87,2.3396,98.8912,98.8564,2026-05-31,SITE00004,4G LTE,405.27,False,False,True
CELL000018,2026-05-12 05:00:00,229,524.509,70.703,1.1028,95.0585,98.9839,2026-05-12,SITE00004,5G NR,681.06,False,False,True
CELL000018,2026-05-19 06:00:00,219,567.174,68.697,1.9849,95.8556,0.0,2026-05-19,SITE00004,5G NR,681.06,False,False,True
CELL000019,2026-05-15 22:00:00,102,510.373,76.961,1.6029,100.0,98.8664,2026-05-15,SITE00004,4G LTE,1445.57,False,False,True
CELL000019,2026-05-16 05:00:00,279,603.2,75.859,1.7946,100.0,0.0,2026-05-16,SITE00004,4G LTE,1445.57,False,False,True
CELL000019,2026-05-16 08:00:00,267,350.027,44.976,1.2783,98.3416,98.8215,2026-05-16,SITE00004,4G LTE,1445.57,False,False,True
CELL000020,2026-05-17 22:00:00,165,649.587,94.596,0.7657,93.8161,0.0,2026-05-17,SITE00004,4G LTE,880.51,True,False,True
CELL000020,2026-05-21 21:00:00,332,315.29,79.762,0.5163,93.798,0.0,2026-05-21,SITE00004,4G LTE,880.51,False,False,True
CELL000020,2026-05-23 15:00:00,265,334.236,53.81,0.5819,94.465,98.891,2026-05-23,SITE00004,4G LTE,880.51,False,False,True
CELL000020,2026-05-24 23:00:00,155,56.286,60.437,0.0,98.9381,98.9837,2026-05-24,SITE00004,4G LTE,880.51,False,False,True
CELL000021,2026-05-02 03:00:00,193,497.404,58.889,2.7188,98.2881,98.9689,2026-05-02,SITE00005,4G LTE,1056.62,False,False,True
CELL000021,2026-05-04 10:00:00,266,288.287,14.325,1.0909,94.1233,0.0,2026-05-04,SITE00005,4G LTE,1056.62,False,False,True
CELL000021,2026-05-26 09:00:00,137,424.864,95.795,0.0,95.2474,0.0,2026-05-26,SITE00005,4G LTE,1056.62,True,False,True
CELL000022,2026-05-07 07:00:00,192,572.852,37.442,1.4709,95.0702,0.0,2026-05-07,SITE00005,4G LTE,1996.72,False,False,True
CELL000022,2026-05-12 06:00:00,170,338.98,61.093,0.3327,96.2844,0.0,2026-05-12,SITE00005,4G LTE,1996.72,False,False,True
CELL000022,2026-05-12 08:00:00,214,405.31,52.12,1.259,92.7483,0.0,2026-05-12,SITE00005,4G LTE,1996.72,False,False,True
CELL000022,2026-05-12 15:00:00,154,439.623,64.013,0.6044,98.421,98.9397,2026-05-12,SITE00005,4G LTE,1996.72,False,False,True
CELL000022,2026-05-15 16:00:00,296,475.629,24.469,0.4435,90.357,98.9073,2026-05-15,SITE00005,4G LTE,1996.72,False,False,True
CELL000022,2026-05-16 10:00:00,54,765.201,70.636,2.3428,96.6404,0.0,2026-05-16,SITE00005,4G LTE,1996.72,False,False,True
CELL000022,2026-05-22 06:00:00,218,342.666,77.462,0.0531,95.0939,0.0,2026-05-22,SITE00005,4G LTE,1996.72,False,False,True
CELL000023,2026-05-07 16:00:00,220,495.953,85.32,0.7221,96.4557,98.9884,2026-05-07,SITE00005,4G LTE,2304.13,True,False,True
CELL000023,2026-05-10 01:00:00,128,601.517,30.539,1.1332,95.5836,0.0,2026-05-10,SITE00005,4G LTE,2304.13,False,False,True
CELL000023,2026-05-13 13:00:00,105,634.641,63.895,0.9846,96.0056,0.0,2026-05-13,SITE00005,4G LTE,2304.13,False,False,True
CELL000023,2026-05-13 21:00:00,188,301.448,73.582,1.6829,93.1718,0.0,2026-05-13,SITE00005,4G LTE,2304.13,False,False,True
CELL000023,2026-05-15 04:00:00,157,426.528,61.131,0.0,94.1624,98.9392,2026-05-15,SITE00005,4G LTE,2304.13,False,False,True
CELL000023,2026-05-15 08:00:00,176,694.906,0.776,1.7583,97.566,98.8796,2026-05-15,SITE00005,4G LTE,2304.13,False,False,True
CELL000023,2026-05-15 16:00:00,231,689.071,79.818,1.6495,94.2389,0.0,2026-05-15,SITE00005,4G LTE,2304.13,False,False,True
CELL000023,2026-05-21 18:00:00,125,574.543,76.931,2.5232,92.7932,0.0,2026-05-21,SITE00005,4G LTE,2304.13,False,False,True
CELL000024,2026-05-01 08:00:00,121,528.04,100.0,0.1676,98.4823,98.8909,2026-05-01,SITE00005,5G NR,548.83,True,False,True
CELL000024,2026-05-03 04:00:00,135,199.43,37.454,1.2797,96.8416,98.8145,2026-05-03,SITE00005,5G NR,548.83,False,False,True
CELL000024,2026-05-10 01:00:00,243,260.9,40.09,0.0,98.8143,98.9202,2026-05-10,SITE00005,5G NR,548.83,False,False,True
CELL000024,2026-05-21 16:00:00,188,280.623,34.972,0.6422,95.2201,0.0,2026-05-21,SITE00005,5G NR,548.83,False,False,True
CELL000024,2026-05-21 17:00:00,233,287.54,93.566,0.0,99.3642,0.0,2026-05-21,SITE00005,5G NR,548.83,True,False,True
CELL000024,2026-05-29 10:00:00,114,134.664,81.073,0.7189,98.1713,98.9338,2026-05-29,SITE00005,5G NR,548.83,False,False,True
CELL000025,2026-05-02 16:00:00,234,359.936,45.547,1.2523,99.4344,0.0,2026-05-02,SITE00006,5G NR,2309.36,False,False,True
CELL000025,2026-05-03 12:00:00,114,225.894,100.0,1.054,96.2235,0.0,2026-05-03,SITE00006,5G NR,2309.36,True,False,True
CELL000025,2026-05-03 20:00:00,169,230.97,38.645,1.3398,96.1133,0.0,2026-05-03,SITE00006,5G NR,2309.36,False,False,True
CELL000025,2026-05-11 04:00:00,213,389.732,97.806,0.6344,100.0,0.0,2026-05-11,SITE00006,5G NR,2309.36,True,False,True
CELL000025,2026-05-11 15:00:00,168,136.371,30.73,1.8546,97.5998,0.0,2026-05-11,SITE00006,5G NR,2309.36,False,False,True
CELL000025,2026-05-17 16:00:00,233,304.7,56.538,0.0,96.5414,98.8761,2026-05-17,SITE00006,5G NR,2309.36,False,False,True
CELL000025,2026-05-29 10:00:00,270,657.416,67.972,1.2691,95.567,0.0,2026-05-29,SITE00006,5G NR,2309.36,False,False,True
CELL000026,2026-05-01 20:00:00,180,512.021,94.656,2.2514,97.6587,98.9267,2026-05-01,SITE00006,5G NR,645.7,True,False,True
CELL000026,2026-05-02 10:00:00,273,174.679,77.65,0.6066,99.1827,0.0,2026-05-02,SITE00006,5G NR,645.7,False,False,True
CELL000026,2026-05-15 05:00:00,154,240.706,57.313,0.0,89.9583,0.0,2026-05-15,SITE00006,5G NR,645.7,False,False,True
CELL000026,2026-05-23 20:00:00,107,5.3,26.06,1.3601,94.7031,0.0,2026-05-23,SITE00006,5G NR,645.7,False,False,True
CELL000026,2026-05-24 23:00:00,234,433.251,58.7,0.8395,96.6693,98.9395,2026-05-24,SITE00006,5G NR,645.7,False,False,True
CELL000026,2026-05-25 11:00:00,175,229.206,47.717,1.2261,99.1071,0.0,2026-05-25,SITE00006,5G NR,645.7,False,False,True
CELL000026,2026-05-31 16:00:00,233,437.407,62.842,1.5554,90.1606,0.0,2026-05-31,SITE00006,5G NR,645.7,False,False,True
CELL000027,2026-05-09 21:00:00,199,412.275,46.893,1.4517,95.4044,98.9667,2026-05-09,SITE00006,4G LTE,1275.97,False,False,True
CELL000027,2026-05-23 10:00:00,87,127.273,59.091,2.5569,92.4836,0.0,2026-05-23,SITE00006,4G LTE,1275.97,False,False,True
CELL000027,2026-05-23 14:00:00,200,465.944,59.8,1.2498,97.844,0.0,2026-05-23,SITE00006,4G LTE,1275.97,False,False,True
CELL000027,2026-05-24 20:00:00,265,603.427,45.062,2.14,95.5605,0.0,2026-05-24,SITE00006,4G LTE,1275.97,False,False,True
CELL000027,2026-05-27 03:00:00,24,392.134,58.146,0.1425,94.3625,98.8483,2026-05-27,SITE00006,4G LTE,1275.97,False,False,True
CELL000027,2026-05-27 21:00:00,173,268.305,66.409,0.5815,94.373,98.9591,2026-05-27,SITE00006,4G LTE,1275.97,False,False,True
CELL000027,2026-05-29 16:00:00,181,828.236,62.007,0.6924,97.9589,0.0,2026-05-29,SITE00006,4G LTE,1275.97,False,False,True
CELL000028,2026-05-04 12:00:00,157,735.358,0.0,2.4282,96.2162,0.0,2026-05-04,SITE00006,5G NR,1293.55,False,False,True
CELL000028,2026-05-06 14:00:00,187,314.229,68.783,2.246,97.4931,98.9601,2026-05-06,SITE00006,5G NR,1293.55,False,False,True
CELL000028,2026-05-09 02:00:00,216,228.3,8.542,0.0655,95.3726,0.0,2026-05-09,SITE00006,5G NR,1293.55,False,False,True
CELL000028,2026-05-12 22:00:00,116,477.204,64.947,2.7251,96.3947,98.933,2026-05-12,SITE00006,5G NR,1293.55,False,False,True
CELL000028,2026-05-23 06:00:00,74,414.385,42.509,2.7344,98.9292,98.8601,2026-05-23,SITE00006,5G NR,1293.55,False,False,True
CELL000028,2026-05-24 05:00:00,174,616.369,45.768,1.5601,97.9099,0.0,2026-05-24,SITE00006,5G NR,1293.55,False,False,True
CELL000029,2026-05-06 06:00:00,180,418.77,77.131,0.1429,92.9433,98.9169,2026-05-06,SITE00006,4G LTE,2186.33,False,False,True
CELL000029,2026-05-19 05:00:00,223,646.255,64.718,0.2835,100.0,0.0,2026-05-19,SITE00006,4G LTE,2186.33,False,False,True
CELL000029,2026-05-20 08:00:00,213,463.097,83.779,2.0985,98.3687,0.0,2026-05-20,SITE00006,4G LTE,2186.33,False,False,True
CELL000029,2026-05-21 09:00:00,222,152.008,27.311,2.3117,96.4276,0.0,2026-05-21,SITE00006,4G LTE,2186.33,False,False,True
CELL000030,2026-05-06 21:00:00,135,272.982,70.72,0.5853,95.7197,0.0,2026-05-06,SITE00007,4G LTE,793.25,False,False,True
CELL000030,2026-05-20 14:00:00,210,269.849,85.201,1.1951,95.5717,98.9481,2026-05-20,SITE00007,4G LTE,793.25,True,False,True
CELL000030,2026-05-22 06:00:00,283,704.065,53.573,2.5155,94.6068,0.0,2026-05-22,SITE00007,4G LTE,793.25,False,False,True
CELL000030,2026-05-29 22:00:00,160,389.874,99.984,0.7558,93.2147,98.9019,2026-05-29,SITE00007,4G LTE,793.25,True,False,True
CELL000031,2026-05-10 04:00:00,226,428.3,50.564,2.2016,97.7161,0.0,2026-05-10,SITE00007,4G LTE,1829.92,False,False,True
CELL000031,2026-05-11 21:00:00,206,569.282,54.151,0.0,98.9268,98.964,2026-05-11,SITE00007,4G LTE,1829.92,False,False,True
CELL000031,2026-05-15 11:00:00,271,500.01,100.0,2.3471,91.3103,0.0,2026-05-15,SITE00007,4G LTE,1829.92,True,False,True
CELL000031,2026-05-21 16:00:00,18,519.759,68.724,0.8174,99.8959,98.966,2026-05-21,SITE00007,4G LTE,1829.92,False,False,True
CELL000031,2026-05-25 16:00:00,249,273.819,80.933,2.4013,98.9777,0.0,2026-05-25,SITE00007,4G LTE,1829.92,False,False,True
CELL000032,2026-05-24 14:00:00,289,404.519,45.577,0.2462,98.9167,98.8519,2026-05-24,SITE00007,4G LTE,1473.8,False,False,True
CELL000032,2026-05-25 18:00:00,153,205.157,50.706,1.1774,95.9029,0.0,2026-05-25,SITE00007,4G LTE,1473.8,False,False,True
CELL000033,2026-05-06 09:00:00,138,515.253,58.414,1.3486,96.4935,98.8761,2026-05-06,SITE00007,5G NR,1680.78,False,False,True
CELL000033,2026-05-15 09:00:00,72,432.192,23.149,2.5349,95.259,98.894,2026-05-15,SITE00007,5G NR,1680.78,False,False,True
CELL000033,2026-05-16 00:00:00,160,580.324,95.496,0.7692,98.118,0.0,2026-05-16,SITE00007,5G NR,1680.78,True,False,True
CELL000033,2026-05-26 08:00:00,185,541.585,55.467,2.0653,98.8437,98.9437,2026-05-26,SITE00007,5G NR,1680.78,False,False,True
CELL000034,2026-05-02 19:00:00,171,276.533,84.125,1.1204,99.4195,98.9386,2026-05-02,SITE00007,4G LTE,1426.34,False,False,True
CELL000034,2026-05-03 13:00:00,132,266.187,46.673,0.0,95.5214,0.0,2026-05-03,SITE00007,4G LTE,1426.34,False,False,True
CELL000034,2026-05-05 20:00:00,165,575.204,20.721,2.1354,95.7063,0.0,2026-05-05,SITE00007,4G LTE,1426.34,False,False,True
CELL000034,2026-05-10 05:00:00,225,568.341,44.652,1.0472,93.9292,0.0,2026-05-10,SITE00007,4G LTE,1426.34,False,False,True
CELL000034,2026-05-10 09:00:00,95,532.83,63.472,0.3281,93.0376,0.0,2026-05-10,SITE00007,4G LTE,1426.34,False,False,True
CELL000034,2026-05-21 21:00:00,124,427.959,47.254,2.468,95.8573,98.9493,2026-05-21,SITE00007,4G LTE,1426.34,False,False,True
CELL000034,2026-05-22 23:00:00,127,600.856,100.0,2.9524,99.9844,98.8094,2026-05-22,SITE00007,4G LTE,1426.34,True,False,True
CELL000034,2026-05-31 23:00:00,211,162.55,43.841,0.8656,96.3387,0.0,2026-05-31,SITE00007,4G LTE,1426.34,False,False,True
CELL000035,2026-05-02 02:00:00,14,233.424,53.791,0.2922,99.5246,98.92,2026-05-02,SITE00007,5G NR,994.18,False,False,True
CELL000035,2026-05-03 00:00:00,78,878.182,30.731,2.1645,92.2617,0.0,2026-05-03,SITE00007,5G NR,994.18,False,False,True
CELL000035,2026-05-05 08:00:00,301,403.861,31.746,0.2091,93.2079,0.0,2026-05-05,SITE00007,5G NR,994.18,False,False,True
CELL000035,2026-05-14 14:00:00,166,635.722,20.556,0.7926,92.5163,98.8694,2026-05-14,SITE00007,5G NR,994.18,False,False,True
CELL000035,2026-05-25 08:00:00,305,0.0,40.821,0.826,98.0366,0.0,2026-05-25,SITE00007,5G NR,994.18,False,False,True
CELL000036,2026-05-06 15:00:00,237,518.054,48.636,0.587,95.4535,0.0,2026-05-06,SITE00008,4G LTE,1473.26,False,False,True
CELL000037,2026-05-07 05:00:00,112,324.258,71.952,1.3907,99.7584,0.0,2026-05-07,SITE00008,4G LTE,1502.43,False,False,True
CELL000037,2026-05-18 05:00:00,123,120.987,63.164,1.7242,93.3098,0.0,2026-05-18,SITE00008,4G LTE,1502.43,False,False,True
CELL000038,2026-05-04 07:00:00,275,529.984,39.926,0.5803,99.0584,0.0,2026-05-04,SITE00008,4G LTE,979.03,False,False,True
CELL000038,2026-05-06 05:00:00,319,252.311,89.869,1.338,94.5099,0.0,2026-05-06,SITE00008,4G LTE,979.03,True,False,True
CELL000038,2026-05-06 17:00:00,105,695.407,55.509,1.4473,96.8986,0.0,2026-05-06,SITE00008,4G LTE,979.03,False,False,True
CELL000038,2026-05-07 05:00:00,129,294.451,45.769,0.666,92.1753,0.0,2026-05-07,SITE00008,4G LTE,979.03,False,False,True
CELL000038,2026-05-08 03:00:00,265,526.012,86.064,0.0,95.6112,0.0,2026-05-08,SITE00008,4G LTE,979.03,True,False,True
CELL000038,2026-05-14 23:00:00,130,266.775,43.543,1.9707,95.5068,0.0,2026-05-14,SITE00008,4G LTE,979.03,False,False,True
CELL000038,2026-05-15 22:00:00,278,243.397,59.001,1.6773,95.5807,98.8969,2026-05-15,SITE00008,4G LTE,979.03,False,False,True
CELL000038,2026-05-21 07:00:00,159,766.6,62.9,1.4476,96.4447,0.0,2026-05-21,SITE00008,4G LTE,979.03,False,False,True
CELL000038,2026-05-22 15:00:00,215,384.702,44.392,0.3059,96.9854,0.0,2026-05-22,SITE00008,4G LTE,979.03,False,False,True
CELL000038,2026-05-25 15:00:00,172,580.962,31.757,1.3651,96.0026,0.0,2026-05-25,SITE00008,4G LTE,979.03,False,False,True
CELL000038,2026-05-28 09:00:00,218,588.187,91.129,1.7382,94.9143,98.8572,2026-05-28,SITE00008,4G LTE,979.03,True,False,True
CELL000039,2026-05-05 22:00:00,5,380.625,89.786,1.9536,99.178,98.9917,2026-05-05,SITE00008,4G LTE,1436.12,True,False,True
CELL000039,2026-05-15 13:00:00,212,517.264,64.47,0.4199,95.3505,0.0,2026-05-15,SITE00008,4G LTE,1436.12,False,False,True
CELL000039,2026-05-22 05:00:00,207,427.519,41.905,1.255,94.6232,0.0,2026-05-22,SITE00008,4G LTE,1436.12,False,False,True
CELL000039,2026-05-24 08:00:00,241,239.643,34.466,1.7884,98.2704,0.0,2026-05-24,SITE00008,4G LTE,1436.12,False,False,True
CELL000040,2026-05-15 19:00:00,136,128.679,70.354,1.1349,95.3362,98.9755,2026-05-15,SITE00009,5G NR,977.54,False,False,True
CELL000040,2026-05-17 07:00:00,109,369.032,57.86,0.2038,97.2198,98.9684,2026-05-17,SITE00009,5G NR,977.54,False,False,True
CELL000040,2026-05-26 15:00:00,212,325.983,41.271,3.4368,96.6243,0.0,2026-05-26,SITE00009,5G NR,977.54,False,True,True
CELL000040,2026-05-31 01:00:00,222,298.495,49.589,0.2272,95.1712,0.0,2026-05-31,SITE00009,5G NR,977.54,False,False,True
CELL000041,2026-05-06 18:00:00,64,338.505,50.288,1.1538,95.8789,98.8206,2026-05-06,SITE00009,5G NR,882.45,False,False,True
CELL000041,2026-05-10 11:00:00,276,232.119,84.537,2.5582,91.6891,0.0,2026-05-10,SITE00009,5G NR,882.45,False,False,True
CELL000041,2026-05-18 07:00:00,109,364.365,77.178,2.0958,93.1935,98.9355,2026-05-18,SITE00009,5G NR,882.45,False,False,True
CELL000041,2026-05-24 02:00:00,70,561.598,60.444,1.4651,92.9704,0.0,2026-05-24,SITE00009,5G NR,882.45,False,False,True
CELL000042,2026-05-02 15:00:00,104,364.78,52.646,0.8807,94.9079,0.0,2026-05-02,SITE00009,4G LTE,1843.57,False,False,True
CELL000042,2026-05-04 21:00:00,134,428.987,73.426,1.6731,98.8295,98.9556,2026-05-04,SITE00009,4G LTE,1843.57,False,False,True
CELL000042,2026-05-17 01:00:00,146,227.732,98.398,0.8743,98.1556,98.8862,2026-05-17,SITE00009,4G LTE,1843.57,True,False,True
CELL000042,2026-05-25 23:00:00,182,400.085,88.546,2.6173,99.3656,98.9592,2026-05-25,SITE00009,4G LTE,1843.57,True,False,True
CELL000042,2026-05-27 18:00:00,219,453.533,45.376,0.5035,94.3598,98.9879,2026-05-27,SITE00009,4G LTE,1843.57,False,False,True
CELL000043,2026-05-11 13:00:00,171,257.991,39.636,2.2119,93.2626,98.9108,2026-05-11,SITE00009,5G NR,1016.64,False,False,True
