session_id,subscriber_id,cell_id,session_start_ts,session_end_ts,data_mb,avg_downlink_mbps,avg_uplink_mbps,latency_ms,packet_loss_pct,roaming_flag,source_system,session_date,customer_id,plan_id,device_id,home_region,site_id,technology,data_gb,poor_qoe_flag,month
DATA0000000559,SUB00001385,CELL000201,2026-05-31 07:26:40,2026-05-31 10:10:40,140.877,151.333,16.089,55.059,2.2943,False,pgw,2026-05-31,CUST00000883,PLN020,DEV0001402,Southeast,SITE00048,5G NR,0.1375751953125,True,2026-05
DATA0000000593,SUB00003725,CELL000116,2026-05-01 18:28:36,2026-05-01 19:33:36,16.864,7.887,23.046,53.551,2.2714,False,pgw,2026-05-01,CUST00000894,PLN005,DEV0002007,Southeast,SITE00027,5G NR,0.01646875,True,2026-05
DATA0000000602,SUB00001005,CELL000167,2026-04-10 21:58:07,2026-04-10 22:21:07,1186.691,123.724,15.765,45.505,2.5346,False,pgw,2026-04-10,CUST00000618,PLN012,DEV0000898,Midwest,SITE00039,4G LTE,1.1588779296875,True,2026-04
DATA0000000605,SUB00003305,CELL000021,2026-04-29 00:29:55,2026-04-29 00:51:55,1706.085,200.997,26.576,14.929,2.1686,False,pgw,2026-04-29,CUST00003011,PLN018,DEV0001561,Southeast,SITE00005,4G LTE,1.6660986328125,True,2026-04
DATA0000000624,SUB00001563,CELL000155,2026-04-03 03:54:00,2026-04-03 03:58:00,8.933,115.538,48.516,31.86,2.7245,True,pgw,2026-04-03,CUST00004336,PLN001,DEV0001000,Northeast,SITE00036,5G NR,0.0087236328125,True,2026-04
DATA0000000657,SUB00004266,CELL000251,2026-04-28 17:31:09,2026-04-28 18:44:09,1044.94,160.461,16.483,18.456,2.0897,False,pgw,2026-04-28,CUST00001089,PLN002,DEV0000190,Southwest,SITE00059,5G NR,1.02044921875,True,2026-04
DATA0000000661,SUB00000038,CELL000024,2026-05-13 16:25:17,2026-05-13 17:11:17,186.993,124.692,42.347,31.843,3.0892,True,pgw,2026-05-13,CUST00003939,PLN004,DEV0002421,Northeast,SITE00005,5G NR,0.1826103515625,True,2026-05
DATA0000000681,SUB00000386,CELL000211,2026-04-10 06:34:10,2026-04-10 08:53:10,949.148,116.018,29.811,49.96,2.2343,False,pgw,2026-04-10,CUST00002058,PLN003,DEV0000732,Midwest,SITE00050,4G LTE,0.92690234375,True,2026-04
DATA0000000685,SUB00004169,CELL000154,2026-05-19 02:09:15,2026-05-19 03:34:15,730.397,97.868,22.879,35.04,2.3674,True,pgw,2026-05-19,CUST00000092,PLN001,DEV0001987,Midwest,SITE00036,5G NR,0.7132783203125,True,2026-05
DATA0000000754,SUB00003109,CELL000012,2026-04-12 04:46:48,2026-04-12 06:40:48,576.116,175.587,44.256,43.463,3.0106,False,pgw,2026-04-12,CUST00000096,PLN002,DEV0000323,West,SITE00003,5G NR,0.56261328125,True,2026-04
DATA0000000784,SUB00004149,CELL000139,2026-05-16 21:01:06,2026-05-16 23:08:06,476.748,114.094,30.322,33.692,2.3494,False,pgw,2026-05-16,CUST00003990,PLN007,DEV0002114,Midwest,SITE00033,5G NR,0.46557421875,True,2026-05
DATA0000000798,SUB00002489,CELL000094,2026-04-13 20:34:21,2026-04-13 21:23:21,414.721,142.688,37.82,32.435,2.2318,False,pgw,2026-04-13,CUST00002671,PLN011,DEV0000030,Midwest,SITE00022,5G NR,0.4050009765625,True,2026-04
DATA0000000814,SUB00002961,CELL000252,2026-04-27 09:42:20,2026-04-27 11:06:20,350.357,28.949,35.294,31.449,2.2158,False,pgw,2026-04-27,CUST00003925,PLN020,DEV0002142,Midwest,SITE00059,4G LTE,0.3421455078125,True,2026-04
DATA0000000843,SUB00000965,CELL000210,2026-04-27 05:12:30,2026-04-27 07:30:30,59.574,74.067,18.946,36.665,2.0764,False,pgw,2026-04-27,CUST00002735,PLN009,DEV0001358,Southwest,SITE00049,4G LTE,0.058177734375,True,2026-04
DATA0000000851,SUB00003385,CELL000232,2026-05-04 20:19:10,2026-05-04 21:02:10,960.297,40.101,6.281,27.592,2.3488,False,pgw,2026-05-04,CUST00001675,PLN019,DEV0000535,Southwest,SITE00054,4G LTE,0.9377900390625,True,2026-05
DATA0000000888,SUB00003637,CELL000127,2026-05-08 09:55:37,2026-05-08 10:10:37,126.082,30.977,25.751,33.587,2.2269,False,pgw,2026-05-08,CUST00002665,PLN020,DEV0002408,West,SITE00030,4G LTE,0.123126953125,True,2026-05
DATA0000000905,SUB00000203,CELL000110,2026-05-26 16:09:19,2026-05-26 17:00:19,169.256,253.683,23.466,34.167,2.0188,False,pgw,2026-05-26,CUST00001735,PLN014,DEV0000163,Northeast,SITE00026,5G NR,0.1652890625,True,2026-05
DATA0000000906,SUB00002795,CELL000036,2026-04-04 09:35:38,2026-04-04 12:19:38,318.634,99.188,39.871,58.754,2.0642,True,pgw,2026-04-04,CUST00003148,PLN006,DEV0000255,Southwest,SITE00008,4G LTE,0.311166015625,True,2026-04
DATA0000000917,SUB00004264,CELL000174,2026-05-06 22:59:06,2026-05-07 00:24:06,569.598,134.875,37.927,30.773,2.0688,False,pgw,2026-05-06,CUST00000256,PLN013,DEV0000511,Northeast,SITE00041,4G LTE,0.556248046875,True,2026-05
DATA0000000935,SUB00000623,CELL000210,2026-05-21 16:06:16,2026-05-21 17:28:16,976.848,0.1,24.653,33.035,2.044,False,pgw,2026-05-21,CUST00001815,PLN008,DEV0002196,Northeast,SITE00049,4G LTE,0.953953125,True,2026-05
DATA0000000939,SUB00003652,CELL000002,2026-04-22 01:17:43,2026-04-22 03:15:43,166.851,112.136,34.116,31.027,2.2045,True,pgw,2026-04-22,CUST00003284,PLN014,DEV0000867,Midwest,SITE00001,5G NR,0.1629404296875,True,2026-04
DATA0000000945,SUB00004484,CELL000020,2026-05-13 03:26:10,2026-05-13 05:23:10,1993.644,192.351,23.402,36.01,2.1526,False,pgw,2026-05-13,CUST00004212,PLN015,DEV0002143,Southeast,SITE00004,4G LTE,1.94691796875,True,2026-05
DATA0000000982,SUB00001760,CELL000067,2026-05-14 13:22:03,2026-05-14 14:06:03,958.675,114.463,49.578,32.06,2.3672,False,pgw,2026-05-14,CUST00001333,PLN019,DEV0000619,Midwest,SITE00015,5G NR,0.9362060546875,True,2026-05
DATA0000000984,SUB00003763,CELL000201,2026-04-10 22:56:00,2026-04-11 01:37:00,1262.865,235.545,24.321,58.958,2.4741,False,pgw,2026-04-10,CUST00000212,PLN002,DEV0001143,Southwest,SITE00048,5G NR,1.2332666015625,True,2026-04
DATA0000001006,SUB00004414,CELL000027,2026-05-31 23:09:59,2026-05-31 23:15:59,125.295,58.673,23.713,28.231,2.1829,False,pgw,2026-05-31,CUST00002719,PLN009,DEV0000716,West,SITE00006,4G LTE,0.1223583984375,True,2026-05
DATA0000001019,SUB00000401,CELL000234,2026-04-18 04:12:19,2026-04-18 04:44:19,277.463,109.05,24.582,33.31,2.5221,False,pgw,2026-04-18,CUST00002384,PLN003,DEV0000447,Southwest,SITE00055,5G NR,0.2709599609375,True,2026-04
DATA0000001029,SUB00004094,CELL000083,2026-05-24 03:36:51,2026-05-24 04:58:51,1397.417,210.413,39.448,36.531,2.5583,False,pgw,2026-05-24,CUST00004358,PLN015,DEV0000058,Northeast,SITE00019,4G LTE,1.3646650390625,True,2026-05
DATA0000001046,SUB00004434,CELL000110,2026-04-04 03:09:08,2026-04-04 05:58:08,639.961,24.006,29.61,36.606,2.189,False,pgw,2026-04-04,CUST00003913,PLN004,DEV0002164,West,SITE00026,5G NR,0.6249619140625,True,2026-04
DATA0000001055,SUB00000646,CELL000030,2026-05-22 06:40:01,2026-05-22 06:55:01,1041.761,169.168,22.994,63.273,2.301,True,pgw,2026-05-22,CUST00004202,PLN013,DEV0002291,West,SITE00007,4G LTE,1.0173447265625,True,2026-05
DATA0000001082,SUB00000214,CELL000114,2026-04-29 06:11:23,2026-04-29 07:39:23,938.103,46.216,30.382,25.195,2.003,False,pgw,2026-04-29,CUST00003948,PLN017,DEV0001084,Northeast,SITE00026,5G NR,0.9161162109375,True,2026-04
DATA0000001109,SUB00001507,CELL000146,2026-05-25 03:28:21,2026-05-25 03:44:21,303.014,55.545,11.219,21.965,2.4309,False,pgw,2026-05-25,CUST00002153,PLN002,DEV0001355,Midwest,SITE00035,5G NR,0.295912109375,True,2026-05
DATA0000001121,SUB00001298,CELL000089,2026-05-06 01:06:33,2026-05-06 01:56:33,31.384,163.817,19.435,24.497,3.0214,False,pgw,2026-05-06,CUST00001661,PLN017,DEV0002342,Southeast,SITE00020,5G NR,0.0306484375,True,2026-05
DATA0000001137,SUB00000297,CELL000102,2026-04-24 13:31:17,2026-04-24 15:24:17,585.555,92.257,45.903,27.274,2.245,True,pgw,2026-04-24,CUST00001724,PLN019,DEV0001234,Southeast,SITE00023,4G LTE,0.5718310546875,True,2026-04
DATA0000001141,SUB00004553,CELL000058,2026-05-01 11:42:09,2026-05-01 12:35:09,117.633,112.196,21.027,15.694,2.1565,False,pgw,2026-05-01,CUST00003641,PLN015,DEV0002443,Midwest,SITE00013,5G NR,0.1148759765625,True,2026-05
DATA0000001157,SUB00003327,CELL000030,2026-04-14 00:03:40,2026-04-14 02:26:40,1341.304,90.326,26.062,23.84,3.2281,False,pgw,2026-04-14,CUST_UNKNOWN,PLN014,DEV0000058,Midwest,SITE00007,4G LTE,1.3098671875,True,2026-04
DATA0000001178,SUB00000242,CELL000238,2026-04-25 16:58:50,2026-04-25 19:45:50,340.304,103.603,29.125,2.252,2.3514,False,pgw,2026-04-25,CUST00003714,PLN016,DEV0000245,Midwest,SITE00056,5G NR,0.332328125,True,2026-04
DATA0000001182,SUB00001760,CELL000170,2026-04-25 03:51:00,2026-04-25 05:52:00,361.895,119.326,37.189,46.633,2.0907,True,pgw,2026-04-25,CUST00001333,PLN019,DEV0000619,Midwest,SITE00040,4G LTE,0.3534130859375,True,2026-04
DATA0000001183,SUB00002547,CELL000103,2026-05-09 16:56:50,2026-05-09 18:17:50,1320.692,138.467,39.164,30.909,2.4885,False,pgw,2026-05-09,CUST00002471,PLN008,DEV0002221,Northeast,SITE00023,4G LTE,1.28973828125,True,2026-05
DATA0000001197,SUB00001238,CELL000125,2026-05-07 16:35:50,2026-05-07 19:24:50,1421.124,164.908,28.177,10.321,2.1654,True,pgw,2026-05-07,CUST00003055,PLN002,DEV0000395,West,SITE00030,5G NR,1.38781640625,True,2026-05
DATA0000001220,SUB00002644,CELL000013,2026-04-17 02:32:54,2026-04-17 03:59:54,292.12,0.1,18.58,42.469,2.4292,False,pgw,2026-04-17,CUST00001374,PLN017,DEV0001203,West,SITE00003,4G LTE,0.2852734375,True,2026-04
DATA0000001228,SUB00001220,CELL000044,2026-04-18 15:30:15,2026-04-18 15:31:15,1101.495,99.709,51.077,51.733,2.2526,False,pgw,2026-04-18,CUST00000853,PLN006,DEV0001488,West,SITE00009,4G LTE,1.0756787109375,True,2026-04
DATA0000001234,SUB00001229,CELL000250,2026-04-08 22:32:53,2026-04-09 01:08:53,159.005,82.764,9.664,19.758,2.415,False,pgw,2026-04-08,CUST00003210,PLN016,DEV0000118,Northeast,SITE00059,4G LTE,0.1552783203125,True,2026-04
DATA0000001243,SUB00004598,CELL000148,2026-04-06 07:05:20,2026-04-06 08:12:20,806.026,81.786,25.047,30.164,2.3663,False,pgw,2026-04-06,CUST00004249,PLN015,DEV0000473,Midwest,SITE00035,4G LTE,0.787134765625,True,2026-04
DATA0000001245,SUB00004499,CELL000130,2026-04-24 20:56:00,2026-04-24 23:13:00,319.607,112.812,44.95,53.831,2.4753,True,pgw,2026-04-24,CUST00001292,PLN002,DEV0000669,Midwest,SITE00031,4G LTE,0.3121162109375,True,2026-04
DATA0000001254,SUB00001899,CELL000246,2026-05-01 11:09:15,2026-05-01 13:09:15,364.162,77.516,41.162,39.47,2.3324,True,pgw,2026-05-01,CUST00003540,PLN006,DEV0002002,Southwest,SITE00057,4G LTE,0.355626953125,True,2026-05
DATA0000001290,SUB00002425,CELL000197,2026-05-26 14:02:29,2026-05-26 16:37:29,201.98,188.91,16.124,41.768,2.125,True,pgw,2026-05-26,CUST00002511,PLN002,DEV0000819,Midwest,SITE00046,4G LTE,0.19724609375,True,2026-05
DATA0000001311,SUB00002039,CELL000030,2026-04-22 04:35:14,2026-04-22 05:12:14,22.91,145.896,34.331,29.568,2.3724,False,pgw,2026-04-22,CUST00000392,PLN012,DEV0001474,West,SITE00007,4G LTE,0.022373046875,True,2026-04
DATA0000001333,SUB00003103,CELL000086,2026-04-03 16:19:56,2026-04-03 17:55:56,250.95,89.91,1.853,25.578,2.2151,False,pgw,2026-04-03,CUST00003516,PLN020,DEV0000284,Northeast,SITE00020,4G LTE,0.245068359375,True,2026-04
DATA0000001345,SUB00003783,CELL000158,2026-04-02 08:22:48,2026-04-02 09:23:48,1162.96,158.417,19.202,38.78,2.0414,True,pgw,2026-04-02,CUST00000189,PLN007,DEV0000055,Southwest,SITE00037,5G NR,1.135703125,True,2026-04
DATA0000001356,SUB00004466,CELL000119,2026-04-12 02:49:59,2026-04-12 05:42:59,324.17,64.052,25.213,88.247,0.0,False,pgw,2026-04-12,CUST00000363,PLN003,DEV0000874,Northeast,SITE00028,4G LTE,0.316572265625,True,2026-04
DATA0000001375,SUB00004821,CELL000222,2026-04-08 07:31:27,2026-04-08 09:05:27,167.953,172.1,11.487,51.678,2.7327,False,pgw,2026-04-08,CUST00001014,PLN008,DEV0000372,Northeast,SITE00052,4G LTE,0.1640166015625,True,2026-04
DATA0000001383,SUB00004990,CELL000145,2026-05-02 01:47:08,2026-05-02 02:22:08,299.9,71.518,27.12,40.878,2.5858,False,pgw,2026-05-02,CUST00000347,PLN012,DEV0000257,Southwest,SITE00035,4G LTE,0.29287109375,True,2026-05
DATA0000001398,SUB00004734,CELL000252,2026-04-14 03:25:33,2026-04-14 05:43:33,53.936,120.914,13.334,6.248,2.0913,False,pgw,2026-04-14,CUST00000660,PLN011,DEV0001234,Southeast,SITE00059,4G LTE,0.052671875,True,2026-04
DATA0000001455,SUB00004666,CELL000252,2026-04-28 10:26:11,2026-04-28 11:43:11,32.043,178.974,28.694,22.653,2.0717,False,pgw,2026-04-28,CUST00000216,PLN016,DEV0000502,Northeast,SITE00059,4G LTE,0.0312919921875,True,2026-04
DATA0000001472,SUB00000947,CELL000030,2026-04-21 08:38:25,2026-04-21 11:37:25,482.39,104.456,34.157,28.191,2.2439,False,pgw,2026-04-21,CUST00000449,PLN017,DEV0001134,Southwest,SITE00007,4G LTE,0.471083984375,True,2026-04
DATA0000001474,SUB00004553,CELL000143,2026-05-22 10:14:20,2026-05-22 12:12:20,689.371,20.278,39.362,28.964,2.1708,False,pgw,2026-05-22,CUST00003641,PLN015,DEV0002443,Midwest,SITE00034,5G NR,0.6732138671875,True,2026-05
DATA0000001476,SUB00000176,CELL000038,2026-04-04 03:29:36,2026-04-04 06:12:36,1791.168,73.085,24.364,25.294,2.0307,False,pgw,2026-04-04,CUST00000438,PLN013,DEV0001837,West,SITE00008,4G LTE,1.7491875,True,2026-04
DATA0000001480,SUB00002303,CELL000019,2026-04-02 00:08:57,2026-04-02 01:45:57,62.637,173.758,23.398,29.235,2.0744,True,pgw,2026-04-02,CUST00002275,PLN017,DEV0001072,Southwest,SITE00004,4G LTE,0.0611689453125,True,2026-04
DATA0000001482,SUB00000207,CELL000104,2026-05-07 21:25:28,2026-05-07 23:18:28,203.68,121.51,33.014,80.418,0.0,False,pgw,2026-05-07,CUST00003041,PLN012,DEV0002261,Midwest,SITE00024,5G NR,0.19890625,True,2026-05
DATA0000001504,SUB00000584,CELL000046,2026-05-26 06:30:13,2026-05-26 08:22:13,553.417,118.056,24.859,30.571,2.1103,False,pgw,2026-05-26,CUST00001304,PLN008,DEV0001113,Northeast,SITE00010,5G NR,0.5404462890625,True,2026-05
DATA0000001506,SUB00002567,CELL000206,2026-05-16 11:02:52,2026-05-16 13:05:52,261.919,172.444,4.743,50.855,2.0674,True,pgw,2026-05-16,CUST00004469,PLN015,DEV0000240,Southeast,SITE00048,4G LTE,0.2557802734375,True,2026-05
DATA0000001513,SUB00002369,CELL000233,2026-04-29 23:48:43,2026-04-30 01:52:43,67.248,170.105,34.378,28.133,2.1819,False,pgw,2026-04-29,CUST00003288,PLN014,DEV0000976,Southeast,SITE00054,4G LTE,0.065671875,True,2026-04
DATA0000001519,SUB00001265,CELL000170,2026-05-17 05:02:58,2026-05-17 05:40:58,469.933,55.381,52.203,6.351,2.5649,False,pgw,2026-05-17,CUST00001941,PLN017,DEV0001371,Southeast,SITE00040,4G LTE,0.4589189453125,True,2026-05
DATA0000001531,SUB00004120,CELL000073,2026-05-05 22:31:48,2026-05-06 01:20:48,224.849,17.48,21.193,30.585,2.1592,False,pgw,2026-05-05,CUST00003465,PLN007,DEV0000723,Southeast,SITE00017,4G LTE,0.2195791015625,True,2026-05
DATA0000001556,SUB00002762,CELL000223,2026-04-29 09:16:03,2026-04-29 09:53:03,2734.884,106.424,55.755,35.132,2.3814,False,pgw,2026-04-29,CUST00000421,PLN019,DEV0000135,Midwest,SITE00052,5G NR,2.67078515625,True,2026-04
DATA0000001568,SUB00002637,CELL000079,2026-04-02 12:36:01,2026-04-02 14:56:01,793.371,41.698,40.669,10.651,2.1476,False,pgw,2026-04-02,CUST00000749,PLN013,DEV0000904,Southwest,SITE00018,5G NR,0.7747763671875,True,2026-04
DATA0000001573,SUB00000824,CELL000173,2026-05-13 06:35:51,2026-05-13 06:46:51,2025.978,114.306,27.174,43.632,2.2509,True,pgw,2026-05-13,CUST00002676,PLN002,DEV0002041,Northeast,SITE00041,5G NR,1.978494140625,True,2026-05
DATA0000001663,SUB00004650,CELL000032,2026-04-07 15:56:11,2026-04-07 16:42:11,571.39,5.134,21.968,31.938,2.2137,False,pgw,2026-04-07,CUST00002257,PLN002,DEV0002352,Northeast,SITE00007,4G LTE,0.557998046875,True,2026-04
DATA0000001686,SUB00001300,CELL000206,2026-05-31 01:34:12,2026-05-31 04:05:12,809.559,129.321,28.399,11.561,2.4667,False,pgw,2026-05-31,CUST00001748,PLN009,DEV0001256,Southwest,SITE00048,4G LTE,0.7905849609375,True,2026-05
DATA0000001703,SUB00003898,CELL000160,2026-05-16 08:22:11,2026-05-16 08:57:11,204.383,0.1,32.68,15.921,2.0111,False,pgw,2026-05-16,CUST00000971,PLN002,DEV0001197,West,SITE00037,5G NR,0.1995927734375,True,2026-05
DATA0000001737,SUB00001650,CELL000253,2026-04-10 17:37:54,2026-04-10 19:23:54,1485.504,132.495,20.755,65.482,2.1691,False,pgw,2026-04-10,CUST00000155,PLN017,DEV0001064,Southwest,SITE00060,5G NR,1.4506875,True,2026-04
DATA0000001738,SUB00004409,CELL000053,2026-04-09 03:01:00,2026-04-09 04:20:00,597.911,63.856,20.762,19.991,2.3525,True,pgw,2026-04-09,CUST00001340,PLN006,DEV0001913,Midwest,SITE00012,5G NR,0.5838974609375,True,2026-04
DATA0000001744,SUB00000220,CELL000159,2026-04-26 08:24:42,2026-04-26 08:51:42,640.328,190.447,9.53,51.542,2.0503,True,pgw,2026-04-26,CUST00001209,PLN015,DEV0001467,Northeast,SITE00037,5G NR,0.6253203125,True,2026-04
