provider_id,provider_name,specialty,facility_id,department_id,encounter_count,inpatient_count,avg_los,high_los_count,avg_patient_rating,survey_count
PRV000042,Dr. Casey Kim 42,Internal Medicine,FAC001,DEP0012,18,3,1.7777777777777777,2,4.777777777777778,9.0
PRV000043,Dr. Avery Patel 43,Cardiology,FAC006,DEP0065,24,7,1.6805555555555556,2,3.4705882352941178,17.0
PRV000044,Dr. Casey Lee 44,Oncology,FAC005,DEP0052,17,2,1.0171568627450982,1,3.5,8.0
PRV000045,Dr. Casey Kim 45,Critical Care,FAC001,DEP0010,17,2,1.5598958333333335,2,3.6,5.0
PRV000046,Dr. Jordan Patel 46,Emergency Medicine,FAC002,DEP0019,22,4,1.933712121212121,3,2.6666666666666665,12.0
PRV000047,Dr. Avery Smith 47,Critical Care,FAC005,DEP0055,21,2,0.8229166666666667,1,3.8666666666666667,15.0
PRV000048,Dr. Taylor Smith 48,Critical Care,FAC006,DEP0067,12,1,0.6111111111111112,0,4.0,9.0
PRV000049,Dr. Avery Lee 49,Pediatrics,FAC004,DEP0039,27,10,2.3070987654320985,3,3.1538461538461537,13.0
PRV000050,Dr. Jordan Lee 50,Emergency Medicine,FAC001,DEP0004,18,3,1.5625,3,3.0,5.0
PRV000051,Dr. Taylor Smith 51,Pediatrics,FAC006,DEP0072,20,6,1.9520833333333332,1,3.8181818181818183,11.0
PRV000052,Dr. Avery Brown 52,Emergency Medicine,FAC001,DEP0002,17,4,2.2573529411764706,2,4.0,8.0
PRV000053,Dr. Morgan Patel 53,Emergency Medicine,FAC003,DEP0031,16,4,1.4583333333333335,1,3.1666666666666665,12.0
PRV000054,Dr. Taylor Kim 54,Emergency Medicine,FAC001,DEP0005,17,3,1.588235294117647,2,3.4545454545454546,11.0
PRV000055,Dr. Taylor Lee 55,Neurology,FAC001,DEP0009,24,4,1.298913043478261,1,4.0,9.0
PRV000056,Dr. Taylor Lee 56,Pediatrics,FAC005,DEP0049,14,1,0.8928571428571429,1,3.5555555555555554,9.0
PRV000057,Dr. Taylor Smith 57,Radiology,FAC002,DEP0020,11,1,1.365740740740741,1,4.666666666666667,3.0
PRV000058,Dr. Avery Brown 58,Cardiology,FAC005,DEP0056,18,4,1.525462962962963,1,3.5,12.0
PRV000059,Dr. Morgan Smith 59,Pediatrics,FAC005,DEP0055,9,3,2.6944444444444446,1,2.5,2.0
PRV000060,Dr. Morgan Smith 60,Neurology,FAC005,DEP0059,16,6,2.71875,3,3.6,5.0
PRV000061,Dr. Taylor Lee 61,Internal Medicine,FAC006,DEP0071,14,1,0.4970238095238095,0,2.8,5.0
PRV000062,Dr. Taylor Brown 62,Cardiology,FAC005,DEP0056,19,7,3.098684210526316,4,3.6666666666666665,3.0
PRV000063,Dr. Morgan Patel 63,Radiology,FAC003,DEP0035,20,4,1.8355263157894737,2,3.4,10.0
PRV000064,Dr. Casey Patel 64,Radiology,FAC005,DEP0059,21,3,1.75,3,3.2222222222222223,9.0
PRV000065,Dr. Morgan Brown 65,General Surgery,FAC001,DEP0011,18,2,1.3055555555555556,2,3.5,6.0
PRV000066,Dr. Taylor Garcia 66,Oncology,FAC003,DEP0034,16,4,2.640625,4,2.7,10.0
PRV000067,Dr. Taylor Kim 67,Orthopedic Surgery,FAC004,DEP0044,20,7,2.8,4,3.142857142857143,7.0
PRV000068,Dr. Morgan Garcia 68,Radiology,FAC005,DEP0050,9,0,0.18055555555555555,0,4.75,4.0
PRV000069,Dr. Riley Lee 69,Radiology,FAC006,DEP0063,15,4,2.7416666666666667,3,3.1666666666666665,6.0
PRV000070,Dr. Riley Kim 70,Radiology,FAC004,DEP0040,22,5,1.9166666666666667,3,3.2222222222222223,9.0
PRV000071,Dr. Morgan Brown 71,General Surgery,FAC002,DEP0023,23,4,1.8145833333333332,2,2.8,10.0
PRV000072,Dr. Avery Kim 72,Radiology,FAC005,DEP0053,13,6,2.8910256410256405,3,3.142857142857143,7.0
PRV000073,Dr. Avery Lee 73,Critical Care,FAC004,DEP0045,19,5,1.6271929824561404,1,3.5714285714285716,7.0
PRV000074,Dr. Casey Kim 74,Critical Care,FAC005,DEP0058,18,3,1.4027777777777777,2,3.888888888888889,9.0
PRV000075,Dr. Casey Smith 75,Cardiology,FAC003,DEP0025,15,3,1.9166666666666667,2,4.4,5.0
PRV000076,Dr. Casey Garcia 76,Critical Care,FAC002,DEP0021,21,0,0.25,0,3.0,6.0
PRV000077,Dr. Taylor Kim 77,Radiology,FAC001,DEP0004,17,6,2.656862745098039,2,3.6923076923076925,13.0
PRV000078,Dr. Casey Smith 78,Critical Care,FAC006,DEP0067,23,2,0.6394927536231884,0,3.4285714285714284,7.0
PRV000079,Dr. Morgan Garcia 79,Oncology,FAC005,DEP0059,15,4,2.461111111111111,2,3.75,8.0
PRV000080,Dr. Riley Garcia 80,Cardiology,FAC001,DEP0008,17,5,2.1299019607843137,2,3.0,7.0
PRV000081,Dr. Avery Garcia 81,Cardiology,FAC003,DEP0032,20,2,1.075,2,3.625,8.0
PRV000082,Dr. Jordan Lee 82,General Surgery,FAC003,DEP0025,14,2,1.2470238095238095,1,3.5,8.0
PRV000083,Dr. Morgan Garcia 83,Orthopedic Surgery,FAC003,DEP0033,19,2,0.8596491228070174,1,3.142857142857143,7.0
PRV000084,Dr. Jordan Brown 84,Radiology,FAC006,DEP0069,16,3,1.8307291666666665,2,3.75,8.0
PRV000085,Dr. Avery Kim 85,Critical Care,FAC006,DEP0071,19,3,1.1973684210526316,1,3.5384615384615383,13.0
PRV000086,Dr. Avery Kim 86,Internal Medicine,FAC004,DEP0044,17,7,2.443627450980392,2,3.5,6.0
PRV000087,Dr. Taylor Kim 87,General Surgery,FAC005,DEP0060,11,0,0.25757575757575757,0,3.0,3.0
PRV000088,Dr. Jordan Lee 88,Orthopedic Surgery,FAC002,DEP0019,17,3,1.4730392156862746,2,3.727272727272727,11.0
PRV000089,Dr. Avery Smith 89,Critical Care,FAC001,DEP0005,12,1,0.5902777777777778,0,3.4,5.0
PRV000090,Dr. Taylor Lee 90,Critical Care,FAC004,DEP0048,12,1,0.7986111111111112,0,3.25,4.0
PRV000091,Dr. Casey Lee 91,Neurology,FAC004,DEP0047,26,2,0.8573717948717949,1,3.4285714285714284,7.0
PRV000092,Dr. Avery Smith 92,Neurology,FAC002,DEP0016,11,1,0.446969696969697,0,3.0,5.0
PRV000093,Dr. Avery Patel 93,General Surgery,FAC002,DEP0018,14,3,1.2023809523809526,1,3.3333333333333335,6.0
PRV000094,Dr. Morgan Brown 94,Orthopedic Surgery,FAC003,DEP0034,22,5,1.3200757575757576,1,3.2,10.0
PRV000095,Dr. Jordan Brown 95,Pediatrics,FAC003,DEP0028,16,3,0.9296875,1,3.6666666666666665,6.0
PRV000096,Dr. Riley Brown 96,Oncology,FAC006,DEP0064,10,3,1.2624999999999997,0,2.5,4.0
PRV000097,Dr. Riley Smith 97,Critical Care,FAC006,DEP0066,16,2,1.03125,1,2.6666666666666665,3.0
PRV000098,Dr. Taylor Smith 98,Cardiology,FAC003,DEP0028,9,1,0.462962962962963,0,3.75,4.0
PRV000099,Dr. Riley Smith 99,Critical Care,FAC002,DEP0013,9,3,2.9212962962962963,3,3.6,5.0
PRV000100,Dr. Riley Lee 100,Radiology,FAC001,DEP0009,24,7,2.1302083333333335,4,3.727272727272727,11.0
PRV000101,Dr. Casey Brown 101,Critical Care,FAC006,DEP0063,23,6,1.7862318840579707,2,3.5,8.0
PRV000102,Dr. Morgan Smith 102,Radiology,FAC002,DEP0017,16,3,1.8125,2,2.3333333333333335,6.0
PRV000103,Dr. Casey Brown 103,Neurology,FAC003,DEP0034,14,2,0.6527777777777778,0,3.25,4.0
PRV000104,Dr. Morgan Lee 104,Oncology,FAC003,DEP0026,18,3,1.3379629629629628,2,3.6666666666666665,6.0
PRV000105,Dr. Morgan Kim 105,Emergency Medicine,FAC004,DEP0039,22,6,2.481060606060606,4,3.4166666666666665,12.0
PRV000106,Dr. Taylor Garcia 106,Radiology,FAC003,DEP0029,21,7,2.908333333333333,4,2.4,5.0
PRV000107,Dr. Riley Lee 107,Orthopedic Surgery,FAC006,DEP0068,15,4,2.4523809523809526,2,3.8,5.0
PRV000108,Dr. Jordan Kim 108,Oncology,FAC003,DEP0031,16,1,0.84375,1,2.0,7.0
PRV000109,Dr. Morgan Kim 109,General Surgery,FAC006,DEP0064,21,3,0.9416666666666667,0,4.0,5.0
PRV000110,Dr. Morgan Patel 110,Radiology,FAC006,DEP0068,16,3,1.325,2,2.8333333333333335,6.0
PRV000111,Dr. Jordan Kim 111,Critical Care,FAC001,DEP0011,10,0,0.17083333333333334,0,4.333333333333333,3.0
PRV000112,Dr. Taylor Smith 112,Internal Medicine,FAC001,DEP0003,28,6,1.6726190476190477,2,2.9166666666666665,12.0
PRV000113,Dr. Riley Patel 113,Pediatrics,FAC002,DEP0017,16,2,1.2317708333333335,1,4.8,5.0
PRV000114,Dr. Morgan Lee 114,Internal Medicine,FAC002,DEP0024,15,0,0.24722222222222223,0,3.7,10.0
PRV000115,Dr. Riley Brown 115,Orthopedic Surgery,FAC002,DEP0013,8,1,1.671875,1,3.75,4.0
PRV000116,Dr. Casey Lee 116,Radiology,FAC001,DEP0010,22,7,2.335227272727273,2,3.5384615384615383,13.0
PRV000117,Dr. Jordan Garcia 117,Orthopedic Surgery,FAC005,DEP0059,17,4,1.1544117647058822,0,4.3,10.0
PRV000118,Dr. Avery Garcia 118,Emergency Medicine,FAC005,DEP0059,35,5,1.2159090909090908,2,4.142857142857143,21.0
PRV000119,Dr. Avery Brown 119,Internal Medicine,FAC003,DEP0030,10,2,1.6,1,4.0,4.0
PRV000120,Dr. Riley Lee 120,Radiology,FAC001,DEP0008,18,2,1.303921568627451,1,3.5,8.0
PRV000121,Dr. Taylor Kim 121,Radiology,FAC004,DEP0037,18,4,1.287037037037037,2,3.4285714285714284,7.0
PRV000122,Dr. Taylor Lee 122,Pediatrics,FAC005,DEP0053,24,3,0.6177536231884059,0,3.75,12.0
PRV000123,Dr. Riley Brown 123,Orthopedic Surgery,FAC005,DEP0051,17,5,1.7941176470588236,2,3.6,10.0
PRV000124,Dr. Jordan Smith 124,Oncology,FAC003,DEP0029,13,2,1.1346153846153846,1,3.0,3.0
PRV000125,Dr. Riley Lee 125,Oncology,FAC004,DEP0043,18,3,1.3680555555555556,1,3.75,8.0
PRV000126,Dr. Riley Patel 126,Oncology,FAC003,DEP0025,11,2,0.9625,0,3.6666666666666665,6.0
PRV000127,Dr. Riley Garcia 127,Orthopedic Surgery,FAC003,DEP0035,11,2,0.7575757575757575,0,3.6666666666666665,3.0
PRV000128,Dr. Morgan Kim 128,Emergency Medicine,FAC005,DEP0058,20,3,0.9956140350877192,1,4.0,14.0
PRV000129,Dr. Taylor Brown 129,Oncology,FAC006,DEP0069,14,3,1.0595238095238095,1,4.714285714285714,7.0
PRV000130,Dr. Avery Smith 130,Emergency Medicine,FAC004,DEP0043,14,3,2.1517857142857144,3,3.8,5.0
PRV000131,Dr. Casey Kim 131,General Surgery,FAC004,DEP0046,19,5,1.3518518518518519,1,3.5714285714285716,7.0
PRV000132,Dr. Morgan Lee 132,Neurology,FAC003,DEP0028,19,5,2.037280701754386,2,3.75,4.0
PRV000133,Dr. Casey Lee 133,Critical Care,FAC003,DEP0027,14,1,1.0833333333333335,1,3.375,8.0
PRV000134,Dr. Taylor Patel 134,Neurology,FAC002,DEP0023,23,3,0.894927536231884,1,2.25,8.0
PRV000135,Dr. Morgan Patel 135,Cardiology,FAC003,DEP0027,14,3,1.4136904761904763,1,3.0,7.0
PRV000136,Dr. Casey Patel 136,General Surgery,FAC006,DEP0068,22,5,2.7443181818181817,5,3.2666666666666666,15.0
PRV000137,Dr. Morgan Garcia 137,General Surgery,FAC005,DEP0055,21,3,0.865079365079365,1,3.9,10.0
PRV000138,Dr. Casey Garcia 138,Radiology,FAC004,DEP0046,15,0,0.31666666666666665,0,3.3333333333333335,6.0
PRV000139,Dr. Avery Lee 139,Pediatrics,FAC002,DEP0021,14,4,3.2470238095238098,4,3.1666666666666665,6.0
PRV000140,Dr. Casey Garcia 140,Oncology,FAC006,DEP0063,16,2,1.8500000000000003,2,2.5,4.0
PRV000141,Dr. Morgan Kim 141,Orthopedic Surgery,FAC004,DEP0041,15,5,2.2694444444444444,1,3.4,5.0
PRV000142,Dr. Morgan Kim 142,General Surgery,FAC005,DEP0056,13,2,1.189102564102564,1,3.3333333333333335,6.0
PRV000143,Dr. Riley Lee 143,Emergency Medicine,FAC001,DEP0006,21,4,1.2361111111111112,1,3.0,7.0
PRV000144,Dr. Casey Lee 144,Oncology,FAC006,DEP0062,17,4,1.980392156862745,3,3.8,5.0
PRV000145,Dr. Morgan Kim 145,Internal Medicine,FAC001,DEP0005,12,3,1.6770833333333333,1,3.8,5.0
PRV000146,Dr. Avery Lee 146,Internal Medicine,FAC006,DEP0067,16,5,2.9010416666666665,3,3.25,4.0
PRV000147,Dr. Jordan Garcia 147,Critical Care,FAC003,DEP0030,17,3,1.5651041666666667,3,3.3333333333333335,6.0
PRV000148,Dr. Morgan Patel 148,Cardiology,FAC002,DEP0022,21,6,2.3968253968253967,4,3.5384615384615383,13.0
PRV000149,Dr. Jordan Lee 149,Neurology,FAC005,DEP0049,24,5,2.046875,4,3.0,10.0
PRV000150,Dr. Avery Patel 150,Oncology,FAC004,DEP0048,16,5,2.1694444444444443,2,2.6666666666666665,6.0
PRV000151,Dr. Jordan Garcia 151,Pediatrics,FAC001,DEP0003,20,5,1.6895833333333332,2,3.125,8.0
PRV000152,Dr. Casey Garcia 152,General Surgery,FAC002,DEP0019,19,4,1.0087719298245614,0,3.727272727272727,11.0
PRV000153,Dr. Avery Brown 153,Internal Medicine,FAC001,DEP0005,15,3,1.0744047619047619,0,3.0,5.0
PRV000154,Dr. Morgan Kim 154,Orthopedic Surgery,FAC005,DEP0054,9,0,0.6203703703703705,0,3.5714285714285716,7.0
PRV000155,Dr. Morgan Smith 155,General Surgery,FAC005,DEP0051,20,4,1.5125,2,2.5,4.0
PRV000156,Dr. Jordan Brown 156,Neurology,FAC002,DEP0015,14,1,0.2948717948717948,0,2.4285714285714284,7.0
PRV000157,Dr. Morgan Kim 157,Pediatrics,FAC002,DEP0014,18,3,1.3842592592592593,1,3.5714285714285716,7.0
PRV000158,Dr. Morgan Kim 158,Emergency Medicine,FAC001,DEP0011,15,2,0.7861111111111112,1,3.6666666666666665,6.0
PRV000159,Dr. Riley Brown 159,General Surgery,FAC005,DEP0058,18,4,1.3310185185185184,1,4.0,6.0
PRV000160,Dr. Riley Patel 160,Internal Medicine,FAC003,DEP0035,14,3,1.2767857142857142,1,2.25,4.0
PRV000161,Dr. Casey Patel 161,Oncology,FAC002,DEP0016,16,3,0.8463541666666666,0,4.0,9.0
PRV000162,Dr. Jordan Garcia 162,Orthopedic Surgery,FAC004,DEP0044,21,4,1.7103174603174602,2,2.8333333333333335,6.0
PRV000163,Dr. Casey Smith 163,Critical Care,FAC006,DEP0070,19,7,2.1842105263157894,2,2.6,5.0
PRV000164,Dr. Avery Smith 164,Oncology,FAC006,DEP0070,20,3,0.775,1,3.5,4.0
PRV000165,Dr. Casey Lee 165,Orthopedic Surgery,FAC005,DEP0053,20,9,4.327083333333333,8,3.6666666666666665,9.0
PRV000166,Dr. Casey Patel 166,Pediatrics,FAC005,DEP0059,17,2,0.9166666666666666,1,3.0,5.0
PRV000167,Dr. Casey Kim 167,Pediatrics,FAC003,DEP0027,12,1,0.9131944444444445,1,3.2,5.0
PRV000168,Dr. Casey Smith 168,Critical Care,FAC001,DEP0001,17,0,0.35294117647058826,0,4.0,7.0
PRV000169,Dr. Jordan Kim 169,General Surgery,FAC006,DEP0064,15,5,3.1194444444444445,4,3.5555555555555554,9.0
PRV000170,Dr. Casey Lee 170,Oncology,FAC005,DEP0057,24,7,2.4947916666666665,4,3.4545454545454546,11.0
PRV000171,Dr. Morgan Patel 171,Orthopedic Surgery,FAC003,DEP0034,6,0,0.3958333333333333,0,2.6666666666666665,3.0
PRV000172,Dr. Jordan Smith 172,Oncology,FAC005,DEP0057,17,1,0.5882352941176471,0,4.0,8.0
PRV000173,Dr. Taylor Garcia 173,Neurology,FAC005,DEP0060,18,4,1.1111111111111112,0,4.0,10.0
PRV000174,Dr. Avery Smith 174,Oncology,FAC005,DEP0058,15,6,2.6333333333333333,3,4.111111111111111,9.0
PRV000175,Dr. Riley Lee 175,Internal Medicine,FAC004,DEP0047,14,1,0.6339285714285714,0,3.875,8.0
PRV000176,Dr. Jordan Garcia 176,Critical Care,FAC004,DEP0037,22,4,1.9886363636363635,3,3.076923076923077,13.0
PRV000177,Dr. Taylor Brown 177,Cardiology,FAC001,DEP0005,20,3,1.26875,1,3.5714285714285716,7.0
PRV000178,Dr. Casey Kim 178,Oncology,FAC006,DEP0066,19,5,1.3819444444444444,1,3.5,10.0
PRV000179,Dr. Taylor Lee 179,General Surgery,FAC002,DEP0017,12,0,0.4375,0,4.0,7.0
PRV000180,Dr. Avery Smith 180,Neurology,FAC003,DEP0036,13,0,0.26282051282051283,0,3.3333333333333335,3.0
PRV000181,Dr. Taylor Lee 181,Radiology,FAC001,DEP0001,17,5,2.985294117647059,3,3.857142857142857,7.0
PRV000182,Dr. Jordan Smith 182,General Surgery,FAC005,DEP0049,18,3,0.9537037037037036,1,3.4444444444444446,9.0
PRV000183,Dr. Avery Patel 183,General Surgery,FAC004,DEP0042,17,3,1.5000000000000002,2,2.2,5.0
PRV000184,Dr. Riley Brown 184,Emergency Medicine,FAC002,DEP0019,16,1,0.9869791666666666,1,2.7,10.0
PRV000185,Dr. Taylor Garcia 185,Pediatrics,FAC003,DEP0026,15,5,1.7666666666666666,1,3.4285714285714284,7.0
PRV000186,Dr. Jordan Lee 186,Oncology,FAC004,DEP0042,13,3,2.59375,3,1.75,4.0
PRV000187,Dr. Casey Brown 187,Neurology,FAC006,DEP0070,16,2,1.1777777777777778,1,2.8,5.0
PRV000188,Dr. Casey Smith 188,Cardiology,FAC005,DEP0059,17,2,1.2598039215686274,2,3.0,8.0
PRV000189,Dr. Casey Lee 189,Internal Medicine,FAC003,DEP0026,24,7,2.244565217391304,3,3.4444444444444446,9.0
PRV000190,Dr. Jordan Kim 190,Neurology,FAC003,DEP0026,16,3,1.1276041666666665,1,2.5,6.0
PRV000191,Dr. Jordan Smith 191,Emergency Medicine,FAC002,DEP0017,8,1,1.7395833333333333,1,2.5,2.0
PRV000192,Dr. Morgan Patel 192,Pediatrics,FAC006,DEP0066,18,2,1.050925925925926,1,2.7142857142857144,7.0
PRV000193,Dr. Casey Smith 193,Oncology,FAC001,DEP0001,15,3,2.0083333333333333,3,2.3,10.0
PRV000194,Dr. Casey Garcia 194,Pediatrics,FAC001,DEP0008,19,3,1.4861111111111112,1,3.1538461538461537,13.0
PRV000195,Dr. Avery Brown 195,Cardiology,FAC002,DEP0019,15,1,1.047222222222222,1,3.5,6.0
PRV000196,Dr. Riley Brown 196,General Surgery,FAC003,DEP0028,17,2,1.5805555555555555,2,3.9,10.0
PRV000197,Dr. Taylor Smith 197,General Surgery,FAC002,DEP0015,24,3,1.4112318840579712,3,3.7142857142857144,7.0
PRV000198,Dr. Taylor Smith 198,Cardiology,FAC003,DEP0027,16,5,2.6166666666666667,3,3.9,10.0
PRV000199,Dr. Morgan Brown 199,Cardiology,FAC001,DEP0002,18,3,1.858796296296296,3,3.125,8.0
PRV000200,Dr. Avery Garcia 200,Emergency Medicine,FAC005,DEP0054,14,4,1.9375,1,3.0,7.0
PRV000201,Dr. Jordan Patel 201,Internal Medicine,FAC004,DEP0039,20,1,0.8166666666666668,1,2.6666666666666665,12.0
PRV000202,Dr. Morgan Lee 202,Oncology,FAC002,DEP0022,17,5,2.036764705882353,3,2.857142857142857,7.0
PRV000203,Dr. Taylor Patel 203,Emergency Medicine,FAC005,DEP0056,21,2,1.1488095238095237,2,2.4,5.0
PRV000204,Dr. Avery Garcia 204,Emergency Medicine,FAC004,DEP0048,16,7,4.505208333333333,6,3.6666666666666665,3.0
PRV000205,Dr. Morgan Garcia 205,Pediatrics,FAC002,DEP0022,19,4,1.7412280701754388,2,3.375,8.0
PRV000206,Dr. Taylor Kim 206,Emergency Medicine,FAC004,DEP0046,20,6,1.6416666666666668,2,3.2857142857142856,7.0
PRV000207,Dr. Riley Patel 207,Orthopedic Surgery,FAC006,DEP0069,22,5,2.2178030303030303,4,4.0,10.0
PRV000208,Dr. Morgan Kim 208,Neurology,FAC002,DEP0023,19,2,0.9722222222222222,1,3.7142857142857144,7.0
PRV000209,Dr. Morgan Brown 209,Cardiology,FAC006,DEP0072,15,3,1.8638888888888892,2,2.857142857142857,7.0
PRV000210,Dr. Jordan Smith 210,Pediatrics,FAC006,DEP0061,18,2,0.4436274509803922,0,3.875,8.0
PRV000211,Dr. Taylor Garcia 211,Critical Care,FAC003,DEP0031,15,3,1.452777777777778,1,4.111111111111111,9.0
PRV000212,Dr. Avery Lee 212,Critical Care,FAC002,DEP0021,12,0,0.2847222222222222,0,3.5,6.0
PRV000213,Dr. Avery Garcia 213,Critical Care,FAC006,DEP0062,25,6,1.885,3,3.076923076923077,13.0
PRV000214,Dr. Avery Brown 214,Oncology,FAC006,DEP0071,16,1,0.538888888888889,0,2.7777777777777777,9.0
PRV000215,Dr. Riley Garcia 215,Pediatrics,FAC002,DEP0017,18,3,1.5185185185185186,1,3.5384615384615383,13.0
PRV000216,Dr. Jordan Smith 216,Pediatrics,FAC002,DEP0014,27,6,1.8070987654320987,4,3.7777777777777777,9.0
PRV000217,Dr. Morgan Kim 217,Cardiology,FAC005,DEP0060,21,0,0.3611111111111111,0,4.0,5.0
PRV000218,Dr. Riley Smith 218,Neurology,FAC005,DEP0059,18,3,1.6967592592592593,3,2.875,8.0
PRV000219,Dr. Casey Brown 219,Neurology,FAC004,DEP0042,12,1,0.3194444444444445,0,2.8333333333333335,6.0
PRV000220,Dr. Taylor Smith 220,Pediatrics,FAC005,DEP0057,18,3,1.6805555555555556,2,3.7142857142857144,7.0
PRV000221,Dr. Morgan Kim 221,Internal Medicine,FAC005,DEP0052,19,1,0.7763157894736842,1,4.090909090909091,11.0
PRV000222,Dr. Casey Garcia 222,Emergency Medicine,FAC004,DEP0041,15,3,1.7305555555555556,1,3.6,5.0
PRV000223,Dr. Riley Smith 223,Neurology,FAC006,DEP0066,21,4,1.2023809523809523,1,3.6666666666666665,12.0
PRV000224,Dr. Jordan Brown 224,Critical Care,FAC001,DEP0008,13,1,0.9006410256410255,1,2.875,8.0
