payment_id,bill_id,payment_date,payment_amount,payment_method,payment_status
PAY00000082,BILL00000082,2026-06-07,13709.99,CHECK,Posted
PAY00000083,BILL00000083,2026-05-03,17486.16,CARD,Reversed
PAY00000084,BILL00000084,2026-07-02,10433.08,ACH,Failed
PAY00000085,BILL00000085,2026-05-18,10151.17,ACH,Posted
PAY00000086,BILL00000086,2026-06-22,8452.94,CASH,Posted
PAY00000087,BILL00000087,2026-05-08,18349.36,CHECK,Posted
PAY00000088,BILL00000088,2026-06-22,2279.72,ACH,Failed
PAY00000089,BILL00000089,2026-05-18,2242.02,CHECK,Posted
PAY00000090,BILL00000090,2026-06-17,12241.38,ACH,Reversed
PAY00000091,BILL00000091,2026-06-02,16415.4,ACH,Failed
PAY00000092,BILL00000092,2026-06-07,4501.96,CASH,Posted
PAY00000093,BILL00000093,2026-05-03,12697.97,ACH,Reversed
PAY00000094,BILL00000094,2026-07-02,2429.67,ACH,Posted
PAY00000095,BILL00000095,2026-06-02,4971.72,ACH,Posted
PAY00000096,BILL00000096,2026-06-17,24997.85,CARD,Posted
PAY00000097,BILL00000097,2026-05-18,8551.72,CHECK,Reversed
PAY00000098,BILL00000098,2026-06-22,4712.86,CHECK,Posted
PAY00000099,BILL00000099,2026-05-08,7397.66,CHECK,Pending
PAY00000100,BILL00000100,2026-06-02,21338.16,CARD,Posted
PAY00000101,BILL00000101,2026-05-03,4125.66,ACH,Reversed
PAY00000102,BILL00000102,2026-07-02,16327.93,ACH,Posted
PAY00000103,BILL00000103,2026-05-03,15992.91,CASH,Posted
PAY00000104,BILL00000104,2026-06-22,1416.58,ACH,Posted
PAY00000105,BILL00000105,2026-05-18,15589.97,ACH,Posted
PAY00000106,BILL00000106,2026-06-02,19258.04,ACH,Reversed
PAY00000107,BILL00000107,2026-05-23,14271.54,ACH,Reversed
PAY00000108,BILL00000108,2026-06-02,11610.6,CASH,Posted
PAY00000109,BILL00000109,2026-06-02,11296.32,ACH,Posted
PAY00000110,BILL00000110,2026-06-22,11355.62,ACH,Posted
PAY00000111,BILL00000111,2026-05-03,5168.8,CHECK,Pending
PAY00000112,BILL00000112,2026-06-02,10680.12,CHECK,Pending
PAY00000113,BILL00000113,2026-05-18,1639.89,CASH,Pending
PAY00000114,BILL00000114,2026-06-07,4245.58,CHECK,Posted
PAY00000115,BILL00000115,2026-05-23,5653.57,CASH,Reversed
PAY00000116,BILL00000116,2026-06-17,10650.77,CASH,Posted
PAY00000117,BILL00000117,2026-06-02,7974.0,ACH,Pending
PAY00000118,BILL00000118,2026-06-02,1552.07,CHECK,Pending
PAY00000119,BILL00000119,2026-06-02,23553.15,CHECK,Failed
PAY00000120,BILL00000120,2026-06-07,4697.93,CARD,Reversed
PAY00000121,BILL00000121,2026-05-18,1679.52,ACH,Pending
PAY00000122,BILL00000122,2026-06-17,2387.04,CARD,Posted
PAY00000123,BILL00000123,2026-05-18,4986.67,ACH,Posted
PAY00000125,BILL00000125,2026-05-23,16548.93,CHECK,Pending
PAY00000126,BILL00000126,2026-06-17,16392.91,CARD,Posted
PAY00000127,BILL00000127,2026-05-03,11811.13,ACH,Pending
PAY00000129,BILL00000129,2026-05-23,20225.42,CARD,Failed
PAY00000130,BILL00000130,2026-06-07,1424.5,CHECK,Pending
PAY00000131,BILL00000131,2026-05-23,18810.23,CARD,Failed
PAY00000132,BILL00000132,2026-06-17,1888.0,CARD,Failed
PAY00000133,BILL00000133,2026-05-03,5900.07,CARD,Posted
PAY00000134,BILL00000134,2026-06-22,7033.07,CASH,Failed
PAY00000135,BILL00000135,2026-05-18,6791.93,CASH,Posted
PAY00000136,BILL00000136,2026-07-02,13997.61,ACH,Failed
PAY00000137,BILL00000137,2026-05-23,8353.13,CARD,Pending
PAY00000138,BILL00000138,2026-07-02,4366.38,ACH,Posted
PAY00000139,BILL00000139,2026-05-18,18187.66,CHECK,Posted
PAY00000140,BILL00000140,2026-06-02,3200.8,ACH,Reversed
PAY00000141,BILL00000141,2026-05-23,16688.19,CASH,Posted
PAY00000142,BILL00000142,2026-06-02,9570.09,CARD,Pending
PAY00000143,BILL00000143,2026-05-03,18468.2,CASH,Posted
PAY00000144,BILL00000144,2026-06-02,3577.62,CHECK,Failed
PAY00000145,BILL00000145,2026-05-03,5298.71,CASH,Pending
PAY00000146,BILL00000146,2026-06-22,129.56,CHECK,Reversed
PAY00000147,BILL00000147,2026-06-02,22727.9,CASH,Pending
PAY00000148,BILL00000148,2026-06-07,7110.2,CASH,Posted
PAY00000149,BILL00000149,2026-06-02,1352.48,CARD,Pending
PAY00000150,BILL00000150,2026-07-02,13159.93,ACH,Pending
PAY00000151,BILL00000151,2026-06-02,7432.54,CHECK,Posted
PAY00000152,BILL00000152,2026-07-02,302.56,CHECK,Pending
PAY00000153,BILL00000153,2026-05-23,8283.67,ACH,Posted
PAY00000154,BILL00000154,2026-06-07,7891.63,CASH,Posted
PAY00000155,BILL00000155,2026-05-08,8894.99,CARD,Posted
PAY00000156,BILL00000156,2026-06-22,15589.83,ACH,Reversed
PAY00000157,BILL00000157,2026-06-02,1961.76,CHECK,Posted
PAY00000158,BILL00000158,2026-06-22,20339.03,CARD,Posted
PAY00000159,BILL00000159,2026-05-03,9024.99,CASH,Posted
PAY00000160,BILL00000160,2026-06-17,9953.17,ACH,Posted
PAY00000161,BILL00000161,2026-05-03,7994.22,ACH,Failed
PAY00000162,BILL00000162,2026-07-02,13586.44,ACH,Failed
PAY00000163,BILL00000163,2026-05-18,7313.28,CASH,Pending
PAY00000164,BILL00000164,2026-06-07,8972.96,CHECK,Posted
PAY00000165,BILL00000165,2026-05-08,11433.58,CARD,Pending
PAY00000166,BILL00000166,2026-07-02,12412.46,ACH,Posted
PAY00000167,BILL00000167,2026-05-23,3768.09,CASH,Posted
PAY00000168,BILL00000168,2026-06-17,2381.37,CHECK,Posted
PAY00000169,BILL00000169,2026-05-18,5070.28,ACH,Reversed
PAY00000170,BILL00000170,2026-06-22,12052.09,ACH,Posted
PAY00000171,BILL00000171,2026-05-18,3771.25,ACH,Posted
PAY00000172,BILL00000172,2026-07-02,10330.26,CHECK,Pending
PAY00000173,BILL00000173,2026-05-03,4395.31,ACH,Posted
PAY00000174,BILL00000174,2026-06-02,18728.87,ACH,Reversed
PAY00000175,BILL00000175,2026-05-18,15310.64,CASH,Posted
PAY00000176,BILL00000176,2026-07-02,5876.24,ACH,Pending
PAY00000177,BILL00000177,2026-05-18,23217.47,ACH,Pending
PAY00000178,BILL00000178,2026-06-17,22650.55,CARD,Pending
PAY00000179,BILL00000179,2026-05-08,3981.37,CARD,Failed
PAY00000180,BILL00000180,2026-06-02,2478.75,CHECK,Failed
PAY00000182,BILL00000182,2026-06-07,7111.6,ACH,Posted
PAY00000183,BILL00000183,2026-06-02,547.33,ACH,Failed
PAY00000184,BILL00000184,2026-07-02,10991.54,CASH,Reversed
PAY00000185,BILL00000185,2026-05-03,7503.16,CHECK,Posted
PAY00000187,BILL00000187,2026-05-03,1865.97,ACH,Posted
PAY00000188,BILL00000188,2026-06-07,5923.72,ACH,Reversed
PAY00000189,BILL00000189,2026-05-23,6343.12,CASH,Failed
PAY00000190,BILL00000190,2026-07-02,15505.91,CASH,Posted
PAY00000191,BILL00000191,2026-05-08,22928.29,CHECK,Posted
PAY00000192,BILL00000192,2026-07-02,10936.14,CASH,Failed
PAY00000193,BILL00000193,2026-06-02,20576.84,ACH,Reversed
PAY00000194,BILL00000194,2026-06-07,20495.89,CHECK,Posted
PAY00000196,BILL00000196,2026-06-07,5164.46,CARD,Posted
PAY00000197,BILL00000197,2026-05-18,13175.42,ACH,Reversed
PAY00000198,BILL00000198,2026-06-07,14907.08,CHECK,Posted
PAY00000199,BILL00000199,2026-06-02,9057.07,CARD,Failed
PAY00000200,BILL00000200,2026-06-17,18793.79,CASH,Posted
PAY00000201,BILL00000201,2026-05-03,17565.05,CHECK,Posted
PAY00000203,BILL00000203,2026-05-08,23310.57,ACH,Posted
PAY00000206,BILL00000206,2026-06-02,13077.94,ACH,Pending
PAY00000207,BILL00000207,2026-05-23,7502.13,ACH,Posted
PAY00000210,BILL00000210,2026-07-02,12587.91,ACH,Posted
PAY00000211,BILL00000211,2026-05-03,15760.9,CHECK,Posted
PAY00000212,BILL00000212,2026-06-02,24950.72,CASH,Failed
PAY00000213,BILL00000213,2026-05-08,11825.01,CHECK,Posted
PAY00000214,BILL00000214,2026-07-02,12956.75,CASH,Pending
PAY00000215,BILL00000215,2026-05-08,3022.12,CARD,Reversed
PAY00000216,BILL00000216,2026-06-17,4902.1,CHECK,Failed
PAY00000217,BILL00000217,2026-05-08,21238.06,ACH,Posted
PAY00000218,BILL00000218,2026-07-02,23667.88,ACH,Failed
PAY00000219,BILL00000219,2026-05-23,3963.5,ACH,Posted
PAY00000220,BILL00000220,2026-06-17,3838.47,ACH,Pending
PAY00000221,BILL00000221,2026-05-18,3991.06,ACH,Failed
PAY00000222,BILL00000222,2026-06-17,15406.6,ACH,Posted
PAY00000223,BILL00000223,2026-05-03,17978.33,CASH,Failed
PAY00000224,BILL00000224,2026-06-22,1744.84,CHECK,Posted
PAY00000225,BILL00000225,2026-05-18,17504.0,ACH,Pending
PAY00000226,BILL00000226,2026-06-17,12109.07,CARD,Reversed
PAY00000227,BILL00000227,2026-05-18,3870.87,CARD,Reversed
PAY00000228,BILL00000228,2026-06-07,21502.96,ACH,Pending
PAY00000229,BILL00000229,2026-05-08,15160.84,CASH,Pending
PAY00000230,BILL00000230,2026-06-22,7099.83,ACH,Posted
PAY00000231,BILL00000231,2026-05-23,826.43,ACH,Pending
PAY00000232,BILL00000232,2026-07-02,4519.12,CARD,Pending
PAY00000233,BILL00000233,2026-05-23,13074.3,CARD,Reversed
PAY00000234,BILL00000234,2026-07-02,8420.96,CHECK,Posted
PAY00000235,BILL00000235,2026-05-08,9937.87,CARD,Failed
PAY00000236,BILL00000236,2026-07-02,8981.48,CHECK,Posted
PAY00000237,BILL00000237,2026-05-18,17881.74,CHECK,Pending
PAY00000238,BILL00000238,2026-07-02,18253.11,ACH,Posted
PAY00000239,BILL00000239,2026-05-18,18864.53,CHECK,Pending
PAY00000240,BILL00000240,2026-07-02,10800.53,ACH,Posted
PAY00000241,BILL00000241,2026-06-02,2696.9,ACH,Pending
PAY00000242,BILL00000242,2026-06-07,23194.45,CASH,Posted
PAY00000243,BILL00000243,2026-05-23,15430.31,CASH,Posted
PAY00000244,BILL00000244,2026-06-17,5885.8,ACH,Posted
PAY00000245,BILL00000245,2026-05-18,19044.69,ACH,Posted
PAY00000246,BILL00000246,2026-06-02,10375.8,ACH,Posted
PAY00000247,BILL00000247,2026-05-23,23199.21,CARD,Failed
PAY00000248,BILL00000248,2026-06-07,568.88,CARD,Posted
PAY00000249,BILL00000249,2026-05-08,14935.49,ACH,Posted
PAY00000250,BILL00000250,2026-06-07,15546.39,CASH,Reversed
PAY00000253,BILL00000253,2026-05-23,5501.77,CASH,Posted
PAY00000254,BILL00000254,2026-06-17,4501.2,ACH,Posted
PAY00000255,BILL00000255,2026-05-23,1319.25,CARD,Reversed
PAY00000256,BILL00000256,2026-06-02,7280.35,ACH,Posted
PAY00000257,BILL00000257,2026-05-18,23038.11,CARD,Posted
PAY00000258,BILL00000258,2026-06-22,12480.8,ACH,Posted
PAY00000259,BILL00000259,2026-05-03,7886.57,CHECK,Pending
PAY00000260,BILL00000260,2026-06-02,11778.75,CASH,Posted
PAY00000261,BILL00000261,2026-05-23,18578.61,CHECK,Reversed
PAY00000262,BILL00000262,2026-06-17,10573.11,ACH,Posted
PAY00000263,BILL00000263,2026-06-02,18298.95,CARD,Pending
PAY00000264,BILL00000264,2026-06-02,11504.38,CASH,Reversed
PAY00000265,BILL00000265,2026-05-23,3581.21,CARD,Posted
PAY00000266,BILL00000266,2026-06-22,9071.28,CARD,Posted
PAY00000267,BILL00000267,2026-05-23,23334.87,ACH,Pending
PAY00000268,BILL00000268,2026-07-02,14278.93,ACH,Pending
PAY00000269,BILL00000269,2026-06-02,2539.63,CASH,Posted
PAY00000270,BILL00000270,2026-06-17,4061.65,ACH,Failed
PAY00000271,BILL00000271,2026-05-03,3150.21,CHECK,Posted
PAY00000273,BILL00000273,2026-05-23,3241.9,CARD,Pending
PAY00000274,BILL00000274,2026-06-07,960.89,CHECK,Posted
PAY00000275,BILL00000275,2026-05-18,8679.9,CASH,Failed
PAY00000276,BILL00000276,2026-07-02,5674.82,CASH,Posted
PAY00000277,BILL00000277,2026-06-02,21955.96,ACH,Failed
PAY00000279,BILL00000279,2026-06-02,648.04,CARD,Pending
PAY00000280,BILL00000280,2026-06-07,7200.83,ACH,Posted
PAY00000281,BILL00000281,2026-05-18,12878.88,CASH,Posted
PAY00000282,BILL00000282,2026-06-17,11727.97,ACH,Posted
PAY00000283,BILL00000283,2026-05-08,13336.06,ACH,Posted
PAY00000284,BILL00000284,2026-06-22,17384.02,ACH,Pending
PAY00000285,BILL00000285,2026-05-18,8156.97,CASH,Failed
PAY00000287,BILL00000287,2026-06-02,15132.84,ACH,Failed
PAY00000288,BILL00000288,2026-07-02,19016.82,ACH,Reversed
PAY00000289,BILL00000289,2026-05-03,3528.74,ACH,Posted
PAY00000290,BILL00000290,2026-06-17,15176.65,CASH,Failed
PAY00000292,BILL00000292,2026-06-17,19933.87,CASH,Failed
PAY00000293,BILL00000293,2026-05-18,11753.91,CASH,Reversed
PAY00000294,BILL00000294,2026-06-02,10786.96,CASH,Posted
PAY00000295,BILL00000295,2026-05-03,11161.08,ACH,Posted
PAY00000296,BILL00000296,2026-06-07,9921.1,ACH,Posted
PAY00000297,BILL00000297,2026-05-03,5180.91,ACH,Posted
PAY00000298,BILL00000298,2026-06-02,5547.15,CARD,Failed
PAY00000299,BILL00000299,2026-05-03,2474.8,CARD,Posted
PAY00000300,BILL00000300,2026-06-07,1824.83,CARD,Failed
PAY00000302,BILL00000302,2026-07-02,12144.31,CARD,Pending
PAY00000303,BILL00000303,2026-05-18,12194.65,ACH,Posted
PAY00000304,BILL00000304,2026-06-02,6867.24,ACH,Failed
PAY00000305,BILL00000305,2026-05-23,4639.72,ACH,Posted
PAY00000306,BILL00000306,2026-06-22,24675.06,CASH,Failed
PAY00000308,BILL00000308,2026-06-17,7360.41,CHECK,Posted
PAY00000309,BILL00000309,2026-05-18,16317.57,CARD,Pending
PAY00000311,BILL00000311,2026-06-02,23103.75,ACH,Posted
PAY00000313,BILL00000313,2026-05-18,18680.91,ACH,Failed
PAY00000314,BILL00000314,2026-06-22,3762.64,ACH,Posted
PAY00000315,BILL00000315,2026-05-08,17970.19,ACH,Posted
PAY00000316,BILL00000316,2026-06-17,17568.32,ACH,Posted
PAY00000317,BILL00000317,2026-05-03,12136.66,ACH,Failed
PAY00000318,BILL00000318,2026-06-17,12409.47,CASH,Failed
PAY00000319,BILL00000319,2026-05-23,12911.18,CHECK,Posted
PAY00000320,BILL00000320,2026-06-07,481.08,ACH,Reversed
PAY00000321,BILL00000321,2026-06-02,3624.07,ACH,Posted
PAY00000322,BILL00000322,2026-07-02,11880.0,ACH,Posted
PAY00000323,BILL00000323,2026-05-03,6576.44,CHECK,Pending
PAY00000324,BILL00000324,2026-06-02,1186.66,ACH,Pending
PAY00000325,BILL00000325,2026-06-02,6599.65,ACH,Reversed
PAY00000326,BILL00000326,2026-06-17,17539.4,CASH,Reversed
PAY00000327,BILL00000327,2026-05-03,9644.25,ACH,Posted
PAY00000328,BILL00000328,2026-07-02,10370.18,ACH,Pending
PAY00000329,BILL00000329,2026-05-08,11540.19,CHECK,Posted
PAY00000330,BILL00000330,2026-07-02,16048.19,CARD,Pending
PAY00000331,BILL00000331,2026-05-18,23356.91,ACH,Reversed
PAY00000332,BILL00000332,2026-07-02,10651.34,CARD,Posted
PAY00000333,BILL00000333,2026-05-08,1196.38,CHECK,Failed
PAY00000334,BILL00000334,2026-06-02,7300.64,ACH,Reversed
PAY00000335,BILL00000335,2026-05-03,5192.87,CASH,Posted
PAY00000336,BILL00000336,2026-07-02,17968.23,CARD,Posted
PAY00000338,BILL00000338,2026-06-17,2352.44,CHECK,Failed
PAY00000339,BILL00000339,2026-05-23,7059.95,CASH,Pending
PAY00000340,BILL00000340,2026-06-02,19190.36,ACH,Posted
PAY00000341,BILL00000341,2026-05-08,10110.37,CARD,Reversed
PAY00000342,BILL00000342,2026-06-17,13177.33,ACH,Posted
PAY00000343,BILL00000343,2026-05-03,20669.97,CASH,Posted
PAY00000344,BILL00000344,2026-07-02,8051.89,CARD,Failed
PAY00000345,BILL00000345,2026-05-08,8147.29,CASH,Pending
PAY00000346,BILL00000346,2026-06-17,2139.46,CASH,Failed
PAY00000347,BILL00000347,2026-05-08,21465.41,CASH,Posted
PAY00000348,BILL00000348,2026-06-02,7236.47,CASH,Failed
PAY00000349,BILL00000349,2026-05-23,10707.83,ACH,Posted
PAY00000350,BILL00000350,2026-06-07,14801.45,CHECK,Pending
PAY00000351,BILL00000351,2026-06-02,15398.76,CHECK,Pending
PAY00000352,BILL00000352,2026-06-22,22202.16,CARD,Pending
PAY00000353,BILL00000353,2026-05-03,9308.67,ACH,Posted
PAY00000354,BILL00000354,2026-06-17,3892.34,CARD,Failed
PAY00000355,BILL00000355,2026-05-03,1158.7,ACH,Posted
PAY00000356,BILL00000356,2026-06-17,5125.74,ACH,Posted
PAY00000357,BILL00000357,2026-05-23,7540.44,ACH,Posted
PAY00000358,BILL00000358,2026-06-02,2141.52,CARD,Failed
PAY00000359,BILL00000359,2026-05-18,22936.82,CHECK,Posted
PAY00000360,BILL00000360,2026-06-17,22221.54,CASH,Posted
PAY00000361,BILL00000361,2026-05-18,16498.36,CASH,Failed
PAY00000362,BILL00000362,2026-06-22,11398.58,CASH,Reversed
PAY00000363,BILL00000363,2026-06-02,15970.91,ACH,Posted
PAY00000364,BILL00000364,2026-07-02,7598.87,ACH,Posted
PAY00000365,BILL00000365,2026-06-02,1502.66,CARD,Pending
PAY00000366,BILL00000366,2026-06-07,5433.18,ACH,Failed
PAY00000367,BILL00000367,2026-05-08,8904.37,ACH,Posted
PAY00000369,BILL00000369,2026-05-03,13093.93,CHECK,Reversed
PAY00000370,BILL00000370,2026-06-07,10797.31,ACH,Failed
PAY00000371,BILL00000371,2026-05-18,23827.44,CHECK,Failed
PAY00000372,BILL00000372,2026-06-22,6277.86,ACH,Posted
PAY00000373,BILL00000373,2026-05-03,24661.83,ACH,Reversed
PAY00000374,BILL00000374,2026-07-02,11761.43,CARD,Failed
PAY00000375,BILL00000375,2026-05-08,20256.49,CASH,Posted
PAY00000376,BILL00000376,2026-06-22,4464.45,CARD,Reversed
PAY00000377,BILL00000377,2026-05-03,5266.44,ACH,Failed
PAY00000378,BILL00000378,2026-06-22,2844.87,CASH,Pending
PAY00000379,BILL00000379,2026-05-23,13143.41,CHECK,Posted
PAY00000380,BILL00000380,2026-06-07,1213.54,ACH,Failed
PAY00000381,BILL00000381,2026-05-08,4864.4,ACH,Posted
PAY00000382,BILL00000382,2026-07-02,2417.61,ACH,Posted
PAY00000383,BILL00000383,2026-05-08,8450.6,ACH,Pending
PAY00000384,BILL00000384,2026-06-02,16073.29,CARD,Pending
PAY00000385,BILL00000385,2026-05-18,4656.21,CASH,Reversed
PAY00000386,BILL00000386,2026-06-17,10520.01,CHECK,Posted
PAY00000388,BILL00000388,2026-06-17,6334.16,ACH,Pending
PAY00000389,BILL00000389,2026-06-02,1567.44,ACH,Reversed
PAY00000390,BILL00000390,2026-06-17,15261.4,ACH,Pending
PAY00000391,BILL00000391,2026-05-23,6788.02,ACH,Posted
PAY00000392,BILL00000392,2026-06-02,4381.27,CARD,Posted
PAY00000394,BILL00000394,2026-07-02,9854.52,CARD,Failed
PAY00000395,BILL00000395,2026-05-23,8409.56,CHECK,Failed
PAY00000396,BILL00000396,2026-06-07,1434.34,CASH,Reversed
PAY00000397,BILL00000397,2026-05-03,3413.96,CASH,Pending
PAY00000398,BILL00000398,2026-07-02,2724.62,CASH,Reversed
PAY00000399,BILL00000399,2026-06-02,13854.85,CASH,Pending
PAY00000400,BILL00000400,2026-06-22,9647.74,CHECK,Pending
PAY00000401,BILL00000401,2026-05-18,4090.21,CASH,Posted
PAY00000402,BILL00000402,2026-06-02,21045.11,ACH,Posted
PAY00000403,BILL00000403,2026-05-08,8442.95,ACH,Pending
PAY00000404,BILL00000404,2026-06-22,13406.47,CARD,Posted
PAY00000405,BILL00000405,2026-05-18,3597.88,CHECK,Pending
PAY00000406,BILL00000406,2026-07-02,16740.37,CHECK,Failed
PAY00000407,BILL00000407,2026-05-03,16046.99,ACH,Posted
PAY00000408,BILL00000408,2026-06-02,8441.01,CARD,Posted
PAY00000409,BILL00000409,2026-05-03,2900.81,ACH,Posted
PAY00000411,BILL00000411,2026-05-08,13991.13,ACH,Pending
PAY00000413,BILL00000413,2026-06-02,21195.8,ACH,Posted
PAY00000414,BILL00000414,2026-07-02,6592.8,CHECK,Pending
PAY00000416,BILL00000416,2026-06-22,5059.03,CASH,Pending
PAY00000418,BILL00000418,2026-06-17,15526.37,ACH,Failed
PAY00000419,BILL00000419,2026-05-23,10337.46,ACH,Failed
PAY00000420,BILL00000420,2026-06-02,10370.83,CASH,Failed
PAY00000421,BILL00000421,2026-05-23,1792.0,ACH,Posted
PAY00000422,BILL00000422,2026-06-07,13753.5,CASH,Failed
PAY00000423,BILL00000423,2026-05-08,11771.57,CASH,Reversed
PAY00000424,BILL00000424,2026-06-02,24365.8,ACH,Pending
PAY00000425,BILL00000425,2026-06-02,19807.91,CARD,Posted
PAY00000426,BILL00000426,2026-06-02,17037.19,CASH,Pending
PAY00000428,BILL00000428,2026-06-02,20930.36,CARD,Failed
PAY00000429,BILL00000429,2026-06-02,7323.02,ACH,Reversed
PAY00000431,BILL00000431,2026-05-18,7210.54,CASH,Posted
PAY00000432,BILL00000432,2026-06-07,15687.0,ACH,Reversed
PAY00000433,BILL00000433,2026-06-02,3016.83,ACH,Failed
PAY00000434,BILL00000434,2026-06-17,19808.14,ACH,Reversed
PAY00000435,BILL00000435,2026-05-23,18231.29,CHECK,Posted
PAY00000436,BILL00000436,2026-06-22,16630.68,CARD,Posted
PAY00000437,BILL00000437,2026-05-03,2684.53,ACH,Posted
PAY00000438,BILL00000438,2026-06-07,4843.69,CARD,Failed
PAY00000440,BILL00000440,2026-06-07,3108.85,ACH,Pending
PAY00000441,BILL00000441,2026-05-18,5332.35,ACH,Posted
PAY00000442,BILL00000442,2026-07-02,3884.02,CASH,Posted
PAY00000443,BILL00000443,2026-05-18,6463.64,CHECK,Failed
PAY00000444,BILL00000444,2026-06-17,4171.82,CARD,Pending
