outage_id,site_id,asset_id,outage_start_ts,outage_end_ts,outage_type,cause_code,customers_affected,estimated_energy_not_served_mwh,outage_status,duration_hours
OUT0000027,SITE0008,AST000066,2026-05-16 16:01:19,2026-05-16 17:01:19,Forced,Protection Trip,15611,346.059,Investigating,1.0
OUT0000028,SITE0016,AST000136,2026-04-20 18:48:56,2026-04-20 19:18:56,Grid Event,Protection Trip,16427,248.843,Closed,0.5
OUT0000029,SITE0030,AST000254,2026-01-24 13:07:58,2026-01-24 13:37:58,Weather,Protection Trip,1016,269.494,Closed,0.5
OUT0000030,SITE0025,AST000212,2026-03-30 09:37:04,2026-04-01 09:37:04,Weather,Maintenance,16579,37.536,Closed,48.0
OUT0000031,SITE0002,AST000011,2026-03-05 00:39:13,2026-03-05 08:39:13,Forced,Equipment Failure,742,61.524,Investigating,8.0
OUT0000032,SITE0021,AST000173,2026-02-27 03:04:58,2026-02-27 11:04:58,Forced,Protection Trip,9106,172.143,Open,8.0
OUT0000033,SITE0001,AST000007,2026-02-15 20:01:27,2026-02-15 20:31:27,Planned,Storm,4173,290.104,Closed,0.5
OUT0000034,SITE0029,AST000243,2026-04-30 07:38:59,2026-04-30 15:38:59,Forced,Storm,5814,178.501,Closed,8.0
OUT0000035,SITE0030,AST000249,2026-02-13 00:29:04,2026-02-13 01:29:04,Forced,Storm,975,42.758,Closed,1.0
OUT0000036,SITE0012,AST000096,2026-01-05 17:46:05,2026-01-07 17:46:05,Forced,Unknown,11540,52.092,Closed,48.0
OUT0000037,SITE0005,AST000038,2026-04-12 08:14:51,2026-04-15 08:14:51,Forced,Storm,3335,78.544,Closed,72.0
OUT0000038,SITE0015,AST000119,2026-05-07 18:12:13,2026-05-08 06:12:13,Grid Event,Equipment Failure,9411,102.791,Closed,12.0
OUT0000039,SITE0007,AST000057,2026-02-08 13:31:21,2026-02-10 13:31:21,Grid Event,Protection Trip,14695,261.519,Investigating,48.0
OUT0000040,SITE0006,AST000048,2026-02-03 23:01:52,2026-02-05 23:01:52,Grid Event,Maintenance,15869,278.961,Investigating,48.0
OUT0000041,SITE0008,AST000061,2026-04-21 06:28:41,2026-04-23 06:28:41,Forced,Unknown,2977,247.672,Investigating,48.0
OUT0000042,SITE0027,AST000228,2026-03-09 21:44:31,2026-03-10 05:44:31,Forced,Protection Trip,10600,149.201,Closed,8.0
OUT0000043,SITE0030,AST000255,2026-04-15 04:35:33,2026-04-16 04:35:33,Planned,Unknown,515,106.858,Closed,24.0
OUT0000044,SITE0016,AST000136,2026-01-16 23:48:04,,Planned,Maintenance,9984,329.1,Open,
OUT0000045,SITE0026,AST000214,2026-02-22 22:49:23,2026-02-23 22:49:23,Forced,Equipment Failure,5830,202.339,Open,24.0
OUT0000046,SITE0016,AST000129,2026-05-14 22:42:08,2026-05-15 00:42:08,Forced,Unknown,12236,117.879,Closed,2.0
OUT0000047,SITE0020,AST000168,2026-05-18 15:13:31,2026-05-19 03:13:31,Forced,Maintenance,3397,107.773,Investigating,12.0
OUT0000048,SITE0015,AST000123,2026-01-17 18:53:45,2026-01-20 18:53:45,Forced,Maintenance,5483,233.176,Closed,72.0
OUT0000049,SITE0029,AST000244,2026-04-04 15:44:51,2026-04-04 17:44:51,Forced,Equipment Failure,14029,217.494,Closed,2.0
OUT0000050,SITE0022,AST000189,2026-03-04 20:02:26,2026-03-04 22:02:26,Planned,Storm,17041,51.529,Investigating,2.0
OUT0000051,SITE0007,AST000053,2026-03-08 05:37:41,2026-03-11 05:37:41,Planned,Maintenance,11316,17.864,Closed,72.0
OUT0000052,SITE0015,AST000126,2026-04-14 03:59:28,2026-04-15 03:59:28,Weather,Storm,16839,239.846,Closed,24.0
OUT0000053,SITE0013,AST000102,2026-02-17 09:44:08,2026-02-18 09:44:08,Forced,Protection Trip,4361,141.26,Closed,24.0
OUT0000054,SITE0020,AST000167,2026-03-28 08:12:10,2026-03-28 12:12:10,Weather,Unknown,5442,168.631,Investigating,4.0
OUT0000055,SITE0006,AST000047,2026-01-15 20:38:53,2026-01-16 04:38:53,Planned,Equipment Failure,11540,58.686,Open,8.0
OUT0000056,SITE0025,AST000210,2026-05-22 12:16:41,2026-05-25 12:16:41,Forced,Maintenance,15827,311.149,Closed,72.0
OUT0000057,SITE0011,AST000091,2026-04-28 10:40:32,2026-04-28 22:40:32,Forced,Unknown,12004,43.681,Open,12.0
OUT0000058,SITE0027,AST000224,2026-01-12 10:10:44,2026-01-12 11:10:44,Weather,Maintenance,15123,238.61,Closed,1.0
OUT0000059,SITE0022,AST000184,2026-01-20 12:04:58,2026-01-20 16:04:58,Grid Event,Equipment Failure,9621,151.955,Closed,4.0
OUT0000060,SITE0023,AST000192,2026-03-28 09:35:45,2026-03-29 09:35:45,Forced,Equipment Failure,11956,258.721,Closed,24.0
OUT0000061,SITE0029,AST000248,2026-05-21 07:11:15,2026-05-21 08:11:15,Planned,Maintenance,7889,304.865,Closed,1.0
OUT0000062,SITE0007,AST000057,2026-03-13 20:01:59,,Forced,Maintenance,9481,336.114,Investigating,
OUT0000063,SITE0002,AST000013,2026-04-19 14:12:35,2026-04-22 14:12:35,Planned,Maintenance,8466,248.02,Open,72.0
OUT0000064,SITE0002,AST000009,2026-01-23 23:10:04,2026-01-24 23:10:04,Weather,Equipment Failure,3665,87.74,Closed,24.0
OUT0000065,SITE0010,AST000079,2026-04-22 15:28:14,2026-04-25 15:28:14,Weather,Unknown,4138,193.476,Investigating,72.0
OUT0000066,SITE0030,AST000251,2026-04-24 23:38:46,2026-04-27 23:38:46,Planned,Maintenance,3612,262.257,Closed,72.0
OUT0000067,SITE0028,AST000237,2026-05-10 18:01:15,2026-05-12 18:01:15,Forced,Maintenance,12061,110.37,Closed,48.0
OUT0000068,SITE0028,AST000240,2026-02-26 12:38:44,2026-02-28 12:38:44,Planned,Protection Trip,382,57.1,Closed,48.0
OUT0000069,SITE0014,AST000113,2026-04-26 21:07:49,2026-04-26 22:07:49,Forced,Maintenance,14185,262.859,Closed,1.0
OUT0000070,SITE0020,AST000164,2026-03-06 14:28:10,2026-03-06 16:28:10,Grid Event,Protection Trip,14777,182.435,Open,2.0
OUT0000071,SITE0016,AST000133,2026-03-19 01:38:58,2026-03-19 09:38:58,Forced,Maintenance,6646,279.808,Closed,8.0
OUT0000072,SITE0030,AST000250,2026-02-12 20:13:48,2026-02-13 04:13:48,Planned,Unknown,11882,231.783,Open,8.0
OUT0000073,SITE0020,AST000167,2026-05-13 05:03:00,2026-05-13 06:03:00,Planned,Storm,9950,105.624,Open,1.0
OUT0000074,SITE0018,AST000153,2026-01-16 00:36:59,2026-01-16 02:36:59,Forced,Protection Trip,17075,164.679,Investigating,2.0
OUT0000075,SITE0009,AST000072,2026-01-20 02:09:38,2026-01-20 04:09:38,Planned,Protection Trip,4346,143.225,Open,2.0
OUT0000076,SITE0009,AST000071,2026-02-17 08:29:24,2026-02-17 08:59:24,Grid Event,Protection Trip,14191,288.861,Open,0.5
OUT0000077,SITE0002,AST000015,2026-01-28 13:29:57,2026-01-29 01:29:57,Forced,Storm,10649,86.314,Closed,12.0
OUT0000078,SITE0015,AST000121,2026-04-28 18:24:28,2026-04-29 18:24:28,Weather,Maintenance,12987,10.3,Investigating,24.0
OUT0000079,SITE0019,AST000162,2026-05-01 08:04:13,2026-05-02 08:04:13,Weather,Protection Trip,10154,197.722,Closed,24.0
OUT0000080,SITE0005,AST000033,2026-05-17 17:15:26,2026-05-18 17:15:26,Forced,Unknown,15839,48.03,Closed,24.0
OUT0000081,SITE0013,AST000110,2026-03-04 14:41:32,,Weather,Protection Trip,6345,63.447,Closed,
OUT0000082,SITE0010,AST000083,2026-02-15 10:27:57,2026-02-16 10:27:57,Weather,Equipment Failure,12889,160.071,Closed,24.0
OUT0000083,SITE0006,AST000046,2026-03-25 14:23:17,2026-03-26 14:23:17,Grid Event,Equipment Failure,15862,159.421,Investigating,24.0
OUT0000084,SITE0027,AST000230,2026-03-29 23:07:08,2026-03-30 01:07:08,Forced,Maintenance,6648,286.115,Closed,2.0
OUT0000085,SITE0023,AST000197,2026-03-06 08:16:54,2026-03-06 10:16:54,Forced,Unknown,15100,107.506,Closed,2.0
OUT0000086,SITE0010,AST000082,2026-05-29 04:35:33,2026-05-29 12:35:33,Weather,Maintenance,727,340.411,Closed,8.0
OUT0000087,SITE0030,AST000250,2026-03-17 04:25:19,2026-03-19 04:25:19,Forced,Maintenance,13494,32.508,Closed,48.0
OUT0000088,SITE0001,AST000002,2026-05-14 20:08:07,2026-05-17 20:08:07,Weather,Maintenance,12425,311.503,Closed,72.0
OUT0000089,SITE0029,AST000241,2026-03-29 19:15:26,2026-03-29 19:45:26,Grid Event,Maintenance,11114,149.245,Closed,0.5
OUT0000090,SITE0009,AST000068,2026-04-14 00:10:51,2026-04-14 04:10:51,Forced,Unknown,7422,270.613,Closed,4.0
OUT0000091,SITE0012,AST000094,2026-05-19 22:53:17,2026-05-20 00:53:17,Planned,Maintenance,15895,72.331,Closed,2.0
OUT0000092,SITE0021,AST000177,2026-04-09 14:43:36,2026-04-09 18:43:36,Grid Event,Unknown,11390,23.581,Closed,4.0
OUT0000093,SITE0009,AST000073,2026-05-15 05:27:15,2026-05-18 05:27:15,Grid Event,Maintenance,12975,109.556,Closed,72.0
OUT0000094,SITE0009,AST000069,2026-02-27 20:41:02,2026-02-28 08:41:02,Forced,Maintenance,93,243.581,Closed,12.0
OUT0000095,SITE0018,AST000153,2026-04-23 05:44:34,2026-04-24 05:44:34,Forced,Unknown,9629,291.457,Closed,24.0
OUT0000096,SITE0009,AST000070,2026-01-02 10:49:46,2026-01-02 22:49:46,Forced,Protection Trip,10155,15.589,Investigating,12.0
OUT0000097,SITE0024,AST000198,2026-04-01 18:34:01,2026-04-01 19:34:01,Forced,Equipment Failure,8054,52.664,Investigating,1.0
OUT0000098,SITE0010,AST000084,2026-02-15 15:30:10,2026-02-15 19:30:10,Weather,Equipment Failure,11353,14.304,Closed,4.0
OUT0000099,SITE0018,AST000153,2026-05-10 06:05:07,2026-05-10 08:05:07,Weather,Maintenance,1912,288.49,Investigating,2.0
OUT0000100,SITE0011,AST000087,2026-01-26 17:16:58,,Forced,Storm,12731,152.129,Investigating,
OUT0000101,SITE0023,AST000195,2026-03-06 07:34:37,2026-03-06 11:34:37,Forced,Equipment Failure,3525,127.055,Open,4.0
OUT0000102,SITE0008,AST000060,2026-02-13 14:30:09,2026-02-13 15:00:09,Forced,Equipment Failure,4689,214.104,Investigating,0.5
OUT0000103,SITE0014,AST000112,2026-03-01 22:16:00,2026-03-02 06:16:00,Forced,Storm,15989,192.577,Closed,8.0
OUT0000104,SITE0001,AST000008,2026-04-27 05:30:03,2026-04-29 05:30:03,Grid Event,Storm,5918,236.423,Open,48.0
OUT0000105,SITE0012,AST000097,2026-03-03 17:27:05,2026-03-06 17:27:05,Weather,Maintenance,3533,259.972,Open,72.0
OUT0000106,SITE0003,AST000018,2026-02-02 23:22:05,2026-02-03 07:22:05,Grid Event,Unknown,12279,315.964,Investigating,8.0
OUT0000107,SITE0015,AST000124,2026-03-28 14:57:12,2026-03-29 02:57:12,Weather,Unknown,6399,137.299,Closed,12.0
OUT0000108,SITE0010,AST000084,2026-03-31 21:12:07,2026-03-31 21:42:07,Grid Event,Protection Trip,10126,226.733,Closed,0.5
OUT0000109,SITE0008,AST000067,2026-01-04 03:59:34,2026-01-06 03:59:34,Forced,Equipment Failure,682,141.19,Closed,48.0
OUT0000110,SITE0020,AST000167,2026-02-09 01:43:33,2026-02-09 02:43:33,Forced,Maintenance,581,31.299,Open,1.0
OUT0000111,SITE0017,AST000141,2026-02-03 10:31:10,2026-02-03 11:01:10,Forced,Unknown,2546,204.373,Investigating,0.5
OUT0000112,SITE0027,AST000225,2026-04-27 14:42:10,2026-04-27 16:42:10,Forced,Unknown,17610,346.741,Open,2.0
OUT0000113,SITE0018,AST000150,2026-02-07 01:04:40,2026-02-08 01:04:40,Forced,Protection Trip,7739,240.057,Open,24.0
OUT0000114,SITE0015,AST000119,2026-03-28 02:53:07,2026-03-30 02:53:07,Grid Event,Unknown,12403,244.11,Investigating,48.0
OUT0000115,SITE0006,AST000047,2026-03-09 14:54:09,2026-03-09 22:54:09,Weather,Protection Trip,11043,187.787,Open,8.0
OUT0000116,SITE0022,AST000186,2026-01-30 01:18:02,2026-02-02 01:18:02,Grid Event,Maintenance,13359,233.404,Closed,72.0
OUT0000117,SITE0011,AST000085,2026-01-18 22:16:22,2026-01-19 06:16:22,Forced,Protection Trip,10296,137.819,Open,8.0
OUT0000118,SITE0020,AST000164,2026-04-24 02:47:33,2026-04-27 02:47:33,Weather,Maintenance,17952,95.752,Closed,72.0
OUT0000119,SITE0027,AST000231,2026-03-29 19:59:17,2026-04-01 19:59:17,Grid Event,Unknown,11157,51.744,Closed,72.0
OUT0000120,SITE0009,AST000074,2026-03-16 04:29:14,2026-03-19 04:29:14,Forced,Maintenance,16330,260.083,Closed,72.0
OUT0000121,SITE0026,AST000218,2026-04-06 23:05:22,2026-04-07 03:05:22,Planned,Protection Trip,6285,20.618,Closed,4.0
OUT0000122,SITE0025,AST000212,2026-03-06 05:27:25,2026-03-09 05:27:25,Forced,Protection Trip,13519,177.414,Open,72.0
OUT0000123,SITE0004,AST000031,2026-05-03 20:15:48,2026-05-05 20:15:48,Forced,Storm,12910,301.964,Closed,48.0
OUT0000124,SITE0026,AST000220,2026-05-30 20:28:09,2026-05-31 20:28:09,Weather,Maintenance,16234,232.427,Investigating,24.0
OUT0000125,SITE0029,AST000242,2026-01-14 17:26:16,2026-01-14 19:26:16,Weather,Unknown,10562,19.105,Closed,2.0
OUT0000126,SITE0005,AST000036,2026-02-03 00:49:46,2026-02-03 08:49:46,Planned,Storm,12044,272.44,Closed,8.0
OUT0000127,SITE0016,AST000130,2026-02-28 22:34:43,2026-03-01 06:34:43,Forced,Equipment Failure,10262,270.397,Open,8.0
OUT0000128,SITE0003,AST000017,2026-05-18 18:46:59,2026-05-18 19:46:59,Forced,Protection Trip,16213,122.919,Open,1.0
OUT0000129,SITE0021,AST000180,2026-03-04 20:16:35,2026-03-05 08:16:35,Forced,Protection Trip,12099,251.14,Open,12.0
OUT0000130,SITE0015,AST000120,2026-05-12 10:34:57,2026-05-12 12:34:57,Forced,Unknown,2450,343.301,Closed,2.0
OUT0000131,SITE0027,AST000223,2026-04-24 07:06:12,2026-04-26 07:06:12,Forced,Storm,17210,12.723,Closed,48.0
OUT0000132,SITE0025,AST000210,2026-04-16 02:39:57,2026-04-16 03:09:57,Forced,Storm,12646,178.679,Closed,0.5
OUT0000133,SITE0017,AST000140,2026-05-09 12:47:22,,Planned,Protection Trip,10915,305.692,Closed,
OUT0000134,SITE0017,AST000137,2026-03-03 12:41:03,2026-03-03 14:41:03,Forced,Maintenance,4055,158.006,Open,2.0
OUT0000135,SITE0009,AST000071,2026-04-29 02:40:48,,Weather,Storm,2487,44.999,Open,
OUT0000136,SITE0028,AST000240,2026-01-13 20:50:00,2026-01-14 00:50:00,Weather,Protection Trip,306,282.458,Open,4.0
OUT0000137,SITE0030,AST000255,2026-02-22 22:29:12,2026-02-24 22:29:12,Forced,Unknown,300,17.529,Open,48.0
OUT0000138,SITE0026,AST000221,2026-01-27 19:55:12,2026-01-27 23:55:12,Weather,Storm,1264,206.959,Open,4.0
OUT0000139,SITE0009,AST000069,2026-04-05 13:12:04,2026-04-06 13:12:04,Forced,Maintenance,14561,317.325,Closed,24.0
OUT0000140,SITE0024,AST000199,2026-04-02 02:47:11,2026-04-02 03:17:11,Planned,Unknown,10540,176.362,Closed,0.5
OUT0000141,SITE0030,AST000252,2026-04-07 21:55:17,2026-04-07 23:55:17,Forced,Protection Trip,13772,290.342,Closed,2.0
OUT0000142,SITE0007,AST000056,2026-04-27 23:45:56,2026-04-29 23:45:56,Grid Event,Protection Trip,14497,168.814,Open,48.0
OUT0000143,SITE0005,AST000034,2026-04-27 22:09:24,2026-04-28 10:09:24,Forced,Storm,1876,49.953,Open,12.0
OUT0000144,SITE0015,AST000120,2026-02-12 18:48:49,2026-02-12 22:48:49,Forced,Maintenance,928,260.871,Closed,4.0
OUT0000145,SITE0017,AST000138,2026-04-05 15:03:39,2026-04-05 19:03:39,Planned,Storm,8150,89.999,Closed,4.0
OUT0000146,SITE0026,AST000222,2026-04-25 05:59:44,2026-04-25 13:59:44,Forced,Unknown,4967,288.833,Investigating,8.0
OUT0000147,SITE0027,AST000229,2026-04-14 08:24:35,2026-04-14 20:24:35,Forced,Maintenance,3153,256.723,Open,12.0
OUT0000148,SITE0016,AST000136,2026-05-03 22:24:00,2026-05-03 22:54:00,Forced,Unknown,13397,331.804,Investigating,0.5
OUT0000149,SITE0015,AST000122,2026-03-08 11:31:08,2026-03-08 12:31:08,Forced,Equipment Failure,4503,59.614,Investigating,1.0
OUT0000150,SITE0015,AST000124,2026-04-13 05:29:15,2026-04-13 06:29:15,Grid Event,Unknown,15649,56.739,Open,1.0
OUT0000151,SITE0011,AST000085,2026-05-28 13:45:13,2026-05-28 14:15:13,Grid Event,Unknown,7953,310.285,Open,0.5
OUT0000152,SITE0023,AST000193,2026-03-12 06:36:20,2026-03-14 06:36:20,Forced,Maintenance,15786,58.492,Closed,48.0
OUT0000153,SITE0013,AST000108,2026-04-01 03:28:10,2026-04-01 04:28:10,Weather,Maintenance,6162,1.981,Open,1.0
OUT0000154,SITE0020,AST000167,2026-01-28 07:39:22,2026-01-28 09:39:22,Weather,Storm,14445,228.221,Open,2.0
OUT0000155,SITE0023,AST000196,2026-02-08 12:40:40,2026-02-10 12:40:40,Planned,Storm,12508,218.174,Investigating,48.0
OUT0000156,SITE0026,AST000215,2026-01-15 15:40:23,2026-01-15 19:40:23,Weather,Unknown,6258,241.477,Open,4.0
OUT0000157,SITE0022,AST000190,2026-03-27 00:43:01,2026-03-27 01:13:01,Forced,Unknown,9471,103.726,Investigating,0.5
OUT0000158,SITE0026,AST000216,2026-01-08 16:50:30,2026-01-08 17:20:30,Forced,Protection Trip,6192,266.707,Investigating,0.5
OUT0000159,SITE0022,AST000184,2026-04-22 12:57:13,2026-04-22 13:57:13,Forced,Unknown,5180,229.033,Closed,1.0
OUT0000160,SITE0013,AST000102,2026-02-01 08:57:26,2026-02-02 08:57:26,Grid Event,Protection Trip,8039,179.106,Closed,24.0
OUT0000161,SITE0020,AST000171,2026-02-13 05:35:06,2026-02-13 17:35:06,Weather,Protection Trip,6521,113.675,Open,12.0
OUT0000162,SITE0002,AST000013,2026-04-16 14:03:15,2026-04-16 22:03:15,Forced,Maintenance,2183,101.012,Open,8.0
OUT0000163,SITE0015,AST000125,2026-04-11 12:06:22,2026-04-14 12:06:22,Forced,Maintenance,16028,187.243,Closed,72.0
OUT0000164,SITE0017,AST000138,2026-04-22 14:39:18,2026-04-22 22:39:18,Forced,Maintenance,15981,311.076,Closed,8.0
OUT0000165,SITE0006,AST000042,2026-01-05 02:27:37,2026-01-05 04:27:37,Planned,Storm,3788,267.766,Investigating,2.0
OUT0000166,SITE0004,AST000029,2026-01-07 21:44:59,2026-01-07 23:44:59,Planned,Maintenance,17729,198.516,Closed,2.0
OUT0000167,SITE0022,AST000183,2026-02-16 20:36:25,2026-02-17 20:36:25,Weather,Equipment Failure,4252,102.631,Closed,24.0
OUT0000168,SITE_BAD,AST000056,2026-03-26 06:41:18,2026-03-28 06:41:18,Weather,Protection Trip,16515,78.246,Investigating,48.0
OUT0000169,SITE0014,AST000115,2026-01-04 15:47:46,2026-01-05 15:47:46,Forced,Maintenance,5657,100.475,Investigating,24.0
OUT0000170,SITE0013,AST000108,2026-05-12 07:10:18,2026-05-12 19:10:18,Grid Event,Unknown,2119,70.002,Closed,12.0
OUT0000171,SITE0025,AST000209,2026-04-24 10:46:31,2026-04-26 10:46:31,Forced,Storm,9779,259.152,Closed,48.0
OUT0000172,SITE0029,AST000241,2026-01-06 11:04:19,2026-01-06 12:04:19,Forced,Unknown,14553,259.524,Closed,1.0
OUT0000173,SITE0014,AST000116,2026-04-09 04:19:42,2026-04-09 12:19:42,Grid Event,Storm,4062,189.571,Closed,8.0
OUT0000174,SITE0011,AST000090,2026-04-23 03:21:28,2026-04-26 03:21:28,Grid Event,Equipment Failure,9330,242.716,Closed,72.0
OUT0000175,SITE0018,AST000154,2026-04-12 00:51:37,2026-04-15 00:51:37,Forced,Protection Trip,99,281.51,Closed,72.0
OUT0000176,SITE0029,AST000248,2026-02-15 00:40:54,2026-02-17 00:40:54,Planned,Protection Trip,13415,104.958,Closed,48.0
OUT0000177,SITE0006,AST000042,2026-03-30 07:06:24,2026-04-01 07:06:24,Planned,Unknown,3692,184.064,Closed,48.0
OUT0000178,SITE0013,AST000109,2026-03-18 21:32:54,2026-03-18 22:02:54,Forced,Unknown,302,134.816,Investigating,0.5
OUT0000179,SITE0018,AST000146,2026-04-04 20:20:00,2026-04-04 22:20:00,Weather,Protection Trip,7214,311.838,Closed,2.0
OUT0000180,SITE0016,AST000128,2026-03-27 15:15:20,2026-03-30 15:15:20,Planned,Maintenance,1189,261.058,Investigating,72.0
OUT0000181,SITE0002,AST000009,2026-03-13 15:44:17,2026-03-15 15:44:17,Weather,Storm,4704,56.596,Closed,48.0
OUT0000182,SITE0003,AST000019,2026-04-10 21:43:48,2026-04-11 05:43:48,Planned,Storm,9642,320.109,Investigating,8.0
OUT0000183,SITE0016,AST000131,2026-01-03 03:00:16,2026-01-03 11:00:16,Weather,Storm,10485,329.955,Open,8.0
OUT0000184,SITE0001,AST000002,2026-02-09 20:58:07,2026-02-09 22:58:07,Planned,Storm,13275,326.956,Investigating,2.0
OUT0000185,SITE0019,AST000161,2026-01-12 03:51:26,2026-01-12 04:51:26,Forced,Protection Trip,9677,54.98,Closed,1.0
OUT0000186,SITE0004,AST000029,2026-02-22 05:16:40,2026-02-22 17:16:40,Forced,Maintenance,9630,105.147,Investigating,12.0
OUT0000187,SITE0029,AST000245,2026-01-30 05:46:15,2026-02-01 05:46:15,Grid Event,Protection Trip,11664,311.65,Investigating,48.0
OUT0000188,SITE0030,AST000251,2026-04-25 11:12:19,2026-04-25 12:12:19,Weather,Maintenance,15866,346.119,Open,1.0
OUT0000189,SITE0008,AST000063,2026-02-09 21:50:38,2026-02-10 05:50:38,Forced,Maintenance,8276,81.739,Open,8.0
OUT0000190,SITE0022,AST000185,2026-03-11 11:05:24,2026-03-11 15:05:24,Planned,Protection Trip,3369,52.78,Closed,4.0
OUT0000191,SITE0024,AST000203,2026-01-16 03:31:14,2026-01-16 04:31:14,Forced,Equipment Failure,9981,241.354,Open,1.0
OUT0000192,SITE0014,AST000113,2026-03-02 03:14:22,2026-03-02 11:14:22,Forced,Equipment Failure,13147,59.945,Closed,8.0
OUT0000193,SITE0028,AST000237,2026-05-21 14:30:52,2026-05-21 22:30:52,Forced,Maintenance,17324,171.965,Closed,8.0
OUT0000194,SITE0002,AST000011,2026-03-11 11:44:14,2026-03-11 13:44:14,Weather,Unknown,16577,295.658,Closed,2.0
OUT0000195,SITE0023,AST000195,2026-04-23 19:35:49,2026-04-25 19:35:49,Weather,Protection Trip,10450,218.78,Closed,48.0
OUT0000196,SITE0007,AST000056,2026-05-01 13:37:46,2026-05-02 01:37:46,Forced,Storm,7004,65.594,Closed,12.0
OUT0000197,SITE0011,AST000087,2026-01-26 01:13:55,2026-01-27 01:13:55,Forced,Storm,11683,267.402,Open,24.0
OUT0000198,SITE0011,AST000089,2026-01-28 21:37:57,2026-01-30 21:37:57,Planned,Equipment Failure,764,280.5,Closed,48.0
OUT0000199,SITE0007,AST000053,2026-04-28 11:58:10,2026-04-28 19:58:10,Planned,Unknown,7051,302.623,Investigating,8.0
OUT0000200,SITE0004,AST000027,2026-05-22 23:34:06,,Planned,Equipment Failure,1667,94.103,Closed,
OUT0000201,SITE0001,AST000006,2026-03-20 19:03:14,2026-03-23 19:03:14,Forced,Protection Trip,16626,296.011,Closed,72.0
OUT0000202,SITE0018,AST000148,2026-05-18 14:53:31,2026-05-18 15:23:31,Forced,Storm,7477,65.964,Open,0.5
