customer_tariff_id,customer_id,tariff_id,effective_start_date,effective_end_date
CT0000373,CUST0000373,TAR005,2025-05-27,
CT0000374,CUST0000374,TAR004,2025-01-14,
CT0000375,CUST0000375,TAR001,2025-03-10,
CT0000376,CUST0000376,TAR001,2025-12-27,
CT0000377,CUST0000377,TAR002,2025-08-03,
CT0000378,CUST0000378,TAR005,2025-01-01,
CT0000379,CUST0000379,TAR002,2025-03-20,
CT0000380,CUST0000380,TAR002,2025-08-13,
CT0000381,CUST0000381,TAR002,2025-06-15,
CT0000382,CUST0000382,TAR003,2025-08-29,
CT0000383,CUST0000383,TAR001,2025-07-01,
CT0000384,CUST0000384,TAR002,2025-02-20,
CT0000385,CUST0000385,TAR002,2025-09-04,
CT0000386,CUST0000386,TAR002,2025-05-20,
CT0000387,CUST0000387,TAR003,2025-08-03,
CT0000388,CUST0000388,TAR003,2025-08-04,
CT0000389,CUST0000389,TAR001,2025-12-07,
CT0000390,CUST0000390,TAR005,2025-08-09,
CT0000391,CUST0000391,TAR002,2025-12-22,
CT0000392,CUST0000392,TAR004,2025-03-19,
CT0000393,CUST0000393,TAR001,2025-07-14,
CT0000394,CUST0000394,TAR005,2025-12-01,
CT0000395,CUST0000395,TAR005,2025-02-23,
CT0000396,CUST0000396,TAR005,2025-02-24,
CT0000397,CUST0000397,TAR005,2025-12-23,
CT0000398,CUST0000398,TAR001,2025-07-29,
CT0000399,CUST0000399,TAR004,2025-11-07,
CT0000400,CUST0000400,TAR003,2025-03-08,
CT0000401,CUST0000401,TAR005,2025-05-11,
CT0000402,CUST0000402,TAR002,2025-05-13,
CT0000403,CUST0000403,TAR004,2025-06-09,
CT0000404,CUST0000404,TAR001,2025-04-01,
CT0000405,CUST0000405,TAR001,2025-01-22,
CT0000406,CUST0000406,TAR001,2025-02-14,
CT0000407,CUST0000407,TAR004,2025-01-15,
CT0000408,CUST0000408,TAR001,2025-08-11,
CT0000409,CUST0000409,TAR002,2025-09-10,
CT0000410,CUST0000410,TAR004,2025-11-04,
CT0000411,CUST0000411,TAR001,2025-04-30,
CT0000412,CUST0000412,TAR002,2025-12-08,
CT0000413,CUST0000413,TAR004,2025-03-29,
CT0000414,CUST0000414,TAR004,2025-02-13,
CT0000415,CUST0000415,TAR003,2025-10-15,
CT0000416,CUST0000416,TAR003,2025-09-24,
CT0000417,CUST0000417,TAR002,2025-09-28,
CT0000418,CUST0000418,TAR003,2025-09-24,
CT0000419,CUST0000419,TAR003,2025-08-11,
CT0000420,CUST0000420,TAR005,2025-05-15,
CT0000421,CUST0000421,TAR002,2025-05-02,
CT0000422,CUST0000422,TAR004,2025-07-26,
CT0000423,CUST0000423,TAR005,2025-07-04,
CT0000424,CUST0000424,TAR003,2025-07-31,
CT0000425,CUST0000425,TAR003,2025-06-12,
CT0000426,CUST0000426,TAR001,2025-04-03,
CT0000427,CUST0000427,TAR001,2025-02-26,
CT0000428,CUST0000428,TAR003,2025-09-17,
CT0000429,CUST0000429,TAR005,2025-08-28,
CT0000430,CUST0000430,TAR005,2025-09-02,
CT0000431,CUST0000431,TAR005,2025-07-11,
CT0000432,CUST0000432,TAR002,2025-03-22,
CT0000433,CUST0000433,TAR002,2025-07-17,
CT0000434,CUST0000434,TAR004,2025-07-04,
CT0000435,CUST0000435,TAR002,2025-10-25,
CT0000436,CUST0000436,TAR004,2025-07-02,
CT0000437,CUST0000437,TAR003,2025-02-13,
CT0000438,CUST0000438,TAR002,2025-12-28,
CT0000439,CUST0000439,TAR003,2025-02-04,
CT0000440,CUST0000440,TAR002,2025-08-12,
CT0000441,CUST0000441,TAR003,2025-10-20,
CT0000442,CUST0000442,TAR005,2025-02-16,
CT0000443,CUST0000443,TAR002,2025-06-26,
CT0000444,CUST0000444,TAR002,2025-10-29,
CT0000445,CUST0000445,TAR001,2025-12-31,
CT0000446,CUST0000446,TAR002,2025-04-18,
CT0000447,CUST0000447,TAR005,2025-01-16,
CT0000448,CUST0000448,TAR003,2025-05-13,
CT0000449,CUST0000449,TAR002,2025-06-25,
CT0000450,CUST0000450,TAR001,2025-11-26,
CT0000451,CUST0000451,TAR001,2025-04-06,
CT0000452,CUST0000452,TAR005,2025-08-30,
CT0000453,CUST0000453,TAR002,2025-04-28,
CT0000454,CUST0000454,TAR005,2025-03-07,
CT0000455,CUST0000455,TAR004,2025-06-21,
CT0000456,CUST0000456,TAR005,2025-07-28,
CT0000457,CUST0000457,TAR004,2025-08-23,
CT0000458,CUST0000458,TAR005,2026-01-01,
CT0000459,CUST0000459,TAR002,2025-07-08,
CT0000460,CUST0000460,TAR005,2025-09-16,
CT0000461,CUST0000461,TAR005,2025-05-08,
CT0000462,CUST0000462,TAR002,2025-12-28,
CT0000463,CUST0000463,TAR001,2025-05-21,
CT0000464,CUST0000464,TAR002,2025-05-18,
CT0000465,CUST0000465,TAR005,2025-04-01,
CT0000466,CUST0000466,TAR003,2025-06-28,
CT0000467,CUST0000467,TAR002,2025-07-08,
CT0000468,CUST0000468,TAR002,2025-12-28,
CT0000469,CUST0000469,TAR003,2025-02-12,
CT0000470,CUST0000470,TAR004,2025-08-28,
CT0000471,CUST0000471,TAR002,2025-05-11,
CT0000472,CUST0000472,TAR003,2025-12-01,
CT0000473,CUST0000473,TAR005,2025-12-26,
CT0000474,CUST0000474,TAR003,2025-01-28,
CT0000475,CUST0000475,TAR003,2025-01-01,
CT0000476,CUST0000476,TAR004,2025-12-11,
CT0000477,CUST0000477,TAR005,2025-04-02,
CT0000478,CUST0000478,TAR004,2025-03-29,
CT0000479,CUST0000479,TAR001,2025-04-05,
CT0000480,CUST0000480,TAR001,2025-02-23,
CT0000481,CUST0000481,TAR005,2025-11-29,
CT0000482,CUST0000482,TAR005,2025-11-27,
CT0000483,CUST0000483,TAR005,2025-08-16,
CT0000484,CUST0000484,TAR004,2025-03-12,
CT0000485,CUST0000485,TAR005,2025-12-14,
CT0000486,CUST0000486,TAR003,2025-01-07,
CT0000487,CUST0000487,TAR001,2025-03-26,
CT0000488,CUST0000488,TAR004,2025-01-21,
CT0000489,CUST0000489,TAR004,2025-06-12,
CT0000490,CUST0000490,TAR001,2025-10-16,
CT0000491,CUST0000491,TAR003,2025-10-09,
CT0000492,CUST0000492,TAR004,2025-03-09,
CT0000493,CUST0000493,TAR003,2025-03-08,
CT0000494,CUST0000494,TAR001,2025-12-01,
CT0000495,CUST0000495,TAR004,2025-06-21,
CT0000496,CUST0000496,TAR002,2025-04-07,
CT0000497,CUST0000497,TAR001,2025-04-17,
CT0000498,CUST0000498,TAR002,2025-10-30,
CT0000499,CUST0000499,TAR004,2025-12-04,
CT0000500,CUST0000500,TAR004,2025-05-24,
CT0000501,CUST0000501,TAR005,2025-12-19,
CT0000502,CUST0000502,TAR003,2025-02-01,
CT0000503,CUST0000503,TAR001,2025-12-17,
CT0000504,CUST0000504,TAR003,2025-09-13,
CT0000505,CUST0000505,TAR001,2025-02-18,
CT0000506,CUST0000506,TAR002,2025-12-09,
CT0000507,CUST0000507,TAR003,2025-12-05,
CT0000508,CUST0000508,TAR001,2025-04-07,
CT0000509,CUST0000509,TAR002,2025-10-20,
CT0000510,CUST0000510,TAR004,2025-08-17,
CT0000511,CUST0000511,TAR005,2025-07-01,
CT0000512,CUST0000512,TAR003,2025-03-09,
CT0000513,CUST0000513,TAR005,2025-12-12,
CT0000514,CUST0000514,TAR004,2025-06-05,
CT0000515,CUST0000515,TAR003,2025-05-19,
CT0000516,CUST0000516,TAR003,2025-04-04,
CT0000517,CUST0000517,TAR002,2025-10-01,
CT0000518,CUST0000518,TAR003,2025-06-16,
CT0000519,CUST0000519,TAR005,2025-07-22,
CT0000520,CUST0000520,TAR001,2025-03-04,
CT0000521,CUST0000521,TAR005,2025-11-30,
CT0000522,CUST0000522,TAR005,2025-06-29,
CT0000523,CUST0000523,TAR005,2025-01-13,
CT0000524,CUST0000524,TAR002,2025-08-29,
CT0000525,CUST0000525,TAR003,2025-09-06,
CT0000526,CUST0000526,TAR003,2025-10-04,
CT0000527,CUST0000527,TAR002,2025-03-05,
CT0000528,CUST0000528,TAR003,2025-03-14,
CT0000529,CUST0000529,TAR002,2025-07-21,
CT0000530,CUST0000530,TAR005,2025-08-29,
CT0000531,CUST0000531,TAR004,2025-06-24,
CT0000532,CUST0000532,TAR001,2025-10-19,
CT0000533,CUST0000533,TAR003,2025-12-12,
CT0000534,CUST0000534,TAR005,2025-10-23,
CT0000535,CUST0000535,TAR005,2025-12-04,
