bill_id,customer_id,billing_month,bill_date,due_date,energy_charge,demand_charge,fixed_charge,tax_amount,total_amount,bill_status
BILL00000132,CUST0000066,2026-05-01,2026-05-28,2026-06-17,1472.64,226.56,56.64,132.16,1888.0,Cancelled
BILL00000133,CUST0000067,2026-04-01,2026-04-28,2026-05-18,6136.07,944.01,236.0,550.67,7866.75,Open
BILL00000134,CUST0000067,2026-05-01,2026-05-28,2026-06-17,7314.39,1125.29,281.32,656.42,9377.43,Paid
BILL00000135,CUST0000068,2026-04-01,2026-04-28,2026-05-18,7063.61,1086.71,271.68,633.91,9055.91,Cancelled
BILL00000136,CUST0000068,2026-05-01,2026-05-28,2026-06-17,10918.14,1679.71,419.93,979.83,13997.61,Open
BILL00000137,CUST0000069,2026-04-01,2026-04-28,2026-05-18,8687.25,1336.5,334.13,779.63,11137.51,Open
BILL00000138,CUST0000069,2026-05-01,2026-05-28,2026-06-17,6811.55,1047.93,261.98,611.29,8732.76,Cancelled
BILL00000139,CUST0000070,2026-04-01,2026-04-28,2026-05-18,14186.38,2182.52,545.63,1273.14,18187.66,Past Due
BILL00000140,CUST0000070,2026-05-01,2026-05-28,2026-06-17,3328.83,512.13,128.03,298.74,4267.73,Past Due
BILL00000141,CUST0000071,2026-04-01,2026-04-28,2026-05-18,17355.72,2670.11,667.53,1557.56,22250.92,Open
BILL00000142,CUST0000071,2026-05-01,2026-05-28,2026-06-17,14929.34,2296.82,574.21,1339.81,19140.17,Open
BILL00000143,CUST0000072,2026-04-01,2026-04-28,2026-05-18,14405.2,2216.18,554.05,1292.77,18468.2,Open
BILL00000144,CUST0000072,2026-05-01,2026-05-28,2026-06-17,2790.55,429.31,107.33,250.43,3577.62,Paid
BILL00000145,CUST0000073,2026-04-01,2026-04-28,2026-05-18,8265.99,1271.69,317.92,741.82,10597.42,Cancelled
BILL00000146,CUST0000073,2026-05-01,2026-05-28,2026-06-17,202.11,31.09,7.77,18.14,259.11,Past Due
BILL00000147,CUST0000074,2026-04-01,2026-04-28,2026-05-18,17727.76,2727.35,681.84,1590.95,22727.9,Open
BILL00000148,CUST0000074,2026-05-01,2026-05-28,2026-06-17,5545.96,853.22,213.31,497.71,7110.2,Open
BILL00000149,CUST0000075,2026-04-01,2026-04-28,2026-05-18,1406.58,216.4,54.1,126.23,1803.31,Paid
BILL00000150,CUST0000075,2026-05-01,2026-05-28,2026-06-17,10264.74,1579.19,394.8,921.2,13159.93,Cancelled
BILL00000151,CUST0000076,2026-04-01,2026-04-28,2026-05-18,7729.84,1189.21,297.3,693.7,9910.05,Open
BILL00000152,CUST0000076,2026-05-01,2026-05-28,2026-06-17,314.67,48.41,12.1,28.24,403.42,Past Due
BILL00000153,CUST0000077,2026-04-01,2026-04-28,2026-05-18,6461.26,994.04,248.51,579.86,8283.67,Cancelled
BILL00000154,CUST0000077,2026-05-01,2026-05-28,2026-06-17,6155.47,947.0,236.75,552.41,7891.63,Past Due
BILL00000155,CUST0000078,2026-04-01,2026-04-28,2026-05-18,13876.18,2134.8,533.7,1245.3,17789.98,Open
BILL00000156,CUST0000078,2026-05-01,2026-05-28,2026-06-17,16213.42,2494.37,623.59,1455.05,20786.44,Open
BILL00000157,CUST0000079,2026-04-01,2026-04-28,2026-05-18,3060.34,470.82,117.71,274.65,3923.52,Open
BILL00000158,CUST0000079,2026-05-01,2026-05-28,2026-06-17,15864.44,2440.68,610.17,1423.73,20339.03,Open
BILL00000159,CUST0000080,2026-04-01,2026-04-28,2026-05-18,14078.98,2166.0,541.5,1263.5,18049.98,Open
BILL00000160,CUST0000080,2026-05-01,2026-05-28,2026-06-17,7763.47,1194.38,298.59,696.72,9953.17,Cancelled
BILL00000161,CUST0000081,2026-04-01,2026-04-28,2026-05-18,12470.98,1918.61,479.65,1119.19,15988.43,Past Due
BILL00000162,CUST0000081,2026-05-01,2026-05-28,2026-06-17,10597.42,1630.37,407.59,951.05,13586.44,Past Due
BILL00000163,CUST0000082,2026-04-01,2026-04-28,2026-05-18,11408.71,1755.19,438.8,1023.86,14626.55,Open
BILL00000164,CUST0000082,2026-05-01,2026-05-28,2026-06-17,9331.88,1435.67,358.92,837.48,11963.95,Past Due
BILL00000165,CUST0000083,2026-04-01,2026-04-28,2026-05-18,17836.39,2744.06,686.01,1600.7,22867.17,Cancelled
BILL00000166,CUST0000083,2026-05-01,2026-05-28,2026-06-17,9681.72,1489.49,372.37,868.87,12412.46,Cancelled
BILL00000167,CUST0000084,2026-04-01,2026-04-28,2026-05-18,5878.22,904.34,226.09,527.53,7536.18,Open
BILL00000168,CUST0000084,2026-05-01,2026-05-28,2026-06-17,3714.93,571.53,142.88,333.39,4762.73,Open
BILL00000169,CUST0000085,2026-04-01,2026-04-28,2026-05-18,5273.1,811.25,202.81,473.23,6760.38,Paid
BILL00000170,CUST0000085,2026-05-01,2026-05-28,2026-06-17,9400.63,1446.25,361.56,843.65,12052.09,Open
BILL00000171,CUST0000086,2026-04-01,2026-04-28,2026-05-18,3922.1,603.4,150.85,351.98,5028.34,Paid
BILL00000172,CUST0000086,2026-05-01,2026-05-28,2026-06-17,8057.61,1239.63,309.91,723.12,10330.26,Open
BILL00000173,CUST0000087,2026-04-01,2026-04-28,2026-05-18,3428.34,527.44,131.86,307.67,4395.31,Paid
BILL00000174,CUST0000087,2026-05-01,2026-05-28,2026-06-17,14608.52,2247.46,561.87,1311.02,18728.87,Paid
BILL00000175,CUST0000088,2026-04-01,2026-04-28,2026-05-18,15923.06,2449.7,612.43,1428.99,20414.18,Open
BILL00000176,CUST0000088,2026-05-01,2026-05-28,2026-06-17,4583.47,705.15,176.29,411.34,5876.24,Past Due
BILL00000177,CUST0000089,2026-04-01,2026-04-28,2026-05-18,18109.63,2786.1,696.52,1625.22,23217.47,Past Due
BILL00000178,CUST0000089,2026-05-01,2026-05-28,2026-06-17,17667.43,2718.07,679.52,1585.54,22650.55,Open
BILL00000179,CUST0000090,2026-04-01,2026-04-28,2026-05-18,4140.62,637.02,159.25,371.59,5308.49,Open
BILL00000180,CUST0000090,2026-05-01,2026-05-28,2026-06-17,1933.43,297.45,74.36,173.51,2478.75,Past Due
BILL00000181,CUST0000091,2026-04-01,2026-04-28,2026-05-18,14699.64,2261.48,565.37,1319.2,18845.69,Paid
BILL00000182,CUST0000091,2026-05-01,2026-05-28,2026-06-17,5547.05,853.39,213.35,497.81,7111.6,Cancelled
BILL00000183,CUST0000092,2026-04-01,2026-04-28,2026-05-18,569.22,87.57,21.89,51.08,729.78,Open
BILL00000184,CUST0000092,2026-05-01,2026-05-28,2026-06-17,8573.4,1318.98,329.75,769.41,10991.54,Open
BILL00000185,CUST0000093,2026-04-01,2026-04-28,2026-05-18,5852.47,900.38,225.09,525.22,7503.16,Open
BILL00000186,CUST0000093,2026-05-01,2026-05-28,2026-06-17,10339.96,1590.76,397.69,927.95,13256.36,Open
BILL00000187,CUST0000094,2026-04-01,2026-04-28,2026-05-18,1455.45,223.92,55.98,130.62,1865.97,Paid
BILL00000188,CUST0000094,2026-05-01,2026-05-28,2026-06-17,4620.5,710.85,177.71,414.66,5923.72,Paid
BILL00000189,CUST0000095,2026-04-01,2026-04-28,2026-05-18,6596.85,1014.9,253.72,592.02,8457.49,Cancelled
BILL00000190,CUST0000095,2026-05-01,2026-05-28,2026-06-17,12094.61,1860.71,465.18,1085.41,15505.91,Open
BILL00000191,CUST0000096,2026-04-01,2026-04-28,2026-05-18,17884.07,2751.39,687.85,1604.98,22928.29,Open
BILL00000192,CUST0000096,2026-05-01,2026-05-28,2026-06-17,11373.58,1749.78,437.45,1020.71,14581.52,Open
BILL00000193,CUST0000097,2026-04-01,2026-04-28,2026-05-18,16049.93,2469.22,617.31,1440.38,20576.84,Open
BILL00000194,CUST0000097,2026-05-01,2026-05-28,2026-06-17,15986.8,2459.51,614.88,1434.71,,Past Due
BILL00000195,CUST0000098,2026-04-01,2026-04-28,2026-05-18,5648.72,869.03,217.26,506.94,7241.95,Cancelled
BILL00000196,CUST0000098,2026-05-01,2026-05-28,2026-06-17,5371.03,826.31,206.58,482.02,6885.94,Past Due
BILL00000197,CUST0000099,2026-04-01,2026-04-28,2026-05-18,10276.83,1581.05,395.26,922.28,13175.42,Cancelled
BILL00000198,CUST0000099,2026-05-01,2026-05-28,2026-06-17,11627.52,1788.85,447.21,1043.5,14907.08,Cancelled
BILL00000199,CUST0000100,2026-04-01,2026-04-28,2026-05-18,7064.52,1086.85,271.71,634.0,9057.07,Open
BILL00000200,CUST0000100,2026-05-01,2026-05-28,2026-06-17,14659.16,2255.25,563.81,1315.57,18793.79,Open
BILL00000201,CUST0000101,2026-04-01,2026-04-28,2026-05-18,13700.74,2107.81,526.95,1229.55,17565.05,Open
BILL00000202,CUST0000101,2026-05-01,2026-05-28,2026-06-17,1267.13,194.94,48.74,113.72,1624.52,Cancelled
BILL00000203,CUST0000102,2026-04-01,2026-04-28,2026-05-18,18182.25,2797.27,699.32,1631.74,23310.57,Open
BILL00000204,CUST0000102,2026-05-01,2026-05-28,2026-06-17,1777.3,273.43,68.36,159.5,2278.59,Paid
BILL00000205,CUST0000103,2026-04-01,2026-04-28,2026-05-18,103.59,15.94,3.98,9.3,132.81,Paid
BILL00000206,CUST0000103,2026-05-01,2026-05-28,2026-06-17,10200.8,1569.35,392.34,915.46,13077.94,Paid
BILL00000207,CUST0000104,2026-04-01,2026-04-28,2026-05-18,5851.66,900.26,225.06,525.15,7502.13,Paid
BILL00000208,CUST0000104,2026-05-01,2026-05-28,2026-06-17,18418.66,2833.64,708.41,1652.96,23613.67,Open
BILL00000209,CUST0000105,2026-04-01,2026-04-28,2026-05-18,154.3,23.74,5.93,13.85,197.82,Cancelled
BILL00000210,CUST0000105,2026-05-01,2026-05-28,2026-06-17,9818.57,1510.55,377.64,881.15,12587.91,Open
BILL00000211,CUST0000106,2026-04-01,2026-04-28,2026-05-18,16391.33,2521.74,630.44,1471.02,21014.53,Open
BILL00000212,CUST0000106,2026-05-01,2026-05-28,2026-06-17,19461.56,2994.09,748.52,1746.55,24950.72,Cancelled
BILL00000213,CUST0000107,2026-04-01,2026-04-28,2026-05-18,18447.01,2838.0,709.5,1655.5,23650.01,Cancelled
BILL00000214,CUST0000107,2026-05-01,2026-05-28,2026-06-17,13475.02,2073.08,518.27,1209.3,17275.66,Past Due
BILL00000215,CUST0000108,2026-04-01,2026-04-28,2026-05-18,2357.26,362.65,90.66,211.55,3022.12,Open
BILL00000216,CUST0000108,2026-05-01,2026-05-28,2026-06-17,7647.28,1176.5,294.13,686.29,9804.2,Past Due
BILL00000217,CUST0000109,2026-04-01,2026-04-28,2026-05-18,16565.68,2548.57,637.14,1486.66,21238.06,Open
BILL00000218,CUST0000109,2026-05-01,2026-05-28,2026-06-17,18460.94,2840.15,710.04,1656.75,23667.88,Paid
BILL00000219,CUST0000110,2026-04-01,2026-04-28,2026-05-18,3091.53,475.62,118.91,277.45,3963.5,Paid
BILL00000220,CUST0000110,2026-05-01,2026-05-28,2026-06-17,2994.01,460.62,115.15,268.69,3838.47,Past Due
BILL00000221,CUST0000111,2026-04-01,2026-04-28,2026-05-18,3113.03,478.93,119.73,279.37,3991.06,Cancelled
BILL00000222,CUST0000111,2026-05-01,2026-05-28,2026-06-17,16022.87,2465.06,616.26,1437.95,20542.13,Cancelled
BILL00000223,CUST0000112,2026-04-01,2026-04-28,2026-05-18,14023.1,2157.4,539.35,1258.48,17978.33,Past Due
