cdc_id,asset_id,effective_ts,operation,new_asset_status,new_criticality,change_reason
ACDC0000026,AST000058,2026-02-17 19:39:27,RETIRE,Active,High,maintenance_review
ACDC0000027,AST000222,2026-02-09 10:15:15,UPDATE,Maintenance,Low,retirement
ACDC0000028,AST000065,2026-05-09 17:45:23,UPDATE,Active,Critical,retirement
ACDC0000029,AST000093,2026-02-18 09:16:55,UPDATE,Maintenance,Critical,condition_update
ACDC0000030,AST000188,2026-02-24 04:28:22,RETIRE,Active,Low,condition_update
ACDC0000031,AST000215,2026-05-18 12:07:15,UPDATE,Standby,Low,capacity_change
ACDC0000032,AST000010,2026-03-22 09:11:48,UPDATE,Active,Low,maintenance_review
ACDC0000033,AST000092,2026-04-23 09:47:27,RETIRE,Retired,Low,condition_update
ACDC0000034,AST000078,2026-04-18 15:50:40,RETIRE,Active,High,condition_update
ACDC0000035,AST000119,2026-05-06 12:05:54,UPDATE,Active,Critical,capacity_change
ACDC0000036,AST000244,2026-05-26 13:52:01,UPDATE,Standby,Critical,maintenance_review
ACDC0000037,AST000124,2026-02-19 15:27:17,RETIRE,Maintenance,High,condition_update
ACDC0000038,AST000177,2026-05-11 09:21:17,RETIRE,Standby,High,capacity_change
ACDC0000039,AST000234,2026-02-16 11:05:55,RETIRE,Maintenance,Critical,maintenance_review
ACDC0000040,AST000181,2026-05-30 01:07:12,UPDATE,Standby,Medium,condition_update
ACDC0000041,AST000216,2026-05-17 18:57:23,UPDATE,Maintenance,Low,condition_update
ACDC0000042,AST000120,2026-04-29 16:53:41,UPDATE,Standby,Medium,capacity_change
ACDC0000043,AST000254,2026-04-15 23:20:51,UPDATE,Standby,Medium,maintenance_review
ACDC0000044,AST000170,2026-04-16 23:01:57,UPDATE,Retired,High,maintenance_review
ACDC0000045,AST000190,2026-04-17 19:13:49,UPDATE,Standby,Low,capacity_change
ACDC0000046,AST000208,2026-03-30 15:46:05,UPDATE,Retired,High,capacity_change
ACDC0000047,AST000125,2026-05-15 16:09:13,RETIRE,Retired,Low,capacity_change
ACDC0000048,AST000080,2026-05-20 05:06:27,UPDATE,Standby,Critical,maintenance_review
ACDC0000049,AST000064,2026-02-02 05:05:16,UPDATE,Retired,Critical,retirement
ACDC0000050,AST000147,2026-03-09 21:32:53,UPDATE,Active,High,capacity_change
ACDC0000051,AST000167,2026-03-16 23:53:13,UPDATE,Retired,Low,condition_update
ACDC0000052,AST000253,2026-02-12 00:10:45,RETIRE,Maintenance,Medium,retirement
ACDC0000053,AST000003,2026-05-31 08:38:32,UPDATE,Active,Critical,condition_update
ACDC0000054,AST000129,2026-04-07 07:13:27,UPDATE,Standby,High,retirement
ACDC0000055,AST000096,2026-03-23 14:26:45,UPDATE,Retired,Critical,retirement
ACDC0000056,AST000203,2026-05-19 06:11:56,UPDATE,Standby,High,retirement
ACDC0000057,AST000243,2026-03-13 00:17:30,RETIRE,Retired,Low,capacity_change
ACDC0000058,AST000090,2026-03-27 07:28:30,UPDATE,Maintenance,Low,capacity_change
ACDC0000059,AST000063,2026-02-24 10:11:51,RETIRE,Retired,High,capacity_change
ACDC0000060,AST000176,2026-04-06 04:08:15,UPDATE,Maintenance,Critical,maintenance_review
ACDC0000061,AST000228,2026-04-16 16:27:47,UPDATE,Retired,Critical,retirement
ACDC0000062,AST000073,2026-03-26 10:10:33,UPDATE,Standby,High,maintenance_review
ACDC0000063,AST000182,2026-03-07 15:22:36,RETIRE,Maintenance,High,capacity_change
ACDC0000064,AST000221,2026-04-04 18:10:23,UPDATE,Standby,Low,maintenance_review
ACDC0000065,AST000061,2026-03-21 23:38:31,RETIRE,Maintenance,Medium,retirement
ACDC0000066,AST000017,2026-05-10 03:00:20,RETIRE,Maintenance,Medium,maintenance_review
ACDC0000067,AST000126,2026-05-29 11:15:52,UPDATE,Active,Low,condition_update
ACDC0000068,AST000043,2026-03-27 06:49:59,RETIRE,Active,High,condition_update
ACDC0000069,AST000108,2026-02-18 05:05:02,UPDATE,Maintenance,Critical,retirement
ACDC0000070,AST000098,2026-02-15 08:03:19,UPDATE,Standby,High,condition_update
ACDC0000071,AST000077,2026-03-31 06:09:18,RETIRE,Active,Medium,retirement
ACDC0000072,AST000136,2026-02-09 16:38:28,UPDATE,Active,Medium,capacity_change
ACDC0000073,AST000139,2026-05-03 22:10:37,UPDATE,Active,Critical,condition_update
ACDC0000074,AST000020,2026-03-04 09:48:49,RETIRE,Active,Low,retirement
ACDC0000075,AST000232,2026-05-16 10:23:43,UPDATE,Maintenance,Medium,maintenance_review
ACDC0000076,AST000237,2026-02-13 10:23:02,UPDATE,Maintenance,Medium,capacity_change
ACDC0000077,AST000194,2026-03-29 04:03:58,UPDATE,Active,Low,capacity_change
ACDC0000078,AST000025,2026-05-29 23:46:59,UPDATE,Retired,Medium,condition_update
ACDC0000079,AST000076,2026-04-23 14:26:25,RETIRE,Active,High,condition_update
ACDC0000080,AST000042,2026-04-28 05:29:56,RETIRE,Standby,Medium,condition_update
ACDC0000081,AST000245,2026-02-22 00:20:56,UPDATE,Retired,High,retirement
ACDC0000082,AST000204,2026-02-05 18:29:35,UPDATE,Retired,Low,retirement
ACDC0000083,AST000083,2026-04-24 18:25:02,RETIRE,Maintenance,Critical,retirement
ACDC0000084,AST000002,2026-02-09 06:19:27,UPDATE,Maintenance,Medium,maintenance_review
ACDC0000085,AST000013,2026-04-22 14:10:59,UPDATE,Maintenance,Medium,maintenance_review
ACDC0000086,AST000198,2026-03-24 19:12:55,RETIRE,Retired,Critical,condition_update
ACDC0000087,AST000054,2026-05-16 14:49:25,UPDATE,Active,High,capacity_change
ACDC0000088,AST000122,2026-02-07 12:46:20,UPDATE,Maintenance,High,capacity_change
ACDC0000089,AST000149,2026-04-27 07:40:18,UPDATE,Maintenance,Critical,capacity_change
ACDC0000090,AST000196,2026-03-07 03:06:59,RETIRE,Retired,Medium,retirement
ACDC0000091,AST000200,2026-03-29 03:38:38,RETIRE,Standby,Low,capacity_change
ACDC0000092,AST000008,2026-02-01 03:45:37,UPDATE,Retired,Medium,capacity_change
ACDC0000093,AST000161,2026-02-06 19:13:13,UPDATE,Active,Critical,condition_update
ACDC0000094,AST000255,2026-05-27 08:41:29,UPDATE,Retired,Critical,capacity_change
ACDC0000095,AST000241,2026-04-16 21:14:01,UPDATE,Standby,Critical,capacity_change
ACDC0000096,AST000192,2026-05-29 10:43:00,UPDATE,Standby,High,retirement
ACDC0000097,AST000197,2026-04-05 10:10:26,RETIRE,Maintenance,Medium,maintenance_review
ACDC0000098,AST000256,2026-04-23 14:32:58,UPDATE,Active,Low,condition_update
ACDC0000099,AST000156,2026-02-28 18:10:40,UPDATE,Active,Critical,maintenance_review
ACDC0000100,AST000030,2026-05-12 10:18:07,RETIRE,Maintenance,Medium,capacity_change
ACDC0000101,AST000088,2026-04-12 08:15:08,RETIRE,Standby,Medium,maintenance_review
ACDC0000102,AST000249,2026-05-08 01:10:24,RETIRE,Standby,Critical,retirement
ACDC0000103,AST000250,2026-04-04 17:16:32,UPDATE,Retired,Medium,retirement
ACDC0000104,AST000084,2026-04-29 23:00:51,UPDATE,Maintenance,High,capacity_change
ACDC0000105,AST000230,2026-03-03 03:45:34,UPDATE,Maintenance,Low,condition_update
ACDC0000106,AST000239,2026-05-29 18:34:36,RETIRE,Maintenance,Low,maintenance_review
ACDC0000107,AST000048,2026-02-26 08:54:24,UPDATE,Maintenance,Low,capacity_change
ACDC0000108,AST000005,2026-04-05 21:57:48,UPDATE,Standby,Low,condition_update
ACDC0000109,AST000079,2026-03-22 07:04:37,UPDATE,Maintenance,High,retirement
ACDC0000110,AST000074,2026-05-21 10:11:05,UPDATE,Maintenance,Critical,capacity_change
ACDC0000111,AST000066,2026-04-24 12:33:37,RETIRE,Active,Critical,condition_update
ACDC0000112,AST000128,2026-02-21 07:14:29,RETIRE,Maintenance,Medium,condition_update
ACDC0000113,AST000199,2026-03-31 22:36:30,RETIRE,Active,Medium,capacity_change
ACDC0000114,AST000075,2026-03-20 11:07:19,UPDATE,Standby,Critical,condition_update
ACDC0000115,AST000231,2026-05-28 08:07:58,UPDATE,Standby,Critical,maintenance_review
ACDC0000116,AST000112,2026-02-03 04:46:26,RETIRE,Retired,High,maintenance_review
ACDC0000117,AST000036,2026-04-12 20:04:08,UPDATE,Retired,Medium,retirement
ACDC0000118,AST000104,2026-05-27 17:19:23,UPDATE,Standby,Medium,condition_update
ACDC0000119,AST000072,2026-03-21 08:56:27,RETIRE,Active,Low,maintenance_review
ACDC0000120,AST000159,2026-04-18 21:35:43,UPDATE,Active,Medium,condition_update
ACDC0000121,AST000117,2026-03-11 10:52:08,RETIRE,Active,Critical,condition_update
ACDC0000122,AST000107,2026-04-26 00:29:17,UPDATE,Retired,Critical,capacity_change
ACDC0000123,AST000029,2026-04-24 06:13:24,UPDATE,Maintenance,Low,condition_update
ACDC0000124,AST000187,2026-03-23 21:11:49,RETIRE,Retired,High,maintenance_review
ACDC0000125,AST000179,2026-03-12 22:54:29,UPDATE,Active,Critical,maintenance_review
ACDC0000126,AST000106,2026-02-09 13:26:02,UPDATE,Standby,Critical,retirement
ACDC0000127,AST000045,2026-05-17 02:51:44,UPDATE,Maintenance,Low,maintenance_review
ACDC0000128,AST000012,2026-02-26 06:04:59,UPDATE,Retired,High,condition_update
ACDC0000129,AST000062,2026-04-08 17:25:31,UPDATE,Active,High,condition_update
ACDC0000130,AST000102,2026-04-23 08:39:32,UPDATE,Retired,Medium,capacity_change
ACDC0000131,AST000143,2026-04-02 22:58:42,UPDATE,Active,High,capacity_change
ACDC0000132,AST000091,2026-03-02 12:29:08,RETIRE,Retired,Critical,retirement
ACDC0000133,AST000138,2026-04-17 23:20:56,RETIRE,Standby,Low,maintenance_review
ACDC0000134,AST000169,2026-05-28 09:17:58,UPDATE,Standby,Low,maintenance_review
ACDC0000135,AST000103,2026-04-14 13:17:34,UPDATE,Standby,High,condition_update
ACDC0000136,AST000101,2026-03-17 14:47:01,RETIRE,Standby,High,maintenance_review
ACDC0000137,AST000026,2026-04-04 06:04:33,RETIRE,Retired,Medium,condition_update
ACDC0000138,AST000202,2026-05-15 14:27:23,UPDATE,Retired,High,capacity_change
ACDC0000139,AST000207,2026-02-01 02:22:17,UPDATE,Maintenance,Low,condition_update
ACDC0000140,AST000055,2026-05-20 21:27:16,UPDATE,Standby,Medium,condition_update
ACDC0000141,AST000166,2026-02-03 04:38:51,UPDATE,Active,Low,condition_update
ACDC0000142,AST000186,2026-04-11 04:34:14,RETIRE,Maintenance,High,condition_update
ACDC0000143,AST000094,2026-03-27 19:22:27,RETIRE,Standby,Medium,condition_update
ACDC0000144,AST000145,2026-05-23 15:55:24,RETIRE,Active,Medium,maintenance_review
ACDC0000145,AST000219,2026-02-23 18:14:19,UPDATE,Active,Medium,condition_update
ACDC0000146,AST000052,2026-05-07 16:20:31,UPDATE,Active,High,maintenance_review
ACDC0000147,AST000097,2026-02-16 13:00:10,UPDATE,Standby,High,capacity_change
ACDC0000148,AST000158,2026-02-09 16:13:15,UPDATE,Retired,Low,retirement
ACDC0000149,AST000142,2026-05-29 01:06:22,RETIRE,Standby,High,maintenance_review
ACDC0000150,AST000165,2026-03-05 21:57:49,UPDATE,Standby,Medium,maintenance_review
