site_id,weather_ts,temperature_c,wind_speed_mps,solar_irradiance_wm2,humidity_pct,weather_condition
SITE0001,2026-04-02 02:00:00,16.571,6.304,128.426,34.486,Cloudy
SITE0001,2026-04-02 03:00:00,12.924,7.479,0.0,80.141,Clear
SITE0001,2026-04-02 04:00:00,31.198,3.977,55.17,39.994,Clear
SITE0001,2026-04-02 05:00:00,10.084,5.755,0.0,36.524,Storm
SITE0001,2026-04-02 06:00:00,14.407,9.557,628.383,41.329,Clear
SITE0001,2026-04-02 07:00:00,20.874,3.674,339.29,28.164,Rain
SITE0001,2026-04-02 08:00:00,35.271,6.42,336.781,53.093,Snow
SITE0001,2026-04-02 09:00:00,19.072,8.805,378.266,73.151,Clear
SITE0001,2026-04-02 10:00:00,26.965,6.71,356.089,75.901,Clear
SITE0001,2026-04-02 11:00:00,21.771,6.956,212.922,68.338,Storm
SITE0001,2026-04-02 12:00:00,13.639,6.239,745.899,81.075,Cloudy
SITE0001,2026-04-02 13:00:00,20.557,6.187,772.131,66.556,Storm
SITE0001,2026-04-02 14:00:00,17.372,6.714,256.151,23.934,Clear
SITE0001,2026-04-02 15:00:00,18.396,2.071,416.255,78.169,Storm
SITE0001,2026-04-02 16:00:00,24.7,5.82,859.113,85.817,Clear
SITE0001,2026-04-02 17:00:00,13.203,8.119,522.229,82.59,Storm
SITE0001,2026-04-02 18:00:00,22.313,2.285,356.398,55.267,Clear
SITE0001,2026-04-02 19:00:00,22.79,6.988,561.882,80.654,Storm
SITE0001,2026-04-02 20:00:00,1.78,6.648,0.0,71.453,Snow
SITE0001,2026-04-02 21:00:00,20.574,1.848,0.0,69.402,Cloudy
SITE0001,2026-04-02 22:00:00,29.39,8.885,44.038,88.95,Cloudy
SITE0001,2026-04-02 23:00:00,32.221,4.145,17.057,60.458,Cloudy
SITE0001,2026-04-03 00:00:00,16.324,9.284,143.936,86.686,Storm
SITE0001,2026-04-03 01:00:00,21.185,5.124,63.331,44.186,Snow
SITE0001,2026-04-03 02:00:00,10.766,6.656,0.0,85.949,Snow
SITE0001,2026-04-03 03:00:00,14.074,4.695,61.901,38.635,Rain
SITE0001,2026-04-03 04:00:00,33.798,7.124,136.119,35.801,Cloudy
SITE0001,2026-04-03 05:00:00,39.793,10.938,73.755,91.601,Cloudy
SITE0001,2026-04-03 06:00:00,20.886,5.653,494.691,45.56,Cloudy
SITE0001,2026-04-03 07:00:00,9.068,7.129,677.091,52.27,Storm
SITE0001,2026-04-03 08:00:00,26.333,5.759,846.718,90.88,Clear
SITE0001,2026-04-03 09:00:00,13.6,3.801,496.405,52.535,Clear
SITE0001,2026-04-03 10:00:00,14.148,6.384,606.345,71.579,Cloudy
SITE0001,2026-04-03 11:00:00,26.811,3.628,729.491,58.357,Cloudy
SITE0001,2026-04-03 12:00:00,16.526,10.245,748.881,68.199,Rain
SITE0001,2026-04-03 13:00:00,17.115,2.586,738.741,35.892,Clear
SITE0001,2026-04-03 14:00:00,16.973,6.605,776.089,68.192,Storm
SITE0001,2026-04-03 15:00:00,29.167,9.093,634.641,48.295,Clear
SITE0001,2026-04-03 16:00:00,26.262,4.022,416.836,98.118,Rain
SITE0001,2026-04-03 17:00:00,13.432,6.895,199.227,75.913,Rain
SITE0001,2026-04-03 18:00:00,38.671,5.16,700.019,82.352,Storm
SITE0001,2026-04-03 19:00:00,24.02,2.487,789.668,20.642,Clear
SITE0001,2026-04-03 20:00:00,24.299,6.463,0.0,61.742,Rain
SITE0001,2026-04-03 21:00:00,30.656,9.243,0.0,61.246,Cloudy
SITE0001,2026-04-03 22:00:00,28.735,6.454,3.427,89.92,Clear
SITE0001,2026-04-03 23:00:00,24.649,3.824,16.21,57.464,Rain
SITE0001,2026-04-04 00:00:00,9.637,8.211,0.0,33.54,Clear
SITE0001,2026-04-04 01:00:00,15.16,0.474,52.811,36.307,Cloudy
SITE0001,2026-04-04 02:00:00,17.866,4.892,0.0,63.07,Rain
SITE0001,2026-04-04 03:00:00,25.434,3.736,0.0,42.241,Cloudy
SITE0001,2026-04-04 04:00:00,23.428,6.278,220.671,86.479,Clear
SITE0001,2026-04-04 05:00:00,3.954,8.21,204.382,56.131,Snow
SITE0001,2026-04-04 06:00:00,9.732,1.299,814.318,55.464,Rain
SITE0001,2026-04-04 07:00:00,31.468,9.437,555.581,58.049,Clear
SITE0001,2026-04-04 08:00:00,24.121,4.053,585.19,23.71,Clear
SITE0001,2026-04-04 09:00:00,17.711,6.831,347.229,78.641,Rain
SITE0001,2026-04-04 10:00:00,11.756,8.337,664.609,91.096,Snow
SITE0001,2026-04-04 11:00:00,26.953,8.254,342.616,65.211,Snow
SITE0001,2026-04-04 12:00:00,19.2,6.455,567.392,46.761,Cloudy
SITE0001,2026-04-04 13:00:00,29.084,7.402,721.827,60.094,Cloudy
SITE0001,2026-04-04 14:00:00,27.504,3.556,435.859,57.394,Rain
SITE0001,2026-04-04 15:00:00,29.492,8.332,786.441,49.895,Snow
SITE0001,2026-04-04 16:00:00,15.938,3.737,818.795,73.295,Storm
SITE0001,2026-04-04 17:00:00,15.865,10.709,769.923,10.0,Cloudy
SITE0001,2026-04-04 18:00:00,14.392,5.773,739.638,88.198,Storm
SITE0001,2026-04-04 19:00:00,14.533,10.247,560.557,41.422,Storm
SITE0001,2026-04-04 20:00:00,29.823,4.744,0.0,87.493,Cloudy
SITE0001,2026-04-04 21:00:00,16.609,4.984,0.0,48.652,Snow
SITE0001,2026-04-04 22:00:00,15.431,7.32,76.699,52.184,Clear
SITE0001,2026-04-04 23:00:00,33.655,6.572,4.672,72.879,Snow
SITE0001,2026-04-05 00:00:00,13.394,4.436,51.131,54.958,Clear
SITE0001,2026-04-05 01:00:00,13.67,6.657,0.0,75.274,Clear
SITE0001,2026-04-05 02:00:00,15.904,9.478,46.607,70.293,Rain
SITE0001,2026-04-05 03:00:00,15.483,5.911,0.0,46.025,Clear
SITE0001,2026-04-05 04:00:00,33.538,9.877,67.891,47.368,Cloudy
SITE0001,2026-04-05 05:00:00,28.41,5.164,0.0,58.704,Clear
SITE0001,2026-04-05 06:00:00,25.752,4.573,744.338,45.306,Storm
SITE0001,2026-04-05 07:00:00,17.489,12.109,337.87,71.4,Snow
SITE0001,2026-04-05 08:00:00,35.422,8.87,570.842,57.764,Clear
SITE0001,2026-04-05 09:00:00,28.724,5.357,695.134,80.118,Clear
SITE0001,2026-04-05 10:00:00,13.832,4.273,622.102,36.398,Clear
SITE0001,2026-04-05 11:00:00,9.583,10.944,710.721,62.593,Clear
SITE0001,2026-04-05 12:00:00,21.304,3.226,871.639,37.655,Clear
SITE0001,2026-04-05 13:00:00,12.038,5.646,806.256,75.033,Cloudy
SITE0001,2026-04-05 14:00:00,-3.063,4.063,496.317,68.006,Clear
SITE0001,2026-04-05 15:00:00,7.877,7.175,480.808,71.697,Clear
SITE0001,2026-04-05 16:00:00,21.783,6.039,458.905,50.209,Clear
SITE0001,2026-04-05 17:00:00,20.606,9.846,411.049,28.884,Storm
SITE0001,2026-04-05 18:00:00,4.818,7.899,684.006,70.393,Storm
SITE0001,2026-04-05 19:00:00,41.239,3.686,721.463,52.284,Rain
SITE0001,2026-04-05 20:00:00,28.158,4.685,406.353,69.751,Rain
SITE0001,2026-04-05 21:00:00,6.575,4.872,135.578,89.186,Snow
SITE0001,2026-04-05 22:00:00,23.983,4.564,298.837,80.319,Snow
SITE0001,2026-04-05 23:00:00,-5.426,2.235,0.0,80.304,Clear
SITE0001,2026-04-06 00:00:00,-1.726,5.839,292.955,52.96,Storm
SITE0001,2026-04-06 01:00:00,22.995,6.155,78.803,72.62,Cloudy
SITE0001,2026-04-06 02:00:00,26.952,5.719,160.182,69.33,Rain
SITE0001,2026-04-06 03:00:00,27.078,7.117,316.964,25.572,Cloudy
SITE0001,2026-04-06 04:00:00,27.134,9.5,253.309,52.503,Rain
SITE0001,2026-04-06 05:00:00,14.344,5.05,0.0,48.08,Snow
SITE0001,2026-04-06 06:00:00,7.481,2.777,716.852,76.213,Storm
SITE0001,2026-04-06 07:00:00,16.458,8.212,626.729,40.759,Clear
SITE0001,2026-04-06 08:00:00,17.183,5.759,548.788,77.78,Cloudy
SITE0001,2026-04-06 09:00:00,24.901,5.43,831.23,50.701,Cloudy
SITE0001,2026-04-06 10:00:00,11.484,7.92,413.968,78.77,Clear
SITE0001,2026-04-06 11:00:00,12.658,4.678,769.591,62.653,Clear
SITE0001,2026-04-06 12:00:00,28.094,5.768,604.034,97.016,Snow
SITE0001,2026-04-06 13:00:00,22.08,5.025,395.031,69.38,Rain
SITE0001,2026-04-06 14:00:00,19.948,2.271,623.869,53.313,Clear
SITE0001,2026-04-06 15:00:00,23.77,6.576,740.508,58.299,Clear
SITE0001,2026-04-06 16:00:00,22.356,7.444,608.108,81.364,Clear
SITE0001,2026-04-06 17:00:00,7.977,6.156,397.778,38.389,Clear
SITE0001,2026-04-06 18:00:00,48.309,6.51,731.118,10.0,Snow
SITE0001,2026-04-06 19:00:00,11.561,6.249,754.745,33.739,Clear
SITE0001,2026-04-06 20:00:00,11.304,3.551,0.0,63.689,Rain
SITE0001,2026-04-06 21:00:00,14.657,4.838,111.364,59.117,Rain
SITE0001,2026-04-06 22:00:00,16.88,6.498,15.955,33.186,Clear
SITE0001,2026-04-06 23:00:00,33.95,2.071,0.0,100.0,Clear
SITE0001,2026-04-07 00:00:00,17.675,8.362,0.0,58.117,Clear
SITE0001,2026-04-07 01:00:00,7.246,5.188,131.035,47.959,Snow
SITE0001,2026-04-07 02:00:00,4.829,7.285,0.0,59.121,Rain
SITE0001,2026-04-07 03:00:00,15.042,7.979,4.62,46.344,Clear
SITE0001,2026-04-07 04:00:00,2.038,8.07,457.939,28.199,Rain
SITE0001,2026-04-07 05:00:00,21.391,2.4,20.632,67.756,Clear
SITE0001,2026-04-07 06:00:00,28.758,7.607,766.239,47.82,Rain
SITE0001,2026-04-07 07:00:00,-4.07,5.905,576.828,67.142,Cloudy
SITE0001,2026-04-07 08:00:00,19.302,4.237,681.428,52.37,Clear
SITE0001,2026-04-07 09:00:00,12.005,4.453,710.764,16.48,Cloudy
SITE0001,2026-04-07 10:00:00,8.559,8.409,877.323,38.803,Rain
SITE0001,2026-04-07 11:00:00,42.23,5.678,324.913,54.989,Storm
SITE0001,2026-04-07 12:00:00,2.441,7.454,606.578,10.0,Clear
SITE0001,2026-04-07 13:00:00,38.551,1.66,800.363,82.12,Cloudy
SITE0001,2026-04-07 14:00:00,33.604,3.939,560.084,79.287,Snow
SITE0001,2026-04-07 15:00:00,26.305,6.36,760.287,70.152,Clear
SITE0001,2026-04-07 16:00:00,18.307,10.086,604.525,70.219,Storm
SITE0001,2026-04-07 17:00:00,4.037,7.297,618.315,60.706,Clear
SITE0001,2026-04-07 18:00:00,23.804,4.493,654.461,57.788,Rain
SITE0001,2026-04-07 19:00:00,26.51,6.336,487.821,41.316,Snow
SITE0001,2026-04-07 20:00:00,17.837,4.786,107.229,17.44,Storm
SITE0001,2026-04-07 21:00:00,23.74,8.503,0.0,46.858,Rain
SITE0001,2026-04-07 22:00:00,37.73,3.983,0.0,45.044,Clear
SITE0001,2026-04-07 23:00:00,15.934,8.759,0.0,48.029,Storm
SITE0001,2026-04-08 00:00:00,42.061,9.137,0.0,57.37,Clear
SITE0001,2026-04-08 01:00:00,15.3,4.679,0.0,44.113,Clear
SITE0001,2026-04-08 02:00:00,17.831,8.638,171.059,31.711,Rain
SITE0001,2026-04-08 03:00:00,27.256,1.1,87.42,69.809,Rain
SITE0001,2026-04-08 04:00:00,21.097,8.117,0.0,55.348,Cloudy
SITE0001,2026-04-08 05:00:00,11.732,3.487,366.466,46.819,Cloudy
SITE0001,2026-04-08 06:00:00,7.073,3.978,557.549,88.32,Storm
SITE0001,2026-04-08 07:00:00,27.536,7.285,638.537,85.406,Clear
SITE0001,2026-04-08 08:00:00,33.675,7.815,499.054,31.121,Snow
SITE0001,2026-04-08 09:00:00,21.346,8.42,578.907,64.518,Rain
SITE0001,2026-04-08 10:00:00,22.47,4.83,704.125,63.381,Clear
SITE0001,2026-04-08 11:00:00,12.753,4.355,423.276,56.094,Cloudy
SITE0001,2026-04-08 12:00:00,20.07,6.862,768.555,53.204,Snow
SITE0001,2026-04-08 13:00:00,34.721,9.33,884.456,60.273,Cloudy
SITE0001,2026-04-08 14:00:00,7.077,7.008,884.556,61.404,Clear
SITE0001,2026-04-08 15:00:00,1.971,4.573,593.645,73.207,Clear
SITE0001,2026-04-08 16:00:00,19.245,5.168,456.331,100.0,Clear
SITE0001,2026-04-08 17:00:00,40.716,3.976,945.413,59.448,Clear
SITE0001,2026-04-08 18:00:00,13.751,5.338,557.909,61.183,Rain
SITE0001,2026-04-08 19:00:00,12.799,4.311,426.032,51.925,Cloudy
SITE0001,2026-04-08 20:00:00,17.922,8.604,0.0,58.035,Snow
SITE0001,2026-04-08 21:00:00,17.852,3.598,230.9,63.273,Clear
SITE0001,2026-04-08 22:00:00,21.224,5.866,243.811,59.908,Cloudy
SITE0001,2026-04-08 23:00:00,11.453,5.553,418.79,59.6,Storm
SITE0001,2026-04-09 00:00:00,13.899,8.581,102.325,35.762,Storm
SITE0001,2026-04-09 01:00:00,20.414,4.561,0.0,63.338,Clear
SITE0001,2026-04-09 02:00:00,14.999,10.303,0.0,41.092,Rain
SITE0001,2026-04-09 03:00:00,10.014,3.951,194.567,71.694,Clear
SITE0001,2026-04-09 04:00:00,32.611,2.215,44.913,41.602,Clear
SITE0001,2026-04-09 05:00:00,22.568,8.224,0.0,60.87,Snow
SITE0001,2026-04-09 06:00:00,12.974,9.22,830.211,70.176,Clear
SITE0001,2026-04-09 07:00:00,14.74,7.138,554.193,78.637,Storm
SITE0001,2026-04-09 08:00:00,27.236,10.296,585.574,53.547,Clear
SITE0001,2026-04-09 09:00:00,21.647,5.437,641.137,45.691,Clear
SITE0001,2026-04-09 10:00:00,11.316,1.39,413.491,57.869,Rain
SITE0001,2026-04-09 11:00:00,26.028,4.684,574.308,75.461,Clear
SITE0001,2026-04-09 12:00:00,9.518,8.014,390.164,37.728,Rain
SITE0001,2026-04-09 13:00:00,6.29,5.44,608.1,70.484,Clear
SITE0001,2026-04-09 14:00:00,22.131,4.443,653.364,55.644,Rain
SITE0001,2026-04-09 15:00:00,17.592,6.317,894.564,64.485,Clear
SITE0001,2026-04-09 16:00:00,14.267,1.846,590.106,79.382,Storm
SITE0001,2026-04-09 17:00:00,8.13,5.014,464.841,58.304,Clear
SITE0001,2026-04-09 18:00:00,10.645,8.616,360.968,35.313,Cloudy
SITE0001,2026-04-09 19:00:00,23.26,8.827,670.218,84.893,Snow
SITE0001,2026-04-09 20:00:00,27.955,7.593,0.0,71.257,Clear
SITE0001,2026-04-09 21:00:00,20.638,10.423,0.0,58.436,Clear
SITE0001,2026-04-09 22:00:00,19.777,8.236,108.095,58.888,Cloudy
SITE0001,2026-04-09 23:00:00,11.768,3.313,80.358,57.361,Storm
SITE0001,2026-04-10 00:00:00,27.697,8.396,0.0,63.149,Clear
SITE0001,2026-04-10 01:00:00,18.234,5.207,327.636,59.16,Clear
SITE0001,2026-04-10 02:00:00,33.953,6.967,0.0,44.153,Storm
SITE0001,2026-04-10 03:00:00,24.508,5.756,59.453,28.608,Clear
SITE0001,2026-04-10 04:00:00,25.186,5.797,187.077,47.014,Cloudy
SITE0001,2026-04-10 05:00:00,19.688,7.124,0.0,86.154,Cloudy
SITE0001,2026-04-10 06:00:00,17.101,6.891,468.813,39.135,Cloudy
SITE0001,2026-04-10 07:00:00,32.779,8.299,562.356,56.922,Clear
SITE0001,2026-04-10 08:00:00,12.457,4.737,599.898,79.638,Storm
SITE0001,2026-04-10 09:00:00,24.051,6.131,501.455,78.604,Storm
SITE0001,2026-04-10 10:00:00,11.24,1.977,396.479,64.897,Storm
SITE0001,2026-04-10 11:00:00,13.939,8.182,694.564,45.711,Clear
SITE0001,2026-04-10 12:00:00,26.646,9.595,774.205,84.666,Storm
SITE0001,2026-04-10 13:00:00,21.452,6.67,897.781,59.208,Cloudy
SITE0001,2026-04-10 14:00:00,21.436,3.989,467.023,61.141,Clear
SITE0001,2026-04-10 15:00:00,24.644,10.654,913.594,43.732,Snow
SITE0001,2026-04-10 16:00:00,21.99,2.158,695.386,41.584,Clear
SITE0001,2026-04-10 17:00:00,22.322,8.867,556.968,51.279,Rain
SITE0001,2026-04-10 18:00:00,21.891,8.751,583.406,53.814,Rain
SITE0001,2026-04-10 19:00:00,20.156,3.364,674.026,70.104,Clear
SITE0001,2026-04-10 20:00:00,22.287,7.621,184.657,79.99,Rain
SITE0001,2026-04-10 21:00:00,28.658,8.284,210.463,49.224,Clear
SITE0001,2026-04-10 22:00:00,6.114,1.649,27.745,74.28,Cloudy
SITE0001,2026-04-10 23:00:00,11.443,10.61,228.389,89.052,Cloudy
SITE0001,2026-04-11 00:00:00,28.727,6.309,6.662,74.163,Rain
SITE0001,2026-04-11 01:00:00,27.431,8.78,0.0,76.252,Snow
SITE0001,2026-04-11 02:00:00,4.841,2.726,184.885,54.581,Storm
SITE0001,2026-04-11 03:00:00,24.743,6.034,0.0,93.805,Cloudy
SITE0001,2026-04-11 04:00:00,17.623,8.87,236.596,82.161,Cloudy
SITE0001,2026-04-11 05:00:00,17.842,2.853,105.422,30.794,Rain
SITE0001,2026-04-11 06:00:00,18.359,5.004,472.306,42.379,Storm
SITE0001,2026-04-11 07:00:00,2.245,8.101,643.088,64.63,Snow
SITE0001,2026-04-11 08:00:00,3.139,6.793,518.871,35.284,Snow
SITE0001,2026-04-11 09:00:00,5.655,10.761,460.068,48.225,Clear
SITE0001,2026-04-11 10:00:00,25.467,5.559,608.996,88.724,Clear
SITE0001,2026-04-11 11:00:00,29.493,5.65,660.218,59.066,Cloudy
SITE0001,2026-04-11 12:00:00,5.254,7.963,518.363,44.321,Clear
SITE0001,2026-04-11 13:00:00,13.981,4.79,604.323,53.577,Cloudy
SITE0001,2026-04-11 14:00:00,28.143,4.944,728.086,35.108,Cloudy
SITE0001,2026-04-11 15:00:00,22.511,6.535,630.359,79.327,Clear
SITE0001,2026-04-11 16:00:00,5.161,5.034,402.606,43.629,Clear
SITE0001,2026-04-11 17:00:00,7.548,6.107,245.582,42.474,Clear
SITE0001,2026-04-11 18:00:00,45.645,7.481,621.323,52.27,Clear
SITE0001,2026-04-11 19:00:00,24.161,7.887,578.246,44.542,Rain
SITE0001,2026-04-11 20:00:00,-1.143,2.992,277.692,99.455,Snow
SITE0001,2026-04-11 21:00:00,30.013,6.624,0.0,83.652,Cloudy
SITE0001,2026-04-11 22:00:00,29.156,5.853,0.0,59.898,Snow
SITE0001,2026-04-11 23:00:00,26.388,6.329,0.0,75.117,Storm
SITE0001,2026-04-12 00:00:00,28.81,7.097,0.0,57.588,Cloudy
SITE0001,2026-04-12 01:00:00,15.413,4.174,201.207,56.651,Cloudy
SITE0001,2026-04-12 02:00:00,15.884,1.406,0.0,74.832,Rain
SITE0001,2026-04-12 03:00:00,25.132,5.331,50.811,56.646,Cloudy
SITE0001,2026-04-12 04:00:00,31.093,4.71,0.0,86.253,Snow
SITE0001,2026-04-12 05:00:00,41.806,6.154,0.0,70.231,Clear
SITE0001,2026-04-12 06:00:00,28.472,6.388,796.96,53.309,Storm
SITE0001,2026-04-12 07:00:00,13.586,8.75,598.289,63.376,Clear
SITE0001,2026-04-12 08:00:00,37.466,5.43,594.911,72.853,Snow
SITE0001,2026-04-12 09:00:00,19.307,3.89,788.733,53.784,Rain
SITE0001,2026-04-12 10:00:00,28.444,11.087,959.186,40.711,Snow
SITE0001,2026-04-12 11:00:00,24.966,5.182,510.416,92.143,Rain
SITE0001,2026-04-12 12:00:00,20.456,5.557,510.998,41.884,Clear
SITE0001,2026-04-12 13:00:00,19.531,3.477,643.039,68.42,Clear
SITE0001,2026-04-12 14:00:00,15.304,2.892,568.66,57.891,Snow
SITE0001,2026-04-12 15:00:00,11.224,8.808,839.713,47.594,Cloudy
SITE0001,2026-04-12 16:00:00,10.513,6.047,650.657,73.85,Clear
SITE0001,2026-04-12 17:00:00,19.316,5.442,359.137,46.51,Clear
SITE0001,2026-04-12 18:00:00,12.36,6.323,721.188,63.66,Snow
SITE0001,2026-04-12 19:00:00,16.253,10.206,466.195,54.244,Cloudy
SITE0001,2026-04-12 20:00:00,13.81,5.31,0.0,68.821,Snow
SITE0001,2026-04-12 21:00:00,16.665,7.276,0.0,61.4,Storm
SITE0001,2026-04-12 22:00:00,25.943,12.012,197.634,68.921,Cloudy
SITE0001,2026-04-12 23:00:00,2.909,7.331,0.0,65.481,Snow
SITE0001,2026-04-13 00:00:00,21.553,7.613,292.288,80.638,Clear
SITE0001,2026-04-13 01:00:00,22.205,4.538,0.0,70.038,Clear
SITE0001,2026-04-13 02:00:00,21.091,8.647,0.0,27.654,Clear
SITE0001,2026-04-13 03:00:00,7.754,9.951,0.0,80.807,Cloudy
SITE0001,2026-04-13 04:00:00,27.231,6.07,107.858,90.207,Cloudy
SITE0001,2026-04-13 05:00:00,20.371,5.849,0.0,57.104,Cloudy
SITE0001,2026-04-13 06:00:00,24.908,3.569,595.778,41.948,Cloudy
SITE0001,2026-04-13 07:00:00,19.175,4.087,601.655,48.557,Snow
SITE0001,2026-04-13 08:00:00,11.693,6.486,922.829,69.783,Snow
SITE0001,2026-04-13 09:00:00,13.166,4.316,425.326,48.278,Cloudy
SITE0001,2026-04-13 10:00:00,17.789,7.478,704.638,83.492,Cloudy
SITE0001,2026-04-13 11:00:00,4.557,6.318,684.323,75.57,Storm
SITE0001,2026-04-13 12:00:00,35.685,8.69,674.417,55.605,Rain
SITE0001,2026-04-13 13:00:00,34.649,4.769,557.077,45.394,Cloudy
SITE0001,2026-04-13 14:00:00,18.099,7.097,660.379,85.268,Storm
SITE0001,2026-04-13 15:00:00,19.757,12.208,607.836,38.778,Rain
SITE0001,2026-04-13 16:00:00,20.012,6.811,914.101,40.479,Snow
SITE0001,2026-04-13 17:00:00,25.413,6.467,727.816,54.481,Clear
SITE0001,2026-04-13 18:00:00,7.135,7.324,409.017,62.644,Rain
SITE0001,2026-04-13 19:00:00,23.694,8.718,650.296,38.658,Clear
SITE0001,2026-04-13 20:00:00,21.992,6.275,0.0,59.499,Storm
SITE0001,2026-04-13 21:00:00,30.932,6.11,0.0,49.835,Cloudy
SITE0001,2026-04-13 22:00:00,15.531,4.033,253.768,51.339,Clear
SITE0001,2026-04-13 23:00:00,30.88,2.951,0.0,55.378,Snow
SITE0001,2026-04-14 00:00:00,20.658,4.376,0.0,63.482,Storm
SITE0001,2026-04-14 01:00:00,17.115,4.432,0.0,91.828,Rain
SITE0001,2026-04-14 02:00:00,18.864,6.097,0.0,80.759,Clear
SITE0001,2026-04-14 03:00:00,22.841,10.509,129.197,71.42,Clear
SITE0001,2026-04-14 04:00:00,26.868,7.489,112.45,52.075,Cloudy
SITE0001,2026-04-14 05:00:00,33.451,5.745,9.589,41.296,Cloudy
SITE0001,2026-04-14 06:00:00,17.212,2.727,603.143,61.131,Snow
SITE0001,2026-04-14 07:00:00,18.018,0.978,729.592,69.316,Storm
SITE0001,2026-04-14 08:00:00,15.367,7.836,834.726,67.425,Rain
SITE0001,2026-04-14 09:00:00,19.055,6.597,756.594,64.478,Snow
SITE0001,2026-04-14 10:00:00,27.343,6.644,383.704,51.734,Snow
SITE0001,2026-04-14 11:00:00,16.003,6.962,564.79,40.031,Snow
SITE0001,2026-04-14 12:00:00,31.826,6.973,418.783,44.716,Snow
SITE0001,2026-04-14 13:00:00,21.658,4.773,628.326,39.728,Cloudy
SITE0001,2026-04-14 14:00:00,19.221,1.951,753.015,73.656,Snow
SITE0001,2026-04-14 15:00:00,24.687,6.692,430.576,66.13,Clear
SITE0001,2026-04-14 16:00:00,20.015,6.078,319.617,42.43,Snow
SITE0001,2026-04-14 17:00:00,17.811,1.507,479.874,45.077,Clear
SITE0001,2026-04-14 18:00:00,23.106,9.603,498.133,59.403,Storm
SITE0001,2026-04-14 19:00:00,24.707,2.393,590.422,43.538,Cloudy
SITE0001,2026-04-14 20:00:00,21.308,14.267,26.556,37.35,Storm
SITE0001,2026-04-14 21:00:00,23.846,7.342,58.102,52.319,Rain
SITE0001,2026-04-14 22:00:00,23.786,2.133,27.496,77.979,Storm
SITE0001,2026-04-14 23:00:00,19.897,3.869,0.0,74.679,Rain
SITE0001,2026-04-15 00:00:00,-0.87,5.618,0.0,71.975,Clear
SITE0001,2026-04-15 01:00:00,17.427,5.382,0.0,77.287,Cloudy
SITE0001,2026-04-15 02:00:00,31.81,1.455,0.0,51.82,Storm
SITE0001,2026-04-15 03:00:00,19.233,6.548,0.0,38.425,Snow
SITE0001,2026-04-15 04:00:00,29.028,8.094,219.283,39.914,Clear
SITE0001,2026-04-15 05:00:00,21.131,7.71,0.0,10.485,Rain
SITE0001,2026-04-15 06:00:00,24.56,4.025,768.269,58.933,Snow
SITE0001,2026-04-15 07:00:00,13.965,6.016,473.049,50.791,Storm
SITE0001,2026-04-15 08:00:00,22.857,8.017,340.862,92.824,Rain
SITE0001,2026-04-15 09:00:00,17.167,2.475,549.38,68.941,Clear
SITE0001,2026-04-15 10:00:00,22.724,5.544,693.809,57.515,Storm
SITE0001,2026-04-15 11:00:00,17.45,5.597,523.789,69.358,Clear
SITE0001,2026-04-15 12:00:00,31.969,7.723,941.189,47.363,Rain
SITE0001,2026-04-15 13:00:00,23.923,6.952,604.548,56.076,Rain
SITE0001,2026-04-15 14:00:00,29.614,5.915,281.903,62.711,Storm
SITE0001,2026-04-15 15:00:00,23.253,6.169,659.353,54.8,Clear
