generation_id,site_id,reading_ts,generation_mw,available_capacity_mw,curtailment_mw,source_system,reading_date
GEN0000000070,SITE0001,2026-04-03 21:00:00,0.0,50.2777,0.0,scada,2026-04-03
GEN0000000071,SITE0001,2026-04-03 22:00:00,1.1044,47.2385,2.4722,scada,2026-04-03
GEN0000000072,SITE0001,2026-04-03 23:00:00,1.9869,45.9576,2.5653,scada,2026-04-03
GEN0000000073,SITE0001,2026-04-04 00:00:00,8.267,47.6722,1.9461,scada,2026-04-04
GEN0000000074,SITE0001,2026-04-04 01:00:00,7.181,45.1664,0.0332,scada,2026-04-04
GEN0000000075,SITE0001,2026-04-04 02:00:00,2.7319,45.7629,1.0856,scada,2026-04-04
GEN0000000076,SITE0001,2026-04-04 03:00:00,1.767,47.3662,0.0,scada,2026-04-04
GEN0000000077,SITE0001,2026-04-04 04:00:00,2.7043,46.1694,0.0,scada,2026-04-04
GEN0000000078,SITE0001,2026-04-04 05:00:00,0.0,48.8315,0.0,scada,2026-04-04
GEN0000000079,SITE0001,2026-04-04 06:00:00,0.5408,45.6873,0.0,scada,2026-04-04
GEN0000000080,SITE0001,2026-04-04 07:00:00,22.5256,48.0039,1.299,scada,2026-04-04
GEN0000000081,SITE0001,2026-04-04 08:00:00,36.3066,46.7298,2.9418,scada,2026-04-04
GEN0000000082,SITE0001,2026-04-04 09:00:00,41.4086,49.9462,0.0,scada,2026-04-04
GEN0000000083,SITE0001,2026-04-04 10:00:00,36.2793,47.0171,0.3598,scada,2026-04-04
GEN0000000084,SITE0001,2026-04-04 11:00:00,51.13,45.1582,1.0994,scada,2026-04-04
GEN0000000085,SITE0001,2026-04-04 12:00:00,40.2829,48.0001,1.9443,scada,2026-04-04
GEN0000000086,SITE0001,2026-04-04 13:00:00,41.3878,47.5367,1.3364,scada,2026-04-04
GEN0000000087,SITE0001,2026-04-04 14:00:00,26.4638,50.3358,0.1249,scada,2026-04-04
GEN0000000088,SITE0001,2026-04-04 15:00:00,37.059,45.388,0.0,scada,2026-04-04
GEN0000000089,SITE0001,2026-04-04 16:00:00,43.5561,45.686,1.4915,scada,2026-04-04
GEN0000000090,SITE0001,2026-04-04 17:00:00,42.6773,50.7309,0.0,scada,2026-04-04
GEN0000000091,SITE0001,2026-04-04 18:00:00,37.8203,47.9395,2.0112,scada,2026-04-04
GEN0000000092,SITE0001,2026-04-04 19:00:00,1.1606,46.292,0.0,scada,2026-04-04
GEN0000000093,SITE0001,2026-04-04 20:00:00,6.8526,49.6146,0.0,scada,2026-04-04
GEN0000000094,SITE0001,2026-04-04 21:00:00,9.2254,48.1224,1.2063,scada,2026-04-04
GEN0000000095,SITE0001,2026-04-04 22:00:00,0.0,47.793,0.4023,scada,2026-04-04
GEN0000000096,SITE0001,2026-04-04 23:00:00,12.7734,50.3115,2.1879,scada,2026-04-04
GEN0000000097,SITE0001,2026-04-05 00:00:00,8.9022,49.5505,1.7958,scada,2026-04-05
GEN0000000098,SITE0001,2026-04-05 01:00:00,4.084,47.3574,0.8267,scada,2026-04-05
GEN0000000099,SITE0001,2026-04-05 02:00:00,0.0,45.6545,0.5072,scada,2026-04-05
GEN0000000100,SITE0001,2026-04-05 03:00:00,9.9559,45.9912,0.0,scada,2026-04-05
GEN0000000101,SITE0001,2026-04-05 04:00:00,6.8117,48.8764,0.0,scada,2026-04-05
GEN0000000102,SITE0001,2026-04-05 05:00:00,2.9388,49.4288,0.0,scada,2026-04-05
GEN0000000103,SITE0001,2026-04-05 06:00:00,0.0,46.3178,0.0773,scada,2026-04-05
GEN0000000104,SITE0001,2026-04-05 07:00:00,37.3876,48.3899,0.7638,scada,2026-04-05
GEN0000000105,SITE0001,2026-04-05 08:00:00,40.2509,48.3995,0.5304,scada,2026-04-05
GEN0000000106,SITE0001,2026-04-05 09:00:00,30.1628,45.867,1.2871,scada,2026-04-05
GEN0000000107,SITE0001,2026-04-05 10:00:00,39.721,50.7906,0.2109,scada,2026-04-05
GEN0000000108,SITE0001,2026-04-05 11:00:00,32.8466,47.5009,1.2026,scada,2026-04-05
GEN0000000109,SITE0001,2026-04-05 12:00:00,35.6131,49.6724,1.2797,scada,2026-04-05
GEN0000000110,SITE0001,2026-04-05 13:00:00,44.7088,49.5107,0.0,scada,2026-04-05
GEN0000000111,SITE0001,2026-04-05 14:00:00,30.9937,46.4055,1.533,scada,2026-04-05
GEN0000000112,SITE0001,2026-04-05 15:00:00,49.3167,48.7215,0.8079,scada,2026-04-05
GEN0000000113,SITE0001,2026-04-05 16:00:00,39.2456,49.2804,1.7905,scada,2026-04-05
GEN0000000114,SITE0001,2026-04-05 17:00:00,22.9412,45.4808,1.0877,scada,2026-04-05
GEN0000000115,SITE0001,2026-04-05 18:00:00,48.4794,45.9994,0.0,scada,2026-04-05
GEN0000000116,SITE0001,2026-04-05 19:00:00,18.2616,48.4686,0.4481,scada,2026-04-05
GEN0000000117,SITE0001,2026-04-05 20:00:00,0.0,48.9471,1.9867,scada,2026-04-05
GEN0000000118,SITE0001,2026-04-05 21:00:00,0.0,46.7161,1.3553,scada,2026-04-05
GEN0000000119,SITE0001,2026-04-05 22:00:00,0.0,49.5725,0.2364,scada,2026-04-05
GEN0000000120,SITE0001,2026-04-05 23:00:00,7.6513,47.1906,0.0906,scada,2026-04-05
GEN0000000121,SITE0001,2026-04-06 00:00:00,5.7892,46.2872,0.157,scada,2026-04-06
GEN0000000122,SITE0001,2026-04-06 01:00:00,0.0,50.9551,0.1516,scada,2026-04-06
GEN0000000123,SITE0001,2026-04-06 02:00:00,0.0,45.3885,0.0,scada,2026-04-06
GEN0000000124,SITE0001,2026-04-06 03:00:00,0.0,45.0371,0.0,scada,2026-04-06
GEN0000000125,SITE0001,2026-04-06 04:00:00,0.0,45.7899,0.0545,scada,2026-04-06
GEN0000000126,SITE0001,2026-04-06 05:00:00,0.0,48.3202,0.6852,scada,2026-04-06
GEN0000000127,SITE0001,2026-04-06 06:00:00,0.0,50.2403,0.042,scada,2026-04-06
GEN0000000128,SITE0001,2026-04-06 07:00:00,23.2408,50.4078,0.0,scada,2026-04-06
GEN0000000129,SITE0001,2026-04-06 08:00:00,34.4843,50.6004,0.4352,scada,2026-04-06
GEN0000000130,SITE0001,2026-04-06 09:00:00,35.6436,50.2045,1.024,scada,2026-04-06
GEN0000000131,SITE0001,2026-04-06 10:00:00,39.8849,50.5369,0.0,scada,2026-04-06
GEN0000000132,SITE0001,2026-04-06 11:00:00,51.13,46.8183,0.0,scada,2026-04-06
GEN0000000133,SITE0001,2026-04-06 12:00:00,43.2876,49.4023,0.0534,scada,2026-04-06
GEN0000000134,SITE0001,2026-04-06 13:00:00,33.7952,45.8591,1.6258,scada,2026-04-06
GEN0000000135,SITE0001,2026-04-06 14:00:00,45.4621,49.0055,1.9839,scada,2026-04-06
GEN0000000136,SITE0001,2026-04-06 15:00:00,51.13,49.3474,4.0075,scada,2026-04-06
GEN0000000137,SITE0001,2026-04-06 16:00:00,47.7133,50.2719,0.0,scada,2026-04-06
GEN0000000138,SITE0001,2026-04-06 17:00:00,48.0055,49.8349,0.0852,scada,2026-04-06
GEN0000000139,SITE0001,2026-04-06 18:00:00,42.1352,49.7925,0.0,scada,2026-04-06
GEN0000000140,SITE0001,2026-04-06 19:00:00,0.0,47.3118,0.0,scada,2026-04-06
GEN0000000141,SITE0001,2026-04-06 20:00:00,0.2491,49.5107,1.1282,scada,2026-04-06
GEN0000000142,SITE0001,2026-04-06 21:00:00,0.0,46.9107,0.1489,scada,2026-04-06
GEN0000000143,SITE0001,2026-04-06 22:00:00,0.0,48.7724,0.4936,scada,2026-04-06
GEN0000000144,SITE0001,2026-04-06 23:00:00,2.5914,51.0451,1.5859,scada,2026-04-06
GEN0000000145,SITE0001,2026-04-07 00:00:00,2.8781,46.0776,0.0,scada,2026-04-07
GEN0000000146,SITE0001,2026-04-07 01:00:00,0.0,49.8385,0.0,scada,2026-04-07
GEN0000000147,SITE0001,2026-04-07 02:00:00,7.3127,46.0953,0.0,scada,2026-04-07
GEN0000000148,SITE0001,2026-04-07 03:00:00,0.0,48.6388,2.1173,scada,2026-04-07
GEN0000000149,SITE0001,2026-04-07 04:00:00,0.0,45.1253,0.2064,scada,2026-04-07
GEN0000000150,SITE0001,2026-04-07 05:00:00,0.0,46.2886,2.0963,scada,2026-04-07
GEN0000000151,SITE0001,2026-04-07 06:00:00,11.2613,47.7407,0.9831,scada,2026-04-07
GEN0000000152,SITE0001,2026-04-07 07:00:00,47.0627,50.978,0.9863,scada,2026-04-07
GEN0000000153,SITE0001,2026-04-07 08:00:00,50.8903,47.6512,2.3973,scada,2026-04-07
GEN0000000154,SITE0001,2026-04-07 09:00:00,38.8482,50.7087,0.0,scada,2026-04-07
GEN0000000155,SITE0001,2026-04-07 10:00:00,38.628,50.9518,1.7439,scada,2026-04-07
GEN0000000156,SITE0001,2026-04-07 11:00:00,23.6871,46.9983,0.7609,scada,2026-04-07
GEN0000000157,SITE0001,2026-04-07 12:00:00,41.5391,48.9197,0.0,scada,2026-04-07
GEN0000000158,SITE0001,2026-04-07 13:00:00,35.8409,46.8064,1.2018,scada,2026-04-07
GEN0000000159,SITE0001,2026-04-07 14:00:00,49.6928,45.6955,2.2448,scada,2026-04-07
GEN0000000160,SITE0001,2026-04-07 15:00:00,40.5708,50.5287,2.5159,scada,2026-04-07
GEN0000000161,SITE0001,2026-04-07 16:00:00,35.1738,49.5056,0.0,scada,2026-04-07
GEN0000000162,SITE0001,2026-04-07 17:00:00,44.9814,48.9111,2.0416,scada,2026-04-07
GEN0000000163,SITE0001,2026-04-07 18:00:00,41.4154,48.8578,0.2817,scada,2026-04-07
GEN0000000164,SITE0001,2026-04-07 19:00:00,0.0,45.5762,1.9605,scada,2026-04-07
GEN0000000165,SITE0001,2026-04-07 20:00:00,0.0,45.192,0.3214,scada,2026-04-07
GEN0000000166,SITE0001,2026-04-07 21:00:00,0.0,47.451,0.0,scada,2026-04-07
GEN0000000167,SITE0001,2026-04-07 22:00:00,9.3809,45.6118,1.1437,scada,2026-04-07
GEN0000000168,SITE0001,2026-04-07 23:00:00,0.0,46.6839,2.4985,scada,2026-04-07
GEN0000000169,SITE0001,2026-04-08 00:00:00,3.5425,45.7062,0.0,scada,2026-04-08
GEN0000000170,SITE0001,2026-04-08 01:00:00,0.0,45.3428,2.5643,scada,2026-04-08
GEN0000000171,SITE0001,2026-04-08 02:00:00,0.0,46.0627,0.0,scada,2026-04-08
GEN0000000172,SITE0001,2026-04-08 03:00:00,0.7678,45.1577,0.0,scada,2026-04-08
GEN0000000173,SITE0001,2026-04-08 04:00:00,7.2191,46.6379,1.8111,scada,2026-04-08
GEN0000000174,SITE0001,2026-04-08 05:00:00,0.0,48.9817,1.2549,scada,2026-04-08
GEN0000000175,SITE0001,2026-04-08 06:00:00,0.0,48.4872,0.1231,scada,2026-04-08
GEN0000000176,SITE0001,2026-04-08 07:00:00,27.0353,47.3651,1.5184,scada,2026-04-08
GEN0000000177,SITE0001,2026-04-08 08:00:00,18.9306,49.6149,0.8871,scada,2026-04-08
GEN0000000178,SITE0001,2026-04-08 09:00:00,45.8539,48.2632,2.5481,scada,2026-04-08
GEN0000000179,SITE0001,2026-04-08 10:00:00,47.1556,45.3528,1.7663,scada,2026-04-08
GEN0000000180,SITE0001,2026-04-08 11:00:00,37.9274,48.3734,1.4191,scada,2026-04-08
GEN0000000181,SITE0001,2026-04-08 12:00:00,39.8792,48.3072,2.7972,scada,2026-04-08
GEN0000000182,SITE0001,2026-04-08 13:00:00,48.0162,49.7081,2.0917,scada,2026-04-08
GEN0000000183,SITE0001,2026-04-08 14:00:00,41.5478,49.3488,0.6542,scada,2026-04-08
GEN0000000184,SITE0001,2026-04-08 15:00:00,46.3103,49.5822,0.0,scada,2026-04-08
GEN0000000185,SITE0001,2026-04-08 16:00:00,38.1833,50.5057,1.7901,scada,2026-04-08
GEN0000000186,SITE0001,2026-04-08 17:00:00,38.8334,48.4325,1.8859,scada,2026-04-08
GEN0000000187,SITE0001,2026-04-08 18:00:00,16.6353,48.0629,0.6868,scada,2026-04-08
GEN0000000188,SITE0001,2026-04-08 19:00:00,4.7205,48.8128,2.3911,scada,2026-04-08
GEN0000000189,SITE0001,2026-04-08 20:00:00,14.2398,46.9514,0.0,scada,2026-04-08
GEN0000000190,SITE0001,2026-04-08 21:00:00,0.0,48.0979,1.5453,scada,2026-04-08
GEN0000000191,SITE0001,2026-04-08 22:00:00,2.3591,47.6079,2.9282,scada,2026-04-08
GEN0000000192,SITE0001,2026-04-08 23:00:00,0.0,47.7908,1.1534,scada,2026-04-08
GEN0000000193,SITE0001,2026-04-09 00:00:00,14.7223,48.0588,0.1989,scada,2026-04-09
GEN0000000194,SITE0001,2026-04-09 01:00:00,8.1349,48.5173,2.4779,scada,2026-04-09
GEN0000000195,SITE0001,2026-04-09 02:00:00,0.4274,47.6124,4.0991,scada,2026-04-09
GEN0000000196,SITE0001,2026-04-09 03:00:00,0.0,48.64,0.0,scada,2026-04-09
GEN0000000197,SITE0001,2026-04-09 04:00:00,0.0,50.1313,0.0,scada,2026-04-09
GEN0000000198,SITE0001,2026-04-09 05:00:00,0.0,45.7062,3.3228,scada,2026-04-09
GEN0000000199,SITE0001,2026-04-09 06:00:00,0.0,48.9342,0.0,scada,2026-04-09
GEN0000000200,SITE0001,2026-04-09 07:00:00,31.2309,49.0392,2.4699,scada,2026-04-09
GEN0000000201,SITE0001,2026-04-09 08:00:00,25.9432,45.6131,1.3052,scada,2026-04-09
GEN0000000202,SITE0001,2026-04-09 09:00:00,42.9961,48.2481,1.943,scada,2026-04-09
GEN0000000203,SITE0001,2026-04-09 10:00:00,40.7622,46.802,0.6882,scada,2026-04-09
GEN0000000204,SITE0001,2026-04-09 11:00:00,31.9954,45.1115,0.0,scada,2026-04-09
GEN0000000205,SITE0001,2026-04-09 12:00:00,39.1099,48.528,0.8952,scada,2026-04-09
GEN0000000206,SITE0001,2026-04-09 13:00:00,37.8946,46.8192,0.0101,scada,2026-04-09
GEN0000000207,SITE0001,2026-04-09 14:00:00,50.1569,49.7144,1.0155,scada,2026-04-09
GEN0000000208,SITE0001,2026-04-09 15:00:00,29.8792,45.2196,0.991,scada,2026-04-09
GEN0000000209,SITE0001,2026-04-09 16:00:00,38.7439,46.2767,0.3941,scada,2026-04-09
GEN0000000210,SITE0001,2026-04-09 17:00:00,29.4939,46.1368,0.0,scada,2026-04-09
GEN0000000211,SITE0001,2026-04-09 18:00:00,31.3488,47.3792,0.4312,scada,2026-04-09
GEN0000000212,SITE0001,2026-04-09 19:00:00,0.0,50.5278,0.9252,scada,2026-04-09
GEN0000000213,SITE0001,2026-04-09 20:00:00,0.4356,48.8046,0.0,scada,2026-04-09
GEN0000000214,SITE0001,2026-04-09 21:00:00,0.0,47.6834,0.0,scada,2026-04-09
GEN0000000215,SITE0001,2026-04-09 22:00:00,0.0,45.8849,0.0,scada,2026-04-09
GEN0000000216,SITE0001,2026-04-09 23:00:00,0.0,47.6916,0.5312,scada,2026-04-09
GEN0000000217,SITE0001,2026-04-10 00:00:00,2.4844,45.1542,0.7417,scada,2026-04-10
GEN0000000218,SITE0001,2026-04-10 01:00:00,4.6944,45.7192,0.0,scada,2026-04-10
GEN0000000219,SITE0001,2026-04-10 02:00:00,3.0544,50.805,1.8441,scada,2026-04-10
GEN0000000220,SITE0001,2026-04-10 03:00:00,0.0,45.209,0.0,scada,2026-04-10
GEN0000000221,SITE0001,2026-04-10 04:00:00,2.1157,45.5033,1.0845,scada,2026-04-10
GEN0000000222,SITE0001,2026-04-10 05:00:00,0.0,45.9596,0.6265,scada,2026-04-10
GEN0000000223,SITE0001,2026-04-10 06:00:00,0.0,50.6168,0.0,scada,2026-04-10
GEN0000000224,SITE0001,2026-04-10 07:00:00,36.633,46.9115,0.0,scada,2026-04-10
GEN0000000225,SITE0001,2026-04-10 08:00:00,32.5595,50.2228,0.5001,scada,2026-04-10
GEN0000000226,SITE0001,2026-04-10 09:00:00,30.8158,48.07,0.0,scada,2026-04-10
GEN0000000227,SITE0001,2026-04-10 10:00:00,38.6579,48.6908,0.854,scada,2026-04-10
GEN0000000228,SITE0001,2026-04-10 11:00:00,33.5845,47.2505,0.0,scada,2026-04-10
GEN0000000229,SITE0001,2026-04-10 12:00:00,50.1092,47.2585,0.0,scada,2026-04-10
GEN0000000230,SITE0001,2026-04-10 13:00:00,29.9096,49.8416,1.0095,scada,2026-04-10
GEN0000000231,SITE0001,2026-04-10 14:00:00,41.8107,48.8291,1.7945,scada,2026-04-10
GEN0000000232,SITE0001,2026-04-10 15:00:00,34.3248,49.2263,0.0,scada,2026-04-10
GEN0000000233,SITE0001,2026-04-10 16:00:00,29.8837,45.6753,1.4264,scada,2026-04-10
GEN0000000234,SITE0001,2026-04-10 17:00:00,51.13,45.8298,0.6778,scada,2026-04-10
GEN0000000235,SITE0001,2026-04-10 18:00:00,29.2426,45.6083,0.0,scada,2026-04-10
GEN0000000236,SITE0001,2026-04-10 19:00:00,0.0,46.5017,0.0176,scada,2026-04-10
GEN0000000237,SITE0001,2026-04-10 20:00:00,0.0,47.1163,0.0,scada,2026-04-10
GEN0000000238,SITE0001,2026-04-10 21:00:00,1.8395,45.1322,1.5697,scada,2026-04-10
GEN0000000239,SITE0001,2026-04-10 22:00:00,0.0,47.5442,0.411,scada,2026-04-10
GEN0000000240,SITE0001,2026-04-10 23:00:00,4.01,50.0281,0.136,scada,2026-04-10
GEN0000000241,SITE0001,2026-04-11 00:00:00,0.0,47.6439,0.3313,scada,2026-04-11
GEN0000000242,SITE0001,2026-04-11 01:00:00,0.0,48.5403,0.2523,scada,2026-04-11
GEN0000000243,SITE0001,2026-04-11 02:00:00,0.0901,50.8468,0.2108,scada,2026-04-11
GEN0000000244,SITE0001,2026-04-11 03:00:00,5.2529,49.2972,2.0021,scada,2026-04-11
GEN0000000245,SITE0001,2026-04-11 04:00:00,5.2683,50.0276,0.0952,scada,2026-04-11
GEN0000000246,SITE0001,2026-04-11 05:00:00,8.6337,45.19,2.5263,scada,2026-04-11
GEN0000000247,SITE0001,2026-04-11 06:00:00,0.0336,46.8506,3.0211,scada,2026-04-11
GEN0000000248,SITE0001,2026-04-11 07:00:00,31.7534,50.0509,0.0,scada,2026-04-11
GEN0000000249,SITE0001,2026-04-11 08:00:00,27.571,47.3975,1.2092,scada,2026-04-11
GEN0000000250,SITE0001,2026-04-11 09:00:00,21.5222,45.5739,2.7882,scada,2026-04-11
GEN0000000251,SITE0001,2026-04-11 10:00:00,41.7148,46.7453,0.0,scada,2026-04-11
GEN0000000252,SITE0001,2026-04-11 11:00:00,37.3556,47.3569,0.0,scada,2026-04-11
GEN0000000253,SITE0001,2026-04-11 12:00:00,26.1881,47.3839,0.0,scada,2026-04-11
GEN0000000254,SITE0001,2026-04-11 13:00:00,44.0297,50.1696,1.6628,scada,2026-04-11
GEN0000000255,SITE0001,2026-04-11 14:00:00,30.985,47.3593,0.8099,scada,2026-04-11
GEN0000000256,SITE0001,2026-04-11 15:00:00,51.13,46.9743,1.159,scada,2026-04-11
GEN0000000257,SITE0001,2026-04-11 16:00:00,28.6062,46.3521,1.4647,scada,2026-04-11
GEN0000000258,SITE0001,2026-04-11 17:00:00,36.4106,50.848,0.0,scada,2026-04-11
GEN0000000259,SITE0001,2026-04-11 18:00:00,49.9426,45.4038,0.3465,scada,2026-04-11
GEN0000000260,SITE0001,2026-04-11 19:00:00,1.6104,49.4184,1.017,scada,2026-04-11
GEN0000000261,SITE0001,2026-04-11 20:00:00,0.4531,45.7875,2.2891,scada,2026-04-11
GEN0000000262,SITE0001,2026-04-11 21:00:00,0.0,46.783,0.6438,scada,2026-04-11
GEN0000000263,SITE0001,2026-04-11 22:00:00,0.0,45.1481,0.0,scada,2026-04-11
GEN0000000264,SITE0001,2026-04-11 23:00:00,3.3621,47.379,1.2678,scada,2026-04-11
GEN0000000265,SITE0001,2026-04-12 00:00:00,2.1345,50.8187,2.293,scada,2026-04-12
GEN0000000266,SITE0001,2026-04-12 01:00:00,0.0,45.1878,1.043,scada,2026-04-12
GEN0000000267,SITE0001,2026-04-12 02:00:00,0.0,45.4979,1.3145,scada,2026-04-12
GEN0000000268,SITE0001,2026-04-12 03:00:00,1.6685,50.0879,0.9463,scada,2026-04-12
GEN0000000269,SITE0001,2026-04-12 04:00:00,0.0,47.58,0.0,scada,2026-04-12
GEN0000000270,SITE0001,2026-04-12 05:00:00,2.0935,46.9792,1.4091,scada,2026-04-12
GEN0000000271,SITE0001,2026-04-12 06:00:00,0.0,47.9681,1.1833,scada,2026-04-12
