cell_id,site_id,technology,band,sector,max_capacity_mbps,active_flag,_ingested_at_utc,_source_file,_source_system
CELL000040,SITE00009,5G NR,n71,2,977.54,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000041,SITE00009,5G NR,B12,1,882.45,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000042,SITE00009,4G LTE,B4,2,1843.57,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000043,SITE00009,5G NR,B12,3,1016.64,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000044,SITE00009,4G LTE,B2,3,891.21,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000045,SITE00010,5G NR,n77,3,1776.44,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000046,SITE00010,5G NR,n41,2,1085.51,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000047,SITE00010,4G LTE,n41,2,1249.57,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000048,SITE00010,5G NR,B4,3,1970.32,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000049,SITE00011,4G LTE,n41,3,1568.70,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000050,SITE00011,4G LTE,n77,2,456.65,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000051,SITE00011,5G NR,n71,2,1510.41,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000052,SITE00011,5G NR,B12,1,1132.28,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000053,SITE00012,5G NR,B12,2,1425.20,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000054,SITE00012,5G NR,B4,2,2357.43,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000055,SITE00012,5G NR,n71,3,800.06,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000056,SITE00012,5G NR,B12,3,1474.08,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000057,SITE00012,5G NR,B12,1,2187.53,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000058,SITE00013,5G NR,B12,2,324.95,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000059,SITE00013,4G LTE,B2,2,1369.64,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000060,SITE00013,4G LTE,n71,3,1691.22,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000061,SITE00014,5G NR,n77,3,2222.29,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000062,SITE00014,5G NR,n41,1,542.06,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000063,SITE00014,5G NR,B2,2,1624.85,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000064,SITE00014,4G LTE,B4,3,369.31,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000065,SITE00015,4G LTE,n41,3,1037.49,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000066,SITE00015,5G NR,n77,2,498.89,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000067,SITE00015,5G NR,B2,3,547.39,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000068,SITE00015,4G LTE,n71,2,1627.42,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000069,SITE00016,5G NR,B12,2,1449.76,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000070,SITE00016,5G NR,B4,1,1811.56,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000071,SITE00016,4G LTE,n77,1,1341.80,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000072,SITE00017,5G NR,B12,2,598.10,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000073,SITE00017,4G LTE,n77,2,366.56,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000074,SITE00017,5G NR,n77,1,1648.67,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000075,SITE00017,5G NR,B12,1,730.95,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000076,SITE00017,4G LTE,B2,1,308.42,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000077,SITE00018,4G LTE,B2,3,730.27,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000078,SITE00018,5G NR,B4,3,1214.50,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000079,SITE00018,5G NR,B4,1,963.69,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000080,SITE00018,5G NR,n41,1,849.08,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000081,SITE00018,4G LTE,B2,1,2079.18,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000082,SITE00019,5G NR,B12,3,2208.90,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000083,SITE00019,4G LTE,B2,3,1582.21,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000084,SITE00019,5G NR,n41,1,2277.20,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000085,SITE00020,5G NR,n71,2,1474.19,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000086,SITE00020,4G LTE,B4,2,1992.54,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000087,SITE00020,4G LTE,n41,2,333.41,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000088,SITE00020,5G NR,B4,2,1403.92,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000089,SITE00020,5G NR,n77,3,2370.25,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000090,SITE00020,4G LTE,n71,1,1903.10,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000091,SITE00021,5G NR,n71,3,470.96,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000092,SITE00021,5G NR,B12,3,1757.25,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000093,SITE00021,5G NR,B2,3,1725.24,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000094,SITE00022,5G NR,B12,2,1440.39,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000095,SITE00022,4G LTE,B4,2,2031.93,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000096,SITE00022,5G NR,n77,2,895.37,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000097,SITE00022,4G LTE,n41,1,487.85,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000098,SITE00023,5G NR,B2,2,592.18,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000099,SITE00023,4G LTE,n77,3,2222.02,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000100,SITE00023,4G LTE,n77,1,1878.12,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000101,SITE00023,4G LTE,B2,2,1500.50,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000102,SITE00023,4G LTE,B2,1,1261.41,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000103,SITE00023,4G LTE,B2,3,1927.63,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000104,SITE00024,5G NR,n77,1,703.40,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000105,SITE00024,4G LTE,B12,3,826.15,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000106,SITE00024,5G NR,n77,3,1415.81,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000107,SITE00025,5G NR,B4,2,1181.00,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000108,SITE00025,4G LTE,B2,2,1281.90,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000109,SITE00025,5G NR,B2,2,2362.71,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000110,SITE00026,5G NR,n77,1,782.73,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000111,SITE00026,4G LTE,n71,3,622.62,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000112,SITE00026,5G NR,n41,3,493.63,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000113,SITE00026,5G NR,n71,2,1365.40,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000114,SITE00026,5G NR,n71,2,383.68,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000115,SITE00027,5G NR,n41,1,2077.02,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000116,SITE00027,5G NR,n77,3,775.95,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000117,SITE00027,4G LTE,B4,1,324.43,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000118,SITE00028,4G LTE,B2,3,552.88,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000119,SITE00028,4G LTE,n71,1,2369.48,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000120,SITE00028,4G LTE,B12,1,2082.83,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000121,SITE00028,4G LTE,B2,2,1320.23,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000122,SITE00029,5G NR,n71,1,2281.89,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000123,SITE00029,5G NR,B2,1,1010.27,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000124,SITE00029,4G LTE,n77,3,651.62,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000125,SITE00030,5G NR,B2,3,1155.30,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000126,SITE00030,4G LTE,n41,2,580.93,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000127,SITE00030,4G LTE,B12,2,1331.16,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000128,SITE00030,4G LTE,B2,3,1355.19,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000129,SITE00030,4G LTE,B12,2,1198.91,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000130,SITE00031,4G LTE,B2,1,1626.34,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000131,SITE00031,5G NR,n77,2,741.27,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000132,SITE00031,4G LTE,B4,3,2190.98,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000133,SITE00031,4G LTE,B2,1,2380.05,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000134,SITE00031,4G LTE,n77,1,745.12,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000135,SITE00031,4G LTE,B4,1,682.04,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000136,SITE00032,4G LTE,B4,3,1728.21,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000137,SITE00032,5G NR,B4,1,837.85,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000138,SITE00032,5G NR,n71,1,1639.73,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000139,SITE00033,5G NR,n41,2,1727.17,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000140,SITE00033,4G LTE,n41,3,852.40,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000141,SITE00033,5G NR,n41,3,1931.34,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000142,SITE00034,4G LTE,n41,2,2247.03,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000143,SITE00034,5G NR,n77,1,2047.01,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000144,SITE00034,5G NR,B4,3,1579.66,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000145,SITE00035,4G LTE,n71,2,723.58,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000146,SITE00035,5G NR,n77,3,506.01,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000147,SITE00035,4G LTE,n71,2,1282.91,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000148,SITE00035,4G LTE,n71,2,671.75,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000149,SITE00035,4G LTE,B4,2,2255.84,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000150,SITE00035,4G LTE,B2,1,1261.77,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000151,SITE00036,4G LTE,n41,3,1810.68,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000152,SITE00036,5G NR,B4,3,2076.76,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000153,SITE00036,5G NR,B2,2,1857.38,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000154,SITE00036,5G NR,B4,1,790.57,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000155,SITE00036,5G NR,n71,3,1053.85,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000156,SITE00037,4G LTE,n77,1,752.97,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000157,SITE00037,5G NR,B4,1,2173.61,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000158,SITE00037,5G NR,B12,1,2365.55,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000159,SITE00037,5G NR,B4,3,509.39,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000160,SITE00037,5G NR,B12,3,1500.11,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000161,SITE00037,4G LTE,B4,2,637.29,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000162,SITE00038,4G LTE,n41,3,1870.62,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000163,SITE00038,5G NR,n41,2,2022.72,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000164,SITE00038,5G NR,n71,2,426.44,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000165,SITE00039,5G NR,n77,1,2020.62,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000166,SITE00039,4G LTE,B2,3,2290.30,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000167,SITE00039,4G LTE,n71,2,2093.37,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000168,SITE00039,4G LTE,B12,1,731.92,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000169,SITE00040,4G LTE,B12,3,519.53,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000170,SITE00040,4G LTE,n77,1,1189.45,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000171,SITE00040,5G NR,B12,2,1149.59,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000172,SITE00041,4G LTE,n41,3,1504.51,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000173,SITE00041,5G NR,n41,1,1057.44,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000174,SITE00041,4G LTE,n41,2,2178.56,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000175,SITE00041,4G LTE,B4,1,1245.77,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000176,SITE00042,4G LTE,B2,3,1208.15,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000177,SITE00042,5G NR,n77,3,1508.40,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000178,SITE00042,5G NR,B2,1,1326.98,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000179,SITE00042,5G NR,n41,2,1351.87,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000180,SITE00043,4G LTE,n77,1,2231.47,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000181,SITE00043,5G NR,n71,3,1566.09,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000182,SITE00043,4G LTE,n77,3,646.74,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000183,SITE00043,4G LTE,B2,1,1552.68,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000184,SITE00043,5G NR,n41,3,360.70,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000185,SITE00043,4G LTE,n41,1,2115.74,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000186,SITE00044,5G NR,n41,3,1053.93,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000187,SITE00044,4G LTE,n77,3,425.94,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000188,SITE00044,4G LTE,n71,1,1290.47,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000189,SITE00045,5G NR,B12,2,1434.56,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000190,SITE00045,4G LTE,B2,3,2085.04,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000191,SITE00045,4G LTE,n71,1,1029.96,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000192,SITE00046,4G LTE,B12,3,361.31,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000193,SITE00046,4G LTE,B4,1,570.45,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000194,SITE00046,5G NR,n41,2,1335.90,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000195,SITE00046,4G LTE,B4,1,613.79,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000196,SITE00046,4G LTE,n77,3,898.94,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000197,SITE00046,4G LTE,n41,1,767.77,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000198,SITE00047,5G NR,n77,2,727.11,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000199,SITE00047,5G NR,n77,3,1020.78,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000200,SITE00047,4G LTE,B12,1,1567.30,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000201,SITE00048,5G NR,B12,1,527.65,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000202,SITE00048,4G LTE,n77,2,1526.57,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000203,SITE00048,5G NR,n41,2,1664.85,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000204,SITE00048,5G NR,B4,2,2188.57,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000205,SITE00048,5G NR,B12,2,376.60,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000206,SITE00048,4G LTE,B12,3,2175.84,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000207,SITE00049,5G NR,B4,3,842.36,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000208,SITE00049,4G LTE,B2,1,1660.28,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000209,SITE00049,5G NR,B12,3,1829.53,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000210,SITE00049,4G LTE,n71,3,753.57,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
