site_id,site_name,city,region,latitude,longitude,site_type,backhaul_type,active_flag,_ingested_at_utc,_source_file,_source_system
SITE00045,Portland Macro 45,Portland,West,34.82880,-110.73590,Macro,Ethernet,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00046,San Diego Macro 46,San Diego,West,38.26269,-99.25907,Macro,Ethernet,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00047,San Diego Macro 47,San Diego,West,43.02212,-93.37213,Macro,Fiber,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00048,San Diego Macro 48,San Diego,West,44.77453,-79.60805,Rooftop,Fiber,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00049,Boston Macro 49,Boston,Northeast,33.51237,-105.82133,Macro,Fiber,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00050,Boston Macro 50,Boston,Northeast,38.70495,-108.02266,Rooftop,Ethernet,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00051,Boston Macro 51,Boston,Northeast,29.21266,-102.34534,Macro,Ethernet,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00052,Albany Macro 52,Albany,Northeast,27.69982,-85.37510,Macro,Fiber,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00053,Albany Macro 53,Albany,Northeast,43.78988,-115.23679,Small Cell,Ethernet,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00054,Albany Macro 54,Albany,Northeast,42.84332,-120.87411,Rooftop,Fiber,N,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00055,Buffalo Macro 55,Buffalo,Northeast,41.93163,-91.62506,Macro,Ethernet,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00056,Buffalo Macro 56,Buffalo,Northeast,32.85906,-89.76411,Macro,Ethernet,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00057,Buffalo Macro 57,Buffalo,Northeast,28.02095,-117.65642,Small Cell,Microwave,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00058,Philadelphia Macro 58,Philadelphia,Northeast,45.83986,-112.41298,Macro,Fiber,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00059,Philadelphia Macro 59,Philadelphia,Northeast,39.75860,-78.21868,Macro,Microwave,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
SITE00060,Philadelphia Macro 60,Philadelphia,Northeast,27.50220,-91.71498,Small Cell,Fiber,Y,2026-09-11T04:28:50.111439+00:00,data/raw/master/sites.csv,sites
